,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,okay....just okay,6,10 June 2007,"I think a major problem with me watching this film is that the character Tarzan has been done so many times that I frankly am pretty tired of him. He's been in 1001 films and at this point, what is there to add to the story that hasn't already been said? Generally, this movie seems to say ""nothing"". The addition of ""cool"" gorilla playmates wasn't enough to invigorate the series and as a result of such familiarity of the content, the film is just a very well-made time-passer. Sure, it's very good technically and my kids enjoyed it, but the film has very little lasting appeal. I've been to The Magic Kingdom dozens of times and apart from just after the film debuted, there is almost no reference to it--nothing. And I think this says a lot about this adequate film.",Tarzan
1,TheLittleSongbird,"The last great Disney, and that's a fact!",9,26 February 2009,"Tarzan is a very good film indeed, and is without doubt the last great Disney movie. It only has one flaw, that's it, and in comparison to Hercules (weakest Disney of the 90s)that's saying something. The animation is just gorgeous. I have been to Africa, and never have I seen the African Jungle look so beautiful. The songs, performed by Phil Collins mostly, are very pleasant, though I must confess, that I did get annoyed once when my sister played ""Two worlds"" at loud volume on the computer, for what felt like an eternity. The characters are great, Tarzan is a wonderfully charismatic lead. My favourite character was Jane, thanks to a brilliant characterisation from the underrated Minnie Driver. Terk and Tantor provide great comic relief, and the gorillas provide plenty of quite emotional scenes. The weakest character, was the aforementioned Clayton. Although Brian Blessed voiced him with enthusiasm, Clayton wasn't particularly likable. The main reason why I like this movie as much as I do, is the thoroughly human portrayals of the characters, and it was also the first time in a Disney since Beauty and the Beast and Hunchback of Notre Dame when I cried at the very end of the movie. Who would, it's really emotional. Tarzan is a must-see for Disney fans. It's not perfect, but it's miles better than the trash out today. 9/10 Bethany Cox",Tarzan
2,SnoopyStyle,Beautiful animation of familiar story,7,5 January 2015,"A family is shipwrecked and stranded in the jungle. Sabor the leopard kills the parents and Kala the gorilla rescues the baby. Despite leader Kerchak's disapproval, Kala raises the baby naming him Tarzan. Brash gorilla Terk befriends him and they meet fearful elephant Tantor. When Sabor attacks, Tarzan saves Kerchak and the group with his spear. Professor Porter and his daughter Jane are studying the gorillas led by their hunter guide Clayton. Jane is chased by a pack of baboons and Tarzan rescues her. Tarzan becomes torn between the jungle and going with Jane to England.The animation is terrific and very energetic. Tarzan swinging in the trees is exciting. The traditional tale is a bit stale and I don't think the montage sequences are that compelling. The Phil Collins music may not be a great fit for a Disney kids movie. Nevertheless this is a good animated movie for the whole family. It has enough excitement and maintains the interest of the audience.",Tarzan
3,Hitchcoc,Very Nicely Done Version,9,31 December 2016,"Having seen almost every Tarzan film ever made, including the Elmo Lincoln one, I have to give Disney their due. This one catches the spirit and the story of the Tarzan epic. But what is the very best is the music. Phil Collins' songs and the animation that goes with it are quite remarkable. Tarzan is a kind-hearted brute who needs to get away from his connection to the apes so Jane will become his. Of course, there is the usual hunter, driven to destroy everything that can breathe. There is the struggle for Jane because of her connection to her previous life. As time goes by, there are adventures where the big guy has to face death in order to make his way to a status he didn't even know existed. The animals and the minor characters provide significant roles, so this works pretty well. There is one scene where Tarzan cruises through the trees like he's on a skateboard. I wish they would trash this kind of stuff, because putting a 1990's twist on it diminishes its effectiveness. Otherwise a really nice film.",Tarzan
4,jboothmillard,Tarzan,4,21 September 2005,"In the past there were many live-action films featuring the famous king of the jungle with his iconic ululating yell (call), created by Edgar Rice Burroughs, and Walt Disney Pictures brought us this first cartoon version telling the story of the ape man, from early beginnings to being the man. Basically the story begins in the 19th Century, an English couple and their infant son are swept onto a deserted jungle island after escaping a burning ship, the couple build themselves a home in the tree, and meanwhile female gorilla Kala (Glenn Close) is devastated to lose her own child after it was killed by rogue leopardess Sabor. One day though Kala hears the cries of the orphaned human baby, she takes the child and escapes an attack by Sabor, her mate Kerchak (Lance Henriksen) allows but disapproves her wanting to raise the child as her own, naming him Tarzan. As a young boy Tarzan (Home Alone 3's Alex D. Linz) does make friends with young female gorilla Terk (Rosie O'Donnell) and paranoid male elephant Tantor, but he finds himself unable to fit in with the gorilla pack, so he takes great efforts to improve himself. As a young man Tarzan (Ghost's Tony Goldwyn) kills Sabor during an attack, gaining the reluctant respect of Kerchak, but the pack's peaceful life is interrupted by the arrival of English explorers, consisting of Professor Archimedes Q. Porter (Nigel Hawthorne), his daughter Jane (Minnie Driver), and their hunter- guide Clayton (Brian Blessed). Jane is separated from the group and ends up being chased by baboons, but Tarzan saves her, he examines her and recognises her as a human like him, and she leads them back to her father and Clayton, who take great interest in him, both as a scientific specimen and their link to finding the gorillas, Tarzan becomes distracted as he learns to speak English and about the human world, and he and Jane are falling in love. After some time the explorers' boat has come to pick up the group, Clayton convinces Tarzan that Jane will stay with him if he leads them to the gorillas, while Terk and Tantor (Wayne Knight) distract Kerchak, Tarzan does lead the humans to the gorilla nesting grounds, Jane and Porter excitedly mingle with the animals, Kerchak however returns and threatens to kill the humans, Tarzan holds Kerchak back allowing them to get away. Tarzan humiliated by his actions runs away, Kala decides to take him to the treehouse she found him in, he discovers his true past, she tells him she wants him to be happy whatever his decision, he chooses to return with the humans to the ship, but once there he, Jane and Porter are ambushed by Clayton and the stowaway pirate crew, they plan to capture the gorillas. Terk and Tantor rescue Tarzan and the group, they race back to the gorillas' home ground, Kerchak is shot, while Tarzan and Clayton battle in the vine-covered trees, despite Tarzan trying to save him Clayton falls to his death, being hanged in the vines, and in his dying moments Kerchak finally accepts Tarzan, naming him leader of the gorillas, the rest of the gorillas are freed and the pirates are scared away. The next day Jane and Porter prepare to return to England on the ship, Tarzan decides to stay with his gorilla family and troop, however as the boat heads for the ship Porter encourages Jane to stay with the man she loves, she jumps overboard, with Porter following after, and they all embark on their new life together. The animation is as good as you would expect, there are some visually well put together action sequences, and there are some good funny and touching scenes, it does lack some flair, not all the background songs by Phil Collins are too bad, and the family will certainly have some fun, an average animated musical adventure. It won the Oscar and Golden Globe for Best Song for Phil Collins' ""You'll Be In My Heart"". Adequate, but kids will like it!",Tarzan
5,ccthemovieman-1,Animated Tarzan A Pleasant Surprise,8,22 August 2006,"I found this surprisingly good because not only was animation well done - which they all seem to be in the past decade - but an involving, action-packed story that was interesting start-to-finish. The action is not overdone, however. The color in here is magnificent and it looks spectacular on DVD.The film turned out to be a good combination of drama, action, comedy and romance. I would think this would be a little too frightening, however, for little kids, for those wondering about that. The only negative I had was listening to the grating voice of Rose O'Donnell. That, and her New York City, accent, is definitely not appealing. Otherwise, I have nothing but good things to say about this film.",Tarzan
6,Tweekums,"Action, excitement and romance in Disney's version of Tarzan",9,4 December 2019,"As this Disney classic opens a couple and their young baby are shipwrecked on the African coast. Nearby in the jungle a mother gorilla loses her baby to a leopard. Shortly afterwards she hears the human baby crying; when she gets to him it appears that his parents have been killed by the leopard. She decides to adopt him, and names him Tarzan. Against the will of Kerchak, the leader of the gorilla family, he is raised to adulthood. During this time he befriends young gorilla Terk and a baby elephant named Tantor. He grows up believing that he is a gorilla but one day gunfire is heard; he investigates and meets the first people he has seen since he was a baby; an explorer, his daughter Jane, and a hunter. After an incident with a troop of baboons he rescues Jane and is more than a little fascinated by her! Soon he will have to decide whether his future lies in the jungle with the gorillas or back with mankind. He will also have to confront the threat posed by greedy men who seek to profit by capturing his gorilla family.This film is a lot of fun; if you want action, a sense of danger and a touch of romance then you should be most satisfied. The scenes where Tarzan and Jane are chased through the jungle are genuinely thrilling thanks to high quality, very kinetic animation that leaves the viewer feeling as though they are swinging through the jungle with our protagonists. Similarly there is a surprising level of threat for a UK-U rated film... there is a gripping opening scene where baby Tarzan is rescued from the leopard, the aforementioned baboon chase and a gripping finale. Given the rating it is all bloodless of course. The romance between Tarzan and Jane is tender and rather fun. The animation is of a high quality throughout with 2D characters fitting into a more 3D world. The voice cast which includes plenty of familiar names did a fine job bringing their characters to life. The songs, from Phil Collins are pretty good and fit in with the action rather than feeling like musical interludes between exciting scenes. Overall I'd certainly recommend this for fans of Disney or of animated family friendly action.",Tarzan
7,BA_Harrison,Another disappointing 90s offering from Disney.,5,30 September 2006,"With its traditional animation cleverly enhanced by CGI, Tarzan looks fantastic; it's just a shame that the story doesn't crackle and fizz with as much energy as the visuals.With absolutely no respect for its source material, this very loose adaptation of Edgar Rice Burrough's classic tale is given the full-on Disney approach. Hence, we get a crap Phil Collins song introducing the movie, a host of talking animals, a wisecracking sidekick and a nastier-than-nasty bad guy. And, unfortunately, not much of a story.Tarzan (a little too pointy-chinned and goggle-eyed for my liking), a man raised by gorillas, meets a group of explorers: Professor Archimedes Q. Porter; his daughter, Jane; and nasty Mr. Clayton, a hunter. Realising that he is human, Tarzan faces a dilemma: should he travel to civilisation or stay with his hairy pals in the jungle? While Tarzan is figuring out what to do with his life, trigger-happy Clayton is planning to bag himself a few gorillasPersonally, if I was in Tarzan's shoes (if he wore them, that is), I would travel anywhere just to get away from Terk, an annoying gorilla voiced by Rosie O'Donnell. With an unbelievably grating voice and quite awful characterisation, I wouldn't have been unhappy to see Terk captured and killed, and her paws turned into a nice set of ashtrays! And the same goes for Tantor, the irritating elephantmuch better off as set of umbrella stands and some piano keys!Of course, in true Disney style, Tarzan saves his furry friends from being captured and everything ends happily (except for Clayton, who meets a particularly nasty fate). Tarzan opts to stay in the jungle, accompanied by Jane and her father.Not exactly a classic offering from 'The House of Mouse', but worth seeing, if only for the sumptuous imagery.",Tarzan
8,moonspinner55,Edgar Rice Burroughs tale gets the Disney treatment...results are lively,7,3 August 2011,"Three screenwriters (Tab Murphy, Bob Tzudiker, and Noni White) ably put the proverbial Disney stamp on the now-legendary Edgar Rice Burroughs story, and the King of the Jungle has never looked so good. Fast-moving, colorful animated adventure with Tony Goldwyn as the voice of Tarzan is full of comedy, romance, and songs (the latter courtesy Phil Collins, who performs some wonderful early tunes before lapsing into a repetitive spiral). The usual jokey sidekicks (de rigueur in the company's '90s output), as well as the rushed conclusion, do not detract from a lavishly-designed and sweetly-told tale. There's genuine awe and excitement in the presentation, making ""Tarzan"" one of the finest Disney efforts of this era. *** from ****",Tarzan
9,Quinoa1984,Mind-blowing,7,21 June 2000,"Tarzan brings to the screen song great animation to a usual Disney feature. The tale of Tarzan (now animated) shows a abandoned boy who is raised by gorillas and one day, finds a trio of humans who change his world forever. Much of the animation (mainly when Tarzan is flying in the trees, literally) reminded me of air surfers who swing on the ropes.  Great fun for all, mainly for kids, and some other stuff for animation fanatics (and some might find a connection to this to anime).  One of the better film of the year (that means it is in the top 20).  A+",Tarzan
