,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,A sheer delight with something for everyone,9,30 March 2015,"Was not expecting to enjoy it as much as I did, to be honest, after seeing the trailer which gave off the vibe that it was going to be another live-action/CGI outing with a weak script, a predictable story, cheap gags and characters we don't care about. After seeing the film, Paddington had none of those things and the trailer really did not do it justice, it may not entirely have the essence of the stories and TV series but it modernises the setting etc. very cleverly and stands very well on its own terms.Paddington looks great, with lots of vibrant colour in the sets(the forest in the prologue is beautiful as well) and with photography that's not haphazard or sloppy. Paddington himself is brilliantly animated and the complete opposite of cheap. The music has its playful-in the humour/slap-stick- and soothing)in the emotional parts) moments, while the script is a sheer delight with deliciously witty dialogue that children and adults alike will understand and enjoy. The story is also a winner, the comedy scenes are just hilarious and very well-timed, something that will absolutely delight children, and the adult jokes are equally sly with inspired references(in a visual way) to the likes of Wes Anderson. Paddington also has a lot of heart and warmth, there are some emotional moments and they were very touchingly done without being cloying, and there is even a bit of suspense thrown in without being too dark or out of place.In Paddington, I found myself really engaging with the characters even Mr Brown. The strongest being Paddington who is incredibly endearing, it's almost impossible not to love him. Ben Wishaw also voices him absolutely beautifully, bringing a calm, youthful quality to it. Hugh Bonneville is appropriately uptight and stern while also bringing humour and warmth to Mr Brown. Sally Hawkins is compassionate, the children are good and Nicole Kidman is both amusing and menacing(wasn't crazy about the wig though. Jim Broadbent and Julie Walters play their roles expertly, Walters especially is a hoot as Mrs Bird, while Imelda Staunton and Michael Gambon while limited in appearance bring heart to their roles. My only complaint that Mr Curry should have had more screen time and the film could have stayed truer to the character in the stories and series. Peter Capaldi does a good job, but the character and his acrimonious relationship with Paddington was one of the best things of the series and Mr Curry instead seemed more of a plot device, with the relationship between them barely explored.To conclude, a delightful family film with something for everyone. 9/10 Bethany Cox",Paddington
1,SnoopyStyle,absolutely charming,8,20 June 2015,"A geographic explorer goes to the darkest Peru and encounters two ingenious bears. He names them Pastuzo and Lucy wondering what will come of them. They learn English, admire London and love marmalade. Many years later, they are joined by their young nephew. After a storm devastates their home, the young bear goes to London with Aunt Lucy promising a welcoming place. Instead he is alone and only taken in by Mary Brown (Sally Hawkins) although her husband Henry (Hugh Bonneville) is very risk-adverse. She names him Paddington after the train station. There is also Millicent (Nicole Kidman) who wants to stuff the bear.This honors the children series with a bear that is charming and delightful. It's a lot fun comedy without too many pop culture references. That gives it a timeless quality. The family is terrific and Nicole Kidman is interesting as the villain with a real story of her own. This is a perfect little family film.",Paddington
2,Horst_In_Translation,About a Bear,6,25 December 2014,"Well.. that this is a very British movie is granted as one of the Mr. Bean writers was responsible for the script here, together with director/writer Paul King. He has worked mostly for the small screen so far, but did a very nice job here. Admittedly, he gets help from a whole bunch of Britain's finest actors and actresses: Hugh Bonneville, who got lots of fame from Downton Abbey in recent years, and Sally Hawkins (such a likable presence here and mostly in everything else she is in), who just scored her first Academy Award nomination. And then there are also Julie Walters, Peter Capaldi, Ben Whishaw, Jim Broadbent and Imelda Staunton and quite a few more, not to forget the Irish Michael Gambon and Hawaiian-born Nicole Kidman. Kidman is probably still the biggest name in the cast. She plays the villain here, a woman who intends to catch and stuff Paddington. She reminded me a bit of Cruella De Vil. The whole character is very cartoonish. It could come right out of an animation movie. I also had to think of the French cop lady who hunts the Madagascar animals.There are some dramatic sequences in the film, even a touch of death with the scientist being dead as we find out in the end and Paddington's dad also dying, but as a whole it is a very positive, uplifting and funny film. The humor is extremely playful and very slapstick from start to finish. Paddington is pretty much an animated bear version of Charlie Chaplinwith an ounce of Winnie-the-Pooh. The toothpaste scene is quite funny and how he manages to flood the whole house. Also how Bonneville's character brushes his teeth afterward. So gross, but in an entertaining way. He kinda deserved it for how he behaved towards the bear. Or how fast he wanted to seal the insurance deal after Paddington was already about to crash the house. I am not that much of a fan of Bonneville, especially in the terribly overrated ""Downton Abbey"", but here I liked him. Another scene I liked was the transformation scene after giving birth. Hilarious! On a random note, I expected Capaldi's character to be the scientist who traveled to Peru early in the film, but nope, I was wrong.The movie also has lots of heart in it. It may be the best Christmas film from 2014, even if it does not play during the holidays. It has nice music, many famous songs and also some Latino music due to Paddington's Peruvian origins. I recommend watching this film, a nice choice for the whole family.",Paddington
3,Prismark10,The land of marmalade,6,11 December 2016,"Author Michael Bond was inspired to write the Paddington stories when he saw kids leaving being evacuated during World War 2 and this film has a subtext of the immigrant experience.Aided with a touch of Wes Anderson stylishness, this is a sweet family film but lacks the warmth of the BBC television series from the 1970s that were narrated by Sir Michael Hordern.Paddington (voiced by Ben Whishaw) is a young bear from darkest Peru who speaks English and loves marmalade sandwiches thanks to a British geographer who met his family years earlier.When their home in Peru is destroyed, Paddington's aunt (Imelda Staunton) sends him to London with a note and a suitcase hoping to meet the explorer who came into contact his aunt and uncle so many years ago.Alone and lost at Paddington Station he is taken in by the kind hearted Mrs Brown (Sally Hawkins) although her husband (Hugh Bonneville) is reluctant but the children warm to him and they name the bear Paddington.Hot on the heels is an evil taxidermist Millicent (Nicole Kidman) who intends to capture and stuff the bear and display him at a museum.As Paddington goes about accidentally causing mayhem, locals do not react to the talking bear, he is viewed as another foreigner. The film becomes a caper movie as he tries to avoid being captured by Millicent and the film pastiches movies such as Mission Impossible.The film is nice enough, kids will enjoy it, a few nice touches but despite some visual flourishes it was passable rather than outstanding. It needed some kind of Nick Park and Aardman Animation type of inspiration.",Paddington
4,kosmasp,So Bears talk ....,7,25 April 2015,"Or at least no one in London seems to think otherwise. If you get hung up on something like this though, you won't be able to enjoy the movie at all. It's really nice told and the animation is great. It's obviously aimed at kids or a younger audience, but it's fun for the whole family. There are quite some cute and sweet situations occurring throughout the movie.Obviously you will see where this is going (though interesting note on what people have under their hats, I should've known that), that's not where the movies strength lies. It's the finding a home for a cute bear thing that will either get your heart or maybe annoy you. Whatever the case, a great kids movie",Paddington
5,classicsoncall,"""I just did what any bear would do.""",8,19 January 2015,"My recent viewing occurred in a nearly sold out theater with kids outnumbering adults and there was no doubt they were having a good time. The crowd went audible in all the right spots and the biggest pop came when Paddington lost his grip and nearly went over backwards in the chimney flue - wow, the kids gave a collective gasp that turned to cheers when the Brown Family made the save.You have to hand it to the animators and CGI artists for this effort. Paddington interacted with his human family like a real person and the effort looked seamless. You'll be asking yourself more than once - How did they do that? Especially effective was the bathtub cascading down the stairs when Paddington had that slight accident in the bathroom. Very cleverly done.Overall a nice family friendly movie except for that dastardly Nicole Kidman, but come on now, you knew nothing bad was going to happen to Paddington. By the look of things, I think we might be seeing more of the little guy.",Paddington
6,jboothmillard,Paddington,8,17 December 2014,"When I was a child I watched the classic 1975 cartoon, on many occasions the first episode ""Please Look After This Bear"", other animated versions followed, and a couple of funny Marmite adverts, but finally it was the Harry Potter producer David Heyman that brought the cuddly character to the big screen, based on the books by Michael Bond. Basically in darkest Peru explorer Montgomery Clyde (Tim Downie) discovered a family of semi-intelligent bears, who can speak English, and have an appetite for marmalade, he tells them they are always welcome to Britain should they wish to visit. The bears, Uncle Pastuzo (Michael Gambon) and Aunt Lucy (Imelda Staunton) live in harmony with their young nephew (Skyfall's Ben Whishaw), but one day an earthquake strikes their home, Pastuzo disappears, leaving nothing but his red hat, so Aunt Lucy encourages her nephew to leave in a lifeboat and find solace in London while she moves into the retirement home for old bears. The young bear reaches London and ends up in Paddington railway station, all he has is his suitcase and a marmalade sandwich under his hat, he is unable to find a home, until he is met by the Brown family, he is greeted by wife and mother Mrs. Mary Brown (Blue Jasmine's Sally Hawkins), she notices the label around his neck, saying ""Please Look After This Bear. Thank You"", taken to tea by Mr. Henry Brown (Downton Abbey's Hugh Bonneville) the young bear tells his name, which is a roar, so he is given a new English name, Paddington. Encouraged by the his wife and children, son Jonathan (The Impossible's Samuel Joslin) and Judy (Madeleine Harris), Mr. Brown reluctantly allows Paddington to stay at the home, that they share with Mrs. Bird (Julie Walters), but he is adamant it will be for one night, Paddington should then try to find a permanent home, and in no time at all things begin to happen, with the Peruvian bear causing a series of accidents. Later he explains that he believes though he could find a home with the help of the explorer who found his family, and the next day, seeing antique expert Mr. Gruber (Jim Broadbent), he and Mrs. Brown find out his hat is an artefact. Meanwhile sadistic museum owner and taxidermist Millicent (Nicole Kidman) stuffs and displays animals for her collection, her guard (Fonejacker's Kayvan Novak) tells how he noticed marmalade stains on a cargo ship, she knows instantly this is the species of bear she is has been searching for years, finding him she wants to hunt Paddington down, he meanwhile with the help of Mr. Brown searches British archives to find entries of the explorations in darkest Peru, they confirm the name M. Clyde and use the phone book to locate all addresses under that name. While Paddington stays in the house alone, Millicent, who is scheming with the Brown's neighbour Mr. Curry (Doctor Who's Peter Capaldi), sneaks in and tries to capture the bear, he inadvertently drives her away, but she does set fire to the house, the Brown family do not believe his story of what happened and believe it is time for him to move out and find a new home as soon as possible. Feeling unwanted Paddington leaves and tries to find Montgomery Clyde himself, after many fails he finally finds the explorer's home, Clyde is revealed to have died years ago, it is revealed Millicent is his daughter, she was bitter towards her father for not capturing the specimen of bears he claimed to have found, he was scorned by the Natural History Museum. Millicent manages to tranquilise Paddington, Mr. Curry betrays her when he realises she plans to have the bear stuffed, he informs the Brown family and they rush to save their friend, locked in the museum they manage to save him, and Millicent is defeated by his marmalade sandwich and a huge flock of hungry pigeons, in the end Paddington is adopted, Millicent is punished for her crimes doing community service in an animal shelter, and Paddington writes to his Aunt Lucy about his happiness at finding a home at last. Also starring Peep Show's Matt King as Andre the Thief, Matt Lucas as Taxi Driver, Geoffrey Palmer as Head of Geographer's Guild, Sightseers' Alice Lowe as Geographer's Receptionist, Sightseers' Steve Oram as Paddington Security Guard, Miranda's Dominic Coleman as Policeman, The Thick of It's Will Smith as Modern geographer, This Is England's George Newton as Angel, Simon Farnaby as Barry the Security Guard and a cameo from Paddington creator Michael Bond as Man at Paddington Station. Colin Firth was originally cast as the eponymous bear, but he quit, claiming he could not perfect the voice, Whishaw is the perfect voice for the young sometimes troublesome but adorable furry friend everybody would want, Bonneville and Hawkins are likable as the Brown family parents, Kidman is amusing as the woman hellbent on stuffing the innocent bear. There was a fair amount in the news about this film being released in cinemas with a PG certificate, because of its innuendo and mild threat, 101 Dalmatians has similar themes and is accepted as a U (LOL), anyway, you ignore this, because it has great special effects to create the believable CGI character in the red hat and blue raincoat, and the slapstick and thrills work well for both children and adults, it is a very British and enjoyable family comedy adventure. Very good!",Paddington
7,tavm,Paddington was an enjoyable enough family film,7,8 February 2015,"Just watched this with my movie theatre-working friend. I remember reading a Paddington picture book when I was under 12 and being partially amused by the story. So watching this movie was both pretty funny and a little touching. And what a sport Nicole Kidman was playing a villain and getting hers at the end! When I originally saw the trailer with the bear getting his head stuck in the toilet after putting the toothbrushes in his ear, well, part of me was worried some bathroom humor would have been snuck in there but, no, this was a very clean movie with some semi-intense scenes involving said villain. So on that note, Paddington was enjoyable enough for me and my friend I just referred to.",Paddington
8,studioAT,Wonderful,8,29 March 2020,A very sweet adaption of the classic children's books by Michael Bond.This deserves all the hype it received as it is a well-made children's film that adults can enjoy/learn a lot from too.With a lot of heart and humour this is a perfect film to watch during these troubled times.,Paddington
9,Scarecrow-88,Paddington,8,3 December 2016,"Paddington, the beloved Michael Bond bear known by generations in children's books, made his welcome CGI live action debut with this delightfully spirited hoot, hopping on a boat hidden after leaving ""darkest Peru"" for London after an explorer visited him and his aunt/uncle in the jungle, making quite an impression on them. Once in London he encounters risk analyst and his family who aren't as much astounded by a talking bear as concerned about his need of a refuge. Meanwhile a taxidermist (Nicole Kidman) eyes Paddington for her natural museum. While the attention to detail and quirky direction warrant comparison to Wes Anderson, the treat of this film is how London is used as an aesthetic backdrop for Paddington's adventures. And the CGI work for the bear and the marvelous voicework of Ben Whishaw enhance the whole experience. Marmalade is ever present, as is the explorer's hat with the sandwich Paddington never gets to eat because of those pesky pigeons. Paddington's bond with the Browns (Hugh Bonneville, Sally Hawkins, Madeleine Harris, and Samuel Joslin) despite unfortunately flooding from a bathroom mishap and a fire in their kitchen caused by Kidman trying to snatch him tightens as the bear wins their hearts. Sweet tone never wavers despite Kidman's dark character, cleverly tied to the explorer who met Paddington's family years ago. The subway scenes (including a dazzler involving Paddington chasing down a pickpocket) are exciting, visually arresting, and amusing, especially an escalator which Paddington is confounded by. The antiquities shop, with Jim Broadbent and that amazing train inside, is a big wow. Imelda Staunton and Michael Gambon offer fun voicework as Paddington's aunt and uncle, besieged in the jungle by an earthquake. Julie Walters is a treat as eccentric housekeeper for the Browns who offers her opinions from time to time and comes in handy when the family must rescue Paddington from Kidman. Peter Capaldi as the nosy next door neighbor who sides with Kidman to rid the apartments of the bear steals the film when he is on screen. The inventive set pieces involving the Smiths residence inescapably call to mind Anderson's oeuvre but are all the same striking. Recommended family film for the holidays.",Paddington
