,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Superbly staged, with a wonderful score, powerful direction and outstanding performances",10,20 February 2011,"First off, I can understand any criticisms geared towards Midnight Express. Some might say it has a sympathetic depiction of drug traffickers. Some might say it has pitiless violence. Some might say the representation of the Turkish jailers is stereotypical. Some might say it had an over-simplistic approach to the key issues that greeted it upon release. Those who say that are in some ways right, this film does have those things.However, while they are hard to counter in a way, I actually don't consider them flaws. To me, Midnight Express was still a superbly staged film. It has atmospheric cinematography and lighting, while the direction from Alan Parker is powerful and intelligent. Giorgio Moroder's electronic score is wonderful and unforgettable, some people may think it too strident perhaps, but I loved it and thought it added a lot to the film. The film also has a very good screenplay, a very effective and iconic opening sequence and a harrowing yet gripping story.The acting is outstanding, especially Brad Davis, while Randy Quaid and the underrated John Hurt are also excellent. So all in all, Midnight Express is a great film. 10/10 Bethany Cox",Midnight Express
1,bkoganbing,Those Istanbul Blues,9,12 October 2014,"It was with some interest that I sat and watched an interview with the real Billy Hayes before writing this. Two interviews in fact where Hayes admits this film does not tell the whole story. Above all he states that this was not a first offense for him, it was only the first time he was caught smuggling hashish out of Turkey. Had to happen sooner or later and Hayes was sent to Turkish prison.That does not lessen in the slightest the impact that Midnight Express has because jail is jail no matter where you go. And jail except for a few western countries like the USA is rough. What it is is not as squalid as what you see in Turkey. And of course those rights that are in the Constitution that one takes for granted here just aren't there in most countries. It's only in countries with their legal system stemming from an Anglo-Saxon tradition that you are innocent until proved guilty. Good reason to deter people from doing what Billy Hayes did.Midnight Express is probably the best of a tradition of Americans in foreign prisons films like Breakout or Brokedown Palace as other examples. Brad Davis in a breakthrough role gives a powerful performance as our protagonist Billy Hayes. His fellow western inmates include Randy Quaid, Norbert Weisser and Academy Award nominee John Hurt. Each of them adapts to Turkish prison in their own way and they all mentor Davis.The real Billy Hayes said that the portrayal of the Turks was unjust and that we shouldn't judge Turkey by the Turks we see here. I wouldn't do that either, but who do we see but Turks involved in the criminal justice system so different that our's and Turk prisoners in the same jail that Davis and the rest are in.Jail is jail and no jail is complete without it's officials finks. Paolo Bonacelli is the stool pigeon planted in the same cell with the foreigners and he gets a rather just comeuppance for his activities. Most powerful of all is the head guard Paul Smith who has made Davis a particular target for torture. Inadvertently also he's means for Davis's deliverance.Midnight Express got two Oscars for Best Music score and best adapted screenplay and other nominations including the one John Hurt got for Best Supporting Actor. Prison films never date and Midnight Express is as powerful as when it was released in 1978.",Midnight Express
2,Leofwine_draca,Probably the most gruelling prison film in existence,8,28 August 2016,"As bleak as most prison dramas usually are, MIDNIGHT EXPRESS is probably one of the most harrowing of all time. The reasons for this are that a) we watch some totally appalling things go on, b) the acting is exceptional and makes us care for the characters, and c) the realism of the film means that it's easy for the viewer to think ""this could happen to me..."", as it wouldn't be the first time drugs have been planted on an unsuspecting holidaymaker. The prison in this film is definitely the dirtiest I've ever seen, miles away from the hi-tech surveillance compounds of Britain and America.Brad Davis has the central performance, as the film follows his teenager right from his arrest to his eventual escape (seven years later!). He's excellent, creating a believable character who goes through a realistic change as the years progress. In one scene, Davis memorably snaps and goes insane, a haunting and extremely powerful moment. Supporting him are John Hurt, who gives a memorably twitchy performance, and poor young Randy Quaid. The things that happen to Quaid will make you cringe.This is definitely an adult film in nature, containing as it does some very explicit and horrible violence. The prison guards in Turkey have a thing about whacking their batons against the soles of the feet of offenders, scenes which are nearly as difficult to watch as those in MISERY. In other graphic moments, a man has his tongue bitten and ripped out of his mouth, and a prison guard gets his just desserts when he falls against a coat hook with fatal results. For a film so depressing and harsh, it's a must to have an uplifting ending, which this thankfully has, but not before Davis has undergone all manner of ordeals. MIDNIGHT EXPRESS is a film that every potential holidaymaker should be made to watch as a warning, and will remain in your memory long after viewing.",Midnight Express
3,SnoopyStyle,Good Prison Movie,7,4 December 2013,"Based on his book, Billy Hayes (Brad Davis) tries to smuggle hashish out of Turkey and is caught. He is eventually sentenced to 4 years and 2 months. The conditions are impossible and he faces physical and emotional trials. He makes a few friends with the foreigners in prison which includes John Hurt and Randy Quaid.While the ordeal is harrowing, I don't see how anybody could root for the guy. He's a drug smuggling idiot. That is not in dispute. He is by no means innocent. And 4 years seems like a light sentence. He didn't get caught with a joint. He was packing a lot of drugs. The fact that they're trying to play him as a sweet kid only made him look stupid.It is one of Oliver Stone's early screenplays. There is some arguments over its accuracy. I will go back to my usual expectation that this is not a documentary. I'm sure much of it is fictionalized.The ending seems a little bit unrealistic. But it's a good prison movie overall. There are some surprisingly original scenes in this. Oliver Stone probably had something to do with that.",Midnight Express
4,Hitchcoc,It Is Racist,5,22 December 2016,"Having visited Istanbul and other Turkish cities, I have a different impression of the people of that country. Unfortunately, as I write, there is big trouble, with violence reigning. In this movie, a guy stupidly tries to smuggle drugs onto an airplane. He is captured and put in a Turkish prison. Did he have any doubt what would happen to him when he did this. I remember a ""Sixty Minutes"" feature on a couple twenty-something girls who were given free passage to Thailand. All they had to do was bring a package back. They will be in prison until they are thirty-five. Don't mess around in foreign countries. Americans don't always get their way. Of course, I am no expert on Turkish prisons, but the portrayal of the prisoners and the Turkish people is utterly racist. I thought the movie was exciting but it is overriden by trying to feel positively about this guy.",Midnight Express
5,kosmasp,On time (not?),8,30 August 2020,"While I try to read as little as possible about movies I'm about to watch (and this is the first time I saw this the other day), it is quite difficult not knowing where most of the movie will be playing out. Which makes it even more difficult to understand certain decisions the main character makes. While most are at least understandable, there is a running scene relatively early on, that does not make sense at all.It's made even worse when you think about it almost not mattering in the grand scheme of things. Not that our main actor would know, but still. And talking about knowing, this is based on a true story. Don't roll your eyes (if you did) - although I understand the sentiment. One thing the director makes clear in the special features, this may be based on something that happened, but what you see in the film is quite heightened. One of the people who heightened it, got an Oscar for it. Oliver Stone - and is seems to have helped his career a lot.The movie itself is quite draining and a tour de force, for the viewer but also the persons involved. This is also r-rated for a reason. It is not for the squeaish or faint of hearted. A lot of anxiety, a lot of frustration and a lot of anger ... the system can and will work against you at times ... or is it always? Whatever you make of this, it left a mark and while not without flaws, is disturbing and good enough to give you nightmares or pause to think/reflect",Midnight Express
6,classicsoncall,"""There ain't nobody here who's innocent.""",8,27 June 2019,"I recall how horrified I was at the treatment of Billy Hayes (Brad Davis) in prison when I first saw this picture during it's original release. Part of that had to do with the fact that I was about his age in the movie at the time, and couldn't imagine going through an ordeal like his myself. Not that it would ever happen because I wouldn't be smuggling drugs out of a foreign country, but you get the point. The issue was made in the film that Billy's punishment far outweighed the crime, and I don't know if that would have been the case if his arrest and imprisonment occurred in America. But he certainly wouldn't have been subject to the harsh prison conditions and abject brutality that he was forced to undergo in a foreign country like Turkey. He did himself no favors of course when he went on his courtroom tirade against the judge and prosecuting attorney during the retrial. Combined with the original infraction, it should be a worthy lesson to all about committing a crime in a foreign country where the rule of law can be anything but. I don't know anything about the real incident that was the basis for this movie. If Billy's Hayes experience was even half as bad as depicted in the story, it would be a sad commentary on man's inhumanity to man, and an object lesson in demonstrating how one ought not to stray from the straight and narrow in a culture that doesn't value human life the way we do.",Midnight Express
7,lee_eisenberg,"Hopefully, we've all learned to avoid getting thrown in jail in the Third World.",8,14 February 2006,"The movie that made director Alan Parker really famous tells the true -if somewhat exaggerated - story of Billy Hayes (Brad Davis), who got thrown into a hellish Turkish prison after he was caught smuggling hashish. The movie starts off by setting up the historical context. The first thing that you see is Billy and his hubby Susan (Irene Miracle) reading about Janis Joplin's death in the paper. But once he gets arrested, then things get ugly. You'll need a strong stomach to watch this movie. That of course means that they did really well with it in every way. Oliver Stone was one of the screenwriters. Also starring Randy Quaid, John Hurt, and Bo Hopkins.",Midnight Express
8,jboothmillard,Midnight Express,8,13 October 2009,"From BAFTA winning, and Oscar and Golden Globe nominated director Sir Alan Parker (Bugsy Malone, Fame, Angel Heart, Mississippi Burning, Evita), I noticed this film for being five stars out of five, and having two good stars in the cast. Based on a true story, Billy Hayes (BAFTA and twice Golden Globe nominated Brad Davis) is arrested in Turkey trying to smuggle drugs. The Turkish authorities sentence him to four years in prison, to make an example of him. While in prison, Hayes meets fellow inmates Jimmy Booth (Randy Quaid) and Max (BAFTA winning, and Oscar and Golden Globe nominated John Hurt), who have plans for some sort of escape attempt. Hayes does have two opportunities to get out of prison: appealing with his lawyer, family and the American government; or the ""Midnight Express"" (prison slang for an inmate's escape attempt). He does attempt to escape from the prison with Booth and Max, removing large stones from the wall and trying to find an escape in the sewers below. But this backfires when the removed stones are discovered. Hayes then ruins his chances of getting out by biting the tongue off a prison informant. He is placed in a mental asylum, and after another escape attempt involving bribing, he is nearly raped by a guard. Hayes kills this guard, accidentally, steals his uniform, and manages to walk out the front gate. The final text says that he managed to cross the border of Greece and get home three weeks later. Also starring Golden Globe nominated Irene Miracle as Susan, Bo Hopkins as Tex, Paolo Bonacelli as Rifki, Paul L. Smith as Hamidou, Norbert Weisser as Erich, Mike Kellin as Mr. Hayes, Franco Diogene as Yesil and Indiana Jones and the Last Crusade's Kevork Malikyan as the Prosecutor. Davis is magnificent as the prisoner you can sort of sympathise with, Hurt and Quaid are also fantastic support. It has very hard-hitting material, including the brutality of the law and authorative system, it is from what I've read not completely accurate in its facts, but you cannot be compelled by it, a fantastic prison drama. It won the Oscars for Best Music for Giorgio Moroder and Best Writing, Screenplay Based on Material from Another Medium for Oliver Stone, and it was nominated for Best Picture and Best Film Editing, it won the BAFTA for Best Film Editing, and it was nominated for Best Film, and it won the Golden Globes for Best Motion Picture - Drama, Best Original Score and Best Screenplay. John Hurt was number 27 on The 100 Greatest British Actors. Very good!",Midnight Express
9,ma-cortes,Fascinating and violent prison movie partially based on true events,7,25 August 2010,"This excellent movie deals with the American Bill Hayes (performedd by the late Brad Davis ) who was detained smuggling two kilograms of hashish while trying to board the flight along with his girlfriend (Irene Miracle) from Istanbul, Turkey, in 1970 . He was condemned to four years in a hellish Turkish prison on a drug possession charge, but his sentence was later extended Turkish courts decide to make an example of him , sentencing him to more than 30 years in jail . Hayes has two opportunities for getting freedom : the appeals made by his advocate at law , his father (Mike Kellin), and the American government, or the ""Midnight Express¨ . Meanwhile, Hayes suffers incredible cruelty and sadism before his escape in 1975. It deals upon horrible conditions of prisoners and grueling efforts of the meager captives to survive ,confrontating mistreats, rampage and continuous violence with punches , lashes, knocks and incredible tortures . The most part of the movie takes place into four walls of a jail , criminal court ,yard and sewers involving and executing the preparatives of the escape . The picture tells the authentic experiences of convicts who live in a brutal Turkish prison that is a hell on the earth , reflecting the hardship existence of the inmates . We have seen men tortured , harassed and humiliated in a gaol where rules the strongest law . The film narrates physical mistreats , tortures and the preparation and execution of the getaway , but also friendship and comradeship . Later on , Hayes erupts in an explosion of self-defensive violence in some breathtaking scenes.This powerful prison movie well produced by prestigious producer David Puttnam contains thought-provoking drama , thrills , chills and lots of violence . Sensational performances from the magnificent starring Brad Davis who suffers an emotional brutalization and perfect support cast as the junkie John Hurt , the nasty sneaker Paolo Bonacelli who causes in Hayes an explosion of violence and Paul Smith as sadist warden who uses unthinkable tortures and brutality. This is a superbly crafted film though is also intensely manipulative and xenophobic . Interesting screenplay deserving an Oscar by Oliver Stone though full of offensive stereotypes against Turks and not faithful to Bill Hayes's true deeds . Evocative and dark cinematography by Michael Seresin . Unforgettable score by Giorgio Moroder with excessive use of synthesizer and electronic music. Skill and riveting direction by Alan Parker with some sensationalist touch ; this is his first big success , subsequently he made other hits such as ¨Fame¨, ¨The Wall¨,¨Angel heart¨, ¨Missisipi Burning¨ , among them. Rating : Very good , above average . Worthwhile watching .",Midnight Express
