,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Dumb action vehicle that works quite well despite the stupidity,6,6 December 2016,"A brain-dead exercise in OTT action, lacking in wit, style, and intelligence. Yet not without a certain moronic charm to recommend it. xXx is basically FAST AND FURIOUS director Rob Cohen's take on the whole spy/Bond sub-genre, in much the same style as his car-racing flick: big, loud, obnoxious, and obnoxiously smug, thinking itself to be the hippest, most stylish offering yet, when in fact it offers the same tired clichés and obvious paper-thin plot and situations. It starts off relatively well, with bizarre situations (a fake diner hold-up) and a particularly unlikable leading man, the rude and charmless Xander Cage who does dumb things like parachute from a car falling off a bridge. After a little while, and a change of location to Prague, things become typically dumb: Cage breaks into the baddies' inner circle, falls in love, gets found out, then lots of people shoot each other until the film finishes. Hmm.It does look good, with great locations and a budget which is able to convincingly portray the special effects in a good light. But the action is fast, yes, furious, no, most of it being unconvincing in the extreme, yet not in a good way like one of those zany kung fu flicks. They're in it for the fun, this tries to be realistic, it doesn't work. There are outrageous stunts – Cage's trick with the dinner tray, for instance, and plenty of big-bucks OTT explosions and even avalanches. There are admittedly some bits that work (I liked the exploding flying motorbike shot, so shoot me) and it certainly seems fast-paced with little drag. The cast, too, keeps it interesting: Diesel's lunk is still different enough to be worth a watch, whether just to hear his latest big-headed wisecrack; Euro-villain Marton Csokas is pretty charismatic, and a few stalwarts show up like Danny Trejo and Samuel L. Jackson, playing riffs on routine characterisations. The hot Asia Argento is also present, and her appearance may be enough to make male viewers watch it; there's something so base and low about her here that she's a character hard to resist – some might say Dario's greatest offspring (or is that SUSPIRIA)? So, all in all, not badtypical, but enough stuff to keep watching.",xXx
1,SnoopyStyle,stupider version of a Bond movie but Vin Diesel has his charms,6,18 May 2014,"Xander Cage (Vin Diesel) is an adrenaline junkie and exhibitionist with an attitude. He causes chaos for the sake of his underground agenda. NSA Agent Gibbons (Samuel L. Jackson) arrests Xander and recruits him to infiltrate the organization of gangster Yorgi (Marton Csokas). He has the background and the attitude to fit in and best of all, he's expendable. Yelena (Asia Argento) is Yorgi's girl assistant. The action is from an inferior Bond movie. The story is convoluted. This is basically paying homage to Bond. At least lots of things blow up. Vin Diesel does have the charisma even if his acting is strictly functional. He shows that he could be a good action hero. He just needs to find the right franchise. This is flashy without the right substance. That seems to be the trademark of director Rob Cohen. There is too much stupidity going on. I don't really like the eurotrash motif. However there are just enough good stuff here to see this as escapist fun.",xXx
2,Horst_In_Translation,"Diesel's rise to stardom continues, but sadly the film's level is not on par",4,26 January 2017,"""xXx"" is an American movie from 2002, so it has its 15th anniversary this year. Fittingly for this anniversary, they made the third entry to this series recently and the lead actor is once again Vin Diesel. He has worked together with director Rob Cohen on several occasions, such as the very first ""The Fast and the Furious"". And now you also know what to expect here. This one here is the epitome of a pretty pointless action movie. It is about an extreme sports athlete who gets recruited by the government to go on a very dangerous secret mission. And honestly, this mission and the story around it are just not enough for two hours in terms of quality. Even I as a fan of Samuel L. Jackson must say that his generic character cannot really elevate the material here. It is all as expected. Diesel's character of course easily gets all his missions done, even if they try to make it look hard and he also always makes a cool statement afterwards, which may work on the first two or three occasions, but gets repetitive and try-hard relatively quickly. The only scene I somewhat liked was when they were at this restaurant and the girl (of course Diesel's character takes care of the bad guy's lover) gets informed that somebody is aiming at them. This was a pretty tense scene because Diesel for once has to go out of his comfort zone, but everything (before and) afterwards is just one action sequence following the next, at the very end also in the snow. And about Jackson's character making jokes how it's just a test all the time and the real mission is yet to come. Oh well, maybe it finally did in this recent release.Back to this one here, you can easily identify the filmmaker's intention to turn this into something deeper than pointless action, but I just don't feel they had the talent and this is also what people say about his other works sometimes. Here, one example would be the scene when he recognizes the woman's boots and how Jackson's character explains it all afterwards. And of course Diesel's character is also the one cracking jokes with the other guys in the plane, so we see what a cool, likable alpha male he is, not scared of attacking that one other agent all the time, the one we are supposed to consider unlikable, but I personally did not really like Diesel's character either. Occasionally, they try to throw in Bond references, like when he says what he has to do for his country before going to bed with a hot chick, but yeah, it all just feels funny for the sake of it and not really creative or authentic. This is a perfect example of a movie with which one film is one too many already and let's not even talk discuss sequels, but the success with audiences resulted in it actually becoming really successful (not with critics though) and that's why even 1.5 decades later still new films are being made. I personally give this one here a thumbs-down though. Not recommended.",xXx
3,Prismark10,Cage in a rage,6,6 February 2014,"Fast and Furious director and star (Rob Cohen and Vin Diesel) reunite to take on the world of espionage.From an early moment we see a spy infiltrate enemy territory and then reveals himself in a tuxedo. The spy is soon out of sorts when he has to blend in during a metal concert.Blending in as the new century arrives is not a problem for Xander Cage. A big muscular, tattooed extreme sports addict. He has been recruited by Samuel Jackson doing an early Nick Fury impersonation to go on a mission and do his bit for the Stars and Stripes.The plot involves renegade Russian anarchists who want to destroy major cities by way of biological weapons and install a new world order. The group has already been infiltrated by Russian agents and unite with xXx to take out the bad guys and weapon.The plot is indeed pure James Bond with its European setting but Diesel does not cut it as a super-spy. Extreme sports addicts might enjoy Diesel trying to out ski an avalanche.The film is also too long, it needed to be tighter, the bad guys are unmemorable and as the years since this film has shown. Bond is still the name you know as Diesel bailed out for the sequel.",xXx
4,kosmasp,Bond he ain't,4,20 May 2007,"Not that the movie tried back then to be like a Bond movie. It tried to update the spy movie/myth into the modern day. The key word being tried. In my eyes it never achieves that goal and I do like Vin Diesel (although more his Pitch Black character or his recent ""Find me guilty"" movie)! That this isn't the greatest action movie, that has been established by others here before. There's not much story here, but that can be forgiven, because it's an action movie! But where it really fails, is the sometimes bad choreography of the action scenes. And that is something that cannot be forgiven or overlooked. Especially a motorcycle stunt is edited so badly it nearly made me sick! So all the updated spy things (character, gadgets and so fourth) are thrown away at the end ...",xXx
5,gavin6942,Extreme Fun,7,21 December 2015,"An extreme sports athlete, Xander Cage (Vin Diesel), is recruited by the government on a special mission.I wish I didn't like this film. I mean, I'm not typically someone who goes for over-the-top action films. I like the cheesy 1980s ones from Cannon and all that, but I am not huge into the fast cars and all that. And that, this film won me over.Most likely it had something to do with the metal aesthetic. Opening with a Rammstein concert, flames and all, definitely caught my attention. And then you cast Asia Argento? Good choice. She had a few good years and this was probably one of them...",xXx
6,lee_eisenberg,the things Vin Diesel's gonna do for his country: act in silly movies,5,15 July 2005,"""xXx"" is basically another ""Teenage Mutant Ninja Turtles"". Xander Cage (Vin Diesel) is a muscle man hired by the government to be a secret agent. He goes around kicking booty and falls for Russian agent Yelena (Asia Argento).I guess that there's nothing wrong with the movie, per se. It's pretty fun, albeit improbable. It's just that I wouldn't recommend it to you as your first choice. I gotta ask: is Vin Diesel ever going to act in anything other than movies that have him flexing his muscles? Actually, he did star in ""Saving Private Ryan"". And of course, Asia Argento's father Dario is a famous horror movie director.",xXx
7,jboothmillard,xXx,4,19 March 2012,"I had always heard about this high action film because of the two leading stars, and it is an easy title to remember, but I had never actually seen it, so I was definitely interested to, from director Rob Cohen (Dragon: The Bruce Lee Story, DragonHeart, The Fast and the Furious, The Mummy: Tomb of the Dragon Emperor). Basically the US government have a list of people with criminal records and special skills who qualify as perfect for a special mission, and National Security Agent Augustus Eugene Gibbons (Samuel L. Jackson) has chosen who he thinks is the best of them. Xander 'X' Cage (Vin Diesel) is an extreme sportsman, notorious underground thrill seeker and sure fire adrenaline junkie, his attitude stinks so naturally he has no interest in Gibbons's proposal, but he is forced with the possibility of facing prison. His mission is to enter a world of crime and gather information about an Eastern European underground organisation called Anarchy 99, that others have failed to infiltrate, they are apparently trying to destroy the world. The group is led by Russia ex-soldier Yorgi (Marton Csokas) who has a grudge against authority and society in general, and obviously world politics, so naturally he wants to rid the world of it completely. X, or 'XXX' (Triple X) is getting closer to the villain via his apparent girlfriend Yelena (Asia Argento), and of course his no sense of fear of danger attitude, as well as his determination to get through situations come in very handy to defeat the enemy and save the day. Also starring Michael Roof as Agent Toby Lee Shavers, Danny Trejo as El Jefe, Richy Müller as Milan Sova, Tom Everett as Senator Dick Hotchkiss, The Karate Kid Part III's Thomas Ian Griffith as Agent Jim McGrath and ""Let Me Blow Ya Mind"" rapper Eve as J.J. Diesel obviously got his action man status from this film, after having many small parts, and he is relatively alright with his gruff demeanour, and Jackson does alright as his scar faced mentor, it is admittedly a rip off of James Bond and an excuse for just as many explosions, big landscapes and big stunts, but it doesn't try and grip you with a decent enough plot, but overall it is not a terrible spy action thriller. It was nominated the Razzie for Most Flatulent Teen-Targeted Movie. Okay!",xXx
8,ccthemovieman-1,Diesel Is Decent As Latest Macho-Hero,7,21 September 2006,"Vin Diesel is a pretty good guy to play these new action-heroes. Like ""The Rock,"" he's a big, muscular macho guy who men can look upon with some respect and the ladies can fall for. Unfortunately, a number of these testosterone-filled action films, including this one, are somewhat moronic in nature. However, they are undeniably entertaining.You can always depend on one thing in these type of movies, from the ""biker movies"" of the '50s to today's films: the hero will always be a rebel against authority and any laws of the land. Also, an even more-recent theme is to have the government actually employ the rebel to get the job done because their men are unable to accomplish what this ultra-tattooed macho man can do! It's so much garbage, but it has its moments and Diesel still is a likable hero of sorts. Like Arnold Schwarzenegger before him, and Steven Seagal, Jean-Claude Van Damme, Chuck Norris and then ""The Rock,"" these kind of muscle-men have fairly clean mouths and at least some ideals. For pure action, the movie succeeds because, in the end, it does entertain which is the name of the game.",xXx
9,Tweekums,Mindless fun,7,17 September 2009,"I hadn't seen this film before yesterday but when I looked through the television guide it looked like the least bad thing on. I'm rather glad I decided to watch it as it was quite fun. Sure the plot was sub-Bond and Vin Diesel is hardly the worlds greatest actor... he does however do what is required in a film like this.Vin Diesel plays extreme sports junkie Xander Cage who is recruited by the US security services when their own agents keep getting killed on a mission to infiltrate a group calling themselves Anarchy 99. As one would expect with such a film the group has an evil purpose, in this case to poison millions of people with a binary nerve gas.The plot is really just an excuse to show a series of dramatic stunts including parachuting from a car as it goes over a bridge parapet, doing spectacular motorcycle stunts while being shot at from helicopters and snowboarding in front of an avalanche. We also get Bond-style gadgets including a multi-purpose gun, binoculars that can see through walls and high explosives disguised as sticking plasters.If you want a couple of hours of mindless fun with great stunts and spectacular explosions then check this out. While Xander Cage will never challenge James Bond in the spy thriller stakes xXx is more entertaining than certain Bond films... there is no CGI surfing here.",xXx
10,ma-cortes,"Unstopped action-packed, violence and overwhelming scenarios",6,11 February 2008,"This blockbuster concerns about Xander Cage, a macho-man with natural athletic abilities, he's an extreme-sports expert. When he is by force recruited by NSA agent Gibbons(Samuel L. Jackson) for dangerous mission and as avoid going to jail but he has some problems with the law . Xander can succeed where other US Government agents have failed. He must to go underground Praga and infiltrate as undercover agent into Russian ring called Anarchy 99, led by a ruthless mobster(Marton Csokas) who uses nuclear weapons. Xander Cage must combat a cruel enemy far beyond his possibilities, he's only helped by a gorgeous girl(Asia Argento). Furthermore, Xander is supplied with technological arms by an agent(Michael Roof), similar to Q-James Bond.The film contains high-energy action, noisy thrills, struggles, emotion and spectacular scenes. It's over-the-top action movie plenty of explosions, firepower, gun-play and breathtaking pursuits as when a motorcycle runs afoul with bounds and leaps. The picture is stirring and exciting, though also a routine actioner with no much sense. Tough Diesel as one army man is cool, he's co-executive producer. Lively musical score by Randy Edelman , adding hard rock, heavy metal and disco-music. The film is produced with high budget by Neal H. Moritz, an action movies producer and usual of Rob Cohen movies. Cohen is a nice director of hits, such as ¨Stealth, Fast and furious, Daylight, Skulls, Dragonheart¨ among others. It's followed by an inferior sequel starred by Ice Cube and again with Samuel L Jackson and directed by Lee Tamahori.",xXx
11,Quinoa1984,A true action pic stylized for its audience (teens),5,13 August 2002,"Much of XXX can be seen as a homage to the James Bond franchise, we have the gadgets the stunts the M and Q characters, just a less suave attitude with Vin Diesel than with a Connery or Brosnan.  Here, Diesel is a stunt man sort of, and has three strikes against him, until Gibbons (Jackson) comes forth and brings him an opportunity to serve his country.  He agrees, since it gets him out of jail, and it pits him against a group called Anarchy 99 (the Vandals reference is nice amidst the usual clunk of dialogue. Nothing people haven't seen before; the stunts especially are one degree from going into parody ala Austin Powers territory.  But it's kept at just the safest enough level and it can be seen that a lot of work went into these stunts and effects in these action scenes.  Exciting, as long as you don't ponder it after it's over.  B+",xXx
12,wes-connors,yYy,4,26 August 2011,"Because he is such a gnarly dude, the Unites States government puts muscular criminal Vin Diesel (as Xander ""xXx"" Cage) on the payroll as a secret agent. After passing some tough guy tests administered by superior scar-faced agent Samuel L. Jackson (as Eugene Gibbons), Mr. Diesel is sent to the Czech Republic to befriend, but really fight against anarchistic accented Marton Csokas (as Yorgi), who throws a great party. Secretive girlfriend Asia Argento (as Yelena) is an important distraction. If you like fast cars, bikes and explosions with your dirty, dangerous and tattooed Diesel, this film is for you.**** xXx (8/9/02) Rob Cohen ~ Vin Diesel, Samuel L. Jackson, Asia Argento, Marton Csokas",xXx
13,BandSAboutMovies,Hot Topic Bond,5,10 April 2020,"After The Fast and the Furious, Rob Cohen and Vin Diesel teamed up again to create this James Bond for the 2000's. Xander Cage is a stuntman and X-Sports loving rebel who gets hired by the NSA to infiltrate a gang of Russian terrorists named Anarchy 99, who have acquired a biochemical weapon called Silent Night.Seriously, this movie couldn't be more 2000's if it was filmed inside a Hot Topic while everyone was wearing JNCO jeans.NSA Agent Augustus Gibbons (Samuel Jackson) offers Cage a deal. He'll clean his criminal record if he joins up and stops the Russian group.Seeing as how this is a 2000's movie, of course Danny Trejo shows up as a criminal. Asia Argento shows up as Yelena, a Russian undercover agent who falls for Xander. There are also plenty of cameos, like Eve, Rammstein, Tony Hawk, Mike Vallely, Carey Hart, Matt Hoffman and Buckcherry singer Josh Todd. Seriously, this movie is so 2000's that it tastes like Surge.The film immediately sends up Bond by having a version of him - Agent Jim McGrath (played by Thomas Ian Griffith, who was Jan Valek in John Carpenter's Vampires) - get killed off before the action begins.As much fun as I've made of this movie for being dated - just check out VIn's fur coat - the Bond movies probably feel the same way for some people. Oh well - any movie with Asia in it is worth watching, right?",xXx
14,michaelRokeefe,No kidding! A secret agent?,2,5 July 2003,"Adrenaline-charged combustion. Full throttled maximum volume action. A government agency recruits an extreme-sports enthusiast(Vin Diesel)to covertly thwart a maniacal terrorist. Also in the cast are:Samuel L. Jackson, Michael Roof, Asia Argento and Marton Csokas. Reality:absent. Escape:obvious with gusto.",xXx
15,hitchcockthelegend,"Bang bang, fire fire.",7,18 June 2009,"xXx is directed by Rob Cohen and written by Rich Wilkes. It stars Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson & William Hope. It's shot mostly in Prague with Dean Semler on photography and Randy Edelman scores the music.Underground adrenaline sports hero Xander Cage has fractured just one too many laws. The secret service, in desperate need of agents tough enough to complete the most hazardous of missions, have Xander under threat of prison, something he can avoid if he gets to Prague and infiltrates Anarchy 99 and foil their fiendish terrorist plot.You can just imagine the meeting of minds at the lunch table for discussion on xXx. Right, so it looks like the James Bond franchise is heading downwards again, and this up coming Bourne thingy probably wont have any legs. Look guys, I really think there is a market opening for a kick ass secret agent movie. Lets get beefcake man mountain Vin Diesel to star, set it in a quality location, maybe Prague, and let all hell break loose. Slot in a foxy chick like Asia Argento to stir the loins of the thrash metal Satan worshippers, and put in a crazy Bondian villain intent on making the world implode.You know what? They went ahead and did it. Made for $70 million the film, in spite of divisive reviews, went on to make over $270 million Worldwide. The out shot is that xXx is just over two hours of disposable, unadulterated, explosive action fun. 6.5/10",xXx
