,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Engrossing love story,6,3 March 2020,"THE CRYING GAME is one of director Neil Jordan's most engrossing and involving movies, made with depth and mature skill throughout. It's a small scale and simple story in which an IRA member, played in a hugely sympathetic way by Stephen Rea in his best role, gradually befriends a captured British soldier, as played by Forest Whitaker (who understandably struggles with his accent). After a lengthy introduction the story shifts to London, where Rea becomes infatuated with a mysterious hairdresser, as played by Jaye Davidson. It's a film I came to already knowing the plot twist - how could I not? It's one of the most famous of the 1990s - but this didn't stop the film being engaging. I found the romantic aspect handled in a particularly sensitive way, with Davidson thoroughly deserving his Oscar nomination in a difficult role. Ralph Brown and Tony Slattery are also welcome in smaller roles.",The Crying Game
1,SnoopyStyle,Such a shocking reveal,8,2 September 2014,"Jody (Forest Whitaker) is a British soldier lured and kidnapped by Jude (Miranda Richardson) and her IRA group with Fergus (Stephen Rea). Jody befriends Fergus and Jody tells him about his girlfriend Dil (Jaye Davidson). Jody runs away as Fergus follows reluctant to shoot him. By coincidence, the British army arrive to gun down the IRA group and accidentally runs over Jody. Fergus escapes and seeks out Dil, the London hairdresser.Writer/director Neil Jordan does something special here. There is a slightly homosexual tone between Jody and Fergus' interaction. It doesn't let on but it's constantly there. Of course it's about the shocking reveal. It certainly shocked me when I first saw it. At first glance, it could be seen as a simple gimmick. However watching it more than once, the whole movie is infused with that theme. The twist isn't something out of the blue and yet it's completely unexpected.",The Crying Game
2,Hitchcoc,"With or Without the ""Twist"" It's an Amazing Film",10,5 January 2017,"There are so many elements to this incredible film that I could go through, but they have been pointed out over and over. Suffice it to say that it has an intense, dangerous element, with forces at work that are utterly overwhelming. It has a couple love stories that transcend the ordinary (not just romantic love but that which holds us up as human). We have characters that are so complex and who reveal themselves to us in ways we seldom see. The plot is complex and engaging. It could be divided into fourths, with each part a single plot line which then comes back to center. There are no cheap, superfluous elements here. At the time, it was controversial and there was talk that it was simply pushing shock value. Put the commentary aside and be ready for the ride.",The Crying Game
3,Prismark10,Prick up your ears,6,12 May 2018,"Looking back at The Crying Game after a quarter of a century from its cinema release, it still is an intriguing film. It also looks increasingly quaint because within two years of its release there was a rapprochement between the IRA and the British government that would eventually lead to the peace process.Jody (Forest Whitaker) is a British soldier in Northern Ireland who is befriended by Jude (Miranda Richardson) who is an IRA agent. She plans to lure him into a honey trap where he is kidnapped.Jody angry and shocked befriends Fergus (Stephen Rea) one of his kidnappers. They tell stories to each other, Jody talks of his passion for cricket and his girlfriend Dil (Jaye Davidson.) Jody asks Fergus to look up Dil after he is dead.When the times comes Fergus reluctantly takes up the task to shoot him but Jody runs away into the woods and is run over by an army van that was on its way to rescue him and engages in battle with some of the kidnappers.Fergus escapes and arrives to London, gets a job in a building site and finds Dil who works as an hairdresser and performs at a nearby pub. They initially communicate via Col the barman (Jim Broadbent.)Dil is being harassed by a bully called Dave and it is not long before Fergus's IRA comrades arrive. They are angry at him for escaping in the aftermath of the botched hit on Jody. Yet Fergus and Dil still manage to fall in love through all the obstacles that arise.The film has an opening of a kidnap thriller with angry performances from Miranda Richardson and Adrian Dunbar as the IRA operatives. It then deviates to another kind of story, one involving a blossoming romance between essentially two outsiders, damaged in their own ways. Dil grieving over her boyfriend who has been killed but not knowing of Fergus's involvement in it.There are now two Oscar winners in this film. Forest Whitaker's cockney accent makes Dick van Dyke's turn in Mary Poppins into a masterclass of accents. The more subtle performance is from Jim Broadbent as the knowing barman.There is a precocious, vulnerable performance from Jaye Davidson whose hands betray a secret which Fergus failed to pick up on. The film has characters that lacked depth and a third act which was clunky and disappointing as Fergus is lured to another job by his so called IRA friends.",The Crying Game
4,classicsoncall,"""I kinda liked you as a girl.""",7,21 June 2019,"I watched the movie yesterday and THAT image is still in my brain. I can't say I was shocked, because it takes a lot to shock these days, but it sure wasn't expected. By that time, the story had already transitioned from being about IRA terrorists to a conflicted romantic entanglement that brought into question the sexual identities of all the principals, and I'm including in that statement the characters of Jody (Forest Whitaker) and Dave (Ralph Brown). They already had relationships going with Dil (Jaye Davidson), so they had to be in the know about his/her anatomy. After the big reveal, you could tell that Fergus/Jimmy (Stephen Rea) had all kinds of questions regarding his association with Dil, and it's a testament to the participating actors that they could pull off this mystifying story. The terrorism angle is picked up again later in the film with the assassination attempt that goes awry, and I couldn't help thinking that Miranda Richardson might have been channeling Uma Thurman's character from ""Pulp Fiction"", but in checking the release date of that picture coming a couple years after this one, maybe it was Thurman channeling Miranda Richardson from this one. All very disorienting.Anyway, I was intrigued enough to check out Jaye Davidson's bio page here on IMDb just to satisfy my curiosity, and I imagine you will too now that I mention it. Quite honestly, I didn't know what to expect but it's not as weird as it could have been I guess. I'd have to agree with the Fergus/Jimmy assessment from my summary line above as it relates to Dil - I kinda liked her as a girl too.",The Crying Game
5,gavin6942,Forest Whittaker's Accent??,7,28 April 2016,"A British soldier is kidnapped by IRA terrorists. He befriends one of his captors, who is drawn into the soldier's world.The then-fledgling film company Miramax decided to promote the film in the United States where it became a sleeper hit, earning over $60 million at the box office. A memorable advertising campaign generated intense public curiosity by asking audiences not to reveal the film's ""secret"" to their friends. Jordan also believed the film's success was a result of the film's British/Irish political issues being either lesser-known or completely unknown to American audiences, who thus flocked to the film for what Jordan called ""the sexual politics."" Alright, so I knew the ""secret"" for years before seeing this film. In fact, that is all I knew and thought it would come later in the picture. I was pleasantly surprised that this film has so much more -- history, political intrigue, thrills, and some crime elements. I have no idea what is up with Whittaker's voice -- he sounds dubbed.",The Crying Game
6,lee_eisenberg,"Cry for me, Ireland.",7,29 June 2006,"It's hard to tell whether they're portraying the IRA negatively or positively, but once the twist comes, you're sure to have your mind blown. The plot of course concerns an IRA agent (Stephen Rea) getting involved with the hubby (Jaye Davidson) of an English soldier (Forest Whitaker) whom he kidnapped. When I first heard what the plot was - including the twist - I actually assumed that ""The Crying Game"" was a comedy, sort of a modern-day ""Some Like It Hot"". But trust me, what this movie portrays is no laughing matter at all.Anyway, it's not like anything that you've ever seen before. And it certainly affirms Neil Jordan as a unique director. Also starring Miranda Richardson and Jim Broadbent.",The Crying Game
7,jboothmillard,The Crying Game,8,12 July 2005,"A very interesting and obviously controversial British drama from Oscar and BAFTA nominated director Neil Jordan. Basically British soldier Jody (Forest Whitaker) is kidnapped and held captive by the IRA, and an unlikely (brief) friendship develops with Fergus (Oscar and BAFTA nominated Stephen Rea). When the hostage-holding goes wrong and Jody is hit by a car when escaping, Fergus, feeling responsible, decides to go and see the woman Jody's lover. He eventually finds her, a hairdresser named Dil (Oscar and BAFTA nominated Jaye Davidson). He calls himself Jimmy and gets a job as a day labourer, and eventually starts seeing Dil, who has no idea of his IRA background. But the pivotal moment of the film is when Fergus eventually undresses Dil, and he didn't realise, she is a he! (The Crying Game definition: To find out your girlfriend who you've had intercourse with used to be a man, or, To get a woman to undress herself only for her to reveal a penis). He does promise to stay with Dil, as long as she/he (whatever you prefer) starts to dress as the gender he was born to be. Meanwhile, IRA member Jude (BAFTA nominated Miranda Richardson) who helped in the kidnapping of Jody has come back looking for Fergus, probably to kill him. Also starring Jim Broadbent as Col. I have to admit the first time I saw the film I thought Dil was played by a girl, and they had trick photography, I didn't realise it was guy! Featuring three or four versions of the song ""The Crying Game"", my favourite version is by Boy George. It won the Oscar for Best Writing, Screenplay Written Directly for the Screen, and it was nominated for Best Film Editing and Best Picture, it won the BAFTA for the Alexander Korda Award for Best British Film, and it was nominated for Best Film and Best Original Screenplay, and it was nominated the Golden Globe for Best Motion Picture - Drama. Miranda Richardson was number 15 on The 50 Greatest British Actresses, and the film was number 32 on The 50 Greatest British Film. Very good!",The Crying Game
8,ccthemovieman-1,What's to like??,2,11 May 2006,"I really tried to like this movie. The critics (before I knew better) raved about this film so much it got me pumped up to see it. Well, to say it was a letdown is putting it mildly. Then again, a lot of people like sick and sordid films. I learned the hard way how sick mainline film critics are since they just loved the idea of a key character in the film turning out to be a transsexual. Wow! Cool! (Okay, if you say so.)There are just too many uncomfortable, sordid and dark scenes in this movie, including a horrible first 15 minutes in which Forest Whitaker is a hysterical IRA hostage out in the middle of the woods. That beginning was anything but entertaining, at least to me.However, I don't know anyone who watched this movie and liked it - not one!",The Crying Game
9,moonspinner55,"Unusual, intriguing film...",6,27 November 2005,"Highly unusual drama concerning an English soldier (Forest Whitaker) who is kidnapped by an underground Irish Army, eventually befriending his captor (Stephen Rea), which leads to a complicated series of personal entanglements involving the soldier's lover (the mysterious Jaye Davidson). Exceptionally well-made picture from canny director Neil Jordan, who also penned the screenplay and won an Oscar. Too bad the third act is so convoluted, and the final scene so banal, that a slight dissatisfaction clouds the overall result. Nevertheless, a daring and provocative piece with excellent performances. **1/2 from ****",The Crying Game
