,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Compelling, clever and entertaining",8,27 October 2010,"Charlie Wilson's War is a very good film in my opinion, that is compelling, clever and entertaining. I would have liked it to have been a mite longer and any sense that Wilson was gratifying his own ego is downplayed so some events feel rather glossed over. However, it is beautifully shot, with good direction and a smart and sassy script. It also goes at a good pace and is very compelling and clever so the film never/rarely feels boring. The acting is very good, Tom Hanks delves into the role of a booze hound and womaniser yet is still somewhat likable while Julia Roberts is appropriately sharp-tongued and Phillip Seymour Hoffmann is simply brilliant as the gruff CIA agent. The rest of the supporting cast(Amy Adams, Emily Blunt, Om Puri and Ned Beatty) are also impressive. In conclusion, a worthwhile film. 8/10 Bethany Cox",Charlie Wilson's War
1,bkoganbing,A Thought Provoking Film,9,28 December 2007,"Though the importance of Representative Charles Wilson, Democrat from Texas who served from 1973 to 1997 in Congress, in the fall of the Russian puppet regime in Afghanistan maybe in exaggerated in George Crile's book and in this film, Charlie Wilson's War provides an insight into Washington politics that you won't get from the talking heads of the various news networks.I liked Charlie Wilson, or at least the way Tom Hanks plays him. A politician who doesn't take himself to terribly serious who likes his fun and frolic, but also has some deep concerns about the United States of America and its position in the world. It fell to him because of some key committee assignments to be able to give the Central Intelligence Agency the appropriations necessary to defeat the Russians in Afghanistan which eventually toppled the Soviet Union itself. A feat that conservative Republicans like to assign exclusively to their hero, Ronald Reagan. Wilson and Clarence Long, played by Ned Beatty, belong to that vanishing breed of conservative to moderate Democrats who as they leave, their places are taken by Republicans. The only group growing extinct faster than them are the liberal Republicans. We're a bitterly partisan nation now and no one party or one individual is responsible for it. Note how Wilson is being investigated by a certain U.S. Attorney named Rudolph Giuliani back in the day. Don't think the object there wasn't partly to open that seat up for the GOP.In our story Wilson becomes interested and it's more than the interest of a politician currying for votes of the plight of the Afghans. They just need the weaponry and the know how. Sparking his interest is Texas society leader, political power broker, and former beauty queen Julia Roberts. It's the best part Julia's had since Erin Brockovich.But when he's on the screen Philip Seymour Hoffman blows everyone else out of the water. Hoffman is a career Central Intelligence Agency official who seems to have encountered the glass ceiling in his career there. It's a feeling I know well from my former job, I'd love to have done what Hoffman did to his superior when we first meet him in the film.Hoffman and Hanks become an unbeatable team, Hanks handling the Congress and Hoffman the inside politics of the CIA. They make it happen for the Afghans.Those who criticize the film miss the whole point. We left the Afghans free, but in a devastated country. That was the whole point of that scene where Wilson is vainly trying to get decent appropriations for rebuilding Afghanistan's infrastructure. Because policy makers put Afghanistan on the back-burner the vacuum created was filled by the Taliban with terrible results.Also listen to Hoffman's character's zen like analysis as to what the future could hold as a result of their work. History is full of surprises, mostly unpleasant.I think a couple of Oscars could be in the future for Charlie Wilson's War. It's a thought provoking film that should not be missed.",Charlie Wilson's War
2,SnoopyStyle,not funny enough as satire nor hard-hitting enough as realism,6,29 May 2015,"Charlie Wilson (Tom Hanks) is celebrated by the clandestine services. The movies flashbacks to the early 1980s. Playboy Texas minor congressman Charlie Wilson gets interested in the struggles of the Mujahideen in Afghanistan. Bonnie Bach (Amy Adams) is his executive assistant. He is pushed by his wealthy supporter Houston socialite Joanne Herring (Julia Roberts) and assisted by maverick CIA agent Gust Avrakotos (Philip Seymour Hoffman).Tom Hanks is fine but I wish he is acting bigger and brasher. Julia Roberts is not nearly acting big enough for a Texas socialite. The hair is big but she's not wild enough. They are playing it a bit too safe for a satire. The thing is that I never bought into its realism either. PSH ups the fun factor with his acting. The movie is not jokey enough to be funny. Neither is it harsh enough. Considering 9/11 at the top of every audience's mindset, it could have hit a lot harder. It's somewhere in the lumpy middle. The film leaves only a couple of scenes for the post-Soviet Afghanistan. That could be a compelling switch in his character but it gets short-changed.",Charlie Wilson's War
3,Hitchcoc,I Have No Problem Believing It,8,2 January 2010,"I don't know if all the events are completely accurate. There are analysts out there that can sort that out. Yes, Charlie Wilson is an inept, womanizing, careless man, but he is changed. We did support the people of Afghanistan and we did leave and the Soviets were torn apart. Of course, you wouldn't want the U.S. to come out in a bad light. I don't see the conclusion of this as any sort of victory. Philip Seymour-Hoffmann's character knows this. And yes, most of sit smugly around, patting ourselves on the back while young men and women go out and get themselves blown up as windbag politicians ignore the realities of war. It's been going on for 10,000 years. It' not even an indictment of the U. S.; it's an indictment of the baser instincts of people in power. I think the empty feeling I got after seeing this tells it all. I didn't admire Charlie Wilson, nor do I see him as a hero. He just found a way to kill a different group of people through the use of taxpayer money. Do we ever remember that those are human beings that are being killed and dismembered?",Charlie Wilson's War
4,Prismark10,One invader to another,5,7 May 2016,"The subtext of this film is that Charlie Wilson's War is still raging in Afghanistan but the USA has replaced the Soviets because they allowed a vacuum to develop in a country after the the Soviet withdrawal where the Taliban amongst other groups stepped in.Writer Aaron Sorkin and director Mike Nichols should have gone for dark, subversive satire with Charlie Wilson, a Democrat congressman from Texas known for some good time partying who somehow built an alliance that led to a covert military campaign to arm the Mujahideen in 1980s Afghanistan and repel the Soviet invaders.What we get is a strained, anaemic film with broad and uneven comedy that barely hits any targets and just about carried by the charm of its star, Tom Hanks helped by Philip Seymour Hoffman's blue collar, truculent CIA operative with Julia Roberts as a wealthy socialite and anti commie Texan with an array of international connections that helps Wilson.Maybe current events in the Middle East at the time this film was made meant that it had to pull its punches and come across as wishy washy.",Charlie Wilson's War
5,classicsoncall,"""Without Charlie, history would be hugely and sadly different.""",8,24 December 2012,"If this weren't based on actual events and a period of U.S. history, I don't think anyone could have made it up. Seriously, how do you go from a mere one million dollar appropriation to fund an action in Afghanistan against the Soviets, and have it grow into a billion dollar enterprise over a span of time? It's always easier to quibble over lesser amounts of money than huge sums because smaller numbers are easier to understand. Billions (now trillions) just don't seem to mean anything anymore.Then there's the question of how a seemingly under the radar politician could wield so much power in the first place. There's just such a randomness to how the film's events turned out that it's somewhat incomprehensible. It wasn't really explained what socialite Joanne Herring's (Julia Roberts) fascination with the people of Afghanistan was all about, other than a conservative backer's insistence that the Russkies be put in their place and out of the picture. You have to wonder what would have ever happened and what the status of the Middle East would be today if these characters hadn't crossed paths in the most coincidental of ways.Hanks and Roberts are OK for what the script calls for, but like many others I found Philip Seymour Hoffman to be the glue that holds this thing together. He gets things started very quickly by adding new meaning to the phrase, 'take this job and shove it'. The rest as they say, can be found in the history books.",Charlie Wilson's War
6,lee_eisenberg,Not even while they were filming it did they realize how relevant it would be!,8,3 January 2008,"As I understand it, Charlie Wilson is in real life a slimier character than the movie makes him out to be. But there's no denying that Tom Hanks does a great job with the role of the Texas congressman who encouraged arms sales to the Afghan mujahideen, which of course indirectly led to the September 11 attacks.But there's even more. While most of the movie is a rather smooth ride, there were two scenes that made me feel like I'd just gotten slapped. Wilson meets with Pakistan's Pres. Zia ul-Haq (Om Puri); it was Zia ul-Haq who executed Benazir Bhutto's father...and I saw this just a few days after Benazir Bhutto's assassination! Moreover, one of the people involved in the indictment against Wilson was a young lawyer named...Rudolph Giuliani! Therefore, Wilson's quote at the end (""...we'll see how things turn out..."") takes on even more significance! Anyway, the movie itself also shows how the people wheeling and dealing in these circles basically have no ethics. To hide US weapons sales to the Afghans, Wilson had to hire an Israeli agent to acquire Soviet arms from Egypt. Seriously, these people will do anything to benefit themselves and their cronies. Philip Seymour Hoffman is really the best character, as a CIA agent (you gotta admire the spunk of someone who does what he does in his first scene).Overall, ""Charlie Wilson's War"" is certainly one that I recommend. Mike Nichols accomplished another good one. Also starring Julia Roberts, Amy Adams and Ned Beatty.",Charlie Wilson's War
7,jboothmillard,Charlie Wilson's War,6,19 September 2010,"I saw the leading male star of this film promoting it on Friday Night with Jonathan Ross, and I am a big fan of his, so I was going to watch it pretty much regardless, from director Mike Nichols (The Graduate, Closer). Basically, set at the beginning of the 1980's, U.S. Congressman Charlie Wilson (Golden Globe nominated Tom Hanks) from Texas is a womanising representative. The people of Afghanistan are suffering in the brutal Soviet occupation, Charlie learns this from his major conservative supporter Joanne Herring (Golden Globe nominated Julia Roberts). Charlie is determined to help the political and war efforts with the Afghan Mujahideen, with some help from maverick and easily aggravated CIA agent Gust Avrakotos (Oscar, BAFTA and Golden Globe nominated Philip Seymour Hoffman). Raising millions of dollars, the idea is fro Charlie to supply the Mujahideen with weapons and support to defeat the Soviet Union, but in doing this there will be big consequences besides many lives lost. Also starring Amy Adams as Bonnie Bach, Emily Blunt as Jane Liddle, Ken Stott as Zvi, The Parole Officer's Om Puri as President Zia, Ned Beatty as Doc Long and Ugly Betty's Daniel Eric Gold as Donnelly. I can agree with the critics Hanks as a womanising political leader doesn't make his likability fade, Roberts does get her moments as the sharp-tongued socialite, and Hoffman is indeed great as the gruff CIA agent. I may not have understood everything going on, but I had a tiny giggle or two, and I just liked seeing an officer of only female workers, some news footage and explosions from bazookas and stuff, so it's not a bad biographical comedy drama. It was nominated the Golden Globes for Best Motion Picture - Musical or Comedy and Best Screenplay. Good!",Charlie Wilson's War
8,rmax304823,Dumbed Down History Lesson.,2,29 November 2008,"Nichols and Sorkin are smart enough to know that geopolitics is a dynamic system, like pond scum, with each perturbation disturbing the surface and having a ripple effect and not-quite-predictable consequences. Instead, the movie gives us a view of the Soviet/Afghan war that resembles an old-fashioned Western. The world is divided categorically into good and evil.Everything complicated about the confrontation in the Middle East is left out. The Soviet Union shoots down helpless civilians from helicopters and drops booby-trapped baby toys? Absolutely nothing is said about the reasons for the USSR's presence in Afghanistan to begin with. (The country borders the Soviet Union.) Except for a few hints at the very end, we are told nothing of the consequences of our covert intervention. The joy of the American public at the Soviet Union's defeat was mostly a celebration of our having, in the phrase of the day, ""turned Afghanistan into Russia's Vietnam."" And it's given to us as a triumph of Julia Roberts' familiar Texas anti-communism and Charlie Wilson's momentary binge of humanitarianism.The irony of our now having to fight the very people we went to such trouble to inspire and arm would have been a much more challenging film -- a more realistic one, and a much needed obiter dictum. Nobody watching this movie and taking it as Truth is going to learn much from it except that, as usual, Americans are good (and ingenious too) and the enemy (whoever it may be at any particular moment) has earned his own execution.As a film -- as a succession of images and spoken words by performers -- it's not badly done, though I enjoyed Nichols' ""Primary Colors"" more. But Nichols is a seasoned and talented director and he doesn't step wrong. He layers in quite a bit of low-key and offhanded humor, rendering the characters deceptively human. The movie tells the story through the character of Charlie Wilson (Tom Hanks), who is supposed to be an endearing character because he drinks a lot and sits naked with some babes in a hot tub. That's not good enough. He'd be far more admirable if, in addition, he knew what the hell he was doing, if he showed the foresight of a newbie chess player. Julia Roberts is hard to recognize at first. It's been years since she's appeared on screen and with her grooming and make up, she looks a lot like the kind of tony, adulterous wife she's supposed to be. Her performance is adequate though. The fustian dialog has little sparkle so neither she nor anyone else can do much with it, with the exception of Philip Seymour Hoffman, who gets to curse a lot between tirades.I fear, though, that what Nichols and Sorkin are trying to tell us is that (gasp) some congressmen snort coke and like women with big knockers. But that in the heart of each there lurks the seed of simple patriotism. And I do mean ""simple."" As I say, Nichols and Sorkin must know better than that.",Charlie Wilson's War
9,Tweekums,If this wasn't based on facts one wouldn't believe it,8,2 June 2014,"Charlie Wilson isn't your stereotypical congressman; he likes to party and staffs his office entirely with attractive young woman; however he doesn't make promises he can't keep. One day, while in a Las Vegas Jacuzzi with a couple of strippers, he sees a news report from Afghanistan; seeing the people there standing up to the might of the Red Army he decides they need more support and on his return to Washington immediately doubles the funding for covert arms supplies to the Mujahideen to a still small ten million dollars. This act gets the attention of Joanne Herring; a very wealthy woman who is passionate about the cause; she wants even more and arranges for Charlie to go to Pakistan to talk to President Zia-ul-Haq who in turn sends him to see the conditions in the refugee camps on the border. Charlie is determined that the fighters must be given modern weapons and sets about meeting the people that can make this happen; this includes a brash CIA man by the name of Gust Avrakotos and an unlikely alliance of Israeli, Egyptian and Pakistani officials. If this wasn't enough he also has to deal with a possible inquiry into an allegation that he used cocaine.One might think a film about raising funds wouldn't be all that interesting but this is a lot of fun as well as being surprisingly funny. This is largely down to Tom Hanks' performance as the larger than life Charlie Wilson and Philip Seymour Hoffman as the hilariously offensive Gust Avrakotos; not the sort of characters one would have associated with the Soviet defeat in Afghanistan. It isn't all laughs though; we are told about the suffering of the Afghan people and without labouring the point there are dark hints that America hasn't heard the last of Afghanistan just because the Red Army was defeated and the Soviet Union collapsed. Overall this was a surprisingly entertaining film that I found well worth watching.",Charlie Wilson's War
