,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Home Alone for gorehounds,5,22 June 2015,"THE COLLECTOR is a middling torture porn-based horror flick with an absolutely ridiculous story. The premise is just as nonsensical as in BURNING BRIGHT - you know, the film about a girl and her little brother trapped in a house with a TIGER - but even more so due to its complexity. The story sees a burglar entering the house of a rich family in the middle of the night, only to discover a crazed killer has set up home and filled the house with deadly traps.It makes no sense and there's no attempt to try to rationalise or explain things. Instead we embark on a horror-themed journey in which death and bodily mutilation are the order of the day. The plotting is very slim and the characters even slimmer, with the supporting cast merely set up as cannon fodder for the admittedly creepy villain.What I disliked about this film was the dark blue filter which gives it a boring, uniform look, and the lack of lighting means that you'll be straining your eyes throughout. Given this was made by people coming off the SAW franchise, the icky effects are very much along those lines; I'm indifferent to them. THE COLLECTOR has a fast pace going for it but there are too many contrivances to make it a truly effective horror piece.",The Collector
1,SnoopyStyle,Saw wannabe,5,27 October 2013,"The Collector is a sadistic killer who takes over a home, tortures the family, and kidnaps one person in his giant trunk. The Chases (Michael Reilly Burke, Andrea Roth, Karley Scott Collins, Madeline Zima) have just moved in to their nice house. Arkin (Josh Stewart) is the handyman. He is desperate for money to pay back his wife's debt to loan shark. So he breaks into the Chase house while the family is away. The problem is the Collector has other plans.This thing has more plot problems than 10 Michael Bay movies. Why the collector would plant such elaborate traps in the house is beyond me. Where would he even find the time? If one is willing to drop the logic, this could be seen as a different take on the Saw franchise. It's overly elaborate for no reason. But unlike Saw, the whole thing is one simple action away from total collapse. At his best, the Collector can never be sure of his control. He keeps getting interrupted by people coming in. Simply put, he's bad at his work.If I forget all the complaints. The action is pretty good. The actors are great. The kills are fun. It's a good way to waste 90 minutes for horror fans.",The Collector
2,claudio_carvalho,"Stupid, Gruesome, Sick and Flawed",3,4 May 2010,"When the Chase family moves to an isolated house in the middle of nowhere in Detroit, Arkin (Josh Stewart) is hired to fix the windows and the doors. Later he meets his daughter and his wife that has a debt with dangerous sharks and needs money, but his week payment is not enough to pay her debts. Arkin plots to heist the safe of Michael Chase (Michael Reilly Burke) during the night to raise the necessary money. However, when he arrives in the house, he finds that a sadistic criminal has imprisoned the family and planted traps everywhere. Arkin seeks a way out of the deadly house to save his life. ""The Collector"" is a stupid, gruesome and sick flick of a violent and sadistic sub-genre of horror that is becoming popular for some viewers. The story is flawed, incoherent and imbecile, and surprisingly this movie is overrated in IMDb and with good reviews, some of them visibly fake by simpleton users with only one review in IMDb. There many incoherent and ridiculous situations like, for example, how could the Collector put all those gadgets and traps in the house in a couple of hours with the family at home; or when Arkin succeeds in leaving the house but returns to rescue Hannah in an absurd attitude; or why Hannah decides to show up only when Arkin is outside the house; or how the police officer could be surprised by the dog having a gun in his hand; or how could the invulnerable Collector survive to the chandelier with knives and then attack the ambulance. I believe I could prepare a long list of foolish and idiotic attitudes. The cinematography is above average and the music score with Bauhaus is very dark. My vote is three.Title (Brazil): ""O Colecionador de Corpos"" (""The Collector of Corpses"")",The Collector
3,nogodnomasters,THE BOX OR WHAT'S BEHIND DOOR NUMBER 1?,7,27 September 2018,"Arkin (Josh Stewart) who looks too much like Sean Penn is an ex-con, handy man, second story man, and a safe cracker who loves his 8 year old daughter. His ex-wife needs money ASAP so he opts to rob a place he has been casing as the family has gone away on this dark and stormy night...but wait! There is someone else in the house and Arkin is locked in as he realizes the family never left and are part of an elaborate torture.Arkin finds out the hard way that the whole house is rigged with debilitating traps and trip wires, something that would make Caulley McCulkin green with envy.Lots of blood. Good suspense. Good use of soundtrack. If you liked ""Saw"", then see this.F-bomb, sex, nudity (Madeline Zima + strip club) torture",The Collector
4,kosmasp,Pieces,6,26 September 2010,"The movie has a very strong beginning. But when you get to the end (or maybe even very early on into the movie), you will realize that there are quite a few flaws in this movie. There might some elaborate ideas involved, but you can't help but wonder why? Especially because there are just so many easier ways to get what you need. On the other hand you could also say, that there might be no way, that someone who is crazy can know that.Of course this is a horror movie (the tag on the cover/poster should be a giveaway) and so you will have quite a few bloody scenes in the movie (I think it is not yet available, completely uncut in Germany), so you should know that this is not so much a psychological movie (a bit too), but more a movie about violence. Question is, do you really want to watch that? You could talk about an ""overkill"" of an idea, but that pun would be too easy. And in the end, it's not completely bad ... I just wished it had stayed with the strong beginning",The Collector
5,gavin6942,Under-appreciated and Misunderstood,7,7 May 2010,"A man named Arkin needs quick cash. Lucky for him, he recently began work at a home with a safe that he can break into. Not so lucky for him, on the night he decides to do this, a serial killer known as The Collector has decided to target the same house. Arkin is now both predator and prey.I feel this film was simply under-appreciated and misunderstood. Lots of fans have complained of the lack of plot and senseless violence. One reviewer even says, ""Kevin set up better traps in Home Alone"" (which may be true). But the lack of plot is more because of the confusing nature of the story than any real lack of substance.I spoke with Patrick Melton, the writer, and while I already enjoyed the film (in many ways it beats the ""Saw"" series Melton also developed) his explanation of the Collector's motives made it more enjoyable. Some viewers do not understand why the traps exist... well, you have to understand that the Collector plays with his victims -- his goal is not to kill them, necessarily.Others have been more favorable, referring to the film's cinematography and ""80s aesthetic"". I agree. You can tell many instances where Marcus Dunstan was meticulous with his shots. Pay attention to how many quick half-second shots were probably added in later, filmed a dozen times to be perfect. A casual viewer will not see this, but the critic will appreciate the art.If you missed ""The Collector"" in theaters, get the DVD or Blu-Ray. I have a suspicion that when ""Collector 2"" appears, there will be a new-found appreciation for this original conception -- thrills, blood, gore, mystery... much deeper than it first appears.",The Collector
6,BA_Harrison,"It's got more plot-holes than bear traps and fish hooks added together, but I still enjoyed it.",7,3 June 2010,"An ex-con, desperate to help pay his ex-wife's debts, breaks into the seemingly deserted house of his employer, only to find that he isn't alone: a twisted nut-job in a gimp mask has taken the owner and his wife captive and has littered the building with deadly traps.The masked killer in The Collector has got to be one of the most organised and productive psychos in movie history. In one evening, he not only takes prisoner and tortures a married couple, but he also finds time to install numerous booby traps in their mansion, ranging from simple 'bear traps on the living room floor' to the more complex 'accidentally touch this filament and a chuffing great blade will swing down and cause you much pain'. I don't know about you, but it takes me the best part of a day to put up a bloody shelf.The thing that really puzzles me, though, is why he bothers with all of these devices in the first place since he's already trapped most of the family (the youngest daughter is hiding in one of the many rooms), and the oldest daughter (played by buxom babe Madeline Zima, who kindly provides the requisite topless scene) surely wouldn't represent much of a problem when she returns from her evening out with her boyfriend. Still, without the traps there wouldn't be much of a film, and since I had a lot of fun watching the characters meet their gruesome fates via various ingenious means, I'm willing to be a little forgiving about both lack of logic and motive.It's clear that what matters most to director Marcus Dunstan is not explaining why and how his killer does what he does, but rather that his film creates a palpable sense of dread—which it does—and that people die horribly— which they do. Dunstan successfully builds a decent amount of suspense and atmosphere and sure doesn't hold back on the graphic stuff, delivering plenty of moments that'll be particularly uncomfortable viewing for the more squeamish of movie-goers: amongst the gory treats we get a delightfully bloody death by bear-trap, a disembowelled body, finger chopping, impalement on spikes, fish hooks in the face, a mouth being sewn closed, and a cat slowly dissolved in acid before being sliced in half!And since there's nothing quite like a half-melted moggy being bisected by a window rigged with a guillotine, I'm happy to—despite the flaws in the narrative—rate The Collector a pretty decent 6.5/10, rounded up to 7/10 for IMDb.",The Collector
7,Quinoa1984,"starts strong, but goes downhill after a while",4,10 February 2010,"I was bamboozed by The Collector! I give this exclamation point to try, with whatever sway or effect my words may have on you, that this is not some crime/horror movie hybrid. This is its premise, which is really all needs to be said of its 'story': laborer Arkin (Josh Stewart) has to pull a jewel heist from his employer so that he can help his (ex?)-wife pay off a loan shark, not knowing that the house he's re-entering in at night has been completely rigged with traps and 'gotcha' devices by a twisted f*** in black leather (think if the Gimp had a blood transfusion with Jigsaw's retarded cousin). That's all the movie is, after this, traps and torture and gore and predictable set-ups where one knows, at least with some certainly, the wee witte girl won't die. The filmmakers aren't *that* hardcore, are they?"" Fat chance of invention here.Oh, don't get me wrong, they do try, at least on the surface. The cinematography carries a slight gritty neo-noir look in the opening minutes, speaking to an open-minded audience member ""Ok, the acting isn't very good except in a hollow-eyed way Stewart, but the set-up has a little promise, perhaps"", and even once Arkin is in the house the first-time DoP Brandon Cox does try to give the film a punch with its jaundiced look. But aside from that... there's not much here, at all. It doesn't have the silly unintentional laughs that one gets from watching the Saw movies when they're at the most fun-bad, and it doesn't even have the ""oh my GOD is this a gas chamber"" like Hostel Part II.It's an anorexic plot with no explanation for anything- why the exterminator is at this house, why he keeps victims in that box, why Arkin's girl has a loan shark, why ANYTHING happens aside from the mechanics of a torture porn. And make no mistake, this is torture porn, even if it doesn't linger or have the same whiplash-style-edit fetishizing Saw has in spades. It's also rather cruel and unsettling in ways one wouldn't expect, or maybe would or should by this point. The filmmakers make great effort to make an audience feel queasy and unsettled, but never for reasons or to an effect that actually works or makes one feel satisfied. It's an empty shell of a ""horror"" movie that doesn't scare and only rubs off an ever-lasting dread that lasts long after the incredibly stupid ending comes along. The Collector grows worse in the mind as it goes along, losing whatever hope it had as merely a B-movie hybrid.",The Collector
8,Coventry,Home Alone 5: Kevin Tasted Blood!,6,12 April 2010,"Seven ""Saw"" movies, two ""Hostel"" flicks and countless of lesser known imitations later, bloodthirsty horror audiences clearly still can't get enough of the so-called torture porn movies. The latest, but surely not the last, entry in this dubious horror trend is called ""The Collector"" and offers – as to be expected – nothing new or even remotely original to the concept of torture porn, but at least somewhat distinguishes itself from the majority thanks to a handful of imaginative gory set pieces and even a few likable characters that you even cheer for. The lead character is an ex-con named Arkin who tries really to walk the righteous path by working as a handyman in the remote mansion of a wealthy family that moved to the countryside. His ex-wife has debt and mean people chasing her, however, so Arkin is practically forced to return to the mansion at night and break into the family vault. Bad move, of course, because that same night the mansion already got invaded by a psychopathic serial killer known as the Collector because he targets entire families for annihilation but keeps one of them alive to add to his collection. The killer wears a mask and never speaks a word, but if you know the cinematic classics, you'll quickly figure out who he is! He's the now adult Kevin McAllister from the ""Home Alone"" movies, and you can tell quite easily because he booby trapped the entire house with deadly devices, like a room full of wolf traps, a spider's web with steel cables and chandeliers with knives attached to them! Personally I think the biggest strongpoint of ""The Collector"" is that it unfolds like a fairly primitive ""Saw for Dummies"". The toys and booby traps Jigsaw prepares for his victims are so hi-tech, meticulous and convoluted that they becomes preposterous and absurd, whereas the killing methods of Mr. Collector are straightforward but equally effective and gruesome. Also, it's nice to have a killer who shuts up and looks sinister for a change, because the endless long and dull morality speeches of Jigsaw where beginning to get on my nerves. ""The Collector"" is a film that will definitely appeal to the insatiable nowadays horror crowd, what with its extreme gore, loud & heavy soundtrack (Depeche Mode, woo-hoo!) and gratuitous bits of nudity provided by the luscious Madeline Zima as the family's rebellious teenage daughter. The make-up effects are more than adequate and Marcus Dunstan, co-writer of ""Feast"", does a relatively fine job in his first directorial accomplishment.",The Collector
9,michaelRokeefe,High anxiety...caught in a trap.,8,5 March 2010,"If you are a fan of the SAW franchise, you'll find this movie a bit refreshing. The traps are at least not stale or cumbersome. A handyman, Arkin(Josh Stewart), needs fast money to help his estranged wife(Daniella Alonso)payoff a loan-shark. He decides his future financial freedom is at hand...he will rob his current employer while the family is on vacation. Upon entering the spacious home Arkin realizes that he is not alone. Another masked intruder is in the house and is hell bent on adding to his grisly psychotic collection. It gets pretty gruesome and there are some images that are just plain sick. Warning: your blood pressure may be elevated. The cast also includes: Michael Riley Burke, Andrea Roth, Madeline Zima, Karley Scott Collins and Juan Fernandez.",The Collector
