,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,too melodramatic and so much yelling,5,26 January 2015,"In Chicago, John Quincy Archibald (Denzel Washington) and wife Denise (Kimberly Elise) are struggling financially. Their son Mike collapses at the baseball game. Rebecca Payne (Anne Heche) is the hospital president and Dr. Raymond Turner (James Woods) is their cardiac surgeon. Mike needs a heart transplant but the HMO won't cover the minimum $250k. They can't get any help no matter how hard they try. In desperation, an armed John takes over the emergency room. Police Lt. Frank Grimes (Robert Duvall) negotiates with him.It's an over-the-edge melodrama. The problem is that everything is pushed to the edge. Denzel is crying in the first 15 minutes. I appreciate the message but it's lost in the montage of frustration. Denzel is pushing so hard to be hyper angry that it's difficult to root for him. If Denzel and Kimberly could calm down early on, the audience could embrace them. In fact, everybody seems to be yelling in this movie. It's a hard movie to like.",John Q
1,lee_eisenberg,"An important issue, although they got a number of things wrong.",7,16 March 2006,"""John Q"" was the first movie with which I'm familiar that looked at the health care situation in this country. Too bad that it had so many inaccuracies. The plot of course has economically strapped John Quincy Archibald (Denzel Washington) taking a hospital hostage to demand medical treatment for his son.But, like I said, they misrepresented a number of things too many to enumerate here. But this movie's strength is looking at the disastrous effects of letting insurance companies run our health care system. You just may want to move to Canada after seeing this (although I haven't moved there). Also starring Kimberly Elise, James Woods, Anne Heche, Robert Duvall, and Ray Liotta.",John Q
2,jboothmillard,John Q,6,4 June 2009,"From director Nick Cassavetes (The Notebook), I think the lead actor was the most appealing and obvious reason to see the film, with some other good people too. Basically Michael 'Mike' Archibald (Daniel E. Smith), son of John Quincy Archibald (Denzel Washington), collapses during a baseball game as a result of heart failure. Then John and his wife Denise (Kimberly Elise) find out that Mike needs a heart transplant or he will die, but unfortunately, they don't have the $250,000 for the operation, and their insurance won't cover it. Out of options to raise cash quickly, John ""Q"" takes a gun into the hospital and holds everyone, staff and patients, hostage until the doctors agree to put Mike on the transplant list. Soon the police show up outside, led by Lt. Frank Grimes (Robert Duvall) and Chief Gus Monroe (Ray Liotta), and their only communication with John is through the phone, negotiating for hostages to be released, but John is not leaving until they have found a heart for his son. There is a point where John is desperate for his son to live and he is willing to sacrifice himself, but thankfully, a recently dead person with the right blood type and heart size is found just in time. In the end, Mike's life is saved with a new heart, and John is found guilty of only one of three charges. Also starring James Woods as Dr. Raymond Turner, Anne Heche as Rebecca Payne, Eddie Griffin as Lester Matthews, Shawn Hatosy as Mitch Quigley, Laura Elena Harring as Gina Palumbo, Ted Demme as Himself and My Name Is Earl's Ethan Suplee as Guard Max Conlin. Washington of course plays a powerful role, the supporting cast all do very well also, it is a very watchable gripping near action drama. Good!",John Q
3,rmax304823,Have a Heart!,6,19 March 2007,"Denzel Washington is a hard-working blue collar father whose son needs a heart transplant but who has run out of money and can't afford further medical treatment. He impulsively takes over Hope Memoral Hospital in Chicago, calling himself ""John Q."" (as in ""John Q. Public""), holds the minimal weekend staff hostage and demands that his son be put on the list of recipients for a donated heart by a doctor (Anne Heche). Outside, the police (Robert Duvall and Ray Liotta) surround the place, a thousand guns aimed at the hospital, and try variously to negotiate with him or to snipe him. No donor being available, Washington decides that since he and his son have been tissue-typed and match, Washington will blow his own brains out to provide the necessary heart. Lots of arguments follow, involving chiefly one of the hostages who happens to be a cardiac surgeon (James Woods). As in a miracle, a young woman with a matching heart dies and the donation comes through just as Washington is wrestling with the damned safety on the automatic he's holding to his head. Whew! A close call, I'd say.Well, it has a truly competent professional cast, no doubt about it, and they play it at par. Also quite good in a small role is Paul Johansson. Nick Cassavetes' direction is functional but no more than that.The movie's up against the wall though. Inevitably we're dealing with de Maupassant's ""Boule de Souif,"" in which a small group of people of varying tastes and backgrounds are squeezed together under pressure and little dramas play out between them. In a case like this the success depends as much on the script as on anything else. Given that it's going to look a little mechanical, and given that none if any of the characters can be given full development, whether the film satisfies or not hangs on what the characters say.""Stagecoach"" did a fine job, and so did ""Twelve Angry Men"" and ""Dog Day Afternoon,"" so it's not an impossible task. The characters here are mostly predictably stereotyped. Among the police, we have the negotiator in conflict with the exterminator. We have conflict within the hospital between the pragmatist doctor and the humanist doctor. Among the waiting-room patients we have the noble black couple about to have their first child and the cowardly slapaho sniveling braggart of a white guy. The police sniper is fat, sweaty, sneering, and ugly.And they pretty much stay the way they are. There is a good deal of preaching that goes on. HMOs come in for a good deal of abuse. We know immediately that the chief of police, Liotta, is a simple-minded goon because he shows up at the ""hostage situation"" in full uniform, dripping with decorations, shaking hands with the press, telling everyone what to do because he knows best -- ""How do you think I got THESE?"", he shouts at Duvall's negotiator, pointing to the four stars on his shoulder. Oh -- the press. I forgot about the press. I leave it up to you to guess whether the model presented to us is the same as that in the ""Die Hard"" films (get the scoop at all costs, and make sure my hair looks good) or the idealistic responsible model the fifth estate would like us to swear to. The film overall takes a worthwhile story about a social issue and turns it into and almost unbroken string of sentimental clichés. There are some good things going for the film, despite the weaknesses of the script. A few exchanges stand out. As in ""Dog Day Afternoon,"" when the crowd cheers Al Pacino, there is a crowd here that goes wild with applause when Denzel Washington appears at the hospital door. But Duvall puts it in perspective. ""You're just the cause for today. Tomorrow you'll be forgotten."" Anne Heche, the hard-boiled doctor, is given a good line too. If we give in to Washington's demands today, tomorrow the hospitals will be filled with gun-toting loonies. Why is it a good line, when nothing more is made of it? Because although it sounds like common sense there is not the slightest evidence that it's true. Our values are filled with such axioms. We never negotiate with terrorists. We only negotiate from a position of strength. Give 'em an inch and they'll take a mile. Skinnerian reenforcement works well with puppies and rats under controlled conditions. But does it work outside the lab? Probably, in a general way, but what's really at stake when we refuse negotiation -- reenforcement or our own pride? Should life and death depend on a notion so simple that it can be put on a bumper sticker? The film isn't entirely original or gripping, despite the tension inherent in the situation, but I'd be willing to rate it above average if it just makes us think a little more about that primitive belief.It's necessary to add that this is not a partisan liberal tract. The economics of HMOs is briefly and cogently explained and they come out looking bad. Not because they're evil but because that's the way health plans were structured. They were a social problem years before they became a political issue.",John Q
4,Quinoa1984,A downer from son of John (I mean the director),5,15 February 2002,"I'm surprised at Nick Cassavettes, son of John (""Shadows"" comes to mind), who has made a film here that contains some note-worthy elements including fine acting from some of the cast, a great scene during the opening credits, and a good premise.  But the execution is something that started to really grate at me by the time the movie ended.  Washington is believable as a John Q. who's son's heart needs to be transplanted, and doesn't have the insurance to cover it.  Up until the main chunk of the film started to roll with John taking an emergency room full of conventional characters hostage with the also conventional cop characters on the outset, it seemed like a good idea for a movie by examining how insurance companies (as well as doctors and hospitals) screw over people in need.  But no, the film plunges instead into scenes that tried way too hard to try and pull at the heart strings of the audience and I'm sure I wasn't the only one not so moved by the decisions and moves by the central characters.In other words, there are a few tolerable moments of cinema squared into John Q., but it isn't worth sitting through all the drek that goes with it (maybe switch on and off from it when it comes on cable). C-",John Q
5,michaelRokeefe,It is hard to keep a good man down.,6,19 January 2003,Nick Cassavetes directs this pressure cooker. Tension filled drama that will tug at your heart strings. A desperate man(Denzel Washington)takes a hospital ER hostage when his HMO refuses to cover the bill for his son's heart-transplant. A very good cast and a time relevant story. Washington this time is the flip side of the coin compared to his role in TRAINING DAY(2001). Washington as John Q. is a sensitive family man ready to give his life for his son's. James Woods is the ER doc among the hostages. Anne Heche plays a bitch of a business controller standing in the way of the life saving operation...but then changes attitude. Also in the cast are Robert Duvall and Ray Liotta as law officials with different opinions of the stand off situation. The little boy with the bad heart is played fervently by Daniel F. Smith. JOHN Q. is a don't miss that is straight on passion.,John Q
6,hitchcockthelegend,Preachy or poignant?.,7,15 October 2008,"During a baseball game, John Quincy Archibald's son Michael collapses and is diagnosed as having a major heart defect that requires a transplant ASAP. Sadly John and his wife, Denise, don't have enough insurance to cover the cost of such an operation, no matter what they do they just can't come up with enough cash to save Michael's life. Desperate and angry at the money laden red tape, John takes the ER room hostage and demands that the transplant be done.Coming as i do from Great Britain, i have no bond of feeling to the thought of having to pay for medical insurance, so with that in mind i viewed John Q from the off with a certain degree of interest. Just scanning through some of the user comments here it's apparent that this is a most divisive picture amongst the American users, no great deal of middle ground, it's either preachy nonsense trying to make a moral stance, or it's a highly involving picture tenderly bringing to light a serious issue.My thoughts are quite simply that as a drama it works considerably well, the issue at hand makes for a compelling picture, and even allowing for an overkilling of sentimental strands, it's intelligent and never less than interesting. However the constant stream of formulaic characters hinders the film and stops it totally achieving its aims, to anyone who hasn't seen this picture i would wager that if i asked you to pick ten characters for a hostage piece, you would get nine of them right. It's a real shame because John Q is a fine film in substance, and is backed up by a competent cast list, even if not all of them are quite utilised to the maximum.Taking the lead as John Q is Denzel Washington, few actors of his generation can give so much emotion into a character, it's a great turn from him and one that deserves far more credit that it gets. Robert Duvall and James Woods have critical roles but not given enough meat to really get their respective teeth into, Ray Liotta is safe and enjoyable in an annoying role, whilst Kimberly Elise {as mother Denise} and Anne Heche {the cold hearted hospital administrator} are merely making up the numbers. A bit more bravery and a bit less sentiment may well have lifted John Q into one of this decades best dramas category, as it is it's a missed opportunity that still delivers enough punch for this particular viewer to give it the thumbs up. 7/10",John Q
7,lastliberal,"I get it, you a member of the Slapaho Tribe.",8,22 June 2007,"Without reservation, I can recommend that any Denzel Washington film is worth your time, and that most will be memorable experiences. OK, maybe not License to Kill.This film is certainly topical with Michael Moore's Sicko opening this weekend. It is about a father, with insurance, trying to get treatment for his son and the uncaring health care industry. This film is trying to get the same message across by using tense drama to make it's point.James Woods (Ghosts of Mississippi, Salvador) is incredible as the surgeon that is obsessed with money. Anne Heche (Six Days Seven Nights, Girls in Prison) is also great as the seemingly uncaring hospital administrator. Ray Liotta (Copland, Goodfellas) and Robert Duvall (The Godfather) also put in good performances. Those who checked out Nancy Drew will recognize Laura Harring, and those who saw The Notebook will recognize David Thornton. They play a couple that definitely provide some interesting entertainment during the siege of the ER. There are cameos from a lot of real people like Jay Leno and Bill Maher.If you ever had trouble with your health insurance company, you will like John Q. If you like Denzel, you will love John Q. His performance her is comparable to Pacino in Dog Day Afternoon. Just see it, and then go see Sicko.",John Q
8,view_and_review,Spellbinding,9,4 February 2021,"The first movie I ever saw regarding our healthcare system that impacted me was ""Article 99"" with Ray Liotta, Kiefer Sutherland, Forest Whitaker, Lea Thompson, John C. McGinley, John Mahoney, Keith David, and Kathy Baker. It dealt specifically with military veterans and their inability to get adequate healthcare. It was a dramedy that was well done.""John Q"" blows that movie out of the water.""John Q"" was the lone Denzel film that I'd been pining to see but never found the chance. I knew that it was a heavy topic and it wasn't something I could readily and easily watch. Some movies you have to be in the mood for, whereas other movies you can plop down and watch at any time. ""John Q"" is not a plop-down movie.John Quincy Archibald (Denzel Washington) was a regular, blue collar, working stiff. Due to cutbacks at his job of 15 years, he was down to 20 hours a week of work. It wasn't nearly enough to take care of all the bills and we were made painfully aware of that when his wife's car was repoed.After his young son Mike (Daniel E. Smith) collapsed on the baseball field John found out just how little money he had. Mike had an enlarged and weak heart that would cost $250,000 to replace IF he could get a donor. Since John didn't have adequate healthcare coverage, the hospital considered him a cash account, which meant he'd have to fork over $75,000 just to get his son's name on a donor list.John did any and everything to raise money to save his son who only had weeks, if not days, to live. When the hospital said they were going to release Mike, which was tantamount to saying ""If he dies, he dies,"" John decided to take matters into his own hands. He went to the hospital, gave the heart surgeon Dr. Raymond Turner (James Woods) one more chance and then began taking hostages. It was a desperate move that could end very badly, but a desperate father will do just about anything to save his child.This movie was gripping, poignant, and had some magnificent performances. Denzel's performance was Oscar worthy, but I could say that about a dozen of his performances. James Woods as the rich cardiovascular surgeon was very much classic James Woods--smug. Robert Duvall pretty much reprised his role from ""Falling Down"" where he was the understanding cop. In ""John Q"" he is the understanding hostage negotiator. I think everyone in this splendid film deserved a round of applause.""John Q"" attacked a real problem in a gutsy and intelligent fashion without being didactic or preachy. For many, healthcare wasn't a thought on their mind until this movie, or until ""Sicko,"" or until Obamacare was rolled out. Unfortunately for tens of millions of other Americans, healthcare had been an issue well before movies such as ""John Q."" This riveting movie drove the point home like nothing I've seen. It was spellbinding.",John Q
9,movieman_kev,Unwatchable,2,10 May 2004,"Denzel Washington takes on the MEAN medical system & EVIL doctors and SATANIC HMO's.Horribly slanted propaganda, does NOT a good movie make. And to add insult to injury, towards the end they even have the sheer audacity to have a clip of Hillary Clinton!! If the medical bill she sponsered back then HAD come to past, it could very might well have made America, land of the free into America, socialist country. The invention of HMO's was caused by the government, and the makers of this film want to give MORE control to said government?? I'm sorry this movie is total crap.Where i saw it: HBOMy Grade: F",John Q
