,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,I actually thought it was pretty decent,7,21 July 2010,"Without it being the best movie I have ever seen, I actually liked this film. I wasn't expecting a masterpiece, and I didn't get that. Instead I got a fun film, with flaws, but it was enjoyable enough.Starting with the many good things, the cinematography is superb, as is the lavish scenery and costumes. The music is very rousing and moving, and the sword play is energetic. Also I thought the direction was fine, same with the acting. Gabriel Byrne is surprisingly good as D'Artagnan(much more suited to the part than Chris O'Donnell-the worst D'Artagnan, though I actually liked the movie- was). Even better were Jeremy Irons and Gerard Depardieu as Aramis and Porthos. John Malkovich was good too, if perhaps a little too fey to start with. Leonardo DiCaprio was somewhat uneven in his performance but he was good on the whole, personally I felt he was better as Phillippe in alternative to Louis, he never quite convinced me playing an arrogant king whereas he succeeded with Phillippe because of that spontaneous boyish charm he has.However, the film is a little too long and the pacing is also uneven, I felt the film dragged in the middle and then it felt a tad rushed at the end. While the story is solid enough and sticks relatively faithful to the story, which is brilliant on a side note to those not familiar with it, it can get implausible with one or two soap-opera-ish qualities about it. Finally, the script does have one too many weak spots, one or two parts are a little too cheesy for my liking.On the whole though, this is an above average and fun film. Maybe not the best for those who adore the book, but as an introduction to the story it is good enough. 7/10 Bethany Cox",The Man in the Iron Mask
1,Leofwine_draca,A vapid Hollywood blockbuster,3,14 May 2017,"THE MAN IN THE IRON MASK is less a Hollywood blockbuster version of the Alexandre Dumas novel and more a vehicle for the then-huge star Leonardo DiCaprio, fresh from the titanic success of, well, TITANIC. Thus this is a faintly ridiculous movie, MTV-style in the lingering poster-boy shots of DiCaprio, who singularly fails to make much difference between the twin characters he plays.The rest of the film is an eventful but lifeless exercise, marred by the endlessly dated direction (a surprise given that Randall Wallace would go on to make the excellent and gritty WE WERE SOLDIERS). The frequent sword fights are more like street brawls, the sets look just like that, and the actors are picked for name value rather than role suitability. The likes of Gerard Depardieu, Gabriel Byrne, and Jeremy Irons have all done fine work elsewhere, but as the musketeers they feel sluggish and half-hearted, and don't get me started on the dumb humour.",The Man in the Iron Mask
2,SnoopyStyle,Too many big actors stepping on each other,5,3 March 2014,"The french people are starving and the country is at war. King Louis XIV (Leonardo DiCaprio) is an uncaring ruler with a secret. He sends Raoul (Peter Sarsgaard) away to the front to steal his fiancée Christine. Raoul's father Athos (John Malkovich) is angered. D'Artagnan (Gabriel Byrne) tries to plead to the king for the starving people and Raoul. When Raoul is reported kill, the King takes Christine to bed. The King orders Aramis (Jeremy Irons) to kill the leader of the Jesuits who oppose his war. Only Aramis is secretly the actual leader of the Jesuits and tries reunite the musketeers to take on the king. Athos and Porthos (Gérard Depardieu) agree, but D'Artagnan refuses. It turns out that the king has imprisoned his twin Philippe in an Iron Mask.The story is complicated. There are too many lead characters. They need to pick one character to lead the story. The great actors just get into each other's way. The action isn't there. This is an overly complicated costume drama where there are too many accents and not enough excitement.",The Man in the Iron Mask
3,jboothmillard,The Man in the Iron Mask,6,18 February 2008,"I do remember seeing some of this in a history lesson or something, so I thought I might as well watch the whole thing. Basically it is 1638, and young King Louis XIV (Leonardo DiCaprio) prepares to rule France, and unfortunately he is a very cruel ruler. He becomes the one responsible for sending the love of Christine Balfour (Judith Godrèche), Raoul (Peter Sarsgaard) purposely to his death so he could be with her. Retired musketeers, I assume the famous ""Three Musketeers"" Father Aramis (Jeremy Irons), Raoul's father Athos (John Malkovich) and Porthos (Gérard Depardieu) get back together to overthrow the king. Captain D'Artagnan (Gabriel Byrne) also has dislikes about the king, but he is loyal to him and refuses to help the musketeers. The musketeers eventually find out about Louis's secret twin brother who he has kept prisoner, named Philippe (DiCaprio again) and hidden by the infamous iron mask. They have a plan to swap him with the real king and make France a much better ruled and controlled place. Obviously Louis discovers the plan, and is not afraid to kill anyone who was part of it, i.e. all of them. In the end, thankfully Louis is defeated and put into the iron mask to go to prison and classed as ""insane"" by Philippe (as Louis), D'Artagnan died, but not before telling Philippe he was his dad, and the musketeers become the king's close friends and defenders. Also starring Anne Parillaud as Queen Mother Anne, Edward Atterton as Lt. Andre and Hugh Laurie as King's Adviser. As the critics say, the performances are good, in fact, I can't understand why DiCaprio won the Razzie for Worst Screen Couple (as twins), a good story. Leonardo DiCaprio was number 94, Gerard Depardieu number 90 and John Malkovich number 59 on The 100 Greatest Movie Stars, Jeremy Irons was number 30 on The 50 Greatest British Actors. Good!",The Man in the Iron Mask
4,ccthemovieman-1,Slick-Looking Dumas Tale,8,14 October 2006,"This is a well-made, polished-looking version of another famous Alexander Dumas 'Three Muskateers"" story and looked great on DVD when it came out in the earlier days of that format. This is an old tale of the Muskateers in latter days and the efforts to get rid of an evil king, Louis XIV and replace him with his twin brother. Both roles are played by Leonardo Di Caprio. The twin had been unjustly imprisoned and put in an iron mask for years.The film has an interesting cast of international actors: DiCaprio and John Malkovich from the United States; Jermey Irons from Britain; Gerald DePardieu, Anne Parillaud and Judith Godreche, all from France and Cabriel Byrne from Ireland.Malkovich, as usual, plays the most interesting character. Parillaud plays Louis' mother and she's too young-looking for that role.This is a fairly long movie and doesn't have an overabundance of action but doesn't need to, to keep one's attention. Randall Wallace, of ""Braveheart"" fame, directed this - another plus for the movie.",The Man in the Iron Mask
5,rmax304823,It's GOOD to be the king.,6,11 September 2015,"The Three Musketeers by Alexander Dumas! All for one and one for all! Who can forget them? Their names are carved into our collective memories -- D'Artagnon, Athos, Paramus, Dopy, Goofy, Donner, Blitzen, and Rudolph! In this story, helas, the four musketeers are aging, like gunfighters, and have gone their separate ways. Gabriel Byrne, as D'Artagnon, remains in service, devoted to King Louis XIV. (That's Louis the Fourteenth, also known as The Sun King; cf., The Beatles.) Jeremy Irons as Aramis has become a Jesuit priest who doesn't much like the king. John Malkovich is Athos, whose much loved son, Raoul, the king has sent off to war to be killed, in order to have his way with Raoul's fiancée. Athos is pretty bitter. Gerard Depardieu is the comic Porthos, the wine-swilling lover of life who despairs as aging cripples his diverse enthusiasms. ""I'm going to hang myself as soon as I'm sober."" All of the musketeers are well served by the players.But who is this king anyway, the one that everybody dislikes so much except D'Artagnon and the assorted terrified subjects? The population at large is not so obsequious. They're starving and the king sends them rotten fruit that's been rejected by the army now fighting Holland.I'll tell you who the king is. He's Leonardo DiCaprio, that's who. He's not only a cruel and selfish king but the poor guy, no matter which of two opposing roles he plays -- the sneering king or the pathetic waif -- looks and sounds like a recent graduate of some high school in St. George, Utah. A huge hole appears on the screen whenever he speaks. He turns the Musketeers into the Mouseketeers.The plot is too twisted with intrigues and mixed identities and the like. It can't be described in detail. DiCaprio plays twin brothers. One is the evil king and the other is the nice man in the iron mask, who is liberated and substituted for the bad king. It gets pretty tense and enjoyable, watching people sneak around, grieving and plotting. One particularly delightful moment has the bulky Gerard Depardieu in a hay stack. His head emerges from the straw and he moans, ""Ach, it's no good. I can't do it anymore."" And then the head of a pretty young lady arises from the hay and reassures him. Depardeiu shakes his head. Another pretty face appears from under him. Then a third.The action scenes are fun, combining ancient matchlocks with period smallswords. None of the actors have any skill in fencing so the scenes are subject to speedy editing and a lot of brute force is used. No guts or gore, however.It's an old-fashioned adventure yarn with a budget as lavish as the decor of the palace. It's strictly a commercial enterprise with no attempt at naturalism or genuine tragedy. The original music by Nick Glennie-Smith is imitation baroque, so as not to be too alien to modern ears. The lighting and photography are in the bright classic style, and never mind the candelabras. None of it was shot at Versailles but the impression is effective. The editing challenges no one. The camera wobbles not.",The Man in the Iron Mask
6,ma-cortes,Leonard DiCaprio shines playing a double role along with the formidable musketeers,7,27 February 2006,"The picture is a new version of Alexandre Dumas novel and is set in 17th century French court , where two twins , one evil monarch , Louis XIV (DiCaprio) of France , and the other , Phillippe , (DiCaprio in a dual role) is imprisoned in the Bastilla as an incarcerated inmate , number 6943800 , that hides his identity wearing an iron mask . Both of whom are sons of the Queen Mother Anne (Anne Parillaud) . The King falls for a beautiful girl (Judith Godreche) and while Athos (Peter Sarsgaard) leads to the summit of the dreary musketeers , thus : the brave Dartagnan (Gabriel Byrne) ; the responsible father Athos (John Malkovich) ; the joker (though with flatulence) Portos(Gerard Depardieu) and the Priest Aramis (Jeremy Irons). They join forces for the royal vengeance with the shout : ¨One for all and all for one¨ . They are planning a twisted plot , involving substitution of the villain King by his lookalike brother.It's a good adaptation with big budget , a moving rendition of the classic tale with derring-do , intrigue , romance , action and exciting swordplay . An excellent casting and lavish production shot in France make for a fairly amusement swashbuckler . Glimmer and watchable cinematography by Peter Suschizsky who reflects stunningly French palaces (Versalles), gardens and interior-exterior scenarios . Besides , the atmospheric and spectacular music score by Nick Glennie Smith . ¨Three Musketeers¨ remade numerous times for big screen and television . Thus : 1929 silent retelling by Alan Dawn with Douglas Fairbanks , 1939 by James Whale with Louis Hayward , 1977 TV rendition with Richard Chamberlain . The film is well realized by usual screenwriter (Braveheart) and first-time director Randal Wallace . The motion picture will appeal to costume drama enthusiastic and DiCaprio fans.",The Man in the Iron Mask
7,blanche-2,Familiar tale with a new cast,7,28 March 2008,"Leonardo DiCaprio is ""The Man in the Iron Mask"" and also King Louis XIV in this re-telling of the famous Dumas story. He is surrounded in a sumptuous production by a stellar cast that includes Gabriel Byrne, John Malkovich, Gerard Depardieu and Jeremy Irons. The oft-filmed plot concerns the twin brother of the cruel, selfish Louis IV who is guarded loyally by D'Artagnan. Phillipe, the twin, was taken from his mother at birth and once found by the King, imprisoned and placed in an iron mask to hide his identity. When the poverty and the uprisings become too much, Aramis (Irons), who knows of Phillipe's existence, breaks him out of prison with the help of Porthos (Depardieu) and Athos (Malkovich) with the idea of having him replace Louis at an upcoming masquerade ball. It falls to Athos, who has just lost his son Raoul in war because of Louis' lust for Raoul's fiancée, to teach Philippe how to be king in a short time. Things do not go as planned.This tremendous cast and huge production make for absorbing viewing, different yet as entertaining as the Richard Chamberlain TV version and the Louis Hayward version in the 1930s. Here the emphasis is on the old Musketeers, which works well - Porthos who feels his age and misses the old lusts, the grieving Athos and Aramis, given an impossible job by Louis, which means that Louis must go; and, of course, D'Artagnan, fiercely loyal to his King and insisting that he can be molded into a great ruler, despite evidence to the contrary. The acting is fabulous - there really isn't a standout among the four men as they are all so good.Leonardo DiCaprio creates two completely different characters with Louis and Philippe and does an excellent job. Though he was trending toward matinée idol/chick flick territory, he pulled himself out to take on weightier roles - though there's no doubt this film was meant to bring in the teenagers. And what's wrong with that - a classic story once in a while won't kill them.Entertaining viewing.",The Man in the Iron Mask
8,wes-connors,Two-Faced Man,6,16 November 2009,"In the 1600s, France is being ruled by ladylike in manner, but really very nasty Leonardo DiCaprio (as King Louis XIV); the faux Frenchman beds women less pretty than himself, and makes peasants sick with rotten food. To help lure comely Judith Godrèche (as Christine) into his bed, Mr. DiCaprio orchestrates the death of her boyfriend, Peter Sarsgaard (as Raoul). This irks Mr. Sarsgaard's father, prompting reformation of ""Three Musketeers"" John Malkovich (as Athos), Jeremy Irons (as Aramis), and Gérard Depardieu (as Porthos). DiCaprio's nastiness prompts the retiring trio to abduct the King and replace him with a lovely twin Leonardo (as Philippe).So, what happened? Let's take a stab at it To help prepare for the role, producer/writer/director Randall Wallace ordered several of the older Alexandre Dumas movies screened. Unbeknownst to star and director, someone slipped in a copy of Greta Garbo's ""Queen Christina"" (1933); and, that's how they decided to play the DiCaprio characters. Okay, maybe that's a slight exaggeration. (Garbo wouldn't have approved the fart jokes). Fortunately, DiCaprio recovered from this unwise role selection. Moreover, Gabriel Byrne (as D'Artagnan) essays an excellent modern musketeer, Mr. Wallace's plot ""twist"" interests, and the production is beautifully shot.****** The Man in the Iron Mask (3/13/98) Randall Wallace ~ Leonardo DiCaprio, Gabriel Byrne, Jeremy Irons, John Malkovich",The Man in the Iron Mask
9,sunwarrior13,Poor Remake Of A Dumas Classic,8,8 January 2012,"Oscar-nominated Randall Wallace made his directorial debut with this adaptation of the 1848 classic by Alexandre Dumas, featuring Leonardo DiCaprio in a dual role in The Man in the Iron Mask.The movie centers on the aging Musketeers Athos, Porthos, Aramis and D'Artagnan and the reign of King Louis XIV of France. It attempts to explain the mystery of the Man in the Iron Mask, using a plot most similar to the 1939 film.Years have passed since the Three Musketeers, Aramis,Athos, and Porthos fought together with their friend D'Artagnan. The arrogant, tyrannical King Louis XIV desires the beautiful Christine, so he orders her suitor Raoul, the son of Athos, off to face death at the front. He also sends Aramis to kill the leader of a Jesuit rebellion. Louis is unaware that his loyal protector and informant, D'Artagnan, is the secret lover of his mother, Queen Anne. Louis' younger twin brother, Philippe is the man in the iron mask,imprisoned for the past six years. Arthos and Porthos plan to free Philippe, abduct Louis and replace him by putting Philippe on the throne.The four Musketeers and Philippe then charge at Louis's front line. The soldiers are so amazed by their ""magnificent valor"" that they close their eyes before firing their muskets. The smoke clears to reveal the five men still standing; all the shots, barring a few flesh wounds, missed.An enraged Louis lunges toward Philippe and tries to stab him. However, D'Artagnan jumps between them and is fatally wounded. Philippe knocks Louis down and begins to strangle him, but D'Artagnan, with his dying breaths, reminds Philippe that Louis is his brother. Philippe embraces his father for the first and last time as he dies, commenting that D'Artagnan was the one wearing the mask all along. D'Artagnan's right-hand man, Lieutenant Andre, furious at Louis for killing D'Artagnan, orders his men to leave and swears them to secrecy. By the time another battalion breaks in via another door, the three Musketeers and Lieutenant Andre have made Louis and Philippe swap clothes and locked Louis in the iron mask. Philippe introduces Athos, Porthos and Aramis as his royal council and truest friends. Posing as the King, Philippe orders the guards to take Louis and lock him away. Philippe, Athos, Porthos, Aramis and Queen Anne attend D'Artagnan's funeral, in which the three Musketeers are finally redeemed. After the funeral, Philippe asks Athos to love him like a son and Athos accepts and kisses Philippe's chest. With Louis whom Philippe, for the sake of their blood relation, granted a royal pardon now living in a house in the country, France is at peace under Philippe's rule.The only thing that the movie features is Leonardo DiCaprio in dual roles.Nothing more.I also think that he was some sort of miscast since though a talented actor, DiCaprio is no Errol Flynn. With his choirboy face and chess-club physique, he is scarcely fit to play swashbuckling hero or villain.Overall,it was a poor remake of a frequently told Dumas classic.",The Man in the Iron Mask
