,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"it just didn't do much for me,...",6,18 October 2005,"Every so often, I see a ""must see"" movie and say to myself ""what's all the hoopla all about?"" and this describes my reaction to this movie perfectly. I'm not saying it's a bad movie disguised as a good one (such as The English Patient or 2001) but it just seemed so incredibly ordinary. Now I know that my scoring the movie a 6 won't affect its overall score and there are TONS of reviews that say it was great, but I just hope against hope that I am not 100% alone on this. There were some scenes I liked, such as the fight scene, but so much of it left me cold (particularly the music--very popular then, but kinda hokey to me). If you want to see a better Redford and Newman pairing, watch THE STING.",Butch Cassidy and the Sundance Kid
1,TheLittleSongbird,"Different, but a great movie all the same",10,9 January 2011,"I know there are people who love or don't like this film, but I am one of those who loves it. It is a different kind of western, but in my mind, that is not a bad thing, quite the contrary. I loved the first ten minutes, that was very clever and refreshing. The cinematography is fabulous, doing perfect justice to the beautiful scenery. The score is suitably jaunty, and the Raindrops Falling on My Head interlude is a wonderful touch and quite moving come to think of it. The script is witty and infectious, not to mention memorable, and the direction and pace I had no problem with either. Robert Redford and especially Paul Newman are perfect as the charismatic outlaws and their chemistry is simply unforgettable. All in all, just a great movie and one of my favourites of the genre. 10/10 Bethany Cox",Butch Cassidy and the Sundance Kid
2,bkoganbing,"""You Keep Thinking Butch, That's What Your Good At""",10,8 February 2008,"It's interesting that a film Midnight Cowboy about a street hustler managed to beat out a western about a couple of real western characters for Best Picture of 1969. Butch Cassidy and the Sundance Kid is simply one of the best westerns ever made, it's got wit, and charm, and will get you positively infectious in your enthusiasm for it.Butch Cassidy and the Sundance Kid has the incomparable team of Paul Newman and Robert Redford. George Roy Hill the director had a stroke of inspirational genius teaming the two of them. They both play a different character. Butch Cassidy is the amiable thinker and planner for the Hole in the Wall gang. Outlaw that he is Paul Newman is so charming in the role you have to root for him. He's a guy who thinks fast on his feet. Note what happens right at the beginning of the film when Ted Cassidy, best known for being Lurch the butler on the Addams Family challenges him for the gang leadership. It's one of my favorite scenes.But even better is Newman with George Furth as the dedicated employee of the Union Pacific Railroad in two scenes where this stubborn little clerk tries to singlehandedly stop the robbery. Furth in fact is my favorite character part in the film.Of course Newman is backed up by the laconic fast draw The Sundance Kid as played by Robert Redford. He's got a nice quiet menace about him, but you can tell how much affection he has for Newman. What comes through is these guys genuinely like each other on and off the screen.Katharine Ross plays Etta Place who was Sundance's mistress. I liked her also, she's a survivor and one grateful for the good and bad times she's had. Ross is a former schoolteacher and she went into the relationship with her eyes open with no regrets. But the most poignant moment in the film is when she tells both of the men that she'll go with them to Bolivia after the USA has gotten too hot for them and do whatever they want, but she won't watch them inevitably die because they can't change with the times.A lot of the same themes are expressed in Butch Cassidy and the Sundance Kid as were done in The Man Who Shot Liberty Valance. The difference is that Butch and Sundance have a ton of redeeming qualities whereas Liberty Valance has none.B.J. Thomas's rendition of the Academy Award winning song Raindrops Keep Falling On My Head is what people remember most about this film. It's certainly one of the most recognized movie themes ever written. Besides Thomas, good records of the song were done by Andy Williams, Perry Como and Dean Martin. Butch Cassidy and the Sundance Kid won some other technical Oscars including a most deserved one for cinematography. It missed being Best Picture and Best Director for George Roy Hill.In the only western he ever did in his career George Roy Hill came up with one of the best. Butch Cassidy and the Sundance Kid should be seen back to back with The Sting. Hard to say which one is the better.",Butch Cassidy and the Sundance Kid
3,Leofwine_draca,The original buddy movie,9,12 April 2016,"The 'buddy' genre has been all the rage in Hollywood since the 1980s, but I think its origins go right back to BUTCH CASSIDY AND THE SUNDANCE KID and beyond. Sure, the guys here are anti-heroes, but other than that they have the same laidback, wisecracking charm as many heroes who've come ever since. The influence of this comic western is undeniable, particularly in Italy, whose producers made dozens of jokey westerns after the release of this one.Looking back on this film now, I actually think it's quite a slight movie in terms of plot and narrative depth. I like the use of sepia photographs to evoke the setting, but the montage sequences don't really work all that well (although they are included out of necessity, as the producers didn't have permission to shoot on the elaborate sets required). The film gets by thanks to the seemingly effortless performances of Paul Newman and Robert Redford, who have plenty of chemistry together, so much so that the screen is awash with it from beginning to end. Yes, Katharine Ross feels extraneous, and the narrative is slightly repetitive at times, but there are many touches here that make this a well-loved movie: THAT song, and THAT ending. In the end, that's enough, and Butch and Sundance have gone down in history...",Butch Cassidy and the Sundance Kid
4,SnoopyStyle,charming cool fun duo,8,25 August 2014,"Butch Cassidy (Paul Newman) is the leader of the Hole in the Wall Gang. His latest idea is to go to Bolivia with its supposed riches. The Sundance Kid (Robert Redford) is the quick draw of the group and his girl is Etta Place (Katharine Ross). The gang hits the Flyer train. The gang hits the Flyer again and they get ambushed. They are hounded by a posse of the best hired by the head of Union Pacific Railroad. They decide to go on the run with Etta and end up in rural Bolivia.This is sometimes funny but most of all, this is cool. Newman and Redford are playing this with a nudge and a wink. They're just having fun together. And the star power doesn't shine any brighter. The best scenes are always when the two are arguing. These guys just have great chemistry.",Butch Cassidy and the Sundance Kid
5,Hitchcoc,A More Serious Movie Than We Realize Sometimes,9,8 December 2016,"To start with, the two main characters are criminals. While the movie has lots of clever one-liners and sparkling roles, they are a couple bad guys in the eyes of the law. Newman and Redford sparkle on the screen, and the movie is a feast for the eyes. Katherine Ross is also a lovely addition. It starts out with the two of them stopping to see their old flame and having a real party with that ""Raindrops"" tune in the background. They have just re- established themselves as the leaders of the Hole-in-the-Wall Gang. What follows, however, is a series of misadventures. They are under constant scrutiny by lawmen who are out for their hides. They have numerous close calls and end up in Bolivia. When they ply their trade there, they have an equal response from those authorities. There are numerous moments of comic relief, but it doesn't disguise the fact that the law will not rest. This is a fine movie, but not all fun and games with a happy ending, like ""The Sting"" was.",Butch Cassidy and the Sundance Kid
6,mark.waltz,She'll do everything for them but watch them die.,9,21 December 2017,"This gets one star short of perfection for one minor thing: it is a product of its time with bouncy music montage sequences, really no full plot, and being the epitome of a popcorn picture that is aimed to please, and does. It's the anti-Bonnie and Clyde bandit film, certainly low key in its violence and often tongue in cheek funny. You can't help but love the two stars (Paul Newman and Robert Redford) and root for their characters, two train bandits who manage to charm and influence their victims, charming them in an ""Ah shucks"" sort of way, and influencing them to follow the two way down south to Bolivia. Accompanying them is prim and proper school marm Katharine Ross who aids them in learning Spanish to get away with a string of clever but comical robberies which doesn't seem to be leading to the ultimate ""Sting"".There are many classic moments in this practically excellent action comedy, half western and half southern. Newman doing bike tricks for Ross, the two men stranded on a cliff over the Colorado River, and the final shootout, all used in film montages over the years. There's great character roles for many veteran faces, unknown by name (Percy Helton and Jody Gilbert for example), and a few actors in early appearances or roles before they were stars. There may not be raindrops falling on their head, but there will be smiles on your face as you root for these lovable scoundrels. Under the direction of George Roy Hill, this is near perfection.",Butch Cassidy and the Sundance Kid
7,classicsoncall,"""Who are those guys?""",10,15 October 2005,"""Butch Cassidy and the Sundance Kid"" is in my all time top ten movies, and has been for quite awhile. At the same time, I can't say that it's my favorite Western, as the film almost transcends the genre to become the quintessential buddy movie. In their respective roles as Butch and The Kid, Paul Newman and Robert Redford develop a magnetism and charisma that give the movie it's tremendous appeal.I recall the first time I saw this movie upon it's release in 1969 and how original many of the scenes and concepts played out, from Butch's put down of Harvey Logan's (Ted Cassidy) challenge at Hole in the Wall, Sundance's gunpoint strip by Etta (Katharine Ross), and the humorous exchanges between the bandits and E.L. Harriman's trusted train guard Woodcock (George Furth). Life on the run never seemed as glamorous as Butch and the Kid attempting to outwit ""those guys"". Even the final scene, with the Mexican troops encircling the ""yanquis bandidos"" location, I kept wondering how they were going to get out of this one.The film also cleverly introduces one of the year's top hit tunes with ""Raindrops Keep Fallin' on My Head"", though if you want to be critical, it wasn't raining during the segment in which it runs, which on reflection doesn't seem to make sense. But the upbeat tempo of the tune does support the light hearted action on screen and just works.Some veteran character actors perform admirably here as well. Of particular note is Jeff Corey as Sheriff Ray who carefully orchestrates his own bondage by the boys lest he be considered in cahoots with them; and Strother Martin as the Bolivian paymaster who hires Butch and Sundance as the proverbial foxes in the hen house to guard the company payroll. The scene with the Mexican bandits was reminiscent of an earlier era's treatment in ""Treasure of the Sierra Madre"", though with dire consequences for the banditos this time around.At just under two hours, the film seems to fly by, a testament to intriguing and involved story telling. Even when you know it's over for Butch and Sundance, you're hoping for one more exchange before lights out, such is the camaraderie one feels for the film's protagonists. This is a movie I return to at least once yearly for a good old dose of action and humor, and it still delivers time after time.",Butch Cassidy and the Sundance Kid
8,gavin6942,"As Far As Westerns Go, This One Probably Tops Them All",8,9 October 2006,"Two outlaws rob banks and trains until the heat becomes a little too hot, and they flee to Bolivia where the bank robbing starts all over again.When you're dealing with the team of Paul Newman and Robert Redford, you can pretty much guarantee yourself a quality film. As of this review, the movie was sitting as the #135th of all time. I rated it a little lower than many people, but I don't deny the film's power. Redford and Newman are the Damon and Affleck of their generation.If nothing else, the movie is great because it is now iconic and to really understand many modern films you have to appreciate what this one was. How many movies and shows have duplicated the bike riding scene with Burt Bacharach's ""Raindrops Keep Falling on My Dead""? Or Sundance's gun-play? And my all-time favorite movie, ""Mallrats"", does a fine job of adapting the character of LaFours.) The script was written by William Goldman, probably best known for ""The Princess Bride"", but also ""Maverick"". I have no doubt the light humor owes a debt to Goldman.The robberies and such were great, the horse-riding was well-done and very believable. I especially enjoyed the dynamite and the character of Woodcock. And the director's use of angle shots to make the mountains look even more impassable? Superb.Katharine Ross is gorgeous and a strong character who holds her own with the wily bandits. She could have had a larger part (except then they might have to rename the movie).Fantastic, epic and inspiration for both film-makers and bank robbers. Long live the legend of Butch Cassidy and the Sundance Kid.",Butch Cassidy and the Sundance Kid
9,lee_eisenberg,3 great westerns in 1969,10,13 May 2006,"The year 1969 may have been the greatest one for westerns ever. We had ""Once Upon a Time in the West"", ""The Wild Bunch"" and ""Butch Cassidy and the Sundance Kid"". The last one has Paul Newman in one of his coolest roles ever, with Robert Redford showing the flair for acting that he would soon bring to many other flicks. That scene on the cliff is really something else, as is the movie's final scene.There are some scenes in the movie that look sort of like they were thrown in for comic relief. There's the bicycle scene and the first time that they try to rob a bank in Bolivia. But overall, this is truly a great movie.It's weird to think that I only saw this movie a few weeks after I first learned of Paul Newman's existence (from the movie ""I Wanna Hold Your Hand""). My mom said that when she saw it when it first came out, she thought for about a minute that a certain scene involved a rape. But anyway, it's a movie that you gotta see. Also starring Katharine Ross and Strother Martin.",Butch Cassidy and the Sundance Kid
