,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,tears and joy,8,27 February 2020,"Pete (Mark Wahlberg) and Ellie Wagner (Rose Byrne) are a husband and wife house-flipping team. The childless couple decides to be foster parents. They attend class led by social workers, Karen (Octavia Spencer) and Sharon (Tig Notaro). They are taken by outspoken teenager Lizzy at an awkward adoption fair. They decide to take in Lizzy and her two younger siblings, Juan and Lita. Their mother is in prison from her drug use.I like this version of Marky Mark with a dialed down testosterone. Rose Byrne continues to show her comedic side. The two of them form an appealing middle class couple. The kids are simply amazing. Octavia and Tig are a great comedic side duo. The subject matter is touching. It has real tears and real joy. It's a movie of beautiful emotions. I would cut back a little of Joan Cusack and the final ending. By the four months later, the movie is itching to end and it could do so quicker. This is a really good movie.",Instant Family
1,Prismark10,Instant Family,5,5 January 2020,"Pete (Mark Wahlberg) and Ellie (Rose Byrne) are a married couple who make a good living renovating houses. They decide to become foster parents.They enrol on courses on foster care headed by two social workers Karen (Octavia Spencer) Sharon (Tig Notaro.) Soon they bring home three kids whose mother was a crack addict. Lizzy (Isabela Moner) is a rebellious teenager who had to look after her younger brother Juan who is accident prone and sister Lita who is a little brat.Of course being foster parents is harder than they imagined. After all the three children are from a broken home. Just as Pete and Ellie think they have made a breakthrough, the kids natural mother comes on the scene.This comedy is from the same team that made the Daddy's Home movies. It has a few funny moments and plenty of contrived scenarios. It is too slapdash with a tone that is all over the place ranging from crude to sentimentality.The film wants to highlight the issues faced by kids in the American care system. However the focus is too much on Pete and Ellie who really seem to be unprepared as foster parents.",Instant Family
2,nogodnomasters,They're teenagers!,10,4 January 2019,Pete (Mark Wahlberg) and Elle (Rose Byrne) enter the California foster care system in hopes of adopting. They opt to take in three Hispanic siblings with issues. The young girl only eats potato chips. The boy is afraid of everything. And then there is is a teenage girl who doesn't connect. It is a heartwarming story that starts off with Paul McCartney and ends with Jefferson Starship. Octavia Spencer rocks. Bring your tissues.Guide: 1 F-word. No sex or nudity.,Instant Family
3,paul_haakonsen,This was a very beautiful and enjoyable movie...,7,8 June 2019,"Alright, well granted I hadn't really expected much from a movie such as ""Instant Family"", believing it to be just another quick run-of-the-mill comedy with pseudo-action star Mark Wahlberg. But still, I decided to sit down and watch this 2018 movie.It turns out that this was actually one of the better movies with Mark Wahlberg in the lead for some time, and I honestly can say that I prefer him better in the comedy genre than I do in the action genre. But naturally he wasn't the sole force carrying this movie. He had some great help by the rest of the cast, and also the fact that the storyline was so warm and heartfelt.This is the story of Pete (played by Mark Wahlberg) and Ellie (played by Rose Byrne) whom decide to adopt three children, Lizzy (played by Isabela Moner), Juan (played by Gustavo Escobar) and Lita (played by Julianna Gamiz). And it turns out that adopting three children might be a bit more than what the couple thought they were in for and bargained for. Of which there comes some great funny moments and so clashes of heads.While the story is indeed mostly driven by the comedy, there is also a more serious aspect to it, the part of adopting children and the role adopted children have in a foster family. And I think that director and writer Sean Anders really handled that quite well, managing to mix comedy and grave seriousness together in a very nice combination.The movie also had some great support appearances from Tig Notaro and Octavia Spencer, whom each individually brought something wonderful to the story, and they had really great on-screen chemistry.""Instant Family"" might actually have you in tears towards the end. Why? Well, I will not spoil that, although it is quite easy to guess why, given the synopsis of the story and the concept of the storyline. But still, it was a warm and heartfelt story and a very uplifting ending to the movie, although you saw it coming from the moment you started watching the movie.If you haven't already seen ""Instant Family"", then I can warmly recommend that you do so if you are given the chance, because it is a beautiful story, and one that will stick with you for some time.",Instant Family
4,Calicodreamin,Cute!,7,25 November 2019,Instant family is funny and heartwarming. Based on a true story it sheds real light on the foster/adoption system. The acting was great from the whole cast and the storyline had a good pace and flow. There were many touching moments and also a lot of funny moments. An easy watch.,Instant Family
5,neil-476,"Charming, touching, but a bit obvious",9,5 April 2019,"Pete and Ellie are house flippers, doing comfortably, but childless. For reasons they don't fully understand, they foster, with a view to adoption, 3 latin siblings, sweet little Lita who will only eat potato chips, accident-prone Juan who constantly apologises, and 15-year old Lizzy, smart but with attitude.You can feel your emotions being manipulated from frame one in this comedy, which is based on some truth. It is often amusing and gently touching through most of its length. Most of the drama comes from Lizzie, who wants the three siblings to be taken back by their mother, a recovering addict freshly out of jail. She also falls foul of an adult who is harassing her for nude selfies. Otherwise, the problems are as gentle as the rest of the tale and, without wishing to be over critical, possibly a little glib in their resolution.The film is nonetheless entertaining and feelgood. Mark Wahlberg and Rose Byrne are sympathetic as Pete and Ellie, Julie Hagerty, Octavia Spencer and Margo Martindale all have fun in support, and the kids are good.And Isabela Moner as Lizzy delivers a performance which is so good that it belongs in another film (she is also gorgeous). That is now two films, Sicario 2 being the other, in which she has been outstanding. She is definitely a talent to keep an eye out for.",Instant Family
6,bombersflyup,Watchable.,4,22 February 2019,"Instant Family is almost a good film, with terrific lead performances by Wahlberg and Byrne.A bit too soppy, cutesy and silly in my opinion, with stereotypes and pandering. The two leads make it watchable and likable, but when they're not at the fore, it really struggles to stay above water. Trailer purposely avoids showing any of these things.",Instant Family
7,phd_travel,Very funny and enjoyable,10,23 February 2019,Really enjoyable movie about a couple who flip houses and foster 3 kids. Almost every scene in this movie is funny or touching. And the jokes are spontaneous and laugh out loud with witty dialogue.Rose Byrne is a good comedienne. Sweet and funny. Mark Wahlberg delivers his goofball lines well. Isabel Moner is a likeable rebellious teen. The group and foster guides including Octavia Spencer are great too.Highly recommended.,Instant Family
8,deloudelouvain,Entertaining and a good commercial for not having kids.,7,9 August 2021,"For a person that doesn't really like kids I was wondering if this could be a movie for me. To my surprise I was entertained for the entire movie. There are some funny moments that made it worth a watch. There are of course a lot of cheesy moments, I didn't expect anything less to be honest, as the subject is fostering, lonely petulant children and hopeful wannabe parents. You can guess the entire story before it even happens. The cast did a good job playing all those characters, even the kids. In short, Instant Family is entertaining, a feelgood movie for a lot of people, and a perfect commercial for not having kids if you were still hesitating. Best decision of my life, being childless, but a lot of people won't agree with that, something I don't care about to be honest. Nothing beats doing what you want whenever you want and that for your entire lifetime, something that just can't be done when you have kids. If I want to see the stress you get when having kids I'll just watch this movie and it makes me feel instantly much better.",Instant Family
9,MOscarbradley,"A genuinely funny, feelgood movie.",7,27 April 2021,"A comedy about a thirty something couple who foster three siblings is going to be sickeningly sentimental, right? Wrong! ""Instant Family"" is sentimental but also has the courage to poke fun at that very sentimentality and is genuinely funny thanks mainly to two first-rate performances from Mark Wahlberg and Rose Byrne as the couple and an excellent supporting cast that includes Octavia Spencer, Julie Haggerty and the great Margo Martendale. The kids, too, are just dandy and if the comedy is at times predictably broad it balances very nicely with the inevitable saccarine moment. In fact, this might be the perfect movie about kids for people who don't like movies about kids.",Instant Family
