,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,great actors performances,7,8 June 2014,"It's Osage County, Oklahoma. Violet Weston (Meryl Streep) has quite a mouth and the mouth cancer to go with it. She's crass, addicted to painkillers, and the bitter matriarch of the dysfunctional family. Her youngest daughter Ivy (Julianne Nicholson) is still close by dutifully helping out but easily dismissed by Violet. Her sister Mattie Fae Aiken (Margo Martindale) keeps sticking around with her husband Charlie (Chris Cooper). Favorite oldest daughter Barbara (Julia Roberts) has returned with her separated husband Bill Fordham (Ewan McGregor) and daughter Jean (Abigail Breslin). Violet's husband Beverly (Sam Shepard) has enough of the her difficulties and walks off. He is found drowned and the family gathers for the funeral. The middle daughter Karen (Juliette Lewis) returns with new fiancé Steve Huberbrecht (Dermot Mulroney). Little Charles Aiken (Benedict Cumberbatch) is the loser son of Mattie Fae and Charlie who overslept for the funeral.There are a lot of great actors doing Oscar caliber work. The best thing director John Wells does is to point the camera and let these actors work. Meryl Streep is the master, and there is no way to describe her work with justice. Julia Roberts kept up with her and that is high praise for any actor. Every person in the cast deliver some of their best work. Writer Tracy Letts' play is all the same tone. That is the movie's biggest drawback. It is all vile and all bitterness. It is the same tone over and over again. It is overkill without any letup. I just enjoyed it for the performances.",August - Osage County
1,Hitchcoc,Functioning Dysfunction,8,30 January 2014,"Granted, I wouldn't last five minutes with this bunch. But having grown up with people not unlike this, I found the parrying and thrusting to be quite real. These characters are all inflicted with the same disease; they need love and drill for it, but they are incapable of letting go of their submerged self-hatred and continue to bring each other down. If you can get past that, you can sit and watch the disaster happen and appreciate some really intense performances. Black comedy is not ""funny"" the way that farce or physical comedy are. Black comedy draws its strength from seeing our lives as absurd and unfulfilled and still going on. Sartre thought that we all had had a terrible joke pulled on us. If we live in this septic tank, bless us. If we can rise above it, bless us too. The dialogue is real, the awful failure to express love and respect is well presented, painful as it may be. While this was not a pleasant experience, I could not take my eyes off the principles. I think about this movie all the time which means it must have got to me.",August - Osage County
2,boblipton,"When They Sink, We Seem the Higher",2,1 February 2014,"Tolstoy wrote that all happy families are alike; every unhappy family is unhappy in its own way. How did he know? Tolstoy's unhappy people are quite apparently drawn from life. He knew them intimately. He observed them closely because people who are happy don't see much reason to change, while people who are unhappy do -- or should. Change brings drama. Therefore, Tolstoy worked hard at making sure that he understood every nuance of unhappy people, because that was his job. Happy people were not. Therefore, he wasn't interested.That doesn't mean that happy people are less interesting. It means that their efforts to make themselves happy are subtle and less dramatic. This brings us to AUGUST: OSAGE COUNTY, in which a man has left his family, a family he loves and cherishes, because they make him so miserable he must take some time off every once in a while. And when he has killed himself rather than put up with them any longer, they gather together and work very hard to make each other miserable. They complain. They blame other people. They do mean things. They act, in short, in ways that if anyone you knew behaved, you would never see them again. They make it apparent why the man who killed himself was smart to do so.And we are expected to pay the price of admission to a theater (I saw it at a half-price matinée) and spend two hours of our lives for the pleasures of observing people we don't like and don't wish to know because they behave badly, behaving badly? The joy of Meryl Streep in a bad wig cursing in an Okie accent palled soon enough that I left after an hour.I might have stuck around longer had anyone ever said anything worth hearing, either because it was interesting or because it was said in an interesting fashion. That, however, would frustrate the purpose of Tracy Letts, the writer of the movie and the play upon which it is based.That purpose is clearly to make us hate these obnoxious dullards. Portraying them that way will show what mean people they are. It will burnish the appearance of ability of the author and show the range of the actors. It's a win-win! And anyone who does not understand how important these matters are and who might be tempted to walk out is a dullard as bad as the people portrayed in this movie.Or, perhaps, they are people who, confronted with an unhappy situation, do something to change it. Perhaps they are people who wish others to avoid misery and will take a few minutes to write a review like this.",August - Osage County
3,Horst_In_Translation,Violet Weston and her daughters,6,14 September 2014,"""August: Osage County"" is director John Wells' jump to the big screen and it is a pretty successful leap. He won many prestigious awards in the past with TV productions such as ""Emergency Room"", ""The West Wing"" and ""Mildred Pierce"". And from directing Academy Award winner Kate Winslet there, he got Academy Award winners Julia Roberts and Meryl Streep here. Both also took acting nominations for their work here. For Roberts it is her fourth Academy Award nominations 13 years after her win for playing Erin Brockovich. Streep plays a matriarch always struggling between being the strong-willed woman in control of everything and a whiny sick senior. She sees right through her daughters: that the husband of Roberts' character has moved out, that her other daughter is dating her cousin... Streep does a great job with her eyes in that scene when she realizes what's going on with Nicholson and Cumberbatch.When the husband of Streep's character commits suicide, the three daughters show up and visit their mother and bring their own struggles with them. The reason behind that visit already says more than a thousand words.The film was written by Tracy Leets, known for Killer Joe and who is also one of the rising number of actor-turned-screenwriters. You may have seen him on Homeland in the past. The story is solid. It did not blow me away and I would say the best part of the movie is the acting from everybody involved, down to the smaller parts such as Dermot Mulroney. The final scene is pretty significant for all the relationships. Her daughters were thee and the only one that stays with her is the maid.I recommend this movie as we see several family secret surface as the film progresses during these 2 hours. It is not one of the best films of 2013, but certainly worth a watch and you may take one or two things from it and be it only that your own family doesn't seem all that messed up anymore when the credits roll in.",August - Osage County
4,Prismark10,"Hot August, rural Oklahoma",3,10 February 2014,"This is a brooding, searing, almost hysterical Tennessee Williams Southern drama with some bitter, twisted characters.There is hysterical overacting by Meryl Streep. Julia Roberts almost matches her in the overacting stakes.The film is billed as a black comedy/drama, an adaptation of a stage play and directed by John Wells who wrote and directed many episodes of ER.The ensemble cast also includes Sam Shepard, Ewan McGregor, Chris Cooper, Juliette Lewis and Benedict CumberbatchSteep plays a bitter, sick, cancer ridden, drug addict whose drunk, poet husband hires a native American to cook and look after his wife and shortly later dies.The rest of the family arrives and what follows are brutal arguments where ghosts of the past are brought out in the open and wounds are opened up and laid to fester.However despite this the film is dull, overacted and certainly not funny. It does not even resemble a dark comedy.The film is certainly aimed at a female audience but it's interesting to note that it is the men who come out as more mature and sensible in this film.We get more understated performances from Shepard, Cooper and McGregor and even Cumberbatch makes the most of his small role.",August - Osage County
5,mark.waltz,Weddings and funerals bring out the best in SOME families.,7,27 May 2016,"Three generations of a very estranged family gather together for the patriarch's funeral, which if I were a member of, would probably skip without apologies or an explanation. Don't let the surface friendliness of the characters in this clan fool you. They are all completely nuts.Matriarch Meryl Street makes Violet's Voice, which is basically pill addiction, and only mourning her husband for a minute before going on the attack. She's basically run daughter Julia Roberts off (by Robert's obvious choice), and it is ultra difficult for Roberts to return. The funeral is followed by a memorial dinner that makes a visit with George and Martha a day at the beach. The always powerful Streep adds another classic portrayal to her dozens of magnificent roles. Violet is a woman filled with anger and bitterness towards her three children, and it's obviously isn't grief talking. Secrets are revealed, old hurts are raised, yet biscuits with gravy are consumed without one being thrown.Among the others in this amazing ensemble are Margo Martindale as Streep's loyal but sometimes bluntly obnoxious sister, Chuck Cooper as her quietly suffering husband, and Juliette Lewis as the wild, party girl baby in the family. All eyes are on Streep however, as it was for me on Broadway when I saw Estelle Parsons in the role. Smartly edited by over an hour, this may not have been as fast moving as the play was. Tracy Letts wrote the best drama we've seen on stage in decades, and as my tagline says, Outstanding theater may make you weep. The movie may not have had the same effect, but I never was bored, that's for sure.",August - Osage County
6,nogodnomasters,LIFE IS TOO LONG,10,11 April 2019,"Beverly (Sam Shepard) is a drinker and poet. He is married to Violet (Meryl Streep) a smoker with mouth cancer and pill addict. Beverly hires a person (Misty Upham) to take care of Violet because sadly he knows his daughters won't. After his suicide, Violet's three daughters and sister (Margo Martindale) come to her home. Violet is pill drunk, yet incredibly astute as to what is happening. The daughters all have their own issues as they strive to make a mess of their own lives. During this get together, old wounds are opened, new ones created, and secrets revealed.If the goal of the film is to make the audience feel uncomfortable, this one succeeds as much as ""Who's Afraid of Virginia Woolf?"" Indeed I imagined the director viewing the audience wringing his hands as they squirm in their seats. This is not a feel good film, and indeed, I have family of four cats (mother with 3 daughters) that get along better than this dysfunctional family.The production is well acted. I was glued to the screen as I watched a tragedy unfold as Barbara (Julia Roberts) turns into her mother.Parental Guide: F-bomb. No sex or nudity.",August - Osage County
7,kosmasp,The key is in the past,9,3 August 2014,"Just looking at that cast list is exceptional. To get that many good people to do one movie is a feat, but the script was there (based on a novel obviously, that I haven't read, so I can't comment on that). Everyone of the people involved does have a key element to play, and while it might be predictable at times, it still is very good.The key to our future or even our present lies in the past. And breaking out of things we went through as kids is not done easily. While this movie mostly plays at one location, it really takes a lot in from that location (history that is). There is no clear ""villain"" in that sense (even if Streep has to struggle and might be connected most with that attribute), but a lot of grey areas and a lot of things being discovered ... not always a good thing, but good to watch",August - Osage County
8,classicsoncall,"""Thank God we can't tell the future. We'd never get out of bed"".",9,25 October 2014,"Wow, and you thought YOUR family was dysfunctional! The ensemble cast in this movie delivers one of the most powerful screen performances you're likely to see, and it's not at all pretty. Meryl Streep as the drug addled matriarch of the Weston family delivers one of her finest performances ever. She's backed up by the sizzling anti-chemistry of Julia Roberts, Julianne Nicholson and Juliette Lewis as Violet Weston's daughters, attempting to cope with the suicide of their father and the building turmoil in their own personal lives.Individually, it's easy enough to identify with most any of the principal players here, but nothing will prepare you for the main event that plays out at the dinner table when Ma Weston goes on her truth-telling jag. It's vicious and it's mean, and when Barbara Weston (Roberts) declares that she's now in charge, it sets up a new dynamic in the story that still leaves plenty of uncomfortable disclosures to be revealed. It's as if you could feel the hundred and eight degree temperature of the Oklahoma Plains searing through the screen to burn an indelible memory of the Weston's into your skull.I could go on I guess, but words alone can't convey the impact of the story here. Deep and dark secrets unnerve the viewer at various points of the story, and just as you figure that things will go one way, they're suddenly upended to go another. It's like the 'boots for Christmas' story that Violet Weston told about her own mother; just when you think you're about to get a happy ending, the rug is pulled out from under you once more.",August - Osage County
9,jboothmillard,August: Osage County,6,17 February 2014,"I always say to myself I will see all films nominated during awards season, this was only nominated a few, and despite seeing a good trailer for it I was perhaps unsure because of the rating critics gave it, but I decided to go for it in the end. Basically, during an unusually hot summer in the month of August, in rural Osage County outside Pawhuska, Oklahoma, once-noted alcoholic poet Beverly Weston (Sam Shepard) is looking for a live-in cook and caregiver for his strong-willed and quarrelsome wife Violet (Oscar and Golden Globe nominated Meryl Streep) who is suffering from mouth cancer, going through chemotherapy and addicted to narcotics. Shortly after young native American woman Johnna Monevata (Misty Upham) is chosen by him, Beverly disappears, and after five days he is found drowned, he took his boat out onto the lake and committed suicide, Violet identifies the body and has to make funeral arrangements, a few days earlier she did call on her sister and daughters for support, and this means the entire family will be united for the sad occasion. Violet's sister Mattie Fae Aiken (Orphan's Margo Martindale) comes with husband Charlie Aiken (Chris Cooper), Violet's youngest daughter Ivy (Julianne Nicholson) is single and the only family living close, Violet's oldest daughter Barbara (Oscar, BAFTA and Golden Globe nominated Julia Roberts) who has inherited her mean side comes from Colorado with husband Bill Fordham (Ewan McGregor), they are separated due to having marriage difficulties, and their fourteen year old daughter Jean (Abigail Breslin), and Violer's middle daughter Karen (Juliette Lewis) is bringing the latest of a string of boyfriends, sleazy Florida businessman Steve Huberbrecht (Dermot Mulroney) who is apparently her fiancé. The family member who misses the funeral due to oversleeping is Little Charles Aiken (Benedict Cumberbatch), father Charles picks him up from the bus stop to join the dinner back at the house, he loves his son while mother Mattie thinks of him as a loser, also Ivy expresses her love for Little Charles to Barbara, but it is sad that she cannot bare children due to having a hysterectomy. The family all sit together for an awkward dinner to share in the memory of Beverly, but Violet in her inebriated state turns it into a terrible ""truth telling"", with Barbara getting agitated and exposing the drug addiction her mother has, and trying to wrestle her pills from her, but Violet sobers up, and after all the pills have been washed away does have a tender moment with her daughters, revealing she probably gained her cruel streak from her own mother. Jean is almost being seduced by Steve who is giving her his stash of marijuana, Johnna catches them and assumes something more going on, chasing him with a shovel, Barbara gets angry and smacks her daughter, this prompts Bill to take Jean with him back to Colorado, Barbara is left behind because she feels there is still somewhere to go towards making up with her mother, but a divorce will most likely happen now, and Karen realises Steve is not the right man for her. Little Charles and Ivy are close with each other again, and Mattie walks in and cusses him again, father Charles has had enough of her constant putting down of their son and angrily says he will leave with or without her, in a private conversation with Barbara she reveals a big truth, Mattie had an affair with Mattie, so Little Charles is in fact his son and Ivy's brother, so Barbara knows she has to somehow stop them marrying each other. Violet is still using pills that Barbara was unable to find, and at the table Ivy tries to tell her mother about the love she has for Little Charles, Barbara tries to stop her, but Violet interrupts them both assuming she is telling the truth about him being Beverly's son and blurts this truth, she has known for years, Ivy highly upset drives away and angrily telling she will never return. In a last angry discussion between Violet and Barbara the mother admits that Beverly contacted him before he died, but she did nothing to help him and removed the money from their joint account, and she was too late after doing this, and this is the final straw for Barbara who drives away in a pickup truck, she does stop to have a think, while Violet is left alone with only Johnna for comfort. Also starring Will Coffey as Sheriff Deon Gilbeau and Newell Alexander as Dr. Burke. Streep is fantastic a pill addicted queen bitch head of the family, Roberts is also fantastic as the equally bitchy and snappy eldest daughter, in the heated argument scenes there are plenty of fireworks between them, they both absolutely deserved Oscar nominations, but all of the cast members add something as well, McGregor being easily irritated, Cooper being kind-hearted, Breslin being a rebel teenager, Cumberbatch being good- natured, and Lewis being annoying and talkative. This film is based on a stage play, so this obviously relies on really well written dialogue and great performances, the dysfunctional family issues of abuse, infidelities and incest certainly make an impact, and I really laughed at the put downs and interesting character traits, I agree maybe it is a little over-baked at times, but it made me laugh and compelled in equal measure, this is absolutely a most watchable comedy drama. Good!",August - Osage County
