,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"Cheesy, dated, fun",6,29 August 2019,"MASTERS OF THE UNIVERSE is a typical slice of cheese from Cannon, the studio who made the 1980s synonmous with over-the-top action vehicles filled to the brim with SFX spectacle. It's the movie version of the popular '80s cartoon series, and brawny Dolph Lundgren is well chosen to play the taciturn hero. The rest is a mix of genre tropes, looking and feeling like those Lou Ferrigno HERCULES pictures at times, and elsewhere like a mix between FLASH GORDON and STAR WARS.The action is dated and small scale, mainly consisting of laser gun battles and Dolph swinging his sword around to fell henchmen. Meg Foster makes for an excellent Evil-Lyn and Frank Langella is certainly hamming up a storm as Skeletor, although I think his rubber mask looks more than cheap and a hard skeletal structure would have been far more convincing. The rest is a mix of rubber suited monsters, bad dialogue and a perky Courtney Cox doing her thing. Hardly a classic, then, but if you like '80s cheese you'll be in your element.",Masters of the Universe
1,SnoopyStyle,almost good enough cheese,5,5 August 2013,Skeletor conquers Castle Grayskull. He-Man (Dolph Lundgren) and his friends escape with the help of the Cosmic Key. They land on earth but the Key goes missing. Teens Julie Winston (Courteney Cox) and her boyfriend Kevin Corrigan find the Key but are unable to understand it. Evil-Lyn (Meg Foster) tracks the Key with her minions.To say that this is cheesy is to say the Pope is catholic. This is a live action movie based on the cartoon. It has cheesy FX. It has cheesy character costumes. It has cheesy acting from Dolph Lundgren. Yep the cheese is all over this thing. This certainly have its moments. It has some fun both intentional and unintentional. It's also noteworthy to see a younger Courteney Cox. I don't think it's quite cult classic or campy fun.,Masters of the Universe
2,claudio_carvalho,Silly but Entertaining,5,18 June 2017,"On the planet Eternia, Skeletor (Frank Langella) and his dark army overthrow the Sorceress of Castle Grayskull (Christina Pickles) expecting to acquire her power. He-Man (Dolph Lundgren), his old friend Duncan ""Man-at-Arms"" (Jon Cypher) and his daughter Teela (Chelsea Field) are attacked by Skeletor's soldiers and they defeat them. They also rescue their prisoner, the inventor and locksmith Gwildor (Billy Barty). He explains that he was lured by Evil-Lyn (Meg Foster) that used his invention Cosmic Key to open the gates and seize the Castle Grayskull. He-Man and his friends retrieve the prototype of the Cosmic Key trying to release the Sorcereress but they are defeated by Skeletor and his army and Gwildor uses his key to open and portal for them to flee. They come to Earth but lose the key. Meanwhile Julie Winston (Courteney Cox), who grieves the loss of her parents in a plane crash, and her boyfriend Kevin Corrigan (Robert Duncan McNeill) find and activate the key, believing it is a foreign musical instrument. On Eternia, Evil-Lyn locates the Cosmic Key and Skeletor sends her with a group of mercenaries and soldiers to vanquish He-man and his friends and bring the key back. Will they succeed?""Masters of the Universe"" is a silly but entertaining fantasy adventure film. The movie is a ripoff Star Wars, with the introductory credits rolling on the screen, the score and Skeletor's army, and Conan, with the strong Dolph Lundgren. The plot has silly moments, like Julie delivering the Key to her deceased mother or the comic attitudes of Detective Lubic. But ""Masters of the Universe"" is cult and entertaining for the fans. My vote is five.Title (Brazil): ""Mestres do Universo – O Filme"" (""Masters of the Universe – The Movie"")",Masters of the Universe
3,gavin6942,A Strange Little Film,6,13 November 2015,"A prince turned warrior named He-Man battles against the dark lord Skeletor on the planet Eternia. He-Man and his comrades arrive on Earth and discover two teenage lovers to find the magical Cosmic Key.Now, the strange thing about this is that the film was in production based on the toys and not on the cartoon. This results in two very different visions of the same characters, and probably results in plenty of confusion from those who expect the cartoon and get something with lasers and Courteney Cox.But taken in its own right, it is not bad. Not great, but not bad. And it certainly is better than what they tried to do with the Super Mario Brothers. (Although, even that one is fun now that we can look back and laugh.)",Masters of the Universe
4,jboothmillard,Masters of the Universe,3,6 May 2019,"I remember watching a cartoon version of He-Man (maybe the 1990s one) when I was a kid, it all started with the toys from Mattel, there was the classic 1980s cartoon, there was the comic books, and so came the live-action movie big screen version of the cartoon, which I knew was regarded terribly by fans and critics. Basically on the planet Eternia, at the centre of the Universe, Castle Grayskull has been seized by the evil Skeletor (Frank Langella) and his army, scatters the remaining Eternian defenders, and captures the Sorceress of Grayskull (Friends' Christina Pickles). The mighty warrior He-Man (Dolph Lundgren), the most powerful man in the universe, is ready to overthrow Skeletor, his archenemy, along with his old friend Duncan ""Man-at-Arms"" (Jon Cypher) and his daughter Teela (Chelsea Field). Gwildor (Razzie nominated Billy Barty), a Thenorian locksmith, is rescued by He-Man, he reveals that Skeletor has acquired his invention: a ""Cosmic Key"" that can open a portal to anywhere in the universe. The device was stolen by Skeletor's second-in-command, Evil-Lyn (Meg Foster), allowing Skeletor to breach Castle Grayskull. Using Gwildor's remaining prototype of the Key, He-Man and his friends attempt to free the Sorceress, but Skeletor's army overthrows them, forcing them to flee through a portal. They are transported to modern-day New Jersey, planet Earth, but the Key is misplaced on their arrival and discovered by teenager Kevin Corrigan (Star Trek: Voyager's Robert Duncan McNeill) and his orphaned girlfriend Julie Winston (Courteney Cox). The pair attempt to figure out what the Key is and accidentally send a signal that allows Evil-Lyn to track the Key and send her henchmen - Saurod (Pons Maar), Blade (Anthony De Longis), Beast Man (Tony Carroll) and Karg (Robert Towers) - to recover it. Kevin, an aspiring musician, mistakes the Key for a synthesizer and takes it to a music store run by his friend Charlie (Barry Livingston). Karg's team arrives and chases Julie until He-Man finds and rescues her. Karg's team returns to Grayskull, Skeletor is incensed by their failure and kills Saurod, then sends the others back to Earth, with a larger army commanded by Evil-Lyn. Kevin is taken to Julie's house by Detective Lubic (Back to the Future's James Tolkan), who is investigating the disturbance created by Karg's team, he suspects the Key is stolen and confiscates it from Kevin. After Lubic leaves, Kevin is captured by Evil-Lyn, who uses a mind control collar to interrogate him for the Key's location. The Eternians and Julie release Kevin from the collar before they go after Lubic and the Key before Evil-Lyn and her group get to it. They reach Charlie's store, but Skeletor's forces catch up to them, there is a battle, during which Evil-Lyn recovers the Key and summons Skeletor to Earth. The Eternians are captured, Julie is mortally wounded, and He-Man surrenders to save his comrades and is returned to Eternia as Skeletor's slave. Skeletor demands that He-Man kneels before him for all of Eternia to see, before he is killed, the hero refuses and is lashed by Blade's laser whip. When the moon rises, Skeletor absorbs the powers of the universe, declaring himself the Master of the Universe, he asserts his victory and continues to torture He-Man with energy blasts. Back on Earth, Gwildor repairs the Cosmic Key, and Kevin recreates the tones necessary to create a gateway to Eternia. The group, including Lubic who tries to arrest them, are transported to Castle Grayskull, where they battle against Skeletor's forces. Evil-Lyn resents Skeletor for absorbing all the power of the Universe without sharing it with her, she deserts him along with the other henchmen. Skeletor accidentally frees He-Man, who reclaims the Sword of Grayskull, and they battle until He-Man shatters Skeletor's staff, eliminating his powers and restoring him to his normal state. He-Man offers mercy, but Skeletor draws a concealed sword and attempts to kill He-Man, but he is knocked into a towering pit below. The Sorceress is freed and heals Julie, a portal is opened to send the humans home to Earth, but Lubic is hailed as hero and decides to remain on Eternia. Julie has taken back in time and awakens on the morning of her parents are supposed to take the plane that will crash and kill them, she stops them from doing so. She runs outside to find Kevin, he confirms that everything they went through was real, while He-Man stands victorious in Eternia with his magic sword at the throne of Grayskull, shouting the immortal words ""I have the power!"" In the post-credits sequence, Skeletor emerges from the water and says, ""I'll be back!"". Also starring Jessica Nelson as Monica, Gwynne Gilford as Mrs. Winston and Walter Scott as Mr. Winston, and narrated by Peter Brooks. Lundgren has the right physique for the leading hero, but is wooden, Langella with the skull-faced makeup is reasonable as the villain, and it is nice to see a young Cox before her Friends fame, but Barty as the mad little goblin character is a little annoying, the story of a key enabling the holder to gain all power in the universe is uninspired, obvious and predictable, the fight and chase sequences are at times daft, and the special effects makeup and computer effects look painfully cheap and dated, it was a commercial and critical failure, it may get cult audiences, but the majority of those who dislike it is much higher, it is a rather silly and mildly terrible fantasy action adventure. Adequate!",Masters of the Universe
5,ma-cortes,Overwhelming fantasy about heroic He-man battling Skeletor in Eternia and Earth,6,3 August 2010,"A corpulent hero named He-man , a veteran warrior (John Cypher) , his daughter (Chelsea Field) , a likable midget (Billy Barty) fight in Eternia against a vile villain named Skeletor (Frank Langella as a Darth Vader clone) in a fantasy/Sci-Fi about rebel forces battling for the sake of freedom and engaged in a life or death war with the tyrant leader of a far planet . They transport themselves by means of a mechanism that creates a time hole to Earth in which nothing less the future of the universe is at stake . There they meet an intimate and youthful couple (Courney Cox , Richard Duncan). Meanwhile , Skeletor wants to get a chance by destiny to receive the powers of Grayskull . From a distant galaxy... they have come to Earth.
A battle fought in the stars, now... comes to Earth. The live-action motion picture . Only the universe could hold adventure this big!This is a medium-budgeted live-action rendition of the cartoon roles' feats in the ¨Star Wars¨ mold and characterized by He-man , Skeletor and many others . All of them blended together with wonderful and terrific special effects courtesy of Richard Edlund and special designs by Moebius .¨Masters of the Universe¨ is basically a lot of spectacular fight-scenes with a tiny bit of plot movement , full of sympathetic dialogue and flashy blasts of light and energy . It features stunted and disjointed action, as well as the hilarious but quite conventional characters partially fitting to the animated series . It includes abundant breathtaking images , which laboriously and mightily attempt to reproduce the source materials in some impressive scenes and eye-popping look .After his nasty roles in in ¨Rocky 4 (85)¨ and ¨A view to kill (85)¨ , the Swedish muscle mountain Dolph Lundgren starred this film and followed by ¨Red Scorpion (90)¨ and ¨Universal soldier (92)¨ in his successful period during the 80s and early 90s . Lundgren has certain acting ability and charisma enough to play this kind of heroes . Based on cartoon and famous toys by ¨Mattei Inc¨ that proved to be one of the biggest hits of all time . However , the characters and story may aim a little more at kiddies than teenagers and adults . For comical relief in charge of Billy Barty with his antics , sympathy and jokes . Other support actors giving enjoyable acting in brief appearances are as follows : James Tolkan , Meg Foster , John Cypher , Chelsea Field , and Christina Pickles as the imprisoned sorceress . The special effects are well made by the presitigious Richard Edlund , all they're cracked up to be and set a new cinematic standard for realistic realization . Action scenes have the zip and excitement you'd expect . The motion picture was well directed by Gary Goddard in his only filmmaking ; subsequently , he has dedicated to production and 3D . This would-be epic , surrounding the genres : ¨Sword and witchery¨ and ¨Sci-F¨results to be an entertaining and fun romp through space and time.",Masters of the Universe
6,paul_haakonsen,A terrible blow to the legacy of He-Man,3,4 February 2010,"I grew up watch the animated He-Man and the Masters of the Universe cartoons during the 80's, and I was a huge fan. I also loved the 2002 re-birth of the Masters of the Universe series. Heck, I even got a tattoo of He-Man (from the 2002 series) covering most of my back), that is how much a fan I am.But this movie. Wow! It was terrible in so many ways. It should never have been associated with the Masters of the Universe franchise. Not that I got anything against Dolph Lundgren - he have some fairly adequate movies to his name. But this movie was a gloveslap to the face of fans and an insult to He-Man.The movie is not bad in itself, if you distance it from the He-Man story. Had this movie been totally unassociated with Masters of the Universe it would have been acceptable.I remember when I was young and this movie came out, it killed off He-Man for me for a long, long time. But then thankfully I got over the crap that is this movie, and then were blessed when He-Man came back, mightier than ever in 2002.This movie should be watched as a sci-fi adventure movie, and try not to associate it with the Masters of the Universe story. You might just set yourself up for a major disappointment.",Masters of the Universe
7,Hey_Sweden,All very agreeable.,7,3 March 2012,"I suppose it does make a difference if one is like this viewer and loved the Mattel toys and the animated series as a child, so visiting this vintage big screen treatment is appealing enough to the kid that's still inside me who would have just lapped up something like this had he caught it when it first came out. I always thrilled for my dad to rent the tapes of the series. Now, of course, as an adult I can't help but laugh hearing something like ""I HAVE THE POWER!!!!!!!"", and see this as a very cheesy, silly affair, but again, it was meant for kids of the era and is still very likable.Appropriately cast Dolph Lundgren is He-Man, battling with associates Man-At-Arms (Jon Cypher) and his daughter Teela (Chelsea Field) against the forces of cackling, demonic bad guy Skeletor (the great Frank Langella, unrecognizable under the mask). Skeletor desperately needs to get his hands (or should that be bones?) on a ""cosmic key"" devised by lovable imp Gwildor (Billy Barty); said key opens dimensional ""doors"" and transports various characters good and bad to Earth, where they raise all sort of hell in their battles, and two teen lovers, Julie (a young Courteney Cox) and Kevin (Robert Duncan McNeill of 'Star Trek: Voyager') get caught up in all of it, along with a flustered detective (James Tolkan).The movie is quite easy to take from start to finish, with pacing that doesn't falter, lots of colourful visuals and effects, a score by Bill Conti automatically calling to mind John Williams' work for ""Superman"" and ""Star Wars"", and entertaining characters, although the villains definitely fare better than the heroes; Langella is commanding as Skeletor, and Meg Foster likewise delicious as Evil-Lyn. The four henchmen dispatched by skull face are an amusing bunch, especially the Beastman who looks rather like the character Alph from the futuristic action / exploitation flick ""Turkey Shoot"". But for this viewer, what makes this as much fun as it is, is the ass kicking character of Detective Lubic; Tolkan is hysterical in the role.A nice diversion overall, with a funny surprise for anybody who sits through the closing credits.Seven out of 10.",Masters of the Universe
8,CinemaSerf,"""Good Journey"" to the fridge, frequently....",6,7 May 2021,"OK, so we all have guilty pleasures - for some people it is chocolate, or cheese, or champagne... For me, it's all of these - especially when watching this. Now before you hit the off button, I think it is important to remember that this is not meant to stand up to much critical scrutiny. It is just a simple fantasy adventure with a pretty wooden cast and a some colourful visual effects that support a good old fashioned good v evil scenario. Dolph Lundgren is ""He-Man"", fresh from his drubbing at the hands of ""Rocky"" who must race to rescue the Sorceress from the evil ambitions of Frank Langella (""Skeletor"") and his evil sidekick ""Evil-Lyn"" (Meg Foster). The award for best pointy ears goes to Billy Barty as the arch-locksmith ""Gwildor"" who has devised this amazing device that can transport folks all over the galaxy via worm-hole style things. Soon the Grayskullians (?) have fled to Earth and embroiled love's young dreamers - Courtney Cox (""Julie"") and Robert Duncan McNeill (""Kevin"") - in their perilous escapades. It's got plenty of swash and buckle, police cars getting zapped and I always wanted that big electric chair thing that ""Skeletor"" arrived on Earth on. It apparently cost $22 million - though how they managed to spend all of that is almost as much mystery as their special key! What's not to like, eh? Go on, you know you want to...",Masters of the Universe
9,Bunuel1976,"MASTERS OF THE UNIVERSE (Gary Goddard, 1987) **",4,25 January 2008,"I first watched this one on VHS in the late 1980sso it's another nostalgic trip down memory lane for me; besides, as a kid I used to love watching the animated series on TV  along with its short-lived predecessor, BLACKSTAR (1981)  and even owned toys of some of the characters! This is a juvenile live-action version and although watchable, it's still among the least adventure epics of its day: to begin with, the characters don't look much like their old selves and there's little use of the mythical Greyskull setting or He-Man's trademark ""I have the power"" line. Besides, the time-travel convention adopted for the film's main plot feels as ill-advised now as it seemed then, but is more like than not a measure of budgetary constraints on the part of the penny-pinching Cannon Group.Dolph Lundgren is a stolid He-Man; Frank Langella a campy yet unconvincing Skeletor (especially when he exchanges his typical hooded attire in blue for a mask and golden costume); Courteney Cox is the present-day heroine; Billy Barty's Gwildor replaces Orko from the animated series (but, then, there's no sign of Battlecator, for that matter, He-Man's mild-mannered alter-ego Adam either!); Meg Foster comes off best as Evil-Lyn, with the good sorceress (who has been turned into an old crone by Skeletor) at the other end of the scale; admittedly, James Tolkan, is quite fun as the tough but bewildered modern-day cop. While there's plenty of mindless (if uninspired) action throughout, Skeletor's army is lazily depicted as a black-clad variant on the 'stormtroopers' from the STAR WARS saga  while his gallery of mutants is, at best, a forgettable lot! Skeletor even re-emerges from his watery grave after the end credits had rolled  thus promising a follow up which, perhaps unsurprisingly, never materialized...",Masters of the Universe
