,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"Good, but I think it's a bit overrated.",8,11 September 2013,"""The Secret in Their Eyes"" is a very good film--I don't in any way deny this. However, given that the film is in IMDb's Top 250 List, that it won the Oscar for Best Foreign Language Film and is currently rated much higher than ""The official Story"" (the other Argentinian film that has won the Oscar), I really expected more. Now you cannot blame the film but sometimes such high expectations set the viewer up to be disappointed...and I was to a certain extent. But, I still recommend you see it.The story begins with a retired investigator struggling with a story he's been working on for years. He's been trying to write the story of his most perplexing and haunting cases--the senseless murder and rape of a young lady. What follows is a film where the story bounces back and forth over a 25 year period--from the present to the days when the case first began. Interestingly, the story (like the film ""The Official Story"") also is an indictment of the corruption of the Argentinian government of the 70s, as the identity of the perpetrator actually is eventually determined--but justice, it seems, is never to be.The best things about the film are the acting as well as the wonderful ending. While I did guess the ending, it still was very, very satisfying to see. My only reservation is that this is a VERY adult film. Not only does it show a rape occurring (though it was done tastefully and respectfully), but you see a very nude corpse as well as a man dropping his pants to reveal his penis. It's certainly not the sort of thing you'd normally show your kids, your mother-in-law or Father Jenkins when he stops by for a friendly visit. Additionally, while the film is quite interesting, it never seemed great--like a must-see film and you certainly would expect that with its 8.2 rating on IMDb.",The Secret in Their Eyes
1,Leofwine_draca,"Solid filmmaking, but not amazing",6,26 March 2014,"THE SECRET IN THEIR EYES is a solid crime film and the first feature I've watched from Argentina. The recipient of an Oscar for best foreign language film at the 2010 ceremony, this turns out to be a solid if unremarkable crime film in which a detective attempts to solve unanswered questions over an old case from the 1970s.This is a solid and watchable film, but to be fair it's the kind of story that I've seen dozens of times previously. The script is literate and the characters well-drawn, but it lacks the spark required to make it truly engrossing. The plot is quite spaced out and limited given the length of the movie, leading to long sequences where not a great deal happens. In comparison to electrifying, action-packed thrillers like the French POINT BLANK or more plot-focused detective stories like the Swedish GIRL WITH THE DRAGON TATTOO trilogy, I have to say this is nothing special.That's not that it's not worth watching - the acting is strong from the whole of the cast, particularly the leads playing the two prosecutors whose subtle romance is the emphasis of much of the running time. And there are some stand-out sequences here too, not least the pivotal moment involving Javier Godino's character. But it's not a film I would rush to watch again, it has to be said.",The Secret in Their Eyes
2,SnoopyStyle,Interesting ending from Argentine movie,7,24 February 2014,Retired federal agent Benjamín Espósito (Ricardo Darín) wants to write a novel about an old case of the brutal rape and murder of Liliana Coloto. His old boss Irene is still working in the justice department and isn't really happy with him poking around. The case still has some questions about the main suspect Isidoro Gómez who was released early.This is an Argentine movie. Ricardo Darín is very compelling as the lead. I really like the sense of era and place of the movie. It does take a little while to get started. It uses flashbacks to go back and forth. That structure and the subtitles can suffocate the pace and tension from building up. However it gets going nicely with a very interesting ending.,The Secret in Their Eyes
3,Hitchcoc,A Story of Passion and Commitment,10,27 February 2016,"I can't add a lot to what has been written. The direction and cinematography aside (which is magnificent), this is an incredible psychological study, involving a group of the most complex of characters. Esposito finds himself in love with two people: the woman who was once his boss and because of inaction, left him heartbroken, and, secondly, a beautiful young rape/murder victim. Over a twenty-five year period, these forces never leave him. The rapist is his Moby Dick to his Captain Ahab. Since we don't see a lot of what happens in the intervening time, we must wonder how empty and fruitless his life has been until he has his epiphany. Mixed in all this are the politics of Argentina and the vengeance of a horrible man. Also, in the middle is the messed friend, an alcoholic, who can be a true talent, but is submerged in his problems, spending his time in bars. If we look to literature we might consider him the Sydney Carton of this film. When you see what happens to him, you will see why I choose this character as a reference. This is one of the finest films I've ever seen. It has it all.",The Secret in Their Eyes
4,claudio_carvalho,How to Live an Empty Life?,9,18 September 2010,"The retired justice officer Benjamín Espósito (Ricardo Darin) decides to write a novel based on the Morales Case of twenty-five years ago and has difficulties to find the right beginning. He visits his former chief Irene Menéndez-Hastings (Soledad Villamil) in the tribunal to show his draft. In the 70's, Benjamín has an unrequited love for his new-hired chief Irene that belongs to an upper-class. Benjamin is assigned to investigate the murder of Liliana Coloto (Carla Quevedo), a beautiful woman recently married with Ricardo Morales (Pablo Rago) that had been brutally raped and murdered. Benjamin and his alcoholic partner Pablo Sandoval (Guillermo Francella) feel touched with the grief of Ricardo and go further in their investigation. Benjamin observes that a man named Isidoro Gómez (Javier Godino) is staring Liliana in many pictures and he becomes the prime-suspect. Meanwhile the tension between Ricardo and Irene increases along the days but Ricardo does not understand the signs of her eyes. Twenty five years later, Ricardo is still haunted by his love for Irene and for the unsatisfactory resolution of the Morales Case.""El Secreto de Sus Ojos"" is a film awarded with the Oscar of Best Foreign Language Film of the Year with a dramatic story that perfectly entwines crime, thriller and a subtle romance in an adequate pace. The direction of Juan José Campanella is tight and the screenplay is wonderful, unfolding two lead stories – the brutal murder of a young woman and the repressed love of a subaltern for his chief – with many subplots. The acting is top-notch, with excellent dialogs and many funny lines but never vulgar. The cinematography and the camera work are magnificent and there is one specific scene very impressive with the camera approaching to the stadium in the middle of a soccer game between Huracán and Racing. My vote is nine.Title (Brazil): ""O Segredo dos Seus Olhos"" (""The Secret of Your Eyes"")",The Secret in Their Eyes
5,kosmasp,Secrets revealed,9,24 October 2010,"I guess you might see some things coming. But this is not that much about the secrets (at least for me), but the journey of our main protagonist. It is about life and choices you make and how one simple choice does get you into a path you actually do not want to follow. But because it is expected of you (of what your appearance is in other peoples eyes), you keep on walking. Maybe regretting the decision while you are walking, but walking that path nevertheless.That is of course the way I read the movie. You might come up with something completely different. Or some might wait until the inevitable US-Remake hits a cinema near them (in 2012 as IMDb reveals). That this would be remade after winning the academy award for best foreign language picture, does not come as a big surprise to me. That it did win the award on the other hand, was a surprise (for me). Not because of the quality of the movie (as you can see I like it a lot), but because of the nature of the movie. Hats off to the academy for their choice.",The Secret in Their Eyes
6,classicsoncall,"""How do you live a life full of nothing?""",10,21 November 2017,"This is only the second Argentinian movie I've seen, both within the past week (the other was ""Wild Tales""), and so far I'm batting a thousand by picking two immensely satisfying films. I was reading some of the negative reviews and I had to laugh, more than one stated that the ending was completely predictable. Yeah right, like anyone could foresee that Morales would kidnap the guy who murdered his wife and keep him a prisoner for twenty five years. Come on, nobody could see that coming.At least not ahead of time. After the fact, when you start putting two and two together, along with the picture's title, one is able to come to grips with the idea that Morales wouldn't let things go the way the corrupt district Judge Romano (Mariano Argento) did, and would relentlessly pursue his side of the case, in the same manner legal counselor Benjamin Esposito (Ricardo Darin) did on his. So much of the story depended on the concept that 'The eyes speak', and in more ways than one. It's what trapped the killer and what gave away the feelings between Esposito and his supervisor Irene Hastings (Soledad Villamil), even though that relationship went unrequited for more than two decades.The scene that really floored me was when Irene and Esposito began interrogating Isidoro Gomez (Javier Godino). I'm not entirely convinced that what Ms. Hastings did was ethical or not, but the way she demeaned Gomez to make him crack was truly inspired. The man would have to have been deranged to expose himself like that in a law office, so you had a pretty good idea right there that the guy wasn't playing with a full deck. The fact that he was released upon executive order is one of those things that makes one see red in any kind of movie, and inspires that much more contempt of the justice system.All the while of course, one wonders why Esposito could never reveal his true feelings and intentions with Ms. Hastings. He came close a couple of times, and it looked like she was willing to reciprocate, but those frustrating moments dissolved into just another distraction. I was ready to give it up for lost until the very last scene when Irene told Benjamin that 'it would be difficult'. It leaves the viewer a bit conflicted because the woman had a husband and family that she was going to compromise, something that she and Esposito had done for the last twenty five years.",The Secret in Their Eyes
7,gavin6942,The Best-Selling Argentine Film,7,23 June 2015,"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his non-reciprocated love with his superior - both of which still haunt him decades later.So, this is the best selling Argentine film of all time. And the first one to get the Blu-ray treatment. One can see why, as it is a beautiful movie with plenty of twists and more than a little grit. Any movie where a character takes his privates out of his pants and flops them around is okay with me (though they look very prosthetic).I would recommend this film to others. Does it deserve to be on the IMDb Top 250? Not necessarily. But if someone had an interest in South American film, they would be foolish to skip over this one.",The Secret in Their Eyes
8,lee_eisenberg,Argentinian passion,9,6 April 2010,"The second Argentinian movie to win an Oscar, ""El secreto de sus ojos"" (""The Secret in Their Eyes"" in English) looks at a Buenos Aires detective's passion in solving a case on the verge of the military junta that was responsible for the Disappeared. As I understand it, a difference between this movie and Juan Jose Campanella's previous ones is that this is more mainstream, so to speak. I actually found it pretty comparable to ""My Wife's Boyfriend"", which Campanella also directed. I certainly recommend both films. To be certain, this one has some of the best lines that I've ever heard. Argentina has clearly shown itself to be a fine country in terms of cinema during this past decade.",The Secret in Their Eyes
9,rmax304823,Very Nicely Executed Adult Murder Mystery.,8,7 April 2011,"I'm glad they called this ""The Secret In Their Eyes"" because the director, Campanella, has filled the film with close ups of the faces of people who are mostly lying or manipulative. Happily, he has abjured the usual sickening fads -- the wobbling camera, the instantaneous cuts, the desaturated ghoulish pallet, the revolver held sideways, the two-gun shoot out, the inappropriate wisecracks.Not that there aren't many exceedingly humorous moments sprinkled throughout the script, particularly in the first half. You have seen the detective too eager to solve the crime chewed out by his angry superior. Please don't trouble to deny it. You've seen it a thousand times. Often the miscreant is forced to hand over his piece and his shield. But you have never seen it done like this. I laughed all the way through it.Esposito's new boss in the Justice Office, a stern woman named Hastings, is a recent graduate of Cornell which, high as it is above Cayuga's waters, suffers a climate that practically makes cheer illegal. She gets Esposito and his drunken partner Sandoval out of trouble, she tells him, by exercising her social skills, her charm, and her irresistible smile. Thoroughly reamed out, Esposito is about to leave her office but turns and asks humbly, with her permission, what ""irresistable smile"" is she talking about because he's never seen it.All this humor is written with the understanding that the audience will get it and it's delivered in a manner consistent with an adult audience. The same isn't true of all the comedy. Esposito and Sandoval illegally examine a woman's house. She returns unexpectedly and they are chased outside by a furious but tiny short-haired dog. They dash out the door, the barking dog in hot pursuit. When they're out of sight, we hear a yelp, and see the dog running back in.Well, one more example. His wife kicks out the drunken Sandoval and Esposito takes him into his apartment. Sandoval keeps stumbling into things. ""Too much furniture,"" he complains. When Esposito tries to call Sandoval's wife and explain things, he finds that there is no answer because Sandoval's phone has been broken for a year. Esposito decides to drive to Sandoval's house and get the wife. ""Why not phone her?"", asks Sandoval. Esposito: ""You just said your phone was broken."" A long pause and Sandoval replies with the logic of the inebriated, ""My phone IS broken, but yours isn't."" I don't want to get into the plot too much because it's complicated and has a couple of twists that no one could see coming. Some are, let's say, improbably. Having found that a murderer is a soccer fan, Esposito and Sandoval begin visiting games, which Esposito has no interest in. One game a week. Lo, on the fourth, they find themselves only a few seats away from the killer -- out of about 70,000 seats.The acting could hardly be improved on. Esposito has a face that challenges disbelief. He's modest and completely trustworthy. Sandoval never overplays the drunkenness. Hastings, the boss back at the DA's office, is middle-aged, pretty, and not knock-out beautiful like a movie star. Romano, Esposito's rival who chews him out, is hilarious before he turns to the dark side.Yes, it's true. You have to read the subtitles. And they're in the Argentine dialect too. But it's worth it. Everything about the film is admirable, including the photography and location shooting. Besides, you get to see what Buenos Aires looks like. It's arguably the most Europeanized city on the continent. And out in the boondocks, they drink mate. I believe you also get a glimpse of pampas grass, a fiendish growth that I had to fight weekly in my California back yard.",The Secret in Their Eyes
