,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Finally...a romance for REAL folks!,9,1 November 2014,"I love a good romantic movie. However, I have noticed that most of these films feature extremely young folks. Because of this, the covert message is that older people are not sexual or don't really matter! It's only s REAL romance when the actors are young and hot....or so you might think. However, in ""Something's Gotta Give"", you have a film featuring a woman in her 50s and a man in his 60s--not the sort of romantic leads you'd expect. And, it's simply a delight to watch.When the film begins, Harry (Jack Nicholson) is out chasing after a women who is about a third his age, Marin (Amanda Peet). However, this womanizing eternal bachelor is about to come into contact with Marin's mother, Erica (Diane Keaton) and for the first time in his life, he begins to have real feelings for a woman. Up until then, it was just a long series of shallow sexual relationships--in a sad attempt to prove his masculinity and protect himself from real intimacy. How all this works out is just something you'll have to see. Plus, with nearly 400 reviews for the film, it's probably not worth me repeating what others have said so many times already.The film works for me for two huge reason--the quality of the acting and the intelligence of the script. While Erica and Harry are NOT ordinary older folks (they are both wealthy and relatively famous characters), they represent interesting archetypes--the strong but lonely woman and the sad guy who doesn't realize just how lonely he really is. Most importantly, however, the writing is so good that you believe such a relationship COULD happen--and it's not simply a formulaic film and the two behave in wonderful and unexpected ways when they realize they are in love. Well worth seeing and a great date night film for any age group--but which will probably be appreciated more by an older audience. At 50, this sort of flick is just what I was looking for!",Something's Gotta Give
1,TheLittleSongbird,Entertaining romantic comedy that was much better than expected.,7,10 September 2009,"This movie was very entertaining and enjoyable. Yes I do admit it does have its problems- it is overlong, the ending was rather abrupt and the film does have some very predictable moments. But what does compensate are the performances of the two leads Jack Nicolson and Diane Keaten, and there are some very funny moments, such as Harry being rushed to hospital about three times, although two of those times was a sign that he had fallen in love, and when Harry catches Erica walking around the house naked. Though my favourite is when Harry is standing at the foot of a flight of stairs and wondering should I go up them? Of course Nicolson has been better, but Keaten was at her loveliest she really shone here, and there is great support from Amanda Peet and Frances McDormand, and Keanu Reeves is actually tolerable here in a less flashy role. There is a well crafted script and some nice photography and music. Overall, has its flaws, but manages to be an engaging romantic comedy. 7/10 Bethany Cox",Something's Gotta Give
2,bkoganbing,"""An Intractable Heart Such As Mine""",8,25 June 2016,"My major disappointment with Something's Gotta Give is not hearing a single note of Johnny Mercer's famous standard in a film with that title and having an extensive music score. I'm sure there's a story why that didn't happen. Other than that this is one sleek romantic comedy about some older people finding true love.For Diane Keaton she's kind of wrapped herself in her work and her reputation as America's leading female playwright since Lillian Hellman. Her daughter Amanda Peet however is dating 60 something Jack Nicholson a record industry mogul. Nicholson is a compulsive womanizer and Peet is the latest in a long line of trophy beauties. This man has something to prove.But at their summer beach house Nicholson suffers some cardiac arrest and he's bound there while he mends. And of course Nicholson discovers that an intelligent woman close to his own age might actually have something to offer. Because 30 something doctor Keanu Reeves who is treating Nicholson finds Keaton most intriguing. In fact I've never seen Keanu Reeves more romantic on the screen.I'm older than all the principal characters in this film and I'm always glad to see films like Something's Gotta Give for us senior citizens showing that even if we have to take it easy we can still enjoy life and all it has to offer.If you're in my age bracket, don't miss this one.",Something's Gotta Give
3,SnoopyStyle,rom-com for the older set,6,21 December 2013,"Harry Sanborn (Jack Nicholson) is always dating young girls. His latest girlfriend is Marin (Amanda Peet). It gets weird when they go to her mother Erica Barry (Diane Keaton)'s beach house, and they run into Erica and her sister who are about his age. Later, he has a heart attack. He's forced to stay at the beach house. And a love quadrangle develop between the three and emergency Dr Julian Mercer (Keanu Reeves).Jack Nicholson isn't very likable to start off with. Diane Keaton is a bit annoying too. From the set up, they obviously have to get together. This is Nancy Meyers ranting about older woman being left behind as older man only have eyes for young hot things. The obvious movie set up of all those young things at the beginning of the movie really subtracts from the story. Once the movie starts off with the premise, it can't really go back to just a nice little story. It has to make a point.There are good actors here doing some good work, well maybe everybody except Keanu Reeves. Diane Keaton does go overboard with the screaming, the crying, and the overacting. I didn't find it funny as much as annoying. However, the story has enough sentimentalism to make it work. And what we get is a functional rom-com for the older set.",Something's Gotta Give
4,claudio_carvalho,Typical Hollywood Product,7,21 April 2005,"Harry Sandborn (Jack Nicholson) is a rich owner of a hip-hop label-record among dozen of other companies, who never dates a woman over thirty. While spending the weekend with Marion (Amanda Peet) in their seaside house, her mother, the successful writer Erica Barry (Diane Keaton), and her aunt Zoe Barry (Frances McDormand) unexpectedly arrive, and Harry has the beginning of a heart attack. Dr. Julian Mercer (Keanu Reeves) attends him and suggests he stays in the house, since it is nearby the hospital and his state needs some medical care. While staying with Erica, many romantic situation happens until a predictable end. ""Something's Gotta Give"" is a typical Hollywood product: good actors and actresses, predictable and fancy story, everybody is rich, successful, famous and charming etc. etc. etc. I did not dislike this movie, there are many good and funny moments, but I prefer an European or an independent romantic comedy instead. My vote is seven.Title (Brazil): ""Alguém Tem Que Ceder"" (""Someone Has to Yield"")",Something's Gotta Give
5,classicsoncall,"""Your heart attack could be the best thing that ever happened to me.""",7,27 November 2019,"Whenever I see a movie similar to this, I often wonder how the principal actors in the story react to issues in their own life that they're representing on screen. Like Jack Nicholson here, sixty six years old when he made the movie, portraying a sixty three year old playboy who has a penchant for loving 'em and leaving 'em, as long as his girlfriends are under the age of thirty. Do the same thoughts of mortality and finding true love in one's life go through his mind in a way of life imitating art? The same can be said of Diane Keaton as well, about a decade younger than Nicholson but still dealing with the issue of aging in an industry that values youth and beauty. Well, I guess we'll never know unless they come right out and say it.Enough philosophizing I guess. I thought this was a fairly good look at the foibles inherent in a relationship about to happen between a couple of characters who have a sense that the clock is ticking. Nicholson does a splendid job, but I have to say, Keaton is amazing with her facial expressions and reaction to situations at any given moment. The only time I thought she might have been forcing her emotions were in that writing scene right after Harry Sanborn (Nicholson) says goodbye to go back to New York. The alternately hysterical bouts of laughing and wailing came across as somewhat theatrical, but giving her the benefit of the doubt, added to the conflicted aspect of her character.Say, keep an eye on Nicholson right after he's treated for his first heart attack and gets out of his hospital bed. It seemed to me he was channeling R.P. McMurphy, the character he portrayed in ""One Flew Over the Cuckoo's Nest"", right after getting the electroshock treatments. That was a neat homage if in fact it was intentional.The resolution to the story was to be expected, though I did find it difficult to accept that Dr. Mercer (Keanu Reeves) gave up his engagement to Erica Barry (Keaton) without much of a struggle. That happened off screen so there's not much opportunity to think about it at the time, but it was another one of those things I wonder about after a picture is over.",Something's Gotta Give
6,moonspinner55,"Smarmy, inverted misogyny",3,15 October 2007,"An excruciating set-up: a celebrated female playwright, who's been writing romantic scenes for years but who hasn't kissed a man in a decade, falls for an affable but unfaithful playboy/music-executive; both learn a little something about love-in-the-later-years. After opening with a highly-contrived and awkward set of circumstances, it is nearly amazing that ""Something's Gotta Give"" does have something to offer (though it is slight). Diane Keaton shines as the writer and Jack Nicholson has a few strong scenes as her love interest. Despite the fact the screenplay is both formulaic and boorish, these talented leads make the romantic scenes fairly lively and engaging. Keaton's character isn't completely resolved however, and when she complains about misogyny it doesn't quite wash (especially when her next Broadway triumph includes a comedic jab at inadvertently seeing Nicholson's rear-end--but nothing about him catching her in the buff). Could it be that misogyny is a two way street? *1/2 from ****",Something's Gotta Give
7,blanche-2,solid fun,8,2 May 2005,"This is a delightful tale of a divorced woman, her daughter, and the nutty ""older"" man who invades their lives with his illness and neuroses. This is a class act of a comedy in the hands of two real masters, Diane Keaton and Jack Nicholson, beautifully supported by Amada Peet, Frances McDormand, and the ever-handsome Keanu Reeves.Keaton once again proves she is one of our greatest actresses, playing a successful playwright who, somewhere along the line, forgot about love and romance while living in high style in the Hamptons and New York City. Then her beautiful young daughter brings home a 63-year-old commitmentaphobe and the fun begins. And it is fun. Keaton has a glorious crying scene that should have won her an Oscar. Her timing is impeccable.Frances McDormand is one of my favorite actresses and, though I enjoyed her as Keaton's sister, the role seemed small and inconsequential for a woman of her enormous talents. My only other complaint about the film is that I think 15 minutes could have been easily cut. It went on a little too long.These are minor complaints. As a baby boomer, I love seeing women over 50 in lead roles and, as an adult, it's great to see a sophisticated, funny story for a change.",Something's Gotta Give
8,Quinoa1984,"Held my attention, had some good laughs and decent performances, though it can't hold a candle to As Good As It Gets",6,4 January 2004,"I saw first saw Something's Gotta Give, the new film by Nancy Meyes and starring Jack Nicholson and Diane Keaton, a month ago.  I wasn't sure whether I liked it, or though it was so-so, or even thought it was a drop off from the work I've seen Nicholson do lately (The Pledge and About Schmidt are wonderful works for the legend).  I saw it again tonight and I think I feel slightly different about it now.  It's not a bad movie, but I wouldn't watch it in a theater again, and I might flip around when it comes on TV to see the good scenes.  It's the kind of romantic comedy that suffers from a couple of downers, and yet there is a charm to it that should appeal to fans of the actors, and to older audiences (as I suspected over half of the audience was over the age of 50).  The good that's in the movie is that it's a sort of standard Hollywood-style story that doesn't go into rotten territory like other romantic comedies do. Nicholson plays a version of himself (a version of the truth?) as Harry, a record company executive who's dating a woman half his age (Amanda Peet). While staying at her mother's house at the Hamptons he meets both her playwright mother Erica (Keaton) and teacher aunt (Frances McDormand). Then, he gets hit with a heart attack, and is told by the doctor (Keanu Reeves) to stick around as to not get overly tensed by what he's struck down with.  Then the sparks being to come up between Harry and Erica when they're left to themselves while Harry recovers.  The things that make the film work are that Nicholson and Keaton have a nice connection to each other, like one of those old Hollywood star-couples in the old-time Hollywood movies.  I could've imagined the Harry role played by someone else, and maybe for Keaton too, but the way it turned out it's about right as a stars' vehicle.  And there are plenty of laughs that come up involving Nicholson after the heart attack (the biggest for me came minutes after his first heart attack, when he tries to walk around), and with consistent sexual puns and wit.  What didn't work for me was the Hollywood-style romanticism and direction the sob parts of the story and characters went to that were much, much better under the control of someone like James L. Brooks in the classic As Good As It Gets.  In that film Nicholson played a version of himself, too, but that character and story had an edge to it all that could make it totally re-watchable for women as well as men.  As for Keaton, she holds her own quite well next to her counter-part, and she looks terrific, though for some reason seeing what the script required her to do in a role like this makes me really want to see her in a Woody Allen flick again.  The acting by Reeves was another glaring flaw, reminding me that he's much better off in Matrix and action-film land than here- every time he had a romantic moment I cringed in my seat.  There were also supporting roles by Peet and McDormand that were under-used. 
Still, I do sorta, kinda recommend Something's Gotta Give- it has humor that isn't too raunchy (unless you get offended by heart-attack and viagra jokes), and as a chick flick it does fine.  In some ways it could've been better, and in other ways there was no way it could've tried for better ground, and there were some touches that made it tolerable and watchable. (strong) C+",Something's Gotta Give
9,ComedyFan2010,It is incredible that this movie could be so bad,3,26 June 2012,"Harry is an older rich man who never dated a woman over 30. After suffering a heart attack when staying at the house of his recent girlfriend, Marin, he starts having feelings for her mother Erica. This is the short synopsis of this movie. It actually is a great idea. Nothing over the top original, but in our time when women over 40 are considered sexless and are usually not the main characters in romantic movies it is a refreshing change.Take the story and add the remarkable cast: Jack Nicholson, Diane Keaton, Keanu Reeves, Amanda Peet and Frances McDormand. One would think that this movie would be absolutely outstanding, right? Unfortunately this is not the case.How was it possible to take all those positive factors and turn into this irritating and boring movie? First of all, it just doesn't make sense. No, no, I am not saying that it is unrealistic for a man to fall in love with a woman who is closer to his age or that a man can't fall in love with a woman 15 years older than him. This can happen and it does happen. But why did any of this particular people fall in love with each other? I understand that Dr. Mercer is a fan of Erica's work but this alone isn't a good reason to be in love. Nothing happened between them that would make me think ""ah, I see!"". Same goes for Harry and Erica. And I mean it both ways. It is especially hard for me to understand why a woman like Erica would go after a man like Harry. Why would she choose him over Dr. Mercer? Here is a guy who cares for her but instead she wants to be with a man who is incapable of relationships. Is it because he is so great at messaging her online? I didn't see any reason of why she would feel such a strong connection to him. Of course it is just a romantic comedy, no need to expect it being too deep, but if it went on and on for two hours I would hope to at least see the reason behind her actions.Erica's character is pretty horribly done. She doesn't seem like a woman falling in love but more like a teenager. I am not saying that women in their 50's can't have the great feeling of love. Of course they do, it can go on until we die. But her character seems to be completely incapable of handling it. It is as if she has no life and experience whatsoever. Her being all hysterical, rambling and going crazy seems to only be possible if one is 13 and has never felt love, heard of love or has no understanding of human emotions or even of her own. Her crying scenes irritate me, the scenes where she talks about loves make me cringe. It is a horribly developed character and a badly written dialogue.I also have no clue how Diane Keaton got a Golden Globe and an Academy Award nomination for this. There is no arguing that she is a remarkable actress with a big number of great performances under her belt, but this sure wasn't one of them.Frances McDormant did a good job, luckily for her she only had a few short scenes. And she did them well, especially the one where she basically tells us all the message of the movie.Jack Nicholson was just playing himself.Amanda Peet's character is also useless. She keeps on telling us all why she isn't having relationships as if she already has figured it all out after some therapy. And then listening to her mom's tearful nonsense ramblings she suddenly starts also acting like that. Silly!The only good thing were the scenes of Erica's play. With a bunch of Harrys dancing on the strange with their naked bums. I also applaud Diane Keaton for her naked scene, especially since she has a great body that many women 20 years younger than her would be jealous of.This movie had potential. It is nice to have love stories with characters over 40 because these people still exist as well, but what is not nice is to simply take a teenage love story and cast people over 50 into it because it is not believable nor worth watching, for any age group.",Something's Gotta Give
