,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Not quite a Christmas turkey, but it is still rather dire",3,8 January 2011,"Christmas with the Kranks is far from the best Christmas movie, but it is not the worst either, that's Deck the Halls. That said, despite a nice soundtrack, decent camera work and scenery and a talented cast that includes Tim Allen, Jamie Lee Curtis and Dan Aykroyd it is pretty bad. A lot of the problem is the film's humour, there are some raise-a-smile sight gags, but overall it is very unfunny and predictable. The story is also rather bland and has some dumb, incoherent parts, complete with a cloying, cliché ending. The direction is lacking too, and the pace is lethargic. The cast do try their best, and they do have some good moments and decent chemistry, but they deserved much more with a tighter script and direction. The real problem with Christmas with the Kranks is the lack of Christmas spirit, at the end of the day it all comes across as cold and mean-spirited. Overall, not absolutely dreadful but with the cast as talented as they are it should have been better. 3/10 Bethany Cox",Christmas with the Kranks
1,SnoopyStyle,Tim Allen is a prick and Jamie Lee Curtis is scared little housewife,2,1 December 2013,"When their daughter Blair (Julie Gonzalo) leaves home to go to Peru for the Peace Corp, Luther Krank (Tim Allen) decides to skip Christmas and go on a cruise with his wife Nora (Jamie Lee Curtis). He refuses to do anything related to Christmas causing resentment from the rest of the neighbors led by Vic Frohmeyer (Dan Aykroyd).Tim Allen usually plays arrogant pompous pricks. This character is best balanced out by somebody more reasonable. The resulting conflict is where the comedy comes from. In this movie, Tim Allen plays an especially large prick. The problem is Jamie Lee Curtis plays such a weak compliant partner. She is some kind of scared '50s housewife. The partnership doesn't generate any comedy at all.Then there are the neighbors. They are too annoying. In fact, everybody in this movie are too annoying, well everybody except the cancer lady. They are as ridiculous and unreasonable as Luther Krank. Luther Krank writes a letter to everybody telling them that he's not Scrouge, but that's what this is. The big disappointment is Jamie Lee Curtis. She's suppose to fight back. Without that, there is no comedy. It's just a lot of annoying people bickering.",Christmas with the Kranks
2,Prismark10,Skipping Christmas,3,4 December 2016,"This film is actually based on a John Grisham novel but is a misguided misfire that has little by way of symbolism relating to the Christian meaning of Christmas. For goodness sake you have a Catholic priest hanging round a party on Christmas Eve instead of preparing for midnight mass.Luther Krank (Tim Allen) upsets his neighbourhood as he decides not to take in Christmas festivities and instead go on a Caribbean cruise with his wife Nora (Jamie Lee Curtis) as their daughter has now left home and joined the Peace Corps. His neighbours are upset with this Scrooge like attitude and try to coerce and shame them into celebrating Christmas like decking the halls, buying gifts and putting Frosty the Snowman up on the roof just as everyone else on the street has done.The film gets syrupy and manipulative at the end as their daughter at the last minute decides to spend Christmas with her family and wants to introduce them to her new fiancé. This means succumbing to the commercialisation of Christmas and now at the last minute they need to buy a tree, honey ham and invite everyone around to their party.This is an artificial and uneven film with a mixed message that relies on Home Alone type antics for a few laughs. No surprise there as it is written by Chris Columbus who directed Home Alone 1 & 2 and directed by Joe Roth who was Head of 20th Century Fox when Home Alone 1 & 2 were released.",Christmas with the Kranks
3,gavin6942,Tolerable Christmas Mush,6,28 November 2014,"With their daughter away, her parents (Jamie Lee Curtis and Tim Allen) decide to skip Christmas altogether until she decides to come home, causing an uproar when they have to celebrate the holidays at the last minute.What makes this film somewhat bizarre is just how spiteful the neighbors are to turn on the Kranks for their lack of holiday cheer. Skipping Christmas to save money is sensible, especially if the kids are grown up and their are no grandkids. This seems reasonable, but instead the neighbors all attack the family and even the police get testy.This odd premise makes the film a bit hard to swallow, but it still has its enjoyable moments. When Tim Allen acts as though he has received a Botox injection, that is just comedy gold (although it may be dated... that seems to be a fad no longer in vogue). Dan Ackroyd is strong, but unfortunately not playing a funny role.",Christmas with the Kranks
4,jboothmillard,Christmas with the Kranks,1,16 January 2011,"I may have watched this film a week or two after Christmas had come to an end, but I missed it when it as on and I had the chance to watch it, so I decided to do so, from director Joe Roth (America's Sweethearts). Basically the Krank family are saying goodbye to only daughter Blair (Julie Gonzalo) as she is off to a Peace Corps assignment in Peru after Thanksgiving, so parents Luther (Tim Allen) and Nora (Jamie Lee Curtis) are going to be alone at Christmas. Luther has an idea that means he and Nora will skip Christmas and not have to go through all the commercialism nonsense the normally do, he is planning a Caribbean cruise for him and Nora. All the neighbours hear about their plan however, and the know that the ranks normally embrace Christmas quite a lot, including putting their favoured Frosty the Snowman up on the roof, and they are not happy. So whenever Luther and Nora refuse something Christmassy or charitable because of their plans, the neighbours are going even more against them, maybe even trying to show how much they should be celebrating the season and not going anywhere. Of course the Kranks quickly change their mind about the tree, decorations and charity as soon as a phone call from Blair confirmed that she is coming home early for Christmas Eve dinner with her new fiancé. So with the neighbours turned nice again and agreeing to help the Kranks are doing their best to make a welcome party the best they can. After spending time with all the neighbours, including Vic Frohmeyer (Dan Aykroyd) and unfamiliar guy who knows everyone Marty (Austin Pendleton), the umbrella Santa, the cruise doesn't look doable. Luther decides that he should not be selfish, and he gives away the cruise tickets to the Scheels, Walt (Wild Wild West's M. Emmet Walsh) and Bev (Elizabeth Franz) to stay home with Nora, Blair and the fiancé. Also starring Erik Per Sullivan as Spike Frohmeyer, Richard 'Cheech' Marin as Officer Salino, Jake Busey as Officer Treen, Kevin Chamberlin as Mr. Scanlon and Tom Poston as Father Zabriskie. Allen is used to silly Christmas films after playing Santa Claus three times, Curtis is a comic talent who is wasting her time, well, everyone involved is. The treatment of the two main characters is completely unfair with the whole skipping Christmas thing, it may make a little point that commercialism is very high, but even after this passes, you haven't had one laugh, and you never do throughout, a stupid and unfunny seasonal comedy. Poor!",Christmas with the Kranks
5,paul_haakonsen,Wholesome Christmas movie...,6,24 December 2015,"While ""Christmas with the Kranks"" is surely an entertaining enough movie, it is not going to be a Christmas classic such as the 1989 ""Christmas Vacation"" movie. That being said, then it should be stressed that ""Christmas with the Kranks"" is a wholesome movie that does prove entertaining enough for the entire family.The story is about Luther Krank (played by Tim Allen) and Nora Krank (played by Jamie Lee Curtis) whom are living in a small, tightly-knitted community where the Christmas season is a major event. And when Frank and Nora decides to skip Christmas and go on a cruise the entire neighborhood is turned upside down in disbelief.There are some hilarious moments throughout the movie, and the cast list was really great, having some impressive names on it. Aside from Tim Allen and Jamie Lee Curtis, then the movie also had Dan Aykroyd, M. Emmet Walsh, Cheech Marin and Jake Busey on the cast list. So you know what you are getting here, and people do deliver. There are also some good laughs here and there, which do of course add to the overall enjoyment of the movie.But as I said earlier, it will not be a Christmas classic, as in it being a movie that you watch every Christmas. I have just watched it now, and I don't think that I will be making a return trip to watch it again.",Christmas with the Kranks
6,tavm,Christmas is a slightly enjoyable holiday movie,4,18 December 2007,"Christmas with the Kranks is a slightly amusing, slightly heartwarming slapstick comedy starring Tim Allen and Jamie Lee Curits as the title couple who initially want to skip the holidays because their only offspring, a daughter, is leaving the country to join the Peace Corps. In fact, Luther Krank is planning to leave with his wife for a cruise on that very day. As a result, they get harassed by the neighbors led by Dan Aykroyd. Other neighbors include M. Emmet Walsh, Felicity Huffman, Caroline Rhea. There's also a couple of cops (Cheech Marin, Jake Busey) who Luther refuses to buy the annual police calendar from. Also appearing are David L. Lander, who I fondly remember as Squiggy on ""Laverne and Shirley"", as a tanning customer who causes Curtis to hit her head on the tanning bed and, in his last role, the late Tom Poston as a priest who discovers Jamie in her bikini after she goes to the receptionist for a band-aid. Those scenes were funny as were those between Allen and a white cat that he keeps stepping on (also loved when the cat got frozen with only the eyes moving) and his botox scene when he has trouble putting things in his mouth. Others were either too frantic or too predictable. Best surprise was Austin Pendleton as someone no one knows at first but then Allen remembers from somewhere else. Like I said, this wasn't very funny but by the end I was willing to overlook many of the film's flaws and just enjoy the celebration that filled the last 30 minutes with wonderful singing from Aykroyd and nice accompaniment from Marin, Busey, and especially Poston in his final minutes of screen time. Oh, and Rhea and Huffman are completely wasted in their few minutes as Curtis' neighbors. Still, a tolerable time waster from screenwriter Chris Columbus who adopted John Grisham's novel ""Skipping Christmas"", and director Joe Roth.",Christmas with the Kranks
7,wes-connors,Roth and Allen Krank It Up,2,2 December 2014,"When their beautiful blonde daughter goes off to spend Christmas in the Peace Corps, apparently wealthy suburban Chicago couple Tim Allen and Jamie Lee Curtis (as Luther and Nora Krank) decide to skip celebrating the holiday. For unexplained reasons, Mr. Allen needs to save money. He figures to save around $3,000 by taking Ms. Curtis on a Caribbean cruise. Allen later says, ""It's not about the money."" Well, he and Curtis plan to wear skimpy bikinis and copulate on days other than Saturday. Allen's neighbors are miffed. They especially miss seeing the Kranks decorate their house and lawn. Every year, Allen puts a ""Frosty the Snowman"" ornament on his roof. Jolly challenged Dan Aykroyd (as Vic Frohmeyer) leads a campaign to free Frosty...Everything changes when their daughter decides to come home for the holiday, after all. Now, the Kranks must arrange their annual Christmas party and decorate at lightning speed...Allen and director Joe Roth rely on a lot of physical comedy. None of it is especially funny. Partially, this is because the story makes little sense. The unappealing leading man has been very popular on television and stand-up comedy. Here, he may simply be out of his element. There is filmmaking competence evident. For example, the editing and camera-work during Curtis' supermarket pursuit of a holiday ham would have worked in a better movie. ""Christmas with the Kranks"" is garish and obnoxious. It celebrates blanketing your house with lights, conforming to the crowd, and gross materialism. Some TV airings delete most of the ""speedo and bikini"" scene involving Allen and Curtis. You may only see the best of Curtis' bikini. Count your blessings.** Christmas with the Kranks (11/15/04) Joe Roth ~ Tim Allen, Jamie Lee Curtis, Dan Aykroyd, M. Emmet Walsh",Christmas with the Kranks
8,michaelRokeefe,It won't seem like Christmas without you.,5,18 November 2005,"Chris Columbus is responsible for this comedic screenplay of a John Grisham novel. Put the nix on Christmas. Just skip the holiday. Luther(Tim Allen)and Nora(Jamie Lee Curtis)Krank set about to put the kibosh on the usual Norman Rockwell holiday doings by taking a sea cruise. With their daughter away for the first time; there is no reason to decorate or even put Frosty on the roof. The neighborhood is in shock and dismay...no Kranks for Christmas. Uh oh, Blair Krank(Julie Gonzalo)decides to come home; now Luther and Nora need to rush about to prepare for the holiday after all. Situational comedy that gets old in a hurry. The supporting cast is full of familiar faces: Dan Aykroyd, M. Emmet Walsh, Cheech Marin, Felicity Huffman, Tom Poston and Caroline Rhea.",Christmas with the Kranks
9,sunwarrior13,One Might Be Tempted To Skip Christmas After Viewing It,3,14 November 2014,"Christmas with the Kranks is a Christmas comedy that was based on the novel by John Grisham known as Skipping Christmas.It stars Tim Allen and Jamie Lee Curtis.The plot is about a couple who decided to skip the Christmas celebrations for the year as their daughter isn't with them to celebrate it.However,things begin to change when they received a phone call from her and providing him the big news.Well,everyone probably already knows what's going to happen next.This was total disaster.It was unfunny and unoriginal.No wonder it was bashed by the critics and moviegoers alike.There is nothing added to the celebration of the holidays upon watching this film.The jokes are corny and the emotions does not even generate anything positive and special at all.Despite of having a great and talented cast,they basically could not even lift its screenplay to becoming at least an average film and it did not do any justice at all to Grisham's readable non-legal thriller.What's worse,one might be even tempted to skip Christmas after seeing it.",Christmas with the Kranks
