,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,One of the very best war movies ever.,10,11 December 2011,"Before I talk specifically about this movie, I was very surprised in 1990 during the Academy Awards ceremony. Denzel Washington got the Oscar for Best Supporting Actor for his performance in ""Glory""--even though I felt that Morgan Freeman did a better job in this film. On top of that, Freeman had also turned in a masterful performance this same year in ""Driving Miss Daisy"". Now I am not putting down Washington's acting--he was fine. But to me, it was more Freeman's film and he stood out furthest among this nice ensemble cast.The biggest reasons I liked the movie so much were because it had a deeper message than just war and because it tried to get things right historically. As far as the message goes, it was about racism and black men proving themselves during the Civil War. This was very uplifting and exciting to watch. It also was lovely because as a history teacher, I so often HATE how historical films get all the facts wrong. Here, while it isn't perfect, it is sure close!! I'd say more, but frankly there are already a ton of reviews for this film--suffice to say as a recently retired history teacher, I couldn't recommend the film more.",Glory
1,bkoganbing,For Freedom,10,21 February 2009,"Glory is the story of the men and commander of the 54th Massachusetts, the first black regiment organized after the Emancipation Proclamation culminating in its first full scale military engagement at Fort Wagner in South Carolina. In command of the regiment was Robert Gould Shaw, a colonel at the ripe old age of 26 of the Boston Goulds and Shaws.Played by Matthew Broderick in what could be his career role on screen, Shaw's character serves as narrator of the events. He was quite the letter writer and his correspondence to his parents and friends in the Boston area have been considered a valuable piece of original historical material and are preserved at the Harvard Library.Shaw was a fervent believer in not only the abolitionist cause, but a firm believer in racial equality, many were not even in the army that was fighting for slave freedom after the Emancipation Proclamation. He fought hard for his troops, for their rations and supplies, against quartermasters who thought it was a fun thing to short change them.His good friend from the same Boston crowd Shaw came from was his second in command, Cabot Forbes played by Cary Elwes. They've got their differences as well, but both are committed to a cause.Shaw's black regiment comes in all shapes and sizes as well. Denzel Washington won his first Academy Award as a rather undisciplined soldier who eventually proves his worth on the battle field. Morgan Freeman is an older man who rapidly rises to leadership ranks because of his concern for the unit as a whole. My favorite performance in the film however is that of Andre Braugher. He plays a free black man from Massachusetts who grew up with Shaw and can read and write, a rare thing for black Americans free or slave in Civil War era America. In the south it was a crime to educate slaves beyond what they needed to know to perform their labors. He comes from a different perspective than the runaway slaves have and he's not at first accepted as a comrade among them, especially by Washington. Braugher shows he has the right stuff though and he should have been recognized with an Oscar nomination in my humble opinion.In addition to Denzel Washington's Oscar, Glory took home gold for Sound and for Cinematography in 1989 and was nominated for Editing and for Art&Set Direction. The film has the look and feel of the Civil War era about it. It took a long time for the heroic story of the 54th Massachusetts and its leader to come to the screen. Both are shown to have had the right stuff. The tens of thousands who died in the Civil War and those for whom the war was all about and died at Fort Wagner gave what Lincoln called, 'the last full measure of devotion'. And this film is a tribute to them.",Glory
2,Leofwine_draca,Character-led war action from an underrated director,6,10 November 2016,"I can't say that there are a great many films about the American Civil War out there. If there are, I haven't seen them and I don't know of them. Perhaps it's a war that doesn't do very well at the box office or one which people prefer to forget. However, Edward Zwick's GLORY is an exception to that general rule, and it's a decent war film to boot.The story is of the war's first black regiment led by a young and inexperienced white officer. Inevitably it has the ring of truth to it and that's because what happened was entirely true. Forget George Lucas and his RED TAILS pandering, though; this is a grittily realistic story about honour, death, and the extent of human endurance. Zwick has some affinity with the war-film genre having more recently made the excellent THE LAST SAMURAI and DEFIANCE, and I'd wish he'd concentrate more on the genre instead of wasting his time with romance and the like.GLORY is an actor's film featuring a wealth of black talent whether it be Morgan Freeman or Denzel Washington, who burns up the screen in a star-making turn. Andre Braugher, who you might remember from THE MIST, has a fine role as a bookish recruit. The one weak link I thought was Matthew Broderick, but his character and acting style did grow on me a little as the story progresses and I was able to overcome my dislike of the actor to enjoy his performance. It was nice to see Cary Elwes as something other than the young and annoying hero character of THE PRINCESS BRIDE. The battle scenes aren't the most gruesome or realistic of the genre (aside from an early moment) but the use of orchestral music and Zwick's direction makes them very good, and the climactic fighting is undeniably stirring.",Glory
3,SnoopyStyle,Great glorious movie,9,29 October 2013,"Robert Gould Shaw (Matthew Broderick) is the son of a wealthy Boston abolitionist family. He signs up for war at 23, and suffers through a harrowing battle at Antietam. After the ""victory"" at Antietam, the Union organizes the first company of black soldiers. Shaw would lead them into battle and history.The scale of the battles is impressive. It's a big production from director Edward Zwick. It is expertly put together. The acting is top rate from great actors. Broderick imparts a blend of hopefulness and pragmatism. He's a boy trying to live up to being a man with historic responsibilities. Morgan Freeman gives this movie weight, and Denzel Washington gives the big money shot.It's easy to nitpick this movie to death. By quoting directly from Shaw's letters, it lends itself to criticism of its factual reliability. But that would miss the point of the movie. It's not a documentary.",Glory
4,kosmasp,Beyond Glory,10,21 June 2020,"It's not like the real people that this movie is paying homage to, where thinking back then, that there was any Glory in what they did. Actually the movie makes it pretty clear that many did not even want to be there. It also makes it clear that while fighting side by side, in no way blacks and whites were equal. Not just payment wise, but in many other ways.Expendable you say? I hear you, they couldn't back then. Matthew is a laid back person as Zwick the director confirms. I think anyone can tell, so it is even more amazing how he transforms at certain moments and plays ""hard"" and mean in the movie. It is imperative, not just as character moments, but also the journey of the movie and himself.And then there is Denzel Washington. Do I have to say more? Mesmerizing as one can imagine and as one would think he is. Incredible performance by him - but also by all the other actors involved. A great movie about a certain, possibly, war defining moment ...",Glory
5,classicsoncall,"""We ran away slaves, but we come back fightin' men"".",8,16 October 2011,"Civil War re-enactments are some of the most insane things I've ever seen. Men line up in formation on opposing sides, and shoot at each other in wide open fields with no cover or protection. I have no idea why battles like this were ever deemed to be practical in the first place. I would think fighting guerrilla style would have a lot more merit if your objective is to actually kill the enemy and win without getting killed yourself.Aside from whatever historical inaccuracies might be present, I thought this was an effective story. Criticisms of Matthew Broderick in the lead role are somewhat misplaced in my view, once one gets past the fact that he's Matthew Broderick. About the same age as the character he portrays, I think he grows into the role of a Union Colonel over the course of the story, with each humanistic stand he takes for his troops showing the growth of his stature. The confrontation with the quartermaster was particularly impressive, while his bribery of General Harker (Bob Gunton) was instructive in the way leaders get their way when all reasonable attempts fail.Denzel Washington won his first Oscar in a break-out role here, but to my mind, any of his fellow actors could have been honored just as well. Morgan Freeman (Rawlins) and Andre Braugher (Thomas Searles) were equally impressive, and except for somewhat less screen time, Jihmi Kennedy (Sharts) was also quite effective. Colonel Shaw's mission was to turn this rag-tag band into an effective fighting regiment, and when he won them over by tearing up his own pay voucher, you knew that he had finally won their trust.What I admire about the film is the way it places in context the black man's struggle for freedom and identity, while showing how white men of courage and conviction helped achieve that goal. It's easy to decry a film as racist when it's telling a story about racism, and that's a beef I have with critics who are fixated on only one side of the story. Together, white and black men have been able to stand side by side over the course of history to right the wrongs of the past, and failure to recognize this is what stands in the way of a truly color blind society.",Glory
6,gavin6942,My Apathy Towards the Civil War Did Not Hinder My Viewing,8,19 August 2006,"I really don't want to give this film 8 of 10, but I must. And I'll explain why.My initial impression is that I don't care for Civil War films. And I think Cary Elwes, as much as I love him, was an odd casting choice. And Matthew Broderick in particular seemed odd. In ""Ferris Bueller's Day Off"", Broderick successfully played Ferris, who successfully played Abe Froman to get into a French restaurant. However, here Broderick played a spoiled rich kid, who was playing at being a colonel. But I was not finding it successful, I was waiting for the mustache to come off and Ferris to be revealed.Now, once I got over these things, I saw a great film. Morgan Freeman is always great. Denzel Washington was spectacular, especially during the whipping scene (which was quite emotional). The whole struggle of the ex-slaves was presented in a very moving way. (With the exception of one actor or character that seemed to be playing a very modern stereotype.) The story is of Robert Shaw, a real Civil War soldier, and his struggle to get the 54th (an almost all-black regiment) into battle and respected as equals. This is met with a series of successes and failures, as one might expect.I have nothing to say. It's a period piece. If you want to watch an emotional film about the war, check it out. Or even if you life human interest stories, you might find something inspiring in this movie (the war is actually more background than anything). I wasn't expecting to be wowed, but feel better for having this film in my life now. Maybe that means something to you.",Glory
7,lee_eisenberg,"watching the movie, I could tell what the criticism might be",8,15 April 2012,"This past weekend has mostly seen people remembering the 100th anniversary of the Titanic's sinking, but the past year has been another anniversary: the Civil War. One of the best movies about that war is Edward Zwick's ""Glory"", about the first all-black regiment in the Union army. While I was watching it, I got the feeling that there might be criticism of the movie since the main focus is Col. Robert Gould Shaw (Matthew Broderick), who led the platoon into battle. Even so, the movie devotes ample time to the recruits and the discrimination that they face even from their own side. I found Trip (Denzel Washington) to be the most effective character in the movie, especially in the scene where he has his least pleasant experience.The point is that the movie does a great job showing how the 54th Regiment fought for what was probably the most important issue of the era, with fine performances from all cast members (who also include Morgan Freeman and Cary Elwes). Very much one that I recommend.",Glory
8,jboothmillard,Glory,7,16 October 2008,"From Golden Globe nominated director Edward Zwick (Legends of the Fall, Blood Diamond), this is a terrific war film that I mainly knew for the title, three of the actors, and the fact that one of them won an Oscar. Based on the letters of the lead character, Col. Robert Gould Shaw (Matthew Broderick) of the Federal Army during the American Civil War volunteered to lead the first company of black soldiers. In this company included Shaw's right hand, Maj. Cabot Forbes (Cary Elwes), Sgt. Maj. John Rawlins (Morgan Freeman), Pvt. Jupiter Sharts (Jihmi Kennedy), and of course, Pvt. Trip (Oscar and Golden Globe winning Denzel Washington). Shaw was forced to deal with prejudices from both the enemy (who had orders to kill commanding officers of blacks), and of his own fellow officers. Also starring Andre Braugher as Cpl. Thomas Searles, John Finn as Sgt. Maj. Mulcahy, Donovan Leitch as Capt. Charles Fessenden Morse, John David Cullum as Henry Sturgis Russell, Alan North as Gov. John Albion Andrew, Cliff De Young as Col. James M. Montgomery, Bob Gunton as Gen. Charles Garrison Harker and Jane Alexander as Sarah Blake Sturgis Shaw. Broderick's performance may be slightly woody, but its still substantial, Freeman and Washington obviously have no problem proving themselves worthy actors, and Washington certainly deserved his Oscar. The battle scenes are all very watchable, and the premise of the film is very appealing to see the history of who was allowed to fight in future wars change. It won the Oscars for Best Cinematography and Best Sound, and it was nominated for Best Art Direction-Set Decoration and Best Film Editing, it was nominated the BAFTA for Best Cinematography, and it was nominated the Golden Globes for Best Motion Picture - Drama, Best Original Score for James Horner and Best Screenplay. Denzel Washington was number 28, and Morgan Freeman number 27 on The 100 Greatest Movie Stars, Washington was also number 40 on The World's Greatest Actor, the film was number 68 on The 100 Greatest War Films, and it was number 31 on 100 Years, 100 Cheers. Very good!",Glory
9,ccthemovieman-1,"Heavy-Handed, Emotional War Story",5,27 September 2006,"Here's another one of those films I really, really liked on the first go-round and was very disappointed on the second look years later. Maybe, by the second viewing after I had watched thousands of movies since first seeing this, I just got tired of the ""race issue."" Yeah, I am sure black people had to get treated with little respect back in the Civil War days, as well as many other days until recent decades, but I don't need to be shown the evil white man for two straight hours. We get the point earlier on and it doesn't need to hammered over and over and over. Denzel Washington, as great an actor as he is, seems to specialize in race-issue movies. He and Spike Lee need to move on. In this movie, every Caucasion but one (played by Matthew Broderick) is a racist bad-guy. Enough said.The action scenes in here are good. The last one is brutal and memorable. This is a tough film in many spots and will leave you emotionally worn out by the end. And - yes - it is a great tribute to the black soldiers in the Civil War.",Glory
