,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Has its moments but it isn't that great for me...,5,17 May 2010,"This had the potential to be a very good movie- a talented director like Ridley Scott who has made some very good movies, a great actress like Annne Bancroft who has been in some outstanding films like The Elephant Man and the Miracle Worker and a sexy actress like Demi Moore who has been in some not so good movies but she has given some good performances. Why didn't it work so well and why do I consider it one of Scott's weaker movies? Starting with the good things the film is assuredly directed by Ridley Scott. Also the cinematography, editing and visuals are very nice, and the soundtrack has some energy too. While I thought the acting was unexceptional on the most part, I thought that Viggo Mortensen gave a wonderfully gruff performance as Moore's poetry-reciting superior. Finally the training scenes are impressively co-ordinated.However, the story is predictable and pretentious and the dialogue mostly is horribly clunky. Then there is some uneven pacing, a somewhat tedious final third and the film just goes on for 20 minutes too long. And while Demi Moore is in great shape and has some presence, shaved head and all, she sadly forgot about her acting skills to match. Screaming ""suck my dick"" is hardly exceptional acting Demi. The other acting is also unexceptional, Anne Bancroft in particular is a great actress(as I have said already) but overdoes it here.Overall, G.I.Jane does have its moments but it isn't a great film in my eyes. An example of a film that is high-on-testosterone but somewhat low on brains, by all means it is watchable but this is a disappointment from Ridley Scott. 5/10 Bethany Cox",G.I. Jane
1,SnoopyStyle,Demi Moore goes hard core,6,20 January 2015,"Senator DeHaven (Anne Bancroft) pressures the Navy to be gender blind. They accept as long as a woman test case can measure up to the men's standards. They figure on the U.S. Navy Combined Reconnaissance Team which has a 60% wash out rate. DeHaven picks Lieutenant Jordan O'Neil (Demi Moore) out of the approved candidates for her looks. Command Master Chief John James Urgayle (Viggo Mortensen) is their trainer. She has to overcome expectations, sexism, politics and the pressure of the program to succeed.There is nothing surprising or original in this movie. It's got all the training and director Ridley Scott is an expert at jazzing up those 'action' scenes. The most compelling originality comes from Demi Moore shaving her hair. I do have to say that she looks fierce with the bald head. She looks fierce generally and Scott has her exercising up a storm. The movie probably needs some of the other characters to step up but nobody can ever be on the same level as Demi.",G.I. Jane
2,rmax304823,Unwatchable. Well -- Unseeable.,3,25 July 2003,"Maybe you can get through this but I couldn't get past the first 45 minutes. Every scene was too dark. Almost all the scenes took place at night or were shot day-for-night. All of the indoor scenes were shadowy, even in the mess hall, so much so that faces were indistinguishable. Groups of people standing together became homogeneous black masses. When I realized that I was looking forward to the commercial breaks because I could actually SEE them, I gave up.Here's what I got out of the first 45 minutes. Demi Moore is a successful Naval Intelligence officer, a lieutenant who is given a crack at the SEAL training program. She feels she ought to take it because she would be the first woman to complete the program. (She's been denied duty on submarines and in a couple of other positions because they couldn't accommodate women.) She has a conversation about this with her husband in bed, in almost complete darkness, so I can only guess from the conversation that it was her husband because her companion didn't sound like Daffy Duck. She points out that although they've been in the Navy the same amount of time and had similar appointments, he has had a more successful career because he's a man. He doesn't understand her desire to prove herself despite her womanhood. (My heart began to sink somewhere around here.)Well, I kid you not, the training program is really a rough one. They seem to perform all their exercises at night and in the rain. And when the recruits are told they must jump over a series of barriers or something -- I couldn't tell exactly what the obstacles were because I couldn't see them -- she is informed that steps have been provided for her use. She gets up on her hind legs and screams that she doesn't want any special considerations just because she's a woman. The other recruits, by the way, have been acting like testosterone-maddened brutes towards her -- whistling when she enters the mess deck, ogling her rack, shouting out questions to her: ""Don't you know it's rude to point""? I don't know why. Demi Moore isn't unattractive but her voice sounds like tires crunching over a gravel driveway.Enough is enough. Whether or not the photography was bilged, the script seemed well on its way to doing so all on its own. You can imagine how little effort went into picking a title for this politically correct piece -- ""GI Jane."" The writers and the director (who has done admirable work elsewhere) seemed to have worked equally hard on the story. That is to say, not very much. I anticipated that she would not only successfully complete the program but in addition perform some heroic deed -- saving the life of a fellow recruit during an accident or something. There would be a band playing at the end, when the credentials were being handed out, and all the men who had treated her with such condescension would stand at attention when she passed. Her husband would take her in his arms and apologize for having been such an unfeeling moron. I mean, that's the kind of plot a committee of unimaginative writers would come up with and a bunch of MBAs with an eye on the box office would greenlight. It's like one of those connect-the-dots puzzles that are provided on the backs of the menus in some Chinese restaurants to keep the impatient kids occupied, only here, instead of winding up with a pencil drawing of a clown it comes out as a dollar sign.Demi Moore is good at playing a tough cookie with that voice of hers that sounds as if it had been cured by Gauloise. And Vigo Mortenson has the stereotyped role of the harsh Master Chief who is only sadistic in the service of a noble cause. At least I think it was Vigo Mortenson. It may have been Sam Shephard. It was too dark to tell.",G.I. Jane
3,michaelRokeefe,A fanciful look at women in the military.,6,6 February 2000,"A self serving female Senator, played by Anne Bancroft, gets a female placed in the Navy Seals. Demi Moore puts some added muscle to her great looking frame. Ms. Moore is Lt. Jordan O'Neil and she is put in the dubious position of proving that women can keep up with their male counterparts during the rigors of military training. Director Ridley Scott keeps the pace steady enough that you don't want to turn your head. Many situations are convoluted, but make for an interesting movie. This is a serious action/drama that shouldn't be taken too seriously. Other cast members of note are Viggo Mortensen, Kevin Gage, Morris Chestnut and David Vadim. Worth watching more than once.",G.I. Jane
4,sunwarrior13,Demi's Surprising Turn In A Movie Falters,6,14 December 2011,"Ridley Scott directed this flawed but involving study of Lt. Jordan O'Neil, a Navy topographic analyst who is chosen as a test case for the presence of women in combat. G.I. Jane is an action film tells the fictional story of the first woman to undergo training in U.S. Navy Special Warfare Group.The movie stars Demi Moore together with Viggo Mortensen and Anne Bancroft.The SEAL/CRT (Combined Reconnaissance Team) course depicted in the film is offered at Coronado Naval Amphibious Base in California.O'Neil is hand-picked by U.S. Senator Lillian DeHaven to go through the rigorous training right along with the men. Also,she faces sexism and physical challenges as well as the horse-trading by the Senator who selected her for the experimental program.In the story,aware that she is making history and knowing that 60% of all male trainees will fail the rigorous training, Lt. O'Neil struggles to prove herself physically and mentally worthy of becoming a Navy SEAL. What she doesn't know is that she is being sold out by hard-bitten Texas senator Lillian DeHaven, who is being blackmailed by the Defense Department with politically fatal base closings unless O'Neil fails the program. The complicated political subplot, however, only distracts from the film's real virtues -- the wonderfully staged scenes of CRT selection training -- and fizzles at its climactic moment. The training scenes are wonderful, however, as the central recruits are pushed to their physical limits by a grueling weeding-out process.Master Chief John James Urgayle, a steely-eyed, tough-as-nails instructor who somehow finds time to quote D.H. Lawrence when he isn't making people eat garbage and beating O'Neil senseless as part of a training exercise. Mortensen and the believably-buffed Moore are terrific, and their scenes of confrontation are the film's high points. Unfortunately, the screenplay by David Twohy and Danielle Alexandra falls down every time it attempts to sidestep a cliché, and the climactic mission positively wallows in a predictable Top Gun muddle. Still, the characters are engaging and those looking for an enjoyable variant on the basic- training sub-genre of high-octane modern action films should be pleased.Demi Moore tries a surprising turn to play Lt. Jordan O'Neil,who unfortunately turns more into an action figure instead of a character that is a human being the possesses both strength and weaknesses. Added to that,the it was an unrealistic execution of an intriguing premise and does not make it a point to make it realistic and plausible.Also,Scott's direction turn into making the film commercially viable by presenting Demi's scenes by overselling them. Too bad that it could have been a good movie considering the talent of the cast involved if the filmmakers prioritized telling a good story rather than prioritizing Demi's appeal into an interesting role.",G.I. Jane
5,hitchcockthelegend,"Listen, you moron! I am here to stay and if you don't wanna be in my life, you've got two choices. Move out or Ring out! That's it! End of File!",5,16 May 2020,"G.I. Jane is directed by Ridley Scott and written by David Twohy and Danielle Alexandra. It stars Demi Moore, Vigo Mortensen, Anne Bancroft, Jason Beghe, John Michael Higgins and Kevin Gage. Music is by Trevor Jones and cinematography by Hugh Johnson.A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training (Navy Seals) where everyone expects her to fail.Having made a telling feminist mark with his excellent Thelma and Louise in 1991, Ridley Scott picks up the lady baton once again only to drop it half way through. This is a film of confused messages, what starts out as a worthwhile story involving a woman trying to overcome extreme prejudices in one of America's elite fighting forces, ends up as a gung-ho hoorah movie with Jane having ""manned"" up.Things aren't helped by the sheer ridiculousness of the treatment meted out to Jane by her superior in training, Master Chief John James Urgayle (Mortensen suitably vile), so much so you would like to think if that sort of stuff goes on then arrests should be made. Daftness also comes by way of the superior officers prancing around training camp in the world's tightest shorts, one would think they must be on their way to ""The Blue Oyster Bar""...Things are further compounded by the fact that as committed as Moore is in the title role, and she is and gives it her all, one can't buy into the characterisation because you simply are watching Demi Moore the actress. Shaved head and beefed up she may be, but this is still one of the highest paid actresses of her era, the characterisation thin on the ground with no depth. The political machinations at work barely get time to breath in fact the key mid-point tonal political shift is given short shrift.Stylisation as one would expect from Scott, is super, as is his control of top draw action sequences. But the cock-eyed view of a woman in a man's world is hard to swallow, and although it mostly entertains, it's ultimately a shallow exercise. 5/10",G.I. Jane
6,jotix100,The Navy Seal trainee,7,28 August 2006,"Not having seen this film when it first was released, we had the opportunity of catching up with it recently. In spite of our misgivings, ""G.I. Jane"" turned out to be an entertaining picture. Let's not forget this is a Ridley Scott film, which assures the viewer a well crafted product. The screen play is based on a story by Danielle Alexandra, who co-wrote it with David Twohy.The movie mixes the world of politics and the armed forces, in this case, the US Navy. At the center of it all is Jordan O'Neil, a lieutenant that has seen other people get ahead of her because the Navy rejected her in serving aboard a submarine because at that time there were no facilities for a female in that all male environment.Jordan is tapped to go into the Navy Seal program because an ambitious US senator, Lillian DeHaven, from Texas, wants to prove a point. She wants to send a female to integrate an exclusive group of the Navy. The Navy Seal is one of the most difficult jobs in the world. As such, Jordan O'Neil must go to a grueling training, in which, only about forty percent of the people that start, will finish. Jordan proves to have what it takes to be accepted at that high classification. However, things get in her way when her own mentor, who has the closing of some bases in her own state to deal with, decides to take indiscreet photographs of Jordan at a beach party with other female personnel.During the confrontation that ensues, Jordan shows she will not take the senator's BS; Jordan will do anything and will tell the press about what is really happening. Standing up to Sen. DeHaven assures Jordan she will go back to finish what she started.The casting of Demi Moore for the lead role pays off. Ms. Moore, who is in excellent shape shows she can conquer any obstacles that stand in her way. Viggo Mortensen plays the enigmatic, and brutish, Master Chief Urgayle. This man is hard on everyone under his command, but there is a softer side of him as we watch him reading J. M. Coetzee and D. H. Lawrence's poems. Anne Bancroft plays the ruthless senator with relish. David Vadim and James Cavaziel are seen among the recruits going through the hard training. Scott Wilson plays the Commanding Officer of the base where Jordan undergoes the training and he makes no bones about how much he hates the idea of a female breaking the sex line.Ridley Scott directs the film in an almost documentary style, since most of the picture depicts the training aspect. Hugh Johnson's cinematography works well with Piero Scalia's editing. There is even some Mozart and Puccini in the background that are not out of place in the context of the movie.Ridley Scott delivers again in this action packed movie.",G.I. Jane
7,LeonLouisRicci,Melodramatic Fiction,7,4 June 2013,"This one was bound to raise many Red Flags in a lot of Quarters. It is a Movie with a target on its back daring you to shoot. Taking a ""Women in Combat"" controversy, although it seems less so Today"", and shoving it in your Face like a Drill Sergeant daring you to speak out.This Movie is a Noble effort, but it may have aimed a bit too high. The concept here, (just give us an equal chance to be equal) would have been more realistic if Ridley Scott and Writer David Twohy had not chosen the prestigious Navy Seals with its famous dropout rate, and the Elite of the Elite status, as a Battleground for Politics.That takes it to a level of arguable absurdity. It would have been more believable and may have quieted the Nay-Sayers somewhat, if it was simply the U.S. Marines or any other simply difficult and grueling group of the Military's Might. But given that Melodramatic Fiction (see below), this can be inspirational and Entertaining in a Hollywood Underdog Story that it does so well. It is one of Demi Moore's best efforts.THIS IS FROM NAVY.COM......by law there are two communities that women are not allowed to join: the Navy SEAL and Navy SWCC communities.",G.I. Jane
8,zardoz-13,"Gee, I Don't Like Jane",5,16 September 2009,"Actress Demi Moore shaves her head, dons fatigues, and totes a machine gun in British director Ridley Scott's opportune but exploitative ""G.I. Jane,"" a sexual equality polemic about the first female to graduate as a Navy SEAL. This lackluster basic training epic serves up a volatile but exemplary message about equal rights and the armed forces that cost the filmmakers the aid of the Department of Defense. When ""G.I. Jane"" isn't preaching gender parity, this cynical but slickly done ""Top Gun"" clone is gung ho on showing Moore kicking butt in the kind of role her husband Bruce Willis excels. Sadly, ""G.I. Jane's"" melodramatic storyline combines with its juvenile heroics to undermine what little credibility it musters as a socially conscious exercise in political correctness.Writers David (""The Fugitive"")Twohy and Danielle Alexandra collaborated on what can only be called a prefabricated screenplay. ""G.I. Jane"" marches to the familiar beat that has characterized the formulaic military service picture since the 1920s. Movies such as ""Courage Under Fire,"" ""Heartbreak Ridge,"" and ""Stripes."" have done what ""G.I. Jane"" tries to do. Moreover, they have done it better. Basically, the plots and the heroics in military pictures remain the same, only the sex of the hero has changed with ""G.I. Jane."" The Twohy-Alexandra script alternates between Congressional and Naval brainstorming sessions about Lt. O'Neil and the obstacles she confronts at the SEAL training base in Florida. A shrewd but slippery Texas Senator, Lillian DeHaven (Anne Bancroft), cuts a deal with the future Secretary of the Navy Theodore Hayes (Daniel Von Bergan). He'll snag her vote of approval if the Navy opens its elite SEAL commando school to a woman. Secretary Hayes caves in to Senator DeHaven's request, but squirms when she demands approval of the SEAL candidate.DeHaven picks Lt. Jordan O'Neil (Demi Moore) for her physical agility and her keen mind. O'Neil is the kind of woman who makes men nervous. When we first meet her, she is monitoring a satellite transmission with a commando unit trying to escape from enemy country. She arouses the hostility of her male superior officer when she provides the best solution to the extraction problem. But Lt. O'Neil is not a person easily ignored. Neither Senator DeHaven nor Secretary Hayes expects her to finish the course. After all, Navy SEALs are the most demanding and merciless elite combat force in the world. Sixty percent of the recruits who enter the program wash out.When the press snaps photos of O'Neil on SEAL maneuvers, a controversy erupts in both the Pentagon and Congress. Secretary Hayes and Senator DeHaven sought to keep the project under wraps, but the news wants to interview O'Neil. Suddenly, O'Neil finds herself caught in the middle of a JAG investigation.Guys will relish the last half-hour of ""G.I. Jane."" That's when the bullets start to fly. During a training exercise in the Mediterranean Sea, the SEALs get to help out U.S. troops retrieving a fallen satellite in Libya. This part of the script is straight out of a ""Star Trek"" movie because the SEAL recruits are the only force close enough to respond to the situation. Nobody else can rescue these troops, so the Master Chief (Viggo Mortensen) takes his recruits into battle. Unfortunately, things go sour and the Master Chief catches a bullet. He sends O'Neil packing, but she refuses to leave him to his fate. Instead, O'Neil figures out the master chief's escape plan and stages an ambush to wipe out his adversaries. Not since World War II Nazi movies have the enemy been so gullible and easy to kill. These Libyan soldiers present about as much a threat to the SEALs as the Iraqi soldiers did to Charlie Sheen in the ""Hot Shots"" movies.Demi Moore knocks herself out as Navy Intelligence officer Lt. Jordan O'Neil. Even her character's name has a masculine quality to it. When Demi isn't trying to impress us with her brains, she displays her feminine brawn. The calisthenics that she performs in her tight undies defy gravity. The one-armed push-ups are enough to make you break into a sweat. All of this resembles the grunge side of last summer's idiotic opus ""Striptease,"" except that frontal nudity is avoided. Moore's performance, to her credit here, is both straight-forward and serious even when O'Neil plays toy soldier in the last reel.Veteran actress Anne Bancroft of ""Point of No Return"" shines as the crafty Texas senator whose willing to use as well as abuse Lt. O'Neil to save her own congressional bacon. This is Bancroft's juiciest role in years, and she plays it to the hilt. Her best scene with O'Neil has Bancroft's cagey Senator explaining why women in combat will remain a hot issue. According to DeHaven, lawmakers fear the political suicide that television images of dead women being shipped home in body bags would prompt. Director Ridley Scott pulls some slick optical tricks to bolster ""G. I. Jane,"" but they don't beef up the action. Jiggling his camera during the combat scenes may create disorientation in audience, but it doesn't trigger a rush of adrenalin. This artsy gimmick doesn't generate either tension or suspense. Anyway, you know that Demi Moore isn't going to get a scratch on her because she's smart enough to dodge the bullets that stupid men are firing at her.Simply, Scott doesn't make ""G.I. Jane"" rock and roll. The grueling training sequences are okay, but the final combat scenes resemble Boy Scout antics, compared with even a marginal effort like ""In The Army Now."" Ridley Scott has produced some memorable films that deploy women in gender stretching roles, such as ""Alien"" and ""Thelma & Louise."" ""G.I. Jane"" boasts none of the art, hype, or viscera of those movies. In the commercially oriented market place, if the next movie doesn't top the last, trouble lies ahead. Compared with last summer's dignified masterpiece ""Courage Under Fire,"" ""G.I. Jane"" amounts to sheer hokum.",G.I. Jane
9,TBJCSKCNRRQTreviews,Don't tell me what I can't do,6,7 December 2009,"This deals with the idea of both sexes having the same opportunities, using the idea of a female in the military, as a soldier. A Navy SEAL, no less. There's no doubt that Moore is by far one of the best choices for the role. She's one of those women who can pull off being tough without ceasing to be attractive, and who, without coming off as masculine, does not really exude a vast level of girliness, or at least not often(in her roles, I know nothing about her outside of that). It starts out very promising, confronting the stereotypes, the prejudice and the special treatment. The acting is great, Moore, Mortensen and Bancroft are all spot-on. I guess the reason Caviezel was given nothing to do was that he hadn't been discovered yet. The cinematography and editing are quite good. However, then this changes, turning itself into a blind and exaggerated battle cry(it doesn't help that the last bit is filmed in an overly shaky manner, trying to increase the intensity in a fake way) for the gender, claiming it to be superior. Correct me if I'm wrong, but isn't the goal of feminism equality? Is it not only the extremists who wish to reach outright dominance? I am not in any way downplaying the plight that they have suffered throughout history. With that said, isn't it smarter to go for a fair situation, instead of shifting the balance all the way? There is a lot of Hollywood in this, that prevents you from taking all of it at face value. The DVD comes with a four and a half minute featurette, B-roll footage, interviews(with Demi, Viggo and Ridley), trailers(domestic and foreign), TV spots and a music video. I recommend this to those who are interested in the conflict that it explores. There aren't enough films about it, and I hope that there either already is, or at least will be, one that is better than this one. 6/10",G.I. Jane
