,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,tries too hard,4,15 May 2017,Elizabeth Sloane (Jessica Chastain) is a hard-driving free-market Washington lobbyist. She is meticulous without a personal life. Robert Forde (Jake Lacy) is her newest male escort. Her latest fight is to stop a tax against Indonesian palm oil. She is approached to work on a pro-gun campaign but she laughs in Bob Sanford's face. She quits her job and joins the much smaller gun control side headed by Rodolfo Schmidt (Mark Strong). Esme Manucharian is a young associate who faced death during an earlier gun incident. Elizabeth's former boss George Dupont (Sam Waterston) and former assistant Jane Molloy (Alison Pill) drive to destroy her after getting hired by the pro-gun side. Dupont pressures Senator Sperling (John Lithgow) to chair a committee to prosecute Elizabeth.Chastain is trying too hard. Her character tries too hard. The story tries too hard. The politics try too hard. It starts with her laughing at Sanford. It's so fake and yet she doesn't sell it as fake. It's over the top in a bad way. The politics also feels wrong. The premise is that the rich NRA has bought the congress against their own self-interest. It's politics as envisioned by one side. There are situations popping up through the movie that are too manufactured. I keep thinking some of them are setups. The movie is simply trying too hard.,Miss Sloane
1,Horst_In_Translation,Not half as smart as it wants to be,4,26 July 2017,"""Miss Sloane"" is a French/American English-language movie from 2016 that managed a solid deal of awards attention, including a Golden Globe nomination for lead actress Jessica Chastain. Other known actors in here are probably Waterston, Pill, Lithgow, Baranski, Stuhlbarg and Strong, but eventually the only one it is about is Chastain's character. It is a really long movie at comfortably more than 2 hours and the focus here is on lobbyism in the United States. We follow the battle between two groups and it is all about gun restrictions here. I am not American, so I guess I can give a fairly neutral observation here and honestly I was shocked by how simple and uninspired this film turned out to be. I am sure it is a feast for everybody who supports more gun restrictions, so most liberals/democrats will have a great time watching it. But it is so black-and-white really. The characters with the exception of Chastain's have absolutely no depth at all. We find out about pretty much nobody from the liberal camp except Raw's character, so the focus won't shift away from Chastain. And of course she knows everything, she predicts everything correctly, she is the shining figure for one party etc. It is fairly cringeworthy.On the other side, the opponents, the villains, they are depicted as stubborn old men, stupid, antiquated in their beliefs and really incapable of anything creative. The exception is of course Stuhlbarg's character with his age and they say on some occasions that he is pretty effective in what he does, but when we saw his weak performance at the television debate (nice cameo by Dylan Baker though), it was clear that nobody from the writing staff wanted to make this an equal fight really. Oh yeah and then there is the ending. All predicted by Miss Sloane again too. What the other side would do, what story they would find, how corrupt they would be etc. It is pretty cringeworthy. The big showdown at the court room when she waits a bit until she says she still has something to say before she goes all in on Lithgow's character and of course she is the big winner again, even if she has to go to jail in exchange for her victory. But yeah, they show her leave jail in the very last scene, so they really wanted to make sure we get a happy ending somehow with her in freedom and the old filth in jail. Sigh.This film may seem deep or relevant, but that's really only how the untrained eye perceives it. Neutral observers will be embarrassed by the simple structures, the ridiculous plot lines, the over-the-top unauthentic drama moments (the almost shooting of the Black woman) and then the truly cringeworthy ending. As if the ""spectacular"" revelation about Pill's character wasn't bad enough already, everything that happens afterward is really just the icing on the cake. It is a very rotten cake I would say. The overall outcome of this film was surprisingly bad to me. Only the easily entertained will see this as a good politics thriller. Oscar nominee John Madden (the director of Best Picture winner ""Shakespeare in Love"") did not get me curious here at all about the rest of his body of work and I don't think I have seen a lot from him, if anything at all. But then again he probably isn't even the problem. The huge problem here may be writer Jonathan Perera and it very much shows during these 130 minutes that this is his very first writing credit. I wish they could have gotten somebody better here, then this movie really could have made a difference in my opinion. The cast includes some really talented guys and actors I like quite a lot. But it turned out a missed opportunity as this is so bad at time that I would almost call it liberal propaganda. Closer to one star out of five than to three stars out of five. Highly not recommended.",Miss Sloane
2,Prismark10,Point and shoot,6,18 March 2017,"Miss Sloane is a long film about government lobbying whose second half is better than its first half.Elizabeth Sloane (Jessica Chastain) upsets her bosses when she turns down the gun lobby and jumps ship to a rival firm who is supporting a bill to expand background checks for gun purchases.Her actions causes a split between her team, some of whom go with her to the new firm and those who decide to stay behind. Sloane is driven and smart. She anticipates what might be thrown at her as her group attempts to get senate support for the bill.The film has a dual narrative as it starts with a senate investigation looking to misconduct in her part which we return to as the film progresses.Jessica Chastain gives a strong performance as Miss Sloane, tough as nails and someone who is prepared to trample on her colleagues. She will do whatever it takes as a lobbyist to succeed.The film has a long running time and it starts off rather sludgedly like it is another film about political lobbyists and the games they play but it gets more fascinating as it goes on.",Miss Sloane
3,claudio_carvalho,One of the Best Thrillers Recently Released,8,28 March 2021,"In Washington D. C., the lobbyist Madeline Elizabeth Sloane (Jessica Chastain) decides to move to a minor agency owned Rodolfo Vittorio Schmidt (Mark Strong) as a challenge in her successful career. While facing the Powers That Be, she has to prove her competency paying a high-cost.""Miss Sloane"" is one of the best thrillers recently released by the Cinema Industry. The powerful story and screenplay has complex dialogs and the magnificent Jessica Chastain in the lead role. This is the type of film that deserves to be watched more than once. My vote is eight.Title (Brazil): ""Armas na Mesa"" (""Weapons on the Table"")",Miss Sloane
4,nogodnomasters,I guess I'm just a piece of work,10,5 August 2017,"Elizabeth Sloane (Jessica Chastain) is a power broker lobbyist who is skilled at lies and deceit. She is hard working, dedicated and gets the job done. Her methods are twisty and are what makes the film as we watch Sloane step on people, hurt them , use them, and even herself to achieve her goal, in this case to get a gun check bill passed in the Senate.Apparently there is an assumption such a bill would pass the House of Representatives, which has been doubtful for quite a number of years. The film climaxes in a court room drama of a Senate hearing, which we see in the opening.Guide: F-word, sex. No nudity.",Miss Sloane
5,lee_eisenberg,unabashed cynicism,8,29 May 2017,"John Madden's ""Miss Sloane"" is, quite simply, an exercise in cynicism. The title lobbyist's battle against the gun industry is but a look into the cutthroat world that is US politics. It's a place where nothing gets done without favors (Steven Spielberg's ""Lincoln"" looked at this to a lesser extent).As for the movie itself, it's well done. Jessica Chastain puts on a chilling performance as the main character. Despite her delicate feminine appearance, she's the type who'll stop at nothing to achieve her goals. I liked the performances of most the cast, but I thought that Christine Baranski (best known as Leonard's mom on ""The Big Bang Theory"") had an all too brief appearance. Otherwise it's a good movie.",Miss Sloane
6,jboothmillard,Miss Sloane,5,19 September 2021,"I knew this film was something to do with law, and I must have remembered that it had a red-headed lead actress, but besides that I knew nothing else, so I watched it hoping for something good, directed by John Madden (Mrs. Brown, Shakespeare in Love, The Best Exotic Marigold Hotel). Basically, Madeline ""Elizabeth"" Sloane (Golden Globe nominated Jessica Chastain) is a ruthless lobbyist (activist) who has been called to appear at a congressional hearing led by Senator Ronald Sperling (John Lithgow) to answer questions about possible violations of Senate ethics rules during her tenure at Washington D. C. lobbying firm Cole Kravitz & Waterman. Over three months earlier, Sloane's firm is approached by gun manufacturing representative Bill Sandford (Chuck Shamata) to lead the opposition to the proposed Heaton-Harris bill that would expand background checks on gun purchases. Sloane ridicules Sanford's idea to target female voters. She is later approached by Rodolfo Vittorio Schmidt (Mark Strong), the head of rival lobbying firm Peterson Wyatt, to lead the effort in support of the bill instead. Sloane agrees and takes most of her staff along with her, though her closest associate Jane Molloy (Alison Pill) refuses to leave. At Peterson Wyatt, Sloane selects Esme Manucharian (Gugu Mbatha-Raw) to conduct most the firm's media appearances, and they make significant progress in garnering votes for the bill. Even though Esme does not want to disclose it, Sloane reveals that Esme's secret, that she survived a school shooting, during a live television debate. Later, Esme is held up at gunpoint while leaving her office, but her attacker is shot dead by another civilian who is legally carrying a gun. Gun rights supporters capitalise on this event, which causes the Heaton-Harris bill to lose support in the Senate. The news of the Senate inquiry into Sloane's lobbying practices also adds to complications. In-between Sloane's legal and professional matters, it is revealed that she takes various drugs to help her stay awake. It is also revealed that, having no time for a relationship, she pays for sex with male escorts, and despite wanting to meet her preferred regular escort, she is forced to settle with Forde (Jake Lacy), but she finds herself able to open up to him about her troubles. Returning to the congressional hearing, Senator Sperling produces a form requesting approval of overseas travel for a Senator. It was filed by a non-profit organisation but completed in Sloane's handwriting, indicating she violated Senate ethics rules with her involvement, as a lobbyist, in arranging the travel. Sloane repeatedly answers most questions with ""Upon the advice of counsel, I must respectfully decline to answer your question, based on my rights under the Fifth Amendment to the United States Constitution."" But she swears under oath that she has never practiced illegal wiretapping. In her final statement at the hearing, Sloane admits she anticipated the opposition might attack her personally if Peterson Wyatt made too much progress with the Heaton-Harris bill. But it is revealed that she did have someone secretly working for her, and she did use wiretapping to record Senator Sperling accepting bribes from Cole Kravitz & Waterman boss George Dupont (Sam Waterston). Ten months later, Sloane is in prison and visited by her lawyer, who tells her that the Heaton-Harris bill passed. It ends with Sloane released from prison, but her career in tatters. Also starring Michael Stuhlbarg as Pat Connors, Dylan Baker as Jon O'Neill, Christine Baranski as Evelyn Sumner, and Douglas Smith as Alex. Chastain absolutely annihilates any of the supporting performances being the ferociously sharp workaholic, even talents like Stuhlbarg and Mbatha-Raw are quashed, despite giving good performances. The ""for"" and ""against"" argument for gun control in America is a strong subject for a film, bits of did get my attention, I'm not going to pretend I understood absolutely everything going on, but it is not all boring, Chastain is the biggest reason to watch it, a reasonable political thriller. Worth watching!",Miss Sloane
7,blanche-2,wonderful Chastain performance,10,6 October 2018,"Jessica Chastain is ""Miss Sloane,"" a 2016 film directed by John Madden and also starring Sam Waterston, Mark Strong, Gugu Mbatha-Raw, Michael Stuhlbarg, Alison Pill, Jake Lacy, and John Lithgow.Elizabeth Sloane is an aggressive lobbyist who lets nothing stand in her way when she wants to achieve a goal. The film begins with her being called to give testimony at a congressional hearing that accuses her of violations of Senate ethics.In flashback, we see that the firm she works for is approached to lead the opposition to a gun bill expanding background checks. Sloane instead goes to work for Rodolfo Schmidt (Strong), with another lobbying firm, to get the bill passed.What a brilliant film, so relevant to today, particularly Chastain's monologue at the end of the film. All the performances are excellent, but she is amazing as an outspoken and tough woman whose work is everything to her.The film has an interesting twist at the end.I never considered Chastain a beauty - I never thought she photographed very well - but she indeed is very beautiful, and her formidable talent matches her looks.Truly a must-see. And so true to life!",Miss Sloane
8,Quinoa1984,#nastywomen,8,20 December 2016,"This is overall good work, a talky but fierce and intelligent script, featuring one of those performances that people hopefully will continue to go back to from Jessica Chastain that makes it clearer why she shows so much depth and dimension for a character that could, in other hands or on the page by itself, not seem to be as... human (the very opening, which you've seen in the trailer, shows her as so cold it may be, uh, ""scary"" to those men uncomfortable with women simply being strong *people*, regardless of gender, or, maybe, because of it too).It's a very good movie, the kind that Hollywood used to make more of (or just saw a wider release than 1,600 screens at a s***y time of release at the end of an Election year), though just shy of greatness. If it had had a Fincher or an Alan J Pakula behind it or something with a little stronger of a vision - Madden is good, but standard, a hired gun who executes it as well as he knows how, and casts it impeccably, but shoots it like it's (often, not always) a TV show, and I thought less of House of Cards and more of Scandal, albeit this is much smarter than Scandal gets - then it might be unstoppable.The only part of the ending I found unrealistic really is that a gun bill for universal background checks and stricter regulations could pass in this country, regardless of what comes out about the sneaky meetings between lobbyists and politicians - for practically ANY reason. It's a nice ending, but a little but of a fantasy in the world we're living in, where race and culture and so many other factors make gun control such a burnt hot potato, if that makes sense. But considering that's 5% of this movie, it's great to see the other 95% showing the political world as cutthroat as it is, which is how it f****g is.Or as Sloane puts it, and I'm paraphrasing here, being cynical is something Polyannish people say when they don't want to sound naive. I'd add what George Carlin says about them: the real cynics think that everything is going to be alright.",Miss Sloane
9,CinemaSerf,"Do as I say, not as I do...",7,25 September 2021,"Jessica Chastain is formidable in the role of the eponymous lobbyist working to get a gun control bill through the US Congress. As you'd expect from a such an highly politically charged issue, she has to sail pretty close to the legal wind to get persuade, cajole and sometimes even threaten her democratically elected targets to get the votes - and she faces some very tough, and ruthless competition. The film depicts well, if somewhat worryingly, the levels of partisan corruption on ""the Hill"", and of just how dog-eat-dog a community it is. The screenplay offers us a glimpse into the sacrifices her character must make - both with her reputation and her personal life; and being a woman, the appalling double standards applied by her foes surrounding some of her choices are writ large. It's let down a bit, i felt, by an ending that though well delivered by the star, only served to heighten my concerns about the whole surveillance culture that exists nowadays, but in this case - it was all just a bit too absurdly pre-meditated and neat! Still, this is as good a political drama as I've seen for a long while. It is gritty and entertaining, and showcases the skill of the star, and of the bloodthirsty nature of her vocation compellingly.",Miss Sloane
