,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Ridiculous Rob Schneider makes this even worst,4,1 June 2014,"Jed Clampett (Jim Varney) shoots and discovers bubbling crude from the ground. Jed decides to sign for a billion dollars and move from Arkansas to Beverly Hills for Elly May (Erika Eleniak) to be more ladylike. They move with Jethro (Diedrich Bader) and Granny (Cloris Leachman). With that much money, everybody is aiming to get a piece especially the weaselly Woodrow Tyler (Rob Schneider) and his gold digging girlfriend (Lea Thompson). Jed is looking to get hitched to help raise Elly May as a refined lady. Milburn Drysdale (Dabney Coleman) and Jane Hathaway (Lily Tomlin) are from the bank.It was a cheesy TV show to begin with. They don't change the tone of the movie from that too much. This is simply stupid. Rob Schneider is too ridiculous. He is too far gone. Lea Thompson's fake french accent is annoying. It may be better if the people outside of the Clampetts be normal. They don't have to be nice, just normal. In today's world, they should be Duck Dynasty teaching the Kardashians how to live. There is some of that in this movie, and that's where the movie works best. The Clampetts should never be stupid other than Jethro. For example, Morgan Drysdale (Kevin Connolly) would be so much better as a shy geeky nerd. Elly May could teach him to stand up for himself and they can fall for each other while she gets picked on by the mean girls. And Rob Schneider as usual is the bad egg. He makes this so much worst.",The Beverly Hillbillies
1,mark.waltz,"If the oil is pure crude, than the comedy is pure corn!",5,26 May 2020,"While Hollywood studios certainly aren't known for their originality in many years, every so often, they can be unorgininal and come up with something sweet and amusing. The story of the Clampetts of the back hills of Arkansas striking oil and moving to a Bel Air mansion was a major hit on TV for nearly a decade from the mid 1960's way into the 1970's, and the movie version of that series (much better than the TV movie follow-up from 1981) is a mixture of sweet and sour as far as the film as a whole is. Certainly, in casting the Clampetts, their kin and banker Mr. Drysdale and Miss Jane Hathaway, they hit paydirt, starting with Jim Varney as far from Ernest as possible, delightfully charming as Jed Clampett.Who better to play Granny than Cloris Leachman who has been playing eccentric characters ever since Mel Brooks put a mole on her chin and gave her a name that meant glue factory? Erika Eleniak as Ellie Mae and Diedrich Bader as Jethro are picture perfect, if not as experienced as actors as the elders, and Dabney Coleman and Lily Tomlin are a delight as Drysdale and Hathaway. They give great tributes to Raymond Bailey and Nancy Culp yet are never imitating or mocking them. Penny Fuller is adequate in playing Mrs. Drysdale in the way that she is written, but lacks the uppity bubble head that Harriett MacGibbon brought to the role.The basic story is nothing we saw on the long-running CBS sitcom, utilizing Jed's desire to find a wife to help Ellie Mae become a lady once he is fully ensconced in Beverly Hills society. A scheming junior executive at Drysdale's bank begins to scheme with his gold-digging girlfriend to trap Jed into marriage, but Granny and Jane realize what's going on, and do their best to stop the wedding. Pairing Leachman and Tomlin to be cohorts together is comic genius, and they steal, individually and together, dominate every scene that they are in. They play on Jane's crush on the delightfully dumb but sweet Jethro, and it is obvious that Lily Tomlin is having a ball playing this part. Bader seems to be enjoying his goofy character, and doesn't hesitate in going totally over the top in drag as Jethrine. In fact, he is quite lovely! Linda Carlson is perfect as mother Pearl.As for Leachman, I wish she had something more substantial to do than just be the  of visual gags throughout the film (exposed while in an outhouse, her rocker being knocked off the Clampett truck with her on it, driving a motor bike, the exposure of her hairdo after she is given shock treatment), but Leachman makes the best of the material that she has. But it is Varney who is the heart and soul of the film, giving Jed a romantic sophistication that was absent from the original series. Buddy Ebsen is the only cast member to make a cameo, playing his later TV role of Barnaby Jones in a classic moment.Where this fails to be funny is its efforts to spoof contemporary life in Beverly Hills and the American culture in general, although there are a few moments that stand out as funny. They include a cameo by Zsa Zsa Gabor as herself, the howdy salute that the Clampetts use to greet those verbally assailing them on the 101 Freeway, and the onslaught of gold-digging females (of all ages) who apply for the role of Jed's wife. Other attempts at parodying what they wanted to believe life in L.A. to be like fall flat and come off as condescending rather than funny.The scenes of Drysdale's son taking Ellie Mae to high school are particularly obnoxious and are excuses to go to the refrigerator to get a snack. 90210 this is not. Those moments seem totally forced. The main story of Jed's attempting to find a wife plays off a little better with the beautiful Leann Hunley (""Days of Our Lives"", ""Dynasty"") playing a Drysdale client who has a misunderstanding with Jed over her horse stud farm in an amusing cameo. The ""Nine to Five"" reunion between Coleman and Tomlin is made more complete by a cameo of Dolly Parton, singing ""Happy Birthday"" to Jed as herself. (""They spent a fortune on me for you...."") Her singing of ""If You Ain't Got Love"" is another great highlight.The build-up to the wedding is fraught with a mixture of tacky and hysterically funny comedy with one political reference creating a bellyache of chortling. When I saw this in the movie theater, that moment got the most laughs outside of Leachman and Tomlin. The good fortunately outweighs the bad here, and seeing this again nearly 30 years later, I found myself smiling in delight at most of it. One thing I wish that these film versions of sitcoms would do would be to stop taking the original theme and make them into a tacky rap song, or in this film's case, a badly written country song that has nothing whatever to do with the series or what you just saw in the movie.",The Beverly Hillbillies
2,lee_eisenberg,"not terrible, but it unfortunately led to terrible things",5,30 September 2012,"It's become a cliché that modern adaptations of classic TV shows are among the worst movies of all. ""The Flintstones"" was simply a BAD movie in every way! While there have been a few bright spots (""The Addams Family"" and ""Charlie's Angels"") pretty much everything else has been execrable.This modern adaptation of the Clampett brood has some funny stuff but mostly isn't worth the time. One could make the argument that ""The Beverly Hillbillies"" is half-homage, half-parody. Even so, this was a letdown for Penelope Spheeris after ""Wayne's World"". It was interesting to see Jim Varney in a non-Ernest role, though.Also starring Cloris Leachman, Erika Eleniak (the girl kissed by Elliott in ""ET""), Lily Tomlin, Dabney Coleman and Rob Schneider.",The Beverly Hillbillies
3,ccthemovieman-1,A New Beginning And Ending Would Have Really Helped,5,21 February 2007,"I enjoyed the bulk of the film - the middle part. It was just the first 20 minutes and the last 20 minutes that I thought were incredibly too stupid to enjoy.In that middle segment, Diedrich Baker's and Lily Tomlin's facial expressions were the highlight. I didn't mind staring at Erica Eleniak and Lea Thompson, either! It is an entertaining cast, I'll give it that, with Jim Varney, Cloris Leachman, Dabney Coleman and Rob Schneider among others. There also is some very good country music in the soundtrack, too.Otherwise, there isn't a whole lot of positive things to say because, really, much of the humor is Dumb, yes - with a capital ""D.""",The Beverly Hillbillies
4,ma-cortes,Cinematic adaptation from known TV series with minimal story but some moment is entertaining,5,2 November 2007,"This film based on successful TV series by Paul Henning. It begins when mountaineer Jed accidentally discovers a surprise in his property because he has struck oil during a shooting, gotten million of dollars, and turning instantly billionaire . Then he packs his backwoods family and heads to Beverly Hills, Los Angeles, California.They change into a lush mansion , but still live like Hillbillies because they still dress tattered ragged suits and rustics costumes .The hillbillies clan are Jed(Jim Varney in the role of Buddy Ebsen), a good-hearted and kind father looking new spouse, his daughter Elly May(Erika Elinak, role of Donna Douglas),an extraordinary gorgeous but incredibly ingenious and pursued by a suitor(Kevin Connolly), the Granny(Cloris Leachman), a senile, paranoid and obstinate old woman and Jethro(Dietrich Vader, role of Max Baer) , he's idiot though strong, he's actually only acting like an authentic stupid and doesn't even realize it. Besides, the ambitious banker(Dabney Coleman) and his botcher helper(Lily Tomlin) who will make anything of keep the Camplett family money in his bank. Meanwhile, they are duped by a mean pair(Lea Thompson and Rob Schneider).Everyone casting does rightly their impersonations from television characters with special mention of Jim Varney as the sensible and good father looking for wife and particularly, Dietrich as a double role as the dumb Jethro and his sister, furthermore a likable Granny, well incarnated by Cloris Leachman. Appear special cameos, Zsa Zsa Gabor as a delinquent, Dolly Parton singing country music and Buddy Ebsen, the original Jed , reprises another of his television acting, Barnaby Jones.The film contains a stunning music score with ballads by Scoggins like the original series, songs by Dolly Parton and Hank Williams and soundtrack by Lalo Schifrin. The motion picture is regularly directed by Penelope Scpheeris. Rating: Average but amusing. The film will like to nostalgics and hardcore series fans.",The Beverly Hillbillies
5,bevo-13678,Oil,10,2 April 2020,I like the bit where the old granny fell off the top of the car,The Beverly Hillbillies
6,preppy-3,Silly,4,6 March 2003,"I have to admit that I've never seen a full episode of the TV series. I've seen bits and pieces of enough to know the basic premise and the characters.This is just to let you know that I'm reviewing it without comparing it to the TV series. But still--with the silly premise who ever thought this would work as a full length film?The Clampetts strike oil, become billionaires and move to Beverly Hills. An evil bank assistant (Rob Schneider) and his girlfriend (Lea Thompson) plan to swindle them out of it all.There's very little plot, even for 90 minutes. There are some good jokes but most range from lame to insultingly stupid. It's all up to the actors to carry this off. Luckily, they're up to it. Deidrich Bader is very good as dumb as dirt Jethro (and his sister)--he's full of life, engaging and has a great smile. Dabney Coleman is good but given nothing to work with as Mr. Drysdale. Erika Eleniack is cute and perky as Elly May--she can't act but she was hired for her body not comedic talent. Cloris Leachman is good but a little too loud as Granny. Lilly Tomlin is hysterical as Miss Hathaway--she looks great and provides the few true laughs in the film. The late Jim Varney is surprisingly very good as Jed--who would have thought? Schneider and Thompson try to be funny but their material is very poor. Guest appearances by Buddy Ebsen, Dolly Parton and Zsa Zsa Gabor (in a VERY dated joke) don't help.With a better script this could have been great. As it is, it's almost worth seeing for the actors (especially Tomlin). Maybe the TV series is better...",The Beverly Hillbillies
7,view_and_review,What in Tarnation!?,2,14 June 2020,"""The Beverly Hillbillies,"" as is known, was a T.V. show from 1962 to 1971. I never watched the show, it was before my time, and if the 1993 movie is an accurate representation, then I don't know how it lasted that long.TBH movie was abysmal. It was a terribly unfunny string of absurd situations. Even for 1993 the idea of unrefined ignorant rednecks moving to the cultured and affluent Beverly Hills was old schtick. Naturally, such a mixture of polar opposites was supposed to produce laughs abound. Even with an ideal script and directing we would have gotten maybe a few chuckles. So, what do you think the laughter was with the weak script and weak directing it suffered from? Yeah, zero laughter is right.",The Beverly Hillbillies
8,Uriah43,From the Ozarks to Beverly Hills,6,16 April 2021,"This film essentially begins with a poor, uneducated mountaineer living in the Ozarks by the name of ""Jed Clampett"" (Jim Varney) shooting at a rabbit and accidentally finding an extremely rich vein of oil on his property. So at the encouragement of some relatives he decides to move to Beverly Hills where he hopes to transform his daughter ""Elly Mae Clampett"" (Erika Eleniak) from a tomboy to a refined young lady. Along with Elly Mae he also takes his mother ""Granny Clampett"" (Cloris Leachman) and because the three of them lack any formal education he rectifies that by bringing his nephew ""Jethro Bodine"" (Diedrich Bader)-who has graduated from the sixth grade--along as well. Needless to say, once they arrive they face a complete cultural shock-as does everyone they meet in Beverly Hills. Now rather than reveal any more I will just say that this film had some really humorous scenes and some excellent acting on the part of several performers. I especially liked Lily Tomlin (as ""Miss Jane Hathaway"") and the aforementioned Diedrich Bader who played their parts extremely well. Where the director (Penelope Spheeris) lost her way, however, is when she inserted certain scenes and dialogue of a sexual nature for cheap laughs. Not only was this totally unnecessary but it was definitely not in the spirit of the original television series. Even so, I still enjoyed this film for the most part and I have rated it accordingly.",The Beverly Hillbillies
9,FlashCallahan,Californy?....,6,14 July 2014,"Jed Clampett and his family move from Arkansas to Beverly Hills when he becomes a billionaire after striking oil. The country folk are naive with life in the big city, so when Jed starts a search for a new wife there are inevitably plenty of takers and con artists ready to make a lot of money.....Okay, so it's not the best thing in the world, the TV series never really did anything here in the UK, albeit being on a few times after CITV, and at this time in cinemas life, the movie adaptation of a TV was in full swing,thanks to the major success of the previous years 'The Fugitive'.But the makers of this didn't take into account that that film had a brilliant storyline, narrative, and two cracking central performances.Here, much like The Flintstones, released this year too, relied on the name to put bums on seats, and then work the script around the title. The Flintstones failed miserably, as it aimed too high and was more high profile. This is as laid back as the depicted family, and although it's very silly, and utterly forgettable, it's still a bit of dozy old fun.The cast are okay with what they are given, and Varney and Tomlin act everybody off screen. Eleniak is just eye candy, and proves why she never made it big in Hollywood.Schneider and Thompson are the obligatory bad guys, and seeing Thompson in a small role, in a decidedly dodgy movie is pretty depressing, but all in all, its summer fluff.But if you see on TV adaptation from 1994, go with Maverick, its a hoot.",The Beverly Hillbillies
