,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Typical,5,15 October 2020,"TOLKIEN is a typical biopic of the kind that's familiar from the outset. Drama is added to the otherwise sedate story of the scholar turned world-famous fantasy author by playing up and focusing on Tolkien's brief time in the trenches in WW1, an experience he would have shared with millions of other young men of the period. These scenes are well handled, but the rest is perfectly ordinary, from the moments of tragedy and loss to the sensitive romance and upper-class upbringing which most of us will have no familiarity of whatsoever. Nicholas Hoult has always been an engaging actor but he can do little with his role in this one, and the same can be said of the rest of the cast. Like most other recent biopics of the last five years, I'd much rather read a biography.",Tolkien
1,SnoopyStyle,interesting bits of a life,5,29 November 2019,"This is a biopic of famed fantasy writer J.R.R. Tolkien (Nicholas Hoult). He becomes an orphan at an early age. He forms a fellowship with three other boys. He falls for fellow ward Edith Bratt (Lily Collins) who would become his wife and muse for his writing. He faces the devastation of the WWI trenches. These are interesting bits of a man's life. The problem is that there is no overarching drama to his life. The obvious cinematic move is to make every character and every incident in his life as literary inspirations for his iconic books. It alludes to that but only sparingly. Without that, this movie struggles to connect the interesting bits into a dramatic narrative.",Tolkien
2,Hitchcoc,The Writer: His Soul and HIs Work,9,24 May 2019,"This is a film which is steeped in British reserve. J. R. R. Tolkien had the roots of fantasy in his blood, put forth by his mother who dies when he is young. She was the master storyteller, so ingrained in his psyche. There were dragons and supernatural beings, some from opera, some from folklore. But the movie is about his efforts to be true to himself and follow the path laid out for him. He wanted to be at Oxford, but his social status made him quite vulnerable. It was his creativity and linguistic skills that bought him a reprieve. We forget that historically, he is not just a popular author but an academic genius, one of history's greatest linguists. This is a gentle movie but it is punctuated with flashback while he fought in the Somme, one of the bloodiest incidents in the history of warfare. This is a very good film.",Tolkien
3,boblipton,Where We Knew It Would End,5,10 November 2021,"Nicholas Hoult plays an adult J. R. R. Tolkien, Harry Glby Tolkien as a child. It largely moves between his days in public school, where he made lifelong friends, his time in college, and on the battlefield in the Great War.The editing, which cuts between the three times, helps keep things interesting, as does a fine cast, including Lily Collins, Colm Meaney, and a five-minute turn by Derek Jacobi that turns the movie into something more than a cleverly-edited piece that ends up where we knew where it all would. This movie is intended to appeal to those who are captivated by Tolkien's work, and so know something about his life. Although there are some striking images, it adds nothing to what is already understood.",Tolkien
4,nogodnomasters,"It's a dangerous business, Frodo, going out your door.",10,7 August 2019,"This is a biopic of J.R.R. Tolkien ( Nicholas Hoult ). It ends in 1937 when he starts to pen the Hobbit. It begins with his time in the trenches of WWI using his flashbacks to maintain sanity. It is a story of love and imagination. Of Sadness and the Horrors of war. We get to see how his life was shaped and ideas were formed with the two biggest influences on his life being his mother (Laura Donnelly) and wife (Mimi Keene). Not an action film, but a slow drama.What I liked about this film is I was spared exposure to C.S. Lewis.",Tolkien
5,classicsoncall,"""I let myself believe that there were happy endings for people like us.""",8,28 October 2019,"I'm always leery of movie biopics because of what they add and what they leave out. I don't know much about J.R.R. Tolkien's real life, so if this one accurately recounts his early, formative years, then it was quite well done. Particularly effective are the film's references to familiar aspects of Tolkien's work as exemplified by 'The Hobbit' and 'The Lord of the Rings' trilogy. Many of those are recreated as Tolkien's fever dreams suffered in the trenches of The Somme during World War I. Even before seeing this picture, I have always been amazed by Tolkien's vast grasp of 'invented' languages, i.e., the lyric poetry and dialog that he created for the elven characters in his novels. His mind worked on so many different levels that it seems almost incomprehensible. The story here identifies in some ways the manner in which he developed that style, supported to a large degree by his mentor, Professor Wright (Derek Jacobi) at Oxford, along with his future wife Edith Bratt (Lily Collins). Much of his writing was also influenced by the fellowship of his school chums, forming their own secret society going by the T.C.B.S. - the Tea Club and Borrovian Society. Lest anyone miss the significance of the soldier Sam who successfully nursed Tolkien through his ordeal in the wartime trenches, it appears he was honored in The Trilogy by the presence of Frodo Baggins' loyal sidekick Sam Gamgee. Just one of the many references one will pick up by watching this effective treatment of J.R.R. Tolkien's early years.",Tolkien
6,CinemaSerf,Gently engaging,7,25 November 2019,"This is a well-written, gentle telling of the early life of JRR Tolkien; his relationships, studies and terrifying experiences in the First World War. Hoult plays the role sensitively and convincingly. Colm Meaney, Sir Derek Jacobi and Lily Collins all support ably. The subtle detailing of the scenes from the war are told using light and sound rather than blood and gore - and prove surprisingly effective. Insofar as there are any attempts to draw comparisons between his life and any of the Middle Earth concepts; this doesn't really address any of that and that can leave the narrative a little lacking but it's a good looking piece of cinema.",Tolkien
7,neil-476,Not bad,7,10 May 2019,"Orphaned as a child and brought up by a priest who is well-meaning but possibly somewhat out of touch with youngsters, Tolkien makes close friends at school and university, and falls in love.I don't know how faithful this is to Tolkien's life. Taken at face value, it is a tolerable biography of his early years, making the importance of his friendships clear, the rather chequered path of his romance, and signposting, but never overdoing, the events which influenced his writing.The performances are good and the film holds the attention.",Tolkien
8,ferguson-6,Middle-earth discovered,5,9 May 2019,"Greetings again from the darkness. As fascinated as we are with great writers, the cinematic appeal of watching someone put pen to paper, clack away on a manual typewriter, or peck at their laptop keyboard is at best negligible, and more likely, non-existent. Still, award-winning Finnish director Dome Karukoski chose renowned writer J.R.R. Tolkien as the subject of his first English language film. Tolkien's actual writing time on screen is mostly limited to a single shot at the film's conclusion; however, the script from David Gleeson and Stephen Beresford attempts to connect the dots between his real world life to his Middle-earth characters and adventures from ""The Hobbit"" and ""The Lord of the Rings"".Harry Gilby portrays the young John Ronald Reuel Tolkien, and then Nicholas Hoult stars from college age forward. The film bounces between Tolkien's childhood as an orphan, his elite private school education at King Edward's School in Birmingham, matriculating at Oxford University, and soldiering in WWI. It's during his stay at Ms. Faulkner's (Pam Ferris) boarding house when he meets Edith Blatt, the love of his life. While attending prep school, he and three friends: Robert Gilson, Christopher Wiseman and (poet) Geoffrey Smith, form the TCBS (Tea Club and Borrovian Society), a club dedicated to changing the world through art. It's at Oxford where Tolkien's love of language kicks into a yet higher gear, though it's during his time in The Somme - one of the deadliest battlefields of WWI, that we see his 'trench fever' contribute to many of the visuals later associated with his books.Lily Collins portrays Edith at the age where Tolkien must choose between her and his Oxford education, but as often happens with true love, the two later reconnect and remain married for more than 50 years (until her death). This film doesn't cover their later years, and instead focuses on the formative ones - both for his imagination and their relationship. We see his early childhood games (The Shire inspired from his time in Sarehole outside Birmingham) and the film often slaps us with an 'obvious stick' on how certain segments of life translate directly to his familiar stories in future years. In fact, there is no mention of C.S. Lewis and The Inklings - his friends who later supported his writing efforts. We do, however, get a sequence with Tolkien and Edith backstage at Wagner's ""The Ring Cycle"" Opera ... a dot that requires the simplest of connectors.The film looks terrific - especially in the battle scenes which are staged dramatically and horrifically (much as we imagine the war was) by cinematographer Lasse Frank Johannesson. Unfortunately, that's the highlight. This is mostly a generic biography of an extraordinary writer. Adding to the frustration is the fact that Nicholas Hoult recently portrayed reclusive writer J.D. Salinger in REBEL IN THE RYE ... roles too similar for the same actor.""The Hobbit"" was published in 1937 and ""The Lord of the Rings"" trilogy in 1954-55, the latter being the best-selling fiction of all-time before being overtaken by JK Rowling's 'Harry Potter' series. Tolkien's key seems to have been his lifelong fascination with language. He even created his own - not just words, but complete languages. That would likely have made a better focus here. Seeing the foundation of ""the fellowship"" was somewhat interesting, although much of that segment came across like a poor man's DEAD POET SOCIETY. Supposedly the Tolkien family has refused to endorse the film, likely placing the script ""In a hole in the ground ...""",Tolkien
9,siderite,Doesn't do anything,6,26 October 2019,"Imagine a story about the man who singlehandedly invented Anglo fantasy, who wrote Lord of the Rings, invented at least one language, influenced all fantasy computer games ever made. What would you put in it? The feelings of fellowship to his closest friends? The heart shattering love for a woman that seems more magical and alive than any other? The battles he fought? The evil that seemed to permeate the world and that had to be fought, regardless of consequences? Maybe his thoughts as he wrote his works?Well, this movie tries to do that, only it doesn't go anywhere. His friendship with his colleagues is the most prominent thing, but without presenting anything that made that friendship strong except getting drunk with his mates and talking geek. Then there is the love for his lodging mate Edith, which he ends up marrying, also episodic and chaste. His children only appear at the end. The war is shown from a fever induced quest in the trenches of the battle of the Somme to find his friend. The film moves from him almost being expelled to him being a university professor in a few scenes. The story ends just as he starts writing The Hobbit, so his writing years are not even in this. The most personal conflict you see in the film is when he punches his friend and immediately apologizes.It's not that the movie wasn't accurate, I have no idea if it was, but it felt as if Tolkien was a really really boring man and the most exciting part of his life, even dramatized and stitched together was still really boring. There are no bits in the film that made me feel anything for anyone. Capitalizing on the Tolkien name, this movie goes nowhere.",Tolkien
