,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Fella_shibby,Predictable but engrossing with a dash of the 90s erotic thrillers.,8,3 July 2021,"The movie is very well shot n at times it is funny but my only crib is the predictable ending. They cud have made it more darker or poignant.Pannu is amazingly hot but the absence of Emraan Hashmi n his smooches will be felt here.I liked the locations n the houses. I wonder if those kinda houses, the river facing houses does exist?Haridvar is on my travel list aft seeing this movie.",Haseen Dillruba
1,RosanaBotafogo,A wonderful and surprising police drama...,9,10 July 2021,"A wonderful and surprising police drama, despite machismo being intrinsic in Indian culture, here we have an almost independent woman, however the cuisine still enslaves many women, but the apex is the mystery, the suspense surrounding her husband's death, murder or not , very engaging, detailed reported, through reports and flashbacks, fantastic, intelligent, engaging...",Haseen Dillruba
2,Foutainoflife,Enjoyable But Drawn Out,6,5 July 2021,Story isn't awful but it's lengthy. It could be due to the 3 or 4 music video montages. It seems that a lot of Bollywood films have these montages but I'm not used to them. I liked it regardless.,Haseen Dillruba
3,arungeorge13,The only redeeming factor here is Vikrant Massey's believable performance! [+33%],3,4 July 2021,"Haseen Dillruba is as B-movie-ish that a B-movie can get - there's frenzied love, a murder mystery, an extra-marital affair, tonal mismatches, sketchy characterization, and a barrage of thriller clichés. Out of the 3 leads, Vikrant Massey is the only one who holds up his end of the bargain, performance-wise. Taapsee Pannu and Harshvardhan Rane fall victim to shoddy writing (by Kanika Dhillon). Even if the film's internal commentary on masculinity and arranged marriage can be tolerated to an extent, director Vinil Mathew struggles in handling the rapid tonal shifts - from a family comedy to a bawdy B movie to a twisted thriller. I felt the makers spent too much time building up the tawdry romance (and its subsequent failure) that the murder investigation bits appear rushed. The supporting characters are all fruits of stereotyping: a silent dad-in-law, a hen-pecking mom-in-law, the friend who comes to drink, and even the carefree hunk who seduces the wife. Every character is straight out of a railway newsstand pulp novel, minus the mere quality of being a page-turner.",Haseen Dillruba
4,kamalbeeee,Average murder mystery..!!,7,4 July 2021,"A unhappy married couple faces trouble after husband's younger brother enters into their life.. Lateron when he starts to tease and blackmail her then husband killed him and try to escape from that murder sentence..
Good story but not intergued thriller..
Screenplay was very slow and bad character definition..
Worth watch for timepass..!!",Haseen Dillruba
5,ketgup83,"With solid climax and electrifying performances, Haseen Dillruba is a definite watch",7,2 July 2021,"A wife, girlfriend or a murderer ? Taapsee Pannu, Vikrant Massey and Harshvardhan Rane starrer Haseen Dillruba explores the who-done-it-murder which is a slow burn thriller with a solid climax.Rani (Taapsee Pannu) is hitched to Rishu (Vikrant Massey) in a compromised arranged marriage (Rani wanted an adventurous and hot guy while Rishu wanted a simple and homely girl). Due to different nature and thinking, things do not go down well between Rani and Rishu and soon their marriage turns rocky. Enter the cool and handsome Neel (Harshvardhan Rane), cousin of Rishu bhaiya, who arranges the seasonal rafting session for the tourist in the beautiful city of Jwalapur (close to Rishikesh in Uttarakand). Neel uses his charm on Rani and she being unsatisfied physically and mentally from her husband, falls for him. Rani wanted to confess everything to Rishu about her affair with Neel but Neel ditches her mid-way and runs away.Now, Rani is feeling guilty about what she did to Rishu, wants to rectify her mistakes to which Rishu forgives her and both eventually start living peacefully. However, one fine day as Rani steps out of her house, a blast occurs which kills Rishu on the spot. As the police investigation begins, all the eyes turns on the prime suspect Rani and her lover, Neel, behind the murder. Has Rani actually killed her husband with the support from Neel or is she a victim of an extra-marital affair gone wrong ?From the director of likable, Hasee Toh Phasee, Vinil Mathew is back with a murder mystery, Haseen Dillruba, which is backed up by Aanand L Rai under his banner Color Yellow Productions. Haseen Dillruba was supposed to hit the theaters on 18th September last year but was pushed to 2021 eventually hitting the OTT platform.While the trailer of Haseen Dillruba was edgy setting up a mammoth expectation, the movie starts on a slow note. In fact, the first few minutes is about boy meeting girl followed by a typical song and drama which could have been cut short and come straight to the point. However, it is the second half when the murder mystery gathers steam especially towards the end with a good twist and satisfactory ending. If Haseen Dillruba could have been trimmed by few minutes and unnecessary songs, the impact could have been more considering the plot was pretty strong. Editing could have been sharp while the music by Amit Trivedi was just about okay.Despite the hiccups, there are silver linings in Haseen Dillruba which makes it a good watch - Kanika Dhillon's (behind Manmarziyaan and Judgementall Hai Kya) novel based story, Jayakrishna Gummadi's eye-catching cinematography and background score which sets the mood of the film.Haseen Dillruba is uplifted thanks to the shinning performances by the star cast. Vikrant Massey's acting is applauding. From being a soft-spoken shy guy to an angry-infused husband, Vikrant's transformation is exceptional. Taapsee Pannu is outstanding who puts in effort and clearly shines as Rani. Aditya Srivastava as the investigating officer is brilliant. I wish the makers could have included more scenes for the exemplary actor. Harshvardhan Rane does fine in a small role. Yamini Das as Rishu's mother brings some humor to the dark murder mystery.Overall, Haseen Dillruba may not be a perfect who-done-it murder mystery thriller but still has enough juice to keep you entertained. Good 3/5",Haseen Dillruba
6,nadkarnisumeet,Taapsee is good. Haseen Dillruba isn't.,4,3 July 2021,"Haseen Dillruba review :Supposedly a dark twisty murder mystery with an emotional angle of unrequited love, Haseen Dillruba ends up a hotch potch of neither this nor that!! The writing (Kanika Dhillon) and execution (Vinil Mathew) fail the film badly even though it has its share of few positives.Like Taapsee Pannu for example. The talented actor rises above the inane plot to infuse some 'jaan' in to her ill written character. If not for her, Haseen Dillruba would have been reduced to a B grade Kanti Shah fare where a newly wedded lady has an affair with her hubby's cousin (Harshvardhan Rane). Hubby dear (Vikrant Massey) gets to know of this extramarital but loves his wife too much to leave her...A murder takes place soon after and the police inspector (Aditya Srivastava from CID tv series) suspects Taapsee to be the killer. The actual story is narrated through flashbacks in course of this investigation.With its genre shifting narrative, Haseen Dillruba goes horribly wrong with character graphs of Taapsee and Vikrant making it impossible for the viewer to connect with the film as a whole. A soft docile character suddenly hatches a plot to kill someone. Another person, thought to be strong willed, turns sissy towards the end. In short, every single character in the movie is unidentifiable.Vikrant and Harshvardhan are strictly okay. They aren't the ones to be blamed here. The script is. The background score jars. Ditto the songs appearing out of nowhere. The cinematography and the scenic locales count amongst the films positive.Taapsee is known to be choosy about her films but evidently, she erred as far as Haseen Dillruba goes. This one will join the ranks of those David Dhawan innanities (Chashme Buddoor, Judwaa 2) she worked at the beginning of her career. Better luck next time, lady!!Regards,
Sumeet Nadkarni.",Haseen Dillruba
7,SoumikBanerjee25,I Was Quite Taken Aback by Its Across-the-board Demonstration!,7,13 July 2021,"Following the huge influx of unfavorable opinions all over the Internet, I genuinely felt apprehensive! Not only because I had greater expectancy but also for the appetite that I do happen to have for Crime Thrillers in general. Therefore, going in; I was bracing myself for nothing but another setback. Entirely unaware of the fact that I was about to get pleasantly surprised!The film is not close to being anything remotely bad. Instead, I would go as far as to say this was freaking ambitious! Of course, not without its fair share of loopholes and impediments; But in all honesty, I was quite taken aback by its across-the-board demonstration.Be it the critique of Arrange Marriages in a rather cunning fashion or the denudation of the unpredictable human psyche; the Writing here effortlessly takes on such toilsome topics. It also goes on to exemplify the likely consequences of miscommunication in a relationship or simply the lack of it. And the inescapable adversities they might face, owing to their poor decision making.Articulated frames that knavishly mimic character disputes or the Screenplay's effective portrayal of repressed emotions; There is enough technical competence to brag about. Songs are uniquely placed and their stirring composition faithfully coincides with all the explicit narrative setups.Coming down to Performances; Vikrant Massey comes across as the star of the show! Now with consecutive displays of his acting chops; Vikrant has already proven his mettle, no doubt about that. Despite not being able to bring her A-game this time, Taapsee Pannu does an admirable work nonetheless. Whereas Harshvardhan Rane was at a complete loss.In conclusion, this is definitely an acceptable crime thriller with some terrific intricacies. Not to mention, its predisposition towards self-evident subtexts that corresponds to Relationship tutelage and fresh starts.",Haseen Dillruba
8,DogePelis2015,A new Indian movie on Netflix,7,5 July 2021,It is a very entertaining and exciting experience; it has a very tense plot and the performances are good; I recommend it if you like Indian movies a lot.,Haseen Dillruba
9,cseabhi,A pleasent surprise,7,29 July 2021,"This is one insane Bollywood thriller - you'll might love the movie after seeing the unexpected finale. The film is enjoyable to see for its clever use of 135 minutes to blend suspense with sarcastic humour.There are actually three winners in the movie. Apart from Taapsee Pannu's powerful performance and Vikrant Massey's brilliance, there is Kanika Dhillon's writing which is very brilliant.Yes, there are flaws in the script and the story but despite its flaws, ""Haseen Dillruba"" is a pleasant watch.",Haseen Dillruba
