,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"Two angry, sullen hipsters....who try very hard not to try.",7,9 October 2017,"""Ghost World"" is not a film for everyone. Its characters are certainly unusual but not necessarily crowd-pleasers. It also features a vague ending...something which most film viewers would not appreciate.Enid (Thora Birch) and Rebecca (Scarlett Johansson) just graduated from high school. However, they are far from the typical 17-18 year-olds. In many ways, they are like hipster versions of Daria (from the wonderful cartoon series)...but with a darker, nastier edge to them. They don't fit in with those around them and seem to enjoy giggling among themselves about how stupid and ridiculous everyone else is. However, through the course of the film, these two sullen young ladies who try very hard not to care find themselves caring. Rebecca finds a job and Enid invests her energy in a social outcast, Seymour (Steve Buscemi). All the while, their own relationship with each other becomes strained...mostly because their lives now are taking different directions. This film features some truly terrific acting. While Scarlett Johansson went on to great fame, the real stand out in this one is Thora Birch...who since has had a respectable but much more low profile career in pictures. The script also is very nice, with some interesting characters. I particularly thought the art teacher (Illeana Douglass) was fascinating...mostly because she was so very, very monumentally flawed as a human being. But it also suffers a bit because it's so very hard to care about these young ladies...at least until much later in the film. It would be easy to dislike them and just turn off the picture...which would be a mistake. A challenging and odd film...but worth seeing if you are patient and are looking for something different.",Ghost World
1,SnoopyStyle,slacker cool,9,23 September 2013,"Enid (Thora Birch) and Rebecca (Scarlett Johansson) are outsider recent high school grads best friends. They love Bollywood, have eccentric tastes, and can't relate to regular people. They rather make fun of them. They meet weirdo Seymour (Steve Buscemi) and make fun of him. He's socially awkward who collects old vinyls. Enid develops different opinions as she gets to know him while the best friends drift apart.These are absolutely entrancing characters. Not only are they slacker cool, but they are really deep characters. Their relationships are complex and these are great actors. It makes their final resolution that much more poignant and heart-breaking.",Ghost World
2,Prismark10,Ghost World,6,10 February 2021,"Ghost World is the anti John Hughes teen movies of the 1980s. The type of movies Hughes made such as The Breakfast Club, Some KInd of Wonderful, Pretty in Pink which were not quite as alternative or radical as many initially thought.Ghost World sets out its stall in the opening credits with a groovy dance scene from a 1960s Bollywood film. Enid (Thora Birch) is mimicking those moves.At the graduation ceremony at High School. Enid and best friend Rebecca (Scarlett Johansson) make fun of a student who was disabled in a car crash. Enid liked her more when she was an alcoholic and a drug addict. Now she is little Miss Perfect in a wheelchair.Enid and Rebecca think they are too smart and choose to be outsiders with their piercing barbs at everyone they meet. After high school they have no plans for college or a career.It is Enid who really is a misfit. Rebecca isn more conventionally pretty, gets a job in a coffee shop and plans to move into an apartment.Enid does not realise that the best friends are drifting apart. Enid cannot hold down a job in a popcorn stand in a cinema.When Enid and Rebecca decide to play a trick on a dorky loner loser Seymour (Steve Buscemi.) Enid discovers that he really is a kind of kindred spirit.Seymour likes old records, vintage art posters and he works as an executive in some fried chicken outfit. His passion for art gives Enid an idea about her art class that she needs to do at summer school.Enid also tries to hook up Seymour with a girlfriend when she originally set him up with a fake date for a laugh.Directed by documentary maker Terry Zwigoff. Ghost World takes a layered look at the life of teenagers. It has a cult reputation simply because it knows that there are no easy answers to growing up.However I did regard both Enid and Rebecca as self absorbed narcissists. They were too consumed in their own smart ass view of the world. They had no empathy for anyone else. At least Enid shifted a little with Seymour but then became jealous when he did find someone.The best performance was from Buscemi who is the one character who has a heart tom give but no takers.",Ghost World
3,claudio_carvalho,Excellent Cult-Movie,9,10 December 2005,"Enid (Thora Birch) and Rebecca (Scarlett Johansson) are best friends having difficulties in social attitude with other people. After graduating in high-school, they decide to get a job and rent a house of their own. However, Enid need to attend the Arts summer school to graduate and the unsociable behavior of Enid makes her lose her job. Meanwhile, they play a prank with Seymour (Steve Buscemi), a middle-age collector of long-plays record that feels also difficulties of relationship, and Seymour and Enid become friends. Along the days, Enid reaches maturity and a different view of life.""Ghost World"" is an excellent low-budget cult-movie nominated for Oscar in the category of Best Writing, Screenplay Based on Material Previously Produced or Published and awarded in another twenty-five (25) prizes plus twenty-four (24) nominations in different festivals. The caustic and mature adolescent-coming-to-age story is centered in the weird and rebel Enid facing and overcoming the need to join the real world after the high-school period, and is brilliantly directed by Terry Zwigoff, who also writes the wonderful screenplay with Daniel Clowes. The performance of Thora Birch, probably in her best role, also deserved a nomination to the Oscar. Scarlett Johansson, Steve Buscemi and the supporting cast are also awesome. I really loved ""Ghost World"" a lot, and I would like to thank my great movie-lover friend Ricardo that recommended this gem. My vote is nine.Title (Brazil): ""Ghost World  Aprendendo a Viver"" / a.k.a. ""Mundo Cão"" (""Ghost World  Leaning to Live"" / ""Dog's World"")",Ghost World
4,classicsoncall,"""I can't relate to ninety nine percent of humanity.""",7,24 April 2018,"Teenage angst gets a workout in this film with the principal characters and best friends Enid (Thora Birch) and Rebecca (Scarlett Johannson) going in somewhat separate directions over the course of the story. Even upon high school graduation, their acerbic putdowns of fellow classmates and other unlucky targets position them outside the mainstream, and they revel in the fact. However after agreeing to become roommates upon graduation, it's only Rebecca who seems to buckle down to a level of responsibility by finding a job and getting a bit more 'serious' about impending adulthood. Enid meanwhile stumbles around in an existential haze in an attempt to find that ever elusive 'meaning of life'. As teens and young adults, we might all have been there at one time or another. A cruel prank is at the center of this story as Enid responds to a Personals column by leaving a message for hapless, old-time record collector Seymour (Steve Buscemi). When it backfires, it puts Enid even more at odds with herself for her failure to foresee unintended consequences. I thought it kind of interesting that Seymour eventually entered therapy wearing the green cardigan that he had on when he 'felt a connection' with Dana (Stacey Travis) before ever actually meeting her. That was a telling moment for how productive his sessions might have turned out, as he leaves with his mother and the therapist just rolls her eyes. What I thought the film did successfully was broach a topic in our culture that's become distinctly more partisan since the picture came out, that of attempting to have an honest conversation about racism. It opened a door in the story but didn't take it to any conclusion other than to ostracize Enid even more for trying to make a statement. The ambiguous ending of the movie accentuates Enid's lonesome quest to somehow relate to the world and find some meaning for herself, and leaves little optimism about her finding it any time soon. In a way, she might have been taking the subliminal advice offered on the park bench at the bus stop by temporarily taking herself 'out of service'.",Ghost World
5,gavin6942,Incredibly Depressing Because It Was Just So True,8,20 July 2006,"Enid (Thora Birch) and Rebecca (Scarlett Johannsen) are finally ready to graduate high school. But as they find themselves growing up, they may also be growing apart. Enid becomes closer to an older man, Seymour (Steve Buscemi), who collects old records. Rebecca, on the other hand, is turning more ""normal"", getting a job at The Coffee Experience (a clear Starbucks ripoff) and hunting for apartments. Can their friendship survive the rift? Brad Renfro also appears as the girls' friend Josh who drives them around.""Dear Josh, we came by to (sleep with) you, but you were not home. Therefore... you are gay. Signed Tiffany, and Amber."" That note left in the film was so amusing, if nothing else had worked they hooked me with this scene. Of course, as you can guess by the ""8 out of 10"", they sold me in many other ways.And also, even if this film was a pile of dung, the cast alone would have carried it. Steve Buscemi is amazing and needs bigger roles. Thora Birch -- especially at the point -- is the ultimate heroine. And Scarlett Johannsen, before anyone really knew who she was, had appeal to audiences across the board. The way these characters interact could work for hours on end... a television series would have been perfect. And i have to say, there's nothing ""dung"" about this film -- the directing is awesome and the writing is better than most of the independent films out there. ""Ghost World"" continues the greatness that ""Welcome to the Dollhouse"" and ""Buffalo 66"" started and seems a good inspiration for ""Juno"".If you were an outcast in high school, you sympathize with Enid and you may even find her unconventionally attractive for her style and interests. (You have to admit the Batgirl mask is hot.) This is the girl you would have loved to be friends with in high school if you knew she existed. And one of the best scenes, Enid working at a movie theater, is something anyone who ever worked fast food can identify with. There are so many great scenes and great lines -- David Cross even makes a good cameo as a hebephilic record collector -- that it's hard to write a review without wanting to quote them. I should say that by far the best role in the film was captured by David Sheridan (""Scary Movie""), as the loiterer Doug, who looks just like Gunther (from Gunther and the Sunshine Girls). His karate fighting and bashing of the Greeks was comic genius (the Greeks gave us two things, can you guess what they are?). And the soundtrack. I may not be into blues... but they made blues cool in this film. I could get into what Seymour was trying to push. If you haven't seen ""Ghost World"", this is a film you have to own. Rarely do I see a film that really hits home and seems so timeless, but this is one. I wish Thora Birch and Scarlett Johannsen were like this today... but they're not (please, Thora, eat a sandwich). And if nothing else, the feminist artist is smoking hot. (I enjoyed this picture while downing large quantities of Scoresby Scotch -- the Scotch of the connoisseur -- but you need not be imbibing to fully appreciate this masterpiece.)",Ghost World
6,lee_eisenberg,Now THIS is a movie!,10,21 October 2005,"""Ghost World"" has high school outcasts Enid (Thora Birch) and Rebecca (Scarlett Johansson) finally figuring out how to get back at the world that ignored them, via loner Seymour (Steve Buscemi). Everyone does a great job in their roles, and some of the scenes are hilarious (particularly the ""8 1/2"" scene). The world's outsiders will just love this movie. Even though Enid and Rebecca are outcasts, everyone will be able to relate to them. The Coon Chicken Inn is disturbing, but in the movie for a good reason. ""Ghost World"" is one of the many movies showing why indie flicks are better than Hollywood movies, and you'd better believe that it makes that point. Truly a gem of a movie.",Ghost World
7,Woodyanders,A deliciously wry portrait of teenage alienation,9,9 August 2017,"Disaffected teenage outcast Enid (a spot-on snarky performance by Thora Birch) and her equally sullen best friend Rebecca (a marvelously sour and aloof portrayal by Scarlett Johansson) find themselves at a crossroads in the wake of graduating from high school. Moreover, Enid feels sorry for fellow misfit Seymour (beautifully played with lovely hangdog grace by Steve Buscemi) after playing a cruel prank on him.Director Terry Twigoff, who also co-wrote the witty and perceptive script with Daniel Cloves, savagely skewers the stifling conformity of conventional consumerist small-town America, poignantly addresses the basic human need to fit in and belong even if it's on the fringes of society, maintains a splendidly dry'n'deadpan tone throughout, adroitly captures the awkward transition from adolescence to adulthood (Rebecca wants to grow up and get her own apartment while Enid tries to avoid thinking about what she's going to do with the rest of her life), and concludes things on a haunting ambiguous note. Moreover, it's acted with aplomb by a top-rate cast, with especially praiseworthy contributions from Illeana Douglas as ditsy overzealous art teacher Roberta, Brad Renfro as the easygoing Josh, Bob Balaban as Enid's nerdy ineffectual dad, Stacey Travis as the sweet Dana, Charles C. Stevenson as patient old man Norman, and David Sheridan as antagonistic goofball Doug. Affonso Beato's vibrant color cinematography provides a pleasing bright look. Great soundtrack of vintage blues tunes, too. A real treat.",Ghost World
8,rmax304823,Urban Anomi.,7,4 March 2015,"It's a spiritual quest masquerading as a romantic drama masquerading as a teen comedy about two girl just out of high school.The girls are Scarlett Johansson with stunning features, a voice that occasionally croaks, and a mammoth bosom; and Thora Birch, a pudgy Jewish girl with glasses that define her as a loser. The two friends wander about the boulevards and empty residential areas of Los Angeles, making vulgar wisecracks to the weirdos they run into. There is, for instance, an old man sitting at a bus stop, waiting for a bus whose route was canceled years ago. ""That's what you think,"" he replies.The girls are very close, as only two people who hate everyone around them can be close. But their interests diverge when they run into a weirdo whose weirdness awakes a dormant thirst for something beautiful and entirely different in Birch, but not in Johansson, who prefers disgust.The catalyst is Steve Buscemi. The girls play a rather nasty prank on him. He's a pathetic loner with an eccentric obsession -- traditional jazz records. He sells them on Saturdays in a kid of front-yard souk. The girls twit him, asking if he has any Hindi rock music. Birch prefers heavy metal but she buys an old record from him anyway, out of curiosity, and finds herself moved by an old blues song.We see less of Johansson and her bosom as the movie follows Birch's blossoming attraction to Buscemi, who lives in a room that resembles a museum of hundred-year-old vernacular art. If self esteem could be measured, Buscemi's would register in the negative range. As Birch's home life become less tolerable, she plans to move in with Buscemi but changes her mind. Buscemi, almost against his will, takes up with a woman his own age, Stacy Travis, who is enough to disentangle any man from his affair with a portly teen ager.I don't think I'll describe the ending. Well, maybe I will. That old man sitting at the bus stop, waiting for the bus that will never come? It comes. And he gets on it and goes. Having lost everything, Thora Birch watches another bus come. She gets on it and goes.I'm sure the arrival and departure of the bus was symbolic but I don't know of what. After bouncing like a pinball between life at home, the dissolution of a warm friendship, and her affair with Buscemi, she hasn't really found anything. Rather, she's lost it. She hasn't developed a taste for blues. There really isn't anything left but disappointment and despair.All the performances are fine. No one is better than anyone else, although Bob Balaban, as Birch's indulgent father, has the best comic lines. The story is full of color and repulsion. I wish the writer, Daniel Clowes, had imagined a less allegorical end to it because that final scene just doesn't fit.At any rate, this is several steps above the expected trash about teens, sex, love, ambition, etc. I mean, it isn't, say, ""Fast Times at Ridgemont High.""",Ghost World
9,BA_Harrison,One for us geeks.,7,23 September 2008,"Thora Birch (surely the perfect poster girl for all nerds, male and female) stars as Enid, an intelligent, artistic and sensitive girl who becomes friends with obsessive record collector Seymour (Steve Buscemi) after playing a mean joke on him. As her relationship with Seymour develops, her bond with school-friend Rebecca (Scarlett Johansson) begins to crumble.Akin in many ways to introspective indie fare such as Lost in Translation, Napolean Dynamite, American Beauty, Secretary, and Sideways, Ghost World is a quirky, meandering, satirical study of social outcasts in a world that demands conformity, and, as such, isn't going to find much of a following with your average Blockbuster crowd.Those hoping to see a laugh-out-loud comedy should definitely seek entertainment elsewhere: although there are some painfully accurate insights into the lives of its likable losers that will bring a wry smile to the faces of those who don't quite qualify as normal, the droll humour will leave Mr and Mrs. Average Joe straight faced and reaching for the off switch.And anyone looking for a film with a feel-good factor should also hit the stop button: if you're not in the mood for a film that takes a leisurely, measured approach to a tale about doomed relationships and uncertainty about the future, you'll find the film rather annoying.There are those, however, for whom the film will definitely resonate and no doubt become a firm favourite: disaffected youths, geeks, losers, and weirdos who are able to identify with the main characters' lack of direction in life and sense of confusion at the world around them. They (or should that be 'we'?) will be the ones to fully appreciate this subtle and poignant cinematic journey of self-discovery, which delivers excellent performances from its talented cast (Buscemi, in particular, is superb), confident direction from Terry Zwigoff, and a memorably daft character who sports a mean mullet and a pair of nunchuks!",Ghost World
