,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Harvey,7,6 June 2020,"It's a day in the life of Jane (Julia Garner). For the last five weeks, she has worked in a non-descript New York office as an assistant to a ruthless Hollywood film producer. She caters to him which includes delivering a young beautiful girl. She struggles with her inner conflict.This is a throwback to a 70's faux-documentary style day-in-the-life movie. It can be very slow. It has the one big scene where it takes a half-step too far. For a movie with so much subtlety, it gets too specific on threatening Jane. She needs to take the hint five seconds earlier. It would be more compelling for her to cave sooner. This movie is obviously referencing Harvey Weinstein. Instead of a generic title, it should take the bull by the horns and call this Harvey. It would also be a meta reference to the old James Stewart movie where the imaginary rabbit is never seen. I understand the title is trying to be understated like the movie itself but sometimes, it needs to be overstated.",The Assistant
1,nogodnomasters,You like your job?,2,21 May 2020,"Jane (Julia Garner) works as an assistant in a film producer's office. She is a clerk, maid, bar tender, baby sitter, scheduler, book keeper, and travel arranger. It seems her boss, not named Harvey likes young girls (not underage) and meets with them as his wife wants to know where he is at. Jane is caught in the middle of it all and must turn a blind eye to the things she believes are happening if she wants to keep her job and advance.That's it. Her job is mundane. We only see what she sees which isn't a lot. Juicy parts left out. I guess there is a message for someone who cares to watch a boring film about sex without sex. I imagine the HR scene was the film's climax.Guide: F-word. No sex or nudity. Decent acting wasted on a boring film.",The Assistant
2,kosmasp,Mundane and detailed,7,4 March 2021,"Let's just say, that whoever did this, has experience when it comes to the life of an assistant. There is nothing fancy here and the ticks and tocks are subtle and not in your face. The life of an Assistant is not glamouros (in realityt that is and in the way it is depicted here) - this could easily be a documentary then.So your patience is being tested in a way, one would say. The movie is interesting to some then and annoying to boring to others. Be aware to which group you belong and act accordingly (watch or don't that is)",The Assistant
3,classicsoncall,"""Don't worry. You're not his type.""",7,22 August 2020,"In the early going, I knew right away this film would not appeal to a lot of viewers. It starts out slowly and never really revs up to any speed, however I did find the idea of the story compelling and provocative. As a newly hired assistant in a production office, Jane (Julia Garner) is not much more than a cog in an impersonal machine, handling menial assignments that come with the territory. There's almost the feeling that she keeps busy with tasks that she doesn't even have to do, like emptying the trash and babysitting the kids of her boss's nanny. Throughout there are hints that the 'boss', who's rarely if ever seen, is a serial womanizer who treats all of his employees with contempt. An attempt to level the playing field between herself and a brand new hire by visiting personnel results in Jane being subtly admonished to mind her own business if she wishes to remain employed.So with all that, what I was expecting in the way of resolution was some breakthrough moment, perhaps an Ozark style Ruthie assault that would leave heads spinning and a jerk of a boss summarily put in his place. Instead, the story diffuses with a whimper, with only the recognition that Jane doesn't have the power to effect change in an abusively hostile workplace. That ending is bound to elicit it's share of 'Is it over with' moments far and wide, and quite frankly, I had to do a rewind on my DVD to see if I had missed something. The sad thing about Jane, she probably winds up going back to work the very next day.",The Assistant
4,LeonLouisRicci,SO CLOSE YET SO FAR AWAY...WELL INTENDED PEEK,7,26 August 2021,"Ultimately Frustrating ""Reality"" about an Assistant to a ""Big-Time"" Hollywood Producer that is in Close-Proximity to Suspected Salacious Behavior but is Disarmed by the System and Her Colleague's Indifference.Well Acted by Julia Garner as ""The Assistant"" who is in Virtually Every-Shot.She Uses Facial Cues more than Dialog to Represent Her Growing Frustration and Slow-Burn.She Finally Decides to ""Do Something"" but as most News Stories in Real-Life Uncover, very Little Gets Done and even More is Unknown than Known.A Pulled From the Headlines Story of ""Today"" and the #MeToo Movement.The Film has No Answers and the Futility of it All may be the Movie's most Powerful Statement.But that Goes Against the Purpose and Goal of the Movement and doesn't Offer much Hope to Anyone Involved in the System or Not.Eventually the Film is Pointless and only an Exercise in Venting.But Frustrated and Abused Folks do need to Vent.In that Regard...It does have a Point After All.",The Assistant
5,evanston_dad,May Just Drive You Crazy,7,31 July 2020,"""The Assistant"" is either going to captivate you or bore you to hell. Sometimes it can do both at the same time.Julia Garner plays the eponymous assistant to some big-shot movie producer who we never see (though the film is clearly based on Harvey Weinstein, or at least on people like him and the environments that produce people like him). She gets to the office before the sun rises and spends her day cleaning out garbage cans, answering calls from his pissed off wife, managing his schedule, probably cutting his fingernails, changing his catheter, hell I don't know. Whatever she's doing, she looks like she wants to crawl into a hole and die while she's doing it. She puts up with the job because she wants to break into the movie biz herself, which we find out when she levels a half-assed complaint about sexual harassment (not of her, but of a newly hired girl) to the HR manager, who basically tells her to suck it up and deal with it because that's how the business works. I'm sure this is exactly how the business works, and I'm sure that's exactly how it's allowed to go on working the way it does. I felt bad for this girl in the abstract because it sucks that that's the way things are. But I felt sort of frustrated by her too, because who would go into something like the movie business and expect it to be any other way? Nobody gets the money and power that goes along with movie business fame without doing some sleazy things along the way. That's just the way it is, and how much sympathy am I obligated to feel for this privileged Northwestern grad who's getting a chance that fewer than 1% of people ever get?This is a really well made film though. It's expert at creating an environment of creeping dread out of a setting that's otherwise completely mundane.Grade: A-",The Assistant
6,blanbrn,Slow moving and slow paced movie that lives in the moment of being trapped in the system and the wanting for escape and freedom is felt.,6,21 May 2020,"Everyone now knows with the ""Me To Movement"" workplace and sexual misconduct awareness has become the norm as the need and want of having the courage for women to report is the norm. This film ""The Assistant"" is an okay take and look and these themes as it's central character Jane feels trapped and calls for cries of help while facing a good old boys system. The film moves in a slow and in the moment pacing as it follows one day in the life of Jane(Julia Garner) who as a recent college grad has hopes of being an aspiring film producer, and maybe has landed her apparent dream job as a temp or understudy to a powerful entertainment executive. However as the job and tasks go during the day it's plenty of work from cleaning, to booking appointments, to setting up client schedules only Jane grows to the norm of being overworked as she sees the underbelly of abuse she decides to speak up. Only it's like fighting a powerful me against the world good old boys system. Really this film is a take on how the powerful get away with abuse and really silence their understudy.",The Assistant
7,lasttimeisaw,Cinema Omnivore - The Assistant (2019) 7.4/10,7,14 March 2021,"""Green's strategy, not audience-friendly, but totally chimes in with Jane's grunt-level existence in the company, but felicitously, do we really need to see those sordid goings-on with our own eyes? We shall all be thankful to Green for being so considerate in her approach, because such a canker, condoned systemically by the industry and beyond is better limned as this immaterial, omnipresent force of vileness, penetrating every couch and behind every closed doors in every office and hotel room, it is everywhere therefore it must be put paid to.""read my full review on my blog: cinema omnivore, thanks",The Assistant
8,MOscarbradley,Deeply unsettling and unlike any other movie you will see on sexual abuse.,8,3 September 2020,"Following on from the Harvey Weinstien scandal and other instances of sexual abuse and harrassment by the rich and powerful I'm sure movies like ""The Assistant"" are going to become more common place but I doubt if many of them will be this strange, this unsettling or indeed this good. Although fiction, ""The Assistant"" looks and feels like it could be a documentary and Kitty Green, whose first feature this is, does indeed come from a documentary background.The assistant of the title, (a beautifully subdued Julia Garner), is a young woman employed in the New York office of a media mogul, not just as a kind of secretary, but as someone to clean up, (literally), the mess (literally), that her boss leaves behind and to take whatever verbal abuse he dishes out. She is safe, it would seem, from sexual harrasment because, as she's told, 'she's not his type'. The boss himself is never seen on screen.This is a genuinely frightening film that goes beyond what has come to be known as the #MeToo Movement. It paints a horrifying picture of what powerful people can do to subordinates given the chance, (I know because I too worked with such people but I, at least, had the balls to stand up to them...and not get fired). What distinguishes Green's film is that she never over-dramatizes, (if anything, she holds back almost to the point of boredom), uses actors who are not well-known to us, (a magnificently obsequious Matthew Macfadyen is the best known person on screen), and films it, not as a clammy thriller, but as a fly-on-the-wall slice of life. There is none of the triumphalism of ""Bombshell"" on display here, just the chilly feeling that an unseen monster is lurking out of camera shot and destroying the lives of everyone around him.",The Assistant
9,Cineanalyst,Drudgery,3,27 July 2020,"""The Assistant"" is a thoroughly realistic depiction of a day of office work. So, it's incredibly dull. Following the eponymous assistant around, as she performs menial tasks, nothing more interesting than watching someone answering a phone, writing emails, taking a break at the water cooler and washing dishes happens for half the movie. Even then, all we're offered is an ambiguous sermon on workplace abuse and ethics and sexual power dynamics, as the assistant faces backlash from going to the Human Resources department over her suspicion that her boss is having extramarital affairs and trading women employment for sex--although even that much she finds herself incapable of explicitly stating, as does the movie. That the assistant is played as a milquetoast compounds an already tedious scenario that's paced slowly. Had I known that ""The Assistant"" would be such a muddled message movie overrated by critics and to not really have anything to do with filmmaking despite the office being for a movie studio, I would've rather just seen ""Bombshell"" (2019) again.",The Assistant
