,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Don Knotts is magic...,8,23 March 2010,"Tobey Maguire and Reese Witherspoon play brother and sister who are high school students in the present day (though they were 23 and 22 when they made the film). While you have no idea WHY, Don Knotts (yes, Don Knotts!) plays a magical TV repairman who gives them a bizarre looking remote that somehow transports them into a TV show that Tobey loves--""Pleasantville"". They have no idea why this occurred or if it will ever end or if Knotts is god, but oddly neither questions this new world that is literally in black & white like an old episode of ""Father Knows Best"". However, unwittingly, their presence with their modern sensibilities and notions causes this seemingly idyllic world to start to slowly come apart at the seems. Notions such as freedom to choose, sex and individuality are missing in this world--and the two interlopers bring this to the plastic world of Pleasantville.By the way, Pleasantville is odd in many ways. First, all roads in town lead right back to town and no one has ever left the town or knows anything about the world outside. Second, books are blank inside and the people have no idea about what they contain. Third, when there is a fire, the fire department actually has no idea WHAT a fire is--they are only used to things you might see in the TV world--such as rescuing cats stuck in trees. In fact, how Tobey is able to finally convince the firemen to come to his house when there is an actual fire is pretty funny. There's a lot more that is strange about the town and it gets stranger when the influence of the two outsiders slowly causes actual colors to begin appearing in the monochrome world.The film is a strange surreal sort of thing that is truly unique. Using colorization techniques, they are able to achieve amazing results that seem to jump off the screen. It's all a metaphor about how the idyllic life of 50s TV was actually quite stilted and repressive, though Maquire and Witherspoon's life in the real world isn't exactly great either--their parents are divorced and Witherspoon is, to put it nicely, a bit shallow and slutty. A happy medium would sure be nice--combining the best of both worlds--and I think this is a valid interpretation of the film's intent. Where exactly it all goes and the unexpected consequences are something you'll just have to learn about yourself, so watch the film.Overall, a rather interesting and innovative film. It was nominated for three Oscars and deserved kudos in these departments--for sets, costume design and music. While I wouldn't put it in the category of must-see, it is interesting and worth seeing--even if the ending is a bit too drawn out in some ways. The only real misgiving I have is the way SOME might see the film and come to the conclusions that the 1950s were all bad and repressive--a rather oversimplification of the era, to say the least. This era, like all in our history, had its good and bad points and I worry that such a revisionist view of our past will be believed by young people seeing this movie--especially since films such as this are the only way most teens get their history. I know, as I've taught US and World History--kids are THAT gullible...really. I can't really blame the folks from ""Pleasantville"" for this lack of awareness in teens, but it did concern me as I watched the film.By the way, one thing I liked about the film was the courtroom scene and William Macy's acting. While he said very, very little, his face showed so much expression--now THAT'S acting!",Pleasantville
1,bkoganbing,"The Color Of Life, The Joy Of Life Is It's Diversity",10,6 March 2008,"One of the most charming fantasies ever put on film was what Gary Ross did in the film Pleasantville. It's subtle message about tolerance for diversity ought to be required viewing for those of us who make public policy and influence public opinion.Television of the Fifties seems to have fashioned an image of the American family that permeates our political views and social mores right down to today. Not that families were any better or worse during the Fifties, but the image that television created with families from Ozzie and Harriet, Leave It To Beaver, Father Knows Best, right through to the Brady Bunch seem to set impossible standards. Including a favorite of mine, the Donna Reed Show which I believe was the model for the Parker family in Pleasantville. Starting with your's truly, I don't know anyone who had an upbringing like in a TV family.Tobey Maguire and Reese Witherspoon play a pair of current teens who don't have the greatest of home lives. Maguire is a nerdy kid and Witherspoon is a very serious version of Kelly Bundy who thinks if she sleeps around, she'll be popular and hasn't much interest in education.One night while Witherspoon is running late for a date and Maguire is getting ready for a marathon showing of the popular Fifties family comedy Pleasantville the remote breaks down. As if by magic, a TV repairman played by Don Knotts shows up with a very special remote. As Witherspoon and Maguire fight over the remote by magic they are transported into the television set and become part of the self contained universe of Pleasantville. Oh, and they are in black and white as the show was taped back in the day. So with their new identities from the teenage kids of the Parker family with ideal mom and dad Joan Allen and William H. Macy, Maguire and Witherspoon seek to adjust to a new life in television land. But just the introduction of these two into this well ordered universe changes things, first in the most subtle ways and then as both realize the problems with this world in more direct ways. As the change comes, color comes slowly creeping into the black and white images. Pleasantville got Oscar nominations for Art&Set Design, Original Score, and Costume Design unfortunately not winning any. However it won Saturn Awards for Tobey Maguire and Joan Allen for Best Actor and Supporting Actress in a Science Fiction film. I prefer to think of it as a fantasy rather than a science fiction film, though I can see that science fiction certainly influenced the creation. It combines the best elements of a Star Trek TNG pair of episodes involving Data and LeForge with a holodeck character based on Professor Moriarty and how he's dealt with and an original episode involving Kirk and Spock and some of the rest of the crew landing on a planet where the philosophy of a former sage named Landru is enforced vigorously. There's a bit of the Stepford Wives here as well.In fact in the role of the head of the Pleasantville Men's Association is J.T. Walsh in a farewell performance. Such things that don't fit his ideas and those of an influential few are just not permitted in their paradise. Pleasantville is also the last big screen appearance of Don Knotts, an interesting choice for the TV repairman as he was a regular on the most wholesome Andy Griffith Show.Pleasantville is one of the best films of the last decade of the last century. It illustrates that humanity's real strength is in its diversity and how we respect that diversity. It's what brings out the best in the human character, in the human spirit.",Pleasantville
2,SnoopyStyle,cute gimmick turns funny turns profound,8,27 August 2015,"David (Tobey Maguire) is a geek in high school. Real life is diminishing expectations, family divorce and no female companionship. He's obsessed with an old TV show Pleasantville. While watching a Pleasantville marathon, he has a fight with his twin sister Jennifer (Reese Witherspoon) and they break the TV remote. TV repairman (Don Knotts) shows up and give them a special remote which sends them into the show. They become George (William H. Macy) and Betty Parker (Joan Allen)'s kids Bud and Mary Sue. She's not happy until she sees her new boyfriend Skip Martin (Paul Walker). Bud is working at Bill Johnson (Jeff Daniels)'s soda shop. He falls for Margaret Henderson (Marley Shelton). The kids' interactions start changing the strange purity of Pleasantville and colors seeps into the world.At first, this is a gimmick that has some cute aspects. Don Knotts adds to that sense of a cheap laugh. It has some good fun with Maguire and Witherspoon budding head. Then the deeper profound message seeps into the movie. It is gentle and yet undeniable. A couple of times, I feared the movie would push too hard like calling the people ""color"". It manages to maintain some distance and follow through on the message without overpowering it. This is quite a film.",Pleasantville
3,Hitchcoc,"Give a Whole New Meaning to ""Colored Folk""",8,5 January 2017,"I enjoyed the creativity of this film. It gives us a look at what a shallow view of the world the ""Good Old Days"" is. There were no good old days. They were good days for people whose lives were financially stable or who did not face prejudice or benefited from being viewed correctly by the populace. When the kids pass into Pleasantville, they come upon a TV world of 50's and 60's sitcoms where everything is vanilla (actually black and white). As the kids begin to sow their oats and the fabrics of this fantasy world begins to buckle, people who rebel or move against the status quo start to become brightly colored. When teen sex and other acts of rebellion begin to be embraced, there is more color. This is a provocative film. What I take issue with is something like a religion taking over a society to show it what is right. While those in the religious group think that what they are doing to other is correct, who are they to know? Some of the things that are taken in by the people of Pleasantville could be seen as anathema to their world and instead of an improvement, they may be destructive. However, this is not the total message because once back in the ""real"" contemporary world, there is still pain and sadness from the very issues that were foisted on the imaginary town.",Pleasantville
4,kosmasp,In jokes,8,29 April 2020,"As in being in on the joke ... no pun intended. And maybe some of the things will feel more relevant to some than to others. People who cherished certain tv shows and are aware of cliches. Also what a cast this has! Incredible and it shows in the final product.So while cliches may be torn down, some others may be satisfied in the same breath. So yes this is not flawless. But it is funny, while predictable, driven and with a clear aim/message. There are portions in black and white, which may shock and bewilder some - maybe even annoy viewers. But bear with it and you'll something uplifting overall and something that may be nice to see (even for cynics I reckon)",Pleasantville
5,classicsoncall,"""TV time! Remember, you're soaking in it!""",8,26 January 2014,"It's difficult to find movies with a completely novel concept one hasn't seen before, so in that sense, ""Pleasantville"" is one of the more original films you're likely to come across. Occasionally other pictures rely on the black and white/color dichotomy, but this one does so to present an interesting idea. When a person steps outside of their normal comfort zone in the picture, they transform from black and white into color. The concept is then turned on it's head when the majority (the b&w) start to turn on those who have experienced something new (the coloreds). I don't know if that was supposed to be an overt comment on racism or not, but I got that impression, similar to the way the issue of race was handled in the Loki episode of 'Star Trek' back in the 'real' Sixties.It was also pretty cool to see one of the Sixties' most memorable character actors, Don Knotts, in the role of the TV repairman. I'm glad they had his personality toned down as opposed to the brainless deputy Barney Fife he portrayed on the ""Andy Griffith Show"". What a neat way to make the transition from the 1998 (then) present to the decades earlier past. Reading some of the other reviews posted on this board, it's kind of comical to me to see how young present day viewers interpret a past they hadn't lived through and which they can't fully understand. Entertainment media in all forms has undergone a gradual transition over time and what once were taboo subjects for TV like the word 'pregnant', are almost unimaginable with the way anything goes nowadays. I'm reminded of my own son when he was only about eight years old asking me if when I was a kid, did everything exist in only black and white.",Pleasantville
6,gavin6942,Brilliant,8,13 April 2015,"Two 1990s teenagers find themselves in a 1950s sitcom where their influence begins to profoundly change that complacent world.This is a surprisingly strong role for Reese Witherspoon, who tends to be an overrated actress. If anything, she is actually underrated here for how well she made Jenny her own character. The appearance of Don Knotts is a great touch, and William H. Macy is wonderful as always.While a simple concept (kids getting sucked into the TV), the execution is a work of genius. Writer-director Gary Ross used this backdrop to explore race relations, the ""good old days"", changing cultures and mores... and exploring a range of ""right and wrong"". And underneath it all, it still remains a sense of humor and does not attempt to guilt trip the audience.",Pleasantville
7,lee_eisenberg,"Don Knotts, RIP",9,25 February 2006,"Don Knotts's death yesterday brings to mind his various roles. ""Pleasantville"" probably wasn't his most famous movie, but it's one that I would recommend to everyone. It portrays real-life teenagers David (Tobey Maguire) and Jennifer (Reese Witherspoon) getting transferred into a 1950's ""Leave It to Beaver""-style TV show. Aside from the fact that everything is black-and-white, David and Jennifer (now called Bud and Mary Sue in the show) have a hard time adjusting to a world of wives wearing fluffy dresses all day and gray flannel suit-clad husbands saying ""Honey, I'm home!"" But David and Jennifer's presence just might change everything.All that I can say is that it would sure be neat to experience this movie. More than just a goofy story, there's a clear reference to racism as colors start showing and everything starts changing. And the way that they use the song ""Take Five"" is also quite eye-opening. Great performances from the aforementioned cast members, plus Joan Allen, William H. Macy, Jeff Daniels, J.T. Walsh (in his final role), and even Jane Kaczmarek right before she got the role of Lois on ""Malcolm in the Middle"", make this one cool movie.",Pleasantville
8,jboothmillard,Pleasantville,7,19 September 2005,"When I first heard of this I thought it was some kind of horror film, but in fact it turned out to be an interesting drama comedy. Basically David (Tobey Maguire) and Jennifer (Reese Witherspoon) are fans of a popular TV show called Pleasantville and have a small fantasy together of being in a peaceful world like in the show. No arguments, no despair, just happy family life. When they get their wish granted by some unknown magic on the TV, they don't exactly approve at first. They have to get used to being part of the Parker family, George (the very good William H. Macy) and Betty (Joan Allen). After a little while of being in the TV show they start to effect the TV show being black and white. Because they are using emotions and actions that aren't usually in the show, other characters are and the town is starting to turn colourful because of it. Also starring Jeff Daniels as Mr. Johnson. It was nominated the Oscars for Best Art Direction-Set Decoration, Best Costume Design and Best Music for Randy Newman. Very good!",Pleasantville
9,rmax304823,People of Color,6,24 September 2002,"I didn't know where this movie was going from one minute to the next. It could have been written by Rod Serling while possessed by a Dybbuk. It has touches of ""A Short Walk"" and ""A Stop in Willoughby"" in it. But Serling, brought up in Binghamton, New York, usually saw the past as something regrettably lost. A kind of cultural childhood, a Golden Age, a period of innocence, rather like Spielberg. What are we to make of the clash of values that Bud and Mary Sue bring back to 1958 with them? Bud is happy enough to be in the black and white world of stability. (Stability? I mean obsessive-compulsive rigidity.) But Mary Sue runs around like a warthog in heat with nothing in her head except whatever impinges on her body sheath. And then there's this colorization gimmick. People change colors as they, well, ""evolve"" maybe. The kids' mother has her first orgasm (self induced) and a tree on the lawn bursts into colorful flame. She turns colored. Mary Sue begins to wonder, since she's been rutting with all the young studs in town, why she remains black and white, and Bud suggests that maybe it's not just the sex. Well then what IS it? It's not simply the capacity for change because Bud's already got his dose. At one point Bud tells a townsman that people get colorized because of something human inside them, something trying to get out, and he demonstrates his point by enraging the mayor (great performance by J. T. Walsh). But something has been trying to get out of the local soda fountain manager, Jeff Daniels, for a long time -- the desire to paint modern pictures a la Picasso -- and it finally does, but he remains black and white for a long time afterward. Cars turn color too, although something has been getting out of them fairly often. I'm stumped. Some of the incidents seem no more than arbitrary.The clash of cultures is interesting though. It's easy to make fun of the 1950s from our current perspective and this movie, unlike Twilight Zone, milks it for laughs. Married couples sleep in separate twin beds and never have sex. (They pollinate, I suppose.) Young couples go to Lover's Lane -- to hold hands. The books in the library are all blank because nobody reads or knows anything about life outside of Pleasantville. That last is a cheap shot, and untrue. Mary Sue, of all people, introduces them to reading and studying, and the books magically fill up with text and engravings. And it's a weak argument that claims we read more now than in 1958.Well, the two kids wind up colorizing everything and everybody and practically wrecking the town in the process. It's supposed to be an improvement, but is it? The black and white townsfolk were dumb but happy. Now they get into fights, insult one another, trash art works they don't like. They screw like minks before they're married. One can imagine what this does to the crime rate and the teenage pregnancy rate -- and taxes. (Is this what been trying to get out of them?) Sure, it was oppressive in the 1950s. We can see that now -- all that conformism and complacency. Is it less oppressive now? Perhaps not. Perhaps we don't recognize the strictures we live under because we take them for granted. We may be in the same position as the guy Mark Twain mentioned who suddenly realized he'd been speaking prose all his life. From inside the box, the commonly accepted assumptions, we seem to have a good deal of freedom to do what we want. The good folk of Pleasantville felt the same way -- and this movie treat them as airheads.I want to mention something about the score. It insinuates anachronistically Dave Brubeck's ""Take Five"" into one of the scenes, rather prominently. This is followed, again anachronistically, by a piece from an album I revere, Miles Davis's ""So What."" I'm glad that it wasn't drilled into the viewers' ears in 1958 because it's unforgettable. How easily it could have become a stock piece, like R. Strauss's ""Also Sprach Zarathustra"" from ""2001: A Space Odyssey,"" or the last movement from Beethoven's Ninth Symphony. I can almost hear it now, playing over and over and over on all kinds of TV commercials for shampoo, kitchen cleansers, pimple removers, and condoms. It may be hard to tell but I kind of enjoyed the movie, although it left me as much puzzled as satisfied. Joan Allen's performance is the only one with true depth; Macy is always interesting but his part gives him less to do. The kids are routine, except for the momentous 1950s bosom Reese Witherspoon has to strap on. Jeff Daniels fits his role as a reasonable but timid person very well. The only role in which I can remember his displaying energy was that of Joshua Chamberlain in ""Gettysburg."" Rod Serling didn't always have a perfect answer for his longing for the past either, but I usually felt it was the result of ambivalence on his part, not, as here, confusion.",Pleasantville
