,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Fast and furious,6,30 September 2018,"12 STRONG is another Middle Eastern war epic, following on from the likes of LONE SURVIVOR and 13 HOURS. This one sees a typically rugged Chris Hemsworth playing alongside an introspective Michael Shannon as the leaders of a small squad of specialist soldiers who head into Afghanistan to help fight the Taliban after 9/11. They join up with a local warlord to take part in some skirmishes in the mountains. This film's strength lies in the quality of the action sequences, which are briskly directed with a maximum of firepower and pyrotechnic effects. The explosions have never looked so real or hard-hitting. The story is simplicity in itself and the characters little more than walking heroes, but this is fast and furious viewing that delivers on its promises.",12 Strong
1,SnoopyStyle,old style war movie,6,18 April 2018,"Captain Mitch Nelson (Chris Hemsworth) had gotten a desk job for his family. When America is attacked on 9/11, he pushes to retract from his reassignment to lead his men into the fight against the Taliban in Afghanistan. Hal Spencer (Michael Shannon) is his veteran Chief Warrant Officer. The squad of twelve men joins one of the competing Northern Alliance leaders, Dostum.This is old style patriotic militarism and it does it well. Hemsworth plays the blonde godlike hero. There is plenty of war action. My biggest complaint is the constant need to get Mitch in the middle of the gun battles. Dostum is needlessly reckless to the point of suicidal. The fighting is geared to be cinematic rather than being realistic. They literally walk into traps more than once. There is one scene where dozen of men carry their weapons offering to surrender. For some unknown reason, the Americans stupidly walk out of their fighting positions into exposed ground. It makes the Americans look bad to do something so dumb. A better way is to have one child soldier surrendering and then set off the booby-trap. This is much more an old style action war movie rather than a deeper portrayal of modern war.",12 Strong
2,boblipton,Nor Border Nor Breed Nor Birth,6,21 February 2021,"It's one of those movies about men who get the job done, with plenty of guns, ammo and riding around Afghanistan and Uzbekistan on horses. Chris Hemsworth takes a break from playing the Mighty Thor to playing the leader of the first Special Forces unit deployed to Afghanistan following 9/11, with a lot less humor to indicate his fierce determination to accomplish his mission and get his men home. Rasmus Videbæk's camerawork is excellent, although the darkness in the print, which is he way they indicate a risky situation, may be a little too much for your taste.With Michael Pena and Michael Shannon, ad a lot of men who say their lines sowly to indicate their gravitas.",12 Strong
3,nogodnomasters,The only way home is winning.,6,9 April 2018,"This is based on a true story about 12 Green Berets who were among the first in Afghanistan. There job was to hook up with a warlord and take out the Al Qaeda/ Talban using the terms interchangeably. The group is lead by Chris Hemsworth who never had any combat experience and doesn't speak Pashtun. He is to keep the Northern Alliance together while fighting Al Qaeda tanks on horse back with 11 other guys. Chris Hemsworth was underwhelming in his performance. Rob Riggle is a comic. His role as a Colonel was a miscast. Michael Peña did a good job among a bunch of phoned in performances. They attempted to build things up but the intensity just wasn't there. It was interesting in what they did and how they did it, indeed very heroic. What was anti-climatic was that they just won a battle in a never ending war where America has gone from liberator to occupier. Guide: F-word. No sex or nudity.",12 Strong
4,kosmasp,Strong as ...,7,11 October 2020,"War movies are not always easy to make and even tougher to watch. And when they are based on a real story/persons, some may feel even more inclined to be careful. I'm not aware of the full story, so I can't really tell you if the movie is close to what actually happens. Although to be fair, it would be an account from people involved and there probably would be some exaggeration or forgetting certain things.Having said that, what we do see here, is patriotism, but also heroism. Now you may be a bit careful when it comes to those things, but if you can suspend your disbelief enough to watch this, this is suspsensful enough and carries through to the end. Good action and a few one liners complete the picture ... not great, but quite decent",12 Strong
5,ma-cortes,"Nail-biting and thrilling film with spectacular warlike feats , frantic action , emotion and breathtaking battles",7,23 August 2020,"Acceptable War film based on the book ""Horse Soldiers"" , renamed ""12 Strong"", upon the pic's release written by Doug Stanton, concerning a motley team led by captain Mitch Nelson and his squadron who carry out a suicide mission behind enemy lines . Chris Hemsworth assumes the main character as commando leader in this ordinary wartime movie competent and professionally directed .12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11 ; under the leadership of a new captain , Mitch Nelson (Chris Hemsworth married in the fiction and really to Elsa Pataky) and officer Hal Spencer (Michael Shannon) along with the valiant team (Michael Peña , Trevante Rhodes , Geoff Stuffs , Thad Luckinbill, Austin Stonewell, among others) must work with an Afghan warlord called Gen. Dostum (Navid Negahban) to take off the bloody Taliban army by providing the necessary information to US bombers -the B-52s making the bombing run are from Barksdale AFB, Louisiana to Afghanistan- to execute massive air attacks against enemy . All of them under-commanding from Colonel Mulholl (William Fichtner) who as Delta Force leader provides them information enough about targets to attack and subsequently they take over the country and defeat the Taliban enemy , allowing other Special Forces and the rest of the conventional military to go on their long war against the fanatic enemies . On September 11, 2001 the world watched in terror . On September 12, 2001 they volunteered to fight.The Declassified True Story of the Horse Soldiers . Inside every soldier hides a warrior.This is an entertaining and epic film concerning the true Story of the Army's Special Forces ""Green Berets"" , with Chris Hemsworth as Captain Mitch Nelson , he is a tough officer along with the ordinary team of brave US soldiers whose mission is to pull off an extremely dangerous assignment : to take down the Taliban and destruction the enemy position , as they are tasked by being transported by Chinook helicopter along the Afghan territory . As Chris/Mitch training and commanding a group of awesome and eclectic soldiers for a dangerous assault on the mountainous far desert . In the hands of hardboiled director Nicolai Fuglsig and a tough-as-leather cast , that's all the plot that's needed to make one rip-roaring wartime flick . The movie is based on Doug Stanton's non-fiction book ""Horse Soldiers"", with interesting screenplay by Ted Tally who long time ago wrote the successful ¨The silence of the lambs¨, which tells the story of CIA paramilitary officers and U.S. Special Forces personnel in addition to USAF Combat Controllers, sent to Afghanistan immediately after the 9/11 attacks . This moving film packs frenetic thrills , perilous adventures , choreographed crossfire , sneering evil enemies , and buck-loads of explosive action and violence . However , it doesn't matter what they are after , because the point of the film is not to educate spectators about actual facts that their textbooks didn't cover , but to amuse people with an outrageous story , kinetic stunts , relentless feats , blowing up and goofy physical action . The noisy action is uniformly well-made, especially deserving of mention the rip-roaring final scenes on the defile , including some spectacular shootouts , bombing and explosion . Apart from the values of team spirit , cudgeled by Chris/Mitch and his two-fisted squadron , the film is full of feats , suspense, intrigue and thrills . Highlights of the movie are the impressive and overwhelming horse raids carried out by the valiant ¨Horse Soldiers"" .This film belongs to the mini-genre dealing with the revenge carried out by the US that within weeks responded to the 9-11 attack, such as : ¨Seal Team Six: The Raid on Osama Bin Laden¨ by John Stockwell and ¨Zero Dark Thirty¨ by Kathryn Bigelow . It displays a colorful and attractive cinematography by Rasmus Videbæk . Shot on location in Afghanistan , Uzbekistan , Mines Near Orogrande , Socorro,New Mexico Alamogordo, New Mexico, Santa Clarita, California, and much of the filming took place near White Sands Missile Range . As well as rousing and moving musical score by Lorne Balfe . Lavishly financed by the great producer Jerry Bruckheimer , an expert on Blockbusters , in fact its is Jerry Bruckheimer's second film to be released by Warner Bros Pictures and being well made by Nicolai Fuglsig in his only film . Rating : 7/10 . Better than average. The motion picture will appeal to Chris Hemsworth fans and Warfare buffs .",12 Strong
6,tavm,12 Strong was quite a compelling military drama concerning events happening soon after 9/11,8,15 February 2018,"Just watched this with my movie theatre-working friend. Based on a true story of what happened in Afghanistan as American military men were deployed there, I admit to not always knowing what was going on but when the bad guys got it, well, it was quite thrilling to watch, that's for sure! I actually wouldn't mind watching this again, if only so I could understand more about the logistics of getting in and out of the battles so quickly. So on that note, 12 Strong is very much worth a look.",12 Strong
7,bevo-13678,Bombs,10,8 September 2021,I like the bit where he had trouble getting off the horse.,12 Strong
8,CinemaSerf,Just don't look at this too closely....,6,27 June 2020,"Though this is certainly a well crafted piece of cinema, the narrative is riddled with inconsistencies that frankly put this on the borderline between fact and propaganda, That's not to decry the considerable bravery and achievements of the battalion sent to assist local tribes in their battle with an incredibly well armed Taliban; and were this just to be treated as an action adventure film on that basis then it's long, but quite watchable. It isn't though - and as such comes across as a confused, rather gung-ho, interpretation of facts that don't really stand up to too much scrutiny if you have even the faintest soupçon of knowledge as to the political situation prevailing in war-torn Afghanistan at the start of the 21st Century. Neither Chris Hemsworth nor Michael Peña bring much to the party from a performance perspective and though the photography (New Mexico) does give us some sort of indiction as to how remote and bleak the territory is; this is just a rather poor war film about a more recent war, with some good effects.",12 Strong
9,grantss,Weak,4,14 December 2018,"After the tragic events of 9/11, the US determines that the Taliban in Afghanistan is the source of many of the attacks on US citizens and assets. Their first step in confronting the Taliban is to send in Special Forces teams to link up with the Northern Alliance, the enemies of the Taliban, help them in their fight against Taliban, including through coordinating air support, and reduce the Taliban's territory. The first team ""in country"" is Operational Detachment Alpha 595, lead by Captain Mitch Nelson. The 12 of them face overwhelming odds. This is their story.War movies generally fall into one of two buckets. First is the engaging, plot-and-character based, realistic, gritty type, e.g. Saving Private Ryan, Platoon. Second is the superficial, gung ho, all-action and nothing else type, e.g. this movie.Quite weak, formulaic and lacking in substance. From the outset the clichés start to flow and they never let up. The attempts at engagement are so badly done - the trite family life scenes, the clumsy attempts to create some sense of camaraderie - that you already know the director isn't much good and this isn't going to go well. Anything that's not a battle scene is generally eye-rollingly bad.The battle scenes, however, are quite well done and prevent this movie from being a total waste of time. A bit over-the-top at times but still interesting viewing.Overall, give it a miss. This is not to detract from the bravery and achievements of the actual ODA 595, whose feats are worth capturing in a film. Just not this film. They deserve better.",12 Strong
