,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,An amazingly polarizing film--you'll either love it or hate it,8,3 September 2007,"The story is about the lamest group of super-heroes you could imagine. Apart from Janine Garafolo's ""Bowler"", the rest are amazingly untalented and unimpressive as they try to battle the dark forces of an evil super-villain, ""Cassanova Frankenstein"". The only one who COULD defeat the bad guy is ""Captain Fantastic"", who unfortunately was captured by Cassanova and the Mystery Men are forced into action.I loved the many quirky characters in the film. My favorite was the ""Blue Rajah"" (played by Hank Azaria). The fact that he dressed in green and tossed spoons (not even forks or knives) at the beginning of the film AND lived with his mother made him a hoot. But the rest were all quirky and silly--making the film a wonderful little comedy.Of all the films I have ever watched, this seems to be the one with the most polarized reactions to it (even more so than THE HUDSUCKER PROXY). When I first saw it, I loved it and couldn't wait to get others to see it. Surprisingly, again and again, those I watched it with hated it! And over the years, I have met many people who either loved it or hated it--not many in between.Unfortunately, I really can't say whether or not you will like the film. Those who I know that did were all weird people (like me) and it seemed that the more conventional people just thought the movie was stupid. So depending on which camp you'd place yourself should determine whether or not you give this a try.",Mystery Men
1,Leofwine_draca,Misfit superheroes in a lame comedy,4,13 October 2011,"I'm not sure why I watched this, as I hate a lot of comedies and I'm sure to avoid the kind of films that Ben Stiller makes in particular. But I do try and watch superhero films, and the synopsis of this one sounded interesting, to say the least: a group of would-be crime-fighters, with pathetic superpowers, attempt to beat an arch villain. There's a premise with potential, if nothing else.Sadly, what I ended up watching was a heavily sanitised Hollywood film with an oh-so predictable outcome: that by working together and putting faith in each other, this rag-tag group of misfits can end up winning the day. Literally every step of the film is signposted from the beginning, from Stiller's tired romance with an extraneous Claire Forlani to the bad guy's plans for world domination. Even worse, the humour sucks. One guy is flatulent, another guy thinks he's invisible when he's not, and the wit never goes any deeper than that.I realised, in the end, that I was watching a kid's film made on a totally undemanding level. It's a shame, because there are some fine actors appearing here, not least William H. Macy, Janeane Garofalo, Geoffrey Rush and Wes Studi, but in the end MYSTERY MEN is cheesy, dated and dull. It took another 11 years for a film to put some real bite into a superhero parody: watch KICK-ASS to see how this should have been done.",Mystery Men
2,SnoopyStyle,Spleen and Bowler funny,7,23 August 2015,"Mr. Furious (Ben Stiller), Blue Raja (Hank Azaria) and the Shoveler (William H. Macy) are rather incompetent superheroes of Champion City. They are rescued by the endorsement-obsessed Captain Amazing/tycoon Lance Hunt (Greg Kinnear). All the big villains are gone. When he loses an endorsement, Captain Amazing helps Casanova Frankenstein (Geoffrey Rush) get parole from the asylum in hopes of fighting him for the popularity. Tony P (Eddie Izzard) and the disco boys join Casanova and his psychiatrist Dr. Anabel Leek (Lena Olin) to reign terror in the city. Captain Amazing is captured by Casanova and Furious leads the group to try to rescue him. However the disco boys are too competent and the gang needs to recruit new superheroes. Invisible Boy (Kel Mitchell) can only be invisible when nobody is watching him. The Spleen (Paul Reubens) can fart at will rendering the target unconscious. The Bowler (Janeane Garofalo) has a bowling ball with her heroic father's possessed skull. The gang is rescued by the Spinx (Wes Studi) who can mentally cut guns in half. Doc Heller (Tom Waits) makes non-lethal weapons.There are two characters that are actually funny. The rest are deliberately quirky without being funny. Spleen is funny. Fart jokes will always work and Reubens is great at it. Garofalo is kinda funny at times. Her big contribution is that she makes others funnier especially Stiller. Furious is silly but not that funny until he starts arguing with Garofalo. The movie is too overloaded with characters. The concept is fun. When it hits, it's hilarious. Even when it misses, it's still kinda cute.",Mystery Men
3,kosmasp,It's not a mystery ... man (or woman or diverse),8,26 September 2021,"We're going with the time. I reckon the movie nowadays would not be called men ... but team. I mean there are not just men in the group so ... but before you go social warrior on the movie or me, be aware that the group contains a lot of people from different backgrounds. And while the main love story is a heterosexual one, that does not mean it knocks off or is unfair to anyone else. Having Eddie Izzard suggests quite the opposite, even if he is playing an evil character.That all aside, the movie works even nowadays. For some maybe even more so than back when it was released. A great group of actors comes together and they make a really funny movie. But apart from the A-cast as the director himself calls them, you have a lot of smaller roles that have really fun people cast ... one of the funnier ones is probably Michael Bay as Frat Boy (leader).Yes this makes fun of Superhero movies and you can like it even if you are a fan of said movies ... there is nothing that speaks against that, quite the opposite is true. One can enjoy both - a good superhero movie (or two or almost all of them) and still be quite fond of a spoof movie like this.Predictable but still fun ride, which is a testament to the actors and the overall funny script.",Mystery Men
4,classicsoncall,"""He who questions training, only trains himself at asking questions.""",7,29 October 2016,"I enjoy a good parody flick every now and then, and this would have been better if they kept the dopey juvenile stuff out of it. Paul Reubens in the cast with his gimmick was just asking for trouble; I was waiting for the zits on his face to move around like Marty Feldman's hump in ""Young Frankenstein"" and that didn't happen, so there was an opportunity missed. Hank Azaria as The Blue Raja and William H. Macy as the Shoveler were about the best the picture had to offer as they played their parts both ways, serious and funny.For old time TV and movie fans, let me pose a question - didn't the man under the Sphinx mask look like it might have been an aged Jay Silverheels? I know, he was long gone by the time this film came out, but that's the reaction I had. So I checked out Wes Studi's photo gallery here on IMDb and one can notice the resemblance.The thing that really surprised me in the story was how the evil Casanova Frankenstein (Geoffrey Rush) rigged up that vaporizer to reduce Captain Amazing (Greg Kinnear) to ashes, and he stayed dead! What!!?? That's not supposed to happen! Super-hero deaths are never supposed to be as certain as death and taxes, so I was shocked that no one thought of a way to reanimate his remains. Maybe in a sequel? Well, I don't know. I thought this would be a little better than it turned out to be, but I do appreciate some of the more clever gimmicks like Raja's silverware dexterity and the super-hero tryout routine. Seeing Louise Lasser as Raja's Mom once again was kind of neat too, doing a senior citizen rendition of Her Mary Hartman character. I guess if you're on the fence about watching this one, I'd have to say, 'What the fork, just do it'.",Mystery Men
5,lee_eisenberg,This may be the coolest superhero movie ever.,8,4 October 2005,"On one level, ""Mystery Men"" is kind of dumb. But on all other levels, it's a hoot. When superhero Captain Amazing (Greg Kinnear) is kidnapped by the lascivious Casanova Frankenstein (Geoffrey Rush), it's up to superhero wannabes Mr. Furious (Ben Stiller), The Shoveller (William H. Macy) and The Blue Rajah (Hank Azaria) to save him. Along the way, the group is joined by Invisible Boy (Kel Mitchell), Spleen (Paul Reubens), Baby Bowler (Janeane Garofalo) and The Sphinx (Wes Studi), all of whom provide some riotous lines.Among other things, this was the first place where I ever saw comedian Eddie Izzard (he plays Tony P., one of Frankenstein's henchmen). All in all, the movie is great fun. Don't get turned off just because the sets look a little bit like those from the god-awful ""Batman and Robin""; ""Mystery Men"" is really cool. It's one of a kind.",Mystery Men
6,jboothmillard,Mystery Men,5,21 July 2008,"I think what attracted me to this film more than anything else was the cast list, so obviously I wasn't concerned whether I'd like the film itself or not. Basically a group of wannabe superheroes: Mr. Furious (Ben Stiller) who can apparently get aggressive strength, The Shoveller (William H. Macy) who wields a shovel, and The Blue Raja (The Simpsons' Hank Azaria) who throws knives, forks and spoons, all no real powers, are ignored for real superhero Captain Amazing, real identity Lance Hunt (Greg Kinnear). But it is when the real superhero is kidnapped by recently released super villain Casanova Frankenstein (Geoffrey Rush) that they have the chance to be recognised. Before they do that though, they decide to get more wannabe superheroes, and they find The Bowler (Ratatouille's Janeane Garofalo) who has a living bowling ball (with her superhero dad's head in it), The Spleen (Pee-Wee's Big Adventure's Paul Reubens) who can create horrible stenches, The Invisible Boy (Kenan & Kel's Kel Mitchell) who can become invisible when no-one is watching and with guidance is The Sphinx (Wes Studi). Also starring Eddie Izzard as Tony P., Lena Olin as Dr. Annabel Leek, Claire Forlani as Monica the Waitress, Tom Waits as Dr. A. Heller, Louise Lasser as Violet (The Blue Raja's Mom) and Tomorrow Never Dies' Ricky Jay as Victor Weems. This is a lame comedy, little made me laugh, but that is probably the point, it might be more aimed at the kids. Worth watching!",Mystery Men
7,ccthemovieman-1,"Lightweight, Goofy & Fun",7,3 November 2006,"This was different, that's for sure. Just look at the cast! Talk about oddballs.William H. Macy and Ben Stiller were the stars, although a bunch of actors almost share the spotlight, in this farce about superhero-wannabees. The most outrageous was played by Paul Reubens of ""Pee Wee Herman"" fame.There is lots of humor, garish colors and no lulls. It's a pretty entertaining, lightweight comedy with nothing but goofy characters, all of whom want to be heroes a la Superman, Batman, Spiderman, you name. They have talents in strange areas, however, that the real heroes don't (and don't want to!). It's silly, but you know that going on.It's also a film you can watch in installments and not really miss any continuity. It's a long movie for one so hectic, so taking a break here and there is okay. The language was tame so kids could enjoy this, too. In fact, I don't recall any swearing in here, except the guy in the theater next to me who kept uttering, ""What a dumb, f---ing movie."" I thought it was fun two hours but I'd rather watch it on DVD and take a few breaks.",Mystery Men
8,BA_Harrison,It's a mystery.,8,30 September 2012,"I'll tell you what the mystery is as far as I am concerned: how a cool, extremely witty, and thoroughly entertaining movie like this one can fail at the box-office when far less worthy films not only make massive profits, but go on to spawn umpteen often inferior sequels. It does little to build my faith in humanity.For me, Mystery Men is two hours of sheer joy, with some incredibly funny lines of dialogue, excellent special effects, imagination to spare, and wonderful characters brought to life by a superb cast, my favourite performances of the whole film being from Wes Studi as The Sphinx, who continually spouts hilarious pearls of wisdom, and Geoffrey Rush as delightfully devious villain Casanova Frankenstein.Oh well, if the general public can't appreciate such a creative, quirky and innovative gem, it's their loss; I guess it'll be up to the select few with far superior taste to keep the flame alive...",Mystery Men
9,Quinoa1984,like the heroes...,6,29 April 2000,"Mystery Men is one of those goofy summer action comedies that no one wants to see even though you might say you want to.  Like the heroes, this movie has a lot of potential in It's entertainment, but It's undermined by a incredibly stupid story that only Lloyd Christmas from Dumb and Dumber on NyQuil could figure out.  The story is comic book-like (it was based on a real comic-book) that shows a bunch of outsider heroes who have to save the cities superhero Captain Amazing (palyed OK as Greg Kinnear).  These outsider superstarsb include Mr. Furious (Ben Stiller), Blue-raja (Hank Azaria), The Shoveler (William H. Macy), Janean Garofalo (The Bowler), Kel Micthel (Invisible boy), the sphinx (Wes Studi) and The Spleen (Paul Reubens).  To be honest, I find all these actors to be talented, but the only character I liked in this film was the Spleen who was played excellently by Ruebens in his comeback performance. Not all there, but at least it gives a effort.  B-",Mystery Men
