,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Nothing more than a rip-off,4,23 October 2018,"I did get a chuckle when I saw another reviewer calling this a film with ""some originality"". It's nothing more than a straight-up rip-off of the interesting Thai flick 13: GAME OF DEATH, albeit with a teen-friendly rating and a young adult feel so that you know things are never going to get too explicit or disturbing. The most interesting thing about this one is the commentary on the Internet age, which comes as little surprise given the directors are the guys behind CATFISH. Sadly, the plot itself is meandering and overlong, interesting during the set-piece challenges but entirely routine otherwise. The film loses points for starring the vapid Emma Roberts as the lead, a totally unlikeable and insubstantial figure, and Dave Franco isn't much better either. Sadly it takes more than decent direction to make a good film, and NERVE falls at the first hurdle.",Nerve
1,SnoopyStyle,fun until ending,6,30 March 2018,"Vee Delmonico (Emma Roberts) is excited to be accepted to a college in California. She is concerned about leaving her mother (Juliette Lewis) behind in Staten Island after a family tragedy. Her best friend Sydney (Emily Meade) shows her an underground internet game called Nerve. Participants are divided between players and watchers. Players do dares for money and watchers pay to watch the players on their 24 hour adventures. After being embarrassed by Sydney, Vee decides to play. Her first dare is to kiss a stranger and she picks Ian (Dave Franco). They are then dared to partner up on an exciting journey into the city.The premise, the style, and the actors make a fun, thrilling action adventure in the city. There are little problems that can be overlooked for the most part. The conclusion is key and it does certain things to wrap it all up too neatly. It takes the fun dark web idea and slaps on a Hollywood ending. Overall, it was fun while it lasted.",Nerve
2,Horst_In_Translation,"Starts off okay, but quickly turns into a huge mess",4,22 September 2016,"""Nerve"" is a 95-minute thriller from this year that is based on a novel by Jeanne Ryan. Jessica Sharzer (""Speak"", ""American Horror Story"") adapted the work for the screen and the directors are Henry Joost and Ariel Schuman, both known mostly for ""Catfish"" so far. The lead actress is Emma Roberts and the only other cast members I knew in here were her co-lead Dave Franco, brother of James, and Juliette Lewis playing the main character's mother. Most of the cast, also because of the subject, are pretty young aspiring actors that do not (yet?) have a big name. I kinda liked Emily Meade (even if the friendship story between her and the main character was one of the weakest parts of the film) and I can see her having a good future in film. But let's look a bit at the now and this movie. It is a take on Big Brother with a mix of ""Hunger Games"" and an ounce of David Fincher's ""The Game"", so if you hear all this you already know it is a mostly dark take on the age of surveillance. Here we have a young woman who gets told by her best friend that she just isn't taking enough risks to lead a fulfilling life. So she agrees to join in a virtual reality game called ""Nerve"", in which she gets watched constantly by thousands of people while she has to fulfill quests. These quests quickly get her to join forces with Franco's character.And from that moment on, the two are out there together and the Watchers see them and hope for them to start a relationship. There is some situational comedy in this film and this was mostly working well. But sadly, in stark contrast to that, the real core of the film was not working for the most part. I am referring to the dramatic thriller sequences. They start off okay, but the script is quickly lost in a whirlwind of desperate attempts to become more controversial, more shocking and more relevant. The social commentary/criticism, which is what the film really is all about, also with a reference to our world, becomes complete garbage at some point and lacks realism entirely. One major problem is Roberts' main character. In one scene, she is scared to step on the motorcycle, in the next she accelerated the bike with her driver blindfolded. A rush of adrenaline cannot explain that. Same can be said about the ladder climbing scene. Let's not forget: This film takes place over the course of one evening/night and I just refuse to believe a character would change like that from one second to the next on all these contradictory occasions.At some point, I felt the film really went for nothing than shock value and it was very empty and irrelevant as a consequence. Police won't do anything to stop the hosts of the game, even after a kid died earlier and probably more did if we are taking into account all the risky action. But a teenage boy and his pals can hack into the system and send messages that call everybody an ""accessory to murder"". This was maybe the most embarrassing moment, even if the idea about ending it at the very end felt very false as a whole. And why would everybody, even the ""bad"" guy, know about her plan, but Franco's character, the one closest to her, would not know? There were just so many scenes that did not make any sense at all in the second half of the film. Emma Roberts did not impress me at all. Sure this is a film that is much more about the story and plot than about individual performances, but I was shocked how irrelevant her character and performance felt throughout the entire film. A more gifted actress certainly could have elevated the material and her speech in front of the crowd at the very end was nothing special either, more on the cringeworthy side. Franco, a fairly mediocre actor himself, looked really strong next too her. And Juliette Lewis? Oh well. I felt almost sorry for her about what they gave her in terms of the script. The character added absolutely nothing at all, but that's not Lewis' fault, just because of the way she was written. Apart from that, I refuse to believe that the crowd would really want a certain character here to die. First of all, humans aren't that cruel. Second of all, we were led to believe they loved her immediately the moment she entered the game. Make up your mind filmmakers and please don't give me the argument of people's opinions changing fast.Okay, enough said. I am fairly disappointed here. This was definitely a missed opportunity. The film showed some solid premise early, but it quickly turned into a huge mess. I am actually glad it was relatively short and did not get any closer to the two-hour mark. I have not read the book this is based on, so no idea who is to blame and if the base material is also really weak, but if not, then I cannot image Ryan being too happy with the way this turned out overall. I just hope they don't get the idea at some point to make a sequel here. This original was already underwhelming enough. I certainly do not recommend the watch. The longer it went, the worse it became, also with the ridiculously bad rushed-in happy ending for everybody. Stay away from this film.",Nerve
3,nogodnomasters,Are you ready for your first dare?,8,16 October 2017,"Vee (Emma Roberts) and Sydney (Emily Meade) are besties. Sydney plays an on-line game called ""Nerve."" It is like truth or dare except there is no truth. You pay to watch and you get payed to play, taking the dares of the watchers. Sydney coaxes Vee into playing and Vee quickly becomes more popular than Sydney as competition across NYC escalates to the point of being criminal.The characters were very good and the film has a message about the responsibility that the viewer has, although that didn't play into the film until the very end. The production is aimed at people half my age. It is much better than a bunch of the cyber BS that is out there. So if you have grown weary of watching big foot found footage films and the cinnamon challenge on U-Tube, try this out.Guide: No F-words that I recall. No sex. Emily Meade shows her butt on a dare.",Nerve
4,kosmasp,Nerve-wrecking,7,22 January 2017,"Or something along those lines. For some this may feel very boring, but others may actually enjoy this. It depends if you buy into the ""high concept"" of the movie. The one shot idea if you want to call it that. The actors are doing a really good job conveying their feelings and the dread they are experiencing.This is not the first movie to use an idea like this. But it's the most tech savvy (up until the end that is, which is at the very least questionable) one up to date. If you are into this kind of thing you will be entertained enough. The question you have to ask yourself is, if you are just watching ... Well the disc and it's extras do ask you that. The Behind the scenes stuff is on the Watcher tab, the Dare tasks are on the Player tab. So there is more to the movie experience than just watching it",Nerve
5,lee_eisenberg,play if you dare,5,30 December 2016,"I was surprised to learn that ""Nerve"" is based on a book. This story of an online game that forces the players to engage in dares is something that's hard to picture as a book. As a movie, it's OK not great. Mark my words, the scenes where people perform the dares are some intense scenes, but the ending was a little flat. If there's anything that we should take away from the movie, it's that spending all one's time on an online game can be dangerous (never mind the fact that people can use those games to collect your personal information).So, it's not my first recommendation if you're looking for something to watch.",Nerve
6,studioAT,Learning to hold your nerve,5,3 January 2017,"'Nerve' is one of those films that quietly went under the radar at the cinema, but seem to catch on via word of mouth.Truth is it's a decent film, inspired by a YA book. It also acts as a vehicle for up and coming talents such as Emma Roberts and Dave Franco, who both give good performances.Roberts in particular shines in every scene, and it is her character of Vee who goes through the biggest journey throughout.The plot doesn't hold up to much scrutiny, but it is an action packed film, that proves entertaining.If you can stomach the fact that it's really just people doing lots of irresponsible things then you'll enjoy the film. Parents thinking of letting their teens watch it should be wary though.",Nerve
7,neil-476,Moderately original,7,23 May 2018,"Responding to provocation from her more adventurous best friend, Vee becomes a player in online game Nerve, in which Players undertake challenges set by subscribing Viewers, performing via live phonecam videofeeds, for cash rewards. But it doesn't take long for the challenges (starting at the relatively innocuous ""Kiss a stranger for 5 seconds for $100"") to become downright hazardous.Despite a superficial resemblance to the 1997 Michael Douglas thriller The Game, this film is very much its own thing. Built on the internet tendency towards selfies and online gaming and disclosure of massive amounts of personal information, plus a leaning towards thrillseeking - we've all seen the sort of youtube videos embodying risk-taking - this film has a plausible set up and a believable escalation in the risks offered.It does, however, leave you wondering a bit about some of the later developments - how is Nerve run, why can't you get out of it, how are they able to apply certain sanctions? - which needed a tighter hand on the scriptwriting. These shouldn't have been questions that arose, let alone remained unanswered.Emma Roberts, credibly playing a character 10 years younger, does well and looks good in lingerie, and Dave Franco as her partner in crime is also fine.This is essentially an adventure thriller with mild suspense and little substance, yet it held my interest and entertained me throughout: there were some nice graphic flourishes which helped you understand how the game was progressing. Especially recommended if you are fond of taking selfies!",Nerve
8,anaconda-40658,Nerves a Plenty.,8,4 August 2016,"Nerve (2016): Dir: Henry Joost, Ariel Schulman / Cast: Emma Roberts, Dave Franco, Miles Heizer, Emily Meade, Juliette Lewis: The title not just references one's emotional heights, but it is the name of a sickening online game where people can either watch or participate in dares for which cash is deposited into their bank accounts if they succeed. This becomes dangerous as dares aim to riskier heights. Emma Roberts plays Venus, or Vee as her nickname says. She accepts based on the taunting of one of her friends who is popular as a result. Based on a kissing a stranger dare she ends up hooking up with Dave Franco. Together they end up running near nude through a department store. Franco drives blindfolded on a motorcycle while Vee plays his eyes and directions. They are appealing leads but much of their antics boarder on being corny and extreme. In supporting roles are Miles Heizer as Vee's male friend who is not impressed with her new daring relationship. He is a computer nerd concerned for the safety of his friend. Emily Meade plays her popular friend who feels her popularity fading when Vee's dare takes attention. This forces her into an extreme situation. Juliette Lewis is unfortunately underused as Vee's mother who works at the hospital. We learn that her brother died two years prior and that Lewis wants her to accepts a college near by. Two directors manage to sift through the lame stunts by presenting style and location work that carries a personality of its own. It takes aim at social media and everyone's obsession with everything wrong with society. Score: 8 ½ / 10",Nerve
9,FlashCallahan,Holds its Nerve........,8,28 October 2016,"For anyone who has seen the film 'Cheap Thrills' you will instantly recognise the story and the narrative, because Nerve is basically a big budget-ish remake of that film. Just with better looking people and lots is stunning visuals.What a Nerve.....High school senior Vee is tired of living life on the sidelines. Pressured by her friends, Vee decides to join Nerve, a popular online game that challenges players to accept a series of dares. It's not long before the competition requires her to perform increasingly dangerous stunts. When when the game takes a sinister turn, Vee finds herself in a finale that will ultimately determine her entire future.......The first thing that stands out about the film is just how stylish it is. Even though it's set in the present, you can almost sense an air of TRON in the films breath, and it's a credit to the film makers for doing this, because it enhances the narrative and makes the film just that little more exciting.The film does contain the tropes that most films aimed at teens have, like best friends falling out, people losing their status, and the will they won't they aspect of the film, but because the editing is done so well, you hardly recognise the predictable elements to the film.Roberts and Franco have wonderful chemistry, and they make the film just that little more urgent because of their quest.It's Saw for the little ones if you would, nothing spectacular, but well worth your time.Just don't be surprised if their are a slew of direct to Blu Ray sequels soon.",Nerve
10,trashgang,"flashy editing, great score but weak story but it does work out fine",7,13 November 2016,"Teenagers around me told me that I needed to see this flick about an online game going wrong. Knowing that it wasn't a horror but was in the style of Unfriended (2014). Were the latter did had it's creepy moments this is just an action flick but action for the teens having FOMO and walking this earth, let's say all teens (LOL)Was it bad, no it wasn't, even as the story was rather weak and the ending was a bit laughable (and was open also ready to make part 2) I was attracted due the way it was edited and shot. Made in saturated colors and flashy editing I kept watching until the end and the ending was quicker then I thought it would be.It all starts rather with a simple 'dare' game like showing your naked butt and things teens do for fun but quickly the game becomes dangerous and jealousy ( with a lesson) and love enters into the story. Luckily the love theme didn't became the major asset.The score did remind me a bit of the Cliff Martinez soundtracks (remember Drive (2011) for example). Acting is okay for such kind of flicks. It didn't get on my nerve so that doesn't say a thing about Nerve.Gore 0/5 Nudity 0/5 Effects 3/5 Story 2/5 Comedy 0/5",Nerve
11,KineticSeoul,"Watered down version of ""13 Sins""",4,3 November 2016,"What this movie is, is a watered down version of ""13 Sins"" that try to be edgy and focuses in on the teens as target audiences. I still recommend ""13 Sins"" over this flick. But I do give this movie some credit despite the cheesiness. Is how it depicts people and technology and networks that goes viral. Humanities longing for attention and the distance they will go to get attention and be noticed. Even if it can harm themselves and others in the process. Besides that, this was a dull movie to sit through with a really dumb plot. Some parts just seemed like a insult to the audiences intellect, by it trying to appear edgy, hip and witty but just comes off pretty lame, flat and boring. If you are an audience member that can handle the violence I recommend ""13 Sins"" over this.4.5/10",Nerve
12,Hellmant,A lot better than I was expecting it to be!,7,7 November 2016,"'NERVE': Three and a Half Stars (Out of Five)The new teen cyber-thriller, from directors Henry Joost and Ariel Schulman; the duo also helmed the social media documentary 'CATFISH', the thriller 'VIRAL' and the found footage horror flicks 'PARANORMAL ACTIVITY 2' and '3'. The film tells the story of a high school senior that enters an online reality game; in which players except challenges from people watching them, and are rewarded with money prizes. The longer she stays in the game, the more dangerous the challenges become though. The film was written by Jessica Sharzer, and it's based on the 2012 novel (of the same name) by Jeanne Ryan. It stars Emma Roberts and Dave Franco. The movie received mostly positive reviews from critics, and it was a hit at the Box Office. I enjoyed it.Vee (Roberts) is about to graduate from high school, while still grieving over the recent death of her brother. Her friend Sydney (Emily Meade) is becoming really popular playing the online reality game 'Nerve'. In 'Nerve' people accept challenges from 'watchers', people that pay to watch them, and if they complete the challenges they're rewarded with money. After being bullied by Sydney, for never taking risks, Vee enters the game and starts accepting challenges. The challenges become more and more dangerous as she goes on though, and the watchers soon control her every move. She finds help, and possible romance, from another game player named Ian (Franco). The movie was a lot better than I was expecting it to be, I didn't realize who directed it when I started watching it though. I did enjoy 'CATFISH'; I'm not a huge fan of the 'PARANORMAL ACTIVITY' films though, but they're not bad. Knowing who was behind the film does explain to me (now) why it had a certain feel to it that I wasn't expecting. It's pretty intense, in certain moments, and surprisingly creepy. I'm not a big fan of the two lead actors though, and the film is a little too geared towards teens sometimes.Watch our movie review show 'MOVIE TALK' at: https://youtu.be/hx1_SKfiNWs",Nerve
13,FeastMode,my notes,4,30 June 2019,"I was very entertained for most of this movie. i enjoyed the weird premise. i like that it was very music based with lots of cool-looking scenes. this could've easily been a 3.5. but a few dumb things started creeping in here and there. and then it just became laughable. literally. also, i like dave franco, but i'm not so sure he's a good actor. (1 viewing)
SPOILERS
when she finds out that dave franco's character got another dare to bring her to the party, she got so mad, and just because of that she decided that the game was bad and she needed to stop it. even tho five seconds before she was still playing it like it as awesome. and franco getting a dare to bring her to the party isn't even that bad or like a big betrayal. ""ppl could die."" but she was the one walking on the ladder five seconds earlier. it made no sense what changed from her being all into the game to her needing to stop the game. also, the whole plan at the end and the speech she gave was so horrible and just killed the movie for me",Nerve
14,Pjtaylor-96-138044,"'Nerve' is an entertaining thriller with an interesting premise that is marred only by several plot-holes, some larger plot issues and the fact that it is pretty generic.",6,16 August 2016,"'Nerve (2016)' is a thriller directed by Henry Joost and Ariel Schulman, one which focuses upon a fictional yet plausible social media 'game' that involves an audience providing people with escalating dares in exchange for cash prizes. It is an interesting premise that feels suitably modern, as well as being incredibly timely as internet 'challenges' and games such as 'Pokémon GO' have increased in popularity - bringing many tales of injury, criminality and other misfortunes with them. The conceivable premise is easy to get invested in, as the film often evokes contemplation about ourselves and our society in general; it isn't all that deep, though, as the greater ideas are never fully explored. On top of that, the narrative itself is actually paper thin with a number of prevalent plot holes. The significance of some elements is never explained or fully examined, leading to a series of plot points that actually seem rather inconsequential.The movie starts off on a weak note, coming across as generic and generally false. The opening uses a number of gimmicks that feel invasive and unnecessary, which end up seeming stylised simply for the sake of creating the pretense of individuality. However, these aspects are eventually reeled back to the point where they actually help to tell the story as opposed to being obtrusive. Once it settles into its second act, the flick really comes into its own. This act features a sense of adventure, as well as a few moments of genuine tension. These moments are when the film is at its best, examining the dangerous and ill-advised nature of the dares themselves, but unfortunately they don't come often enough. For the most part, the 'Nerve' game is somewhat glamourised and a lot of the risk is glossed over. An extended sequence featuring a motorcycle isn't as tense as it should be, partly due to the lack of tangible danger or consequences and partly due to the sense of invigoration - rather than fear - felt by the main characters. There are a few moments towards the end of the picture that actually chastise the anonymous nature of the internet, particularly when it is used to bully or harm, which don't come across as too overbearing and, by that point in the narrative, feel earned. The final act is pretty fragile in comparison the the one before it, easily breaking under scrutiny and coming across as quite contrived. The movie as a whole is devoid of surprises, meanders a little in places and has several fundamental issues which damage its credibility. The central mystery is set up as if it is going to have a big pay-off, but it actually falls rather flat and doesn't warrant the suspense given to it. It could've been dropped entirely, along with some other subplots that don't really add anything. The plot holes and missteps, as well as the failures of the base premise itself, aren't all that noticeable in the moment, though. It's only upon reflection that they become obvious. Despite all of its problems, I do enjoy the picture and find honest entertainment in some of its set-pieces.The characters themselves are decently realised, coming across as somewhat rounded and given just the right amount of characterisation. There is little development but all of it enhances the connection between the audience and the on-screen actors. The two leads are given the most time and are therefore the most complex and relatable; Emma Roberts and Dave Franco do a great job leading the picture. They have good chemistry, even though Franco is in his thirties and Roberts is supposedly in high school. Their interactions feel genuine at times, and they don't simply slot into a preset archetype - at least not always. There is some artifice used to make the characters seem real, though, as well as some revelations that don't come across as well as they should. The other roles are all fairly minor, though the protagonist's best friend is more complex than she is initially presented as being. The cast do a good job of making each on-screen presence feel relevant and honest; they easily demonstrate the qualities of an admittedly stereotyped demographic. The writing is good here, with a screenplay by Jessica Sharzer - based on the novel by Jeanne Ryan - that manages to capture a modern premise and plot elements whilst still retaining a focus on character. There are no overtly cheesy lines and no obvious oddities or clearly 'written' snippets of dialogue, though initially there is a lot of exposition and most of what's said isn't particularly new. It's a script in which nothing really stands out, for better or worse.In terms of the technical stuff, the majority of it is to a high standard. The cinematography is clean, if a little bland, and the editing is satisfyingly unnoticeable - as it should be. The direction itself is evidently favourable, with little 'shaky-cam' and clean framing. Nothing is especially different or quirky, but the shots are easy to read and the flick as a whole does a good job of bringing you into its story. The set-pieces are well filmed and tightly edited, making use of practical stunt-work and wide angles to make them believable. The film, in general, has a tight pace, meaning that there is no time for boredom and no fat that could be trimmed. It tells its story in as little time as it needs, but this does mean that its ending is quite abrupt.Overall, 'Nerve (2016)' is a tightly paced thriller that's competently made and well acted. It's enjoyable to watch and has a few moments of genuine tension, even if it has several plot holes and nonsensical aspects. It's disposable fun despite its issues, even though it is ultimately a little unmemorable and generic: 6/10.",Nerve
15,dromasca,deadly games,5,9 April 2021,"In 2016, when they made 'Nerve', Henry Joost and Ariel Schulman already had in their joint filmography the series 3 and 4 of the horror cycle 'Paranormal Activity' as well as 'Catfish', a successful documentary that deals with romantic relationships online and their dangers. 'Nerve' is a combination of these two genres and more, adding elements of teenage romance and cruel 'truth or dare' reality games like. It is the style of movies that can be watched simply for relaxation, especially by fans of one of these genres, or that can also be viewed as a warning about the capture of public and private space by social networks that turn the Internet from a medium of communication in an alternative space that monopolizes and controls the whole life. This hybrid combination works at times unexpectedly well in 'Nerve'.The film begins as a story about college students searching for a path in life and especially for themselves. They are all connected to the magical space of the Internet, both for entertainment and because a large part of their social life takes place there. The main heroine - a girl named Vee - connects - in response to a friend's challenge - to a network game called Nerve which divides the world into 'players' and 'watchers'. 'Players' accept challenges, 'Watchers' follow them everywhere, bet on them and reward those who fulfill their missions, which become more and more dangerous. Within hours, the game absorbs Vee, who not only crosses the virtual border between 'watchers' and 'players' but also the physical boundary - whose crossing is forbidden by her mother's family discipline - between the suburbs of Staten Island and Manhattan, being absorbed by the game and by the great metropolis that become areas of danger as stakes and rewards in the game increase.Like many other genre films, 'Nerve' skillfully uses visual elements borrowed from digital game graphics, giving viewers the immersive feeling that they are watching such a game. Emma Roberts who plays the role of Vee and Dave Franco, in the role of partner, adversary, and inevitably, of her romantic interest, are both well cast and play their roles with charm and personality. The story is quite interesting for a good part of the film, except maybe for the final part which surprises precisely by the lack of the inventiveness that characterised the rest of the film. How should we relate to movies like 'Nerve'? Should we take them seriously or treat them as pure entertainment movies that only use the format? It ultimately depends on each of the spectators. 12 years after 'Catfish' and 5 years after 'Nerve' were made it can be said that the presence of social networks in our lives has only increased, the use and benefits they bring have become more visible, but the dangers also have become more obvious. After all, on the Internet and social media, as well as in the conventions of this kind of movies, the answers depend on us. 'Watchers' or 'Players'?",Nerve
16,cricketbat,"Colorful, frantic fun",7,28 December 2018,"Nerve is colorful, frantic fun. This film does a good job of making you care about the characters, even if the rules of the game are muddled and the ending feels a bit forced. It also offers pointed commentary on hiding behind anonymous online usernames. However, the most impressive part of this fictional movie is how it feels unsettlingly close to reality.",Nerve
17,cosmo_tiger,A surprisingly good movie made for teens with an important message that hopefully won't be lost on them.,8,24 October 2016,"""If kids were dying they'd shut it down."" Vee (Roberts) is a by the book don't take chances high school senior. After getting sick of life passing her by and not taking any chances she decides to take part in new on-line game called Nerve. What starts out as a way to come out of her shell for an hour or two soon begins to spiral out of control when the law, friendships and lives are all put to the test in a game where there is only one way out. First thing I need to say is that this is defiantly a movie made for teenagers. That being said I actually liked this a lot more than I expected to, and not for the reason the teenagers will. As hard as it is to believe this movie has one of the best messages for teenagers I have ever seen. In a world of anonymous commenting where there are ""no consequences"" this movie really puts that in the forefront and shows that everything you do and say has an effect on someone else. If nothing else, this movie should be watched for that reason. I wouldn't say that this is a family movie at all but this is one your teenager should watch, and hopefully understand the meaning of it, and not just watch it as a fun do this and get money movie. Overall, a surprisingly good movie made for teens with an important message that hopefully won't be lost on them. I give this a B+.",Nerve
18,ops-52535,"if you dare to watch this, you'll get.....",8,3 July 2019,"Its the fun, its the frenzy, its the moral and it is the shame. that is what this film is about in my anarchpessimistic mind.its a fast driven paced, extremelly visualized colourfilled extreme do or dear social media are you in or out flick, that really excited me most of the time but it also had some drawbacks or as they say when speaking norwenglish in a frenzy it has also got its backsides. but is shall not elaborate to what or when in the movie, because that would spoil the fun. what i can reveal, and that is a general for lots of todays media, are the editors working on overdrive with extremely fast shifting focus with upto 40 shifts pr minute, makes my brain dizzy and my ''grey stare'' even greyer, but thats just me.im just so happy that i dont have the pressurized feeling that young people have or fears to have in todays social and social media life, e.g. virtual life. my only fingerprint ive left on the web is some coaches advise on swimming and of course my take on movie reviews on imdb, and the only thing i cdan say to all of you reading this is to put the device away for a while when feeling numb or dumb, because its just a fake most of it....will the grumpy old man recommend ''nerve''?, yes , definately, because it has some real life feeling to it, and the actors does a sweet impression, not always that good acting, but good and well driven action.",Nerve
