,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,A terrific performance by Streep...about a woman who is not exactly who she pretends to be.,9,15 July 2017,"Warning: This film is about concentration camps and is VERY hard to watch at times. While I would not put it in the same emotional category as ""Schindler's List"", be prepared and think twice before you see the movie. It is a super-depressing picture.""Sophie's Choice"" is an interesting film in that the performance by Meryl Streep is truly stupendous...one of the best acting performances I've ever seen. To get this part, she learned German and Polish and THEN worked on her accents...and seemed to be great at them as well as speaking German during the flashback scenes. She also has her hair shaved and allowed herself to look just godawful in these scenes. Yet, while she is amazing, the rest of the film is good but not nearly as good. This would explain why this is an unusual case with a Best Actress award for a film that was not nominated for Best Picture. Now I am not saying the rest of the film is bad...but dwelling so much on the present day in the first half of the film seems like a bit of a mistake. The last half, with the powerful flashbacks and secrets divulged about Sophie and her incredibly volatile boyfriend (Kevin Kline) is very exciting and it left you wanting more...and left me wanting far less of the friendship portion in the first half or the ravings of the boyfriend. In fact, I wonder if it might have been better to split this into two entirely different movies. Still, with such a great performance by Streep, it's still on my list of movies to see.By the way, this is not a complaint but in the amusement park sequence near the beginning, notice how Peter MacNicol's straw hat stays on as if super glued to his head!",Sophie's Choice
1,SnoopyStyle,heart wrenching scene and superb acting,8,19 January 2015,"It's 1947. Stingo (Peter MacNicol) moves from the south to Brooklyn trying to be a writer. Sophie Zawistowski (Meryl Streep) and Nathan Landau (Kevin Kline) are his amorous volatile couple and upstairs neighbors. She's Polish Catholic having survived Auschwitz and haunted by a heart-breaking secret. He works at Pfizer and is obsessed with the Nazis. The movie has long flashbacks that reveal Sophie's past and secrets.It's a very slow moving movie at times. It meanders and teases for the first hour. It can get tedious at times. There are some interesting bits like Dickens and Leslie Lapidus. The three actors are superb but they can only hint at the final explosive reveal. The reveals are compelling bits of the puzzle. Streep is impeccable transitioning between the various languages. Kline does a good deteriorating personality. MacNicol gives a solid performance to give the audience a voice. Of course, the climatic scene is heart wrenching iconic cinematic history. The piercing girl's scream is devastating and it shows on Streep's face.",Sophie's Choice
2,mark.waltz,Obviously not a film you can watch over and over.,8,30 July 2020,"I think perhaps every 20 years is sufficient for a film of this disturbing nature. The reason to revisit it is to see the glorius performance of Meryl Streep, going from rising leading lady to superstar with a film that was as shattering in 1982 as it is in 2020. It is a film that when I first saw it had me shaking, and knowing the shocking twists, doesn't necessarily have the same impact even though the subject matter is horrifyingly disturbing.The story is seen Through The Eyes of writer Peter MacNichol, a young Southern man who comes to Brooklyn in the late 1940s and finds himself as neighbors with Streep and her troubled boyfriend, Kevin Kline. When he first sees them, they are having a horrible fight, and MacNichol must comfort her. Later on, Klein apologizes and they begin spending a lot of time together. Rivera friendship, McNichol learns the horrifying truth about both of them, and they are secrets that most people eyes are do not realize about themselves or are too horrified to even confide to their best friends about.One of the issues with the film is its structure, hopping about with flashbacks here and there and having slope points that are often difficult to withstand. But the meat of the drama is where it is at, and deleting characters are truly Disturbed individuals that in spite of their flaws are sympathetic even if troubled beyond cure. Kline, in his film debut, is a revelation, and as the secrets come out about him, it is easy to understand his character's sudden shifts in temperament.But the revelation here is Streep who in a short period of only four years went from featured actress to Leading Lady the previous year and with this a legend-in-the-making. Her character will have you grow as you learn everything about Sophie. Her makeup is here is to, as at times it doesn't even appear that you are looking at the marvelous Meryl. Someone has to suffer when a part among such greatness, and as much as he tries, MacNichol just seems out of place. He does what he needs to do to make the character tick, but his is a non-showy part, just a Greek chorus looking in on tragic people facing their final curtain.One thing that will stick with you if you watch this again after a long gap, and that is how potently subtle the musical score by Marvin Hamlisch is. As the camera moves In for the final shot, you realize how perfect it is for that mood, a somber and chilling moment that you won't forget, just as you won't forget the scene where Sophie must make that choice that no parent should ever have to be forced to make. Bravo to Alan J. Pakula for his brilliant screenplay and fantastic direction that truly makes this a nearly unforgettable film.",Sophie's Choice
3,kosmasp,It's not a game,8,17 April 2019,"I have not read the novel, but it's impossible not to have heard people talk about Sophies Choice. The movie has made a mark in the movie and entertainment business. Although some may feel entertainment is not the right word. And that is even though you have Kevin Kline in this, who a few years later was as hillarious as one can be in Fish called Wanda.Having said all that, let's be clear about one thing: the movie is a drama. And a really good one at that. We're talking about a story that will touch you and that might leave you stunned at that. All that of course works even better if you know as little as possible. One thing that you will know or at least notice is Meryl Streep. If you are more than surprised and might even think this is a totally different person than the Meryl Streep you know, that is all just testament to her powerhouse performance.The movie is also quite frivolous and there is a certain amount of foul language and nudity. So while this can be called sophisticated and has gravitas story wise, this also is not for the easily offended either. Beware of that, if you actually think about watching this.",Sophie's Choice
4,classicsoncall,"""We became the best of friends"".",8,6 August 2011,"As a vehicle for Meryl Streep's incredible range as an actress, ""Sophie's Choice"" is an undeniable recommendation to watch. Unable to shake the ghosts of her past as a Nazi concentration camp survivor, the utter horror of Sophie's 'choice' is a stunning revelation in the flashback part of the picture. Once revealed, it is hard to escape the conclusion that the rest of her post-War life has also become a conflicted series of choices as well - a relationship with a cocaine addicted, paranoid schizophrenic (Kevin Kline), an understated and guarded friendship with Stingo (Peter MacNicol), and the ultimate choice that closes out the picture that argues against whatever other life affirming decisions she may have made after her escape from a brutal past.I think I agree with another reviewer's suggestion that the picture might have been more interesting and effective if most of the story were set during the war in Germany a few years earlier. Then of course, you wouldn't have needed the Kline and MacNicol characters, who to my mind were somewhat miscast here. Maybe that's just me, both give effective performances, but the whole while I kept picturing other players in their roles. But Kline IS good in schizophrenic mode, and the 'Gone With the Wind' segment added some needed color and brightness to the suffocating confines of the boarding house where a lot of the scenes took place.Still, once the nature of Sophie's Choice is revealed, it was difficult for me to maintain attention on the remainder of the story. With the scenes of the concentration camp, I was quickly reminded of 2008's ""The Boy in the Striped Pajamas"", one of the most disturbing films I've ever seen. The entire history of Nazi brutality and attempts at human engineering still make one shudder almost seventy years after they occurred, and should serve as a warning against the threat of existential evil in the world in whatever form it takes.",Sophie's Choice
5,gavin6942,Easily Deserving of the Best Actress Award,7,13 May 2010,"There are many things that can be said about ""Sophie's Choice"". It can be viewed as an immigrant tale or a Holocaust tale or a love story or any other number of angles you want to pursue it. I'm not really going to talk about that. The one thing that stands out for me, and obviously stood out for people at the time, is Meryl Streep's performance.Another reviewer says her performance ""is simply the finest performance ever captured on film. Period."" If that's not enough, they call it ""a gift to humanity."" That might be an exaggeration, but it's true to a point: Streep mastered a few languages and accents, as well as playing her part physically. Sadly, women in American films are more often secondary, but here she is given the starring role and nails it. Many have said this is the single greatest performance from an actress, and they may be right.As for the film as a whole, I'm torn. I liked it, but without Streep, it would have been forgotten decades ago.",Sophie's Choice
6,lee_eisenberg,Don't watch it if you have a weak stomach.,10,27 September 2005,"We usually assume that big stars have to debut in B-movies, but Kevin Kline (my favorite actor) made his debut in ""Sophie's Choice"", an absolutely flawless movie. In 1947, aspiring author Stingo (Peter MacNicol) moves to New York and moves in with concentration camp-surviving Polish immigrant Sophie Zawistowska (Meryl Streep) and her Jewish-American biologist hubby Nathan Landau (Kevin Kline). As the movie progresses, we learn the full story of Sophie's gut-wrenching past, and the truth about Nathan's mental state.I don't know whether this was Meryl Streep's best role ever, but with her impeccable Polish accent, she turns in a top-notch performance, as does the rest of the cast. Alan J. Pakula, who also directed ""All the President's Men"", turned in another masterpiece here.",Sophie's Choice
7,jboothmillard,Sophie's Choice,7,28 December 2008,"I knew that the lead actress won her second Academy Award for her leading role, I knew her two supporting actors, and I knew vaguely the storyline behind it, and it turned out to be a very good film, from director Alan J. Pakula (Klute, All the President's Men, The Devil's Own). Basically young American South writer Stingo (Peter MacNicol) has come to post World War II Brooklyn, and meets beautiful Polish immigrant Sophie Zawistowski (Oscar and Golden Globe winning, and BAFTA nominated Meryl Streep), and her lover Nathan Landau (BAFTA nominated newcomer Kevin Kline). The three of them spend much time together, and become the closest of friends, but Sophie is not as innocent as she seems, she is haunted by ghosts from her past, Nathan is obsessed with the Holocaust, and his violent temper is increasing, it is apparent he suffers from mental illness doesn't help. One night, Sophie tells Stingo the reason behind her tattoo serial number, and the reason for her pain, with flashbacks to 1938, where she and her daughter and son were taken to a Nazi Concentration Camp. Back in present day, Stingo asks Sophie to marry him, she accepts, but at the same time, Nathan is asking the same of Sophie, and Stingo has to be best man, Nathan goes into another violent mood, and Sophie runs to Stingo, and tells the rest of her story. She and her children arrived in Auschwitz, and a Nazi officer forced her to choose life for one of her children, while the other would be taken away and exterminated, she pleads not to have to choose, an officer almost takes both children, but she chooses her daughter to be taken, she believed her son would better survive the camp. After she has finished her story, Sophie tells Stingo not to mention marriage or children, despite sleeping together, and finding a note from Sophie saying she went back to Nathan, Stingo finds that they both committed suicide, he leaves Brooklyn soon after. Also starring Rita Karin as Yetta, Stephen D. Newman as Larry Landau, Greta Turken as Leslie Lapidus, Josh Mostel as Morris Fink, Marcell Rosenblatt as Astrid Weinstein, Moishe Rosenfeld as Moishe Rosenblum, Robin Bartlett as Lillian Grossman, Günther Maria Halmer as Rudolf Hoess, Karlheinz Hackl as SS Doctor and Ulli Fessl as Frau Hoess. The three lead stars all have their great moments together, Kline is splendid being both serious and silly, MacNicol is good as the adorable timid character, but the stand out is obviously a deserved Oscar winning performance by Streep, who handles the Polish accent and language perfectly, and gives real depth to the film that has all the right ingredients, and especially gripping in the Holocaust flashbacks, a splendid drama. It was nominated the Oscars for Best Cinematography, Best Costume Design, Best Music for Marvin Hamlisch and Best Writing, Screenplay Based on Material from Another Medium, and it was nominated the Golden Globe for Best Motion Picture - Drama. Meryl Streep was number 58 on The 100 Greatest Movie Stars, and she was number 26 on The World's Greatest Actor, and the film was number 19 on The 100 Greatest Tearjerkers. Very good!",Sophie's Choice
8,ma-cortes,A haunting modern tragedy with several grim and extremely dramatic moments,7,16 July 2021,"Sophie Zawistowska (Meryl Streep) is the survivor of Auschwitz concentration camp settled in Brooklyn after WWII . Nowadays , she has found a reason to live with a schizofrenic genius (Kevin Kline in his film debut from Broadway) and Nathan (a very young Peter MacNicol) , and a sparkling if unsteady American Jew obsessed with the Holocaust . For a full three-quarters of the movie's running time , it appears that the choice facing Sophie is between the two love rivals : Peter MacNicol and Kevin Kline , at the boarding house where they live , but the truth is far more terrifying . Between the innocent, the romantic, the sensual, and the unthinkable. There are still some things we have yet to imagine.An artful , impressive and immaculately played drama with an astonishing commanding interpretation by the always versatile Meryl Streep . This chilling portrayal of the banality of Nazi evil was taken from the best-selling auto-biographical novel written by William Styron . Some of the war footage is hard to see and the language is fairly abrasive . The great Meryl Streep learned polish and German language to speak authentically , furthermore her English accent is impeccable . Her grunt-wrenching acting was duly rewarded with Best Actress Academy Award , her second statuette following Kramer vs Kramer , subsequently adding others Oscars and nominations . While co-starring Peter MacNicol and Kevin Kline are pretty good , delivering nice interpretations . Besides, brief appearances from secondaries as Josh Mostel , Robin Bartlett , Eugene Lipinski , Joseph Sommer as narrator and uncredited Tobin Bell as a reporter. In addition , Marvin Hamlisch took an Academy Award for the enjoyable musical score . Special mention for Spanish cameraman Nestor Almendros providing a peculiar and rarely colorful cinematography .This gripping movie-making was professionally directed by Alan J. Pakula . This magnificent American film director, writer and producer was nominated for three Academy Awards : Best Picture for To Kill a Mockingbird (1962), Best Director for All the President's Men (1976) and Best Adapted Screenplay for Sophie's Choice (1982). His production business partner in the 1950s and 1960s was Robert Mulligan . Always highly supportive of his cast , he had a reputation as an 'actor's director'. He achieved several hits as Devil's own , Pelican brief , Presumed innocent , Sophie's choice , Klute and some flops as Starting over , Paralax view , See you in the morning . Rating : 7/10 . Worthwhile watching and better than average . The picture will appeal to Meryl Streep fans .",Sophie's Choice
9,moonspinner55,"Golden-toned without being lyrical, ""Sophie's Choice"" is like an opera without the music...",4,2 December 2008,"Portraying a Polish-Catholic Concentration Camp survivor now living in Brooklyn 1947, Meryl Streep admirably keeps a haunted look in her eyes--and in her forlorn smile--throughout all the fabricated histrionics of this Alan J. Pakula ""prestige"" picture. It's a commendable acting job, most especially because nothing else in this vehicle quite comes off. Sophie, struggling with her broken English during her initial days in New York, is 'rescued' (from despair, from hopelessness) by a combustible genius (Kevin Kline), and soon they are reading literature and poetry to each other in his bed. The details of their love-hate relationship come spilling out to a Southern writer (Peter MacNicol) who has rented a room in the same building as the couple. William Styron's book has become an embalmed actors' showcase, with the three principals each doing contemplative-turned-combative bits of character business, to little avail. There are two or three scenes that put enormous demands on Sophie (and Streep the actress), and the woman simply does not disappoint (my favorite was an early flashback scene wherein she attempts to check out a book by Emily Dickinson but doesn't have the author's name right). Still, Pakula paces the melodramatics with funereal solemnity, and the too-careful, too-rigid art direction and cinematography make the proceedings look like a waxworks museum. Kline cannot get a grip on his tortured Nathan, and for good reason: the character is a writer's contrivance (bombast conjured up out of mental illness), while MacNicol has some strong early scenes but eventually plays third-wheel (not an enviable position). Much discussion was made of Streep's letter-perfect accent and her scenes as a prisoner, and indeed she's quite remarkable; however, Sophie isn't allowed to bloom as a person. Streep makes her tremulous and lovely, nervous and chatty while also politely flustered, and there are moments when she's radiant. Unfortunately, there's nothing gripping or substantial in the writing to help the actress carry the weight of a long, heavy Oscar-contender. We understand right away that Sophie is a survivor with an enormous heart...Pakula doesn't give us anything else to ponder except romantic heartbreak tinged with masochism. ** from ****",Sophie's Choice
