,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Very entertaining action film, while not being as good as the first film",8,13 June 2010,"I do agree with anybody who says that Die Hard with a Vengeance is not as good as the original Die Hard. Then again it did have a lot to live up to, seeing as Die Hard is a real benchmark in the action genre. This film in a very good franchise is still very, very good, and does try very hard to keep to the spirit of the original film.While perhaps running a little too long, and the beginning is rather slow, the film does move briskly and has slick direction, as well as more than its fair share of tense, funny and witty lines in the script. The plot, made up of two stories really, is cleverly balanced and actually doesn't fall into the trap of becoming convoluted or derivative, and the score was very well done, with musical and comedic touches. Die Hard With a Vengeance is also very stylishly filmed with fluid cinematography, great effects and dazzling scenery coupled with authentic sound effects, and there are plenty of explosive set pieces. And the acting was great, Bruce Willis is terrific as John McClane, while Samuel L. Jackson always the solid actor matches him perfectly, and their chemistry is what makes the movie enjoyable. Jeremy Irons is also excellent as Simon Gruber, perhaps not as good as Alan Rickman in the original who was the epitome of evil, but he is still good, playful and threatening.Overall, very enjoyable entry in a very good franchise. 8/10 Bethany Cox",Die Hard with a Vengeance
1,Leofwine_draca,Action comedy masterpiece,10,26 March 2016,"It's very rare for the first three films in a movie franchise to be consistently excellent, but that's the case with the DIE HARD series. The first one was an action movie masterpiece and hugely influential to this day. The second one is disliked by some, but I think it's very nearly the equal of the first, doing a tricky job of being the same but different at the same time. And the third is just a delight, an action comedy masterpiece that wreaks havoc throughout New York.Having the action move out of a single location and into an entire city was a genius idea. Director John McTiernan is at the top of his game here, filling his movie with an incredible sense of drive and momentum so that there's not a single moment where it's not funny, thrilling, or suspenseful. Bruce Willis has never been better and his repartee with Samuel L. Jackson (who also gives one of the best turns of his career) works incredibly well. Jeremy Irons has a ball as the bad guy and the whole 'Simon Says' game is very well staged. Plus you get all of the violence, fights, car chases, shoot-outs and clever situations that you could hope for in an action film. DIE HARD WITH A VENGEANCE truly is one of the best action films ever made and the kind of film I could sit and watch over and over again, and there are very few of those around.",Die Hard with a Vengeance
2,SnoopyStyle,Feels like a different franchise,6,17 November 2013,"John McClane (Bruce Willis) has fallen on hard times. A bomber (Jeremy Irons) demands that McClane play a game and the NYPD recalls him back to work. In one game, he's helped by a good Samaritan Zeus (Samuel L. Jackson). The two go off on a high intensity scavenger hunt.The fact that he's called in by name means that this one veers off from the formula from the start. The first two had him alone in the wrong place at the wrong time surprising the bad guys. This one he's paired up, demanded by the bad guy to play a game running across NY. It feels like a different franchise. Where's the family? They've thrown out the formula.Director John McTiernan returns to do a big action extravaganza. He follows the rule of sequels by making a bigger movie. Jeremy Irons is a great bad guy, but I would prefer Bruce Willis to be a lone wolf. Nevertheless Sam Jackson is always a great choice. If this wasn't a Die Hard movie, it would be just another brainless action thriller.",Die Hard with a Vengeance
3,classicsoncall,"""You are about to have a very bad day.""",8,8 March 2015,"Relentless and over the top action that takes the term 'implausible' to the limit, this third film in the Die Hard franchise is just the ticket if you're up for some mindless movie mania. I thought it was kind of cool the way the film makers had Alan Rickman drop in from the original ""Die Hard"" flick, and having Bruce Willis trade barbs with Samuel L. Jackson as things got rolling made for an entertaining 'almost buddy' team-up. I particularly found it interesting the way McClane (Willis) reversed the racist angle on Zeus Carver (Jackson) during the three gallon/five gallon scene. It was done without being racist itself, and not everyone could get away with it the way McClane did. It was near the end of the movie when I was about to give up on McClane's t-shirt changing color the way it did in the first film, but almost as soon as the thought crossed my mind, it was approaching a dark green with only the very top of the tee a dull white color on both of McClane's shoulders. The only thing that takes the edge off these action films made prior to 9/11 is the sobering image of the Twin Towers, this time clearly visible in an early scene when McClane is on the subway train. Watching today almost twenty years after the film was originally made, there's added significance to the film's plot in which the German gangsters were working freelance for the Iranians.",Die Hard with a Vengeance
4,jboothmillard,Die Hard with a Vengeance,8,16 June 2005,"Director of the first film John McTiernan (Predator) returns with this third film installment with the humorous, wise-cracking and admirable hero in the wrong place at the wrong time. It is a quiet morning in New York city, till an explosion suddenly takes place at a department, and then the police receive a phone call from the terrorist, calling himself Simon (Jeremy Irons). Simon says (that's the game he's playing) he wants Lt. John McClane (Bruce Willis), who is on suspension and an alcoholic, to go the corner of 138th Street and Amsterdam in Harlem wearing a racist sign. This is how he meets the almost completely white hating store owner and accomplice Zeus Carver (Samuel L. Jackson, not long after Pulp Fiction), and they stick together as they travel round New York following Simon's instructions and figuring out his riddles, to stop more bombs going off. Simon tells them he has placed a bomb in a school (a lie), so while the cops are busy searching for it, and eventually ""defusing"" it, Simon Gruber (yes, Hans from the first film's brother) is getting closer to his goal of revenge, stealing millions and destroying New York, with John and Zeus hot on his and the terrorists tail. Also starring Graham Greene as Joe Lambert, Colleen Camp as Connie Kowalski, Kevin Chamberlin as Charles Weiss and Sharon Washington as Officer Jane. Like the first sequel it may not be as fun to watch and completely original as the first film, but this is certainly better than Die Hard 2, Willis and Jackson make a good double-act, there are some good chases and explosions, and the great catchphrase ""Yippee-ki-yay mother f***er"", a very good action thriller. Bruce Willis was number 35, and Samuel L. Jackson number 11 on The 100 Greatest Movie Stars. Very good!",Die Hard with a Vengeance
5,ccthemovieman-1,Very Entertaining But Too Low-Class,5,30 May 2006,"I found lots of entertainment value in this but way overdone with the violence, profanity and the totally-implausible scenes. It's just so darn interesting with so many good stunts that it's hard to totally ignore this film despite the stupidity. It's almost like a very good Steven Seagal, Jean-Claude Van Damme or Sylvester Stallone no-brainer-but-fun action flick, except it's Bruce Willis.Willis and co-star Samuel Jackson are incapable of uttering a sentence without profanity. But, sometimes they are funny and they certainly aren't boring. The violence will wear you out by the time 2 hours and change are over. Recommended only for those who like their entertainment non-stop and aren't offended by anything hitting their eardrums.",Die Hard with a Vengeance
6,rmax304823,"Bang, bang -- then BOOM.",6,6 April 2007,"As with any effective action movie, you're glued to the screen even as you goggle at the stupidity of it all. People get shot, sawed in half by wire ropes, blown up, run over by renegade subway trains, electrocuted by helicopters whose rotor blades make a mare's nest of high-tension power cables. I couldn't count the number of exploding fireballs. There are, I think, three maniacal car chases. (It depends on how you define car chase. Is a lone cab bounding at full speed through the woods of Central Park a ""car chase""?) It's like watching a Roadrunner cartoon. Bruce Willis is spat out of an aqueduct tunnel by the force of the water, loops through the air, and plops down into a mud puddle unhurt. ""Whew,"" he's likely to say, ""what a #@#%!%#@^%!ing close call THAT was!"" Samuel Jackson as his unwilling partner matches him step for step, in a plot partly structured along the lines of the old mismatched cop movies that ran out of steam a decade or so ago.Both Willis and Jackson are quite good for reasons most people already will recognize. There's nothing like a blood-covered Willis wisecracking and wincing with real pain as he extracts a piece of shrapnel from his flesh with his own teeth -- unless it's Jackson with his bulging eyes and crackling high voice responding angrily to some racist remark. ""Say WHUT?"" I see I've kind of skipped much of the plot but it wanders off in several tenuously related directions anyway? Jeremy Irons with a faux German accent is the heavy and he belongs in a different movie. Nobody else registers.You know what it's like? It's like a comic pornographic film. ""Debby Does New York."" Exciting episode follows exciting episode and they are linked by only the slenderest of narrative threads.Let's see. That makes it a combination skin flick, mismatched cop movie, and Roadrunner cartoon. Hmmmm. Yeah, I guess that about covers it. It's tense, amusing, and filled with stunts. And if you're in the proper mood it's captivating.",Die Hard with a Vengeance
7,ma-cortes,High-voltage action thriller with a fine chemical between Bruce Wills and Samuel L. Jackson,7,22 January 2020,"This third part that brings again another impossible situation results to be a nice buddy movie with stoppable action, thrills, explosions, pursuits and humor. A powerful action thriller with the tough-cookie, wise-cracking cop John McClaine : Bruce Willis, who joins forces with Samuel L Jackson, as a reluctant shopkeeper , to take down villainous people who are planting a series of massive bombs across NYC and especially at the threatened schools plenty of little students . Here McClaine facing off foreign ruthless, high-stakes recruits and their heinous boss, Jeremy Irons, as the brother of of the bad boy, Alan Rickman, who Willis killed in the first film. Along the way MacClane dangerously fleeing from bursting dam waters rushing at him down underground tunnel.Here McClaine, Bruce Willis, is back home in the Big Apple, having another bad day and suffering chaos and destruction, including a breathtaking subway crash and a spectacular flood. Obviously repeats partially the plot of previous entries with references to the former in the screenplay, including his estranged and separated wife, Bonnie Bedelia . While the first outing Die Hard 1988 by John MacTiernan was set at a claustrophobic Los Angeles skycraper and the second Die Hard 2 : Die harder 1990 by Renny Harlin was set at an airport, this third part is set at New York streets. This installment features energetic action and finely acted interpretations from the three leads : Bruce Willis, Samuel L Jackson, Jeremy Irons. Being well accompanied by a nice support cast as Graham Greene, Colleen Camp, Sam Philips, Nick Wyman, and Tony Peck.It packs a colorful cinematography by Peter Menzies, adding an exessive hand-held camerawork and annoying steadicam. As well as rousing and moving musical score by Michael Kamen. This fast, well-done follow-up motion picture was professionally directed by John McTiernan, though is inferior than the first part which he made too. John is a good craftsman who has got a lot of hits, such as : Die Hard, Predator, The hunt for Red October, The 13th warrior, The Thomas Crown affair, Last action hero, ,but also some flops as Nomads, Medicine man, Basic, and Rollerball especially. Rating : 6.5/10. Notable action film. Better than average.",Die Hard with a Vengeance
8,BA_Harrison,Die Hard with a Lethal Weapon.,8,18 August 2013,"Die Hard director John McTiernan returns for this second sequel to his 1988 action classic, which sees Bruce Willis once again playing tough NY cop John McClane, this time being sent on a wild-goose chase around the Big Apple in the company of Harlem 'good Samaritan' Zeus Carver (Samuel L. Jackson) while evil Euro-villain Simon Gruber (Jeremy Irons) breaks into the city's Federal Gold Reserve.Full of the incredible explosive set-pieces that one has come to expect of the series, Die Hard: With a Vengeance certainly delivers in terms of sheer spectacle, but with Jackson's Carver in tow, one-time 'lone cowboy' McClane has now become one half of a comedy act, the film working more like an 80s buddy movie as a result. As the film reaches its climax, McClane also begins to exhibit signs of the superhero style powers of invincibility that made Live Free or Die Hard such a let-down. It's not enough to make me dislike the film—I still had a lot of fun with this one—but it is a worrying sign of things to come7.5 out of 10, rounded up to 8 for IMDb.",Die Hard with a Vengeance
9,paul_haakonsen,"An innovative third movie in the ""Die Hard"" franchise...",7,10 December 2020,"Well, if you enjoyed the 1988 ""Die Hard"" and the 1990 ""Die Hard 2"" movies, then you most certainly will also enjoy the 1995 third movie in the franchise ""Die Hard: With a Vengeance"".The storyline as delivered by writer Jonathan Hensleigh proved to be innovative for the franchise, while it kept the very essence and spirit of the franchise at heart. So ""Die Hard: With a Vengeance"" was a welcomed addiction to the action franchise.Once again does Bruce Willis return to reprise the role as John McClane, the police officer with an attitude and a knack for getting himself into precarious situations. And this third movie also has Jeremy Irons and Samuel L. Jackson on the cast list, both of whom definitely added something unique to the movie and to the franchise as a whole. Jeremy Irons proved to be right up there alongside with Alan Rickman in terms of portraying an interesting villain in this particular franchise.""Die Hard: With a Vengeance"" has an abundance of action, just as the previous two movies did, so you are definitely in for a treat. But at the same time, then ""Die Hard: With a Vengeance"" proves to have more to its storyline than just action and that stereotypical one-man-against-an-army-of-bad-guys feel to it.I will say that the storyline told in ""Die Hard: With a Vengeance"" was an enjoyable one, and there were some nice twists to the plot along the way, which made for a non-linear and somewhat unpredictable storyline. Not only is it an entertaining story, but director John McTiernan also manages to get the audience dragged in and feeling like they are right there alongside McClane and Zeus.If you haven't already seen the 1995 movie ""Die Hard: With a Vengeance"" from director John McTiernan, it is about time you do so, as this is an entertaining and enjoyable action movie. My rating of ""Die Hard: With a Vengeance"" settles on a well-deserved 7 out of 10 stars.",Die Hard with a Vengeance
10,blanche-2,frightening for all the wrong reasons,7,9 February 2003,"Unfortunately I just saw this film.  I don't want to put in a spoiler so I'll just say - recent events make watching this movie terrifying and spooky, mostly because of the film's use of location.  One scene in particular today takes on new meaning.  It's interesting how the minute you put something on film, you date it so that even a few years later, it has ramifications beyond its original intent.  Watch this if you dare and you'll see what I mean.  As an entry into the ""Die Hard"" series, it's very good - Bruce Willis is always attractive and can keep a film going, and Jeremy Irons is an excellent villain.  But the real villain here is history.",Die Hard with a Vengeance
11,Quinoa1984,THE BEST OF THE TRILOGY,9,1 May 2000,"Don't get me wrong, I like Die Hard 1 and 2.  But this is a terrific action film that not only has great suspense making you think till the end, but good teamwork by Bruce Willis and Samuel L. Jackson that actually make some comic relief.  In this enstallment, Bruce once again plays Lieutenant John McClane, back in New York and on pention.  But now, he has a new terrorist on his hands, the brother (jeremy Irons) of the original terrorist (Alan Rickman).  But it isn't just about revenge, in this thriller.  Great action sequences and cool locations make this a picture perfect summer film. A++",Die Hard with a Vengeance
12,edwagreen,"Die With A Vengeance-It's the Money, Stupid ***1/2",9,23 December 2012,"In the future, if you're ever asked who was the 21st president,? you shall use Abe Lincoln as a guide. Since Honest Abe was our 16th, just go down the line of Johnson, Grant, Hayes,Garfield and Arthur, as in Chester A. Arthur.That being said, we have an action packed film where Jeremy Irons pretends that he wants revenge for his brother's death in L.A. Just like in the case of the brother,it's all about money-the gold at the Federal Reserve Bank of N.Y. We have bombings of a department store and subway for Irons to show that he means business.Bruce Willis was born to play John McClane, the fast talking, foul-mouthed policeman who is on suspension but is called back to service thanks to Irons's sinister ways. McClane is evenly matched with racist store owner,Samuel L. Jackson, who is brought into the plot and by film's end, he realizes that all whites aren't necessarily bad.The action is non-stop and very fast paced. A thriller in every sense of the word.",Die Hard with a Vengeance
13,bevo-13678,Bruce has still got it,10,29 March 2020,I like the bit with the rushing water and the trucks,Die Hard with a Vengeance
14,hitchcockthelegend,McTiernan is back and it's kaboom time in the Big Apple.,8,7 August 2012,"Die Hard: With a Vengeance is directed by John McTiernan and written by Jonathan Hensleigh. It stars Bruce Willis, Samuel L. Jackson, Jeremy Irons, Graham Greene, Nick Wyman, Larry Bryggman and Colleen Camp. Music is scored by Michael Kamen and cinematography by Peter Menzies Jr.Detective John McClane (Willis) is on suspension and drinking a lot, but when a bomb goes off on the streets of New York, a man named Simon (Irons) calls the police demanding that McClane joins in a game of Simon Says otherwise more bombs will go off.Although Renny Harlin was unlucky to have the unenviable task of trying to helm a sequel to arguably the greatest action film in the modern era, there is no denying that Die Hard 2 was a considerable drop in quality. We can also say with honesty that to try and come up with a villain half as brilliant as Alan Rickman's Uber Gruber was a thankless task, but that's the primary problem with Die Hard 2, William Sadler's villain is just not interesting, charming or witty enough. So for part three the makers made three crucial decisions, they brought back John McTiernan, they brought in Jeremy irons for villain duties and they gave McClane a side-kick of considerable worth. Back comes high end action, back comes searing violence and back comes the humour. Die Hard 3 nabs the great ingredients from the first film but still plays out as its own animal, the decision to take McClane out of a confined space set-up and let him loose out in the expansive areas of NYC works really well, as does having him partnered by Samuel L. Jackson's (on fine form) Zeus, a smart mouthed, angry, wise, borderline racist shop owner who winds up as the perfect foil for McClane's machismo and witticisms. If this sounds like a Lethal Weapon type set-up then that's probably because the bulk of the script was actually considered to be one of the Lethal Weapon sequels. But to have it play out as a Die Hard formula brings rich rewards as the plotting has much suspense by way of Simon's death trap riddles and the race against time plot turn that dominates a good portion of the movie. While the dialogue sparkles, allowing the lead actors room to really impress themselves on the story.It's also great to find that McTiernan and co don't take the easy option of just filling the movie out with high octane action and stunts. There's plenty of that stuff about, with punch-ups, car chases, explosions and outrageous high wire heroics; McTiernan is after all a master director of action scenes, but there's a good twisty plot at the core as well. With grey area motives, deception and mystery elements pulsing away in the narrative. Add in McClane's woes; hangovers and marital strife, Zeus' severe mistrust of the white man, and you find a lot of story that the impressive action is wrapped around. Irons is ace, not in Rickman's villain league (who is), but he gives Simon charm in abundance, a dastard sense of humour and Irons has buffed up for vest wearing duties and gone Aryan blonde into the bargain as well. Yep, this is a cool villain and the film benefits greatly from Irons' turn.Faults? The roll call of baddies assembled around Simon are standard stereotypes being performed by one note actors. The absence of Bonnie Bedelia as McClane's wife is felt at times, and some of the effects work is shoddy. But this is a treat for Die Hard fans and action movie fans in general. Exciting, thrilling, funny, interesting and featuring characters you enjoy being in the company of. Yippee-ki-yay. 8/10",Die Hard with a Vengeance
15,Doylenf,Story about terrorists in NYC is timelier than ever since 9/11...,6,22 May 2007,"BRUCE WILLIS and SAMUEL L. JACKSON seem like they're doing a buddy flick rigged to simulate what Mel Gibson did with his LETHAL WEAPON films. There's lots of humor, excitement, explosions, daring escapes and leaps from high places as they tear around New York City trying to prevent terrorist (JEREMY LYONS) from blowing up a public school.As Leonard Maltin says: ""It's like watching 12 chapters of a hi-tech Saturday matinée serial all at once,"" with non-stop action piled onto a thin plot that has the bomber using his threats as a diversionary device so that he and his army of goons can use dumpsters to load gold from the Federal Reserve Bank.Both Willis and Jackson have to undergo a number of physical hardships and beatings to attempt any number of athletic stunts they're forced to perform in the course of tracking down the riddles they're given by Irons. Irons, it seems, is intent on using ex-cop Willis as the target of his demands because he threw Lyons' brother off a roof a few years previously. That's about the depth of character involvement we get.But since the film is all about action, any fan of this genre is bound to get their money's worth. All the stunts are elaborately staged, the color photography (particularly of New York City's congested streets and bridges) is excellent and Michael Kamen's music wrings the most out of every explosive situation.Summing up: For thrill seekers only, but don't expect credibility when the brutal punishment Willis and Jackson take makes it improbable that they survived their mission intact. There's a comic book feel to the whole movie because all the action is over-the-top.",Die Hard with a Vengeance
16,LeonLouisRicci,Enduring and Timeless Entertainment,9,12 June 2014,"This Movie was Made back when Action Movies were Rated R and Contained Bloody Violence and Foul-Mouthed Heroes. That has been Replaced with PG-13,CGI SFX and Washed Out Color and Wimpy Quasi-Realism.Watching this Film in 2014 the Difference is Profound. The Old-School Way is more Gut-Wrenching, Visceral, and the Result is a Movie with More Staying Power. These Things had Weight brought about by a Look that is Firmly Grounded and Not Ethereal.This is a Strong Return for Director John McTiernan whose Filmography Contains at Least Two Titles that are Absolutely Incredible. Die Hard (1990) and Predator (1987). This one is No Slouch Either although it is a Return to Form more than a Breakthrough Genre Reinvention. It has its Weakness, like the Ongoing Racism Dialog between Bruce Willis and Samuel L. Jackson that Wears Thin Quickly but is On Screen Throughout so it is Necessary Baggage. But there is so much Energy and Excitement that it doesn't Hamper the Entertainment, Much.The Pacing is Pulse-Pounding and it is a Non-Stop Nail Biter that is the Second Best in the Die-Hard Series, with the Villain (Jeremy Irons) Contributing (""I am not a Monster...although I sometimes work for Monsters"").Note...Some ink was used to criticize the Movie for its building explosions because it was released soon after Oklahoma City and the first scene was almost cut, but cooler heads prevailed and it was left in. After all, our way of life, should not be dictated by Terrorists, foreign or domestic.",Die Hard with a Vengeance
17,CinemaSerf,Fort Knox is just for tourists..,7,11 November 2021,"Bruce Willis returns as ""McClane"", this time being used as a plaything by a telephone terrorist named simply ""Simon"". Unsure as to why this man has alighted on him, he is now sent on a series of missions around the city - fail and a devastating bomb could go off. Along the way, he manages to recruit the assistance of Samuel L. Jackson (""Zeus"") and together they they must stop more carnage - and thwart the perpetrator's ultimate intentions. It is a little repetitive at times, but there is plenty of on-screen chemistry between Jackson and Willis; their challenges are a little more cerebral and amusing and the plot builds well until quite an exciting, if just a little too far-fetched, denouement with a baddie whose voice we ought instantly to have recognised on the phone. This is just a simple, straightforward action adventure with no romance of familial nonsense to clutter it up and I quite enjoyed it.",Die Hard with a Vengeance
