,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"Cheesy, but lots of well-directed suspense to make up for it",7,12 June 2016,"The latest blockbuster is a refreshingly enjoyable and old-fashioned kind of thriller, full of action, suspense, and plenty of humour. In a year which has given us many oddities at the cinema, this comes across as a breath of fresh air, as it doesn't try anything inventive or new, it's just a plain simplistic adventure story. In many ways DEEP BLUE SEA harks back to the likes of THE POSEIDON ADVENTURE, albeit with a monster-movie twist.Of course, with Renny Harlin as the director, it was pretty much a foregone conclusion that this film would offer up some exciting sequences. And, by gum, it does, as people are chased up corridors by sharks, having to swim for their lives and using everyday facilities as their only means of salvation; there are no rocket launchers or shotgun-toting heroes this time around, although Thomas Jane comes close.Unfortunately, when the film is not dealing with one of these terrific action scenes, it all comes a bit unstuck. The music is uninspired and some of the cast disappoint. I know Harlin said he wanted to cast unknown actors and actresses in the film, I can understand that, but come on, he could have chosen someone who can actually act. Thomas Jane is acceptable, but was better in the likes of THE PUNISHER. As for Saffron Burrows, talk about miscasting. She has a ridiculous accent and is a poor actress when it comes to the action scenes, having the same expression on her face for the entire film.The rest of the cast are all also bland and interchangeable, we don't really care if these guys live or die. The only interest comes from the two black cast members, firstly there's the reliable Samuel Jackson as a cool company benefactor back when he could do no wrong, and then there's LL Cool J, who, surprisingly, is actually funny and likeable in this film. No mean feat for a rap artist, and I was expecting the worst. It turns out that LL Cool J is the one we're rooting for and the only real person we actually care about when he's in danger. There's a turn up for the books.There are some bloody moments in this film for shock purposes, the best being early on. For the next twenty minutes events just get worse, people die, buildings explode and the entire base gets flooded, these multiplying calamities are just sheer brilliance and really exciting and entertaining. It really made my heart beat. There's no way the rest of the film could live up to this moment, and it can't, but at least it concentrates on the sharks as the real stars and not the actors.The special effects for the sharks are generally very good, and a seamless blend of animatronics and CGI animation is used. Only occasionally (at the end particularly) do the sharks look fake, but other than that they're very well done indeed. There are also plenty of shots of people getting ripped in half underwater and legs flailing about, quite fake too but fun anyway. However the old standby of someone sinking and then blood welling up in the water is the most effective and clichéd of the lot, but it works.While comparisons to JAWS are obvious (the two films are very different DEEP BLUE SEA is action orientated, JAWS is more of a suspense story), just forget about that classic and sit back and enjoy some inspired moments and good chase bits, and play 'guess the next victim' with your friends. It's a riot. DEEP BLUE SEA may not break any new ground, but there are some excellent disaster moments (the large window cracking being one of them, it might have been nicked from THE LOST WORLD: JURASSIC PARK but it's a whole lot better) and there are plenty of things to divert your senses from the somewhat shallow nature of the film - no pun intended.",Deep Blue Sea
1,SnoopyStyle,Camp action but too stupid,5,29 December 2013,"Dr. Susan McAlester (Saffron Burrows) leads a team of scientists in Aquatica, an offshore research lab, to cure brain diseases like Alzheimer's. After a terrifying escaped test shark, investor Russell Franklin (Samuel L. Jackson) goes out to investigate. The scientists are expanding the brains of sharks, but the Harvard Genetics Compact doesn't allow the sharks to be genetically modified. At least, they are not supposed to.None of it makes that much sense. Why built a facility offshore? Why not just built big tanks like an aquarium? If all they're doing is raise sharks, there has got to be an easier way. It's begging for trouble when the next big storm to hit. The whole thing doesn't past the smell taste. If you can get past the stink, there are some fun action and some water games. But I would mostly recommend against watching this.",Deep Blue Sea
2,Sleepin_Dragon,Don't mess with Mother Nature.,6,3 June 2017,"Doctor McAlester carries out tests on Sharks, in order to discover a cure for Alzheimer's. The testing increases the brain activity of the sharks, making them more intelligent. When a storm hits the underwater base and it floods, the forces of creation are set loose.The casting is a little bit hit and miss, Saffron Burrows carries the film fairly well, Thomas Jane is quite good, Stellan Skarsgård is good but doesn't get enough time. LL Cool J's character was badly written, he didn't have much of a chance.I love the idea of hyper intelligent sharks, predators I would have thought are super in intelligence to begin with made more so, there are some good ideas on show.CGI effects ahead of their time, the sharks look fantastic. I still love the scene where Jackson is eaten, arguably the most memorable thing about the film.Soppy and definitely silly at times, how Presented her survived Lord only knows, and then manages to kill The Mako. That awful line 'take me back to the ghetto,' bad.A typical base under write from a clever monster film, but there's enough laughs and goings on to keep you entertained. 6/10",Deep Blue Sea
3,gavin6942,A Cast to Die For,6,26 March 2015,"Searching for a cure to Alzheimer's disease a group of scientists on an isolated research facility become the bait as a trio of intelligent sharks fight back.Screenwriter Duncan Kennedy acknowledged that ""whenever anyone mentions a shark movie, they naturally think of Steven Spielberg. The problem with approaching a shark movie is how do you do it without repeating Jaws?"" That is precisely the problem with shark movies. There have been dozens of them, but it all comes back to ""Jaws"" (even if ""Jaws"" was not the first). Luckily, they approached this the right way -- nodding to Spielberg and carrying on.Roger Ebert wrote, ""In a genre where a lot of movies are retreads of the predictable, 'Deep Blue Sea' keeps you guessing."" From a horror-basher like Ebert, that is quite a compliment. But also, this one has the cast to make even a retread work. Thomas Jane pre-Punisher, Sam Jackson, Michael Rapaport? This is gold.",Deep Blue Sea
4,lee_eisenberg,SLJ didn't get to use his important word in any of his movies from 1999!,5,2 November 2019,"Renny Harlin spent the '90s as one of the purveyors of action cinema: ""Cutthroat Island"", ""The Long Kiss Goodnight"", and ""Deep Blue Sea"". This is one of the many horror flicks about enhanced predators that turn on humans. And let's face it, if you've seen one shark movie, you've seen 'em all. The innovative horror flick from summer 1999 was ""The Blair Witch Project"", which trounced the no-plot ""Eyes Wide Shut"" (seriously, how could the director behind ""Dr. Strangelove"", ""2001"", ""A Clockwork Orange"" and ""The Shining"" end his career with something so crummy?).My point is that in a year that gave us TBWP, ""The Matrix"", ""Election"", ""The Sixth Sense"", ""American Beauty"", ""Fight Club"" and ""Being John Malkovich"", this hardly registers. Unless of course you're in for some nice, brainless fun. Alas, you won't hear Samuel L. Jackson use the word that he's presumably supposed to use in every role (hint: it appeared on his wallet in ""Pulp Fiction"").I can never think of LL Cool J without realizing that he's the only rapper to have ever co-starred with one of Alfred Hitchcock's icy blondes (with Janet Leigh in ""Halloween H20"").",Deep Blue Sea
5,jboothmillard,Deep Blue Sea,6,12 July 2005,"From director Renny Harlin (Die Hard 2: Die Harder, The Long Kiss Goodnight), I didn't really pay full attention to this the first time, but the second time I took more notice. Basically Dr. Susan McCallister (Saffron Burrows) needs funding for her new brain re-activation facility, and she is allowing investigator Russell Franklin (Samuel L. Jackson) to look over their progress. When he arrives at Aquatica, he meets fellow scientist Jim Whitlock (Pirates of the Caribbean's Stellan Skarsgård), and the rest of the team: marine biologist Janice Higgins (Jacqueline McKenzie), engineer Tom 'Scoggs' Scoggins (Michael Rapaport), shark expert Carter Blake (Thomas Jane), meteorologist Brenda Kerns (Aida Turturro) and chef Sherman ""Preacher"" Dudley (LL Cool J). They have experimented and genetically re-engineered large Waco sharks, and one is captured to test in the lab to see whether or not a blood sample can cure a brain sample infected by Alzheimer's Disease, and it proves successful. However, things start going wrong when a the shark wakes up and bites off Jim's arm, and the other two sharks follow suit and cause Aquatica to start flooding. The survivors of the structural collapse know that they have to get out before Aquatica completely floods, and they are having to go against the rush of the deep sea water, and of course the dangerously intelligent sharks, oh yeah, the experiments made them smarter. One by one the survivors are killed by either the destruction of the facility, or more often the sharks coming after them, and in the end, the last three to reach the surface are Carter, Susan and Preacher. They realise though that the sharks have been playing them all along, two of them have been killed, but the last one they know wants to get out to the open sea, so Susan sacrifices herself and the other two try to blow it up. It is basically an excuse to spice up the tricks and traits invented in Jaws, with a B movie cast, that all do well, especially Jackson and Cool J. There are plenty of jumpy and bloody moments, and some good tension, if it is wasn't for this it might just be an average science fiction action thriller, but it isn't. Good!",Deep Blue Sea
6,Tweekums,Silly but exciting shark thriller,8,29 January 2020,"As part of a project to cure Alzheimer's disease scientist Dr Susan McAlester has been experimenting with the brains of mako sharks; now her funding is under threat. As a side effect the sharks seem to be getting more intelligent. The experiments are taking place in a floating laboratory constructed on a disused World War Two submarine pen. Shortly after Russell Franklin, an executive representing the firm sponsoring the experiments arrives things start going wrong. A shark bites a seriously injures one scientist. Then as a rescue helicopter arrives during a storm they cause it to crash. This destabilises the facility causing it to start to flood. Now the sharks can get in and hunt down the survivors. The motivation for their precise actions aren't immediately obvious but they do appear to have a plan.When a new shark attack films arrives it will always compared to 'Jaws' and will always be found inferior... this is no different. That doesn't mean it is a bad film though. The story provides plenty of thrills from start to finish and not everything goes as expected; characters the viewer will expect to die don't and others we are sure will survive die relatively early in the proceedings. The idea of 'smart sharks' may be pure sci-fi but they are effective and it explains actions which would otherwise seem ridiculous. The way the story plays out in the increasingly flooded structure reminded me of 'Alien' more than 'Jaws'; in fact one scene in a flooded elevator shaft is almost identical to a scene in 'Alien Resurrection'! The cast is impressive featuring the likes of Samuel L Jackson, Stellen Skarsgard, LL Cool J and Saffron Burrows amongst others. While this is mostly about the scares there are touches of humour; mostly from LL Cool J's character, the facility cook, who is likeably funny without ever being the designated 'comedy relief'. Too often films like this have at least one villainous character but this was improved by the fact that the characters motives were pure even if certain choices were wrong... those choices have to be made to give us the brainy sharks without which we wouldn't have the story. The special effects are impressive; especially the sharks but also various explosions and other moments of drama. The use of many physical effects, such as having the cast in real rough water helps the viewer believe what they are watching. Overall I enjoyed this more than expected and would definitely recommend it to fans of creature based horror.",Deep Blue Sea
7,BA_Harrison,"When will scientists learn? Tamper with nature, and soon enough it'll bite you in the ass.",9,26 February 2010,"It must be a real drag to not be able to watch a dumb, summer blockbuster without poring over the details of the plot, analysing the performances, and studying the special effects through the eyes of a Weta employee. I am just thankful that I can sit down and enjoy a film about over-sized, super-intelligent, man-eating sharks without worrying about insignificant things like character development, scientific accuracy, or whether a killer fish looks 100% real or not.If you are also able to divorce yourself from reality and enjoy a film as pure entertainment rather than a work of art, then Renny Harlin's Deep Blue Sea should prove to be the perfect way to spend an hour or two. The director who gave us excellent action-fests Die Hard 2, The Long Kiss Goodnight and Cliffhanger delivers yet another slam-bang, explosive and thrill-packed adventure that delivers top-quality excitement and effective scares from the get go.Set on a floating, mid-ocean research facility, the film revolves around the search for a cure for Alzheimer's using fluids extracted from the enlarged brains of genetically altered sharks. As is usually the case when scientists decide to meddle with nature, the s**t soon hits the fan: a series of disasters result in the scientists being trapped in the slowly flooding facility with their hungry scientific specimens for company. Cue lots of water, loads of screaming, and bodies being torn apart with ease by massive CGI sharks.As far as I am concerned, this film really delivers the goods: the cast are great, with Thomas Jane playing the hero with ease, Burrows' sexy scientist adding some T&A (giving us one hell of a gratuitous 'strip' scene), LL Cool J as the stereotypical comedy relief, and Samuel L. Jackson providing the film with the movie's standout scene, a motivational speech that doesn't quite have the desired effect; in addition, the action is slick, nail-biting, and perfectly executed by Harlin, and although not always perfectly rendered, the sharks are believable enough to be scary.8.5 out of 10, rounded up to 9 for IMDb.",Deep Blue Sea
8,paul_haakonsen,Better than most shark movies at least...,6,17 June 2018,"While ""Deep Blue Sea"" is no Academy award-winning movie or a movie that revolutionized the shark movie genre, then it is still a rather enjoyable movie and it certainly beats most shark movies by a mile.There is an abundance of good action throughout the course of the movie, most of which is quite intense both is execution and presentation. There are plenty of moments that will have you up at the edge of your seat the first time you watch ""Deep Blue Sea"".""Deep Blue Sea"" has fairly great CGI effects for the most parts. The sharks look realistic and menacing, and that is a must for a movie in this killer shark genre. However, it looked rather fake when the sharks took Russell Franklin (played by Samuel L. Jackson) and Jim Whitlock (played by Stellan Skarsgård).They had an interesting and good cast ensemble to perform in the movie, which included Thomas Jane, Samuel L. Jackson, Stellan Skarsgård and Michael Rapaport.All in all, ""Deep Blue Sea"" is a good shark movie, and one you definitely should take the time to watch if you enjoy shark movies and haven't already seen it. A friendly word of advise though, stay well clear of the sequel they made for it.",Deep Blue Sea
9,Quinoa1984,Thrilling,6,24 July 2000,"This film is thrilling, but it is not Jaws.  This film has a good plot to begin with (taking shark brain to cure alzheimer's), and some good thrills, I just felt un easy about the film.  I mean, I thought there were rules to the characters that die (spoil I won't) and don't.  Still, It's fun to watch LL Cool J, Samuel L. Jackson and Safrron Burrows trying to escape from a smart shark.  Never can be as good as Jaws though (so please don't say it is as good if not better than it).  Cool J performs the theme to the movie. B+",Deep Blue Sea
