,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Rather hard to describe but good.,8,14 July 2013,"""Babel"" is an unusual style film. Now I am not saying it's unique--there are other films like this that are made up of seemingly disparate stories that all end up tying together by the end--such as the multi-Oscar winning ""Crash"". This makes it quite unusual and the acting make it well worth seeing.The film begins in Morocco and ultimately results in a senseless shooting of an American tourist. How and why this also results in the film episodically ending up in San Diego, Mexico and Tokyo is just something you'll need to see for yourself.As I mentioned above, the acting is the big reason to see this one. Although there are some big name actors in this one (most notably Brad Pitt), these actors are nice because they are not the BIG STARS in the film--just actors acting naturally among a cast of many excellent minor actors and non-actors (like many of the Moroccans). All create a very realistic looking film--which I like.Now I am not saying the film is perfect (hence my score of 8). A few of the characters (such as the deaf Japanese girl) behave very oddly. Another example is the Mexican lady who runs AWAY from the road into the middle of nowhere in the middle of the night (why?!?). There also was a lot of very explicit nudity--something that might limit its overall appeal. Still, well worth seeing and a very unusual sort of ensemble film.",Babel
1,TheLittleSongbird,Fascinating and often beautiful,8,9 June 2017,"'Babel' is not one of Alejandro González Iñárritu's best films and falls short of being a masterpiece. It does however show how immensely talented he is as a director who to me has not made a bad film, 'Babel' while divisive is still a very good film that's fascinating and often beautiful. Even when Iñárritu is at his weakest or not at his best he is much better than most directors at their worst.Not without its faults. 'Babel' is a little overlong and the ending is abrupt. A couple of parts are on the contrived side. 'Babel' is a film where the pros far outweigh the cons, though it is easy why some people would not be, and have not been, totally enamoured by it.It's exquisitely filmed with beautiful and atmospheric settings. Iñárritu's direction is as superbly accomplished as ever. The music is haunting and fits very well, the sound has great authenticity.Scripting is thought-provoking, exploring its themes well and deftly moving between its four stories and characters. 'Babel' is coherently structured, remarkable for more than one story plot going on which don't give an over-stuffed feel thankfully.The acting is one of the best assets. Brad Pitt is a commanding lead, and while Cate Blanchett could have more to do she is a strong presence. Gael García Bernal is more than up to their level. The best performances come from a heartfelt Rinko Kikuchi and a formidable Adriana Barraza.In summary, fascinating and often beautiful. 8/10 Bethany Cox",Babel
2,SnoopyStyle,Half good,6,30 December 2013,"It's four interconnected stories. A Moroccan boy plays around with a gun and shots an American tourist. Susan Jones (Cate Blanchett) is shot while vacationing in Morocco with her husband Richard (Brad Pitt). The nanny Amelia (Adriana Barraza) is forced to watch their kids, but she takes them to Mexico to her son's wedding. Meanwhile a deaf Japanese girl is sexually frustrated, and the police is looking for him about a gun he gave to a Moroccan.There is too much Babel. The Japanese story is extraneous, and really doesn't fit into the main story. The girl's nudity is ill-fitting. The Mexican story is way over the top. The ending should be much more simplified. The situation at the border is trying too hard. A more easy deportation ending would be so much better.The good part is the Moroccan story, both the locals and Blanchett/Pitt. The other two stories keep sidetracking the main plot. The movie is half good, half overblown.",Babel
3,mark.waltz,A filmed that angered me and made me think on many different levels.,7,8 April 2010,"I can't say that I liked this film because there are many things in it which either upset me or I didn't feel belonged in the film. It is a film which touches many different emotions because of the variety of narratives and themes that the plot deals with. On one hand, it is a film that shows how you sometimes find humanity in the most unexpected of places. On another hand, it shows that sometimes people fall into the depths of despair so drastically that it becomes practically impossible to dig yourself out. It is also about how the most spontaneous choices we make can destroy us and those around us, and how sometimes even the best of intentions can be the worst decisions we ever make.The narrative involves telling several stories from different times and angles. For example, the story of the Moroccan boys with a new rifle is developed to where something bad happens, but the audience is not lead to see what that event is until later when another part of the story leads us to another view of the same incident. Then, the story of the deaf and mute Japanese girl dealing with her handicap is told, and it seems like this plot has no place in the movie. Another story develops with the loving Mexican nanny whose decision to take her wards with her to Mexico for a family wedding ends up destroying her life, even though she did so with the best of intentions. Whatever reason the title ""Babel"" is used, for me, it was meant as a metaphor for the Tower of Babel where a communication barrier creates conflicts that unfortunately cannot be resolved. The American couple (Brad Pitt and Cate Blanchette) traveling in Morocco must face the differences between their culture and the Muslims, while the two young American children find themselves suddenly trust into the Mexican culture that is somewhat strange, briefly scary (the killing of a chicken), and then fun (the wedding reception). This storyline for me is the most interesting, because it really could have been a separate movie that lead to human rights being fought for because of what happens to the poor Mexican lady who deserved better treatment than she got once her plans to return the children home went haywire. Adriana Barraza gives an amazing performance as the nanny; I thought she was award worthy and was thrilled to find out she got an Oscar Nomination. Not since Louise Beavers and Juanita Moore in both versions of ""Imitation of Life"" has there been such a well developed characterization of the tragedies and struggles of a servant whose devotion to their employers (in this case, Amelia's charges) is so filled with angelic beauty. This character truly is an Angel in America, suffering for being more loving than anybody can imagine.I had a difficult time with the story of the deaf Japanese girl (Rinko Kikuchi). Yes, I can certainly feel for her loneliness but her seeming obsession with sexual attention was painful to watch, even if it was a pitiful cry for love at any degree. The scene in the dentist's office was particularly sickening to see, even if it shows an accurate account of the depths of despair that this character was going through. Kikuchi is excellent in the role, and it is probably the almost unbearable viewing of her pathetic life that made this role quite challenging and extremely difficult to play. Again, this is another plot which could have been a separate movie, watching this character get the psychological help she needed to move on to accept her deafness and accept herself for who she was. I found it entirely too creepy to watch.There is also a brief sequence that I thought was unnecessary and made me very uncomfortable, watching the young Moroccan boy watching his older sister voluntarily strip naked for him, then him try to relieve himself afterwords. Was this really important to the plot? Not at all, and it sickened me to see this included. Develop these boys story with having the gun and the tragedy it resulted in, but keep the sexual contact out of it. It doesn't belong here.There is the humanity level of the story which finds different nationalities coming together as one. We are reminded here we are not of different race. We are part of the human race, one which I would like to write every time some application asks me to specify. The scenes of the Arabs being more sympathetic to Brad Pitt's plight than the American tourists on the bus was very revealing. Also, how this blew up in the press as well. When a private painful event such as this happens, where should the press draw back? It becomes disgusting every time I see a private citizen's life in the news being invaded when they deserve respect was confirmed in the scenes with Pitt and the press here. This is a film I will have to think a lot about to really confirm how much I like it on the whole.",Babel
4,claudio_carvalho,"Globalization, Lack of Communication and Paranoia in a Powerful Drama",10,7 September 2007,"In Morocco, a shepherd buys a powerful rifle for his sons to protect his herd of goats against jackals attack. The younger decides to test the weapon's range of 3 km and shots an American woman in bus. Her husband is trying the reconciliation of their lives through vacation in Morocco. Due to the incident, in San Diego their Mexican maid travels to Mexico with their children for the marriage of her son. Meanwhile in Tokyo, the police tries to contact the former owner of the rifle, and his daughter that is feeling rejected misunderstand the reason of the investigation.This is the third movie of the brilliant director Alejandro Gonzáles Iñarritu that I watch (plus one short), and all of them have the same characteristics: magnificent and complex screenplays and characters, telling different stories that entwines. The dramatic ""Babel"" is a powerful tale of globalization, lack of communication and paranoia that shows how connected we are with other human beings. Through an accidental shot in Morocco, and complex and well-developed characters, the stunning Iñarritu discloses four entwined stories in four countries affecting the lives of ordinary people mostly because the lack of communication in the present days. In times of Internet, cellular and other efficient means of communication, the human beings seem to have lost the ability to communicate directly to each other. At least, this is the message that I felt in this awesome movie. The Moroccan boys are not comfortable to tell their father that they shot the American tourist; the Moroccan police uses violence to interrogate; the tourists do not show any sympathy with the wounded woman; the deaf and dumb Japanese girl can not communicate with other teenagers, having a rejection process; the Mexican driver can not talk to the abusive American custom guard; even Richard and Susan have problems of communication in their relationship; therefore, they are doomed to not reach heaven due to their inability to communicate to each other, like in the biblical story. Brad Pitt is very mature and his performance is the best that I have seen in years. The soundtrack is amazing, giving a perfect complement to each scene of this perfect film. My vote is ten.Title (Brazil): ""Babel""",Babel
5,kosmasp,A gripping story,8,2 April 2007,"If you know the directors previous works (Amorres Perros & 21 grams) you kind of know what you're in for. And a popcorn movie this ain't! It's heavy drama, with very good acting in it. You have a few different locations, with different actors. Everyone is speaking in their native language. That means, that unless you are a language expert, you will have to read subtitles! But then again the title is kind of a giveaway. But the direction is wonderful and the stories are well told. No wonder the movie was nominated for so many Oscars. Although I didn't think it would win, that wasn't because I thought the movie didn't deserve it, but because it seemed to be the time of Scorsese! And indeed it was.If you like well told stories and you are not shy of heavy-weight drama, then you should watch this movie.",Babel
6,gavin6942,"Gripping, I Could Not Turn It Off",8,16 June 2011,"Tragedy strikes a married couple (Brad Pitt and Cate Blanchett) on vacation in the Moroccan desert, touching off an interlocking story involving four different families.While I do not think this film is nearly as good as ""Amores Perros"", it follows a similar formula that pays off well with great interlocking stories and a fantastic international cast. While the central story is the Pitt/Blanchett story, theirs is actually the least interesting.Strangely, the most interesting was the story of the deaf girl in Japan. Her connection to the rest of the film is so minimal that it really serves no purpose. But even so, she has a story to tell and it is an interesting one. And, best of all, she creates mystery as she goes... this story could kick off a sequel (but sadly will not).",Babel
7,lee_eisenberg,life goes grim,9,27 February 2007,"After ""Babel"" won an Oscar for Best Original Score on Sunday, I watched it last night. It is certainly a disturbing movie, portraying four different stories connected by an accidental shooting in rural Morocco. Many people will probably agree that this is one of a growing number of movies with several plots all sharing a common link (along with ""Crash"" and ""Syriana"").The main story - so to speak - involves the husband and wife tourists in Morocco. After Susan (Cate Blanchett) gets mysteriously shot in a tour bus, her husband Richard (Brad Pitt) makes the driver stop in a small village, where he desperately tries to call for help. As they wait for help to arrive, the other passengers get increasingly frustrated about having to stay in this backwards town, to the point where it looks like emotions on all sides might completely boil over.The next story centers on the Moroccan boys who fired the bullet. Hoping to shoot the jackals preying on their sheep, they use a gun sold to them by a Japanese tourist, only to set in motion a series of events touching every corner of the globe. Worse yet, they run the risk of interrogation by the Moroccan police.Then, there are Susan and Richard's children, being cared for by Mexican housekeeper Amelia (Adriana Barraza). When she learns that her son back in Mexico is about to get married, she has to take the children down there with her...only to have an ugly series of events unfold.Lastly, there is Chieko (Rinko Kukuchi), the deaf-mute Japanese girl whose father sold the rifle used in the shooting. Chieko was already an outcast, but the calamity set off half way around the world drives her to the point of near insanity.I would say that Amelia is the most intriguing character in the movie. While each storyline shows people sinking further into desperation, hers is compounded by her status as an immigrant, and the irresponsible actions of her nephew (Gael Garcia Bernal). During the whole sequence out in the desert, one can imagine that she must be feeling almost the same thing that Richard and Susan are feeling in Morocco. And the gravity doesn't end there.Is ""Babel"" a perfect movie? Far from it. The story taking place in Japan isn't tied together as well as the other stories. Amelia's nephew also seems like he was added as filler at times. To tell you the truth, I'm not sure that I would have nominated this movie for Best Picture. But other than that, I thought that it was a very well done film, showing the influence of globalization in our modern world. Alejandro Gonzalez Inarritu has once again shown himself to be a very capable director.",Babel
8,jboothmillard,Babel,5,26 June 2007,"From Cannes Film Festival winning, and Oscar, BAFTA and Golden Globe nominated director Alejandro González Iñárritu (21 Grams), I admit I was expecting a big deal independent film, but there are still reasons to like it. Basically, some boys in the deserts of Mexico (not too far from their town) are playing with a gun that can shoot shells up to 10 feet, and beings kids they shoot a passing bus. In a flashback (before this moment), you find out a couple from San Diego, California, vacationing in Morocco, are victims to this shot, when the wife Susan (Cate Blanchett) is hit in the neck, and husband Richard (Golden Globe nominated Brad Pitt) is desperate to get help. The other three stories interwoven with this incident are obviously the kids with their father and village, the nanny of Richard and Susan's kids taking them to a wedding, where they also have disaster with one kid dying and the nanny told to deport for being an illegal immigrant, and a Chinese girl in Tokyo is dealing with rejection, after the death of her father, trying everything she can to seduce almost anyone. Also starring Gael García Bernal as Santiago, Koji Yakusho as Yasujiro, Oscar and Golden Globe nominated Rinko Kikuchi as Chieko, Oscar and Golden Globe nominated Adriana Barraza as Amelia, Boubker Ait El Caid as Yussef, Said Tarchani as Ahmed, Elle Fanning as Debbie and Nathan Gamble as Mike. Pitt and Blanchett may be the only two actors I actually know (it is good to see familiar faces in a low budget film), but it is an interesting film with almost all filming hand-held, and many of the scenes on location (in the countries). It won the Oscar for Best Music, Original Score for Gustavo Santaolalla, and it was nominated for Best Motion Picture of the Year, Best Editing, and Best Writing, Original Screenplay, it won the BAFTA for the Anthony Asquith Award for Film Music, and it was nominated for Best Cinematography, Best Editing, Best Original Screenplay, Best Sound, the David Lean Award for Direction, and Best Film, and it won the Golden Globe for Best Motion Picture - Drama, and it was nominated for Best Original Score, and Best Screenplay. Worth watching!",Babel
9,moonspinner55,"Absorbing, extremely well-made, but not likely to be anybody's favorite movie...",6,25 April 2010,"Following ""21 Grams"", yet another gut-wrenching examination of unfair consequence via unfair actions by director Alejandro González Iñárritu, who helped concoct this tapestry with screenwriter Guillermo Arriaga. Two Moroccan kids in a mountain region, playing around with their father's newly-acquired rife, shoot at a tour bus and hit an American woman; she's the mother of two kids from San Diego who are being looked after by an Hispanic nanny living in the U.S. illegally; meanwhile, the rifle is traced back to a Japanese businessman whose deaf daughter is desperate to get somebody to notice her. Weaving these stories together in a precisely shuffled format doesn't quite reap the sucker-punch results of ""21 Grams"", mainly due to the American tourists episode (which leaves Brad Pitt and Cate Blanchett with very little to do). Also, there is too much of a stop-and-start feel to the drama which, when it isn't being stifled off to bide time, is overlaid with artistic accoutrements. Certainly this is a well-made, well-acted picture--and technically it is quite a marvel--yet as the circle is cannily brought together, one may not find the puzzle as satisfying as the filmmakers apparently do. ""Babel"" is meant to be thought-provoking and unnerving, but there's a straying quality to the storytelling which puts the audience through their own version of hell. **1/2 from ****",Babel
