,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,About as good as the 1938 film,8,17 March 2009,"I've seen MY FAIR LADY several times. However, it wasn't until last night that I finally saw the 1938 version of PYGMALION and this was very interesting indeed. It seems that MY FAIR LADY is actually NOT based on the George Bernard Shaw play as much as it's based on the Leslie Howard movie. That's because the dialog (particularly Henry Higgins') is often word-for-word that of the film. Additionally, both films have the same ending--one that is NOT the same as the original play. In the play, the ending was more sad but also much more realistic and consistent with the characters and their growth (or lack thereof in the case of Henry Higgins).Quality-wise, both films are superb and I enjoyed them immensely. One very obvious difference is that MY FAIR LADY is a musical with lovely songs, so it's a much longer movie. Another is that although Leslie Howard did a very fine job, somehow Rex Harrison came off as grouchier and more entertaining in the lead. Another major difference is that MY FAIR LADY feels more like a comedy and PYGMALION feels much more sad and deeper emotionally. Because it is a bright and colorful musical, the characters in MY FAIR LADY seem a bit less real, but with PYGMALION you are almost brought to tears late in the film.My recommendation is that you see them both. Both are exquisitely produced and acted and you can't go wrong with either one. I could say more in my review about this film, but considering that there are already a zillion other reviews, I'll end it here.UPDATE--Only days after posting this review, I got quite a few ""not helpfuls"". I assume this is from fans who adored this 1964 film. Well, my response is that it can't merit anything more than an 8 because the dialog was directly lifted from the earlier film AND so much of the singing was NOT done by the stars themselves. To me, these are flaws that prevent the film from earning a higher score. And, while I think about it, cannot justify the many 10s I see for the film.",My Fair Lady
1,TheLittleSongbird,"An enchanting musical, that is a joy to the eyes as well as to the ears.",10,13 July 2009,"My Fair Lady, loosely based on George Bernard Shaw's play Pygmalian was a film I saw recently, and I absolutely loved it, and I am 17. It wasn't just the acting, but also the overall look of the film and the music. Mind you, I saw the restored version.The film looks exquisite, with stunning sets and truly luscious costumes. A prime example is the ballroom scene. Audrey Hepburn's dresses were also a marvel to look at. This was also helped by the superb cinematography, and the detailed direction, provided by George Cukor. The scene at the racetrack was one of my personal favourite scenes from the film. Oh, and the choreography is fabulous.The script is witty and acerbic, with excellent scenes with the social commentary. The story is simple, but is well told, and fits the lengthy running time perfectly.The music by Frederick Loewe is just outstanding. Asides from the costumes, the songs are ones that you hear once and never forget. Songs like I Could Have danced All Night, With a Little bit of Luck, Just You wait, Why Can't A Woman Be More Like A Man? and Wouldn't it be Loverly linger long into the memory, and are a joy to the ear. I loved the incidental music at the beginning, then again I am the sort of person who is raised on classical music, and appreciates music for what it is.The performances also added a lot to the film; Rex Harrison was just superb as the cynical, misanthropic Professor Henry Higgins, who transforms Eliza Doolittle to the woman she is at the end of the film. The Belgian actress Audrey Hepburn is perfectly enchanting as Eliza, and Marnie Nixon provides her singing voice beautifully.(yes she was dubbed, and Audrey Hepburn is not a slut) There is solid support from Stanley Holloway and Gladys Cooper, and watch out for Sherlock Holmes actor Jeremy Brett as Freddy.In conclusion, a truly beautiful film, that deserved all the praise it got, it is an amazing film, that is misunderstood. It is also a perfect treat for around Easter time. Honestly, for those who think it is the worst movie ever made, see something like Home Alone 4, the only film I can think of that deserves a minus rating, that's how terrible that film is. My Fair Lady gets a 10/10 from me, Bethany Cox.",My Fair Lady
2,bkoganbing,Enchantment Pours From This Wonderful Score,9,15 October 2007,"The only complaint I have about My Fair Lady is that in their infinite wisdom the Brothers Warner decided that Julie Andrews could not repeat her performance of Eliza Doolittle from Broadway. Otherwise you have to go some to criticize this film because everything else about it is so right.I still remember the controversy over signing Audrey Hepburn for the female lead. Warner Brothers was going to sign Cary Grant for the role of Henry Higgins and James Cagney for Alfred P. Doolittle. Though that would have been an interesting film, Cagney was committed to retirement and Grant loudly and publicly refused the part and said they were crazy to sign anyone, but Rex Harrison. So Harrison and Stanley Holloway were the only ones to repeat their parts from Broadway. Poor Julie Andrews had no one speaking up so publicly for her.It was the old story of a proved movie name for box office, even though Andrews had broken into film with The Americanization of Emily and was well received. I always marveled at Julie's singing of Eliza Doolittle's part, how she held those high notes and a cockney accent at the same time in Wouldn't It Be Loverly. Marni Nixon who had dubbed Deborah Kerr in The King and I and Natalie Wood in West Side Story did the honors for Hepburn's singing voice. My Fair Lady as we all know is based on George Bernard Shaw's play Pygmalion and for Shavian purists who want his social commentary, I recommend seeing Leslie Howard and Wendy Hiller in the film version of Pygmalion. Probably Shaw would not have liked the emphasis on romance that My Fair Lady has, but I'm betting he would have liked the score that Alfred Jay Lerner and Frederick Loewe. I can't recall anyone who doesn't like it.The songs both fit the plot situations and some stand on their own to become major hits. I Could Have Danced All Night which Hepburn/Nixon sings to express her breakthrough with the cultured speech that Harrison is teaching the cockney flower girl is almost an anthem for anyone who has unparalleled good time or achievement. I've Grown Accustomed To Her Face which Harrison talk/sings in his fashion is a great song about all the emotions one feels at a special someone's abrupt departure.But My Fair Lady's biggest hit is On the Street Where You Live sung by the minor character of Freddy Eynsford-Hill who is Harrison's rival for Hepburn. In the film he's played by a dubbed Jeremy Brett in the singing department by Bill Shirley. Shirley some might remember appeared in some minor musicals for in the Forties and Fifties and is best remembered for a pleasant tenor voice singing some forgettable songs in Abbott and Costello Meet Captain Kidd.I remember well in 1957 On the Street Where You Live on every pop station several times a day by any number of singers, the biggest hit version by Vic Damone. It's one of the most romantic songs ever written about the first blush of love. You get a towering feeling indeed when you hear that lyric sung.The two repeaters from Broadway, Rex Harrison and Stanley Holloway, took home the Oscar gold for Best Actor and Best Supporting Actor. And Director George Cukor won his only Oscar for Best Director. Cukor in all the years of the great Hollywood studio system when he turned out classic after classic for MGM, admittedly wanted the Oscar to cap his career. He frankly admitted campaigning for it like a politician, but it paid off. And of course it was the Best Picture of 1964.And the winner of the Best Actress, Julie Andrews for Mary Poppins. Audrey Hepburn wasn't even nominated. I can't complain about her performance, but many felt Andrews should have acted AND sung the part as well. Still don't miss this absobloominutely loverly musical.",My Fair Lady
3,Leofwine_draca,Amiable enough,6,16 September 2021,"Not a bad version of the Shaw play but I've seen the stage musical and it felt a lot better. Hepburn is playing one of those perfectly 'wholesome' characters who gets on my nerves a little and as ever there's something a bit off about Harrison. But the trappings are good and the songs are decent, so it's amiable enough.",My Fair Lady
4,SnoopyStyle,Great fun with adorable Hepburn,8,23 August 2014,"Professor Henry Higgins (Rex Harrison) is a pompous brilliant linguist who boasts that he could turn cockney flower girl Eliza Doolittle (Audrey Hepburn) into a lady in 6 months. She's hounded by her drunken father (Stanley Holloway) for money. She wants to have lessons from Higgins and Colonel Pickering (Wilfrid Hyde-White) makes a bet with him.This is a fun musical. As with some musicals of that era, Hepburn's singing is dubbed. No one would dare do that today, but one must not dismiss this movie for doing it back in the day. Hepburn plays the role older. It would help to play up her age. Her older age only helps to create chemistry between her and Harrison. Hepburn is as always very adorable. She is a brilliant comic actress. She and Rex Harrison are great foils for each other. This is a good funny acting duo.",My Fair Lady
5,Hitchcoc,What Can I Say?,10,21 September 2001,"I don't know how much I can add to this. The musical stands alone, as far as I'm concerned, so it puts a lot of pressure on the director, George Cukor, one of the greatest, to complement it. This is a lot to ask. I love this movie. I never got a chance to see the Broadway cast (I was four when it opened), but I have never been disappointed. The production numbers are grand, the byplay between the smug, offensive Higgins and Eliza is precious (my favorite song is ""Just You Wait, Henry Higgins""). I've always been intrigued how Freddy never even has a chance (I can't watch those wonderful Sherlock Holmes episodes without imagining the grim visage of Jeremy Brett singing ""On the Street Where You Live.""). The one thing that made an impression on me, though some may see it as a criticism, is how ""clean"" everything is. There is no doubt in my mind that Cukor was elevating not only the dialogue but the visual images. It's probably not fair to like a movie because you like looking at an actress, but Audrey Hepburn glows in her Eliza, and I don't care if she is or was a street girl, she is the magical rose on the landscape before she ever meets Higgins. The business about who sings the songs is of no significance to me. This is a movie, not the Broadway show, so the images and sounds are melded and presented. Knowing that Audrey Hepburn has a beautiful voice makes it moot as well. I don't know if she could carry the picture or not--maybe not, but it doesn't concern me. When I first saw Stanley Holloway, there was something about him that grated on me (too many performances on the Ed Sullivan Show). He grated on me as Eliza's father. Now, every time I see this film, I thoroughly enjoy him and I really like the comedic qualities of his song. I love how he and his cronies cavort around London with total disregard for their base roots. I could go on, but I really like this film because it is filled with class: George Bernard Shaw filtered through George Cukor. Not bad!",My Fair Lady
6,mark.waltz,Old-fashioned musical comedy has never been so wonderful.,10,21 October 2013,"Some straight plays cry for music. ""Green Grows the Lilacs"", ""The Matchmaker"", ""Auntie Mame"". And for George Bernard Shaw's ""Pygmallion"", all it took was the ingenuity of Moss Hart to get together with Alan Jay Lerner and Frederick Lowe to create a classic Broadway musical that not only ran for years but began several long-running touring companies and created a legendary film that is absolutely perfect in structure even if slightly overlong and featuring a leading lady some say was not right for the ingénue role.I disagree when it comes to the presence of Audrey Hepburn in this part. Yes, Julie Andrews had what it took on Broadway not to only be the messy looking flower girl but the great lady in beautiful gowns as well. She also had the windpipes to belt out such classics as ""Wouldn't It Be Loverly?"" and ""I Could Have Danced All Night"". Jack Warner obviously didn't want to take the chance on an unknown (even though she really wasn't unknown; She was popular for TV and theater, having played Guenevere in ""Camelot"") so Audrey Hepburn was cast. Envisioned by audiences and critics as too glamorous for the rags she wore while selling flowers, she didn't get the praise she deserved, even if those same audiences and critics did go ""ooh"" and ""ah!"" when she stepped down the stairs in her glamorous outfits for the Ascot Gavotte and the later ball sequence.Rex Harrison does repeat his role as the very ego-maniacal Henry Higgins, the eternal teacher of language who bets his pal Colonel Pickering (Wilfred Hyde White) that he can turn a flower girl into a duchess. It takes lots of chocolates and marbles being swallowed before Eliza (Hepburn) can be presented to London society where she meets Higgins' aristocratic but kind mother (Gladys Cooper). Eliza bedazzles society with her earthiness, especially Freddie Eynsford Hill (Jeremy Brett) who of sings his love for her in the breathtaking ""On the Street Where You Live"". But can Eliza escape from her past, especially when she keeps running into her blaggard father Alfred (the wonderful Stanley Holloway) who first sings of ""With a Little Bit of Luck"" as he avoids work, cops, and getting married. That last part of course, changes when he announces he's ""Getting Married in the Morning"". The extremely heavy set woman Holloway dances with in this big production number is none other than Ayllene Gibbons, the bed-ridden mother who devours a whole turkey in the cult classic ""The Loved One"". This film is jam-packed with moments of greatness, from the rose-filled opening credits and that fabulous overture, the delightfully campy ""Ascot Gavotte"" (two wealthy matrons eying each other when each of them shows up in the same ""original""), the presence of Higgins' former student (Theodore Bikel) who ""exposes"" Eliza as a ""fraud"", and finally the show-down between Higgins and Eliza after he has exploited her and the venomous ""Without You"" that leads to her declaring to him that ""you shall never see me again"".Yes, there's something about Higgins that makes him a male chauvinist pig, but there's also something very gentle and tender about him, even if he is adverse to showing it. You can see men like this existing in this time and sure in their ego of who they are and how they lived their life. All Eliza wanted was the chance to become a lady and work in a real flower shop rather than sell them on the street, so no gold digger is she. Mona Washbourne plays housekeeper Mrs. Pearce with a loving yet imperious character who finally stands up for Eliza, and Gladys Cooper is noble yet not without spunk as Higgins' moral but outspoken mother. Sharp-eyed classic film fans will recognize Isobel Elsom as Freddie's mother, remembering her with glee as the matron murdered by Ida Lupino and her sisters in ""Ladies in Retirement"" 23 years before.Artistically, musically and technically speaking, this is outstanding on every level. It is one of those films one must try to see on a big screen during one's lifetime, and with its 50th anniversary coming up, a big-screen re-release is certainly not a bad idea. Director George Cukor finally won his long-awaited Oscar for this, and while Audrey Hepburn failed to be nominated (in a year where Julie Andrews won for ""Mary Poppins""), her contributions to the film cannot be ignored, either. Some may quibble that Marni Nixon's dubbing of Hepburn too quickly looses its cockney accent when, after declaring ""The Rain in Spain Stays Mainly in the Plain"" she begins to sing of ""Dancing All Night"" with narry an ""aye"" or ""garn"" in earshot, but when you've got all this other brilliance, why care?",My Fair Lady
7,claudio_carvalho,A Too Long and Fancy Musical Version of Bernard Shaw's Pygmalion,9,9 February 2004,"Professor Henry Higgins (Rex Harrison) is an arrogant bachelor professor of phonetics who bets with his rich friend Colonel George Pickering (Wilfrid Hyde-White) that he is able to transform the accent of the simple low class seller of flowers Eliza Doolittle (Audrey Hepburn) in a British accent that would make people believe that she belongs to the high class. This musical is a too long and fancy version of Bernard Shaw's `Pygmalion'. Although being a lovely movie, winner of eight Oscars, the 1938 version, with Lesley Howard and Wendy Hiller is a much better film. Rex Harrison has a good performance, but Leslie Howard has had also in the same level, if not better than Rex's. The marvelous Audrey Hepburn is not adequate for this role. Wendy Hiller has had a better and better performance as Eliza. First, who might believe on Audrey Hepburn as a simple and ignorant street vendor selling flowers? Second, after her transformation, which man would ignore her beauty? There are some good songs, others are very boring. And they break the rhythm of the story, and make this film very long (170 min.). Further, there are too much participation of Eliza's father in this version, singing shallow and boring songs. The 1938 is more talkative and theatrical, but much better, with a very tight screenplay. My vote is nine.Title (Brazil): `Minha Bela Dama' (`My Beautiful Lady')",My Fair Lady
8,kosmasp,Abominate,5,7 July 2007,"Rex Harrisons character is. And it's also one of the musicals, that I can't watch/hear. I'm not a special musical fan to begin with, but this didn't convince me either to like it. And although I do like Rex Harrison, his character behavior makes you wonder, how anyone would/could like this guy? Especially a fine woman (or should I say a fair Lady), as in this movie? But then again it's only a movie, some would argue. But I'm pretty stunned by the fact, that even women like this movie, because although another user made a few good points, about the Rex Harrison character not being a misogynist, but a misanthrope, the overall tone of the movie remains misogynist as I see it! (and many other too) And that just takes the edge of a movie, that is supposed to be a romantic musical, in my book at least ...",My Fair Lady
9,classicsoncall,"""I'll make a queen of that barbarous wretch""!",8,26 June 2011,"I've read the pros and cons of this film, and as an outsider looking in, my advantage perhaps is that I don't know a whole lot about George Bernard Shaw, Pygmalion, Broadway musicals and Audrey Hepburn's dubbed voice as a singing Eliza Doolittle. So coming in cold, and not particularly a fan of movie musicals, I'd have to say this was watchable enough, though at almost three hours, I WAS getting antsy after the two hour mark. I realize that fans and critics will bring their own prejudices to bear in regard to the casting and staging of the story, but that aside, and with no particular horse in the race, I'd have to say that this was entertaining enough for the kind of picture I generally don't go out of the way for. My mission is to watch and review each of the movies that appeared on the American Film Institute's original 1997 list of Best One Hundred Movies of All Time. So with a clinical approach and an open mind, I'm not predisposed one way or the other to like or dislike a picture I would have passed on otherwise. So now I've seen it, it passes muster as an entertaining film, and my movie viewing experience is that much more well rounded. With a little bit of luck, you might enjoy it too.",My Fair Lady
