,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Horrible...but probably not deserving to be in the Bottom 100.,2,11 October 2018,"I have not seen any of the previous ""Scary Movie"" films. The reason why I chose to watch this one, the least financially successful and apparently worst one of them is that it has made it to the infamous Bottom 100 on IMDB....the lowest ranked major movies of all time. I have a weird desire to not only see tons of foreign and art films, but occasionally I love a bad film...particularly if they are unintentionally funny. In the case of ""Scary Movie 5"", it's a case of being unintentionally NOT funny!When the movie begins, you know you are in for a horrid film as the opening scene stars Lindsay Lohan and Martin Sheen! What follows is a very episodic film starring many C and D-list actors that parodies (or is supposed to parody) scary teen films and a variety of non-scary movies as well. During the course of the story there are jokes about weiners, drugs, feces, demonic possessions, vomit, farting, toilets and other intellectual subjects. These jokes are presented rapid-fire. Most fall pretty flat or are disgusting...and a few actually are funny...but only a few. Overall, this is a mostly unfunny movie starring many annoying actors....but, it is NOT so horrible that it deserves to be in the Bottom 100. Bottom 250...sure...but I can probably come up with at least 200 films worse than this mess...not that this is any sort of endorsement for you to watch it. If you do...don't say I didn't warn you!!",Scary Movie V
1,TheLittleSongbird,By far and away the worst of the series,1,17 July 2013,"The first Scary Movie was very entertaining if rather mindless, 2 is uneven though much better than what is often said about it, 3 was a mixed bag and 4 was poor and until now was the worst of the four. This fifth entry was just awful with no redeeming values, the only movie of the series to be on the same level as rubbish like Disaster Movie and Epic Movie and actually comes dangerously close to being even worse. Visually it's cheap, with the way it's shot and edited strongly reminiscent of a poorly done direct-to-video movie and that is the same with the sets. The soundtrack is generic and like a noisy music video with a lot thrown in for the sake of it and very little adds anything to what is going on. The dialogue toe-curlingly bad in how inane and excessively vulgar it is. Nothing about it is funny or witty, much of it is immature and insulting, if the writers were clueless as to what was funny that comes through loud and clear. The funniest it gets? ""Help, there's a mad demon in my house"", and if you're thinking that that is also stupid, you're right, it is. There is not much story here to speak of, it was just an excuse seemingly to cobble together genre send-ups and parodies and the sheer idiocy only increases. And none of these are funny, some of the gags are drawn out to an unbearable degree, the ones sending up horrors like Evil Dead have nothing atmospheric, scary or remotely creepy about them and the bulimia and pregnancy gags were tasteless(and not mildly, this is more above-borderline offensive, in quite some while no other movie has evoked a reaction as extreme as this). There's even a surreal spoof on Fifty Shades of Grey, which came across as out of place. The acting is awful, and even that is an insult to the word awful. It wasn't a problem that the original cast weren't there, what was was that none of the actors had any spirit and energy to their performances, the few actors who do have some talent are wasted and some overact, Ashley Tisdale being the worst offender. Charlie Sheen and Lindsay Lohan send themselves and their tabloid reps embarrassingly, the Paranormal Activity spoof wasn't scary or halfway amusing in the slightest. In conclusion, a complete mess and by far the worst of an overall hit-and-miss movie series. 1/10 Bethany Cox",Scary Movie V
2,Leofwine_draca,Poor Zucker,3,9 July 2015,"David Zucker was the man responsible for some of the funniest spoofs of the 1980s - I'm thinking AIRPLANE! and the NAKED GUN trilogy - so it's sad to see how far his gravitas has fallen in working on the fifth instalment of a film series that was rubbish from the outset. The only good thing about SCARY MOVIE 5 is that Anna Faris isn't in it, which has to be a positive. Other than that, it's business as usual, with no story, tons of cameo appearances, and loads of lame, gross-out jokes.This film's opening scene, featuring Charlie Sheen and Lindsay Lohan, is actually the funniest of the entire movie. It's a short spoof of PARANORMAL ACTIVITY, and it plays out ridiculously over the top, as you'd expect, but it did make me laugh out loud. Unfortunately the film then shifts to a pair of uninteresting characters and virtually retells the plot of the horror flick MAMA while throwing in lots of other random spoofs along the way.This series has always had a scattershot approach so we get riffs on the likes of DAWN OF THE PLANET OF THE APES, EVIL DEAD, and even BLACK SWAN for random measure. The humour is always stupid and only a small handful of the jokes actually work. I guess with Marlon Wayans being out of the franchise the film-makers had to bring in a black 'street' presence, so we get Snoop Dogg in some random, extraneous sub-plot. Terry Crews, Jerry O'Connell, Mike Tyson, and Heather Locklear have cameos. Overall, I'd recommend changing the channel.",Scary Movie V
3,SnoopyStyle,what do you expect,3,13 October 2018,"Punk rocker Jody (Ashley Tisdale) and her ape researcher husband Dan (Simon Rex) are a happily childless couple. Their lives are turned upside down when Dan's lost nieces and baby nephew are found. Despite her objections, he eagerly takes them into their home. The former wild kids claim that they were being looked after by an entity called Mama. Jody has to abandon punk rock and follows her mother's career into ballet.It is exactly as one expects from the fourth sequel in the horror spoof franchise Scary Movie. It is much too scattered. It doesn't have Anna Faris. None of it rises to be funny. It would be more compelling to stay strictly with Mama even thought that movie isn't that popular or good. The Black Swan stuff is a waste. It would be well advised to fast forward sections of this movie.",Scary Movie V
4,nogodnomasters,Is there a cellar?,6,22 December 2017,"One of the nice things about this series is that the current film doesn't build upon previous installments. However, it is a spoof of other films which means you must have either seen those films, or have enough knowledge of them to enjoy this film.Number 5 builds primarily on the film ""Mama"" but also incorporates the Paranormal series, ""Planet of the Apes,"" ""Black Swan,"" Madea, ""Evil Dead,"" Inception,"" and ""The Help,"" plus a few I might have missed. The Zucker humor in this film is no different than previous films relying in part on crudeness and slapstick.The best part of this film was the beginning as Charlie Sheen and Lindsey Lohan joke about their real life and have a sex scene out of a Benny Hill episode. Unfortunately they die after opening scene and do not appear again outside of some doctored up photos.This is not a film you must rush out and buy. It can wait for a price drop...like a 5 pack for $5.00.Parental Guide: F-bomb. Silly sex scene. Fake butt nudity. Fat woman in thong.",Scary Movie V
5,kosmasp,Starts off completely wrong aka Paranormal Mama,5,13 October 2013,"But maybe that is why in the end I kind of enjoyed some of it. Not the beginning bit, mind you! Even Charlie Sheen explaining that (which is the only thing worse than his skit/intro with Lohan) does not make it better. We get, the two of them are making fun of themselves. Not something that is particular funny though.The rest of the movie though: There are a few things, that were so silly that I had to laugh. Maybe it only makes sense or is kind of funny, if you have seen the other movies. Like ""Mama"" or ""Paranormal Activity"" which are the biggest influences here. If you have seen Haunted House (which I watched after Scary Movie 5) before you watch this, you might even like it more than I did. Regular Anna Faris is not back this time, but we get another actress who's doing a decent job of replacing. Though I guess if you were a fan of Farris, than you might be mad at her (not her fault though).By far not the best spoof I've seen, but if you let yourself to it (and be silly) this actually has some funny moments (don't let that stupid beginning ruin the whole movie for you).",Scary Movie V
6,Sleepin_Dragon,Don't expect much.,5,22 April 2019,"It's fair to say that it is the worst of the series, it's let down by some really awful scenes, and some dire performances, but, it still has some of the old magic, and a few times I did find myself laughing. The scene between Sheen and Lohan was perhaps the worst thing I have ever seen, it was appalling, almost like an attempt to replicate the Pamela Anderson scene, but it was just terrible. The Black Swan scenes were lots of fun, and nicely produced, they felt at odds with lots of the film.Is it the case that people's humour has changed since the early films, or were the jokes simply not funny? Personally I think it's the latter, in fairness though it isn't as if there were great horror movies to parody.It's poor, but will still give the odd chuckle. 5/10",Scary Movie V
7,jboothmillard,Scary Movie 5,1,27 August 2013,"I did used to like the Scary Movie films in a rather immature way, now only the first film is the one I can say good things about, because as they go on the sequels get worse and worse, and the spin off films from the same makers, e.g. Epic Movie, Meet the Spartans, Disaster Movie and Vampires Suck are abysmal, this was the fifth film in the now pointless continuing horror films, television and popularised celebrity news spoof series. This film predominantly parodies the ""found footage"", psychological and science-fiction horror and thriller films, specifically the Paranormal Activity series, Black Swan, Mama and Rise of the Planet of the Apes, as well as spoofing or referencing The Cabin in the Woods, Inception, Evil Dead, Fifty Shades of Grey, The Help, Insidious, Sinister, The Day the Earth Stood Still, 127 Hours and The Hunger Games. Basically the film opens with Charlie Sheen and Lindsay Lohan surrounded by many cameras in the bedroom to make a sex tape, the footage is sped to show them doing all sorts, and then an invisible force attacks them, and Lindsay becomes possessed and goes mental on camera, they were both killed, Charlie didn't stop partying, and Lindsay was arrested again, and the three kids he had went missing. Many months later Ja'Marcus (Snoop Dogg) and D'Andre (Mac Miller) are walking in the woods looking for cannabis plants, but what they find is a cabin in the woods, and inside they find the three missing children and turn them in for the reward, they are kept in a child development research until they are deemed well enough to leave. They put in the custody of Charlie's brother Dan Sanders (Simon Rex) and his wife Jody (Ashley Tisdale), but they can only keep them if they agree to stay in a house with cameras filming their every movement, Jody is first reluctant to have the children, but tries to bond. While doing this she also auditions and gets into a ballet academy, and she tries to win the leading part in Swan Lake as the Swan Queen, but the family are being threatened by the invisible paranormal activity, and the children reveal that it is the spirit they were growing up with, a mother figure ghost-like creature called Mama. The couple's Hispanic maid Maria (Lidia Porto) is frightened by the paranormal forces attacking and tries various religious rituals to stop it, and meanwhile Dan is trying to make progress in his experiments to make apes more intelligent at his research facility, and him being stupid he doesn't realise chimpanzee Caesar (Chris 'Critter' Antonucci). After attempting to use the help of psychic Blaine Fulda (Katt Williams) who turns out to be a complete fraud, and dream extractor Dom Kolb (Ben Cornish) who tries inception but only ends up creating a Fifty Shades of Grey scenario with Christian Grey (Jerry O'Connell), Dan and Jody decide to return to the cabin in the woods the children were found in for answers. They find the Book of the Dead, which may be the cause of the haunting events, as it possesses anyone nearby when the words ""gort klaatu barada nikto"" are read out, turning them into insane zombie like monsters, and Mama finally shows her face threatening the children near a cliff, but she is defeated being pushed off. Jody realises she loves the children more than anything else, and allows now friend Kendra Brooks (Erica Ash) to have the leading part in Swan Lake, which turns out to be a striptease show, and Caesar in the audience warns us watching to enjoy life while we can before the apes take over, there is a quick post credits bit as well where Charlie Sheen and Lindsay Lohan are alive and that the whole film was a dream. Also starring Katrina Bowden as Natalie, Heather Locklear as Barbara Morgan, J.P. Manoux as Pierre, Molly Shannon as Heather Darcy, Kate Walsh as Mal, Mike Tyson and Josh Robert Thompson (More Than Freeman in the adverts) as the Narrator. I knew this going to be terrible, especially as recurring stars Anna Faris and Regina Hall were not returning as Cindy and Brenda, and the fact that stars who have appeared before are playing either mock versions of themselves or different characters is even more stupid. As with the previous three sequels the spoofs are not funny at all, the gross material and repetitive gags, such as head bangs and slip ups, are awful, silly moments like vacuum cleaners having a party and orgy and children acting like wild animals are ridiculous, and overall it just feels like any scripting, acting and general budget on the film has been blown and turn into an atrocious watch, a crap horror spoof. Poor!",Scary Movie V
8,BA_Harrison,A new low for the Scary Movie series.,1,30 July 2018,"Most spoof movies tend to be a bit hit and miss; Scary Movie V is all miss. Its targets are a selection of recent horror movies - Mama, Paranormal Activity, Insidious and The Evil Dead - and, for no discernible reason at all, non-horror hits Inception, Black Swan, Rise of the Planet of the Apes, and 50 Shades of Grey.Having already suffered through part 1-4, I was expecting part 5 to be bad (Anna Farris went so far as to get pregnant to avoid appearing in this one), but I never imagined it could be this awful! It's 88 minutes of utterly puerile, laugh-free nonsense that feels like it was written by a bunch of teenage boys (and not very smart ones at that). A jaw-droppingly terrible sex scene starring Charlie Sheen and Lindsay Lohan, Snoop Dogg raiding a marijuana farm, a crap Leonardo DiCaprio lookalike, monkeys throwing poop, a little girl humping someone's leg, a baby on fire, and a wild pool party held by automated pool cleaning machines (yes, you read that correctly!): just a few of the unbelievably dreadful moments in this total wreck of a movie. Rarely has $20million been so poorly spent.1/10, for the lovely Ashley Tisdale, who I'm guessing didn't watch the previous movies before signing on the dotted line, and because 0/10 is still not an option.",Scary Movie V
9,paul_haakonsen,Another spoof launched...,5,10 June 2013,"I found ""Scary MoVie"" to be a refreshing revisit to the series, especially after parts 3 and 4. However, if you are just the slightest familiar with the ""Scary Movie"" movies, then you know what you are in for here in this fifth installment - more goofs, spoofs and cheap laughs.The storyline is basically the same as the previous movies, a vague red line throughout the course of the movie, on which a series of spoof elements of other movies are built up. Does it work? Sure, as there is coherency in the storyline.""Scary MoVie"" does manage to pull off the spoofs in the great way that the the movie series is known for and doing well, compared to other spoof movies available on the market.However, the movie never really manages to rise itself above mediocrity, rolling on jokes and situations that you see coming a mile away. Is the movie funny? Yeah, to a certain extend. Does it entertain? Yeah, to a certain extend. Is it a movie that is a must to watch? Hardly so.The people cast for the various roles were doing great jobs with their given silly roles, as always and as in the previous movies. So they are keeping the style going from the previous movies. Also the effects in the movie were quite good and did really work out quite well in favor of the movie. And the movies spoofed in ""Scary MoVie"" were nicely made fun in great ways and isn't a good spoof always good for a couple of laughs?",Scary Movie V
