,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"Good but we've seen it all before,...",7,28 January 2006,"I really enjoyed this movie. It's one of Wayne's better films and it's nice to see him paired with Robert Mitchum. However, it very quickly became obvious to me that this is essentially a remake of Wayne's earlier picture, Rio Bravo. The plot is the same and Mitchum is playing the same drunk character that Dean Martin played in Rio Bravo. The earlier film is much better--mostly because it was so much more original. Yes, I'm sure some astute viewers will also find a few other minor differences between the films, but overall it's almost the exact same experience. So my advice is try to see Rio Bravo first--then, if you'd like, see this film. After all, in 4 out of 5 cases original films are better than remakes.",El Dorado
1,TheLittleSongbird,Elegiac masterwork,10,6 February 2011,"El Dorado is a wonderful film. It is elegiac, always entertaining, skillful and I think warm-hearted too. The film looks beautiful, the cinematography and scenery are both a delight to the ears. Nelson Riddle's score is pleasant too, while the film is brilliantly directed by Howard Hawks, the script is thoughtful and entertaining, the story never loses momentum and the pace while deliberately elegiac is spot on. There is also a superbly staged preface, which is one of the assets that gave El Dorado its heart. The acting from the leads is superb, John Wayne is a great charismatic presence here and Robert Mitchum gives one of his best performances, and they work very well together. All in all, a wonderful film and a textbook example of a fine movie of its genre. 10/10 Bethany Cox",El Dorado
2,bkoganbing,"""Ride Baldy Ride, to the end of the rainbow.""",9,5 February 2006,"Unless you count their joint appearance in The Longest Day, El Dorado deserves its place in Hollywood history for being the only co-starring effort of John Wayne and Robert Mitchum.Besides being good friends Wayne and Mitchum were both known for being able to drink just about anyone else in the film business under the table and still report to work in the morning, lines letter perfect. But Mitchum was not allowed in the Wayne home because Pilar Wayne never forgave him for ruining their honeymoon when Mitchum backed out of Blood Alley and Wayne had to star as well as produce it.I also think that the Duke was leery about Mitchum stealing too many scenes which he does when they are on the screen together. In this tighter and faster remake of Rio Bravo, Wayne is his usual stand up hero, rough and tough, but who lives by a code. Mitchum is the flawed one. During an interlude of several months in the film, Mitchum becomes enamored of an unseen woman, loses her, and becomes a drunk.Which leads me to one of the funniest scenes ever in a Wayne film. When Christopher George and fellow gunmen are hired by villain Ed Asner to run R.G. Armstrong and his family off their ranch, Wayne has to sober up Sheriff Mitchum and fast. Every time I watch El Dorado, I get hysterical every time I watch James Caan pour a homemade remedy down Mitchum's throat with Wayne and Arthur Hunnicutt holding him down. And the reactions afterwards, absolutely priceless. This is where Mitchum steals the movie.As in many a Howard Hawks film, there is a theme of professionalism that runs through it. Whether it's Cary Grant and his fellow pilots flying over treacherous terrain in South America, Humphrey Bogart with his charter boat business in the Caribbean, or Wayne and Mitchum going up against fellow professional Christopher George, it's doing the job and doing it well for it's own reward.The final gunfight is also a classic. Let's just say that Mitchum and Wayne are not at their best, but they make up for it with some help from interested friends.This is one of the best films, in the top 10 for both these guys and shouldn't be missed.",El Dorado
3,Leofwine_draca,Strong pairing,8,22 September 2019,"EL DORADO is another strong pairing for director Howard Hawks and star John Wayne, and possibly my favourite western that they made together. This one has an easygoing feel, a likeable storyline and a great performance from Wayne, possibly at his most iconic. The fact that he suffers from physical disability here gives his character a kind of warmth and fragility that you don't normally see from the impassive action man. The supporting cast is particularly excellent, with impeccable turns from an up-and-coming James Caan as Mississippi and old-timer Robert Mitchum as the drunk sheriff. Christopher George is also particularly good as one of the villains; a great make-up job there. The narrative moves along at a good clip, ably mixing suspense, shoot-outs and dialogue, all of which don't disappoint.",El Dorado
4,SnoopyStyle,Well done John Wayne western,7,6 September 2013,"Gunman Cole Thornton (John Wayne) turns down a job with rancher Bart Jason (Ed Asner), who is trying to steal water from his neighbor, when he finds he must fight an old friend Sheriff J.P. Harrah (Robert Mitchum). Later, he returns to town with youngster Mississippi (James Caan) and finds J.P. in a drunken state. Together they must fight off Bart's hired hands.Howard Hawks directed this traditional western with John Wayne doing his best John Wayne impression. It is a little too long at over 2 hours. But it is still a great western. It's great to see a young James Caan and John Wayne is right at home.",El Dorado
5,Prismark10,More Rio Bravo,5,23 December 2017,"Howard Hawks basically remakes Rio Bravo and invites John Wayne to the party again. Wayne is the veteran professional gunman, Cole Thornton who turns down a rich rancher as the drunken sheriff in town, Robert Mitchum is an old buddy who has taken to drink.When the rich rancher hires another gunman, Cole, Sheriff Harrah, his deputy and hot headed young cardsharp, Mississippi (James Caan) band together to stop the wealthy rancher bullying the poor ranchers over the water rights. However they might not be a match to the rich rancher's posse. The rancher having been jailed by the Sheriff, his men are out to spring him.Mitchum is a drunk, his deputy is too old, Mississippi is to inexperienced and volatile, Cole has a bullet lodged near his spine.The film is not as good as Rio Bravo although this is slightly shorter and in some ways the casting is better. Caan is a better actor than Ricky Nelson for example.Hawks does place an in joke against the rising new wave of French cinema where the Sheriff shoots a piano and not the piano player. However the film is hokey and looks old fashioned given it was made in 1967 and movies like Butch Cassidy and the Sundance Kid hovering ahead.",El Dorado
6,classicsoncall,"""Ride, boldly ride, till you find El Dorado...""",8,7 June 2015,"The comparisons to ""Rio Bravo"" are unmistakable and if you've seen that picture further words aren't necessary. What I had to constantly keep reminding myself throughout the story was that Robert Mitchum was the drunk sheriff and not Dean Martin. Or as John Wayne's character Cole Thornton would remark - ""I'm lookin' at a tin star with a drunk pinned on it"".After watching about sixty of John Wayne's films over the years and catching this one earlier today, it struck me that his performance here was about the most natural in any of the ones I've seen. In other words, he didn't even seem to be acting most of the time, just carrying on with buddies Mitchum, James Caan and old-timer Arthur Hunnicutt who probably had the best lines of banter throughout going back and forth with Cole and J.P. Harrah (Mitchum). I know, Wayne detractors will say he wasn't acting in any of his pictures, but I think that would be a disservice to the Duke.So as a big time TV and Western movie fan, I thought it was pretty cool that the film makers had two thirds of the 'Rifleman' regular cast show up here. Paul Fix had the role of old Doc Miller and Johnny Crawford showed up long enough to get shot by Cole Thornton in an early scene. Wouldn't it have been cool if Chuck Connors had a role in this one? Instead, we have almost one-armed John Wayne twirling his rifle like Lucas McCain did on his own show.As for James Caan, I don't know, he seemed to be out of place here a couple of times, especially when he took off the hat. Joey MacDonald (Michele Carey) liked him better with it off, but to me he looked a little goofy with his hair plastered down like that. His Chinese impression was a bit embarrassing too, and I don't mean that in a politically correct way. It was just plain old embarrassing.But overall, a decent Western and if you're a fan of the principles, you'll have to add this one to your watch list. For trivia fans, John Wayne rides an appaloosa in the picture, going by the name of Cochise. I thought that was pretty cool.",El Dorado
7,gavin6942,Not the Best Work From John Wayne or Howard Hawks,6,9 January 2011,"While I am not particularly a fan of westerns, I gave this one a shot because I like Howard Hawks and John Wayne is pretty much the greatest western actor of his generation. I must say that while it was okay, it did not meet my hopes.James Caan does not seem to me to get the full force he needs. The film is a bit slow up until the shootout in the church, and even then it is very ""old school"" because you can get shot without bullet holes or blood. The continuity is also questionable, as Caan's character switches his crutch repeatedly.I have heard this film is an unofficial remake of ""Rio Bravo"", but I have not seen that one and cannot say. However, I will give it points for including the Edgar Allan Poe poem, even if that is probably an anachronism.",El Dorado
8,ccthemovieman-1,A Pleasant Surprise,8,24 October 2006,"This was a pretty solid western, one I enjoyed more than I thought I would. What I liked about it were the interesting characters and the fact it was nicely filmed, as westerns tend to be. People focus on the big stars of this film and often miss how good the visuals are in here.John Wayne, Robert Mitchum and James Caan all played characters that were fun to watch. When I first saw this about 10 years ago, it was a shock to see how young Caan looked. It had to be one of his first films. Six years after this, he made it big in ""The Godfather.""Wayne and Mitchum, of course, were already major motion picture celebrities and I liked the way they traded off each other in this movie. It was really good to see these two guys in the same film. With those two, and the nice photography, this would be a good pickup on DVD.",El Dorado
9,rmax304823,Three Fast Gunmen.,7,14 June 2008,"The director, Howard Hawks, was always irritated when he was asked if this was a remake of his earlier, highly successful ""Rio Bravo."" He'd point out differences in the details. If, in ""Rio Bravo,"" it was the deputy who was a drunk, this time it's the sheriff who's the drunk. If Hawks actually believed this, he was in -- how you say? -- in denial.It's pretty much a remake and, though it's not as cheerful and engaging and funny as the original, it's still pretty engaging and funny. The gags are a little different. They would be, because Hawks encouraged improvisation from his actors or other crew members. As an example, at the end, both Robert Mitchum and John Wayne have been crippled by gun shot wounds and each must hobble around on a crutch. Mitchum kept forgetting which arm to put his crutch under, switching it from one arm to the other, and when people began ribbing him about it, Hawks decided to work the joke into the script.Like ""Rio Bravo"", the story has a bad guy (Edward Asner) captured and put into the town jail while the town waits for the irregular visit of the U. S. Marshall. The sheriff (Mitchum) and his deputies (Wayne, Arthur Hunnicut, and James Caan) hole up in the jail, assisted by one or two girl friends. Wayne is captured and the Asner is released. A final shoot out resolves all problems.It's imaginatively executed. There is a shot, most unusual for Hawks, in which a villain's dead body drops from a bell tower directly down onto the camera. The conversational contretemps, while not up to Hawks' best, are still pretty amusing. Hunnicutt complains to Mitchum: ""The first time I wanted to do nuthin' for ye and ye don't want me to do it."" Mitchum looks at Wayne and asks, ""Is there something wrong with that or am I still hung over?"" It sounds as if Hunnicutt fumbled the line and Hawks incorporated it into the script. Here, as elsewhere, Hawks took advantage of the opportunity to stick current, future, and hoped-for female companions into the story. Sometimes it worked. Sometimes it didn't. Here, it didn't. By the way, the bartender, the guy who winds up with a palm full of splinters, is Mitchum's brother John.Still, it's not ""Rio Bravo."" For one thing, the score by Nelson Riddle lacks Dmitri Tiompkin's pompous CLANGS and BLATTS, almost self parodies. For another, it's a bit more serious than ""Rio Bravo."" When somebody gets hurt or shot here, he really gets hurt or shot -- not to mention bashed in the face by a rifle butt. Wayne suffers from a periodic paralysis of his side, the result of Michelle Carey's bullet through the retroperitoneal sac. One wonders if Hawks was coming to terms with old age -- whatever ""coming to terms with"" means in that context. James Caan quotes from the poem, ""El Dorado"", by Edgar Allan Poe -- ""And when his strength failed him at length, he met a pilgrim shadow."" It's a much darker film than ""Rio Bravo"", and not just because of the violence and infirmity. Much of the story takes place at night. Sometimes it's almost too dark to see who's who. And the cast doesn't seem to be having quite as much fun. The climactic conflict of ""Rio Bravo"" has everyone out in blazing sunshine, throwing dynamite at the villains and wisecracking with one another. There's nothing to laugh at in this shoot out.All of that is to say that, while ""Rio Bravo"" is the better of the two films, this one is nothing to be sneezed at. If the earlier film hadn't come so near perfection for its type, ""El Dorado"" would have been hailed as a Hawks triumph. As it is, it's pretty good.",El Dorado
