,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Far deeper and intelligent than what first meets the eye,9,19 July 2006,"This is a brilliant sci-fi movie that is very strange in how men and women both view the same film. I have talked to many people about the film and almost every guy loved it and said it was brilliant--while most women thought it was just disgusting and stupid! This is the only movie I know of that has such polarized views based on gender. Perhaps many women just have a lower tolerance for disgusting or depressing plots--but whatever the cause, I have always found this difference fascinating.The film begins with a murder and a subsequent investigation headed by Charlton Heston. This is set in the near future and the head of the huge international Soylent Corporation has been assassinated. As the film unfolds, you quickly realize this is a terrible and highly inequitable future American society. The rich live in gorgeous apartments with security and all the pleasures money can buy(including ""furniture""--a euphemism for paid mistresses that come along with the apartment). At the same time, the masses are dirt poor, unemployed and in many cases living in abandoned cars or apartment hallways. Overpopulation and smog have taken a severe toll and the future looks awful indeed! Why the rich man died and the awful truth he could not live with I really should NOT discuss--it could ruin the film for you. However, the film has a great plot and acting and is super-exciting to watch. Plus, it features Edward G. Robinson in his final screen performance as the crusty sidekick to Heston. Though not for the easily depressed or squeamish, this is a great sci-fi film that is allegorical and profound.",Soylent Green
1,bkoganbing,A Hopeless World,9,4 January 2007,"The only other film besides Soylent Green that has such an air of hopelessness is On the Beach. Both films deal with the consequences for the species and the planet from man made cataclysms. On the Beach with nuclear war and Soylent Green with the environmental poisoning of the planet.Maybe there's cause for some optimism because as of 2007 we haven't reached either of the worlds described in those films and we were supposed to by now. New York City still has about 8 million people not the 22 million by the turn of the millenia as described in Soylent Green. Environmentalists always hail this film as showing the consequence of global warming. For myself it also shows the Right to Life ethic run amuck. Obviously there's no family planning in this world either.Charlton Heston is an NYPD detective who lives with room mate Edward G. Robinson who's old enough to remember the Earth before catastrophe struck. There's been a murder committed, Joseph Cotten an executive with the Soylent Corporation, a multi-national concern that has come up with a food product, some kind of wafer in many colors to feed the world's population. It's latest product is Soylent Green.The investigation finds Charlton Heston getting his man, but also it leads to some horrifying truths about the Soylent Corporation and the future of mankind. As Heston shouts in the end that Soylent Green is made of people, that we've become a race of cannibals, the horrifying thing is that there is no alternative. We've exhausted the planet and we have to eat our dead to survive.This was the farewell performance of Edward G. Robinson and in his memoirs Heston spoke movingly of Robinson even though they had differing political views. A few weeks after Robinson wrapped that final scene of his screen demise by consented euthanasia, he passed away in real life. Not many did, but Heston knew that Robinson was terminally ill and there was no acting involved in that final death scene between the two of them.Though the timetable was off, it doesn't mean that the world envisioned by Soylent Green may not come to pass. Hopefully we'll have not just the intelligence, but the sense of shared responsibility to keep that from happening.",Soylent Green
2,SnoopyStyle,needs more action,6,15 November 2014,"It's the year 2022. Earth is polluted and overcrowded. NYC has a population of 40M. Nothing really works anymore and natural resources are scarce. Soylent Industries controls the food supply for half the world and soylent green is the newest form. Frank Thorn (Charlton Heston) is a NYPD detective who lives with his elderly friend Sol Roth (Edward G. Robinson). Thorn is given the murder case of the wealthy elite William R. Simonson (Joseph Cotten) presumed to be a burglary. Simonson has a mysterious conversation with the burglar before he's killed. Shirl (Leigh Taylor-Young) is a concubine or ""furniture"" that comes with the apartment. Tab Fielding (Chuck Connors) is his bodyguard. Thorn suspects an assassination and then higher ups start interfering with his investigation.There is an interesting concept here but it needs more action. All the ideas are well incorporated into the movie although the green haze is done badly. The movie needs to have faster pacing and some action would help. Heston is a solid lead but he's somewhat alone. Robinson still has great presence but the girl is just a pretty face. This is a movie where eating a simple meal is fascinating. The movie spends too much time immersing in this sci-fi world while the investigation moves at a snail's pace. The riot is big enough but the scoops are too silly. When the action does come, it's not the most exciting.",Soylent Green
3,Prismark10,Eating Raoul,5,7 July 2017,"Director Richard Fleischer could me some odd looking campy films and I am afraid the costumes in this Dystopian futuristic film makes you wonder why the male characters are dressed in such a foppish way.Set in 2022, the planet is suffering from the greenhouse effect and global warming. There is overpopulation, homelessness and an increased divide between the rich and the underclass.Pollution has meant food is in short supply and Soylent Industries makes from plankton called Soylent Green. Real food whether it is meat or vegetable is a rare luxury.When an executive of Soylent Industries is brutally killed Detective Thorn (Charlton Heston) investigates. Thorn lives with an elderly scholar Sol Roth (Edward G Robinson) who tells Thorn about the old days and helps with his investigation. Thorn enters a world of the rich with their fancy apartments, treacherous bodyguards and accompanying furniture who are young beautiful women who come with apartment.Thorn soon finds out that the rich and powerful are trying to disrupt his investigation by applying pressure to his bosses. The murdered executive felt guilty about something and confessed to a preacher who himself has been executed. There is a secret about the food chain which Thorn is determined to find out.Charlton Heston despite his increasing right wing views as he got older did make several films about an environmentally degraded world. The film has a famous reveal about what exactly is Soylent Green but it really does looked aged in parts, slow going and not very convincing despite its interesting premise of an environment destroyed by humans. The treatment of women as just playthings is despicable.This was the last appearance of Edward G Robinson who died soon after the film was completed. The most emotional scene is regarding his euthanasia surrounded by images of fields, forests, mountains, animals, rivers, sunsets and piped classical music.",Soylent Green
4,mark.waltz,Only five years from now...be forewarned!,6,10 September 2017,"Not as potent as it was nearly 45 years ago, ""Soylent Green"" is a variation of the ""1984"" theme, a grim view of an undesirable future. It's 2022 New York City, overpopulated and certainly not an apple right off the tree. In fact, there are very few trees left in the city, and very little food. When food does become available, it's from the Soylent company, and here green is the preferred product. What it is exactly is no surprise to film historians, but to those who do not know, it is beyond shocking.At times, the film moves very slowly, but it's a slow road to the inevitable revelation. This is a frightening world where the living are nearly dead inside and desperation is severely felt. You can almost feel the stench, one that even in the heat of the summer, New York hasn't felt yet. In a sense, the film has to move at this speed to get the emotions in the viewers going, and once the film reaches its destination, you are so numbed by the horror of the future that the impact of it all is that much stronger.Reunited from ""The Ten Commandments"", Charlton Heston and Edward G. Robinson are friends here, not foes, and when police officer Heston brings Robinson home some surprises, the joy on EGR's face is tear inducing. In fact, Robinson gives a performance so beautiful, it's the best screen swan song an actor could have. He gets a farewell in a scene so poignant that you might be shaking in emotion. Robinson didn't get the Oscar nomination he richly deserved, but an honorary one was given to him, sadly posthumously.A supporting cast of many well known actors of the time goes from Joseph Cotten as a murdered millionaire, Chuck Conners as a brutal assassin, Leigh Taylor Young as a presumed high class prostitute, Brock Peters as Heston's supervisor aware of the conspiracy, Leonard Stone as a slimy pimp, Whit Bissel as the governor (running the state from a tent in what used to be Gramercy Park) and Paula Kelly as Conners' mistress. This is sometimes hard to watch because it sometimes seems so possible, yet ridiculously outlandish in normal times. But normal times have long disappeared, and sensitive viewers may indeed see this as a living nightmare of where society is heading...or possibly reached.",Soylent Green
5,claudio_carvalho,A Sci-Fi Film that Has not Aged,10,9 October 2011,"In 2022, Earth is overpopulated and totally polluted; the natural resources have exhaust and the nourishment of the population is supplied by the Soylent Industries, a food made by plankton from the oceans. In New York, when the Soylent's member of the board William R. Simonson (Joseph Cotton) is murdered apparently by a burglar at the Chelsea Towers West where he lives, the efficient Detective Thorn (Charlton Heston) is assigned to investigate the case with his partner Solomon ""Sol"" Roth (Edward G. Robinson). Thorn comes to the fancy apartment and meets Simonson's bodyguard Tab Fielding (Chuck Connors) and the ""furniture"" (woman that is rented together with the flat) Shirl (Leigh Taylor-Young) and the detective concludes that the executive was not victim of burglary but executed. Further, he finds that the Governor Santini (Whit Bissell) and other powerful men want to disrupt and end his investigation. But Thorn continues his work and discovers that the oceans have exhausted and the bizarre and disturbing secret of the ingredient used to manufacture Soylent Green.""Soylent Green"" is one of the best sci-fi ever made and a film that has not aged. On the contrary, when I saw it in the movie theater in 1973, it was another good film with catastrophic view of the future. Along the years, I have seen this film on VHS at least four more times and every time that I see it, I find it better and better. In Brazil, this film has not been released on DVD or Blu-ray, only in the movie-theater in 1973 and on a rare VHS with the title ""No Mundo de 2020"" (translation: ""In the World of 2020"", despite the story takes place in 2022) and I have just bought the imported Blu-Ray and saw it again.It is impressive how the writer Harry Harrison was capable to foresee the future in 1966 with pollution, overpopulation and menace of exhaustion of the natural resources and write his novel ""Make Room! Make Room!"". In those years, the concept of ecology did not exist, at least the same way in the present days. The grim view of the cannibalism to fee the population introduced by Stanley R. Greenberg in the screenplay fortunately has not been achieved yet.""Soylent Green"" is also the film number 101 in the career of the unforgettable actor Edward G. Robinson that was with cancer and almost deaf during the shooting and died two weeks after the conclusion of this film. The Blu-Ray has in the extras a tribute to this great actor. My vote is ten.Title (Brazil): ""No Mundo de 2020"" (""In the World of 2020"")",Soylent Green
6,classicsoncall,"""Soylent Green is people!""",8,29 June 2008,"I remember the spirited controversy surrounding ""Soylent Green"" when it first came out and oddly, I didn't go to see it back in 1973. I'm sorry I didn't, I was only about ten minutes into the picture today when I thought to myself that it was pretty remarkable. The opening scene was intended to portray what trouble would be in store for Earth and mankind some fifty years into the future, back when there were a couple billion people less on the planet than there are now. However the projection of New York City's population of forty million in 2022 isn't going to happen. Nice try though, and hey, present day environmentalists and global warming enthusiasts will no doubt find solace in the story's grim projections about the greenhouse effect and 'everything burning up'. But only two years later, in 1975, Newsweek Magazine had a cover story about the threat of global COOLING and the anticipated problems of shorter growing seasons and the possibility of worldwide famine due to crop failures. It all goes in cycles you see, and by the time the 'real' 2022 rolls around, there will no doubt be yet another different spin on global climate change, when in fact, the Earth's temperature doesn't really vary much at all.Hey, how about 'Tuesday is Soylent Green Day'; I still remember the ads for 'Wednesday is Prince Spaghetti Day'. You don't see or hear those anymore, in fact my local supermarket doesn't even carry Prince spaghetti anymore. How about Sol Roth's description of soylent - ""tastleless, odorless, crud'! Speaking of Sol Roth, it was cool seeing Edward G. Robinson in his final film role, even if some of his dialog with Charlton Heston had me doing double takes regarding their masculinity. It reminded me of a Robinson role going all the way back to 1931 opposite James Cagney no less, screen legends who managed to confound this viewer with expressions of 'sweetheart' and 'dearie' in the film ""Smart Money"". And holy cow!, the film also featured the old Rifleman himself, Chuck Connors, as a bodyguard for the assassinated director of The Soylent Corporation. I sort of wished he had his tricked out rifle along but that would have changed the whole tempo of things. The Joseph Cotten appearance had me a little baffled, I think a little more time could have been spent on his 'willingness' to be murdered.You know, the picture reminded me a lot of one of my favorite 'Twilight Zone' episodes from a dozen years earlier, and I wouldn't be surprised if that story might have had a small impact on ""Soylent Green"". In 'Soylent', if you're thinking ahead and don't know the ending (kind of hard I know with the notoriety it's engendered), the first inkling you might have had about the title foodstuff would have come when the 'diggers' were called in for the rioting populace. All those bodies being hauled off to an unknown outcome kind of gives you a hint that 'Soylent Green is people'! In the TZ episode 'To Serve Man', the finale is reached with a lot more subtlety and it hits you a lot more forcefully. For the uninitiated, the title comes from the story of an alien race that solves all of Earth's problems, and in return, appreciative Earthlings travel through space to visit the planet of the Kanamits. The punch line - 'To Serve Man' was the aliens' cookbook! The only other thought I have has to do with the film's status as a sci-fi flick. Even though the concept is definitely in that league, others on this board have mentioned that the filming and effects utilized didn't distinguish it from some of the other memorable films of the era, for example, 1968's ""2001: A Space Odyssey"", or 1971's ""A Clockwork Orange"". Heck, even as far back as the 1950's, you had pictures like ""War of the Worlds"" (1953) and ""Forbidden Planet"" (1956) using much more in the way of special effects to tell their story. Even so though, given those apparent budget limitations, the picture is still a unique achievement and holds up pretty well after lo, these three decades. I'm sure a modern day re-make would add a few more twists, but then again, as with so many movies, there's nothing like the original.",Soylent Green
7,gavin6942,One of the Great Heston Science Fiction Films,7,10 March 2013,"In an overpopulated futuristic Earth, a New York police detective (Charlton Heston) finds himself marked for murder by government agents when he gets too close to a bizarre state secret involving the origins of a revolutionary and needed new foodstuff.I have checked the spoiler box because I may accidentally say too much about the end. I think just about everyone knows what the ""twist"" is in this movie, but I will try to be careful just the same. The twist is, in fact, the worst part of this film. Rather than being the big shocker that it should be, audiences have enough hints throughout the picture that it should be anticlimactic by the time everything is revealed. And that is just too bad.Unfortunately, that build up tends to be the bulk of the film (because of how it ties in to the primary plot -- a murder investigation). The murder case and eventual reveal could have actually been done in just about any world. Yet, here we have a world of overpopulation, poverty, women being used as ""furniture""... and these concepts are never really explored. Why do people sleep on the stairs rather than in the street? If the world is overheated, I would much rather be in an alley than a staircase! Charlton Heston is great, of course, but the heart and soul of this movie are in Edward G. Robinson. Making this film while almost completely deaf and dying of cancer, he is the most human character in the film. He may be the only one who remembers the world the way it used to be, the way we (the audience) expect the world to be. Robinson nails it, giving the performance of his career. I love his noir and gangster work, but this was tops.",Soylent Green
8,lee_eisenberg,the wearing of the green...,7,16 April 2006,"In the '70s, Charlton Heston starred in sci-fi flicks of varying quality. ""Soylent Green"" is one of the better ones. He plays Robert Thorn, a detective in 2022 New York. In this future, most food is so expensive that everyone needs a product called Soylent Green. But when Thorn finds out the unsavory truth about this product, he finds himself on the run.I guess that it's only natural that this movie should seem dated to us nowadays. But even so, it still brings up interesting questions about what will become of our agriculture. Also starring Leigh Taylor-Young, Chuck Connors, Brock Peters, Joseph Cotten and Edward G. Robinson (in his final role).",Soylent Green
9,rmax304823,Man Eaters of New York.,7,30 December 2008,"It's New York about thirty years from now, crowded beyond belief, polluted, filled with garbage, uncomfortably hot all year round, and all commodities scarce except for the tasteless crackers called Soylent -- just like the rest of the world.Charlton Heston is a New York City cop cooped up with his crotchety friend and researcher (his ""book"", because books are scarce), Edward G. Robinson. An extremely wealthy businessman, Joseph Cotten, is beaten to death in his luxury apartment and Heston is assigned to the case. He makes his way on foot to Cotten's apartment, stepping over the bodies, living and dead, that are piled on the streets and stairways.Well -- this is some apartment! Heston walks in and gazes stupefied at the tchotchkas and the furniture. The ""furniture"" includes the succulent Leigh Taylor-Young. No wonder he gawks. She comes with the apartment, if the resident wants her to, because living space is almost impossible to find.Heston, whom we are used to seeing as an upright man of principle, strides casually around the scene of the crime, chatting with Taylor-Young before he beds her down. Does he steal anything from the well-stocked apartment? ""Everything I could lay my hands on."" There's some wilted lettuce, a half-turgid stalk of celery, and two apples. There's even a cut of beef. Heston takes it all home to Robinson, who is old enough to remember what this stuff is, and Robinson makes a bit of stew out of it and helps drain the confiscated bottle of bourbon. Heston takes an indifferent munch out of the lettuce but Robinson has tears in his eyes and he savors the feast.The trail gets a little twisted. Cotten turns out to have been on the board of Soylent AND a relative of the mayor. People begin to tail Heston and take pot shots at him. His boss, Brock Peters, tells him to lay off the case, as all cops' bosses do. In other words, something is rotten in the state of New York besides the garbage. Actually, there may be no more state of New York. The city of New York now adjoins the city of Philadelphia. (Good-bye, New Jersey.) Looking northward, the boundary may abut the city of Boston, perhaps somewhere around East Windsor, Connecticut.Heston persists in following the few clues that show up, not so much out of morality but because he doesn't want to lose his job. But Robinson discovers the secret behind Soylent first. It depletes whatever resources Robinson had left and he decides to have an institution send him on his eternal journey.In a poignant scene, Robinson is wheeled into a room of his favorite color, given a painless poison, and is free to watch movies of an earth with natural features that are pristine and beautiful and majestic -- all the things we are recklessly discarding as we carry on with our daily lives now -- and Robinson is treated to a melange of light classics that include romantic snatches of Beethoven's Pastoral Symphony, Tchaikovsky, and Grieg. Heston bursts in and is more astonished by the IMAX images of deer, snow-veined Alps, apple blossoms, and rolling ocean than he was at the slab of meat. Meat, Heston recognized for what it was. But he's never seen anything like the film he -- and Robinson in his last moments -- witness. Heston is unable to even speak.Anyway, he follows Robinson's body out of the Extinction Room or whatever it is, and he too discovers the secret behind the mystery of Soylent, which by now every viewer has also figured out. The film doesn't end on a particularly hopeful note.How well does the movie do at predicting what the world will look like in fifty years? Well, yes and no. It makes the usual assumption that the future will have what we have now, only there will be more of it and it will be bigger. (The futuristic movies of the 1930s had propeller-driven airplanes in every garage.) The quantum leaps that introduce revolutionary social and technological change are usually missed. (The jet airplane did more than make cross-country movement faster; it vulgarized travel, homogenized the world, and eliminated the exotic.) The movie (and presumably the original story) also got the chief assumption behind population growth wrong. Right now, there are more than 6 billion people in the world. This number will more than double by 2050, along with all the problems that accompany it -- pollution, urban sprawl, scarce commodities, and the rest of it. But the streets will never be filled with piles of supernumeraries. Population irruptions such as we're undergoing now, have been studied in numerous animal populations. Thomas Malthus, E. O. Wilson, E. T. Hall, and Paul Ehrlich have written about what happens, and so have I, if I can put myself in this exalted company. What happens is that the population ""crashes"" from stress-related diseases or opportunistic infections before the hand-to-mouth phase is reached. Ulcers, heart failure, and AIDS are examples. Wars too, if you can think of them as a stress-related disease. To paraphrase Malthus, if we don't stop it, Nature will.Don't get me started on cannibalism either. Anthropologists don't only ask ""why""; they also ask ""why not""? Do I have a few more lines left? If I get too close to the limit, somebody flap a napkin at me. This may sound queer, but it may be Charlton Heston's best performance, including his efforts at Shakespeare. He's not a very expressive actor but his insouciance as he wanders through the dead Cotten's apartment, opening drawers, leaving nonchalant insults in his wake, openly stuffing a pillow case with every valuable in sight (except Leigh Taylor-Young, who is too big), is marvelous. He's played ""masterful"" many times before, but never with such irony.",Soylent Green
