,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"as long as you aren't looking for the Frankenstein story by Mary Shelley, you will be very happy",9,30 March 2006,"I made the mistake of reading the original Mary Shelley version of Frankenstein almost 20 years ago. I say unfortunate, because I then realized that none of the movies have ever come close to approaching the greatness of the novel. Most, such as this famous Universal monster movie, focus too much on the monster and not enough on the moral issues that elevated the novel to greatness. In other words, Shelley's book wasn't focused on the monster as much as how awful and cowardly the doctor was for creating this being and then abandoning it. BUT, if you can look past this, the film is great fun.Colin Clive starred as the doctor in this and the sequel, BRIDE OF FRANKENSTEIN. While he certainly wasn't a great actor (he had a very limited range--or at least it appears that way based on the roles he played), he was just right to play a slightly insane and extremely focused ""mad scientist"". Yes his acting was over-the-top, but for this film it was necessary.Boris Karloff played the monster. The role was apparently originally offered to Bela Lugosi (who had just made a name for himself playing Dracula), but he foolishly turned down the role. Karloff made the most of it and did a great job of infusing life and humanity into a mostly mute monster.The movie is appropriately creepy--with lots of spider webs, fog and other scenery guaranteed to set the mood. A beautiful film to look at and unjustly seen by some as just a kids' movie. See it and experience one of the best Universal had to offer.The only misgiving I have at all about giving this wonderful movie a 10 is that some of the other actors really weren't great. A couple of the minor actors in particular clearly misread their lines yet the director, James Whale, did not re-shoot the scenes. An odd little mistake in an otherwise wonderful film.",Frankenstein
1,TheLittleSongbird,Shocking and enthralling interpretation of the classic tale,10,1 May 2010,"There have been complaints that Frankenstein is dated. Personally I don't find that, it isn't the most sumptuous of all films, but it is still a wonderful film, that is still shocking and enthralling to me. The Gothic set design is very imaginative, helped by the beautiful cinematography with suitably bizarre camera angles, and the music score is haunting, melancholy and atmospheric. James Whale's direction is also very impressive, it is very focused and innovative. The story is without a doubt a classic, tense, moody and melancholic, and the Monster itself is just a masterful creation. The cast are superb, Colin Clive is very good as the eccentric Henry Frankenstein, while Mae Clarke is an alluring and sympathetic Elizabeth. There is no doubt in my mind though that Boris Karloff gave the best performance, not only that but the definitive portrayal of the monster. He is almost unrecognisable and scary with his make up, and while he was scary with the towering presence and the frightening look in his eyes, his monster is also somewhat touching, particularly when he reaches up to grasp a ray of sunlight. Overall, shocking, enthralling and just wonderful. ""It's Alive!"" 10/10 Bethany Cox",Frankenstein
2,bkoganbing,Slaughter of the Innocents,10,25 January 2008,"Of all the great Universal horror classics and the legendary monsters who came from them by far the one with the most popular appeal has been Frankenstein. Baron Henry Frankenstein and his creature, the result of him probing into the mysteries of life itself, arouse both horror and sadness at the same time.Colin Clive is the scientist nobleman who's not been as involved as he should be considering he's about to get married to Mae Clarke. She and best friend John Boles are concerned about him, spending days at a time in that laboratory he has in an abandoned old mill. They ought to be concerned, they find him claiming he can create life out a lot of old body parts. He claims also to have discovered the electrical ray that created life itself on this planet.What he creates is played by Boris Karloff in the film that launched his career in the horror genre. With nothing but grunts and spastic movements Karloff captures the essence of new life with the innocence of a newborn and the strength of Atlas.That's the key to the monster's character and why we feel such pity for him. If newborn babies had his power, they'd be as the monster was, striking out at what they don't understand or who does not give them instantly what they want. The monster in fact is a newborn creature and it's when he kills little Marilyn Harris we know he has to be destroyed.Coming over from that other Universal horror classic Dracula are Dwight Frye who plays the hunchback Fritz, Clive's assistant who pays dearly for taunting the monster and Edward Van Sloan who is Clive's professorial mentor. Sadly Van Sloan does not handle the creature quite as well as he does Bela Lugosi.Though Frankenstein and the other Universal horror classics have taken quite a beating from first Abbott&Costello, then the gorier Hammer films recreations and finally from Mel Brooks, Frankenstein still has the power to entertain and to fascinate.",Frankenstein
3,Leofwine_draca,Universal classic - all it lacks is a score,9,19 July 2016,"My feelings were mixed before I saw this one. On one hand, it's one of the most famous horror films ever (who doesn't know what Karloff's Monster looks like?) but on the other hand, I wasn't too keen on Lugosi's Dracula made at the same time (although after a second viewing it's grown on me...). However, I was greatly pleased with this film, a lot better than its companion piece, seeing as it contains more action, better characterisations, better everything really. The only thing the film lacks is the presence of Bela Lugosi, who despite his many detractors was always great value for money.It more than makes up for his absence, however, with the presence of newcomer Boris Karloff, who more than acquits himself in the role and was good enough to become one of the biggest horror movie stars ever in the history of cinema. He would continue his role in horror films for more than thirty years afterwards, up until his death, and really this is the performance that kick-started his floundering career. Karloff evokes sympathy and deeply unsettling horror. It would have been easy to keep the monster as a bland-faced brute but Karloff manages to bring a deep level of understanding for the misunderstood creature, and he manages to do this under a ton of makeup. Like Lee after him, he fleshes out his monster, a very difficult task with which few have succeeded (Glenn Strange never managed to do this).The film has a great Gothic ambiance. It kicks off in the middle of a graveyard, and what better place is there to start a film? With the broken crosses everywhere and the ever present statue of death hovering in the background, you know you're in for a good time. The atmosphere of this opening scene is later recaptured in the famed creation scene, set in a ruined castle on a hill. The atmosphere of these old classics is really something to behold, and I fear that it can never be totally recaptured - there was none of it in the recent adaptation, MARY SHELLEY'S FRANKENSTEIN.Along with this we have some brilliant acting from Colin Clive (who reached the peak of his manic performance when screaming ""It's alive, it's alive!""). It's probably fair to say that Clive's definitive performance was the basis for many more mad scientists in films in the 1950s. Along with Clive and Karloff, Dwight Frye and Edward Van Sloan from Dracula are along for the ride, Frye being memorable as the hunchbacked assistant (another defining role) and Sloan excelling himself as the stern but kindly professor. Mae Clarke also adds a pretty face to the cast list, but as in many of these films is not given much to do, being the token love interest all she needs to do is scream and faint.Karloff's makeup for his role is also definitive, it is amazing that over sixty years later practically everyone in the western world still remembers his flat head and the bolts from his neck. This film is a true classic in the genre and it's easy to say why. The only thing I would say the film lacks is music, which is sorely missed especially in the dramatic scenes, but there is so much going on (unlike in Dracula) that it is never missed too much. Well worth watching, and it goes without saying that if you are a true horror fan then sooner or later you must see this film.",Frankenstein
4,SnoopyStyle,Boris Karloff terrific,8,4 July 2015,"Henry Frankenstein is a doctor obsessed with bringing back the dead. He needs a brain and his assistant Fritz steals one from a murderous criminal. His fiancée Elizabeth is concerned. Along with her friend Victor Moritz and Henry's mentor Dr. Waldman, they witness the creation of the monster. The monster kills Fritz who was tormenting him with a torch. Frankenstein and Waldman manage to sedate the monster. While Frankenstein is away to marry Elizabeth, the monster wakes up and kills Waldman. He escapes and accidentally kills little Maria. Maria's father riles up a mob to hunt down the monster.This is a classic monster horror. The acting is functional with the exception of Boris Karloff. He creates a monster that is copied and parodied to infinity. The mob is scary and the windmill is a great set piece. It all comes down to the monster and the movie jumps off the screen when he's there. He's a magnetic presence.",Frankenstein
5,Hitchcoc,A Staple of Filmdom,9,13 May 1999,"The original Frankenstein must have been something when first seen. The wonderful instant atmosphere--the foggy graveyard, the two slinking figures waiting for the funeral to end, looking for bodies. Karloff, for the first time, actually interpreting the role, using his expressive face and those enormous hands, the appeal to the world to accept his being. Of course, it is entirely removed from the classic book (who says it has to follow the book, an entirely different medium) where the creature is brought to life by some secret means then goes on to become sentient, philosophical, and vengeful. Still, this hulking reanimation is trying to fit in but can't control his base impulses. His very size is his enemy. The carelessness of Fritz sets everything in motion--had he not panicked we might have had an Albert Schweitzer ""monster"" running through the countryside doing good deeds. Now there's a horror movie!I have grown to love this film, especially its most famous scenes. The bringing of life, using lightning, Colin Clive, almost frothing at the mouth, screaming ""It's alive, it's alive,"" the death of the little girl through a childlike misunderstanding, the encounter with the blind man, and of course, the scene at the windmill, the villagers running with their torches. By the way, where did they get all those torches? Unlike the first reviewer, I urge you to see this film, not because of its lack of faithfulness to the novel, but because of its captivating portrayal of horror. I wish I could have been in a theater in the 30's and seen Edward Van Sloan announce to us that we were about to be terrified. What a moment!",Frankenstein
6,mark.waltz,Monsters lead such interesting lives....,10,31 May 2013,"From Herman Munster to Mel Brooks to a Tim Burton pooch, this beloved creature of Mary Shelley's imagination has had more lives than Shirley MacLaine. He's survived floods, quicksand and fires, and even adult videos have utilized his legend. But in this original version, what the monster remains today was created, and that is not only thanks to Ms. Shelley, but the artistic vision of its director James Whale and the actor who played the unnamed monster, Boris Karloff. So break out your old video copy or even better, the newer DVD collection of most of the series, almost a serial (or ""Dark Shadows"" like soap opera) in its continuity.Universal followed up its enormously popular ""Dracula"" with its tale of the flat-topped, green-skinned mass of muscle that only kills because that's what classic movie monsters do, its own heart breaking when he accidentally drowns a little girl in one of the most notorious death scenes in movie history. It's not all horrific, some humor put into the Igor predecessor who drops the good brain he has been sent to steal when confronted by a hanging skeleton and replaces it with what Mel Brooks would later refer to as belonging to ""Abby Normal"".Like many of the follow-ups, the film utilizes an almost silent movie art direction, obviously influenced by German impressionism and films like ""The Cabinet of Dr. Caligari"" and ""Nosferatu"". There's some truly frightening moments, especially with Karloff stalking the film's fragile heroine (Mae Clarke) who would need something more than grapefruit (utilized on her in the same year's ""The Public Enemy"") to get rid of this brute. Colin Clive truly steals acting honors here, swinging between rationality and absolute madness in his desire to cross God and go into territories that threaten to doom his soul. Veteran romantic lead John Boles (""Craig's Wife"", ""Stella Dallas"") is wasted as Clive's concerned pal, but Dwight Frye is a riotous delight as the Igor-like assistant who pays dearly for messing with things outside his sensibilities as a human being.",Frankenstein
7,classicsoncall,"""I made him with these hands, and with these hands I'll destroy him.""",9,25 October 2006,"Boris Karloff's first appearance as the Creature is truly striking, done with a facial close up that in it's time must have shocked and horrified. I read once that Mae Clarke was so scared of Karloff in his monster disguise that they worked out a little gimmick between themselves. Whenever they appeared in a scene together, Karloff would wiggle his pinkie finger as a signal to his co-star that he was thinking of her, thus helping her realize that he wasn't really a monster.If you follow the story carefully, there are some plot points that upon careful analysis just don't make sense. Wouldn't Dr. Henry Frankenstein (Colin Clive) have had a mild interest in reading the label on the beaker that contained the 'abnormal brain'? Why would he ever have dressed in a suit and tie in that dungeon of a castle? Why wasn't anyone who was present express amazement when the creature first moved his hand? How did the monster get into the Frankenstein home without being seen while the whole town was turning out for the wedding?For detractors of the film, I DON'T CARE! This is the first iconic Universal Movie monster, and his presentation on the big screen for the first time is wonderful. Karloff's interpretation of the creature is magnificent, going far beyond the requirements of makeup. His stilted walk, accentuated by a forty five degree diagonal posture almost defies gravity. It appears he did everything he could to live up to the narrator's message of warning prior to the start of the story. Karloff is Frankenstein, and Frankenstein is Karloff.For it's time, and I daresay, even for today, Dr. Frankenstein's laboratory is one of the classics of film history. Floating it up to to the top of the castle tower to receive it's life giving energy directly from lightning bolts was inspired. Hearing Frankenstein's exhortation that the creature is ALIVE! has a way of burning itself into the viewer's consciousness, and remains there long after the film has ended. It's the movie's way of convincing it's viewers that Dr. Frankenstein was right when he challenges his guests to accept his dubious triumph. Is it possible to create life from the assembled remains of dead tissue? - ""Tonight you shall have your proof"".",Frankenstein
8,gavin6942,"Legendary, Plain and Simple",8,3 October 2010,"Henry Frankenstein (Colin Clive) has devised a way of reanimating life. Using spare parts, he constructs a man, who is something of a monster (Boris Karloff). Unable to keep the creature under control, it terrorizes the village and surrounding areas...While a superior film to ""Dracula"", there is something to be said here about taking liberties. ""Dracula"" stayed more or less true to the book, whereas ""Frankenstein"" makes a number of divergences. The monster is less intelligent, the method of re-animation is more explicit, the Arctic scene is removed entirely...Great on its own, and highly memorable, this film's real contribution is to the horror world. The monster is now known as Frankenstein, we know he is brought to life by electricity, he has greenish skin and he has bolts in his neck. These all came from this film. And it is so overpowering that there is no bringing back the original concepts.Although I want to keep this review very short, I have to give credit to Dwight Frye. After playing Renfield in ""Dracula"", he came on to this film and played Fritz (the character we commonly call Igor). I don't know what it is about playing horror assistants, but Frye does it perfectly... he regretfully died at age 44.",Frankenstein
9,lee_eisenberg,it's alive and always will be,10,2 August 2005,"Having read Mary Shelley's novel sort of ruined this version for me, but ""Frankenstein"" is still great to watch. Even if it now seems pretty silly to us, I guess that it remains a good lesson about what we shouldn't try to do. Boris Karloff is great as the Monster, with Colin Clive casting an eerie presence as Dr. Henry Frankenstein, and Dwight Frye as his assistant Fritz (not Igor).I'm sure that ""It's alive!"" will remain in our vocabulary for generations to come, while everyone will remember Boris Karloff's interpretation of the monster (with Jack Pierce's makeup). But still, you should read Mary Shelley's novel just to know what the original story was (I recommend the novel over Kenneth Branagh's dry 1994 movie).",Frankenstein
