,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Hopelessly bland,2,1 October 2011,"The premise of the movie, the veteran cast and a talented director were the reasons why I wanted to see this film, despite Taylor Lautner and that the trailer looked awful. Okay, I'll give the film some credit, it is not as bad as the trailer suggested.However, the rest is hopelessly bland. The direction is rather plodding and never really that focused. Abduction doesn't necessarily look cheap, but the editing lacks finesse and feels stilted and the camera angles often have a dry and frenzied look to it particularly in the action sequences.The music had some decent rock tunes on its own, but they don't always suit the tone of the film. The action itself is alright, but I couldn't properly enjoy it because the editing felt very awkward and frenzied, so any skill and intimacy was lost.Dialogue-wise, Abduction is awful. It is very laboured, cliché-ridden and doesn't flow very well at all, complete with pop-culture references that I agree will date quickly. I liked the concept of the film, but I wasn't engaged by the story. The more dramatic scenes are unemotive, stodgy and contains Abduction's most stilted moments, while the ending is anti-climatic, the beginning was cheesy and plot points are poorly incorporated and resolved. I admire films that deal with themes that people can identify with, with Abduction using isolation and loss. The film's problem however is that it doesn't do anything with them.Abduction's acting doesn't fare much better, with nobody looking natural in their roles. Taylor Lautner(he as an actor and the Twilight films I am very indifferent to) is wooden in a very irritating sense. He doesn't have enough charisma for the action and he seems very disconnected in the dramatic elements of the film. His abs look great but that's it. Lily Collins looks wonderful, but does or is given little else beyond that. Alfred Molina is a good actor, but not given much to do, while Jason Isaacs is wasted and Sigourney Weaver tries her best but hindered by awful dialogue and a character, like everyone else in all fairness, that I didn't care for at the end of the day.Overall, a hopelessly bland, derivative, poorly acted and stilted film. 2/10 Bethany Cox",Abduction
1,bkoganbing,That Martial Arts Training Comes In Real Handy,4,23 September 2011,"Abduction which is Taylor Lautner's first starring vehicle as a teen star has the young man with the perfect body as your not so average teen with anger management issues and great martial arts skills. Those skills are patiently taught him by the man who turns out not to be his father.Lautner finds a baby picture of himself on a missing child website and that turns out to be a blind. In fact it's a ruse to locate him and flush his real father, some CIA super agent out in the open. Both the CIA personified by Alfred Molina and bad guy Michael Nyqvist are looking hard for Lautner after his surrogate parents are killed. A neighbor girl, Lily Collins, sees the murders and Lautner flees with her. No one is really abducted in Abduction, but that's not for lack of trying. Also one very big unexplained hole in this plot is we never now who independent Black Ops operator Michael Nyqvist is actually working for. We do know they are ruthless.There are some similarities with the River Phoenix/Sidney Poitier classic Little Nikita involving teens on the run. But River never could handle himself the way Taylor does.Taylor's world wide legion of fans who find him drop dead gorgeous aren't really going to worry about the staying power of Abduction. But I'm betting he would rather have had a better vehicle to go out on his own after the Twilight saga films brought him stardom.",Abduction
2,Leofwine_draca,Eye-poppingly terrible,2,17 January 2014,"Conceived as an action vehicle for TWILIGHT star Taylor Lautner, ABDUCTION is an absolutely terrible film from start to finish; I mean, this goes beyond mere bad to become eye-poppingly, gratuitously awful. It's truly one of the worst films I've seen recently and the worst Hollywood picture of 2011.The extraordinarily wooden Lautner - an actor who fails to invest his character with any humour, charisma, or intelligence - plays a kid who's wanted by the government for some reason or another. Pretty soon (but not soon enough), assassins show up on his tail, but unfortunately for the viewer they don't kill him. Instead, we have to put up with an endless chase format, with faceless and uninteresting bad guys chasing an equally uninteresting hero and his vapid girlfriend.It's hard to choose the worst thing about this film; whether it's the stultifying dialogue (the script was written by a kid and for some unfathomable reason had no rewrites), the terrible acting or the insipid direction. It's quite a surprise to see some of the famous faces turning up at the trough for their paycheques; Alfred Molina should know better, but at least Jason Isaacs and Mario Bello have the grace to give the only semi-decent performances in the entire thing. Michael Nydvist plays yet ANOTHER stock villain (after MISSION IMPOSSIBLE: GHOST PROTOCOL), but most disappointing of the lot is Sigourney Weaver. How far she has fallen!",Abduction
3,SnoopyStyle,Taylor just can't lead,5,1 December 2013,"Nathan (Taylor Lautner) has a troubling feeling that something is wrong with his life. With his friend Karen (Lily Collins), he finds a picture that looks like him on a website for missing children. He contacts the website but the chat gets creepy. He hangs up, but it's too late. It's a trap, and a vast organization has sent men to retrieve him.Taylor Lautner and Lily Collins are actually pretty similar. They're both beautiful. They both have questionable acting skills. And they both need to prove themselves sooner rather than later. They certainly didn't prove themselves here.This is the latest John Singleton film. I'm not sure what he's trying to do. Maybe he sees making teenie films for the tween set is where he has to go now. I think it's a mistake. This is not really his type of movie.The premise has some promise. I like the set up of a kid with a secret revealed. The movie has some good action moments. I don't want to be mean about this. But I just don't think Lautner has it in him to lead a movie. He can physically do it, but he can't emotionally do it.",Abduction
4,Prismark10,Missing person,4,7 April 2016,"A change of pace from gritty urban director John Singleton who tries to go for a Hitchcock type thriller with a teen audience in mind. Singleton in the past directed a Fast and Furious sequel so he has a previous in this type of movies. Taylor Lautner is a teenage High school kid who whilst working on an assignment discovers a photo of him as a kid on a missing person's website. He realises that people looking after him are not his real parents and that he is a missing person. When he and his girlfriend, Lily Collins delve into it more, they suddenly find that his supposed parents are attacked and killed by ruthless Russian agents. Lautner and Collins find themselves on the run with few people they can trust.Lautner discovers that the childhood memories which always haunted him were true and that his real mother was attacked and killed. His real father is a high level secret agent that the bad guys want to smoke out as he has access to a list of rogue agents. The couple raising him were also agents who wanted to protect him. Therefore they raised him to fight and have survival skills in case it were needed one day.Veteran actors such as Alfred Molina and Sigourney Weaver drop by as people who might help or hinder the runaway pair.Abduction is an efficient action thriller with a corny script. Lautner does well enough with the action scenes and he seems to be doing a lot of his own stunts. He is let down by his dramatic acting, not helped by being saddled with poor lines. However I have noticed that he seems to come across a lot better in comedy subsequent comedy roles. Collins is there as eye candy only and Singleton handles the action scenes well and keeps the tension going but the movie is never more than average.",Abduction
5,claudio_carvalho,"Brainless and Lame Story, Poor Lead Actor",4,9 November 2012,"The teenager Nathan (Taylor Lautner) feels outcast at home; has nightmares; and is shy. His father practices self-defense with him; he has consultations with the psychologist Dr. Bennett (Sigourney Weaver); and he has a crush on his classmate and next door neighbor Karen (Lily Collins).When he finds a website with photos of missing children with Karen, he suspects that he might have been adopted. He also contacts the site and the attendant locates him and calls Nikola Kozlow (Michael Nyqvist) in Europe and the guy travels with his gang to USA. Soon his mother discloses that she is his foster mother but his parents are murdered by two criminals. Before dying, her father asks him to run away. He takes Karen to the hospital and Dr. Bennett tells him that he is in danger and gives an address in Pittsburgh to him with the names of two persons that he can trust on. Now Nathan and Karen are hunted down by Kozlow and his men and also by the CIA. The teenagers do not know who is reliable and travels to the address Dr. Bennett gave to them.""Abduction"" is a thriller that wannabe another Bourne Identity-like movie. However, the brainless and lame story has many flaws and despite the cast with Sigourney Weaver, Michael Nyqvist, Maria Bello and Alfred Molina, the lead actor Taylor Lautner is a reasonable and unconvincing athlete and ruins any chance that this flick might have had. Lily Collins is gorgeous and nothing else. My vote is five.Title (Brazil): ""Sem Saída"" (""No Way Out"")",Abduction
6,nogodnomasters,TRUST HAS GOT TO BE EARNED,6,9 April 2019,"A boy named Nathan, who looks like he might turn into a werewolf at any time, has anger management issues. He boxes and wrestles to help control those issues. He also has a weird reoccurring dream which he relates to his shrink, who has an alien growing inside her (Sigourney Weaver). He is thrust together with his neighbor, Karen (Lily Collins) into a HS sociology project. They have been making goo-goo eyes at each other for the first part of the movie. They are looking up abducted children when Nathan finds a photo of a child that looked like him. He decides to investigate further.Since the title of the movie is ""Abduction"" we now know the bare bone plot. The question remains are the details and twists going to make this an interesting film? Yawn!But then all of a sudden the action literally explodes onto the screen. The movie becomes fast paced with a good rapid sound track. Nathan along with his traveling girl friend quickly develop the skills of a movie CIA operative while Taylor Lautner's acting abilities have remained unchanged. In one scene Karen is screaming, but her lips aren't moving...some poor dubbing. Nathan's flashbacks to his father teaching how to fight was very cliche. There is also the teen heart throb aspect of the movie, as clearly this movie was geared toward them.This is an action film for teenagers.Teen safe. No f-bomb, sex, or nudity...just some teens making out.",Abduction
7,kosmasp,Off to a good start,5,10 March 2012,"I did like how the movie started off. With the ""rascal"" Lautner (his character) and the mystery surrounding him. You get the wildest ideas (especially if you haven't heard about the story) where this might go. But as you may already know it gets pretty bog-standard after that. Lautner does his action-shtick and Singleton seems to do a for hire job after all.The clichés keep mounting up and the action scenes keep on coming (not that it makes much sense). Someone like Jason Isaacs might have been able to ground the whole thing, if they'd let him (but they got other ideas for him). Mostly for Lautner fans and people who like simple action entertainment",Abduction
8,jboothmillard,Abduction,4,23 February 2012,"From director John Singleton (Boyz n the Hood, Shaft, 2 Fast 2 Furious), I saw the trailer or some clips for this and thought it looked worth watching, so I gave it a chance. Basically Pennslyvania teenager Nathan Harper (The Twilight Saga's Taylor Lautner) is a slightly odd young man who lives at home with his parents, Mara (Coyote Ugly's Maria Bello) and Kevin (Harry Potter's Jason Isaacs), and has recurring nightmares that he discusses with psychiatrist Dr. Geraldine 'Geri' Bennett (Sigourney Weaver). One day while browsing the internet, he and his neighbour and longtime friend Karen Murphy (The Blind Side's Lily Collins) come across a website with photographs of children who are apparently missing and reported abducted, and using the ageing tool they see one of the children, named Steven Price, looks just like Nathan. He contacts the person who created the website to find out what is going on, but the person on the phone only wants to know his whereabouts and details, so he quickly hangs up, but of course the person phones someone in Europe to let them know someone on the list called. Nathan mentions this discovery to his ""mother"" and questions if she and his ""father"" are really his parents, but when she is about to explain the situation two men show up claiming to cops, but pull out guns and kill them both. Nathan knows that the people looking for him might to find him through his friends, he saves Karen from a house explosion, and they head for hospital so that she can recover. Nathan calls the police to report what is going, but he ends up talking to supposed CIA operative Frank Burton (Alfred Molina) who claims that he worked alongside his parents, and he tells him that he will be picked. Before they can get to him though he and Karen are picked up by Dr. Bennett telling them that they have to keep running, and she explains the situation with his parents, they were taking care of him for his real mother and father, and she warns him not to trust Burton. Now on the run the two ""fugitive"" friends head for the location she told them, an apartment in Virginia, and when they get there Nathan finds things to give him an insight into his father, and they end up having to run again after Karen calls her parents and Burton picked up. They also found the location of Nathan's biological mother Lorna Price (Elisabeth Röhm), but when they get there she is dead and buried in a near cemetery, and at her gravestone there are fresh flowers, so they get details of who put them there, it was a man called Paul Rasen. This man is somewhere in Nebraska, so with new fake identification cards they travel by train, but they are closely followed Nikola Kozlow (Michael Nyqvist), the man who was part of the website, and he has two agents on their tail as well. After escaping the train and running through the woods Burton catches up to them, and he convinces Nathan that they should talk, and he explains that the reason he is being chased is because his parents had a list of names that are of great value, and they now have that, and Burton himself is on it. After Burton and his partner Agent Sandra Burns (Antonique Smith) let him and Karen, as well as the terrorists get away, Nathan decides that he should phone Kozlow and make a deal for the list, as Kozlow says he will kill Karen's parents if he does not get it. So they arrange to meet each other in a public place, at a Pirates baseball game, and they do indeed sit by each other to carry out the exchange, of course Nathan is actually wanting to try and kill the man he is next to. By the end end of the film Kozlow and his agents are killed, the list is passed over to Burton, Dr. Bennett comes back to give them details about a new life Nathan and Karen can live, and Nathan even gets a call from his real father Martin Price (Dermot Mulroney) to explain that it is all over, but he will keep watch of him. Also starring Denzel Whitaker as Gilly and Ilia Volok as Sweater. Lautner is a little expressionless at times, but anyone who enjoys the Twilight films won't be disappointed with his pretty boy appeal, the supporting cast, particularly Molina and Weaver, do their parts as well as they can too. I will agree that it is a little flimsy at times, and the story is a bit patchy with its ideas, but it is a near enough interesting concept, and the chase sequences are certainly good viewing, so it is not a completely disappointing action thriller. Okay!",Abduction
9,blanche-2,bad acting brings this one way down,5,26 February 2014,"Taylor Lautner stars in ""Abduction,"" a 2011 film that can't even get the title right.The film also stars Jason Isaacs, Maria Bello, Sigourney Weaver, Alfred Molina, and Lily Collins. Lily Collins promises to become one of the great beauties on screen with some maturity, though that's not enough reason to watch a film.Lautner plays Nathan, a teenager who sees childhood photos and an age-enhanced photo on a website for missing children, shown to him by his neighbor Karen (Collins). The enhanced photo looks just like him.Almost immediately, the people he believes are his parents (Bello and Isaacs) are killed, and there's a bomb in the stove. Nathan and Karen go on the run, helped along the way by Nathan's psychiatrist (Weaver). Nathan not only doesn't know who he is, but whom to trust. There seem to be two factions after him.First of all, since no one was abducted, I fail to understand the meaning of the title.Second, why put Taylor Lautner as the lead in a movie? He can't act.Actually this isn't a bad story, if the acting and direction had gone up a notch. What is bad about it is that, without giving anything away, it concerns a stolen list of people who have had dealings with the enemy. Well, that was the plot of Skyfall (except it was a list of agents) and I don't know how many other thriller/espionage movies. Can't anyone come up with anything else except a list of names on which to base a plot? I guess this film was supposed to appeal to teenagers. Since I'm not one, it didn't appeal to me.",Abduction
