,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,fine rom-com,7,21 November 2019,"Far-left journalist Fred Flarsky (Seth Rogen) quits his job when his paper gets bought out by right-wing media mogul Parker Wembley (Andy Serkis). His best friend Lance (O'Shea Jackson Jr.) brings him to a party featuring Boyz II Men. There he runs into Secretary of State Charlotte Field (Charlize Theron) who happens to be his childhood crush and former babysitter. She decides to hire him as her speech writer for her impending Presidential run. President Chambers (Bob Odenkirk) is a former TV actor who only wants to be a movie star rather than run for re-election. Maggie Millikin (June Diane Raphael) and Tom (Ravi Patel) are Charlotte's ever-present assistants. James Steward (Alexander Skarsgård) is the hot Canadian Prime Minister.I like the rom-com aspect. I like the leads' chemistry. The politics get a bit clunky and that is the biggest problem with the third act. I don't see how Charlotte's plan would ever work. It would have been better to allow him to gallantly sacrifice for their love and she can sheepishly suggests the tunnels. The movie gets there eventually. It gets buried by the politics of the situation and dropping the mic sets the wrong tone. Overall, I like the coupling despite a few awkward steps.",Long Shot
1,boblipton,"Charlize Theron, Comic",6,15 July 2021,"Charlize Theron is the U. S. Secretary of State, about to embark on a presidential run with the blessing of President Bob Odenkirk. She's looking for a speechwriter when she happens to run into journalist Seth Rogan, who has just resigned from his alternative newspaper because it was bought by right-wing billionaire Gollum --- I mean Andy Serkis. It turns out they grew up as next-door neighbors and she used to watch him. She gives him a shot and a lot of the usual romcom tropes eventuate.... along with the sort of political fantasy that assumes that Hillary Clinton was hot, kind, forty years younger, had a sense of humor and showed some sign about caring. And that Brooklyn is within the Washington D. C. Beltway. Cute.If it works, it's because of Miss Theron. She has a straightforward style of behavior that made her performance here very funny; it also worked well in A MILLION WAYS TO DIE IN THE WEST, and contrasts nicely with Rogan's mild hysteria. Odenkirk is also very funny as the President.",Long Shot
2,Prismark10,Long Shot,4,17 May 2021,"Long Shot is a slobbish screwball romantic comedy with political undertones.Charlotte Field (Charlize Theron) is the Secretary of State, the US President Chambers (Bob Odenkirk) is a television actor who wants to retire to make movies.Field wants to run for president and Chambers tells Field that he will back her.Fred Flarsky (Seth Rogen) is a Jewish investigative journalist who infiltrates neo Nazi groups. However he is fired when his newspaper is taken over by a Rupert Murdoch type media mogul called Parker Wembley.Flarsky knew Field when he was a lad. She used to babysit for him and Flasky had a crush on her.At a reception Field hires Flarsky as a speechwriter despite his radical views such as environmentalism.The film works best when Rogen plays up the silliness such as jumping through a Nazi flag and finding out he has jumped several floors down a building.It is an odd mix of raunchiness with sly political digs. However it ends up being too conventional, something like a bad mannered The American President but without the smart writing.The movie is too erratic that needed to be sharpened. At time I thought this was Rogen just wanting to show the world that he could pull Theron.",Long Shot
3,nogodnomasters,Oh Boy.,5,20 May 2019,"Charlotte Field (Charlize Theron) is the Secretary of State with aspirations for the Presidency. Fred Flarsky (Seth Rogen) is a journalist/activist. They knew each other as teens. They meet again at a party, have chemistry and she hires him to dress up her speeches with humor.Bob Odenkirk plays the right-wing president as if he is imitating Steve Carell. Next time hire Steve Carell. Of course, there is a right-wing media mogul as this mildly mirrors real life. Not Seth Rogan's best.Guide: F-word. Sex. No nudity.",Long Shot
4,kosmasp,Is it though?,8,3 January 2021,"A long shot would be something that you don't actually believe can succeed. Now this is true for a couple of things here. One being the romance of the two main characters and the other the fact Therons character tries to become the first female POTUS - but can she do it while remaining completely innocent and stucking to her guns and convictions? Some at least minor adjustments have to be made for sure, yes? Well the answer my friend ... it might be blowing in the wind, but it is also included in this movie.Rogen and Theron have excellent chemistry and neither of them shy away when it comes to foul language. So anyone with a certain sensitive nature and who has issues with that ... might not be the movie you are looking for. Eveveryone else who isn't easily offended but rather cherishes the ""realness"" in adults talking will have fun in this. Of course not all the jokes work, either because they are too silly (tone) or because they just aren't true (Ice Cubes son can't make the argument he's the only black guest, when clearly in the opposite shot you can see a lot of others - therefor his actually pretty good line about people praising his latest music is undermined - digs or no digs at his father included).If you are not nitpicking then, you can have a good time ... just don't do it in front of you webcam ... just saying",Long Shot
5,jboothmillard,Long Shot,7,19 September 2021,"I may have seen the poster for this movie briefly, I do recall the lead actor and actress (who has not done many comedy movies) who starred in it, and that was good enough reason for me to watch it., directed by Jonathan Levine (50/50, Warm Bodies, The Night Before, Snatched). Basically, President Chambers (Bob Odenkirk) is a former actor who played the President of the United States on television before moving into politics and being elected the President in reality. But he informs U. S. Secretary of State Charlotte Field (Charlize Theron) that he does not plan to run for a second term, as he wants to break into movies. He tells her he is looking for a replacement, and seeing an opportunity, she smooth-talks her way to convince him to endorse her as a potential presidential candidate. Charlotte soon meets with her staffers Maggie Millikin (June Diane Raphael), Tom (Ravi Patel), and polling team manager Katherine (Lisa Kudrow) to help Charlotte with her campaign. Meanwhile, Fred Flarsky (Seth Rogen) is a New York City journalist who has recently escaped an undercover encounter with a neo-Nazi cult. Following this, he learns that that the newspaper he works for has been bought by wealthy media mogul Parker Wembley (Andy Serkis). Fred is furious and quits but cannot find another job. Depressed, he turns to his best friend Lance (O'Shea Jackson Jr.), who takes him to a charity fundraising event where Boyz II Men (as themselves) are performing. Charlotte is also attending this event. Charlotte and Fred recognise each other, as she was his babysitter and secret crush when they were young. While they catch up, Wembley interrupts them to plan a meeting with Charlotte. Fred angrily and loudly condemns Wembley before storming off, falling down a flight of stairs in front of everyone. Charlotte is unhappy with the speeches for upcoming events, as she wants to come across more relatable to the public, perhaps with a sense of humour. After reading columns by Fred, against the objections of her staff, and despite his initial scepticism of her commitment to important issues, Fred accepts Charlotte's offer to hire him as her speechwriter. At a world leaders' summit, Charlotte is forced to revise a speech about an environmental campaign to appease industrialists, but she eventually changes her mind and gives the original speech, which is enthusiastically received. As the two continue to spend time together under the pretext of Fred learning more about Charlotte for his writing, they grow closer, eventually beginning a relationship. Chief of staff Maggie warns Charlotte and Fred that the public will never accept them as a couple. At one point, Wembley pressures Chambers about Charlotte's policies, and she lets off steam by getting high on ecstasy with Fred. A hostage crisis occurs and, still under the influence of the drug, Charlotte has a surprisingly frank talk with the captors and frees the hostage. Even though the incident increases Charlotte's approval rating, Chambers is livid when she chooses to ignore his orders and call him out. He confronts her in his office alongside Wembley. The two blackmail her with a hacked video from Fred's webcam. The hacked video shows Fred discussing his and Charlotte's relationship and Fred masturbating to a video of her onscreen, ending with Fred ejaculating on his own face. Charlotte shows Fred the hacked video and informs him that she has agreed to the ultimatum, and that she wants to introduce him and their relationship publicly once his image is cleaned up. Feeling dejected that she will not accept him for the way he is, Fred refuses to change and they break up. Back in New York, Fred talks with Lance. Fred makes unintentionally racist assumptions about Lance about his political and religious beliefs. Lance tells him that he has been too stubborn with his principles and refusal to consider other people's needs and opinions. During her announcement to run for president, Charlotte changes her mind and opts for her original plan, revealing the blackmail from Wembley and Chambers, and describing the content of the video before its release. The video is released, and Fred is nicknamed ""cum guy"" by the news media. Fred searches for Charlotte and finds her waiting at his apartment. They admit that they love each other and meet the press outside where Charlotte confirms Fred is her boyfriend, with the public being surprisingly supportive of them. A couple of years later, Charlotte has been sworn in as the first female President of the United States, she and Fred are married, with him becoming the ""First Mister"", and they look forward to a positive future. Also starring Alexander Skarsgård as Prime Minister James Steward, Randall Park as Boss, and Tristan D. Lalla as Agent M. Rogen is likeable as the brash unemployed investigative journalist sporting a tatty windbreaker, Theron is the beautiful more serious political figure but does gets laughs at the right moments, especially when she gets high, and Jackson Jr. Almost steals all scenes he features, they are an unlikely but terrific onscreen couple, it is a simple story of a love story between two childhood friends reunited in adulthood while doing politics and stuff, most of the laughs come from the character banter, awkward situations and some over-the-top moments, it is an amusing and worthwhile romantic comedy. Very good!",Long Shot
6,tavm,Charlize Theron and Seth Rogen make a good couple in Long Shot,8,13 September 2019,"Charlize Theron plays the Secretary of State who plans to run for president. Seth Rogen plays a reporter of an independent newspaper that is about to be bought by a conglomerate run by someone he doesn't like so he quits. A friend of his takes him to a party the Sec'y is at and...well, I'll stop there and just say I like the relationship these two go on and like also many of the funny touches that is used throughout much of the narrative. The ending may be a little over-the-top but something I'd love to see! So I highly recommend Long Shot.",Long Shot
7,LeonLouisRicci,HIGHLY ENJOYABLE FAIRY-TALE ROM-COM...TIMELY & SURPRISINGLY AGAINST ALL ODDS...IT WORKS,8,10 September 2021,"In Today's Political Climate, Anything to Lighten the Mood is a Welcome and Needed ""Shot in the Arm"" Administered by the Comedy ""Doctors"" for All to CYA and Proclaim...""I have a prescription for that"".Charlize, Rogen, and Crew Defied All the Odds and make this Rom-Com Not Only a Hit, but Adds a Fresh Title in a Genre that too Often Alienates Half of the Potential Audience with Expectations of Yuk.Sure Rogen's Frat-Boy Humor Can Alienate Half the Audience too, but here He Tones It Down just a Tad, with a Type Twist that makes one of the Reasons this was Not a ""Sure Shot"" and More of a ""Long Shot"".More ""Long Shots"" are Included in this Romantic-Comedic-Advemture-Wish Fulfillment-Fairy Tale with Left-Wing Shout Outs and Outright Fantasy.One is Reminded of a Smaller Political Satire ""Bullworth"" (1998) that On Paper didn't Stand a Chance of Working...But it Did.When Word gets Around that this is a Virtually Cringe-Less Timely Exercise in Political Headline Parody with Rogen's Irreverent Spin, it Could Contain the Stuff that Cult Films are Made Of.",Long Shot
8,neil-476,"Oh, really?",7,20 May 2019,"Glamorous Secretary of State, Charlotte Field, needing her speeches punching up a bit as she begins her run to be first female President of the USA, picks principled fat ugly drug enthusiast slob Fred, who she used to babysit way back when. Romance ensues.Is it just me who suspects that the only person who believes that the character Seth Rogen plays could pull the character Charlize Theron plays is Seth Rogen?This romcom makes some pithy obersvational points abot politics, perception, and relationships, and you quite like both Charlotte and Fred. Also, there are some genuinely funny moments.But - as usual for a Rogen comedy - it is packed from cover to cover with profanity, of which about 10% has any sort of dramatic justification: the rest of it is simply because Rogen likes saying - well, I don't need to repeat it, do I?And, more importantly, I didn't believe a second of it.",Long Shot
9,ferguson-6,Charlize for Prez!,6,2 May 2019,"Greetings again from the darkness. Romantic Comedies and Political Parodies are staples in the film industry, and have been for many decades. The combination of the three - a political romantic comedy - is a bit rarer, though we have seen it in such films as DAVE (1993), THE AMERICAN PRESIDENT (1995), BULLWORTH (1998), and LOVE ACTUALLY (2003). This latest from director Jonathan Levine (50/50, 2011) has elements of those well-known movies, while incorporating a very high level of raunchiness in a gender-reversed template of PRETTY WOMAN (1990).We first meet Fred Flarsky (played by Seth Rogen) at a neo-Nazi/white supremacist gathering. He's actually a left-wing journalist for an alt-weekly publication, and he's so intent on getting the story that he's willing to get a swastika tattoo and leap out of a second story window. Standing firm on his idealism, Fred quits his job when informed that his magazine has been bought out by Wembley Media ... a right-wing organization in the vein of Fox News. It's an odd opening for the film, but sets the stage for Fred to be reunited with his one-time babysitter Charlotte Field (Charlize Theron) who is now the U.S. Secretary of State.When President Chambers (Bob Odenkirk) summons Charlotte for an Oval Office meeting, we get our first glimpse of the filmmakers' parody of the actual current office holder. Chambers is a former TV star who was Golden Globe nominated for acting like a President on his show, and now wants to capitalize on his popularity by transitioning to a more prestigious career ... movies. He's willing to endorse Ms. Fields for the nation's highest office in the next election, and she's all in.Charlotte's reconnection with Fred leads her to hire him to ""punch up"" her speeches with some humor. See, testing has shown that she scores high in most categories with voters - but not for her sense of humor. Despite the protests of her staff, Maggie (June Diane Rafael) and Tom (Ravi Patel), Fred comes on board and quickly works his way into Charlotte's favor - to say the least.Yes, on top of the political jabs and typical Rogen stoner humor, there is an inherent comedic element placing glamorous Charlize Theron and schlubby Seth Rogen in a blossoming romance ... together. The idealism of their characters play a role in the story (she truly believes in her environmental initiative), and the supporting cast is terrific, but this is mostly a show for Ms. Theron and Mr. Rogen to go full-force comedy (including a Molly-trip). We have seen this from him many times, but the real gem here is Oscar winner Theron, who is likely the only actress who could pull off such diverse films as MONSTER (2003), MAD MAX: FURY ROAD (2015), ATOMIC BLONDE (2017), TULLY (2018), as well as this crowd-pleasing political raunch-fest with a political bent.Additional supporting work is provided by Lisa Kudrow, Randall Park, and Alexander Skarsgard (who excels as the awkwardly funny Canadian Prime Minister, in a direct spoof on Justin Trudeau). There is also an unrecognizable Andy Serkis as a frumpy Steve Bannon type, and O'Shea Jackson Jr (Ice Cube's son) is a standout as Fred's best friend ... one with some terrific one-liners and a secret that nearly crushes Fred's idealism. The campaign travels the world (though the film barely takes advantage), and the script from Dan Sterling and Liz Hannah serves up a clever Jennifer Aniston joke, a sight gag to rival THERE'S SOMETHING ABOUT MARY, and enough bawdy sex comedy that the political satire sometimes fades (but never for long). It's meant to be a crowd-pleaser and it seems to succeed on that; although its greatest strength may be in showcasing another side from the immensely talented Charlize Theron.",Long Shot
