,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,How can she ignore......................................,3,14 June 2015,"Playing the title role of The Boy Next Door is Ryan Guzman and he's attracted Jennifer Lopez's attention. Jen's looking for attention herself since she tossed out her cheating husband John Corbett and Guzman is quite the hunk. In a moment of weakness she gives in and when she tries to tell him it was all a mistake Guzman goes psychotic on her. He also begins moving in on her life becoming an older mentor to her son Ian Savage. He even enrolls in her high school saying he's a transfer student who missed a couple of years. All lies because Guzman is now fixated on her.Curiously enough a couple of weeks ago I saw the film The Idol which had another Jennifer named Jones in the starring role. I think those who created The Boy Next Door must have seen this film because that is also about a woman separated from her husband who gets seduced by a young man who also befriended her son. It was not one of Jennifer Jones's best films, but it's Citizen Kane next to this one.Anyway, J.Lo is hot and so is Guzman. That might be reason enough to watch The Boy Next Door. Lopez couldn't take her eyes off him.",The Boy Next Door
1,Leofwine_draca,Let down by predictability and bad acting,4,30 January 2018,"THE BOY NEXT DOOR is a very predictable example of the psycho-thriller genre with worse and more generic scripting than something like DISTURBIA. It suffers hugely from having Jennifer Lopez as the miscast lead, because she fails to invest her character with any particular personality or wit, and she's entirely unsympathetic to boot. There were only two scenes in the whole film I liked, and the blind date is one of them, but the rest is just ho-hum. As the story's antagonist, Ryan Guzman is laughably out of his depth and entirely unimposing, as well as qualifying for one of the oldest supposed teenagers I've ever seen. The story plays out slowly and predictability, nothing that hasn't been done before, and only picking up in the last ten minutes for a cliched but amusingly violent showdown.",The Boy Next Door
2,SnoopyStyle,It's so bad that it's .... really bad,2,31 October 2015,"High school teacher Claire Peterson (Jennifer Lopez) throws her cheating husband Garrett (John Corbett) out. Their son Kevin (Ian Nelson) isn't happy. Nine months later, Claire is uncertain about a divorce and Garrett is trying to squeeze his way back into the family. Next door neighbor has his orphan nephew Noah Sandborn (Ryan Guzman) staying with him. Noah becomes Kevin's mentor and his only friend.Everything is wrong. It's way too overwrought and really bad movie-making. Guzman is too old to play a teenager and is too outwardly insane. He nearly kills a guy and only gets expelled. The cops are nowhere in sight. It's too much. The son is almost as badly written. His changes are way too abrupt. This is a bad exploitation movie. I actually think Jennifer Lopez is not the right actress for this role. It would be more compelling if Claire is a more plain looking woman. This movie is full of eye-rolling moments.",The Boy Next Door
3,claudio_carvalho,Unoriginal Standard Thriller,4,16 December 2016,"The classic literature teacher Claire Peterson (Jennifer Lopez) lives alone with her teenage son Kevin (Ian Nelson) in a house in the suburb. She is separated from her husband Garrett Peterson (John Corbett) since she has found he had an affair with a coworker in Los Angeles. Garrett wants to have a fresh restart with Claire but she is reluctant and prefers to stay alone. When the handsome nephew of her next door neighbor Noah Sandborn (Ryan Guzman) loses his parents in a car accident, he moves to the house and befriends Claire and Kevin. Noah seems to be an adorable young man and soon there is a sexual tension between Claire and he and one rainy night they have one night stand. On the next morning, Claire regrets but Noah becomes obsessed for her and shows his real personality. ""The Boy Next Door"" is an unoriginal standard thriller with a well- known story. The viewer knows the whole predictable story from the beginning in a common screenplay that probably lays on the shelf of studios para every now and then make a movie. The attraction of ""The Boy Next Door"" is the hot Jennifer Lopez only; otherwise it would be complete garbage. My vote is four.Title (Brazil): ""O Garoto da Casa ao Lado"" (""The Boy in the Next Door House"")",The Boy Next Door
4,nogodnomasters,I LOVE YOU MAMA'S COOKIES,4,10 June 2019,"Contains some plot spoilers.Claire Peterson (Jennifer Lopez) has issues with her husband (John Corbett) who cheated on her. They live separate but share a teen son Kevin (Ian Nelson) who has bully issues. The muscle bound intelligent charming Noah (Ryan Guzman) moves in next door, cue Carly Rae Jepson, and school teacher Claire takes a passing interest that culminates into a one night stand followed by the expected stalker/psychopath Noah that escalates into an absurd fiery cage match. Kristin Chenoweth plays the school's vice principle and confidant who makes bad cookie jokes.The script didn't know if it wanted to be a Lifetime film or a ""B"" psycho movie. It is another film that they didn't seem to know how to end, not wanting to copy endings of other films of this genre.Guide F-bomb, sex, nudity (Ryan Guzman-butt, Lexi Atkins of ""Zombeavers"")",The Boy Next Door
5,kosmasp,With neighbors like this ...,4,26 October 2015,"I know the saying is actually with friends like ... but with a movie title like this ... what did you expect this to be? Only thing that might surprise you, is the fact that they allegedly went back and shot some extra scenes to make this spicier. How was that before, if this is the spicy/""erotic"" version? Not that even further skin/encounters would have helped the movie.But it is what it is. And that's a terror thriller, with an almost decent villain. It actually doesn't start that bad to be honest. I liked the way this went at the beginning and Jennifer Lopez does a neat job of pulling that role of. But just to a certain degree - after that it's downhill from there. So yes this is a bad movie, but it has a few things that can be seen as saving graces - if you're forgiving enough. Standard at best",The Boy Next Door
6,michaelRokeefe,One lapse of good judgment.,7,31 August 2015,"A movie not as predictable as you may think. It is even better that first thought. Kind of a slow burner; but look out for the bad behavior. Claire Peterson(Jennifer Lopez)is a very attract high school teacher learning to live without her cheating husband Garrett(John Corbett). A studly young man named Noah(Ryan Guzman)temporarily moves in next door and befriends Claire's son Kevin(Ian Nelson). Mrs. Peterson attempts being cordial and offers friendship. Noah is quick to be helpful as he is charming. He doesn't read false signals from Claire; he instigates overt flirtation that the teacher finds flattering...but, whoa, it becomes obvious that Noah is a bit psycho, obsessed and can't take no for an answer. One night of temptation leads into something vicious and violent.Miss Lopez has never been shy in front of a camera(who's complaining) and there are plenty of scenes that allow her to show her assets. Along with the violence, there is some partial nudity and sexual situations. This thriller earns its R rating.Also in the cast: Kristin Chenoweth, Lexie Atkins, Hill Harper and Jack Wallace.",The Boy Next Door
7,sunwarrior13,Jennifer Lopez's Version Of Fatal Attraction,4,25 June 2015,"The Boy Next Door is an erotic thriller that stars Jennifer Lopez together with Ryan Guzman, John Corbett, Ian Nelson, and Kristin Chenoweth.It tells a story about an inter-generational adulterous affair between a High School teacher and a twenty-year old student.Claire Peterson is a High School teacher that separates from her husband after he was caught cheating.Then,she and her son Kevin,meets their next door neighbor Noah,who happens to be a handsome hunk and a High School student.Claire is secretly attracted to Noah that one night both accidentally was brought by passion and slept together.Despite what happened,Claire decides not to have enter an affair with him which leads to a numerous trouble for her and her family.This was definitely another version of Fatal Attraction.No question about it.The story has been told and as the viewer watches it,there is nothing refreshing nor surprising as the story is being told except the gender change.Also,all the elements of the said film are here present like the intense sex scene between Claire and Noah and the psychotic qualities that Noah possess to make life miserable for Claire and his family.What about the ending?Well,we get to see a violent conclusion as Claire gets to finally kill Noah in the end. The only reason of probably seeing it is the presence of Jennifer but still I would prefer her corny romantic comedies rather than her own version of Fatal Attraction.",The Boy Next Door
8,preppy-3,What can I say? Predictable but I liked it a lot.,7,30 January 2015,"High school English teacher Claire Peterson (Jennifer Lopez) lives alone with her son Kevin (Ian Nelson). She's separated from her cheating husband Garrett (a badly aged John Corbett). The neighborer next door has his 19 year old nephew Noah (Ryan Guzman) move in. Noah bonds with Kevin and is attracted to Claire. One night, in a moment of weakness, she has sex with him. The next morning she realizes it was a mistake...but he's madly in love with her and wants her all to himself.This was a HUGE hit its opening weekend and was savaged by the critics. It's no great movie and it's utterly predictable but I liked it. I was never bored for one second and it generated some suspense. Also it holds back from graphic gore until the end. It moved quickly, had an OK script and the sex scene between Lopez and Guzman was hot without being overly explicit. The acting varies. Lopez is OK but Corbett and Kristen Cheoweth were good and Guzman was excellent. He was totally believable when he was charming or being a raging psycho. Also he's ridiculously good-looking and has a great body. As for nudity--Guzman bares his butt a few times and an unnamed female extra is nude in fleeting shots. Basically this is a well-made thriller that I enjoyed watching. I give it a 7.",The Boy Next Door
9,LeonLouisRicci,The Film Fails to Get Down and Dirty Where it Counts,5,17 July 2015,"Producer and Star of This Deriva-Trite is Jennifer Lopez and Her Restraint with the Material is the Film's Biggest Failure. Why Take On a Psycho/Sexual Thriller and Pull Back on the Psycho/Sexual Stuff.Ryan Guzman as the Psycho Cannot Convey Scary in Any Sense of the Word. He Just Seems Whiny and Spoiled. He is Obviously Here and Hired for His Cutesy Charm and Hard Body. Lopez, for Her Contribution to the ""Let's hold back for good taste"", is to Not Allow Much Skin in the Sex Scenes, and the Forbidden Fruit Stuff is Almost Standard Commercial TV Standard.The Film Never Recovers from this Misstepped Tone No Matter How Hard it Tries and that Includes the Graphically Violent Ending. The Thing is Two Decades Too Late and Until This Genre Breaks Free of Sameness it is Destined for the Bargain Bin and the Usual Mediocre Playlists on the Pay-TV Channels, After a Failed Limited Run in Theatres.The Movie is Formulaic to a Fault and is Guilty of Absolutely Nothing New for 2015. Jennifer Lopez has Acting Ability but Until She is Willing to Forego the False Idea that She is Royalty and Starts Taking Chances and Gets Down and Dirty, Especially with This Type of Thing, She Will Remain a Tabloid Headline Laughing Stock. She Doesn't Deserve it, but Has Only Herself to Blame.Director Rob Cohen, On the Other Hand, has had His Chance Over the Years and Should Retire Permanently and Let Some New Blood have an Opportunity. They Couldn't Do Any Worse than This Average at Best Stuff.",The Boy Next Door
10,utgard14,"""I love your mother's cookies.""",3,18 April 2015,"Boy was this a stinker. I mean, good for some laughs with your friends but I don't think that was the intent of the filmmakers. And I use 'filmmakers' loosely here. There's a lot to tear this apart for, and other reviewers do just that, so I'll focus on just a few things that stood out to me. First, the movie's messages are disturbing. You have this woman whose husband has cheated on her with his secretary and she's debating whether to forgive him or not. Then she has a one-night stand with the teenage hunk from next door. Here's the tip of the creepy iceberg. Their love scene starts like a rape scene, with him forcing himself on her while she says ""no don't"" before eventually giving in. No means yes if you have abs of steel? Then there's the whole disgusting double standard the movie has towards the husband's actions and the wife's. Granted the two situations aren't identical but it's hard to avoid drawing the conclusion that the man sleeps around but ""comes back home"" to his family, while the wife sleeps around and all hell breaks loose for her and everybody around her.It's a terrible movie. I'll give it a 3 solely for the unintended comedy. It's hard to completely hate anything Kristin Chenoweth is in. Although she's underused and not given much to work with, sadly. One last thing -- what's with the gory eye stuff at the end? It's like this turned into a Friday the 13th sequel in the final five minutes.",The Boy Next Door
