,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,More junk from a talentless director,2,30 July 2015,"It's pretty amazing that Hollywood keeps throwing money at Paul W. S. Anderson to make films with his wooden wife, Milla Jovovich. RESIDENT EVIL: RETRIBUTION is yet another instalment in the endless franchise, and there are so many of these cookie cutter movies that by now I've lost count of where we are in the series. This follows straight on with the last one and tries for freshness with a few 'virtual reality' scenes of zombie attacks, but for the most part it's just incessant CGI action.Jovovich has always been poor in these movies; a supposed kick-ass heroine, she continually fails to have any screen presence whatsoever. As she gets older so her body becomes unable to do some of the tougher stunts, so the films get more reliant on CGI as they go on. This one sees Jovovich fighting villains ripped off from SILENT HILL, teaming up and fighting some old faces, and going up against various unstoppable bad guys. It's completely yawn worthy, with nothing we haven't seen before, and I frequently checked my watch, hoping it would all be over soon. Anderson's direction is awful, obsessed with flashy slow motion which looks like a teenage boy was directing.Realising just how poor and plot less these films have become, Anderson tries desperately to draw in old and new fans alike. So we get a Chinese character (Li Bingbing) for Asian audiences, plus the return of Michelle Rodriguez and Colin Salmon after they died in the first film. Sadly, Salmon only makes a brief cameo, although Rodriguez has more to work with and seems to be the toughest out of all of them. Jovovich is a bore, but her acting is sublime in comparison to the excruciating Sienna Guillory, who gives the most wooden line readings I've ever heard. This is a dud all round.",Resident Evil - Retribution
1,SnoopyStyle,"Lots a shooting, Lots a shooting, Lots a shooting",5,19 September 2013,"Following the last movie, Alice is captured and imprisoned by The Red Queen in an Umbrella Corporation's underground facility in Kamchatka. Now Wesker wants Alice to put on a last stand for humanity alongside him. With Ada Wong on the inside and a team from the outside, they try to escape from The Red Queen.There isn't much going on storywise. They put in virtual environments in the facility so that they could play out some of the action in NY and Moscow. There are also clones in this facility so that Sienna Guillory, Michelle Rodriguez, and Oded Fehr can return to the franchise. At its core, it's all about the action. The story isn't that important. It's not really a movie. It's more a video game. Enjoy!",Resident Evil - Retribution
2,claudio_carvalho,A Video-Game with Explosions and Shootings,6,1 January 2013,"Alice (Milla Jovovich) awakes at home with her daughter Becky (Aryana Engineer) and her husband. But soon she realizes that she is actually in an Umbrella Corporation's underground facility. Out of the blue, the computer security system shuts-down and Alice flees to the central control room of the facility. She meets Ada Wong (Bingbing Li), who works with Albert Wesker (Shawn Roberts), and she learns that a five-man team has been sent by Wesker to rescue them. However, the Red Queen sends Jill Valentine (Sienna Guillory) and Rain (Michelle Rodriguez) to hunt them down. ""Resident Evil 5 – Retribution"" is so far the weakest movie of this franchise. Actually it is a video-game with a short story and lots of explosions and shootings. ""Resident Evil 5 – Retribution"" works better on Blu-Ray or DVD, since it might be unbearable for those who have gone to the movie theater to see this flick. The writer needs new ideas and not reboot the story. My vote is six.Title (Brazil): ""Resident Evil – Retribuição"" (""Resident Evil – Retribution"")Note: On 02 February 2017, I saw this film again.",Resident Evil - Retribution
3,nogodnomasters,MADE FOR A VIDEO GAME,7,22 August 2018,"This film was clearly designed with a video game in mind. The first two minutes of the film summarizes all the films that you may have missed: Virus, bad mutants. Alice, good mutant. And something about the red queen.In our soon to be released video game based on the film, the main character (Milla Jovovich) wakes up in a strange location wearing a skimpy towel. There will be a nude patch that you can download for the game that the manufacturer will swear it had nothing to do with. You then have 2 minutes to find your clothes and escape during a computer failure, one that is poorly designed and defaults to open the door and return your clothes. Once outside you will need to quickly locate weapons and kill low level mutants to level up. You are then forced to return to the facility. Here you team up with someone (Bingbing Li) who looks like Tifa Lockhart (FF VII). You gather as may weapons as you can. Make sure to take extra weapons to arm any future new members of your party.You now have 2 hours to escape the underground area by passing through models of various cities. You kill mutants for points and save humans who you can add to your party while you go to the rendezvous location to meet up with your rescue squad. Due to the cloning nature of the facility you can meet up with people from previous films who couldn't possibly be here. The film ends at a point where we can have a CG sequel and video game.5 star movie if you love watching someone else play a video game.Parental Guide: I don't recall any F-bombs, although don't hold me to that. No sex. No nudity, but skimpy outfits",Resident Evil - Retribution
4,kosmasp,Lots of style and action,5,3 January 2013,"So there is not a lot of story in this. Are you really surprised? What made you think there would be a huge grand story hidden somewhere here? If that's what you're expecting, well you will be more than disappointed. If you go into this expecting to be entertained with great CGI and some good 3-D effects (better than the previous movie, obviously the technical advances come into effect, still not as good as in animated movies of course!).You'll get some familiar faces (the reason why is explained pretty neat) and some deja vus thrown in. But it's not a best of, of what happened until now. It's a stepping stone to the next movie (don't tell me you didn't see that one coming either!). And it looks like that one might actually fulfill some of what people thought this would be like ...",Resident Evil - Retribution
5,jboothmillard,Resident Evil: Retribution,4,28 November 2015,"The film series based on the survival horror video games has been mixed, the first film is great, the second is crap, the third is alright and so is the fourth, I expected the same reaction to this fifth instalment, directed by Paul W.S. Anderson (Mortal Kombat, AVP: Alien vs. Predator, Death Race, Pompeii). Basically it picks up straight after the events of the previous film, the T-Virus, created by the Umbrella Corporation, continues to ravage the Earth turning all infected into dangerous flesh-eating zombies. Alice (Milla Jovovich) continues to hunt those responsible for the outbreak, but following an explosion on a freighter she finds herself in Umbrella Corporation's underground facility, and her former ally Jill Valentine (Sienna Guillory) is being mind-controlled through a scarab device on her chest. Alice gets her chance to escape when a power failure occurs, she encounters Ada Wong (Bingbing Li), a top agent of Albert Wesker (Shawn Roberts), it is revealed that the Red Queen of the Hive has been reactivated and now controls Umbrella, and manufactured clones were created to simulate the outbreak of the T-Virus, to sell it at a high price around the world. To help them infiltrate the facility and escape, a strike team organised by Wesker arrives to join Alice and Ada, they are Leon S. Kennedy (Johann Urb), Barry Burton (Kevin Durand) and Luther West (Boris Kodjoe). They have two hours to escape before an explosive device is detonated, the only way to get out is through the simulation scale versions of major cities from around the world, including suburban Raccoon City, New York City and Moscow, Russia. Along the way Alice and the others encounter not only Umbrella troops and undead creatures and evolved monsters, they also encounter clones of deceased allies, including good and evil versions of Rain Ocampo (Michelle Rodriguez), soldier Carlos Olivera (Oded Fehr) and commando team leader James ""One"" Shade (Colin Salmon). These clones were created with only a proportion of previous memories to make their reactions to simulations as realistic as possible, they find Alice herself was also cloned, and in her clone life she was a housewife, living with husband Todd (Oded Fehr) and deaf daughter Becky (Orphan's Aryana Engineer). The team find Becky on the way and original Alice takes her with them, taking the place as her mother, and after all the encounters with the ruthless troops, dangerous undead creatures and releasing Jill from her controlled state, they make it out before the explosion. In the end Alice is met by Wesker in the barricaded White House, he restores her superhuman abilities, created by her mutation with the T-Virus, Wesker explains that they need her as the ultimate weapon to join human in the last stand against the hostility of the undead and the Red Queen threatening to wipe out the human race. Also starring Robin Kasyanov as Sergei, Ofilio Portillo as Tony and Megan Charpentier as The Red Queen (voiced by Ave Merson-O'Brian). Jovovich (also director Anderson's wife) with her vigour and visual appeal is still the big draw to sustain proceedings, all the supporting cast are fine as well, I agree the action just continues repeating in each film, the zombies remain relatively scary, the special effects are well done, but you are not highly bothered by the storyline, it is just cool for the fight scenes, guns and explosions all over the place, and blood spilling, apart from that it's another average science-fiction thriller. Okay!",Resident Evil - Retribution
6,Tweekums,Can Alice escape from the Umbrella Corporation?,6,9 May 2017,"After the events of the previous, fourth, instalment in the franchise Alice is a captive of the sinister Umbrella Organisation. She escapes from the room she had been held in with the help of Ada Wong. Ada tells her that her erstwhile enemy Albert Wesker no longer works for the Umbrella Corporation. Umbrella is now run but the 'Red Queen'. It is explained that Alice is being held at a large underground facility in what was once a Soviet submarine base on the remote Kamchatka Peninsula. The base is a test facility that contains accurate reconstructions the centres of New York, Tokyo and Moscow as well as the suburbs of Racoon City. Alice and Ada are to work their way through the facility to meet up with a commando team that is coming to rendezvous with them. As they progress Alice turns that Umbrella has been using the zones to test various 'biohazards' on a clone populations. Some of these clones are based on Alice and as they pass through the suburbs she meets Becky, the daughter of one such clone, and determines to rescue her.This film is very much about bridging the gap between the fourth and the final instalments of the series; knowing this is a bit of a problem as no matter what the threat or how bad things look we know Alice will ultimately survive. The other characters were okay but weren't really developed enough to care about. It isn't all bad of course; I liked the character of Becky, she reminded me of Newt from 'Aliens' and I did care about her survival. There is lots of action; the fight scenes are really rather good as were the various monster attacks. However the CGI effects are a bit too obvious at times just because a film is inspired by a video game doesn't mean that it should occasionally look like one! The cast do a decent enough job. Overall this is far from great but it is a decent enough way to pass an hour and a half if you enjoyed the previous films in the series.",Resident Evil - Retribution
7,ma-cortes,"Fifth sequel with nonstop action , violent combats and spectacular images by computer generator",6,20 July 2013,"The Umbrella Corporation's deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race's last and only hope, Alice (Milla Jovovich is the only actor to appear in all five films) , awakens in the heart of Umbrella's most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex . Again Alice fights alongside a resistance movement (Boris Kodjoe, Johann Urb , Kevin Durand , Robin Kasyanov) in the continuing battle against the Umbrella Corporation and the undead . Meanwhile , Alice rescues her daughter Becky (Aryana Engineer , this role was not originally to be hearing-impaired, but after an outstanding audition, the role was given to Engineer) from starving zombies . Alice along with the valiant group rush to The Hive, where The Red Queen plots total destruction over the human race .Fifth spectacular , action-packed and thrilling installment of the ¨Resident Evil series¨ , adapted from the video games characters produced by Hiroyuki Kobayashi . Yet another noisy film rendered from a video game which never gets as eerie as a Zombie picture should . Unstopped-action gore-feast that provides for high-octane escapist entertainment with some eye-catching visuals and pulsing soundtrack by Tomandandy . This exciting picture contains thrills , chills , action-filled with fierce combats and lots of gore and guts . The horror and action moments are fast moving and compactly realized , being the first movie of the series not to feature undead dogs . This sequel takes more , more approach , more fights , more blood and gore . The creepy images of wide range from the genuinely fantastic to the bizarre along with scary and amazing frames . It's predictable but we have seen the previous chapters , as there are 3 scenes from ¨Resident Evil : Afterlife¨ that were reused in this movie , but also its predictability is redeemed in part by the charismatic acting from the action-women , as Milla Jovovich , Michelle Rodriguez , Sienna Guillory and Bingbing Li . The flesh-eating mutants appearance deliver the goods , plenty of screams , shocks and tension . The make-up assistants create a truly horrible zombie cannibals and state-of-art FX won the Canadian Screen Award for Achievement in Visual Effects . Horrifying and astonishing images about apocalyptic events with destroyed cities, such as the fantastic scenarios in Washington totally inhabited by flesh-munchies creatures and White House surrounded by millions of zombies . Cool , luminous cinematography using Steadicam by Glen MacPherson and haunting , pulsing Techno-musical score by Tomandandy ; during the car chase with the Zombie Russian army the music playing is called 'Phantom Chase' , this references music from the original Bio Hazard video game. The motion picture was professionally directed with startling visual style , though with no originality , by Paul W Anderson.The complete saga is formed by the following films : ¨Resident evil¨ by Paul W Anderson with Milla , Eric Mabius , Michelle Rodriguez , James Purefoy , Colin Salmon ; this is the best , dealing with a group of containment specialists are sent in and have to fight employees who have been contaminated , while A.I. computer instigates a series of defensive measures to contain the virus . It's followed by ¨Resident evil II : Apocalypse¨ by Alexander Witt with Jared Harris , Iain Glen , Oded Fehr , Sienna Guillory . Furthermore , ¨Resident evil III¨ by Russell Mulcahy with Ali Larter, Ashanti , Mike Epps , Oded Fehr and of course Milla Jovovich and ¨Resident Evil : Afterlife¨ by Paul W Anderson with usual actors along with Kim Coates , Sergio Peris Mencheta , Boris Kodjoe and Wentworth Miller .",Resident Evil - Retribution
8,BA_Harrison,Haters gonna hate.,8,11 December 2012,"Director Paul W.S. Anderson and the Resident Evil films get a lot of hate, mostly from gamers who aren't happy with the way the story has been adapted for screen, but for me the whole series has been consistently entertaining, light on logic perhaps but heavy on the mayhem, with Anderson's latest offering, Retribution, being no exception.From the visually stunning credits sequence—Alice battling the Umbrella Corp in reverse slo-mo—to the apocalyptic finalé that looks like Hell on Earth, the film is non-stop popcorn fun, packed full of impressive action sequences, stunning special effects, excellent monsters, cool weaponry, and some very lovely ladies in impossibly tight battle dress. And as long as Milla and her sexy co-stars keep on slipping into figure-hugging outfits to do battle with corporate soldiers and hideous mutated zombies, I'll keep on watching.Admittedly, this one feels less like a film and more like a video game than previous installments, the action moving mechanically from one scenario to the next, each presenting new dangers for Alice and her pals, but it is done with such energy and visual flair that it never proves boring. The film also offers up the rather appealing idea that The Umbrella Corp have been cloning employees to populate their massive testing grounds, keeping thousands of specimens in storage waiting to be activated. I'd like an Ada Wong and an Alice if there are any going spare! 7.5 out of 10, rounded up to 8 for IMDb.",Resident Evil - Retribution
9,paul_haakonsen,"This was just wrong, oh-so-wrong...",4,30 November 2012,"Wow, and just when you think it couldn't go any more wrong...This movie was utter rubbish story-wise, plot-wise and character-wise. Basically, now everyone is a clone in the movie, or they have super-human abilities, which has gotten to the point where it is just painful to witness and has become a parody of itself.The zombies in the movie, well they are either fast and agile, running around like marathon sprinters, or they have mutated tentacles sprouting from their mouths. And the licker, well it is abnormally large now, but oddly enough, still surprisingly easy to defeat. And let's not forget the giants with the giant archaic weapons. What is up with that? It was just stupid on a level that was offensive to everyone. And, of course, let's just finish off the movie with some strange mutated flying creature, because all the previous messed up stuff wasn't enough.The story in ""Resident Evil: Retribution"" is the worst in the series so far, and it has gotten to the point where it has become an abomination and downright ludicrous. It has strayed so far from the core essentials of the Resident Evil legacy (much like the video games have done, as well) and it is all about super-humans, grotesque mutants and clones!Was it nice to have old characters revisited from previous movies? No! Was it a good idea to let the audience believe that they were clones and apparently always had been? No! Did it work out on any level that The Red Queen was brought back into the frame and that a crappy CGI animation appeared with a sinister-little-girl's voice to do evil deeds? No!I had very little expectations for this movie, as the movie franchise has been steadily sliding down a steep downward slope since part two. And this movie does absolutely nothing, and I do mean nothing, to try to correct upon the downfall or the horrible mutation that the movies themselves have turned into.Well, it wasn't all bad. The action scenes and sequences were actually nice enough, well executed and nice enough to look at - if you can cope with the uncanny jumping abilities and super-human strength most of them seemed to possess.""Resident Evil: Retribution"" is a shallow action movie that tries to stay afloat with its 3D effects and on the fact that it bears the name ""Resident Evil"". As a fan of the first three games and the first two movies, I could only sit here shocked and horrified, shaking my head in complete disbelief at what this had turned into.If you like zombie movies, then ""Resident Evil: Retribution"" is not a very good choice to sit down and watch. Was it a good addition to the franchise? Well I believe I hardly have to state that here (just read above).With the pain and embarrassment of this movie, I dread what the next one will be like.",Resident Evil - Retribution
