,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Prismark10,Don't Tell Mom the Babysitter's Dead,3,6 June 2020,Sue Ellen Crandell (Christina Applegate) a 17-year-old high school graduate who fakes her resume and gets a job as an executive assistant in the clothing industry.All because her mother has gone to Australia for a vacation and left an elderly lady in charge of her and four siblings. However the babysitter soon dies and Sue Ellen has to make ends meet for the rest of the kids.What I thought would be a zany comedy in the style of Weekend at Bernie's turns out to be Working Girl lite for teenagers.A bait and switch from what you expect from the movie poster.Applegate is winsome but this is a half baked story which is a teen girl romantic comedy than something aimed at a wider child audience.,Don't Tell Mom the Babysitter's Dead
1,Woodyanders,Delightful teen comedy,8,22 March 2019,"Teenager Sue Ellen (an excellent and appealing performance by the ravishing Christina Applegate) has to go get a job and become a part of the hectic white collar office rat race in order to raise enough money to take care of both herself and her other siblings after mean old babysitter Mrs. Sturak (a memorably nasty turn by Eda Reiss Merin) suddenly croaks.Director Stephen Herek, working from a witty script by Neil Landau and Tara Ison, keeps the enjoyable story zipping along at a brisk pace as well as maintains an engaging lighthearted tone throughout. Applegate makes for a wonderfully spunky and personable lead, looks like a million bucks in various fancy designer threads, and nicely handles the arc of her character becoming more mature and responsible as the narrative unfolds. Moreover, it's acted with zest by an enthusiastic cast: Joanna Cassidy as friendly boss Rose Lindsay, John Getz as the smarmy Gus, Josh Charles as the affable Bryan, Keith Coogan as rowdy pothead headbanger brother Kenny, David Duchovny as pushy jerk Bruce, Kimmy Robertson as the perky Cathy, Jayne Brook as the snarky Carolyn, and Danielle Harris as the scrappy Melissa. Further galvanized by a spirited soundtrack, this baby overall rates as a total treat.",Don't Tell Mom the Babysitter's Dead
2,moonspinner55,Curiously ditches its darkly comic overtures midway for teen fantasy...,2,12 December 2009,"Rambunctious teenagers, left alone with a cantankerous guardian while Mom is away, must fend for themselves after the old crone croaks (they use the dirty dishes for target practice: ""The dishes are done, man!""). Airheads antics for an undiscriminating target audience, although Christina Applegate approaches the limp material with a dry resolve which is admirable and appealing; playing the eldest of the colorful clan, she rises far above the script and general handling. Second-half of the movie takes a sharp turn into big-business waters which, while too klutzy to be called satire, nearly achieves a certain unsteady charm. *1/2 from ****",Don't Tell Mom the Babysitter's Dead
3,BandSAboutMovies,Silly,7,7 April 2019,"Before directing movies like Mr. Holland's Opus, The Mighty Ducks, the live action 101 Dalmatians, Rock Star and Life or Something Like It, Stephen Herek was behind movies like Critters, Bill and Ted's Excellent Adventure and this film.Sue Ellen Crandell (Christina Applegate) is 17 and stuck at home while her mother goes to Australia and her friends go to Europe. Now, she's in charge of her 16-year-old stoner metalhead brother Kenny, 14-year-old Zach, 13-year-old Melissa (Halloween franchise star Danielle Harris) and 11-year-old Walter (Robert Hy Gorman, Sometimes They Come Back and Leprechan).Her mom hires a babysitter for the summer named Mrs. Sturak, who ends up being mean to everyone until she dies from a heart attack. So they do what anyone else would: they put her in a trunk and send her to a funeral home.They screwed up in one major way: the old lady's body had all the money. Sue Ellen tries to work at Clown Dog and falls for Bryan, but quits because of the manager. She then makes a fake resume for a job at General Apparel West, where she works as an executive assistant, for Rose Lindsey (Joanna Cassidy, The Glove, Who Framed Roger Rabbit?).This pisses off Carolyn and Bruce (David Duchovny), two young workers who hate that she's jumped ahead of them. Of course, this being a teen movie, Carolyn and Bryan end up being brother and sister.There's so much going on in this movie: drugs, kids falling off the roof, car stealing drag queens and a fashion show. Of course, everything works out fine. It's a teen comedy. That's how it works.Production was nearly shut down to the actor who played Zach - Christopher Pettiet - having issues with drugs. They cut his scenes down so that they could finish the film. Sadly, he died nine years later of an accidental drug overdose.Keith Coogan, who played Kenny, ended up being in two movies where parents were nowhere to be found. That's because he's also in Adventures in Babysitting.",Don't Tell Mom the Babysitter's Dead
4,bevo-13678,Hole,10,16 December 2020,I like the bit where they bury the baby sitter with her feet sticking out,Don't Tell Mom the Babysitter's Dead
5,preppy-3,Really stupid but I LOVED it!,8,1 November 1999,"OK the premise is dumb--A mom is going on vacation to Australia for two months. She has five children and leaves them with a tyrannical babysitter. The babysitter dies (of natural causes) within the first 15 minutes and the kids basically have to live alone all summer...but need money for food. The oldest one is 17 year old Sue Ellen (Christina Applegate)and she easily gets an executive position (just like real life, right?) at a fashion agency and, naturally, is incredible at her job. And her brothers and sisters learn values from her example...Sounds horrible, but it's well-acted (especially Applegate and a drop dead gorgeous Joanna Cassidy), it moves quickly, is very funny, has a great soundtrack of new AND old songs and I enjoyed every minute of it! Not a great movie by any means, but if you can turn off your brain for 2 hours, you'll really enjoy it!",Don't Tell Mom the Babysitter's Dead
6,lastliberal,The babysitter isn't dead; this movie is.,4,6 July 2007,"""Christina Applegate should have been run out of Hollywood, never to return, for participating in this piece of garbage."" - Tony""Police Academy 5 is more worthwhile."" - Norm from ILNeed I say more? The only reason anyone would even put this movie in their player is to see Christina Applegate. We loved her on Married with Children, but the only thing she has done since that is worthwhile is to play Amy on Friends.Want a babysitter movie? Go rent Halloween, aka ""The Babysitter Murders.""",Don't Tell Mom the Babysitter's Dead
7,view_and_review,Older Sister is a Better Mother,3,28 March 2020,"The whole brood of kids were lazy and disrespectful, but somehow we knew that would change by movie's end. All it would take is the mother going on vacation for two months, the babysitter dying, and them running out of money to live on.Babysitter is dead, Sue Ellen (Christina Applegate) gets a job at a fashion agency as an executive assistant because of a bogus resume, she dates the spurned receptionist's younger brother, her boss's boyfriend is infatuated with her, and she's ""borrowed"" all of the petty cash money from the company. The whole situation was a ticking time bomb waiting to go off. Still, a happy ending because she and the other badass kids learned self-respect and cleaned up their act and she wowed clients to boost her company's sales.I don't know what the point of this movie was-- kids will behave if their older sister acts responsibly? Older sisters make better mothers? Parents should take a two month break from their kids? I don't know.",Don't Tell Mom the Babysitter's Dead
8,gridoon2021,"One of the worst ""comedies"" of the early 1990s",2,26 June 2016,"It is tempting to state that the title of this movie is the funniest thing about it, but that would be inaccurate: it is the ONLY funny thing about it. It is also a very misleading title: after the first 10 minutes, the dead babysitter is forgotten about until the very last scene. It has a drab look (it looks made for TV, it's surprising that it got theatrical distribution), an amazingly aimless script, and dismal direction. There is nothing remotely believable, witty, and most importantly funny, about any of it. The character ""Kenny"" deserves to be shot. Ed O' Neill (as Al Bundy) joked about how terrible ""Dutch"" (which I haven't seen) was a couple of times on ""Married With Children"", I wonder why Christina Applegate (who tones down her attractiveness considerably here) never mentioned this movie on that show. Maybe she would rather forget it ever happened. 0.5 out of 4 stars.",Don't Tell Mom the Babysitter's Dead
9,FlashCallahan,She doesn't look dead.....,6,1 August 2015,"Mrs Crandall goes on an extended holiday to Australia for the summer. Her children are first delighted but then find that Mom has hired the babysitter from hell to stay with them. When the sitter dies from a cardiac arrest, they deposit the body at a mortuary only to discover all their summer expense money was in her purse. The kids must find a way to survive the summer without mom or her money. This means actual work.......What could have been a macabre twist on the teen comedy blow out of the late eighties/early nineties,just reverts back to your atypical, nuts and bolts comedy at the beginning of the second act.From the one sheet to the plot summary, I was expecting a farcical comedy about the youngsters trying to keep the death of their sitter secret, whilst trying to hide the fact from neighbours, friends etc...And while this is true to some extent, the main focus is Applegate lying her way to the top and letting her pseudo career taking over her teen life. A sort of Taking Care Of Business meets Vice Versa type combination.And for that part of the narrative, it works for the majority, but it's just too predictable, too safe, and too cute to live up to its brilliant title.The cast are fine, the family are the same carbon copy family you find in every movie of this type, and features the same 'villains' who are trying to bring the main character down for their benefits you'd again find in this sub-genre.So the film carries a feeling of déjà Vu which is a little disheartening.So all in all, it's just another atypical teen comedy, with a couple of laughs.",Don't Tell Mom the Babysitter's Dead
