,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"Far from perfect, but worth seeing...",7,1 December 2014,"Have you ever watched a film that was pretty good but easily could have been better? Well, that's my reaction to What If, a new DVD release which stars Daniel Radcliffe (yes, THAT Daniel Radcliffe). It's a pretty decent little romance, but the film also sure looks like the script could have used a decent editing, as sometimes the dialog is needlessly offensive--with ample references to feces and the like. Additionally, while the two leads (Radcliffe and Zoe Kazan) are both very likable, some of the supporting characters are absolutely ridiculous, as no one talks or acts like some of these folks.The film is much like the premise behind When Harry Met Sally. In other words, it questions whether a man and woman can be just friends and stay that way. In this case, Wallace meets Chantry--a woman who is engaged and living with another man. They agree to only be friends, but as the film progresses, you see them spending more and more time together and they obviously have some chemistry. The film has lots of sweet and amusing moments between the leads-- and the clever script and nice acting work together well most of the film. But at other points, this chemistry is obscured by needless distractions--which I talked about above. All in all, however, the good does outweigh the bad and the film will be an interesting experience to folks who love Radcliffe--which these days seems to be practically everyone.",What If
1,SnoopyStyle,Good actors in cute formulaic rom-com,7,21 March 2015,Wallace (Daniel Radcliffe) has been heart broken for a year since his relationship with Megan (Sarah Gadon). He's a med school dropout living with his sister Ellie (Jemima Rooper) in Toronto. He goes to his college roommate Allan (Adam Driver)'s party and falls for his cousin animator Chantry (Zoe Kazan). The big problem is that she already has a boyfriend. He throws her number away but they run into each other at the theater for 'The Princess Bride'. Nicole (Mackenzie Davis) moves in with Allan. Chantry invites Wallace for dinner and meets her boyfriend Ben (Rafe Spall) and her recently broken up sister Dalia (Megan Park).Daniel Radcliffe is not the new Hugh Grant but he has a certain charm. Zoe Kazan has that indie charm and together they form a nice cinematic couple. The movie has nothing new to say but I don't see that as big of a problem as many critics. It's asking the same question as 'When Harry Met Sally...' There is enough cuteness and adorability in this formulaic rom-com. The actors are fine and there is good chemistry. Adam Driver from Girls is a tamer version of Adam and he works quite well. Mackenzie Davis is also fun. Director Michael Dowse does need to stop filming the CN tower. It gets annoying and the CN tower is not some fanciful icon either.,What If
2,kosmasp,What if ... there were actually good romantic comedies?,8,22 October 2014,"You might wanna overlook a few bumps along the road and rate them higher, because they are so rare. That's what if happens, as it does in this case. I think a 7 out of 10 would have been a more accurate rating, if there were more romantic comedies that would have at least some class and some sass and ... well something at all.As it is , What if is one of the better one, not only in recent years and shows a different side to the artist formerly known as Mr. Potter. He's actually pretty good in this, which can be attributed to the dialog and script in general. It's obvious where the movie leads and it almost seems unfair to some of the other characters. Some clichés will happen (they always do), but overall this is a very nice and decent affair (no pun intended)",What If
3,jboothmillard,What If,6,4 September 2014,"The now grown up star of Harry Potter proved himself as a serious actor in horror movie The Woman in Black, I was definitely looking forward to seeing if he could pull of a rom-com, from director Michael Dowse (It's All Gone Pete Tong, Goon). Basically Wallace (Daniel Radcliffe) has a miserable job, lives with his sister Ellie (Jemima Rooper) and nephew in her apartment, and he dropped out of medical school after discovering his girlfriend having an affair with an Anatomy teacher, so he has not been social or two years. He is forced by his friend Allan (Adam Driver) into going to a party, while playing with fridge magnets bearing single words and making phrases he is joined by Chantry (Zoe Kazan) and the two fall into conversation, at the same time Allan meets and flirts with Nicole (Mackenzie Davis), leaving the party Wallace walks Chantry home. Chantry mentions that she has a boyfriend, but she still gives Wallace her number, but he decides not to attempt to pursue her, but he changes his mind when they see each other again outside a movie theatre, they had both gone alone, they then have dinner together, as time goes by they become good friends. Chantry invites Wallace to meet her longtime boyfriend Ben (Rafe Spall, Timothy's son), who works for United Nations, things go wrong however when Ben ends up in hospital after Wallace accidentally pushes him out of the window, and at the hospital Wallace is confronted with his ex-girlfriend he dumped following the affair. While recovering Ben has to move to Dublin, Ireland for job requirements for six months, during time Wallace and Chantry start to each other more often and their relationship develop, they begin to have deeper feelings for each other, Wallace even stops Chantry's sister Dalia (Megan Park) coming onto him, she is turn talks negatively about him to her sister. Allan and Nicole, who have expressed high desire and sexual hunger for each other, often in front of Wallace, get married, with Wallace as best man, and invite him and Chantry for walk on the beach at night, they go skinny dipping, with Wallace and Chantry eventually joining in, and looking at each other naked, then they discover the other two have taken their clothes, they do not give into this forced intimate situation and simply share the sleeping bag, the next morning their clothes are returned and they are angry. Chantry, who works as an animator, is given a onetime only chance at a promotion, but it will require her to go to Taiwan, but with the straining of her relationship with Ben she travels to Dublin to join him, she discovers he has accepted more work commitments, meaning more travelling, and meanwhile Wallace decides he should reveal how he really feels about Chantry and follows her to Dublin. Chantry and Ben have already broken off their relationship, and upon arrival Wallace is punched in the face by Ben and falls down the stairs, on the floor Wallace checks his messages and learns that Chantry is now in Toronto, eventually he finds her, they have a conversation where she explains the break up and he explains why he came looking for her, but when he reveals his feelings she reacts badly. Returning to New York, Wallace considers returning to medical school and moving on with his life, but Chantry has apparently accepted the job and is having a leaving party, he attends and they have a tearful goodbye, they both finally reveal their feelings to each other, and are surprised to both give each other the same farewell gift, a Fool's Gold Sandwich (a hollowed out loaf of bread filled with a whole jar of peanut butter, a whole jar of jelly and a pound of bacon, famously eaten by Elvis Presley), which they previously talked about. In the end Wallace and Chantry finally share a kiss, through the credits it is revealed that they do start a relationship and move to Taiwan together, Wallace completes his training at medical school there and Chantry continues her work as an animator, and returning to Toronto they are married. Also starring Rebecca Northan as Holly, Oona Chaplin, Charlie's granddaughter as Julianne, Lucius Hoyos as Felix, Meghan Heffern as Tabby and Tommie-Amber Pirie as Gretchen. Radcliffe certainly does well as the Hugh Grant like young man who portrays British awkwardness and is very likable, Kazan is terrific as the slightly kooky and beautiful girl he is held back from expressing feelings to, I agree with critics that their chemistry is perhaps best when not flirting, but they are a good duo as they slowly fall in love, and Spall gets his moments as the annoying boyfriend getting in their way. It is agreeable that this format, friends to love interests, has been done numerous, but you are still drawn into the story that flows nicely with a pretty crafted script, there is the necessary mushiness, but there are also plenty of sequences that will make you laugh a lot too, a surprisingly pleasant and enjoyable romantic comedy. Good!",What If
4,studioAT,What if this film was just a tiny bit better?,5,8 July 2015,"After popping up in 'Horns' and 'The Woman In Black' Daniel Radcliffe opts for more lighter fare in this indie and quirky romantic comedy.While the idea is nothing we've not seen before (can a man and a woman be just friends?)this film manages to put a new spin on the idea and include some good jokes in the process.A lot of the film's success comes down to the casting. Radcliffe is dry and funny in his role of Wallace, and i'm sure lots of people in the audience fell in love with Zoe Kazan throughout the film's run.Much like 500 Days of Summer this film isn't as quirky or as entertaining as it thinks it is though, and some of the supporting characters are just plain unlikable. It also contains more strong language and sex references than it really needs. I honestly believe that if they'd cut these two things back then the film would have been more of a commercial hit.For two very good performances from the leads though, this film is OK.",What If
5,writers_reign,What If Harry Met Sally In Toronto?,7,22 August 2014,"The best thing going for this film as far as I was concerned is that it has been released in the UK at the tail-end of the Formula Sequel season, the time when kids are off school for the summer and need a constant supply of mindless fodder so that the ordinary movie buff is starved of product - in my case it's a good four weeks since I've been able to check out a new title even at an art house let alone a Multiplex. That to one side this is as formulaic as the sequels filling the malls even as I write but it's mostly literate and well acted and easy to watch. Gadg's granddaughter Zoe Kazan is, superficially just another cookie cutter pretty face - or in this case a cookie cutie - but makes a half-decent fist of a predictable role. Daniel Radcliffe is still trying to find a part that will release him from his Harry Potter image and does his best with a one-dimensional part. A lot of the pleasure comes from the supporting players. If they'd released this film at any other time in the UK it would have passed unnoticed but the third week in August was right on the button.",What If
6,oscaralbert,Exploring Canada's quaint courting customs . . .,8,26 August 2014,". . . with direct implications for your next fast-food burger. You see, Harry Potter and his cartoonist partner are obsessed with Pooh. He tells her the minute they meet that Elvis contained 40 pounds (?!) of unprocessed Pooh in his body when he croaked on his Tennessee toilet. Not only is this a blatant swipe at American culture and cuisine, but it sullies the memory of a U.S. musical icon. (Who can see WHAT IF, and not always think forever afterward that Elvis' famous pelvic gyrations during performances were just an effort to loosen his stools for when he could rush backstage?) Furthermore, Potter's partner's cousin says that Canadians can eat their own Pooh once with no ill consequences, but if they scarf down the resulting movement they'll surely die from the doubled toxicity! Who but Canadians can think up such stuff?! Now you may believe that you can simply skip WHAT IF and remain free of the Canadian Pooh assault. In reality, that ostrich-like tactic would be dangerous, since Burger King just defected to Canada today. Analysts say this is to allow BK to dodge their fair share of taxes, but many observers will wonder if the real reason is to cram more E Coli (a.k.a., Pooh) into their burgers. Don't Pooh-Pooh this view, until you've listened to what they're saying in WHAT IF.",What If
7,neil-476,predictable but enjoyable thanks to sparky script and Kazan,7,29 August 2014,"Wallace meets Chantry and they hit it off. Chantry has been in a relationship for five years, but that's OK because men and women can be friends without romance being an issue, can't they? Not in the movies they can't! Despite amusing moments, this is not a romantic comedy, it is simply a romance, and it is a romance which runs along utterly predictable lines: there are no surprises in it whatsoever. It depends for its success on an entertaining script and the charm of its leads. Well, on the basis of only one previous film (Ruby Sparks) I am already predisposed towards approving of Zoe Kazan, and she proves to be equal to the demands placed on her here: you can understand Wallace falling for Chantry.And what of Daniel Radcliffe? I do not have a high opinion of Mr Radcliffe as a screen actor. He has a limited range based on his work to date, starting at ""amiable"" and progressing in a straight line to ""quite anxious"" with nothing beyond those limits and nothing out beyond the edges either. What If does nothing to change my assessment but, since the character of Wallace isn't required to be anything other than amiable, this doesn't really matter. The supporting cast is good, with Rafe Spall doing particularly well as Chantry's long-term boyfriend, a decent enough chap but played with a subtle absence of sympathy.I enjoyed this more than its individual elements would have led me to expect I would.",What If
8,morrison-dylan-fan,What's the worst that could happen.,6,1 November 2014,"After watching the excellent Horror title Horns,I decided to take a look at Daniel Radcliffe's IMDb page.Taking a look at his credits,I found out that along with appearing in a horror film,that Radcliffe had also recently starred in a Comedy,which led to me getting ready to find out what could have been.The plot:Persuaded to attend a party by his friend Allan, (after spending a whole year being a reclusive,thanks to discovering his girlfriend secretly dating his uni teacher) Wallace decides to pass the time by rearranging magnetic plastic letters on the fridge.Spotting Wallace playing around with the fridge magnets,Allan's cousin Chantry decides to join Wallace,and starts coming up with new words.Quickly becoming friends,Wallace takes Chantry back home later that night,where he discovers Chantry has a boyfriend.Deciding to stay as friends,Wallace soon meets Chantry's boyfriend,who is scheduled to move away for 6 months,due to work commitment's.As he gets increasingly close to Chantry,Wallace begins to wonder,that due to her boyfriend being miles away,if he should ask Chantry out on a date.View on the film:Replacing original cast members Casey Affleck and Mary Elizabeth Winstead,in order to give the title a ""young"" appearance, (despite Winstead actually being younger than the chosen actress) Daniel Radcliffe and the pretty Zoe Kazan both give charming performances.Whilst Elan Mastai's adaptation of T.J. Dawe and Michael Rinaldi's play Toothpaste and Cigars does slip into being overly twee,Radcliffe and Kazan both give their characters an excellent feeling of warmth,thanks to Radcliffe showing a real nervousness in his attraction to Kazan,whilst Kazan wraps Chantry in a delightful kooky naivety.Giving the movie an easy-going Rom-Com vibe with a smooth indie soundtrack,director Michael Dowse uses bright,natural colours to show the warmth developing between Chantry and Wallace.Dipping into the kooky side of the screenplay,Dowse brilliantly uses startling animation to show the bond growing between the couple,as Wallace looks to Chantry and wonders ""what if?"".",What If
9,bombersflyup,"Chantry: Um... Are you alone? Wallace: Like... in the universe? Chantry: No, in the hallway!",10,24 June 2019,"What If is an excellent romantic comedy mostly, despite some low-grade dialogue and awful secondary characters.Why people like and cast Adam Driver and Rafe Spall, they're bad in everything. The two leads good enough to make it a quality film still, especially Zoe Kazan, I love this girl. Megan Park's also nice as the sister. I thought Chantry was making up that she had a boyfriend, both times.",What If
10,anaconda-40658,Not That Word.,7,24 September 2015,"The F Word (2013): Dir: Michael Dowse / Cast: Daniel Radcliffe, Zoe Kazan, Megan Park, Adam Driver, Mackenzie Davis: Young adult romantic comedy about chances. It stars Daniel Radcliffe as Wallace, who spends much of his time babysitting his nephew while nursing his breakup. Zoe Kazan plays Chantry whom he meets at a house party. They strike up a friendship until he learns that she has a boyfriend. How the film toys with their friendship becomes irritatingly corny as everyone questions or cautions him with his intentions thus constantly talking about the plot. This becomes formula with an ending we can see coming within ten minutes into it. Thankfully director Michael Dowse, who previously made Goon, details the characters with a touch of humour. Radcliffe takes off his Harry Potter glasses and excels as a medical student making a connection with someone whom is deemed forbidden. Kazan is quirky playing a business woman whose job is offering a promotion and whose boyfriend is constantly travelling. Fine supporting work by Adam Driver as Allan, Chantry's cousin and Wallace's best friend. Mackenzie Davis plays Nicole whom Allan hooks up and eventually marries. Megan Park plays Chantry's sister, Dalia, who comes on to Wallace and quickly learns that he is into her sister. Needlessly corny and conventional in its toying with the friendship theme but the film works in terms of relationships that either are not good for us, and those that we encounter on the fly and take the what ifs in life and transform them into a grand opportunity at happiness. Score: 7 / 10",What If
11,siderite,Canadian Notting Hill?,8,1 April 2017,"Two awkward people meet at a party and become friends. In the long celebrated tradition of romantic movies, a man and a woman can't be good friends without also falling in love. The fact that they are both beautiful and funny and smart is just the side effect of it being a film.Even if it was that formulaic, I enjoyed the banter and the romantic tension and, after all, it was exactly what I expected from the whole thing, so I can't fault it. All the actors were good at it and the casting was almost perfect. Would I have preferred it a little bit more realistic and applicable to life as we know it? Definitely yes. But as such it wasn't a bad movie and I enjoyed watching it.",What If
12,namashi_1,A Beautiful Romantic Comedy!,9,16 November 2014,"Based on T. J. Dawe and Michael Rinaldi's play Toothpaste and Cigars, 'What If' is an undeniably charming film, that's been told sincerely & commendably. Even the performances by its attractive leads, are top-notch!'What If' Synopsis: Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.'What If' is all about love & friendship. The two protagonists first became friends & later realize that it was love all along. The journey of its protagonists wins you over, with charm & genuineness.Elan Mastai's Screenplay is beautifully written, offering moments of both, humor & subtle romance. Michael Dowse's Direction is simplistic. Cinematography is classy. Editing is rightly done.Performance-Wise: Daniel Radcliffe & Zoe Kazan are fabulous, from start to end. Their on-screen chemistry is very cute. A Special Mention for Adam Driver, who's notoriously funny in a supporting role.On the whole, 'What If' has heart & soul. Go For It!",What If
13,Hellmant,Just funny and moving enough.,7,20 August 2014,"'WHAT IF': Three and a Half Stars (Out of Five)Romantic comedy flick about a medical school dropout who falls in love with his best friend, who already has a boyfriend. The film is also called 'THE F WORD' (everywhere except in the US and UK), and I'm assuming the 'F word' in this case is friend. It was directed by Michael Dowse; who's also directed other indie comedy flicks like 'GOON', 'TAKE ME HOME TONIGHT' and 'FUBAR'. It was written by Elan Mastai and based on the play 'Toothpaste and Cigars', by T.J. Dawe and Michael Rinaldi. The movie stars Daniel Radcliffe and Zoe Kazan, as it's two leads, and costars Adam Driver, Mackenzie Davis, Megan Park and Rafe Spall. I found it to be just funny and moving enough, to forget all it's clichés and unoriginality.Radcliffe plays Wallace and Kazan plays Chantry. Wallace recently dropped out of med school and is suffering from yet another bad breakup. Chantry is an animator he meets at a party. The two instantly hit it off but as Wallace is asking her for her phone number he finds out she has a longtime boyfriend, named Ben (Spall). The two become really good friends and end up spending a lot of time together, while Wallace continues to develop stronger and stronger feelings for her.I've definitely had a lot of crushes on a lot of girls with boyfriends, so this is definitely a film I can relate to. I can't especially relate to either Wallace or Chantry though and found some of the situations, they end up in, to be pretty annoying and unbelievable. It does kind of play out like a routine romantic comedy flick but it does have plenty of witty and clever dialogue (sometimes too much) and it's pretty emotional at times as well. I definitely don't think the movie is as cool or hip as it wants to be but it's still a better than average rom-com.Watch our movie review show 'MOVIE TALK' at: http://youtu.be/ZEmam3XwQxw",What If
14,ThomasDrufke,Subvert's Cliches,9,26 August 2018,"I'm a sucker for romantic films that subvert the usual cliches of the genre and bring us something new. 'What if' isn't the most original rom-com-dram, but there's incredible chemistry between the leads and contains an electric script. Zoe Kazan, who it sure seems is making a career out of offbeat rom-coms is expectedly fantastic as Chantry, who forms a bond with Wallace (Daniel Radcliffe) after he gets his heart broken once again. I hate to make wild comparisons, but it really had the vibe of a spiritual remake of ""When Harry Met Sally"". There are some genuine laugh out loud moments while the heart of the film never wavers. Adam Driver, as Wallace's friend Allan, is also hilarious and nearly steals every scene. A beautiful score and soundtrack curated by AC Newman, familiar tropes venture off into other things, and one solid third act made What If (or 'The F Word' in some countries) is one of the better romance films I have seen in recent memory.9.4/10",What If
