,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Could have been better,5,29 June 2019,"I AM MOTHER is another post-apocalyptic sci-fi flick about characters trapped in a bunker due to contamination in the outside world. As such it comes across as very similar to other movies of recent years, not just made by Netflix, but films like 10 CLOVERFIELD LANE too. The story follows a young female protagonist around, focusing particularly on her relationship with her ""mother"", a robot designed to care for her every need.The story is quite slim although enlivened by a sub-plot involving an on-form Hilary Swank. It certainly looks good, with an interesting setting and the robot bought to life in a realistic way. However, at two hours this is overlong and it does feel like the writers struggled to come up with a meaningful ending, because what we have is something of a damp squib. There are effective moments scattered throughout, but by the end I was left wanting more.",I Am Mother
1,SnoopyStyle,ok sci-fi premise,6,8 June 2019,"Daughter (Clara Rugaard) has been grown from an embryo by a robot called Mother (Rose Byrne) in a high tech bunker full of other fetuses. Mother claims that a contagion had wiped out humanity and they're trying to bring back humanity. One day, a woman (Hilary Swank) breaks into the bunker.This has a fine sci-fi premise. The beginning is a little slow but it has loads of promise. The introduction of Swank bumps up the tension. When they break out of the compound, the movie is set to do some great discovery. The story runs into a world building problem. It doesn't explain the world and it doesn't really explain the robot's objective. It leaves too much unspoken. In the end, it has no more material than a Twilight Zone episode. It's interesting but not that compelling.",I Am Mother
2,claudio_carvalho,"Intriguing, Original but with a Messy and Disappointing Conclusion",5,30 June 2019,"After the extinction of the human race, an android called ""Mother"" is responsible to repopulate Earth using a collection of embryos stored in a base. Her teenage daughter (Clara Rugaard) is submitted to classes and tests to assess her development as human being. When the daughter finds a mouse inside the base, she suspects that the outside is no longer contaminated. One day, she sees a wounded woman (Hilary Swank) outside the base and let her in. Soon she will learn news that will affect her relationship with her Mother.""I am Mother"" is an intriguing and original sci-fi with a promising storyline. Unfortunately the conclusion is messy and disappointing. The incoherent behavior of the daughter trusting in a stranger is weird and inconsistent with her education. My vote is five.Title (Brazil): Not Available",I Am Mother
3,nogodnomasters,Have I ever been wrong?,6,19 June 2019,"After an unexplained human extinction, an automated re-population station goes into activation. One of the 63,000 embryos is brought to term as a robot raises a human (Clara Rugaard). She believes she is the only human until Hilary Swank shows up at the door.The story dragged on. The daughter was given a standard MMPI test and I am not sure how accurate such a test can be if you are the only human alive. Interesting twist. You knew one was coming.No swearing, sex, or nudity.",I Am Mother
4,kosmasp,Kids don't understand,8,8 January 2021,"Or do they? And am I talking about those viewing the movie or the one(s) who are in it? Well wouldn't you like to know? Maybe you do, but first things first. The movie was quite a surprise. I hadn't heard much of it and then you get a nice little gem served like this. With some really good actors in it. Not many due to the nature of the movie, but still.The Science Fiction aspect of it works nicely, the mystery and the story structure keep you guessing and on the edge of your seat too. The guessing game is big in this one and I would say it is a very good one. Structure of the movie, reveals and twists are laid out the right way. Visually stunning too, even if quite contained overall. What is the Endgame one may ask, what is this trying to tell us? Or is it just entertainment? Well you'll have to watch it to know",I Am Mother
5,ComedyFan2010,When droids raise you,7,9 June 2019,"This is a pretty nice sci fi movie. Movies about machines and humans live together and whether one cant trust each other are common. Ex Machina comes to mind. But usually it is humans ""raising"" the robots. In this case it is the other way around.It feels a bit slow but I guess this represents well what life feels like for the daughter. It also gives us a good feeling of the terrifying atmosphere when the daughter needs to decide between her droid mother and another human. Whom can she trust? The droid looks pretty scary but at the same has this soothing motherly voice which is a great combination for this kind of movie.Great acting and I like the idea behind Hilary Swank's character and who it is supposed to be. They never say it out loud but the ones who follow what is said will know.",I Am Mother
6,deloudelouvain,That's how you make an interesting sci-fi movie.,8,6 February 2020,"Good little sci-fi movie that kept my attention during the entire movie. I Am Mother is the perfect example that you can make an entertaining sci-fi without having a huge budget. The cast is very small, basically it's just two actresses (Clara Rugaard and Hilary Swank) and another (Rose Byrne) for the voice of Mother, but it's all it needed to make it interesting. They all did a good job playing their respective characters. It's the kind of stories I enjoy, post apocalyptic ambiance, robots and/or artificial intelligence taking over. It's all well done, intriguing enough to stand out from the rest, much better than some high budget science fiction movies. I can't see much people disliking this movie, not if you are into this genre.",I Am Mother
7,siderite,Intelligent design,8,15 June 2019,"I blame AI, the Spielberg film, for starting the craze for philosophical movies about artificial intelligence, but Moon and, of course, Ex Machina, for redefining the genre as performance pieces with a few actors and one grand idea. And some movies get it right, some not so much, but they never get it wrong, because you either like it or you risk seeming stupid for ""not getting it"". I Am Mother has some interesting ideas, good acting, therefore is a solid entry in the category, but really it's two hours of waiting for something to happen only to be shown the obvious. I have to admit it was fun coming up with more and more outlandish theories of what was about to happen, but then it felt disappointing to see that the first ""normal"" theories were right and there was nothing more ingenious than that.A good movie, worth watching, but bringing little new to the table. But I have to say I liked that Rose Byrne was billed second as Mother's voice, with Luke Hawker first, as the Mother's body. This is something new and right.",I Am Mother
8,thesar-2,Mother A.I.?,5,19 April 2020,"I would watch this first in a double feature with Ex Machina because...you gotta save the best for last.Heck, while you're at it, make it a triple feature with this still first and now adding: Passengers in the middle. All three movies are incredibly similar in tone, setting, subgenre and structure. I would say to add The Terminator, but the only one that truly fits was Terminator: Salvation and I would never recommend that movie.(You could also include in The Matrix Series, 10 Cloverfield Lane and Alien: Covenant and make it a very long evening.)So, if you're fond of Ex Machina, Passengers and the rest sans T4/Alien:C, get your butt down to watch it all over again, but expect less. Not to say this was bad, but by the 2-hour end time, you will wonder why said butt is asleep.Mother! (Oops, sorry, this movie reference actually DOESN'T fit...trying again...) A robot ""Mother"" creates a new baby in a computerized bunker post apocalypse. Apparently, we need to start over since we did it again: blew up civilization as we always do in these movies. That baby grows into a teen and has a nice bond with her machine-mommy when a mysterious, wounded and distrusting 3rd female knocks at the bunker door. And now, the lying game's afoot. Who can you trust?I didn't hate this. I didn't necessarily really like it. It was fine. The sets and technology were excellent, acting fine and suspense there. It's just...okay. But, be aware, one of the opening texts makes it kinda easy to figure out where this is headed. Or came from, more accurately.Barely a recommendation. But, again, if those movies I mentioned above are your bag, by all means. Just be prepared.***Final thoughts: I spent the entire screen time of the 3rd female character played by Hilary Swank thinking she was Jennifer Garner. Heck, in my defense, they could be twins. Not sure how any of this relevant, but I guess I'm pointing out: we all make mistakes.",I Am Mother
9,wellthatswhatithinkanyway,High aiming sci-fi that just fails to engage,4,19 June 2019,"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday MorningIn a bleak futuristic landscape, where humanity has been wiped out, a robotic machine named Mother (played by Luke Hawther and voiced by Rose Byrne) artificially inseminates a human daughter (Clara Rugaard) and when she comes of age, tries to instil in her the virtues and wisdom she thinks she will need to survive. However, Daughter becomes curious about there being more to the world than she's been shown, and when she wonders out her boundaries, discovers a woman (Hilary Swank) who unlocks a whole new world, much to the disdain of Mother.In a world that grows more precarious by the day, science fiction is a genre that has all the potential to enjoy a new resurgence, where the type of intelligent ideas explored by the likes of Phillip K. Dick can make a comeback, and which Netflix has delved into already with films such as Tau. I Am Mother, from first time director Grant Sputore, certainly has the setup to be one such film, exploring a world in which resources have dried up and AI technology has consumed and taken over the human race, which some may say are very real concerns facing the world at present.It's another film featuring a bunch of characters you can count on one hand, with all the drama contained in a singular, isolated setting, giving you more chance to connect with these limited characters more individually and effectively. This, though, is something it fails to do, all too over bearing and clunky, distinctly humourless and unaffecting. While you can't help but admire the scope, and the thought provoking ideas it's trying to explore, not of it ever really draws you in.A film that shoots itself in the foot by taking itself so seriously, especially considering how outlandish many will find it. **",I Am Mother
