,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Overrated psycho thriller could have been so much more,4,21 December 2016,"SINGLE WHITE FEMALE is one of the many psycho-thrillers that were popular in the early '90s after FATAL ATTRACTION made the genre fashionable. I was going to add 'worst' into that first sentence because I didn't like this film at all and it doesn't come close to others like THE HAND THAT ROCKS THE CRADLE or BASIC INSTINCT. This has a good premise – being stalked by somebody who wants to be you – but the film is ruined thanks to poor execution and direction that strives for art house style but ultimately offers boredom rather than entertainment.One of my biggest problems with this film is that there's nobody to root for. Bridget Fonda plays it aloof and cold throughout, but I've seen her much better in other movies like KISS OF THE DRAGON or A SIMPLE PLAN, so this must have been intentional. She's one of those heroines where you don't give a fig what happens to her. Jennifer Jason Leigh reminded me of Juliette Lewis a little, although I think Juliette would have done the kooky angle a lot better; she's never frightening. Then there are repulsive supporting characters, like the jerk boyfriend (THE SHINING miniseries' Steven Weber), the slightly creepy upstairs neighbour, and the perverted boss. Nobody here is warm or appealing at all.The movie does have a couple of good moments, mainly in the violence that Leigh eventually wreaks. The dog-from-the-balcony scene is a goodie and the infamous stiletto scene makes a real impact (pun intended). Things also pick up for the elaborate climax, and the last half an hour was a lot better than the first hour. It's not enough to save a lacklustre movie that'll always be a 'could have been so much more' in my mind.",Single White Female
1,SnoopyStyle,Creepy and sexy thriller,7,8 August 2014,The movie opens with twin girls playing with makeup. Only child Allison Jones (Bridget Fonda) is living in a big rent control apartment in NYC with her boyfriend Sam Rawson (Steven Weber). She kicks him out for sleeping with his ex-wife. Her only friend is her upstairs gay neighbor Graham. She decides to place an ad SWF and applicant Hedra Carlson (Jennifer Jason Leigh) comes in catching her crying. Hedra comforts her and they become fast friends. Hedra slowly starts to infiltrate her life and copying her style. Her only client Mitchell Myerson is a creep.This is a great creepy sexy B-thriller. It's a great example of a well made exploitation movie. There are some memorable scenes and SWF becomes ingrained into the societal lexicon. Fonda is a good sweetheart and JJL is great as the disturbed mental case.,Single White Female
2,gavin6942,A Different Kind of Crazy,6,15 October 2015,"A woman (Bridget Fonda) advertising for a new roommate finds that something very strange is going on with the tenant (Jennifer Jason Leigh) who decides to move in.There is that old, tired cliché that describes insanity. But I think this film introduces a new sort of insanity: a beautiful woman who makes herself look like a less beautiful woman in order to claim her life. Any sane person would have used their charms to exceed their nemesis, not sink to its level.Because, really, with all due respect to Bridget Fonda, Jennifer Jason Leigh is the more attractive one. And, of course, the better actress. From ""Fast Times"" to ""The Machinist"" and beyond, Leigh shines. Fonda, however, never really came into her own.",Single White Female
3,jboothmillard,Single White Female,8,21 September 2009,"I am always on the lookout for a good nut-case film, like the feel and themes of Fatal Attraction and Misery, and this one from director Barbet Schroeder (Reversal of Fortune) is one of them. Basically New York city software designer Allison 'Allie' Jones (Bridget Fonda) splits with her fiancée Sam Rawson (Steven Weber) after finding out he slept with his ex-wife. Allie finds comfort with gay actor neighbour Graham Knox (Peter Friedman), but needing both company and money to keep the apartment she places an ad saying ""swf (single white female) seeking roommate"", and after a few meetings she finds shy and friendly Hedra 'Hedy' Carlson (Road to Perdition's Jennifer Jason Leigh). She settles quite quickly and is really good company, and she even lets the puppy she buys stay as well, not being able to let it go. What she doesn't know though is that Sam wants to get back with Allie, and Hedy deletes some phone messages from him, and she also starts dressing and styling herself like her. It is only when Hedy knows that Allie and Sam are truly getting back together that her madness truly kicks in, beginning with the murder of the puppy. Allie tells her concerns to Graham, and he is Hedy's next victim, getting hit very hard on the head, while Allie finds out her real name is actually Ellen Besch, so she tracks her parents to contact her. You know the death of Hedy's nine-year-old sister Judy did something to her, and Allie knows she is truly dangerous after Sam turns up dead, and she ties her up. Hedy says ""you need me"" (the true psycho line), but Allie tries to escape a few times, to the point where Hedy sees no choice but to kill her so she doesn't talk, and at one point you think she has succeeding, but she gets her comeuppance in the end. Also starring Heroes' Stephen Tobolowsky as Mitch Myerson, Tara Karsian as Mannish Applicant, Christiana Capetillo as Exotic Applicant, Jessica Lundy as Talkative Applicant and Renée Estevez as Perfect Applicant. Fonda is very good as the unknowing nice apartment owner, Leigh of course almost steal the show as the lodger from hell, it is very gripping story based on a novel, a great thriller. Very good!",Single White Female
4,ccthemovieman-1,"Good Back In '92, But Lost Its Shock Value",6,17 January 2007,"Here's another film I really enjoyed on the first viewing but lost its impact dramatically on subsequent viewings.This interesting story was quite a topic of conversation when it came out 15 years ago. By now, it's probably considered fairly tame, and nothing that shocking or special. Bridget Fonda and Jennifer Jason Leigh star with Leigh getting the juicier role as the wacko, ""Hedy Carlson."" Character studies of people like her are usually entertaining. Leigh has made a career of playing totally immoral women. She also shows a lot of skin in this movie, something else she likes to do in her films.Fonda's character, ""Allie Jones,"" is no Mary Poppins, either, or should I say Fonda isn't anybody pure. The movie shows several scenes of her having sex with her boyfriend. This actress isn't shy, either.The movie starts building its suspense about halfway through when Leigh - the roommate and admirer of Fonda - begins to lose her girlfriend to that guy....and decides to do something about it.There really isn't a lot of violence in this movie, mainly just at the end. It's a good suspense movie, though, which builds and builds. It's good for one viewing.",Single White Female
5,rmax304823,The Evil Twin,6,5 October 2006,"If I didn't know this was written by a man I'd swear it was written by a woman because it's got the female interactional style down pat. Don't blame me for this observation. It's straight out of Deborah Tannen, your major feminist. We have a friendship between two women, one very plain (Jennifer Jason Lee) with an ugly name, Hedra, and the other glamorous (Bridget Fonda) and with a suitably post-modern name, Allyson (""Ally""). (The plain one is nurturing and definitely non-threatening to the glamorous one.) They eat ice cream cones together, like the same movies. They swap presents. When one is upset, the other offers to make tea. And not just tea. CHAMOMILE TEA. Can you imagine John Wayne delivering Fonda's line -- ""I'll make some tea. Chamomile. And then we can TALK."" No, you can't imagine John Wayne ever uttering such a suggestion. Don't kid yourself. ""Talkin' words is fer wimmin."" Then the relationship begins to get a little twisted. Lee begins to delete phone messages from Fonda's estranged boyfriend, Sam. They begin going through each others' closets, drawers, secret shoeboxes, and other forbidden information preserves. There are intrigues, sexual and otherwise. Lee adopts Fonda's style of grooming and actually looks like her, which displeases Fonda and fools Fonda's boyfriend Sam. Lee murders a puppy. Then she evidently kills Graham, the gay upstairs neighbor, gives Sam an intraorbital prefrontal lobotomy with a stiletto heel, and puts two or three holes through the face of Fonda's libidinous scuzzbag of a boss. Lee, a complete fruitcake by now, ties Fonda to a chair with duct tape from which Fonda tries desperately to escape, only to find, when successful, that she is pursued by a deranged Lee down to the basement of the huge apartment building. It is all supposed to have something to do with Lee's twin sister who died at nine, but that's psychobabble.I want to get back to Graham, the gay upstairs neighbor. He has a habit of listening to the conversations downstairs through the grating of a heater. (Cf., the same device in ""The Horse Soldiers."") This prompted me to wonder what the hell kind heaters they have in this apartment building. But that's not what I wanted to get back to Graham for. I wanted to get back to him because of what happens to him about two-thirds of the way through. He's discovered something about Lee and when he confronts her in his apartment, she loses it, jabs him in the stomach with the iron prop bar from the door, then bashes his head in -- twice.The end of Graham, right? He is incommunicado and unable to help Fonda when things get bad for her because, after all, he's somewhat dead and must by now have assumed room temperature. Well, not exactly, because near the end we see that Lee has stashed his body under water in his own bathtub, his dead cat perched placidly on his chest.Graham has been feeling like this for hours. And yet, when Fonda is really IN EXTREMIS, and Lee is about to plug her with an automatic, Graham, ever the unflappable, ever the Mad Monk, springs to life, jumps out of the bathtub and temporarily disables Lee. And he's not even DRIPPING.The first two thirds of the movie are pretty well done. (I bought the DVD.) Nice photography and good performances from the two leads. The men are incompetent nincompoops as always, never there when you need them, and are easily forgotten. But the intricacy of the relationship between Fonda and Lee is nicely rendered. Lee has the splashier role and makes the most of it. She is thoroughly deglamorized to emphasize the contrast between her and Fonda, although to be sure Fonda can be made to look a little crummy too if the role calls for it.Barbet Schroeder, the director, certainly knows where the put the camera. Alas, he shrugs and throws away the story at the slasher climax. Just when someone is doing something a bit naughty, a figure appears in the background and looks over her shoulder. Fonda is hiding in an air vent from Lee, who is pursuing her with one of those lethal stevedore cargo-lifting hooks that can be found in every basement. Lee is creeping around, demented, eager to kill. Nevertheless, Fonda is so frightened of a mouse that she betrays her location.The film does have a good deal of redeeming social value though, in that it contains ample nudity and sex in various forms that should be familiar to any cultivated viewer.It's all quite impossible to take seriously but it is engaging.",Single White Female
6,Tweekums,Jennifer Jason Leigh steals the show.,7,25 February 2009,"I first saw this in the cinema many years ago and enjoyed it enough to buy it when it came out on video. While I don't rate it as highly as when I first saw it I still think it is a good film, mainly due to the quality of the two lead actresses, especially Jennifer Jason Leigh who seems to be excellent in everything I've seen her in.Bridget Fonda plays Allison Jones who learns that her fiancé has cheated on her with his ex-wife. She ends the relationship but doesn't want to live alone so puts an advert in the newspaper for a flatmate. Out of the applicants she chooses Hedra 'Hedy' Carlson a mousy girl played by Jennifer Jason Leigh, at first she seems like the ideal choice but things start to go wrong when it appears that Allie and her fiancé are getting back together. Hedy is determined to keep them apart, at the same time she starts to dress like Allie and even changes her hair style and colour to match. Things soon spiral out of control leading to a violent confrontation between Allie and Hedy. There is also a sub-plot about Allie's work involving a client who sexually harasses her then fails to pay for her services.Even though I ticked the ""Contains Spoilers"" box I have tried to keep them to a minimum as a thriller won't be very thrilling if you know too much. As mentioned before, the acting is good and the plot is fairly plausible till the climax when it becomes a fairly standard confrontation between the two protagonists. There isn't too much violence and what there is isn't all that graphic, there is however a fair amount of sexual content and nudity which I suppose some viewers might feel uncomfortable with.",Single White Female
7,moonspinner55,"Psychological thriller or high-flown slasher movie? Either way, ""SWF"" isn't very good",4,10 May 2006,"Tasteless piece of Grand Guignol from Barbet Schroeder, a director who should've known better. Independent New York businesswoman Bridget Fonda, having just broken up with her fiancé, advertises for a female roommate and feels an immediate kinship with Jennifer Jason Leigh, a straggly, down-to-earth young applicant who may not be exactly what she seems. Film begins with razor-like precision, including an eerie prologue, but becomes increasingly outlandish, queasy, predictable and ridiculous as the plot thickens. By the overbaked finale, with Fonda swinging down from the rafters, the movie has all but imploded, leaving a depressing pile-up of bodies in its wake. *1/2 from ****",Single White Female
8,edwagreen,Single White Female-Tale of the Macabre ***1/2,9,14 May 2014,"Jennifer Jason Leigh proves in this film that she is a manipulative killer when she moves in with Bridget Fonda in this 1992 film.The problem is that Fonda has been in an on and off again relationship with her boyfriend. When the two reconcile, it's time for Leigh to move out, but instead she dyes her hair and takes on Fonda's appearance.The sweet girl that Leigh apparently is isn't that at all as she resorts to all kinds of killing, a dog included.She reveals her sordid childhood as she causes havoc with nearly just about everyone that she meets in the movie.The movie also reveals sexual harassment in the workplace regarding the Fonda character.",Single White Female
9,BandSAboutMovies,SWF,5,9 September 2021,"I saw this movie on a teenage date, in a theater filled with other young people and I remember that when the scene came up when Allison (Bridget Fonda) accidentally watched Hedra (Jennifer Jason Leigh) masturbating on her bed, everyone was laughing at the awkward nature of this scene. But I think about this moment a lot. And not for prurient reasons. It's because Allison is discovering not only that the person who has taken over life is taking over even her own bed, it's that Hedra is more secure in her own sexuality and womanhood when she takes over Allison's persona than Allison herself is.Director Barbet Schroeder worked in the thriller genre quite often, which is the western way of saying that he made gialli that didn't have as much sex or style. Single White Female is the exception.Allison has just left her philandering boyfriend and is looking for a roommate when Hedra arrives. She lost her twin in the womb and as such, she's been seeking her twin ever since. Allison seems to be that person until her lover comes back, which leads to Hedy acting out by launching a dog to its doom (which nearly makes this a slasher; why do slasher killers always take out innocent dogs? Talk about cheap heat...).There's an astounding moment in this film when after Hedy gets a makeover to look exactly like Allison, she tricks her way into going down on Allison's boyfriend. He tries to stop her when he realizes that she isn't who she thought she was, but then she does what very few female villains do: she assaults him, robbing him of his agency and when he complains, she penetrates his eye and brain with her stiletto heel. Somewhere, Fulci is clapping like a wildman.I always thought that it was strange that to show how off-kilter Hedy is, they show her dancing at The Vault and participating in BDSM. Oh, she must be insane if she likes pleasure!Other than that, this movie moves toward an interesting conclusion with a tacked-on square up reel that test audiences demanded. Ah well.",Single White Female
