,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,scattered parody,6,16 September 2015,It's the last day of Camp Firewood 1981 in Maine. Camp director Beth (Janeane Garofalo) is interested in physics professor Henry Newman (David Hyde Pierce) who lives nearby. Gene (Christopher Meloni) is the volatile Vietnam vet cook. Susie (Amy Poehler) and Ben (Bradley Cooper) intends to put on a show. Andy (Paul Rudd) is the bad boy making out with Katie (Marguerite Moreau). Gail von Kleinenstein (Molly Shannon) is the art teacher struggling with her divorce. Victor (Ken Marino) is a bumbling womanizer wannabe. McKinley (Michael Ian Black) is in a secret relationship with Ben. None of the camp counselors are terribly concerned about the kids' safety as craziness runs rampant.This is a scattered parody filled with random crazy characters and ridiculous situations. I first saw this a couple of years ago. The cast is a who's who of today's hottest stars. They seem to be having crazy fun doing silly skits. It's definitely a hit and miss proposition. It misses more than it hits but it misses with a charming stupidity.,Wet Hot American Summer
1,gavin6942,Pretty Funny Summer Camp Satire,6,19 February 2013,"The setting is Camp Firewood, the year 1981. It is the last day before everyone goes back to the real world, but there is still a summer's worth of unfinished business to resolve.What a great cast: Bradley Cooper, Amy Poehler, Molly Shannon, Elizabeth Banks, Paul Rudd and others. Some of them young and just on the verge of starting their careers (this was Cooper's first film). Others , like David Hyde Pierce, were stepping outside the box people had come to expect from them.I do love that it is a mixture of ""The State"" (greatest sketch comedy show ever) and ""Saturday Night Live"". I love that it features my favorite Loverboy song (""Turn Me Loose"") and I especially love all the pointless Wilhelm Screams.No thorough review is necessary. This film already has enough fans. While I think it may be slightly overrated, and not as good as ""They Came Together"", the love is understandable. Especially for Chef Gene, who is really the glue holding this picture together.",Wet Hot American Summer
2,Coventry,"Randomness, thy name is WHAS!",7,23 July 2021,"You cannot intentionally make a cult film. You make a film, and due to a number of largely undefined reasons, it may or may not evolve into a cult film; - either instantly or after several/many years. That's a theory I always firmly believed in. Why am I mentioning this here? Well, because - to me at least - it often uncomfortably felt as if ""Wet Hot American Summer"" was made with the deliberate and quite fanatic intention to be a cult film straight from its release. As a result, the film comes across as pretentious, with a too obvious ""this-comedy-is-better-than-rest"" attitude, and arrogant, with a sort of ""if-you-do-not-find-this-funny-you-are-wrong"" undertone. But, again, this is just my perception. And I've been wrong before.That being said, I didn't at all hate ""Wet Hot American Summer"". And it did become some kind of cult film, even if it were only for the fact that it splits the audiences into two extremely opposite camps. 50% of the people who watch this film absolutely love it, and claim it's the most brilliant and funniest comedy ever made, whereas the other 50% completely hate it and wonder out loud whether the writers weren't mentally disabled. Me, as so often the story of my life, find myself stuck right in the middle.The storylines in ""WHAS"" are occasionally very original and clever, and occasionally very weak and derivative. The jokes and type of humor are sometimes hilarious, but sometimes also tremendous misfires. All the characters are stereotypes and the themes are clichéd, but on the other hand, the situations are practically always unconventional, dared and unseen. The biggest trump of this film is undoubtedly its spontaneity and randomness. Literally everything can happen in ""WHAS"", regardless of how random, illogical or far-fetched it may seem. For that alone, this oddity deserves at least seven stars and my strong recommendation to check it out.",Wet Hot American Summer
3,Hey_Sweden,"""I hope it's not jumbo shrimp, I'm allergic to oxymorons!""",6,30 August 2018,"""Wet Hot American Summer"" is a mildly amusing 21st century nod to vintage summer camp comedies from the 1970s and 1980s. It's a rather loose, obviously improvisational feature that gets by mostly due to a fearless nature, a style patterned after Z.A.Z. spoofs where you can also see something funny going on in the background, an ""everything but the kitchen sink"" approach, and a largely endearing cast, many of whom are playing characters that are supposed to be much younger than they actually were at the time.That doesn't mean that it's consistently funny, but it does have some surprises here and there, as in, ""Ha ha, I can't believe they actually just did that."" The finale juggles subplots including attempted romance amongst counsellors, a falling piece of Skylab, and a climactic last-night-of-camp talent show. Be warned that the movie is most assuredly NOT for kids (despite the presence of them in the story), and that the R rating should be taken seriously.Set in 1981, this is one of those movies that constantly has to use rock songs from the period to remind you of the fact. Not that this viewer minded hearing them, but it's still such an obvious thing to do.There are loads of stars throughout this large cast: Janeane Garofalo, David Hyde Pierce, Paul Rudd, Christopher Meloni, Molly Shannon, Ken Marino, Joe Lo Truglio, Michael Ian Black, Amy Poehler, Bradley Cooper, Elizabeth Banks, Judah Friedlander, etc. As you can see, the casting director leaned heavily on cast members of The State and SNL. Romantic lead Michael Showalter co-wrote the picture with director David Wain. Meloni is particularly funny as the weirdo cook who always has to remind us that he's a 'Nam vet.The can of mixed vegetables gets the most laughs - and gives the best performance in the movie.Now, if you'll excuse me, I have to go smear some mud on my ass...Six out of 10.",Wet Hot American Summer
4,preppy-3,Strange but fun comedy,8,10 July 2009,"This takes place on the last day of a summer camp in August 1981. Camp leader Beth (Janeane Garofalo) has fallen for a man living next door (David Hyde Pierce) but doesn't know how to approach him. Coop (Michael Showalter) is a shy camp counselor in love with beautiful Katie (Marguerite Moreau)--but she's dating sex-obsessed jerk Andy (Paul Rudd). There are other subplots involving Christopher Meloni (almost unrecognizable), Molly Shannon and Amy Poehler.DEFINITE SPOILERS! This could have been another T&A comedy--but it isn't. In fact there's only flashes of nudity and the one hot sex scene is between two guys--McKinley (Michael Ian Black) and Ben (an unknown Bradley Cooper). In a refreshing twist the scene is very erotic and they're not made the butts of a joke. Heck, they get married later on!Sex aside, the humor in this is almost surreal. There's lots of visual gags coming fast and furious. They come out of nowhere--but they're often so funny you don't care. You see characters drugged out in one scene--in the very next they're fine. Also characters manage to show up at two different places at the same time! It's off putting at first but you get used to it. Some gags fall flat but when they hit they're hysterical. The cast is on full tilt and the movie rarely stops to take a break. This is a very strange movie but uproarious when it works. Recommended.Best line: ""I hope it's not jumbo shrimp because I'm allergic to oxymorons"".",Wet Hot American Summer
5,FlashCallahan,I would know if you worked here.....,4,28 June 2015,"Camp Firewood, 1981, and It's the last day before everyone goes back to the real world, but there's still a summer's worth of unfinished business to resolve. At the centre of the narrative is camp director Beth, who struggles to keep order while she falls in love with the local astrophysics professor. He is busy trying to save the camp from a piece of NASA's Skylab which is hurtling toward earth. And adding to the 'hilarity' we have, a dangerous waterfall rescue, love triangles, misfits, cool kids, and talking vegetable cans, and of course, the big talent show at the end of the day......I really cannot understand all the love that this film has. Yes, it has a lot of now famous faces in the movie, but honestly, the majority of the humour, nay, all of the humour falls flatter than an old man on an icy path.It tries to hark back to those saucy comedies from the eighties like Fraternity Vacation, and anything with the words Summer, Camp, and school, but this seems like it's trying way too hard to be bad, and the thing that made those movies so watchable, was that they were unintentionally bad, and hilarious for that reason.If anything, it is worth watching for just how many famous faces there are in the movie, and just how successful they have become. But all in all, it's an unfunny mess of a movie, trying to be too meta, too left-field, and too clever for its own good.ButPaul Rudd is funny, doing his best impression of Kevin the Teenager.",Wet Hot American Summer
6,StevePulaski,Was hoping for a wet hot discovering summer,5,11 September 2011,"Wet Hot American Summer is the kind of movie where you either get it or you don't. If you do, you're good. If you don't, you are the red-headed step child among your friends and are subject to ridicule because you didn't laugh all that much. I have to say I'm in that category, but I appreciated what the film was doing. It was trying to be a different movie for a certain crowd. It succeeds in being different, but not much else.I think that this film is appreciated by people who also worship The Big Lebowski and the new comedy Our Idiot Brother, also starring Paul Rudd. They have a certain quotable reputation and are filled with so many random and oddball scenes that they soon get the cult classic status. I did like The Big Lebowski, but didn't see much hope in a rewatch because of the humor only being truly hilarious one time around. Some have said that Wet Hot American Summer gets better with repeated viewings. I don't think I'll stick around to find out.The story is just thrown together with odds, ends, and characters. Everything is thrown against the wall and the characters wander aimlessly throughout the camp hoping to be hit on the end with some comical elements. We're at Camp Firewood, a Jewish summer camp, and this is the last day of the summer. Everyone is scrambling to find someone of the opposite sex, or same sex, to be with so they can share a kiss at the end of the summer talent show.The characters are has shallow as the no diving end at a pool. We have Beth (Garofalo), the camp director. Henry (Pierce), an astrophysicist. Coop (Showalter) who has a crush on Katie (Moreau), but unfortunately for him, Katie's boyfriend is the ungrateful, incompetent, ignoramus Andy (Rudd). Gene (Meloni), the Vietnam vet. And way more.Director David Wain is known for his odd style as he's written and directed Cartoon Network shows like Children's Hospital and Tim and Eric Awesome Show Great Job. So he does tackle a semi-original idea here. Too bad it's gone to waste. There's one scene where two boys discover their best friend is gay, and rather than taking it in a mature manner, writer Michael Showalter seems to be laughing while writing making the scene unnecessary and tasteless.For some reason, I've never liked the idea of a summer camp setting in a comedy. It's rarely taken in a fresh manner, and it always results in the same jokes again and again. Some horror movies, like Friday the 13th work because they are in a camp, at night, giving a creepy vibe to an already uneasy setting. In comedies that use the setting, it seems that every film is just random antics, with no rhyme or reason, filled with incompetent camp counselors and teenagers fueled by raging hormones and immaturity.The characters are drawn and made to be likable, but they are nothing but walking mannequins motivated by personal satisfaction, lust, ego, and hormones. Many of us are, but it rarely do these things make a good, likable film. If the film had been more about finding your inner self and more a coming of age story rather than just be a comedy run by the characters' ridiculous antics it probably could've been more inspiring and more entertaining.The acting and directing doesn't kill the film has much as the events and characters do. Wet Hot American Summer isn't horrible, but it's repetitive and predictable. What I found wrong may be what someone else finds perfectly fine. The legion of fans will have to accept my review and move on. For every one person who doesn't like this there are half a dozen more who do.Starring: Janeane Garofalo, David Hyde Pierce, Molly Shannon, Paul Rudd, Christopher Meloni, Michael Showalter. Directed by: David Wain.",Wet Hot American Summer
7,=G=,There's no accounting for humor.,4,1 August 2002,"And ""Wet Hot American Summer"" has precious little humor to account for. Wasted talent diva Garofalo heads up  this vacuous and inane parody about the last day of summer camp which makes ""Terror Firmer"" look like Oscar material. Most likely to be appreciated by airheads. Not for mature audiences. (D+)",Wet Hot American Summer
8,g-bodyl,Wet and Hot!,8,3 June 2015,"Wet Hot American Summer is known as today to be a cult classic, and I can agree with that statement, because the film has the characteristics as a cult classic. It's a little-known film at the time of its release, and it stars a pretty big cast. I was surprised this film was made in 2001, because this has a definite 80's feeling. The film mostly works thanks to the factor of nostalgia and a great cast. The film is not perfect though. It tries to hard and as a result, we get some jokes that are pretty bad. Luckily, the satire was good enough to erase the memories of those jokes.David Wain's film takes place on the last day of summer camp in 1981 at Camp Firewood. There is unfinished business to be done, mostly in the form of finding love before the big talent show that evening.Speaking of big cast, this film has a good one. They all do a respectable job, and I think this movie brought them all on the map. I don't particularly have any favorites, but I liked Janeane Garofalo as the camp's boss, Paul Rudd as Andy, Bradley Cooper as Ben, and Amy Poehler as Susie.Overall, Wet Hot American Summer is a decent, nostalgia-filled film. It's not great and I feel the status of cult classic is questionable, but there is no denying that it can be an amusing film. The satire is spot-on, but some of the jokes fall up lame. The film is well-acted, which is great on a script that was mostly improvised. A good film, but hardly a classic.My Grade: C+/B-",Wet Hot American Summer
9,lesleyharris30,"Funny and Entertaining, that's All it Needs to be,",8,30 June 2015,"Wet Hot American Summer is a great movie with a very well written plot and a fantastic comedic cast. It's a really fun movie as we follow a dozen different characters on their last day of summer camp, hoping to achieve all the goals they hadn't done the entire time they were there. It's very funny, with so many jokes that you would have to watch it again to hear ones that you missed previously. I felt like the film was missing a lead role, something every movie should have. It's weird to see a movie where every character is likeable and there isn't any sort of antagonist either, this is certainly a problem as it dosen't have a character that holds the movie, but it is not a huge concern. The entire cast is terrific, they all seemed very dedicated and interested in their characters. They were all clearly having a ton of fun making this, which will come as no surprise, and the chemistry is superb. Simple, mindless fun. Wet Hot American Summer isn't for everyone, but the people that enjoy this type of humour will definitely like it, and I would recommend it to anyone looking for a good comedy. A group of camp counselors and attendants try to complete all their unfinished goals as they begin their final day of summer camp. Best Performance: David Hyde Pierce",Wet Hot American Summer
