,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Charming and beautifully filmed movie!,9,6 May 2009,"First of all, I loved Bruce Broughton's music score, very lyrical, and this alone added to the film's charm. The best aspect of the movie were the three animals, superlatively voiced by Michael J.Fox, Sally Field and the late Don Ameche. Whereas Fox has the funniest lines, Ameche plays a rather brooding otherwise engaging character(the voice of reason), and Field adds wit into a character that is always seen telling Chance off. The humans weren't as engaging, and sometimes the film dragged, but that is my only complaint. This is one beautiful-looking film, with beautiful close up shots of Canada, I believe. Although the film itself is quite long, there is never a seriously dull moment, and this is advantaged by the voice work and a well-written script. All in all, a charming and perhaps underrated film, with a 9/10 from me. Bethany Cox.",Homeward Bound - The Incredible Journey
1,Hitchcoc,It's Reigning Cats and Dogs,7,29 December 2016,"This is a story of three animals who become lost and must make their way back home. There is a cat, Sassy, who is mouthy and annoying. Chance, an immature, careless, reckless dog. And Shadow, the mature, well traveled voice of reason. Of course, these animals talk to each other. Two of them are determined. One, Chance (who lives up to his name) gets careless and overly adventurous, putting the others in danger. Shadow is an optimist. He believes sincerely that they will eventually be found and returned to their families. It's a good story and the voices are superimposed. They are not made to talk with some twisted mouth, to look like humans. This is a great movie for children. It is about love and compassion and commitment to an ideal. It also expresses the idea of never giving up.",Homeward Bound - The Incredible Journey
2,jboothmillard,Homeward Bound: The Incredible Journey,5,20 June 2005,"Remakes are a very dubious thing to do, but this one from Disney, based on its own 1963 original, based on an aspiring true story, is actually quite good. Basically Chance the dog (voiced by Michael J. Fox), Shadow the dog (voiced by Don Ameche) and Sassy the cat (voiced by Sally Field) are left behind by their family, and when they are delayed, the pets begin a perilous journey through forest, across mountain, countryside and rivers, in order to get back to their owners. Danger is bound nearly every step of the way, whether it is from rushing water, giant cats, uneven floors, they pull through and manage to get back to their family for the happy ending. Also starring Airplane's Robert Hays as Bob Seaver, Kim Greist as Laura Burnford-Seaver, Benj Thall as Peter Burnford, Veronica Lauren as Hope Burnford and Kevin Chevalia as Jamie Seaver. Having seen the original myself, I would say it is very, very slightly better, but with the addition of the animals having voices, it gives them more personality, and it certainly makes for fun viewing for all the family. Worth watching!",Homeward Bound - The Incredible Journey
3,michaelRokeefe,Three household pets are on their own.,7,27 August 2007,"Fun film for the entire family. A captivating story about a bulldog pup named Chance(voiced by Michael J. Fox); Sassy, a Himalayan cat(voiced by Sally Field); and Shadow, a wise old golden retriever(voiced by Don Ameche)end up fending for themselves as they set out on an incredible journey home. The owners of these beloved pets leave them with a friend(Jean Smart) as the father(Robert Hays)takes a temporary assignment. The three pets believe they have been left behind for good; so they face mountains, waterfalls, a bobcat, bears and a porcupine on their trek back home. Beautiful Oregon scenery and a story that tugs at the heartstrings. Also in the cast: Kim Greist, Kevin Chevalia, Veronica Lauren and Woody Eney.",Homeward Bound - The Incredible Journey
4,Calicodreamin,Cute fluff movie,7,2 May 2020,"A cute kids movie, that I enjoy watching from time to time. The voice acting is excellent and well cast, the animal characters are really brought to life. The storyline has good flow and I always cry at the end. Just a feel good fluff film.",Homeward Bound - The Incredible Journey
5,neil-476,Typical Disney family fare,7,2 May 2015,"Disney remakes The Incredible Journey: the location is different (Oregon here, doubling for California), the breeds of the itinerant trio have been tweaked, the family is a bit higher profile, and this time there is no narrator: the animal threesome are voiced by notable talent (Don Ameche, Sally Field, Michael J Fox).Otherwise, the mixture is much as before - a journey full of trials, with spectacular scenery as a backdrop, chuckles here and there, and a handful of tear-jerking moments.The scenery is indeed spectacular, the editing is very skillful, the script is none too special, but is largely saved by the sheer professionalism of the voice talent. This is one for a family Sunday afternoon: adults in the absence of kids will find it sugary enough to induce diabetes.",Homeward Bound - The Incredible Journey
6,HotToastyRag,My favorite Sally Field performance,10,5 September 2021,"I've seen the original The Incredible Journey, and the 1993 remake has given it one simple - but vital - improvement: the animals talk. In the original, the entire movie is just told by an outsider's narration. In this one, Michael J. Fox voices the inner thoughts of young bulldog Chance, Sally Field personifies the Siamese cat Sassy, and Don Ameche (in his final movie) plays the old faithful retriever Shadow.When Kim Greist remarries, to nice guy Robert Hayes, the kids have to leave their animals at Jean Smart's farm for a while. Robert's job takes them to a different city, and they need to get established before going back for the animals. It's a very tearful goodbye, especially for Don Ameche and his owner. In fact, it's so painful, when a miscommunication happens, the animals take it into their hearts to follow their owners and run away from the farm.So starts the incredible journey. It truly is incredible, with waterfalls, bears, porcupines, little food, and lack of direction. But the animals love their humans, and they're willing to withstand anything to be reunited with them again. Most of the movie is hilarious, with constant bickering between Sassy and Chance - pretty much everything out of Sassy's ""mouth"" is side-splittingly funny - but there are some very suspenseful moments. And I guarantee you're going to need a Kleenex at the end.",Homeward Bound - The Incredible Journey
7,JamesHitchcock,Enjoyable film for all the family- especially animal lovers,7,9 February 2009,"I haven't seen the original ""Incredible Journey"" since I was a child, so I can't really compare the two versions. This version tells the story of three animals, two dogs and a cat, whose owners leave them with friends in the countryside when the father of the family has to take a new job in San Francisco. The pets, believing that they have been abandoned, escape and set out on a long homeward journey through wilderness.This story might have been most easily filmed as a cartoon, but both versions are in fact live-action films made using real animals. One major difference is that in the later version the animals speak in human voices, giving each its own distinct personality, something that was not done in the original film. (A similar device of talking animals has been used in other recent children's films such as ""Racing Stripes""). Some critics have been rather sniffy about the use of this device, but my own view is that giving the animals distinctive personalities of their own helps to strengthen the film rather than weaken it. The animals were voiced by big-name stars, Don Ameche, Michael J. Fox and Sally Fields.Both dogs are male, and their relationship parallels that between many humans in ""buddy-buddy"" movies. Shadow, a golden retriever, is the wise, experienced older dog; Chance the younger one is brash, cocky and impulsive. To British eyes Chance looks like a boxer, but is actually an American Bulldog, which is apparently a different breed to its British cousin. Sassy the cat is female with a rather prim and proper personality. She is very proud of her status as a cat, which in her eyes makes her vastly superior to any mere dog. (""Cats rule, dogs drool!"").From an adult viewpoint the film has a number of faults; it can be sentimental, some of the incidents (such as the one in which the animals manage to catapult a mountain lion into the river) are quite incredible, and the human characters are all completely forgettable. This, however, is a film which is mainly aimed at children, and I suspect they will enjoy it immensely. Certainly, any animal-loving child will do so. (Comments by some professional critics such as James Berardinelli, who complained that the animals' voices lessened the film's ""grandeur"", only serve to strengthen my view that professional critics are not always the best guides to children's movies. I doubt if many playground conversations about ""Homeward Bound"" concentrated on its supposed grandeur).One thing adults will appreciate is the photography of California's Sierra Nevada mountains. They may also appreciate the film's blend of humour and excitement as the runaway pets encounter perils such as bears, mountain lions and porcupines in the wilderness. This is a very enjoyable family film. 7/10",Homeward Bound - The Incredible Journey
8,Smells_Like_Cheese,The perfect family film,6,31 January 2004,"Homeward Bound is a great family film, one of the last best used with talking animals. Still to this day I cannot resist watching this film, and I still laugh, keep my eyes glued to the screen and I cannot help but cry. I always have to have a major box of tissues next to me when I watch this movie. It has such a soul and is a great story with wonderful characters. All of us as children had pets who were like our best friends and they were just as loyal back and Homeward Bound shows us the love that animals could have for their owners.Chance, an American Bulldog, explains that he is the pet of Jamie Burnford, but expresses no interest in his owner or having a ""home"". He shares his home with Shadow, an older Golden Retriever owned by Jamie's brother Peter, and Sassy, a Himalayan cat, owned by their sister Hope. Bob Seaver is marrying Laura Burnford, joining the family. Shortly after the wedding, the family goes on a trip to San Francisco, leaving the pets at a ranch belonging to Kate, a family friend. Kate later goes on a cattle drive, leaving the animals at the ranch to be looked after by one of her ranch hands. However, the animals think they have been abandoned, and Shadow begins to worry about Peter, so he decides to go find them. Sassy and a reluctant Chance follow. They head into the rocky, mountainous wilderness, with Shadow leading by instinct but of course the road is a bumpy one and it's not an easy journey coming back home.I'm going to give a few spoilers here, so don't read on if you haven't seen this movie. There are some absolute great laughs, with Sally Field as Sassy you just couldn't go wrong. Her leading the vet security guard around was so cute and very funny. Plus when Chance is curious about a porcupine, Shadow and Sassy warn him to get away, but being a dog he can't help but wonder and BAM, ""it bit me with it's butt!"", he's stung with the needles, poor Chance, but what a funny scene! Then there are some very touching moments where Chance is learning how wonderful life could be having a home. The scene where Sassy is reunited with Chance and Shadow was wonderful. Then there are the tear jerker moments that are killer. Shadow falls into a muddy pit where he hurts his leg and can't get out, Chance tries to help him but Shadow thinks he's too old and can't move and says to Chance ""I've taught you everything you needed to know, now all you need to learn is how to say good-bye"", I'm actually tearing up as I'm writing it, seriously. Then Shadow makes a triumphant return into Peter's arms and seeing him act like a puppy was so wonderful. I adore this movie, the voices, the setting, the story, it's just a touching family movie that is perfect to watch. I have no complaints about this movie and could go on, but trust me when I say it's more than worth the watch.10/10",Homeward Bound - The Incredible Journey
9,cricketbat,This movie makes me cry every. single. time.,10,21 November 2020,"This movie gets me every single time. I've seen Homeward Bound many, many times, and I always get teary-eyed at the end. This is one of those rare talking pet movies where the voice actors and the on-screen animals are both worthy of praise. Plus, you can tell some actual care went into the writing and the filmmaking. The humor is clever, the story has heart, and this film is definitely one I recommend.",Homeward Bound - The Incredible Journey
