,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Rachel so much funnier than Rob,5,26 August 2015,"Jessica Spencer (Rachel McAdams) is a mean-girl cheerleader captain. She and her friends April (Anna Faris), Lulu (Alexandra Holden) and Keecia/Ling Ling (Maritza Murray) rule the school. Jessica steals a pair of ancient magical earrings. She drops one of the earrings which is picked up by ugly thief Clive (Rob Schneider). They both put on an earring and their bodies get switched. Jessica convinces her friends but struggles to figure out her new body.The movie lucked out by having Rachel McAdams as mean girl Jessica. It doesn't take full advantage of the unforeseen advantage. Rachel playing a man is hilarious. She's much funnier than Rob Schneider. Rob is doing his stupid idiocy which is fine. Rachel comes in and steals the movie every time. It's the disappointment of what this movie could have been.",The Hot Chick
1,Horst_In_Translation,"A good film, but also a missed opportunity",6,14 July 2017,"""The Hot Chick"" is an American English-language film from 2002, so this one has its 15th anniversary this year already. The writer and director is Tom Brady (not the famous athlete obviously) and for him, it is definitely the most known work of his career so far. This may also be the case for lead actor Rob Schneider, who is also a co-writer here and it is not the only occasion he worked together with Brady. Schneider certainly was a bigger star back then than he is today, but I believe he did a good job overall and he is certainly not less talented than the blockbuster comedy lead actors of the 2010s. This does not refer to Adam Sandler who I liked as well and who has a small cameo in here in two scenes. He's a good friend of Schneider and executive producer of this 105-minute movie. This duration includes the credits though, so it is almost 10 minutes shorter in fact. The good news is that the script and Schneider's performance are good enough for the film to never drag despite the fairly long runtime for a comedy movie. The female lead is played by Rachel McAdams, but she is really only lead in terms of the plot as she almost disappears completely around the 20-minute mark. Maybe the young Anna Faris has even more screen time than McAdams here. But this is no surprise because McAdams was not famous back then yet. It's telling that the credits state that this film is introducing her to audiences and this was still before her roles in very famous films like ""Mean Girls"" and ""The Notebook"". But this one here is still her breakthrough movie somehow and I must say that when she was on screen she was perhaps the best aspect of the film, not just because the title fits her very well.One of the biggest strengths of the film is that it basically never takes itself too seriously. Even in the more serious moments, it is all about character developments and they manage to make them look relatively light luckily. The film never tries to teach audiences something important and that's really perfect this way because otherwise the film could have gone wrong easily. But it succeeds. There are some pretty funny moments and the makers did a good job I believe in using the comedy to make people ignore some of the less realistic plot developments. Then again, it is all good as the core plot here about a crook changing bodies with a high school student is extremely absurd already. It is a parallel to a Lindsay Lohan movie, but not about mother and daughter this time and also not about lovers/spouses like in a recent German film where characters are switching bodies as well. So it is a bit of a new idea, especially for when the film was made. Of course, not all the comedy is working, but that is okay as it is no perfect film of course. Everybody will like or dislike certain scenes for subjective reasons. I personally disliked the fart humor scenes and I must say I was a bit disappointed Oscar nominee O'Keefe got such weak material here as his scenes are among the worst the film has to offer and he is a much better actor than he can show in here. But yeah, it's just subjective. Robert Davi (who plays one of my very favorite Bond villains) was wasted too unfortunately. But these are just minor letdowns. The biggest disappointment for me perhaps was that the focus after the body switch was 90% Schneider and 10% McAdams, maybe an even bigger gap and I would have loved to see a more balanced proportion. But like I said, McAdams wasn't a star yet back then, far away from the days of being the female lead on ""True Detective"" and an Oscar nominee, so it's not too uncommon. And storywise, it actually makes sense because the high school student's life is far more interesting and entertaining than the crook's probably relatively lonesome life that may have added too much seriousness to the film. So overall, they probably made the right decisions apart from wasting a couple really talented actors here. I recommend the watch and I believe this is one of the best comedies of 2002. Don't be fooled by the surprisingly low rating. It's a fun movie and has lots of guilty pleasure potential. Watch it!",The Hot Chick
2,claudio_carvalho,"Silly, Many Clichés and Scatological Jokes, But Also Very Funny",6,24 September 2004,"Jessica Spencer (Rachel McAdams) is a spoiled selfish cheerleader and her best friend is April Thomas (the delicious 'blonde' Anna Faris). Clive Maxtone (Rob Schneider) is a very small time crook. One day, Jessica steals a pair of magic earrings, which belonged to an Egyptian princess in the year 50 BC, from a weird store and in a gas station she loses one of them. Clive is robbing the place and finds the earring. When he wears it, their souls switch bodies. From this moment on, there are many clichés and scatological jokes, in a very funny movie. Indeed, it looks like a teenager version of ""Blake Edwards' Switch"". The look of the beautiful Anna Farris with dyed hair is wonderful. Rob Schneider is one of the funniest American actors, and he is also hilarious in the role of Jessica Spencer. The unknown Rachel McAdams is also very funny playing as Clive Maxtone. The DVD has many Extras and is another attraction. A good entertainment, indicated for laughing. My vote is six.Title (Brazil): 'Garota Veneno' (literally translated by 'Poison Girl', but with the meaning of 'Hot Chick')",The Hot Chick
3,jboothmillard,The Hot Chick,5,6 January 2012,"I had heard the title of this film before, and I assumed because of the lead actor it was meant to be rated terrible, but I was surprised to see it had some positive things said, so I decided I had to see if I would find it funny. Basically Jessica Spencer (Rachel McAdams) is a popular and attractive high school student, with friends April (Scary Movie's Anna Faris), Keecia (Maritza Murray), and Lulu (Alexandra Holden), but she has low opinions of others, including overweight Hildenburg (Megan Kuhlmann) and goth like Eden (Sam Doumit), and she has her rivals, like Bianca (Maria-Elena Laas). One day the girls visit a mall and find a shop full of African stuff, and Jessica spots a pair of ancient earrings, the shop keeper cannot sell them to her though because of their high value, so she steals them. At the same time, small time criminal Clive Maxtone (Rob Schneider) is robbing a gas station, and in the process he is forced to pretend to be the attendant for the girls, and Jessica accidentally drops one of the earrings which he picks up, and back at home they both put one of the pair on their ear. The next morning, the curse put on the earrings has caused them to swap bodies, so Jessica has become Clive, and vice versa, and this comes at a bad time because Jessica (Schneider) is meant to take part in a cheerleaders competition and there is the prom. After convincing best friend April and the other who she is, and forced to show her new penis, they have to investigate why she has swapped bodies, and find a way to restore her, and in the meantime all she can do is try to be manly. They do eventually find out about the cursed earrings, and returning to the shop the shopkeeper explains how they work and that the only way to swap back again is to find the other one, or it will be permanent. Jessica lives with April in the meantime and manages to secure two manly jobs, and her own parents cleaner also trying to rekindle their relationship, and as the school janitor, and she spies on her boyfriend Billy (Mrs. Doubtfire's Matthew Lawrence) who loves her. She is also spying on April's boyfriend Jake (Dumb and Dumberer: When Harry Met Lloyd's Eric Christian Olsen), who is having it off with another girl, and as time goes by April is falling in love with the new Jessica. As all this has been going Clive, inside Jessica's body, has been forced into buying period products, but he has been making money using the body he now owns to get away with a lot, making money off of men, seducing them in their cars, Billy included. After winning the cheer leading competition, it comes to the night of the prom, Jessica taking April, and she manages to seemingly convince Billy of her identity too, but he runs away in disgust and unwillingness to give into feelings he had before. Hildenburg sees Clive on the news, and all the girls go to a pole dancing club, where he has been Jessica's body to get high tips, and both earrings are recovered, and put on Jessica and Clive return to their rightful bodies. Jessica makes up with Billy and they share a true love kiss, Clive is arrested, but escapes, still wearing lingerie, and picked up by a homosexual bartender that as Jessica his body had seen before. Also starring Licence to Kill's Robert Davi as Stan, Melora Hardin as Carol, Adam Sandler as Bongo playing shop assistant, Fay Hauser as Mrs. Thomas, Jodi Long as Korean Mother, Matt Weinerg as Booger, and Dick Gregory as Bathroom Attendant. Schneider is certainly what makes this film what it is, and he creates most of the laughs with his committed feminine side with girly mannerisms that make him look very camp, I admit they could have shown a bit more of McAdams being manly, but it doesn't matter much. The body swap concept is something I have seen numerous times, Freaky Friday is the obvious example, but this was probably the first time I'd seen man swap with woman, and it is done in a most amusing fashion that actually works, a fun comedy. Worth watching!",The Hot Chick
4,Quinoa1984,It's time to be scathing...,1,15 December 2002,"...at least for this sh*t.  I will admit I thought Deuce Bigalow was a very worthy comic effort from Rob Schneider, as he became a male gigolo in his first solo effort that worked cause he had a certain  odd charm and effort for laughs.  The Animal was funny as well, but signs of stupidity were clearly marked like urine over territory on the picture, and when it didn't spark laughs it sparked ludicrous-ness.  But now he has his latest transformation comedy, The Hot Chick, and I got to tell you, Trey Parker and Matt Stone, masterminds of South Park, had a great moment when they showed Schneider's next effort to be him transformed into a stapler, cause that can be certain where he's heading after this.A pair of magical earrings switch a popular, snotty girl into a man and a man into a girl (who in turn becomes a prostitute, which as a plot line is totally abandoned to stick with Rob, first mistake), then the film proceeds with a string of gags all attached to the high school/Prom/cheer-leading formulas, and not one of them is enough for just a grin; even having a Sandler cameo and Anna Faris, the Neve Campbell parody in the Scary Movie films, do nothing for redemption.  Only children, under ten years of age, with the mental outreach of Spam, and absolute Schneider die-hards, will find a smidgen of value in The Hot Chick, and anyone not wanting to waste over an hour and half of their lives should beware like it's small pox.  F-",The Hot Chick
5,Boba_Fett1138,I'm still waiting for that movie in which Rob Schneider turns into a carrot.,5,15 August 2007,"""South Park"" once perfectly spoofed Rob Schneider's career, by putting fake trailers for movies, of which in one he turned into a carrot. An obvious reference to this movie. It showed how he and all of his movies were always the same and often relied on just one simple comedy aspect. This movie is like that. It relies on just one big comedy joke; a popular hot girl and a dirty dumb old criminal accidentally swap bodies.The humor and comedy is so simple and weak that at times you just can't help laughing at it. The sort of 'Austin Power's' effect, I would call it. So dumb, silly and predictable that it becomes hilarious at the same time . Such as the whole Biance plot line and rivalry, the story with the parents and so on. There really are some missed opportunities here and thats sort of weird since normally these type of movies are overfull with different often overly developed plot lines. Now everything remains mainly underdeveloped, which also doesn't make this the movie interesting or hilarious movie to watch. After a while the movie even starts to reuse some of its earlier jokes. Never a good sign when a comedy start to recycle its own jokes.Rob Schneider is mostly overacting obviously but I think that's also one of the reasons why the movie still works out as a fun one. I also think he did a fairly good job at playing a girl who's suddenly in a man's body. It provides the movie with some good moments, the one more subtle than the other. The movie also has some good supporting actors but in much too small roles such as Robert Davi and Rachel McAdams before her days of fame. Adam Sandler unfortunately makes a totally unfunny appearance in the movie. There are some potentially fun characters in the movie but those remain mostly underused.Of course the story also has some morals and messages in it. In my opinion it's a real shame that Hollywood comedies from this decade always feel the need to do this. But having said that, in this particular movie it isn't really distracting or anything but its still obviously present, especially toward the ending of course.Obviously not a lot of things really make sense into the story but this is not just due to the ridicules concept but also some bad writing. For instance it doesn't get explained exactly why the school-losers and outcasts suddenly teamed up and get accepted by the 'hot chicks'.In all fairness this is not a bad movie and it's certainly a watchable one. It's however also very simple, predictable and underdeveloped. That's why I just can't rate it any higher. But nevertheless I consider this a watchable movie. I guess it's especially hilarious with a couple of friends and A LOT of booze.5/10http://bobafett1138.blogspot.com/",The Hot Chick
6,TBJCSKCNRRQTreviews,"Kind of the opposite of ""you never know what you've got 'til you lose it"", isn't it?",6,10 November 2009,"A lot of people nowadays seem to believe that you have to go to extremes to be funny. And (I hope) most film-makers realize that there should be something beyond the immediate, superficial(unless you don't mind the flick being instantly forgettable). So I suppose I do sort of get why these, that attempt to mix the two, get made. However, it can be a tricky thing, getting the balance right. You've probably already figured out that this doesn't manage it. Maybe it's that Brady has not helmed a picture before, I don't know. I gotta say, his writing isn't that great, either(this and The Animal). For what it's worth, I think he means well enough. This does have some heart to it, if not as much as it wants to. Also, there are dramatic and engaging bits. It's uneven, and you find yourself as confused as the movie is, not certain if we should laugh or be affected. As far as the comedy goes, there are different types of material(and it's not all crude and nasty), leading to another problem; there's frankly too many quirks and stereotypes, and much of it does not pay off, on account of this being overly ""busy"". Variation is good, but a clear focus is vital. The ones that did not relate to the running theme would have been smart to cut. Logic is abandoned whenever the plot and/or a joke or gag require it to be. The editing could be tighter, a couple of shots last longer than they ought to, spoiling timing or straining credulity(and it's not exactly infinite to begin with, for this number). Acting is fairly solid, including the kid, he's pretty natural. Schneider can convince, as can Faris, though they do both have several of their worst moments in this, as well. The music is well-chosen and cool. There's eye candy for males in this. This has sexual stuff and mild to moderately strong language. The DVD comes with an entertaining and informative director's commentary, a handful or so of well-done featurettes, deleted scenes, an alternate ending and a trailer. I recommend this to fans of those who put it together. If you just *gotta* watch a guy pretending to be a girl, and vice versa, go ahead. 6/10",The Hot Chick
7,view_and_review,Movie not hot,5,7 June 2007,"After having his genes spliced with animals, Rob Schneider goes a different route this time and has a body swap with a good looking high school girl. Well, if it was funny when he was part animal, then it should also be funny when he is a girl, right? Well, I think this plot idea has been tampered with one too many times. There have been plenty other movies in which a man plays a woman and vice versa, so what would distinguish this movie from others? I don't know, because it didn't do much to stand out as a good comedy. I think the director Tom Brady went to the well too many times with Schneider and that may be why we (or I) haven't seen anything from Brady since.",The Hot Chick
8,movieman_kev,"Better than ""The Animal"" at least",6,9 June 2005,"Jessica Spencer (Rachel McAdams from ""Mean Girls"") heists a pair of earrings from an tribal shop at the mall. After a run-in with another robber at a gas station (Rob Schneider), she loses one earring from the set. Turns out these jewelery pieces are magical and allow body-switching. We're dealing with a bad news/good news scenario here. the bad new being that the writer is the same responsible for ""The Animal"" travesty. The good news is this is considerably better. However, Anna Faris shouldn't make any more comedies, in every single comedy I've seen her in she is capable of a whole range of.. ONE expression, that would be being shocked/ Surprised, which would be fine if she didn't use it about 50 times per movie. But if gay stereotypes, fat jokes, and dick humor is your cup of tea By all means help yourself. You know what? I probably made it sound better than it is actually. It all honesty, this is merely an alright film even if it does feel a bit tame for a Schneider movie.DVD Extras: Commentary by Director Tom Brady; 15 Deleted scenes; 5 featurettes (Becoming Jessica, Becoming Clive, the Hot Chicks, Guest Speakers, and Physical Education); a ""Starlight"" Music Video by Zed; Trailer for ""Shanghai Knights"" My Grade: C+ My DVD extras Grade: B-",The Hot Chick
9,mm-39,"Hey, Better than average comedy, which is a hard thing to do",7,12 July 2003,"What is funny, that is a matter of opinion , and is harder to make than a action film.  A car blows up, and you got and action film, use TJ Hooker as an example.  Comedy, a guy slips on a banana and it could either be sad, or funny.  Much harder to do!  A friend at the post office wanted me to go to the comedy club on amateur night, I lost my nerve, like the banana one does not know if it is going be sad instead of funny and bomb.  Mr S in this movie could have easily bombed, it is hard to the hot chick, for a guy to pull this off shows talent.  Adam S had his influence with his over the top style.  Either you like this style or not, I find with that comedy, which I love, its material either ages well or dies.  Ie OJ type jokes.  The fight scene is a classic, but I found the father a little hard to take, but who's parents arn't.  In the end, if Political Correctness went its course the world would lose this luaghter, and levity.  What a shame, if the I just smelled poo loking face people with grudges decided what is funny, we never would be able poke fun at each other, and laugh with not at each other. This movie is full of stero types that make fun and levity about ourselves, which brings us together.  I find people who can laugh at ones self, and bad situation can deal better with life, and I see a bit of this in The Hot Chick. 7 out of 10.",The Hot Chick
