,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Has every bit as big a heart as the titular character himself,8,22 January 2018,"Am a massive animation fan, have been from a very early age and as a young adult that has not changed a jot. In fact, love it even more and doing research on so many films, television and cartoons and the animation directing styles and techniques and behind the scenes has helped me appreciate it even more and be more knowledgeable on it.'Ferdinand' may not be among my favourite animated films ever or even of the year. It is still to me a very good film and worthy of more credit. It doesn't break any new ground and perhaps plays it a little too safe. Kate McKinnon at times overdoes it on the humour and the voice acting, meaning her character is not quite as funny, sometimes annoying even, as she could have been. She does have her moments though.There is so much to like about 'Ferdinand' though. It is full of charm and has a big heart, as much so as the effortlessly easy to relate to lead character. The other characters are every bit as fun and charming, and there is suitable tension and emotion in the conflict. The bullring elements are well done in capturing the dangers of it, really interesting to see it from a bull's point of view rather than the matador's or the audience. Despite the story not being much new, it is nevertheless lively in pacing and has a lot of warmth, fun and charm. The sincere message is a relatable one that's important and relevant, and it was handled with tact and not heavy-handedly. The writing may lack the complexity and perfect balance of comedy and drama as 'Coco' (as far as 2017 films go), but mostly is amusing and poignant.Animation is not as visually spectacular again as 'Coco' but is still full of rich colour and meticulous detail, in short it's great and makes for one of Blue Sky's better looking films. The music fits beautifully.Voice acting is strong, apart from a lack of subtlety on McKinnon's part. John Cena is the star here in a voice over full of warmth and personality.Overall, very good. 8/10 Bethany Cox",Ferdinand
1,SnoopyStyle,enjoyable for the whole family,6,11 March 2018,"In Spain, Ferdinand is a young bull. He is eager to see his father off to the bullfight. He is dumbfounded when his father doesn't return and runs away from the ranch. He is adopted by young Nina and her father Juan. He is accepted by her dog Paco. He grows up to be a hulking peaceful bull. During a flower festival, Ferdinand is literally a bull in the china shop and he is taken back to the ranch where he is expected to fight.This is a Blue Sky - Fox production which also makes the Ice Age franchise. The animation is half a step below the best of the best. It's a nice looking cartoon. The animal designs are nice. The story is fine. The final bullfighting is excellent with some nice laughs. The bull in the china shop is perfect. I only have one big problem. Once Ferdinand is joined by Nina and Paco, he needs to stay connected with those characters somehow. Obviously, Nina can't be at the ranch but she could go on a search for him. Paco is basically an animal sidekick. He could have been a funny small bird or mouse who befriends him at the farm and joins him on the journey. Ferdinand needs a comedic animal sidekick. It's a classic cartoon trope and it's missing from this movie. There are missed opportunity in the writing. Nevertheless, this is enjoyable for the whole family.",Ferdinand
2,Horst_In_Translation,(not so) Raging Bull,4,7 January 2018,"""Ferdinand"" is a new American English-language film from 2017 directed by Brazilian Carlos Saldanha and just like his previous ""Rio"", the film is named after its male protagonist. Saldanha is also known for his work on the Ice Age franchise. But we talk(ed) about that one on another occasion. This one here runs for 105 minutes roughly and was written by a whole lot of writers which makes the very mediocre outcome even more disappointing. Talk about too many cooks spoiling the broth. Anyway, this is loosely based on the Oscar-winning Disney cartoon ""Ferdinand the Bull"" from 80 years ago or I shall say on the same book like that one. So it's perhaps a new trend and honestly it is about time some of these old classic cartoons get referenced again in today's movies. I wonder when we get fresh takes on ""The Ugly Duckling"" or ""Lambert the Sheepish Lion"". But I really hope these then will be better than this one here. Apart from the lengthy arena scene towards the end, I thought this was mostly a genuinely mediocre film to be honest. Quality moments like the bull in a china shop scene with the old female shopkeeper or the recurring references about the little bunny getting close to death were a rarity sadly. Too many characters and almost none of them got the elaboration they deserved- One example would be the hedgehogs, my favorite animals actually, but here really irrelevant. Or even worse: the horses who got a Sissi reference and Austrian accents here. In general, I cannot say I am too happy with the voice acting and dialogue writing, but perhaps that's just the German dub I watched that really wasn't any memorable whatsoever. I hope the English original was better.This is the last new theatrical release I watched before tonight's Golden Globes and fittingly this film is nominated twice with not much of a chance to win only once. The final half hour could have made for a great short film. As expected, men were eventually the enemy and not the horses, not the boastful bull and not anybody else. But even the bull fighter was all about pleasing the masses and becoming a legend, not about really wanting to kill or anything, even if he had done it. The turned-tables part at the end was kinda funny and the musical introduction to the arena battle was nice too. But in terms of emotions, this film can learn a lot from Pixar. The father's death early on was really rushed in and had almost zero significance sadly and the potential deaths to the butcher of two other bulls, Valiente and Guapo, were just as forgettable. And where were the bulls' mothers? Anyway, back to the arena fight as this one really offered the most. The scene when the bullfighter throws away the flower showing us that he has zero interest in nature and plants unlike Ferdinand was a really smart inclusion, maybe the best moment of the entire film. But these witty creative moments were far too rare for a pretty long animated movie in fact. All in all, it's more about hullaballoo and noise than about depth or great story-telling, so maybe a better watch for young audiences only. Of course the animation is pretty good, also the (title) character animation, but this alone is not enough anymore these days. Finally, a few words on the subject of bullfighting, which is really a controversial subject and you should not expect the film to make a powerful statement, even if the scene of the lost horns by the dead bulls comes pretty close already. It's just about the story, not about society or even politics. I have seen many better new animated films this year (from 2017 I mean) and I have to give this one a thumbs-down. Pity. I really expected a better oucome. Watch something else instead.",Ferdinand
3,kosmasp,Winning and other life goals,8,17 November 2020,"This may not be a Pixar movie, but it still is worth your time. It has some wisdoms of life, tells you it is ok to break out of structures while growing up and finding yourself and other positive (I would call them that) messages. Of course this also has jokes about incest and death - though both well ""hidden"" inside jokes. So something for the adults to enjoy snickering about and something I reckon kids wouldn't get in its entirety.Good animation, funny dialog and an interesting set of characters add to the overall fun you can have with this. The voice performances are also really fine. Story works for the little ones but also the big ones watching with them (or without - there's no judging who watches it, anybody can).",Ferdinand
4,jboothmillard,Ferdinand,7,17 February 2018,"I saw the trailer for this computer-animated movie a good number of times, I'm not sure if I was particularly interested or excited about seeing it, but it got positive reviews, and then of course it was nominated during Awards Season, so I went to see it, directed by Carlos Saldanha (Ice Age, Robots, Rio). Basically in Spain, a bull calf named Ferdinand (Colin H. Murphy) lives in a ranch called Casa Del Toro, owned by Moreno (Raúl Esparza), that trains bulls for bullfighting. Ferdinand is a gentle bull, with a non-confrontational attitude and a tendency to smell and protect flowers, for which he is ridiculed by fellow calves Bones (Nile Diaz), Guapo (Jet Jurgensmeyer), and Valiente (Jack Gore). After his father Raf (Jeremy Sisto) does not return after being picked for a bullfight, and a flower he was fond of is squashed, a saddened Ferdinand runs away from the ranch. He eventually winds up at a florist's farm, where he is found by Nina (Lily Day), daughter of farm owner Juan (Juanes), Ferdinand and Nina share a bond, including a love for flowers, so he is adopted into the family. Ferdinand (wrestler John Cena) grows into an enormous bull, but remains non-violent and flower-loving, but due to his size, he is left behind when Juan, Nina and the dog Paco (Jerrod Carmichael) go to Ronda for an annual flower festival. Ferdinand decides to go anyway, whilst walking through the village and admiring the flowers, he is stung by a bee, and the pain causes him to unintentionally wreak havoc around town, he is taken away back to Casa Del Toro, much to his and Nina's sadness. Arriving at the ranch, he finds that Bones (Anthony Anderson), Guapo (Peyton Manning), and Valiente (Bobby Cannavale) have also grown up and have been joined by a Scottish bull Angus (David Tennant) and a silent but intimidating bull Maquina (Tim Nordquist). Ferdinand is still disrespected by the bulls, but he befriends crazy goat Lupe (Kate McKinnon) who wants to be his coach in bullfighting despite his lack of interest, and three hedgehogs named Una (Gina Rodriguez), Dos (Daveed Diggs), and Cuatro (Gabriel Iglesias) who frequently try to steal food. One day, legendary but egotistical bullfighter El Primero (Miguel Ángel Silvestre) arrives at Casa del Toro to choose the biggest, strongest, and most aggressive bull to fight with before he retires. The bulls fail to impress him on the first try, Guapo is taken to a nearby slaughterhouse, Ferdinand is told by the other bulls this will be their fate if they are not chosen for a bullfight. Ferdinand does earn respect from the other bull, except Valiente, licking Angus's hair to return his vision, and in a dance-off against three German horses, but they still believe that fighting is the only way to live. Ferdinand convinces Lupe to join him as the hedgehogs help them to escape to return to Nina's farm, but when he is close to freedom, Ferdinand sees a picture of his father, and his horns are mounted on the wall, along with dozens of other horns, he realises that all bulls chosen to fight will be slain by the matador. Ferdinand tells the other bulls that they will be killed whether they fight or not, but Valiente is the only one unconvinced, he angrily charges Ferdinand outside, Ferdinand inadvertently beats Valiente in the fight, knocking off his right horn, Primero witnesses the scuffle, and chooses Ferdinand to fight. Valiente is taken to the slaughterhouse, so Ferdinand rallies the remaining bulls to escape, but first goes to the slaughterhouse to break Valiente out, there they discover Guapo also still alive, deadly contraptions are activated as they try to escape. Ferdinand, Guapo, the now-friendlier Valiente, Lupe, the hedgehogs and a red bunny escape the slaughterhouse stealing a company truck, Casa del Toro owner Moreno and his employees chase after them. The animals try desperately to lose the humans racing through Madrid, winding up at Atocha train station, the bulls take a small railroad cart to catch a train in hope of returning to Nina's farm, but Ferdinand sacrifices himself, so the others can escape. Ferdinand is captured and news of the upcoming fight between him and El Primero spreads, Nina finds out and with Juan and Paco they race to the Las Ventas bullfight arena. Despite Lupe urging him that he must fight to survive, Ferdinand gives a weak performance in the arena, Primero angrily tries to attack Ferdinand, he almost retaliates, but a flower reminds him that he is not a fighter, he lets the matador live. Regardless, Primero tries to slay him to finish the fight, Ferdinand resigns himself to it, but the crowd cry out for the bull to live, Primero submits to the petition by sparing Ferdinand and leaves with dignity. Ferdinand is reunited with Nina, who embraces him, and everyone throws carnations to the ring to praise the bull, the other bulls arrive to witness history, as Ferdinand is the first bull to survive a bullfight by being himself. In the end, Ferdinand returns home with Nina, Juan, and Paco, they are joined by the other bulls, the hedgehogs, the Bunny, and Lupe, who all move into the farm, and it turns out supposedly dead hedgehog Tres is alive. Also starring Flula Borg as Hans, Sally Phillips as Greta and Boris Kodjoe as Klaus. Cena is a great choice for the bull with a heart, and there is great support from McKinnon and Tennant, it is a simple story of a gentle giant who may have to go against his good nature to help his family and friends, it is based on an old tale, but made very modern, it is wonderful animation and will appeal to all ages, a charming animated comedy drama adventure. It was nominated the Oscar for Best Animated Feature Film, and it was nominated the Golden Globes for Best Motion Picture - Animated and Best Original Song for ""Home"". Very good!",Ferdinand
5,oscaralbert,Disney must have purchased Fox for its Fair and Balanced approach to . . .,7,4 January 2018,". . . potentially explosive subject matter, as evidenced by the current Fox animated film, FERDINAND. This tale begins with the title character apparently squashing to death the world's last surviving bee. Scientist Albert Einstein famously noted that Mankind will go extinct within three years of the bees' demise, but FERDINAND's favorite flowers (and vegetables) continue to thrive totally UNPOLLINATED as the years pass while in this movie, since the honchos at Fox know that you cannot be Fair and Balanced by believing Einstein most of the time. Fox takes the same approach to The Holy Bible in FERDINAND. Lambs and lions flock together here, since heavenly dreams top the bitter and inconvenient truths of a Revelations-style Apocalypse any day. Fox shows just one bullfight during FERDINAND, which ends with the crowd wildly cheering for the bull. This comes off as extremely Fair and Balanced; probably at least half of such Spanish entertainments conclude with the bull emerging triumphant against the ""matadors."" The main lessons of FERDINAND: 1)Spain is an animal lover's paradise, and 2)Who needs bees?",Ferdinand
6,neil-476,Resoundingly average,7,2 May 2018,"Ferdinand is a flower-loving bull who has a gentle frame of mind and is disinclined to participate in bullfighting until a combination of circumstances has him ending up in the bullring.This CGI feature is based on a classic kids' book, and kids are its intended audience. It is well animated, efficiently (but not especially originally) designed, and has a decent enough combination of action, humour, character to pass the time amiably.The voice cast does well enough but no-one shines especially.This, to me, was a resounding average+ - the kids will enjoy it well enough with younger ones finding more in it than older ones. Parents might nod off.",Ferdinand
7,Hellmant,Not very memorable.,5,5 January 2018,"'FERDINAND': Two and a Half Stars (Out of Five)A computer-animated family film about a gentle Spanish fighting bull that prefers non-violence to chasing matadors with red cloths. It's based on the 1936 children's book 'The Story of Ferdinand', by Munro Leaf and Robert Lawson. It was scripted by Robert L. Baird, Tim Federle, Brad Copeland, Rob Burch, David Kidd and Don Rhymer. Carlos Saldanha directed the movie (he's previously helmed such other computer-animated kids' flicks as 'ICE AGE: THE MELTDOWN', 'ICE AGE: DAWN OF THE DINOSAURS', 'RIO' and 'RIO 2'). The voice cast includes John Cena, Kate McKinnon, Bobby Cannavale, Anthony Anderson, David Tennant and Peyton Manning. The film has received mostly positive reviews from critics, and it was also nominated for Best Animated Feature Film and Best Original Song at the upcoming Golden Globes. I think it's a pretty standard/routine animated kids movie. The story is set in Spain, and it revolves around a peaceful bull named Ferdinand (Cena). Ferdinand prefers smelling (and protecting) flowers, to fighting. For this he is made an outcast by other bulls, and animals. Ferdinand is seen, by humans, as a great fighting bull though. So he's forced to decide whether he wants to remain who he truly is, or become the violent beast society wants to make him be.The movie is nicely animated, and the characters are well cast. Cena actually makes a decent leading man in the right role, and he shows a decent amount of charisma here (he's kind of similar to The Rock in that way). The story, of an outcast that doesn't want to be who society says he has to be, is one that many can relate to as well. The movie as a whole though, is just really routinely made, and not very memorable. Kids should like it though.",Ferdinand
8,Pjtaylor-96-138044,"This animation is predictable and a little clichéd, but the charming execution highlights its important and resonant central messages.",6,18 December 2017,"'Ferdinand (2017)' does do essentially the same thing in the same way as most other family fare, using its simple story as a way to convey its heartfelt and important central message to all members of its wide audience. Luckily, it also keeps close to the calibre of all but Pixar for most of its longer than usual runtime, while keeping its obvious yet strangely unexplored (for this audience) moral in keen focus. It's an enjoyable experience throughout, one that isn't marred by its absolute predictability or occasional silliness. The way it calmly pushes its peaceful overtones is deftly done, managing to hit me in all the right places even though I knew exactly what it was aiming for from the copious marketing and strangely notorious source novel. 6/10.",Ferdinand
9,ThomasDrufke,BULLy,5,19 December 2017,"There are plenty of animated films that follow the same sort of formula, make the kids laugh with silly humor but keep the adults entertained by throwing in a heartfelt message that resonates well with people of all ages. Ferdinand certainly tries to do just that with the story of an outsider just wanting to break the mold of being a tough fighter bull, but it also falls victim to the same sort of problems that most non-Disney/Pixar films do.It's always so easy to tell the difference between an animated film that is for all ages and one that is merely made for kids dragging their parents to the theater, and it has nothing to do with the animation style difference between studios. The real difference is in the humor and direction. Ferdinand is full of great voice talent from the improving John Cen, to Kate McKinnon, Daveed Diggs, or Gina Rodriguez. Heck it's even impressive in the look of Blue Sky's animation. However, I had a real issue with the use of that particular voice talent and animation that made the experience far from a worthy outing at the movies.When 98% of the humor is physical-slapstick cheap humor that has no substance or bearing on the actual story, then I constantly get the feeling there wasn't as much time or care put forth in the making of the film than there should be. Which in turn, can eliminate any emotion you did have attached with those particular characters in the first place if the film puts humor before heart.With that said, of course there are things to like about Ferdinand. There will always be place in Hollywood for stories about characters breaking the mold and doing something different, whether that be a human, animal, or even toy. Underneath all of the ridiculous humor, there is a nice arc for the character of Ferdinand and his various animal friends. To me though, the misplaced childish humor every few minutes interrupts any momentum for the real story to kick in.5.7/10",Ferdinand
