,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,talented cast,6,8 November 2016,"It's 1985 Tampa Bay, Florida. Family man U.S. Customs Service special agent Robert Mazur (Bryan Cranston) decides to follow the money rather than the drugs. Emir Abreu (John Leguizamo) helps him make connections. Mazur under a false identity uncovers a vast money laundering scheme with banks used by Colombian drug lord Pablo Escobar. After making up a fiancée, his boss Bonni Tischler (Amy Ryan) assigns green agent Kathy Ertz (Diane Kruger) for the role.This real crime drama should be great material especially considering the talented cast. The movie turns out rather flat without intensity. The acting is solid but Brad Furman as the director adds very little to the final product. At times, the intense story gets surprisingly tedious. There is one scene with great potential. His wife gets caught up while they're on their anniversary dinner. There are different ways to button up the scene. She could completely break down or it could be funny if she really enjoyed it. The movie does neither and it ends up being an expected functional ride home. His wife does have two of the better scenes but the actual undercover work could have been more thrilling.",The Infiltrator
1,nogodnomasters,It's a Metaphor,8,24 September 2017,"This is based on a true story and book of Robert Mazur (Bryan Cranston) working as a DEA undercover agent out of Tampa. Mazur gets the idea to ""follow the money"" instead of the drugs. The film is nearly 2 hours of him meeting and chatting with bankers and various members of the Medellin Cartel in project C-Chase which also tied into CIA operations and the BCCI, a later scandal that was so complex, even when broken down and explained, Congress couldn't understand it.The film is a real life crime drama. It has some action just when things are starting to creep. Some killing, some blood, some close calls. No one jumping from roof top to roof top. No car chase scenes, one car crash scene. No one fighting with a bullet in them. Action is bland when compared to modern super cop films.Guide: F-word. Brief sex. No nudity.",The Infiltrator
2,kosmasp,Brutal reality of undercover work,9,12 June 2017,"Some things can feel like a drag. Like being an investigative undercover cop. You don't have much private life and you can't have too many friends. Well outside of the fake friendships you may create to get what you want. And while this does not hit you with a hammer over your head, there are subtle hints and some obvious ones in the portrayal Bryan Cranston gives us.There are quite a few good actors in this and all is based on real persons and a real case. It really is difficult to capture all this and go into all the private moments. Even with two hours running time, there is certain things that have to be left out. But it still is very coherent and very suspenseful, from start to finish. It's not quite Infernal Affairs, but then again what movie is? This is powerful and while the most of the characters are despicable, they are also human beings and the struggle and transformation feels real.Having said that, I do understand if for some this is not enough, one criticism I didn't get is about the music. Soundtrack by the numbers? What is that supposed to be? You can dislike the movie obviously taste-wise, but I would seriously like to know what another reviewer meant by this.",The Infiltrator
3,lee_eisenberg,1980s Florida in all its sleaze,6,18 October 2016,"Bryan Cranston first came to the public's attention as the dad on ""Malcolm in the Middle"", and then had a lead role on ""Breaking Bad"". He has since played roles in ""Contagion"", ""Argo"", ""Godzilla"", ""Trumbo"" and ""All the Way"". Now he gets a role as a US Customs special agent who brought down the drug traffickers' money-laundering organization in the 1980s. The cocaine culture in Reagan-era Florida is remembered from ""Scarface"", and ""The Infiltrator"" shows an equally gritty world. Almost every character is a lowlife. It's a safe bet that the drug traffickers probably paid off a lot of the customs officers, which ensured that the cocaine could pass through unimpeded.As expected, Cranston turns in a fine performance as Robert Mazur, who did what he had to in order to balance his family life with the need to involve himself with a collection of sleazy people. I wasn't as impressed with the rest of the cast. I guess that the rest of the characters seemed underdeveloped. In the end, it's not any masterpiece, but worth seeing.",The Infiltrator
4,LeonLouisRicci,Awkward Expositions Collide - Suspenseful Story Anchored by Cranston's Angst,7,28 November 2017,"A Great Cast does some Fine Acting that Drives this Fractured Movie. It is Split into a Schizophrenic Story that Struggles to Balance the Two Competing Milieus.The Emphasis Switches, not so Seamlessly, from Corrupt Shiny Bankers to Psychopathic Drug Cartels. There is Evil being done with Paperwork and Wetwork and as the Film Unfolds these Things Blur, Disorient, and make the Viewing Experience Less than the Entertainment is should be.However, taking Each Element on its own, both sides of the Issue, (""The Sting""), are Engrossing Enough to Withstand the Ping-Ponging of the Story-Line. It's Bryan Cranston's Picture Portraying ""Real Life"" Undercover Agent Robert Mazzulo and Cranston's Angst Anchors the Movie as the Deceits and Deceptions Determine the Outcome of each Phase of the Case.It's a Good Looking Film with a Soundtrack that doesn't quite Nail the Songs of the Era but it's Not Too Distracting, because the rest of the Production Design is Snappy with its 1980's Template.The Banker/Gangster Expositions Collide now and then with Tonal Shifts and are Awkward, but Overall the Movie is Worth a Watch for some Good Acting and a Supply of Suspense.",The Infiltrator
5,CinemaSerf,A competent study of a shrewd investigator and some crooked bankers...,6,21 March 2021,"OK, first things first - this can be, at times, an incredibly dull film to watch. It is most certainly not an action movie and the pace, at times glacial, does little to create any of the jeopardy required to make this a compelling movie. It simply isn't. What it is, though, is a carefully constructed characterisation of Robert Mazur (Bryan Cranston), an undercover US Customs agent who, rather famously in the 1980s, was part of an international team that cottoned on to an immensely lucrative money laundering operation using the then huge BCCI as a means to move drug money around the world with seemingly childlike ease. His role in the investigation, perilous at times, saw him compromise his own safety, his marriage and the lives of those closest to him as he adopted a sinister alter-ego for whom there were little boundaries. Cranston plays the lead role very well indeed, his ability to switch between characters is presented to us with a rather worrying degree of aplomb that lends a great deal of credibility not just to his part, but to the way in which these glorified confidence tricksters succeeded for quite a while in moving billions of dollars around the globe, despite the regulators' best efforts. Though pretty devoid of actual action, it's doesn't skimp on the depiction of the more violent nature their tasks which, coupled with the degrees of ruthlessness displayed from both sides, adds to the plausible narrative of this film. The supporting cast is a bit more hit and miss: Amy Ryan and Diane Kruger deliver well; Art Malik, Benjamin Bratt and Jason Isaacs less so - and we have a couple of typically charismatic cameos from Olympia Dukakis as his Aunt Vicky who appears to know quite a bit about numbered Swiss bank accounts. It's got something of the documentary about it - and taken in that spirit, it works ok. More the product of a booth in Langley, as ""Jack Ryan"" might say...?",The Infiltrator
6,neil-476,"Good, but doesn't stay in the memory",7,21 May 2018,"Robert Mazer, a US customs official on the point of retirement, sees an opportunity for his undercover drugs operation to be given a revised initiative whereby they will pursue the laundering of drug money rather than the drugs themselves.Bryan Cranston stars as Mazer in this adaptation of Mazer's autobiographical book, which follows Mazer and a small group of fellow operatives into very dangerous territory as, under assumed identities as money launderers, they follow the trail of drug money back through the hierarchy of the Medellin cartel and its satellite organisations. The danger and the growing closeness with his fellow agent fictional fiancée threaten his marriage, a genuine affection grows with one of the drugs cartel and his wife, and an international bank is brought down.Bryan Cranston, as Mazer, is brilliant - why was this man not a star years ago? And the rest of the cast is solid, too, in a film which is essentially a suspense thriller - will they get found out before their infiltration exercise comes to fruition? The story told here is intricate: more intricate than it needs to be in a film which doesn't need the detail, much of which isn't greatly plot-relevant, in order to tell the story. You are left concentrating on intricacies which don't really matter: the real-life denseness, in which every detail mattered hugely, could have been simplified more than it has been, because the main plotline is actually relatively straightforward.And, because of this, and because it retells a real-life story, there are details thrown in which go nowhere. We expect the conventions of film to apply, so when a big thing is made of a gift of jewellery, we expect a major plot pay-off; instead we get a minor sidenote.This is quite a good movie and, I suspect, a pet project of Cranston (he and Mazer are co-credited as executive producers), but it didn't have, for me, the impact it felt as if it expected.",The Infiltrator
7,ferguson-6,Cranston shines,6,13 July 2016,"Greetings again from the darkness. The war on drugs has become a bit of a punchline in the real world, but has proved to be fertile ground for filmmaking: Sicario (2015), American Hustle (2013), Traffic (2000). Additionally, the popular Netflix show ""Narcos"" takes on the same Medellin drug cartel as this latest from director Brad Furman (The Lincoln Lawyer, 2011). The movie is based on the true events of Robert Mazur's book ""The Infiltrator: My Secret Life Inside the Dirty Banks Behind Pablo Escobar's Medellin Cartel"" (a title that's very descriptive, if a bit long).Bryan Cranston continues his impressive Hollywood run this time as Robert Mazur, the man who goes undercover to expose the money-laundering system of the cartel. His flamboyant alter-ego is known as Bob Musella, a character that allows Mazur (and Cranston) to show a side not typically seen. His antics get him inside Columbian Drug Lord Escobar's organization in the mid-1980's.When Mazur realizes the traditional method of chasing the drugs isn't working, he decides the age-old idiom ""follow the money"" might be a better approach. This takes him inside the world of international money laundering, and he learns that banks and governments are quite dependent on this huge business of drug money movement.There are specific groups of people here: the government agencies, the small task force, the corrupt (and appreciative) bankers, the various levels within the cartel, and even Mazur's family  all these forces intertwine to make life difficult for Mazur and his team, and provide a glimpse into the complexities of undercover work.In addition to stellar work from Cranston, the cast is terrific. John Leguizamo plays Mazur's motivated partner Abreu; Diane Kruger plays his undercover fiancé; Juliet Aubrey is Mazur's real life wife who doesn't much appreciate his declining the early retirement offer; Olympia Dukakis provides a dash of comedy relief as Mazur's Aunt; Yul Vasquez is the creepy money manager for Escobar; Benjamin Bratt plays Roberto, Escobar's right-hand man and the key to Mazur's case; and Elena Anaya (The Skin I Live In, 2011) is Roberto's wife. Also present are Amy Ryan, Jason Isaacs and the always great Michael Pare.There are a couple of standout scenes – one involving chicken and voodoo, and another with a briefcase mishap, but my favorite is the Happy Anniversary cake scene in the restaurant where Mazur flashes his alter-ego Musella for his real wife to see  and she is understandably stunned.The movie does a nice job of capturing the look and feel of the era (30 years ago), but it's somehow missing the elevated suspense it portends to drag us and the characters through. Some elements seemed impossible to believe – why would Mazur risk his family's safety? The timeline was a bit muddled. We aren't sure how much time has passed, but there certainly don't seem to be enough interactions before Roberto is telling Mazur he is ""like family"". It plays a bit like those romance movies where the two leads are head over heels in love after a conversation or two. An element is missing and it affects the level of tension throughout the film. And that's something even a Leonard Cohen song (""Everybody Knows"") can't fix.",The Infiltrator
8,phd_travel,"Timely, relevant and completely fascinating",9,25 August 2016,"The movie isn't perfect but when it is good it is really good. There are so many interesting aspects about the drug war that haven't been shown so centrally on film before - the white collar financial type undercover DEA operation and the money laundering aspect. This movie is timely and relevant. It's fascinating to see the money laundering by BCCI. And right now the money laundering scandal with the Malaysian fund 1MDB stretching from the U.S. to banks in Singapore is playing out. Drug movies have to be shooting a minute action movies to be exciting.Brian Cranston is as always watchable and sympathetic. It takes a moment of getting used to him on the other side of the drug war and Walter White comes to mind now and then. Diane Kruger shines as a DEA undercover agent posing as his fiancé. She is convincing, watchable and beautiful. She needs more feature film roles.There are a few faults: it's a bit confusing who some of the minor drug characters are and which side they are on. Some things leave you a bit confused and should have been clearer. Please give this movie a chance - don't give up if the start is a bit slow. This is a true story that deserves to be widely known. If you enjoyed Narcos so far this is a real treat.",The Infiltrator
9,deloudelouvain,Saw better about this subject.,6,25 December 2016,"I have to admit I had high expectations before watching The Infiltrator. The story, the cast, it had everything to make it an excellent movie night. But after watching it I'm slightly disappointed. It didn't deliver like I was hoping for. Nothing bad to say about the actors though, because they we're all good. It's just the story that is not captivating enough. Too slow with not enough action. Add on that that you have a ton of movies or series about this subject and a lot of those are better then The Infiltrator. I hoped seeing more about the life and business of Pablo Escobar but it's more about the infiltrator then about the drug lord himself. If you want more action and more about Escobar just watch the series Narcos instead. Okay that will take you much more time to watch but it's worth it. All in all The Infiltrator isn't that of a bad movie. It just could have much better.",The Infiltrator
