,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,A Rock and Roll Fable,7,23 January 2016,"Ellen Aim (Diane Lane) is the lead singer of Ellen Aim and the Attackers. While performing a concert, she's kidnapped right off the stage by Raven (Willem Dafoe) and his motorcycle gang which has been harassing the neighborhood. Reva asks her brother Tom Cody (Michael Paré) to come home and rescue his ex-girlfriend. He befriends tomboy mechanic McCoy (Amy Madigan). They are hired by Ellen's manager and boyfriend Billy Fish (Rick Moranis).I like the neon-colored Rock-and-Roll alternate-universe 50s era. It's weirdly energetic and compelling. Sexy Diane Lane starts it off with a rock performance. This reminds me of Walter Hill's other fable The Warriors except I like this more. Michael Paré used to be leading man material for about two seconds around this time. His masculine ruggedness fits this material. This doesn't work if one takes this too seriously. It's fun like a comic book movie.",Streets of Fire
1,boblipton,"Unfortunately, They Didn't Toss the Camera Negative Into The Streets Of Fire",1,30 April 2019,"After the success of 48 HOURS, producer Joel Silver put together this movie using the same writer and director and I certainly hope this is the worst movie that Walter Hill has or will direct. Michael Pare is hired by Rick Moranis to rescue his girl friend, Diane Lane, from a motorcycle gang led by psychotic Willem Dafoe and recruits ex-army Amy Madigan to help. Not one of these illogical, paper-thin characters can speak an overwritten line without sounding like they just want to get through the scene as fast as possible.Apparently Walter Hill didn't want to leave California, so they built a Chicago in Hollywood, then sent a second unit to the Windy City, taking particular care that nothing matched. Other actors whose careers survived this turkey include Bill Paxton, Robert Townsend, Mykelti Williamson, Lynn Thigpen, and Ed Begley Jr.",Streets of Fire
2,claudio_carvalho,A Stylish Homage to Rock & Roll,7,21 April 2008,"When the successful rock and roll singer Ellen Aim (Diane Lane) is kidnapped by Raven Shaddock (Willem Dafoe) and his motorcycle gang The Bombers during a concert, the fan and owner of a bar Reva Cody (Deboran Van Valkenburgh) writes a telegram to her brother and Ellen's ex-boyfriend Tom Cody (Michael Paré) asking him to return to Richmond. Tom meets the former soldier McCoy (Amy Madigan) in town seeking for job and they are hired by Ellen's manager and boyfriend Billy Fish (Rick Moranis) to rescue Ellen. Tom, McCoy and Billy travel in a car in a journey to the Battery, burning down the streets of the dangerous neighborhood.The cult ""Streets of Fire"" is a stylish homage to rock & roll. This movie has a awesome soundtrack with many wonderful songs of Ry Cooder and charming characters performed by the sexy Diane Lane; the annoying Rick Moranis; the funny Amy Madigan; the great villain Willem Dafoe; and the troublemaker ""good guy"" Michael Paré. In the end, this underrated movie is a great entertainment. My vote is seven.Title (Brazil): ""Ruas de Fogo"" (""Streets of Fire"")",Streets of Fire
3,kosmasp,Flawed and rough gem,8,25 September 2019,"I only got to watch this recently in a really good movie theatre in London (Prince Charles). They had the analog ""copy"" of the movie and it had all those flaws you have or had back in the day when movies where shown from film reels. But those are not the flaws I was talking about.No the movie has some issues story wise, the main character is quite the rascal and there are many other (even smaller things) you can take issue with. But if you do that, you will rob yourself of a lot of fun. Because Rick Moranis is quite the discovery in this one. I guess discovery may be a bit of a big word (Ghostbusters, Little shop of horrors and many more), but he really helps with the fun factor and the entertaining.Old school with a lot of machismo going around and a lot of things you will be offended by ... if you are easily offended and if you don't take into account when this was made ...",Streets of Fire
4,gavin6942,A Culty Cult Movie,6,9 May 2017,"A mercenary (Michael Pare) is hired to rescue his ex-girlfriend (Diane Lane), a singer who has been kidnapped by a motorcycle gang.This film has the word ""cult"" stamped all over it. Set in ""another time, another place""... which is basically the 1980s mixed with the 1950s, with stranger outfits and hair. I mean, really, what is going on with Willem Dafoe's wardrobe -- he looks like a fisherman who got a makeover at a gay bar.The film excels in many ways, with good music and many stars at the beginning of their career, including Dafoe and Bill Paxton. Michael Pare was probably peaking around this time, with all due respect to him. And then Rick Moranis... he probably gets more screen time here than anywhere outside of the ""Honey, I Shrunk the Kids"" franchise.",Streets of Fire
5,ma-cortes,Wonderful adventure in comic-book style with attractive images and pulsating rock soundtrack,7,5 September 2015,"Enjoyable urban/modern Western combined with rock 'n roll , displaying a satisfying and impressive directorial by Walter Hill . It is an entertaining compendium of noisy action , rock music , a love story , sadistic as well as violent bikers , fights , state-of-the-art frames and many other surprising things . A famous female rock singer called Ellen Aim (Diane Lane) is captured by a motorcycle gang led by Raven (Willem Dafoe) . As an embittered mercenary named Tom Cody (Michael Pare) goes after his ex-Sweetheart who has been kidnapped by the cruel band .It's a diverting action/thriller/musical with adventures , non-stop action , shootouts , breathtaking scenarios ; but also melancholy , friendship , unlovable camaraderie , emotionalism and including marvelous songs . Gorgeous scenarios set to rocking backbeat , mostly in sumptuous interiors , reflecting wonderfully the luminous spaces filled with neon lights , they are splendidly photographed by excellent cameraman Andrew Laszlo , and mainly on a soundstage . It is an enjoyable storytelling set in a mythic world that combines a futuristic feel with 1950s styles and attitudes . Impressive and evocative musical score by Ry Cooder , Hill's ordinary musician , adding catching songs . Nice acting by Michael Pare as two-fisted hero , a former boyfriend who sets out to save his ex-girlfriend , an enticing female rock star well played by Diane Lane . Stunning support cast , plenty of familiar faces such as Rick Moranis , Deborah Van Valkenburgh , Richard Lawson , Rick Rossovich , Bill Paxton , Robert Townsend , Mykelti Williamson , Elizabeth Daily , John Dennis Johnston , Stoney Jackson , Lee Ving , Peter Jason , Ed Begley Jr , among others . And special mention for Amy Madigan , a tomboy playing a tough warrior woman who helps starring to take on the nasty biker finely performed by Williem Dafoe .This stylized retelling was very well directed by Walter Hill , a Western expert , such as he proved in ¨Will Bill¨ and ¨Long riders¨ . Hill's skillful direction is assured and firm and occasionally quite inspired . Director Walter Hill gets too much experience on western genre , thus : ¨The long riders¨ , ¨Will Bill¨ , ¨Geronimo¨, and ""Broken Trail"". Besides , he has directed modern westerns such as ¨Streets of fire¨ , ¨Extreme prejudice¨ and ¨Last man standing¨. His best Western called ¨Geronimo¨ was followed , by his biggest hit to date, ¨ 48 hours¨ and with a sequel¨ Another 48 hours¨ . Since then, his movies have not made huge amounts at the box-office, though the best of them ¨ Streets of fire¨ retains a certain primitive drive strangely to be found elsewhere . Rating : Better than average and well worth watching for the proficient film-making . It's a magnificent movie , and an unforgettable , unchallenged classic modern flick.",Streets of Fire
6,moonspinner55,It's all dry-ice smoke and mirrors,5,30 November 2003,"Send-up of 1950s rock-and-roll flicks has a slicker look and a far bigger budget than those ever did, however the plot is just as slight: tough drifter attempts to rescue ex-girlfriend/gorgeous rock singer from the sneering leader of a motorcycle gang. Full of intentionally campy dialogue, fun supporting performances by Rick Moranis and Amy Madigan, but not much going on emotionally at its core. Michael Pare and Diane Lane are very pretty yet very placid, and the Meatloaf sound-alikes on the soundtracks don't give the musical numbers the lift they need. Lots of noir-ish neon and wet streets, but little fire. ** from ****",Streets of Fire
7,Quinoa1984,"a dynamic rush of rock & roll, pulp comic book filmmaking, but...",7,27 May 2016,"How do I describe this movie? It's kind of like Walter Hill made his own Sin City in the early/mid 80's, but also as a rock and roll (semi) musical with throwbacks to the 1950's while at the same time still being very, very 80's. Those throwbacks are in the music somewhat too via a score by Ry Cooder (and keep in mind this was the same year he also scored Paris, Texas, just think about the versatility for that), and of course with the biker imagery and rockabilly aesthetic. And the movie has quite the cast - Diane Lane as a Pat Benatar-ish singer in one of her early roles; Rick Moranis as the jerkish manager (and Lane's character's boyfriend, for reasons); Willem Dafoe as... hell, it's Williem Dafoe as a villain in the 80's, isn't it a full price ticket already? I think the strongest thing about this is Hill's vision as a director. This is clearly a personal movie for him, though it also acts as like the B-side to the A-side of The Warriors: that movie was better put together and more cohesive (the mission at the core was something to follow easier as it was over a night), but they both come from the same wild comic book look and feel. The locations this is set in (somewhat in Chicago and somewhat in Los Angeles) are designed to be in the past and the future, but it's to the point where you can't distinguish one from the other. That's good, and it makes it into this wonderful alternate reality where pop culture tropes, from the diner to the rock club to the down and dirty biker bar with the Zoot-Suit-Riot type of dance to the way everyone dresses, it makes for a visually unique spectacle. Oh, and Hill is solid here at directing action and violence, which you'd expect coming from the 79 movie and others he's done.Even the star, Michael Pare as Tom Cody(and don't worry you won't forget that name the number of times its said, first and last name), feels like he's ripped from the pages not from comics of the 80's (though maybe there's some Frank Miller scraped off on him unintentionally) but from a pulp comic from the *50's*. So when he has Pare act the way he does here - often with stoic looks and without really doing much in the way of, you know, anything but declarative statements and orders - I kind of like it because it fits the feel of the whole place. Is it the *best* actor that could've been in the role? No, but he does the best with it that he can.Where it falters is in portions of the script. The first half has a clear trajectory because it involves Tom Cody getting a message from his sister to come back to save his ex-girlfriend (Lane's Ellen Aim) from the clutches of the biker Dafoe and his gang to his hometown (he's been away at the army following, I suppose in this world, juvenile delinquency). This part is fun and engaging, albeit with Moranis committing to a role that's obnoxious, and I'm not sure if it's his performance or the character. But once this mission is done the movie kind of flounders on what we can expect to happen: the Dafoe biker will come back to get the girl (and Dafoe is maybe the best part of the movie to be fair so any screen time he gets is welcome), and that Pare and Lane will bicker back and forth with Moranis in the middle. Indeed a lot of the dialog the characters get to say, even Amy Madigan in a well acted tough guy role given to a woman (a nice decision on Hill's part), is rather nasty and just full of mean spirit.Does that make the movie bad? Not all of it, but Streets of Fire is an experience that ends up waxing and waning for me, to the point where in the second half I wondered if it was a *good* movie or more of a guilty pleasure trip into a Hollywood director's headspace where he practically had carte-blanche (post 48 Hours). And along with the flaws in the story there's a reliance on ridiculously fast editing to the point where you realize this is what critics meant at the time when they went after movies with ""MTV style editing"". And Hill and his editor have a lot of good decisions here, but the montages make it dated in such a way that I was reminded of Purple Rain from the same year, only FASTER!With all this said, I did have fun with Streets of Fire, from Cooder's fantastic score to the performances that worked to the emotional finale that just reaches out and doesn't give a flying f*** about what you think of it going into camp. The logical part of my brain can pick it apart till the cows come home, but as far as it being an experience to soak in all of the full on CINEMATIC tropes it works.",Streets of Fire
8,tavm,"Having missed this movie so many years ago, I'm so glad I finally watched Streets of Fire",9,22 July 2010,"After about 25 years, I finally watched this underrated Walter Hill film that not only had several action sequences but also a few complete musical performances that just blew my breath away. I mean, seeing Diane Lane in the opening and closing numbers were some of the most awesome scenes in this movie. By the way, that's not her singing but that of Holly Sherwood. Another singer, Laurie Sargent, also dubs her in another musical segment. Her, I remember from the video ""10-9-8"" with her group Face to Face, who portray Lane's group The Attackers, whenever it showed on the TBS weekend late night music video compilation show ""Night Tracks"" during the '80s. Anyway, Michael Pare plays the antihero lead Tom Cody who agrees to rescue former flame Ellen Aim (Ms. Lane's character) from the clutches of Raven Shaddock (Willem Dafoe) for a price. Rick Moranis-as Aim's manager Billy Fish-agrees to provide the dough while Amy Madigan-as the tough-as-nails McCoy-tags along. Along the way, we meet Cody's sister Reva (Deborah Van Valkenburgh), Clyde the Bartender (Bill Paxton), Bill Gunn-the guy who reveals where Ellen and Raven are (Ed Begley, Jr.), Greer-one of the members of Shaddock's gang: The Bombers (Lee Ving), and the musical group The Sorels of which two of those members are B.J. (Mykelti Willimson) and Lester (Robert Townsend). I'll stop there and just mention that I found the whole thing awesome with the look of the picture especially when they showed those subway trains that I actually rode on when I briefly went back to my birthtown of Chicago, Ill. as a 10-year-old kid in the summer of 1977. And most of the dialogue-courtesy of Hill and Larry Gross-just cackles with atmosphere, especially when Pare, Madigan, and especially Moranis put in their two cents as their characters. In fact, this is quite a departure for the latter as he usually is more comically nerdy compared to the more straight character he plays here though he gets some point-on wisecracks. And all the songs are just so great especially when they're written by such luminaries as Lieber & Stoller, Stevie Nicks, and Jim Steinman. And what about that score by Ry Cooder with some help by Jimmy Iovine! In summation, Streets of Fire was just such a cool movie to watch so that's a high recommendation. P.S. One of those great songs was ""I Can Dream About You"" which The Sorels lip-synced to Winston Ford's vocals though the single release was performed by that song's writer, Dan Hartman, who was previously known for singing on The Edgar Winter Group's ""Free Ride"" as well as the Disco hit, ""Instant Replay"". The dancer on the table at Torchie's was one Marine Jahan who the previous year was revealed to be Jennifer Beals' dance double in Flashdance. Besides knowing Moranis from ""SCTV"" and some other movies and Ed Begley, Jr. from ""St. Elsewhere"", I also recognized Deborah Van Valkenburgh from ""Too Close for Comfort"" and Lee Ving as the lead singer of the punk band Fear when they appeared on ""Saturday Night Live"". And since I just mentioned that I was born in Chicago, I also feel like noting the other players that came from there: Amy Madigan-who graduated from Marquette University which is where one of my younger sisters also finished school, Robert Townsend, and Kathy Griffin who appears as a concert goer here.",Streets of Fire
9,hitchcockthelegend,"Bombers, Blasters, Attackers and Streets of Fire.",9,18 April 2015,"Streets of Fire is directed by Walter Hill who also co-writes the screenplay with Larry Gross. It stars Michael Paré, Diane Lane, Rick Moranis, Amy Madigan and Willem Dafoe. Music is scored by Ry Cooder and cinematography is by Andrew Laszlo.When the lead singer of Ellen Aim and the Attackers is kidnapped by biker gang The Bombers, her ex-soldier of fortune boyfriend is contacted and hired to go get her back...There were a couple of movies released in 1984 by maverick directors that were frowned upon at the time, but are now significantly held in high regard and define the saying ""cult movie"". One was Alex Cox's Repo Man, the other was Walter Hill's Streets of Fire.Streets of Fire is a bastard hybrid of ideas and influences. In part a rock opera set to the backdrop of blink blink blinkity blink neonvillle, an unnamed place that lives and breathes between 50s angst and 80s futurism, in others it's a straight forward road/mission movie headed up by an anti-hero taking notes from Snake Plissken whilst jostling for cool space with Kyle Reese. It's a film, that by Hill's own admission, is unashamedly a collage of things he finds cool in cinema. Yet this is not a detriment to the pic, the narrative is straightforward as can be and Hill throws everything he can into the mix, and it works.In essence it's a live action comic book, it knows it's just a film and has no pretencions to seem remotely real life. The look is wonderfully flamboyant and campy, where the hero and villain wear braces and PVC overalls respectively. The girls are a mixture of a teenage diva babe and a beer swilling roughneck babe. The city itself is a vibrant mix of colours and carnage, beauty and beats, and where the streets literally are on fire. Hill weighs in with his adroit flair for action, always kinetic, while the soundtrack rocks and the dialogue bubbles with self aware glee. Cast are super, some sexy and tough, others weaselly and weak, but all pumping the pop culture blood through the veins of the movie.With style and cool to burn, both only beaten out by the action quotient, Streets of Fire is an ode to live action fun. And watching it now you can see just how it has influenced many a film maker post its release. Streets of Fire, one bad ass bitch funky sex machine. 9/10",Streets of Fire
