,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,"Too childish, and without the poignancy of 'The Breakfast Club'",5,24 December 2013,"The airport is snowed in, and all flights are canceled. All the unaccompanied minors are rounded up and put in a locked room. Wilmer Valderrama tries and fails to control the rambunctious lot. Five kids (Tyler James Williams, Dyllan Christopher, Brett Kelly, Gia Mantegna, Quinn Shephard) escape and run rampant.The four main kid leads are perfectly likable with good chemistry. This could have been 'The Breakfast Club' lite. I think director Paul Feig is trying for that feeling. But the script doesn't have it. Lewis Black is way too outlandish as a villain. There is way too much childishness. Unlike 'The Breakfast Club', this doesn't have the insightfulness or the relevance. And bringing out 'The Kids in the Hall' make no difference at all. It could have been so much better.",Unaccompanied Minors
1,jboothmillard,Grounded,3,3 December 2010,"Described as Home Alone in an airport, this sounded like an easily digestible Christmas themed film, as it turned out, it was slightly difficult to swallow, you might easily choke on how lame it is. Basically six children, Spencer Davenport (Dyllan Christopher) with sister Katherine (Dominique Saldaña), Timothy 'Beef' Wellington (Brett Kelly), Charlie Goldfinch (Everybody Hates Chris's Tyler James Williams), Grace Conrad (Gina Mantegna) and Donna Malone (Quinn Shephard) have all arrived on Christmas Eve at the Midwestern Hoover International Airport. As unaccompanied minors they are made to wait in the UM room until further notice, but Spencer, Beef, Charlie, Grace and Donna escape with the start of a big squabble, and they explore the airport to wreak havoc. Eventually, after getting underage manicures, playing with emergency equipment, ordering and eating food without paying, messing in a toy shop, and destroying things, the children are caught. As punishment, airport boss Oliver Porter (Man of the Year's Lewis Black) says the five troublemakers are not allowed to go to the hotel provided as a result of being snowed in with no operational flights. With the not so effective Zach Van Bourke (Wilmer Valderrama) keeping an eye on them, it is easy for the kids to escape again, and while Beef goes in search for a Christmas for Spencer's sister Katherine, a big believer in Santa and the Christmas spirit, the rest stay in the airport. The four kids are hiding in the unclaimed luggage hold, opening bags and playing with the contents inside, and they are lucky to escape from Mr. Porter again, and Spencer to get a doll as a present for Katherine. Finding walkie talkies with video recorders, the kids escape and manage to get outside to sledge to the hotel where Katherine and other kids are being held, but Mr. Porter catches them on arrival. The four kids are placed in separate prison style rooms with the walkie-talkies handy to talk to, but also to record themselves on video to put over the camera and escape through the above vents. They drop into the room where all the Christmas decorations have been hidden, and Beef returns with a Christmas tree, so Spencer and the gang decide to decorate the airport with all the stuff. Mr. Porter does spot them in the act, but his heart is changed for the good, and meanwhile Spencer's environmental father Sam Davenport (Hot Tub Time Machine's Rob Corddry) is close to getting to them, despite some mishaps. In the end, Christmas Day, all the people in the airport wake up to decorations, Katherine's Christmas spirit is confirmed with a present and the arrival of Mr. Porter dressed as Santa, and all the kids promise to keep in touch. Also starring Paget Brewster as Valerie Davenport and Jessica Walter as Cindi. The critics got this right that this is more for the younger audience, the kids are typical Breakfast Club style characters that are mischievous and then touchy-feely, and it is filled with pretty tedious meant to be funny moments, a rather dull Christmas comedy. Adequate!",Unaccompanied Minors
2,Scarecrow-88,Unaccompanied Minors,5,7 December 2019,"Youths without parents are stranded, as other adults, at an airport on Christmas Eve. Lewis Black operates the airport, stuck as others at the airport, robbed of his vacation, looking to keep the kids either at a nearby lodge or at the UM room (basically a dreary, concrete-floored cell), and out of his hair. That doesn't go according to plan as frequent flying tech geek, Charlie Goodfinch (Tyler James Williams, always fainting at the sight of Santa for some reason and seemingly emotionally attached to ""womb-like"" enclosed spaces), AV Club nerd, Spencer Davenport (Dyllan Christopher), quiet, ""beefy"" Timothy (Brett Kelly; Bad Santa), boarding school lonely ""rich kid"", Grace (Gia Mantegna), and ""touchy"" attitudinal, Donna (Quinn Shephard) decide to leave the UM room and traverse the airport, raking up restaurant and massage/therapy bills, driving security cruisers, and intruding upon a security equipment room. Once corralled and returned to the UM room, Spencer realizes his blond sister, Katherine (Dominique Saldaña), has been taken to the lodge, determined to get to her and leave behind something from Santa so she won't be disappointed. That's it in a nutshell as Black and his security staff loses the kids, finds them, loses them, etc. The airport is the main setting with the lodge a visitor to the film on occasion as Valerie is tormented by a stewardess' (Jessica Walter) daughter (her braces seem to be a visual cue that she's unbearable), ""babysat"" while getting her hair braided and face painted with an overt makeup job. Nothing special, this might end up being a nostalgia trip for millennials and its holiday spirit heart is in the right place, so that might help. Black has to keep his usual potty-mouth PG so he's more or less a punching bag for disgruntled lodge customers, luggage in the floor, and trips down snowy landscape in a kayak...he does get the Scrooge redemption treatment as Spencer realizes after a calmer conversation at the end that he isn't a Christmas guy because of family strife. Wilmer Valderrama plays his character completely absent any silliness, Black's oft-mistreated lackey, stuck with the kids, losing them as well. He does help them at the end to find Valerie and does assist in providing all those stuck at the airport with a nice bit of Christmas cheer once the stockroom keeping all the seasonal stuff put up are freed, decorating primarily one area to get some smiles from many left inside during Christmas Day. I will say, my kids loved the film, maybe because it was like an adventure for the main youths loose in the airport, evading Black and his white-suited security staff (which included Kids in the Hall alums, playing musical chairs in boredom, and Rob Riggle, going to his tried and true adult idiot routine, often tripping or fumbling instead of successfully proving his employment was just), who often prove time and again that airport security hiring practices should be revised and improved. The youths are appealing enough, although they cause a lot of unneeded trouble to Black and his team. Such melodrama includes the Davenports' mom, Valerie (Paget Brewster) freaking out at her sister's obsessively Christmassy home (Teri Garr) and father (Rob Cordrry), in his bio-fuel car in Pennsylvania, trying to reach the airport and having to deny his clean/green philosophy by driving a fossil fuel consuming Humvee after a disastrous explosion involving diesel. A lot of familiar faces include The Office castmates, Mindy Kaling and BJ Novak, Tony Hale of Veep as a lonely holdover customer who gets a present from Santa, and Kristen Wiig (who I somehow missed). Chase scenes, vent escapes, camera illusions, and baggage claim (poor Charlie in a suitcase, endures quite a trip, flipped, tossed, and bounced quite a bit while inside) adventures ensue. I think this is mostly forgettable, and ultimately the plot is really thin, with little surprises to be had. Black tries, man, he does. Probably very limited in the audience that it will appeal to. The young actors, to their credit, aren't without their charms. Little couplings develop during their night/early morning journeys in the airport.",Unaccompanied Minors
3,Sylviastel,My mom's boyfriend says that Christmas is when Frosty the Snowman fights the devil.,7,10 July 2019,"This film might appeal to families and younger viewers. I didn't even know about it until I stumbled at the dollar store. It's a cute premise about kids who travel without their guardians or parents. They're stuck at Hoover Airport during a blizzard on Christmas Eve. Lewis Black has a starring role as a miserable pilot whose flight to Hawaii gets canceled. Wilmer Valderrama is good as the appointed temporary carer of two siblings, Spencer and Katherine. Their mother is back home with grandmother (played by Terri Garr). Their father must find a away to get to the airport. The airport was ill-equipped to handle so many children. It's like Lord of The Flies down there. The film has it's moments too. Brett Kelly who was awesome in ""Bad Santa"" played one of the kids here too.",Unaccompanied Minors
4,StevePulaski,The island of misfit minors,3,16 December 2012,"Unaccompanied Minors blows such a grand opportunity for a kids film, so much so that sticking around to the end is a chore because you see so many ways the film could've subverted its dead end cliché material and watching it stay gridlocked to cheap, disposable schlock of the least common denominator is painful to say the least. With the wealth of talent and directorial experience on recognizably professional TV shows, I would've expected director Paul Feig to give this film proper guidance into sustainable entertainment and not that of a facile nature.The film stars a wealth of talented youngsters that you hunger to see in better material. They are all ""unaccompanied minors,"" planing to fly alone to travel to one place or another for Christmas, when all the flights at the airport are unexpectedly grounded because of an enormous blizzard that has consumed the entire town. We first meet Spencer and Katherine Davenport (Dyllan Christopher and Dominique Saldaña), who are scheduled to fly to Pennsylvania to spend Christmas with their father, but are instead, transferred to the ominous U.M. room when their flight is cancelled.And what a room this ""U.M. room"" is. It's the most archaic sight in a kids' movie since watching Eddie Murphy, Jeff Garlin, and Steve Zahn get man-handled by a bunch of rugrats in Daddy Day Care. The room is crawling with about fifty or sixty ankle-biters, running lawlessly throughout the large, mundane room. The dopey but somewhat likable Zach Van Bourke (Wilmer Valderrama) is conned into watching the kids, but after he is tackled, several kids manage to escape and run wild in the airport. They are prettygirl Grace (Gina Mantegna), smart but overly-goofy Charlie (Tyler James Williams), sensitive Donna (Quinn Shephard), and the quiet Beef (Brett Kelly). They are captured by the head of passenger relations Oliver Porter (Lewis Black), and sent back to the ominous room, where the activity has died down since the remaining unaccompanied minors were taken to a quiet lodge for the night, but the six kids manage to sneak out once more, with Spencer desperately trying to get a doll delivered to his sister, who is now at the lodge.All the kids here are great and can be very effective in better material. We already know the capabilities of Brett Kelly, who was perfectly cast in Bad Santa, but here, he is made into the bumbling, mysterious fat kid, who we know even less about at the end of the film than at the beginning. Tyler James Williams of Everybody Hates Chris fame works well in his little role, but after a while, his character, much like he would in real life, becomes a pain to deal with. An nerdy, confused, quirky little albatross.We could think of these five kids as misfits and the airport as their island. This already poses an interesting setup. But, unfortunately, writers Jacob Meszaros and Mya Stark make the film nothing more than a collection of slapstick gags, and only incorporating the ideas of divorce, loneliness, and being an outcast as little minor character backstories the film chooses to do noting with. I believe that many, many kids would be more interested in watching kids go through and handle the same problems they possibly are going through rather than lumber around setups concocted from a fourth graders daydream.Starring: Dyllan Christopher, Dominique Saldaña, Tyler James Williams, Brett Kelly, Gina Mantegna, Quinn Shephard, Lewis Black, Wilmer Valderrama. Directed by: Paul Feig.",Unaccompanied Minors
5,MLDinTN,not sure why anyone over the age of 10...,3,24 December 2007,"would give this movie a good review. I was expecting much better after reading several positive reviews of this film. Maybe those reviews were posted by little kids, because I think that is the only audience that would enjoy this film. I found it silly and not really funny. Sure kids getting into trouble, making adults look foolish can be amusing, but it doesn't make a great film. Basically, the movie is about some kids, who are traveling alone, get stranded at an airport over Christmas. They are all put in this room where everyone is going wild. They escape and cause havoc all over the airport for the airport customer guy. In the end, they want to spread some Christmas joy for all the stranded passengers.FINAl VERDICT: Not funny. Maybe kids would like it, but skip it if you're over 12.",Unaccompanied Minors
6,UniqueParticle,Absolutely love this movie - I'm among very few too,10,4 December 2020,"Such a joyful Christmas story about a bunch of kids without adult supervision, love the way everything plays out! Might be odd but it's comforting to me when I see this. Lucas Black is a goldmine of entertainment along with the rest of the cast! The dialogue is pretty solid for what it is.",Unaccompanied Minors
7,DarkVulcan29,"It's Home Alone, The Terminal, and The Breakfast Club all rolled up into one.",8,17 December 2006,"This movie is every kids fantasy, and is every adults worst nightmare. This movie makes the kids the hero's, and most of the grown ups the villains. This movie takes place in an airport on Christmas Eve, where six kids are forced to stay over night, when there flight gets canceled due to bad weather, under the strict watch over airport manager Oliver Porter(The very funny Lewis Black), but these kids are not gonna sit still and be bored, they are gonna make this a Christmas to remember, by having fun and trying to outwit Mr. Porter and airport security. This is a fun movie for the whole family, everybody performs well, but it's Tyler James Williams(Everybody Hates Chris) as Charlie Goldfinch who seems to steal the movie, with his flair for comic timing, I hope he has a long career ahead of him.",Unaccompanied Minors
8,kairingler,airport full of kids,5,3 June 2014,"A bunch of teenagers get stranded at a huge airport, and then decide to take it over and have a holiday of their own. apparently a bunch of vacation plans were made,, kids get dropped off, and all of a sudden Mother Nature decides that she has other plans,, stranding all the kids without adult supervision from their parents,, all that is left to keep the peace is Airport Security.. now you have teenager run amok in the airport,, so the antics start to fly fast and heavy,, lot's of laughs and pranks along the way,, you get to learn a little bit about a few of the character in the movie and such,, and one of the children tries to help one of the adults at the airport find his family or something along those lines,, all in all not a great movie,, but not a bad movie either,, pretty much right in the middle of the road.",Unaccompanied Minors
9,aidanratesmovies,Kill me now!!!,1,9 November 2021,"A horrendously unfunny family Christmas comedy, Unaccompanied Minors is about as worse as it gets, with its only pros being a single good joke and being better than The Santa Clause 3...slightly. 2006, a year of debatably the worst Christmas movies ever made. Among the critically panned duds that were released this year was of course the previously mentioned Santa Clause 3, Deck the Halls, the 2006 Black Christmas remake, and this monstrosity. This film is so incredibly cringeworthy to watch at times that it actually hurt my soul. Never before have I seen such dreadful kid actors, and a film in such need for a decent screenplay. As horrible Santa Clause 3 was, at least it had a freaking plot, this film has almost nothing. And it's not just the kid actors that are horrendous throughout the film, but all of the adults as well, with extraordinarily bad performances from actors Rob Riggle, Lewis Black, Rob Corddry, and more. The film tries so hard to be funny all the time, and so hard to have any significant value, when it is incredibly clear they are all grasping at straws. The plot makes no sense, and the situations can be just cruel, it's a weird and twisted unfunny little kids flick that is bound to break the strongest of movie watchers- and I never want to see it again.My Rating: 1/10.",Unaccompanied Minors
