,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Claustrophobic submarine thriller is a real treat,9,23 November 2016,"U-571 garnered a lot of negative publicity on first release, due to the fact that it's completely historically inaccurate – the Brits were the ones who captured the first Enigma machine, not the Yanks. Still, inaccuracies aside – and let's face it, a LOT of Hollywood films are far from the truth – it's best to remember that this is a movie, nothing more, nothing less, designed to entertain and that's it. And I'm pleased to say that it's VERY entertaining.Submarine thrillers have been fairly rare over the last couple of decades; everyone remembers DAS BOOT, the classic German miniseries, but there are no films so to speak of other than THE HUNT FOR RED October and CRIMSON TIDE. U-571 seeks to re-address that, presenting a taut thriller that mainly takes place in a single location. The good news is that Jonathan Mostow is the director, and he wrings every ounce of suspense, tension, and atmosphere from his confined setting. Mostow is that rare beast – a director who manages to turn even lacklustre scripts into entertaining movies; see TERMINATOR 3 for a case in point. His earlier BREAKDOWN, a fantastic thriller with Kurt Russell, remains a favourite and U-571 is just as entertaining as that movie.Being a Hollywood movie, there are the requisite number of clichés and outlandish situations, but the premise seems fresh and the film is bolstered by some brilliant action scenes that make great use of CGI effects for a change. The cast have no choice but to give it their all; this is an ensemble outing and there's no hiding from the camera. Harvey Keitel is fine as the elder statesman, letting his younger co-stars do the hard work; Matthew McConaughey, an actor I usually dislike, is actually very good as the wannabe-captain. Elsewhere, the well-established likes of Bill Paxton and Elias Koteas fill out character roles, and there are two unusual casting choices: a bit part for cheeky chappy Robin Askwith, best known for his performances in '70s comedies like CONFESSIONS OF A WINDOW CLEANER, and a supporting role for musician Jon Bon Jovi, who is actually pretty decent. This is a frequently edge-of-your-seat film that packs in some great twists. After the initial set-up it keeps pounding away until the ending, and I enjoyed every minute; a minor classic for sure that just looks better and better as the years pass.",U-571
1,SnoopyStyle,Lots of water and lots of action,5,3 September 2014,"In the spring of 1942, the U-boats are taking a toll on Allies shipping. The Allies need to capture an Enigma machine and code books without the Germans knowing it's gone. Lt. Tyler (Matthew McConaughey) thinks he deserves his own command. However there's a special mission for him to use an old U-boat to pose as the resupply boat to capture a disabled German U-boat and steal their intel before they can destroy it. Lt. Cmdr. Dahlgren (Bill Paxton)is the skipper. Lt. Hirsch (Jake Weber) is a German speaker with the special mission. Maj. Coonan (David Keith) is naval intelligence. Just when they succeed in capturing a disabled U-boat, their boat is attacked and sunk leaving them a crippled boat in enemy waters but they can't contact home or else the Germans will know that their codes are compromised. Harvey Keitel, Jon Bon Jovi, Erik Palladino and Will Estes play some of the crew.The action gets pretty good. It's big with lots of water and explosions. However it never gets beyond a Hollywood version of a submarine movie. It has its good points. The acting is alright but McConaughey is a little overwhelmed. There is a little too much big acting going on. Everything is done at the highest level of drama. It's very bombastic and doesn't spend a lot of time taking a breather. It's like a heavy meal of junk food that is soon forgotten.",U-571
2,Hitchcoc,"Boy, were these guys lucky",6,15 August 2001,"I don't know. When you get the message that a submarine can only withstand so much pressure, you know darn well that it's going to exceed it. Can you imagine if the sub had been crushed like the egg when it first encountered its maximum stress. They must have dropped 500 depth charges but the darned thing just wouldn't give in. Then we have the torpedo fired like a dying gunfighter as he breathes his last going right on target; and was that some torpedo. With torpedoes like that, I'm surprised we needed to drop a bomb on Hiroshima. One of those would have erased Japan from the map.I know I'm nit-picking because I know we need to suspend a little disbelief here, but there is a claim of authenticity that just doesn't work. The other thing that bugged me. Why didn't the guy (the one who gets the ""You can do it"" pep talk) use a rope or a hook of some kind to pull on the lever.Why did he have to use a fully extended arm. Also, why did they let that German prisoner live and sabotage things for so lon. They had no trouble blowing away the rest of them. My guess is that the director needed to throw another obstacle and show how devious the enemy could be. Well, you get the point. This is one of those films where I started with a reasonably high opinion and as I thought about it, realized how poorly constructed it was. I liked the acting.",U-571
3,Prismark10,It is an enigma,5,4 August 2013,"I guess somewhere in the pitch for this movie. There was an attempt to replicate the tense atmosphere of Das Boot with a true life story.The film takes place in 1942, a US submarine is in the Atlantic looking for a stricken German U-boat.Posing as a German supply crew, they plan to board the U-571 and steal the Enigma machine, the device the Nazis used to send coded messages.The film ends with the director putting on a title card dedicating the film to the memory of the real sailors who captured Enigma machines who were British sailors to be more exact, something this film glosses over.Historical accuracy and this film are total strangers.However this is not to say the film is entertaining, it is well made, McConaughey does his bland best but is out-blanded by Jon Bon Jovi.Stern support is provided by Bill Paxton and Harvey Keitel.",U-571
4,classicsoncall,"""You've come to the right boat.""",7,29 August 2020,"I'll often seek out a movie about submarine action because they always involve a suspense factor that's built into the plot. How can they not, the story takes place in a confined space with no way out if trouble develops. That this one is entirely fictional shouldn't dissuade potential viewers. The ensemble cast gives it their all in a World War II setting that pits an American sub team dispatched to steal a German Enigma cipher machine, from another submarine no less. Matthew McConaughey's character is Lieutenant Andy Tyler, initially bypassed for his own submarine command, but who rises to the occasion when Captain Dahlgren is left to drown in a pitched battle against a Nazi sub crew in open water. The moment is poignant, because the reason Dahlgren didn't recommend Tyler for promotion was his hesitation about putting men at death's door.There are credibility defying moments in the story as one finds in almost all wartime sub movies. Here, the German submarine, commandeered by the Americans after theirs is destroyed, is taken almost a hundred meters below safety level with the attendant pipes bursting and crew fearing for their lives. Taking the attack to a Nazi destroyer on the surface, a precision shot takes out the radio tower, and it's a combination of miraculous timing and uncommon bravery that sees the crew achieve success on their mission.As far as submarine movies go, this one was about in the middle for it's action and suspense. I don't think any film will ever top the 1981 thriller ""Das Boot"", though other fine ones include 1990's ""The Hunt for Red October"", and a couple from the Fifties, ""The Enemy Below"" and ""Run Silent, Run Deep"". Among more current films, this one compares favorably with 2002's ""The Widdowmaker"" and the more recent ""Hunter Killer"". And if you're intrigued by the idea of the German Enigma machine, you'll want to catch ""The Imitation Game"" to learn how the Enigma code was eventually cracked, even if liberties were taken with the actual history. Also, the story takes place entirely on dry land.",U-571
5,lee_eisenberg,U turned,7,8 November 2006,"As I understand it, ""U-571"" is less than totally accurate, as it was actually the English who captured the Nazi submarine and figured out the code. But ignoring that, the movie is still quite fun, as the American crew sees their duty and won't let anything stand in their way. I will say that the portrayal of the Germans could have been better (""Das Boot"" showed how they weren't really Nazis, some were just drafted; this one makes them all look like Nazis).But anyway, the whole thing is pretty fun to watch, without any sappy love scenes to drag it down. Starring Matthew McConaughey, Bill Paxton, Harvey Keitel and David Keith.",U-571
6,jboothmillard,u-571,5,11 May 2017,"I remember hearing the title of this film, I recognised it was something to do with a submarine or ship, but I was also attracted to it by the all-star cast in it, directed by Jonathan Mostow (Terminator 3: Rise of the Machines, Surrogates). Basically set in World War II, allied forces have been having trouble against the German Navy, especially their U-Boats, because of their highly sophisticated cipher machines and the Enigma code. One German U-Boat is damaged and awaits assistance, the Americans decide that this incidence is an opportunity for them to get the cipher machine. So they have a submarine made up to resemble a German U-Boat, it is called U-571, and they plan to pretend to be the ship sent to assist the damaged U-Boat, to take control and take the machine and destroy it. Lieutenant Andrew Tyler (Matthew McConaughey) takes command of U-571, after Lieutenant Commander Mike Dahlgren (Bill Paxton) is seriously wounded during a torpedo attack on his ship, other crew members include Chief Gunner's Mate Henry Klough (Harvey Keitel), and Lieutenant Pete Emmett (Jon Bon Jovi). Everything goes according to plan, they get the machine and are ready to leave, but out of nowhere they are torpedoed by a German relief ship, initially Dahlgren did not feel Tyler was ready to make tough decisions, now that he is commanding he and the survivors must do whatever it takes tor survive. Also starring David Keith as Major Matthew Coonan, King Kong's Thomas Kretschmann as Captain-Lieutenant Gunther Wassner, Homeland's Jake Weber as Lieutenant Hirsch, Jack Noseworthy as Seaman Bill Wentz, Tom Guiry as Seaman Ted 'Trigger' Fitzgerald, Will Estes as Seaman Ronald 'Rabbit' Parker and Final Destination 2's Terrence 'T.C.' Carson as Steward Eddie Carson. The cast of Americans are all alright, but you cannot believe the story, because it was the British who got hold of the Enigma cipher machine, it is definitely a fictional story, this is essentially just popcorn fodder, nonsense, but with plenty of exciting explosions and engaging enough underwater battle sequences, a reasonable Second World War action thriller. It won the Oscar for Best Sound Editing, and it was nominated for Best Sound. Worth watching!",U-571
7,ccthemovieman-1,Involving WWII Story,8,16 April 2006,"Somebody looking for an intense World War II film that has a few shocking twists, can't go too wrong with this movie. My only faults with it are that sometimes it goes a bit long on the depth-charge action scenes and that the language is too rough for a PG-13. Otherwise, this is good entertainment and certainly a different kind of World War II story. Does it stretch credibility? Yes, but most action movies do, so you ride with it.For a submarine movie, it has far more action than most, with half of it outside the sub instead of inside as so often the case. It also looks great on DVD and offers some outstanding 5.1 surround sound. There is a huge difference in viewing this on VHS and on DVD.This is definitely a man's movie with an all-male cast of tough seamen fighting tough Nazi seamen in the middle of WWII. Matthew McConaughey and Harvey Keitel are the two main stars and it's a bit odd to see the veteran Keitel taking orders from the ""kid.""",U-571
8,rmax304823,Silly Fictional Submarine Fare.,2,2 January 2009,"There really isn't much to be said about this hokey story of an event that never happened during World War II. The movie involves ratty German U-boat sailors, scared but brave and religious American sailors, the capture of a German coding device called Enigma that we already had, impossible triple somersaults in the incidents -- and every submarine cliché in the cinematic code book.The main plot has an American crew trying to maneuver a damaged U-boat into an Allied port while simultaneously keeping it afloat, causing it to move, avoiding the Germans who are searching frantically for it, and meanwhile being attacked by another German submarine and a German destroyer. I had a bit of trouble keeping that all-American crew straight. They're all blandly even featured, except for Harvey Keitel who definitely is in the wrong movie.The B story is about the Lieutenant in charge, about his character, about the crew's doubts, about whether or not he has the guts to command and order men to their deaths. (Guess whether he does or not.) The writers, producers, and director have absorbed lessons from other submarine movies, from ""Destination Tokyo"" to ""Das Boot."" At one point, the captain has to dive to plutonian depths the U-boat was never designed for and we can watch the arrow on the familiar Tiefenmesser mope its way into the red part of the dial -- and then beyond -- while the hull creaks from the increasing pressure. The men hold onto fittings and gawk at the bulkheads and one of them mutters, ""Man, them Krauts sure know how to build 'em."" (Cf: KaEl Curt Jurgens' line in ""The Enemy Below"" under identical circumstances, ""They build them good in Germany, huh?"") So the hull is creaking and the men are scared to death and the minatory destroyer circles overhead and the only lights are from feeble portable lamps and flashlights and I'm thinking, ""Wait a minute! Where are the popping bolts? Where's the squirting water and the shattered glass instruments?"" Didn't have long to wait.To trick the destroyer into believing that the U-boat has sunk, the captain has fuel released from the tanks and shoots some debris from one of the torpedo tubes. The debris includes a dead conveniently body, as in -- which one was it? -- ""Run Silent, Run Deep""? You know, the one with Clark Gable? Not that the sleight-of-hand works. If it did, we would be deprived of the thrill of watching the pursuing destroyer blown out of the water with the wounded submarine's lone remaining torpedo.The clichés never seem to end, and they're not drawn entirely from the submarine genre either. Two men -- one good guy and one bad guy -- are struggling face to face with a pistol between them. A shot is heard. The struggle stops. The good guy wears a shocked expression and backs slowly away. The bad guy smiles slightly -- and then slumps dead to the deck. I'm fairly sure the first time such a scene was presented to the public was in a comedy by Aristophanes.Where was I? Think I had a period of microsleep there. Anyway, there are thrills galore during the action sequences that seem to comprise half the movie. The cuts are instantaneous. Depth charge patterns yield a dozen explosions in speedy sequence. The camera jiggles. The men dash about, shouting. Lights flash on and off. Sparks fly like the Fourth of July. The chuckling director darts for a second in front of the camera lens and gives the audience the finger. BANG! BOOM! ""She's coming apart!""Want to see a submarine movie you can believe? Rent ""Das Boot."" Of course ""Das Boot"" is long, precisely observed, contains some leisure moments that tell us things about individuals, and it has subtitles, so if ""U 571"" is your kind of movie, ""Das Boot"" probably is not.",U-571
9,ma-cortes,US sub captained by Bill Paxton and Matthew McConaughey set out to capture U-boot with Enigma coding device,7,12 March 2011,"The yarn is interesting and based on real deeds with thrilling screenplay and authoritative direction by Jonathan Mostow. There are suspense, thriller and action, though the scenario is mostly into submarines . This exciting underwater drama concerns about stirring battles between US and German submarines . Bill Paxton stars as a veteran commander who is scheming a dangerous voyage to capture a stricken U-boat carrying the enigma coding device and solid Mathew McConaughey as the second in command who attempts anticipate his every move. Tensions run high and rise between commandant Mike Dahlgren and Lt. Andrew Tyler and the crew as they set out from a port to take and destroy the German sub . The crew as Harvey Keitel , Jake Weber , Jon Bon Jovi , Tom Guiry , Will Estes , Erik Palladino are pushed to the brink of death by risked mission full of dangers , twists and turns. The film is famous as one of the best and recent WWII submarine movies .This nail-biter is a tightly-knit drama centered on the sea maneuvers going after the mightiest battle submarines of the Atlantic Ocean that are decimating the Allied convoys . The motion picture is meticulously mounted by Jonathan Mostow who always manages to make a course correction in the nick of time and deliver another direct success . Impressive, rousing musical score by Richard Marvin and appropriate, colorful cinematography by Oliver Wood. Perfect production design by Gotz Weidner who also made 'Das Boot' .The film belongs to submarine genre, along with : ¨ Torpedo(1958) ¨ by Robert Wise with Burt Lancaster and Clark Gable 'Torpedo run(1958)' by Joseph Pevney with Glenn Ford and Ernest Borgnine; 'Das Boot(1982)' by Wolfgang Petersen with Jurgen Prochnow; 'Hunt for red october(1990)' by John McTiernan with Alec Baldwin and Sean Connery ; 'Crimson tide' by Tony Scott with Denzel Washington and Gene Hackman; 'K19' with Harrison Ford and Liam Neeson and in similar style ¨U-Boat(2004)¨ by Tony Giglio with Scott Caan , William H Macy and of course Tomas Kretschmann who in U-571 also stars a German officer , as usual .The movie produced by the great producer Dino De Laurentiis is based on historic deeds , thus the construction of new U-boats continued at a record -breaking during WWII. In 1942-43 Hitler raised enormously his U-boat strength,the German submarines sank numerous ships,in early 1943 the called ¨Wolf packs¨sank 90 ships in 20 days.Then,suddenly ,between March and June 1943,an exceptional change took place .The Allies began to win the war against Hitler's underwater in the Battle of the Atlantic . By this time the technique of submarines warfare had advanced far beyond that used in the beginning the war.The Allies pitted thousands of boats,seamen,destroyers,cruisers,subs,cannons and billion of dollars against the undersea craft .As early as December 1943 Karl Doeniz ,the architect and designer of U-boat campaign,admitted the grave turn in events . The cost was great on both sides .In the six years of war ,the Germans,by their own statistics,destroyed more than 2000 British,Allied ships in the sea.Hitler had built 1162 subs ,of which 783 were lost.Of the 41000 men recruited into the underwater service ,between 28000 and 32000 lost their lives and 500 were taken prisoners.The film provides a realistic detailing of life aboard and a portrait about the crews subjected to stressful and psychological tensions . In fact the sailors had sleep in shifts.For months they were lodged in close quarters because every inch the space was needed for machinery,supplies and torpedoes.The air was heavy with odors from bilges,diesel oil and unwashed bodies.The men faced sudden death from depth charges ,aerial bombing attacks or the sharp bow of a swift destroyer as happen in this film. The movie that achieved big hit , will appeal to action enthusiasts and WWII aficionados. Rating 7/10 , above average .",U-571
