,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Touching and inspiring....once you learn to block out the blaring soundtrack,7,22 August 2007,"I really, really liked this film a lot. It was a small little British film that somehow struck a chord and became an international hit. And I could certainly understand why, as although the story is very old fashioned (mirroring themes in films such as THE JAZZ SINGER, EAT DRINK MAN WOMAN and Hollywood/BOLLYWOOD), the characters and style of the film made the whole experience come alive. With such a simple story, the director and writers did a great job of making the audience care about the characters--sucking you into the experience and touching your heart.Unfortunately, the film also was initially a chore to watch, as I absolutely hated the soundtrack and almost turned the film off soon after it began because it was so darn loud and distracting. I really can't think of another film where the music level was so loud. Plus, if you don't like the Euro-beat, it really became annoying. Fortunately, I was able to tune it out but I wonder if viewers even older than me might feel even more disenchanted with the music, whereas younger folk probably will not be put off by it. I like loud music (hey, Heavy Metal and Hair Band music is great), but not when it takes center stage with a film that required a little bit more subtlety.By the way, check out BOLLYWOOD/Hollywood. It's very similar to this film but is actually a better film showing the Indian experience in Canada. The family is Hindu (not Seikhs) but is very similar to BEND IT LIKE BECKHAM.",Bend It Like Beckham
1,TheLittleSongbird,"Very enjoyable, even with its problems",8,13 July 2010,"I am not into sports films as much as others, but I have enjoyed a fair few- Mean Machine, The Longest Yard(original), Hoosiers, Remember the Titans and this film. The footballing storyline can get predictable, such as the nail-biting finish resting on a penalty kick, and some of the romance is rather fluffy. However, there is much to praise about Bend it Like Beckham. It does have an opportunistic title, which is interesting in itself, while the concept is original and has the flavour of East is East in a way. The script does have its comical and heart-warming moments, and there are a lot of them, the pace is efficient, the direction is solid and the football is great to watch. I also liked how Bend it like Beckham was filmed, and the soundtrack which was exhilarating and drove the film even more. And the acting in general is very good, Parminder Nagra puts a lot of spirit into her title character and shows a considerable amount of skill as an actress and as a footballer, while Kiera Knightley is decent enough. My favourite though was Juliet Stevenson, who was a sheer delight as a Hounslow mum. Overall, very enjoyable and recommended. 8/10 Bethany Cox",Bend It Like Beckham
2,SnoopyStyle,Great family movie introducing Keira Knightley,7,5 January 2014,"Jess (Parminder Nagra) comes from a conservative Sikh family. Her mother worries about her daughters and maintaining a good family facade. Her sister is getting married, but her mind is on football. Jules (Keira Knightley) plays on a girls team, and recruits Jess after watching her in the park. Jess starts playing despite her family's misgiving.This is Keira Knightley's big break out indie hit. It's the start of her wider fame. But it's Parminder as Jess and her family that is more fascinating. The family traditions and pressures are at the heart of this movie. The one false note in the movie is the girlie drama with Jules getting jealous of Jess and couch Joe. It reeks of lesser teen fare. But the movie gets over it quickly and moves on. It gets back on firmer ground of family drama. This is a heart warming little film.",Bend It Like Beckham
3,gavin6942,You'll Warm Up to This Film,6,9 March 2006,"For a while, I sat blank staring at the screen wondering why my friends had forced me to watch this film. But after that point, I wondered why nobody had made me see it sooner.You will have to adjust to the characters and possibly the accent (if you're American), but once you do, you will fall in love with these characters. The plot is simple: a girl wants to be a professional soccer player, but her family thinks it is not right for women to pursue soccer. You may not have strict parents or a love for soccer, but we all know what it's like to have goals and face the obstacles we must face in order to achieve them.By the way, it's Keira Knightley. She's a little thin for my liking in this movie, but her acting is fine, and heck - it's Keira Knightley, probably the biggest rising star in England today. You know you can't get enough of her (especially if you've seen ""The Jacket"").What I really liked is the angle of Indian and Sikh culture. That's certainly not what you expect from a soccer film. But it's all here: the weddings, the music, the weird old man in the weird painting... a little background in Sikhism or Indian culture would be helpful, but not necessary to enjoy this film.You can do worse. Recommended to watch if you're in a bonding situation (especially if you're two girls) or might be a lesbian. Everyone else, you can watch this film, too. I'm not a lesbian, and I enjoyed it.",Bend It Like Beckham
4,lee_eisenberg,I will always remember this movie.,10,8 September 2005,"As someone who's never been into sports, it seems like it would be hard for me to get into the football (or as we Americans inexplicably call it, soccer)-themed ""Bend It Like Beckham"". But I gotta say, this was one cool movie! Anglo-Indian Jesminder Bhamra (Parminder Nagra) and her WASP friend Juliette Paxton (Keira Knightley) love to play football (yes, I'm going to say it the British - and international - way) and just adore football player David Beckham. But Jesminder's traditional Sikh parents don't approve (her mother offers a really whacked-out description of football early in the movie). Okay, so maybe it was sort of a cliché in that sense, but you gotta love this movie! And if like me, you go to this movie not knowing the definition of ""bend"" in football...don't worry, the movie explains it (I'd also never heard of David Beckham prior to this movie). And we all know that Keira Knightley hit it big: a few months after ""BILB"" came out in the States, she starred in the equally cool ""Pirates of the Caribbean: The Curse of the Black Pearl"".",Bend It Like Beckham
5,jboothmillard,Bend It Like Beckham,6,26 June 2006,"It was number 71 on The 100 Greatest Family Films, and I was keen on seeing it for Keira Knightley, and it was quite good. Basically Jesminder 'Jess' Kaur Bhamra (Parminder Nagra) dreams of being like her football hero, Beckham, and she is obviously really good at football herself. So one day her friend Juliette 'Jules' Paxton (Knightley) helps her get into a girls football team, coached by Joe (Jonathan Rhys Meyers). It seems like everything is going well for the team, and Jess enjoys it, but her parents Mr. Bhamra (Anupam Kher) and Mrs. Bhamra (Shaheen Khan) are against it. Not just because of their religion, but Jess's sister Pinky (Archie Panjabi) is getting, and they want her to be ready. Worst of all, their final match is on the wedding day, but everything turns out alright in the end, eventually. Also starring Shaznay Lewis as Mel, Frank Harper as Alan Paxton, Juliet Stevenson as Paula Paxton, and EastEnders' Ameet Chana as Tony and Pooja Shah as Meena. It was nominated the BAFTA for the Alexander Korda Award for Best British Film, it won The British Comedy Award for Best Comedy Film, and it was nominated the Golden Globe for Best Motion Picture - Musical or Comedy. Good!",Bend It Like Beckham
6,Tweekums,An enjoyable coming of age film,8,15 July 2016,"Eighteen year old Jess dreams of playing football like her hero David Beckham even though her playing is limited to having a kick-around in the local park. Here she is spotted by Jules; who plays for the local women's team. Jules tells Jess that she should try out and she quickly impresses Joe, the coach. She is invited to join the team but there is a problem; her Sikh family expect her to go to university and marry a nice Indian boy not 'waste her life' playing football. She tells her parents that she is going out to a job but it isn't long before they learn the truth. She manages to continue to play and Joe thinks that both Jules and Jess have what it takes to go to the top in the women's game. As well as the drama about the football there is confusion when Jess's family fear she is seeing a white boy, Jules' mother thinks she is a lesbian, Jules and Jess fall out because the both like Joe and Jess's sister is getting married inevitably the wedding clashes with the football final that is due to be watched by a talent scout from America.This film is a lot of fun even if the basic plot isn't the most original and most viewers won't be surprised at how the story works out. It does bring some interesting twists to the genre and the fact that Jess is a Sikh allows some stereotypes to be played with in a gentle rather than offensive way. There is more humour provided by Jules's mother as she is embarrassingly keen to show how open-minded and unprejudiced she is right up until the thinks her daughter might be a lesbian! The cast does a solid job; Parminder Nagra is really good as Jess and Kiera Knightly is equally impressive as Jules. The rest of the cast is pretty good too. The football scenes are decent enough; I enjoyed the way the scenes from the final match were intercut with scenes from the lively wedding party. Overall I'd recommend this to anybody wanting a decent feel-good film with a solid enough story and plenty of laughs.",Bend It Like Beckham
7,blanche-2,A young woman is torn between two cultures,8,4 October 2010,"Parminder Nagra wants to ""Bend it Like Beckham"" in this 2002 film also starring Keira Knightley and Jonathan Rhys-Meyers. Set it England, Nagra is Jesminder, nicknamed ""Jess"" who loves to play soccer and is recruited into a women's team by a fellow player Jules (Keira Knightley). There, she meets the team's coach, Joe (Rhys-Meyers) on whom Jules has a crush.But playing soccer is at odds with Jesminder's traditional Indian family, so she is constantly lying and sneaking out of the house. Joe encourages her to live her own dream, but it's hard for Jesminder to break away from what her family expects. And with her sister about to get married, she's expected to help out. When her sister's wedding falls on the day of their big tournament where a talent scout from America will be present, Jess is forced to make a decision.This is a really lovely film with many warm and funny moments and situations. The beautiful Nagra, who was so good on ""ER"" is sympathetic as Jess, with Keira Knightley a feisty Jules. At one point, Jules' mother believes that Jules and Jess are lovers. A very funny performance by Juliet Stevenson as Jules' mother.""Bend it Like Beckham"" covers a lot of ground - compromising your dreams, going after your dreams, prejudice, looking butch, and the perception of women in Indian vs. modern culture. In the end, it's really a story of finding out who you are and not being afraid to state it.This is a family film. Someone mentioned that it is bashed on this site. I really can't understand that. It doesn't pretend to be anything other than it is - ethnic tradition versus the modern world and a young girl caught in between. No special effects, no enormous names, just a nice story and script with good performances. Very enjoyable.",Bend It Like Beckham
8,sunwarrior13,A Girl's Struggle For Her Dreams,10,7 April 2013,"Bend It Like Beckham is a comedy-drama film about an independent-minded young woman discovers the joys of football to the chagrin of her family. It stars Parminder Nagra, Keira Knightley, Jonathan Rhys-Meyers, Anupam Kher, Shaznay Lewis, and Archie Panjabi.It was directed by Gurinder Chadha. The title refers to the football player David Beckham and his skill at scoring from free kicks by bending the ball past a wall of defenders.Jess Bhamra is an 18-year-old growing up in West London, where her family has taken every effort to stay in touch with its Indian heritage. Jess' father and mother are after their daughter to go to law school, learn to cook a traditional Indian dinner, and settle down with a nice Indian boy,the latter of which is high on the agenda of her older sister Pinky, who is soon to wed her longtime beau Teetu. However, her family is unaware that Jess has a secret passion:football . While Jess' enthusiasm for football star David Beckham is obvious, given the fact his photos cover the walls of her room, her parents don't know that in her spare time she likes to play a friendly game in the park with some of the boys in the neighborhood. One day, while Jess and her pals kick the ball around, she meets Jules, who is quite impressed with Jess' skills. Jules plays with a local semi-pro women's football team, the Hounslow Harriers, and she thinks Jess has what it takes to make the team. Jess knows that her parents would never approve of their daughter playing football, so she doesn't tell them, and starts spinning an increasingly complex series of lies as she tries to keep up a double life as a student and a footballer. Inspiring, compassionate, and with a sly undercurrent of social commentary, the is a lively feel-good movie that genuinely charms.Nagra and Knightley have winning personalities, but credit should also go to writer/director Chadha for getting the balance right between humor and pathos, and sporting and romantic action.Also,it may be a formulaic and clichéd film but it does work and keeps the viewer entertained.",Bend It Like Beckham
9,Theo Robertson,I Wasn't Very Impressed,4,3 January 2005,"Like THE FULL MONTY this movie wasn't expected to set the box office alight but like THE FULL MONTY it became a massive international sleeper hit . BEND IT LIKE BECKHAM is rather flawed and the flaws are very similar as the ones seen in THE FULL MONTY .First up is the amount of politics involved , concepts like sexism , traditional Sikh family values and even lesbian love are used to get a laugh but at the same time you feel the production is pulling its punches as to how acceptable this type of humour is in 2002 . If you're going to offend people please do it and be damned otherwise don't bother .This extends to my second criticism of who's side the subtext is taking. Forget the fact that Jess is brought up in a Sikh household and ask yourself this : What would your daughter rather be - An amateur footballer or a professional lawyer ? The screenplay seems to imply that Jess parents are in the wrong for wanting the best for their daughter Thirdly has anyone seen what genre the IMDb classes this movie as a Comedy/ Action ? Romance / and a couple of more genres . Again there's a bit too many irons in too many fires as to what this movie wants to be I wouldn't say I hated BEND IT LIKE BECKHAM but it's not a movie I'll praise to the high heavens either . I do concede that it's very much a ladette chick flick movie dealing with cultural norms and traditions and isn't really for my type of market . I will respect it as a British movie that made a killing at the box office but like so many Brit flicks ( Namely THE FULL MONTY and 28 DAYS LATER ) BEND IT LIKE BECKHAM could have been a lot better",Bend It Like Beckham
