,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Sweet and memorable movie.,8,14 May 2009,"This movie is really sweet, and I enjoyed it enormously. Sometimes it is a bit overly sentimental, and the human characters aren't as charming as the animal characters. Jonathan Lipnicki was sweet as George, but doesn't quite have the charm he brought to the The Little Vampire. Geena Davis and Hugh Laurie do amiably as the parents, but both seem subdued. Luckily, the human characters don't interfere too much with the animals, and still bring a certain charm to the screen. Stuart is wonderfully voiced by Michael J.Fox, and he joined by a hilarious Nathan Lane as Snowbell and a villainous Chazz Palminteri as Smoky. The script is intelligent and sweet, and there are plenty of charming scenes with Stuart and George. All in all, really sweet, fun and memorable. 8/10 Bethany Cox.",Stuart Little
1,Leofwine_draca,Take it or leave it,4,18 September 2021,"One I saw at the cinema. To say I'm a little too old for the target audience is an understatement. On the plus side, the CGI is perfectly serviceable for the kind of film this is, and Fox is a good choice for the voice over. The rest is a typical Hollywood kid's film, take it or leave it.",Stuart Little
2,SnoopyStyle,fine family fare,7,10 November 2013,"Mr. Little (Hugh Laurie) and Mrs. Little (Geena Davis) is looking to adopt for a younger brother for George (Jonathan Lipnicki). When they get to the orphanage, they become enamored with a little white mouse Stuart (Michael J. Fox). The family cat Snowbell (Nathan Lane) is frustrated that he isn't allowed to eat Stuart, and George is unhappy with a mouse as a brother.This is fine lighthearted family movie. The CG mouse fits very well with the live action. It's a nice charming fare, and I love how everybody accepts a talking mouse as an everyday thing. It gives it a whimsical feel. I love that Snowbell is more scared from being laughed at by fellow cats and not so much making Stuart as a simple meal.And there is a deeper message about adoption if you want to take it that far. And I love the affection George and Stuart grow to have. It is a great entertaining children's movie.",Stuart Little
3,jboothmillard,Stuart Little,5,21 September 2005,"Based on the popular children's book by Charlotte's Web writer E.B. White comes the film adaption of the weird new member of a family. Basically Mr. Fredrick (Hugh Laurie) and Mrs. Eleanor Little (Geena Davis) are going to the children's home to adopt a new ""little"" brother for themselves and their son George (Jerry Maguire's Jonathan Lipnicki). what they actually get is a little brother, they get a mouse named Stuart (Michael J. Fox). At first George thinks they are joking because he is a mouse, but after a little while he gets used to him. Even the family cat Snowbell, or 'Snow' (Nathan Lane) has to get used to him. Obviously as you'd expect, Stuart has many small adventures during the film. Also starring Jennifer Tilly as Mrs. Camille Stout and Jeffrey Jones as Uncle Crenshaw Little. It was nominated the Oscar for Best Visual Effects. It was number 100 on The 100 Greatest Family Films. Worth watching!",Stuart Little
4,ccthemovieman-1,"Colorful, Charming, Nice Story Most People Should Like",8,16 August 2006,"Wow, there are lots of name actors are either in front of the camera or being used as voices in this unique animated-real life film. They use real people and animals (except for fake mouths when the animals ""talk"") and an animated mouse (Stuart, voiced by animation favorite Michael J. Fox.) who looks incredibly life-like.The colors in this movie are terrific, especially with the house that the Little family lives in. The story has some clever stuff in it but it strictly played for laughs and reactions since credibility is about zero in many parts of this story. However, it's supposed to be outrageous. I don't think Geena Davis has ever played a nicer role than this. It was good to see. The husband was just as nice, played affably by Hugh Laurie.The jokes are good for the kids and adults. I know a couple of parents who liked this movie even better than their kids, so don't believe it when someone writes that this is a film strictly for kids. That is not so. I did object to some profanity in here at the end, which seemed so out of place, but it's hard to expect Hollywood to get everything right. The sequel to this film is even better!",Stuart Little
5,michaelRokeefe,Just not normal is it?,4,24 March 2009,"At least the under ten year old set will stay interested. Eleanor(Geena Davis)and Fred(Hugh Laurie)Little, a nice well-to-do couple set out to bring home from the orphanage a new little brother for their son George(Johnathan Lipnicki). They come home with quite the odd new sibling...a sharp dressed little mouse named Stuart(voiced by Michael J. Fox). Yes, mouse. Stuart is happy to have found the sense of belonging even if it is in a super sized world that contains his new family's pet cat Snowbell(voiced by Nathan Lane). Stuart embarks on the experience of family loyalty and overall friendship. George will finally accept his tiny new brother when the dapper dressed Stuart saves embarrassment at a model boat race.Also in the cast: Julia Sweeney, Harold Gould, Estelle Getty and Jeffery Jones. And the voices of: Chaz Palminteri, Bruno Kirby and Jennifer Tilly.",Stuart Little
6,studioAT,"Little mouse, big film",6,18 May 2013,Stuart Little is a great example of a film for all the family and takes the original best loved book by EB White and makes it a vivid and heart felt film.The story is simple but that's the beauty of this film. If you are prepared to suspend your disbelief a few times then you'll find this a funny film.Hugh Laurie tries out the American accent that would later make his fortune in the hit show House while Michael J Fox is a perfect choice as the voice of the title character.One of my favourite films growing up and no doubt this will be the case with children for many years to come.,Stuart Little
7,Calicodreamin,Little hey little ho,6,11 July 2021,"As a kid I loved this movie, as an adult I'm like wtf. So I guess I should say it works as a kids movie; good animation and a easily followable storyline. As far as deep diving into the concept, it's way past strange. Decent acting.",Stuart Little
8,view_and_review,You Could Have Worse Siblings,6,20 December 2020,"I, for one, don't know how I'd react to my parents bringing home a mouse and telling me it's my brother, but I certainly don't mind watching a kids movie about it.Stuart (voiced by Michael J. Fox) was adopted by the Littles (Hugh Laurie and Geena Davis). George Little (Johnathan Lipnicki), their son, had the reaction any normal person would have: rejection. ""That's not my brother, that's a mouse."" Even the household pet Snowbell (Nathan Lane) rejected the idea. In short time Stuart won George over and the four were a small happy family. Except Snowbell still hadn't warmed up to the idea of being a pet to a mouse.""Stuart Little"" was a cute movie. This would be perfect for all ages except for the use of ""hell"" and ""damn"" once each. I don't usually police such language, but my kids were watching so it stuck out to me. It was still very decent overall and very kid friendly.",Stuart Little
9,anaconda-40658,Idiotic Adoption.,1,4 March 2016,"Stuart Little (1999): Dir: Rob Minkoff / Voice: Michael J. Fox / Cast: Hugh Laurie, Geena Davis, Jonathan Lipnicki, Julia Sweeney: A great computer generated mouse placed within a screenplay that bares no plot. Stuart is the darling mouse whose last name reflects that he is indeed small. One wonders what intelligence came up with that. He is adopted by Hugh Laurie and Geena Davis. He goes home to obvious problems. The boy of the house doesn't accept him at first but will eventually. The cat tries to tries to dine on him. He even gets caught in the washing machine. Eventually two mice arrive poising as Stuart's parents and the manic struggle to get home and avoid cats. While computer generated characters are dazzling the story is formula. Director Rob Minkoff fails to provide a back story to Stuart's existence. He had much better success with The Lion King. Michael J. Fox voices Stuart whose origins are not given therefore he isn't that interesting. Laurie and Davis react as if adopting a mouse in a three piece suit is normal, and Jonathan Lipnicki as the boy is a mere prop. This is the film's biggest flaw because it fails to translate the idiotic behavior. This film should be tossed to a box full of mouse traps for an entertaining final verdict. It is a family film out to sell computer generated creation with a screenplay that does as little as possible. Score: 1 / 10",Stuart Little
