,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Thank goodness for Theodore!,4,4 January 2012,"I sort of enjoyed the previous two movies, they were not great movies but I found them quite cute. I wish I could say the same for this latest instalment, but I can't. It does have its moments, Jason Lee and David Cross are decent and have some entertaining exchanges. The film apart from some slapdash editing does look reasonable with the chipmunks looking serviceable and the scenery beautiful.Best of all is Theodore, he always was adorable and made you want to cuddle him and here is no exception.On the other hand, Alvin and the Chipmunks: Chipwrecked feels rather lacklustre this time around. The pop songs was a bonus in both of the previous two movies, here they sound really tired with generic melodies and forgettable lyrics. The vocals themselves are okay, not too annoying considering the tone, but again nothing out of the ordinary. The messages about family ties and responsibilities are important ones but they seem rather forced here.The script generally was weak, there was very little that was fresh or funny for me apart from the exchanges between Cross and Lee, and there are some lines that have been covered in previous reviews that really don't belong in a family movie. The story like the previous two is predictable, except this time around it is not as charming or exciting.I didn't care for the characters, excepting cute little Theodore. Zoe the eccentric castaway is more annoying than endearing, and something about Alvin rubbed me up the wrong way, he came across as too much of a jerk in some scenes. The acting/voice work is mixed, I liked Cross, Lee and Jesse McCartney, and Justin Long and Matthew Gray Gubler are alright I guess even with the bad material, but Jenny Slate didn't raise a single smile and the rest ranged from adequate to bland.All in all, not as tortuously bad as some have said, but it wasn't anything special to me. By all means I understand why some may like it, but it just wasn't my cup of tea. 4/10 Bethany Cox",Alvin and the Chipmunks - Chipwrecked
1,SnoopyStyle,the smallest of hope,4,22 May 2016,Dave (Jason Lee) takes the Chipmunks and the Chipettes on a cruise ship. Ian (David Cross) is bitter for losing his job and is now the pelican mascot. Alvin's irresponsible ways get the Chipmunks stranded on a tropical island where they encounter Zoe (Jenny Slate) who has been stranded for 8 or 9 years. Dave and Ian get thrown overboard and washed up on shore.This is pretty horrible for the first third. The Chipmunks are so fake already. Putting them on cruise ship only adds to the glaring artificially of the whole enterprise. This seems hopeless but the movie adds Jenny Slate to joke about 'Cast Away'. It should be a straight shot to spoof that movie. Zoe could ask the Chipmunks about the world in the last 8 year and they could make up a lot of fun misunderstood news. There are a million ways to add comedy to this but I don't think the writers care. This is strictly for the littlest kids and any real jokes are superfluous.,Alvin and the Chipmunks - Chipwrecked
2,kosmasp,A new low,2,24 March 2012,"While the other Chipmunks movies did have some things going for them, this is just a mess. It really should be the death nail of the franchise, but I think they'll come up with something else in time. Still while there seems to be no real new addition (apart from one very crazy character, that just does not work in the family environment it is put in and may be a strange move by the producers to make this more accessible to grown-ups).The title pretty much gives away what you are going to see. But even with the familiar faces (or because of them) you will feel alienated. And while this still might work for most of the kids crowd this is aimed at, it also feels like an assault on your senses and your sanity. The other move to try to make the Chipmunks ""grow up"" does not work either (as portrayed here) and will surely be revised come Chipmunks 4",Alvin and the Chipmunks - Chipwrecked
3,jboothmillard,Alvin and the Chipmunks: Chipwrecked,3,29 October 2014,"Based on the musical band and the children's cartoon, which I remember watching, the first film was terrible, the second film was only mildly watchable but still tedious, I think I knew what to expect with this third film, directed by Mike Mitchell (Surviving Christmas, Sky High). Basically David 'Dave' Seville (Jason Lee) with the Chipmunks: Alvin (Die Hard 4.0's Justin Long), Simon (Matthew Gray Gubler) and Theodore (Jesse McCartney) and the Chipettes: Brittany (Christina Applegate), Eleanor (Amy Poehler) and Jeanette (Anna Faris) are on a vacation on a cruise ship, but of course the furry cannot stay away from trouble for long. After messing about on the ship deck the Chipmunks and Chipettes end up accidentally thrown overboard, Dave chases after to rescue them, with his old boss Ian Hawke (David Cross) tagging along, the six friends end up marooned on a tropical paradise island, and some time after them, unseen, Dave and Ian are swept up on the island also. The island appears to be deserted at first, but then seemingly crazy castaway Zoe (Jenny Slate) shows up, with her various playing balls that she talks to, she claims she has been stranded for years waiting to be rescued, Dave and Ian search the island to find them. On the island Eleanor sprains her ankle, and Simon is bitten by a spider, with the side effects being that he changes personality, into French adventurer chipmunk Simone (Alan Tudyk), while the other Chipmunks and Chipettes try to make the most of the situation they are in ""Simone"" stumbles upon a piece of treasure Zoe has been looking for. Zoe suddenly turns nasty against her furry ""friends"" and demands to know where the hidden treasure she has been searching for is located, by this time Dave and Ian find them, it becomes a chase to rescue their friends and save themselves from the threat of the erupting volcano, of course in the end all of them get away from the island in time, and the Chipmunks and Chipettes make it in time to perform at the International Music Awards. The animated animals are relatively cute and funny in moments, while the live actors are rather cheesy, the choice of songs is varied, including ""Trouble"", ""Party Rock Anthem"", ""Whip My Hair"", ""Kumbaya"", ""Survivor"", ""Bad Romance"", ""S.O.S."" and ""Firework"", some are catchy, the problem of annoying squeaky voices and immature behaviour remains, and it is predictable, the kids may enjoy it, but this overall is a silly part-animated comedy adventure. Adequate!",Alvin and the Chipmunks - Chipwrecked
4,tavm,I was surprised to have really enjoyed Alvin and the Chipmunks: Chip-Wrecked,8,19 December 2011,"With some time to fill because of some personal problems, I decided to go with my movie theatre-working friend to watch something short. This was the shortest of the current features I hadn't seen yet and I must tell you, I actually really enjoyed this latest Alvin and the Chipmunks movies especially since most of the focus was on the Chipmunks (and Chipettes) and less so on the human co-stars. Though the return of Jason Lee and David Cross does have some amusing moments and another human played by Jenny Slate does a nice parody of Cast Away, it's the male and female chipmunks that were the most charming to me especially that of Simon and his female counterpart when the former gets a personality change and becomes ""Simone"". That's all I'll mention for now, except that Alvin and the Chipmunks: Chip-Wrecked comes highly recommended.",Alvin and the Chipmunks - Chipwrecked
5,michaelRokeefe,The Chipmunks go on a sea cruise.,2,22 December 2011,"Try to contain your hilarity; as I wink and snicker. Manager and father figure Dave Seville(Jason Lee)takes Alvin(Justin Long-voice)and the Chipmunks and their counterparts, The Chipettes, on a vacation cruise. Of course on board the luxury liner the Chipmunks and their female guests make the ship their personal playground. Running amok along with their chaotic behavior...the six furry entertainers find themselves overboard and shipwrecked on a tropical island. Nemesis Ian(David Cross)and Dave find themselves also overboard in search for the two chipmunk trios. Somehow they all end up marooned on what they think is a deserted island, the isles of Scilly. Does this have to make sense? Animated family fun for all ages. Other stars lending their voices: Christina Applegate, Matthew Gray Gubler, Anna Faris, Jenny Slate and Amy Poehler. I'm almost afraid to think of what's to come.",Alvin and the Chipmunks - Chipwrecked
6,anaconda-40658,This Film Should be Wrecked...in a Wood Chipper.,3,19 March 2016,"Alvin and the Chipmunks: Chipwrecked (2011): Dir: Mike Mitchell / Cast: Jason Lee, David Cross, Jenny Slate, Andy Buckley, Michael P. Northey: Third in this tiresome and annoying franchise. The subtitle physically refers to the fact that Dave and his fuzzy companions are stranded on an island, but it also symbolizes the behaviors of the chipmunk personalities. That is about the height of any intelligence coming out of this waterlogged screenplay. Dave and his singing chipmunks are on a cruise and one thing leads to another until they end up on an island. This is quite boring and Mike Mitchell does his best as director whose film is totally dependant on the chipmunk talking visuals. Mitchell previously made the underrated Surviving Christmas as well as the retread Shrek Forever After. Jason Lee is well cast as Dave, the chipmunks owner and manager but the role is routine and cardboard at this point. The same goes for David Cross as Ian the scheming villain who reemerges in a pelican mascot outfit on the cruise. Jenny Slate plays a total moron named Zooey whom the chipmunks and chipettes encounter on an island. The reference to Cast Away is one of the better jokes but this character is so brain dead that viewers will likely lose any sympathy for. Andy Buckley is flat as the annoyed cruise captain. Michael P. Northey is billed as the Hawaiian Shirt Guy, and that is about as creative as this junk gets. While Alvin, Simon and Theodore are visually amusing, watching the chipettes in bikini outfits dancing to techno music is enough to make a person toss this family oriented crap overboard. Score: 3 / 10",Alvin and the Chipmunks - Chipwrecked
7,DICK STEEL,A Nutshell Review: Alvin and the Chipmunks: Chip-Wrecked,1,16 December 2011,"For as long as the Chipmunks can be milked to draw in the holiday crowds, the sequels will never stop. After all, the digital templates are there and done up to be recycled countless of times, and the live action characters just jolly well need not be there for things to work. Pop hits between the films serve as the highlights for getting the munked treatment, and while they do sound cute initially, eventually this novelty will soon wear off. Director Mike Mitchell, who sounded the death knell for Shrek with his Shrek Forever After, happened to do the same for Alvin and the Chipmunks in coming up with something so uninspired and clearly going through the motion.The first film as expected is the origin film, followed by the sequel which is more or less a mirror image of the first, except with the trio from the opposite sex known as the Chippettes. In the third film, with everyone - Alvin (voiced by Justin Long), Simon (Matthew Gray Gubler), Theodore (Jesse McCartney), Brittany (Christina Applegate), Jeanette (Anna Faris) and Eleanor (Amy Poehler) - all living under the same roof as Dave (Jason Lee) their surrogate dad/manager, you'd expect that perhaps things can get a wee bit more cerebral, but alas all we're getting is a rehash of characterization not already seen in the films, and done countless of times in their animated series.Alvin is still being Alvin, Simon needs to chill and Theodore just needs to be cute. So goes for the Chippettes with vain Brittany, introverted Jeanette and Eleanor just makes a lot of clothes and costumes in this one, since they're all stuck in an unnamed island (in Hawaii on location so it seems). What was to be a family cruise vacation turned out to be an abandoned island adventure, with Ian (David Cross) the chipmunks' ex-manager and one time music executive on board as well as the nasty opposition (too weak to be called a villain or the antagonist), and Zoe (Jenny Slate), a woman stuck in the island for close to a decade, and exhibiting the very same signs of loneliness that Tom Hanks' Chuck Noland did in Cast Away, except that she has more friends other than Wilson.Centering around the chipmunks' fight for survival amongst themselves and with Zoe, as well as Simon and Alvin's temporal transformation in character - one being French (don't ask) and more carefree while the other getting all serious and responsible, the story plays out like an extended cartoon episode, with Dave and Ian on a quest to try and rescue their cash cows before something untoward get to happen to them, which in the story, is zilch given a low threat situation, most of the time. Nothing spectacular gets to happen in the film, and it runs like on a plateau without any highs or lows, and soon you'll feel you may be better off looking at caged animals in a zoo.Which is a bit frustrating because the story's written by both Jonathan Aibel and Glenn Berger, who were also responsible for what I felt were some of the more intelligent animated films in recent years with their Kung Fu Panda and its sequel, having the right elements balanced in terms of story, characters, comedy, action and entertainment for both the kids and accompanying adults alike, but this effort seemed to be written without much heart put into it to cater for the lowest common denominator, and it shows. Granted they also did stinkers like Monsters Vs Aliens, but when you set the bar higher, that's where you'll be benchmarked against, and that's where this proved to be a total Chip-Wreck.",Alvin and the Chipmunks - Chipwrecked
8,sddavis63,Only For The Small Fry - And They Might Not Even Be Impressed,2,16 November 2012,"I really didn't care much for ""Alvin and the Chipmunks,"" and so to be honest I never even bothered with ""The Squeakquel."" I did, however, choose to inflict ""Chipwrecked"" upon myself (in the company of my daughter, who's 8.) I can say without any doubt at all that she's too advanced for it. There were a couple of scenes that elicited a chuckle from her - and I think one got a chuckle out of me, but that was it. There were other scenes that caused her to engage in her favourite hobby of drawing, while I mercifully caught up on some sleep two or three times. This is not a good movie.The story is empty throughout and silly most of the time. Yeah, I know, it's about singing chipmunks, so of course it's silly. But still. And the evil Ian is still a part of this. I really found him irritating in the first movie. Why is he still there? The title of the movie more or less explains it - the chipmunks are on a cruise heading to the International Music Awards when they're accidentally cast away on a deserted island. (And, yes, there is great homage paid to the movie ""Cast Away"" in this.) But there's really just nothing to maintain interest in this.If you're over the age of 5, you probably won't get anything out of this. The 5 and under set might appreciate the undeniable ""cute-ness"" of the chipmunks. But having seen this, I do hope it's the end of the series. (2/10)",Alvin and the Chipmunks - Chipwrecked
9,ericstevenson,Please end!,3,18 June 2016,"Looking back, I was never really a fan of ""Alvin And The Chipmunks"". It turns out their TV show was made none other than DHX Media, which until MLPFIM didn't have a cartoon that was really considered a classic. There's nothing wrong with it, there was just a lot of better stuff out there. The fact that they keep making these movies over and over and they keep getting worse is what really annoys me. The most fun thing about this was movie was learning how David Cross had so much fun mocking this (and the other films) so much. He's a funny guy and doesn't deserve to spend an entire movie in a pelican suit, or half a pelican suit I guess. It's still stupid.This gets worse than the previous entries because it didn't even introduce any important element from Alvin and the Chipmunks. The previous two, while still bad, at least introduced the title characters and the Chipettes, respectively. This is all completely pointless and might have worked as like a really short film. It does nothing to add to the little mythology this franchise even has. Cross told people not to see it, but at least it wasn't as awful as ""An Alsn Smithee Film: Burn Hollywood Burn!"" which I still consider one of the most unpleasant experiences in my entire life. The CGI isn't that good and everything is so predictable. When the stranded woman said there were others, I knew she'd be referring to inanimate objects. I knew Simon would save Janet in the end. Even at its fairly short length, it still seems needlessly padded. There's tons of pop culture songs. I guess it's justified given how they're singers in universe, but it's still a needless way to become relevant.There's a scene at the end where Alvin flashes to signal a rescue helicopter. It then cuts to him at a concert. Then we see some credits and then it shows this pointless part on an airplane. When is this even taking place? Right between the concert? It's all a waste of time as most live-action adaptations. I heard this won the best movie at the Kid's Choice Awards. I guess it actually beat ""Twilight: Breaking Dawn - Part 1""'s record for least critically acclaimed film to win movie of the year at any awards show (for them it was the MTV Movie Awards). Your kids deserve better and so do you. *1/2",Alvin and the Chipmunks - Chipwrecked
10,lesleyharris30,"Disgraceful,this trilogy gets worse as it goes on,",5,19 December 2011,"Alvins And The Chipmunks:Chipwrecked is a terrible movie,the three Alvin And The Chipmunks movies aren't well received but to be honest I enjoyed the first two,but this one is absolutely awful,in the first two they sing a lot but at the right time,in this they just sing whenever they feel like it,but the thing I hate most about this movie is the god awful Zoe,played by Jenny Slatewho is just a stupid character,although I do like The Chipmunks themselves,not so much for the Chipettes.The Chipmunks,The Chippettes and Dave go on a cruise on there way to the international movie awards,but The Chipmunks and The Chippetes get stuck on an island (long story) and Dave separately gets stuck with Ian Hawke in a pellican suit.",Alvin and the Chipmunks - Chipwrecked
11,capone666,The Vidiot Reviews...,3,29 March 2012,"Alvin and the Chipmunks: ChipwreckedHopefully, the maladroit wordplay in the title of this motion picture doesn't imply that it's only for those children with higher brain development.Phew! Thankfully, this live-action/computer-animated comedy is accessible to dumb kids as well.While on a cruise with Dave (Jason Lee), Alvin (Justin Long), Simon (Matthew Gray Gubler) and Theodore (Jesse McCartney), along with their female counterparts: The Chipettes (Christina Applegate, Anna Faris, Amy Poehler) find themselves stranded on an island after an Alvin related accident.Unfortunately, Dave and the Chipmunks old manager (David Cross) are marooned on the other side of the islet, leaving the rambunctious rodent singing groups to their own devises.Meanwhile, a localized volcano threatens to erupt. The second sequel in the series, this sampling is soured by stale renditions of radio hits and suggestive jokes of an inappropriate nature.Besides, to stay contemporary shouldn't their high-pitched chipmunk singing voices be modified with auto-tune? (Red Light)vidiotreviews.blogspot.ca",Alvin and the Chipmunks - Chipwrecked
12,UniqueParticle,Dreadful yet mildly entertaining,5,20 December 2020,"Such an easy movie to bash but fairly enjoyable despite many flaws! It's beyond me how this movie got approved at least the trilogy is over. Jason Lee, David Cross and the rest of the cast are pretty decent shockingly! Sometimes I like a guilty pleasure even if its a little annoying.",Alvin and the Chipmunks - Chipwrecked
13,pmtelefon,A warm and funny movie.,8,24 March 2019,"I am genuinely surprised (if not shocked) by the IMDB reviews of ""Alvin and the Chipmunks: Chipwrecked"". I honestly don't know what movie those people were watching. ""Chipwrecked"" is a very entertaining movie. It has a lot of laughs and some nice music. It has a great villain in David Cross. Cross has one funny line after another. But it's the love that Dave has for the chipmunks that makes this movie so good. They make him crazy but he loves them anyway. What's wrong with that?",Alvin and the Chipmunks - Chipwrecked
14,3xHCCH,A Very Kiddy Rehash and Nothing More,3,2 January 2012,"When we saw the trailer of the third Chipmunks movie in the movie house a few months ago, I certainly had no intentions of watching after the patiently sitting through the first two. In fact, the Squeakuel had been on constant replay on Star Movies over these holidays. I have had enough of their naughty and sassy squeaky voices! Curiously, the kids still wanted to watch this so I also did, albeit grudgingly. What should have been a pleasant ""family"" cruise with Dave and the Chipmunks and the Chippettes becomes a disaster because of Alvin's mischief with a kite (what else?) Everybody gets accidentally whisked off the ship and later marooned on a deserted island. There we see scenes rehashed off Tarzan, Castaway and even Raiders of the Lost Ark! Then, enter a volcanic eruption and a treasure hunter to provide thrills. Of course, in the end, everybody gets back to dry land safe and sound, as expected.OK, the Chipmunks and the Chippettes are cute, but that is about it. The pop songs chosen were not too well-rendered. The comedy of the story line was lame and painfully cheesy and corny. Jason Lee is just sleepwalking though his portrayal of Dave. David Cross was in a dreadful feathery pelican costume the entire film. This is strictly for young kids. Adults who get dragged into this by their kids should just grin and bear it, and find that silver lining, how ever thin it is.",Alvin and the Chipmunks - Chipwrecked
15,WeAreLive,Not the worst but not as good as the others,9,23 April 2018,"This movie was good but it just doesn't seem the same anymore like the other ones did. I am surprised that David Cross (Ian Hawk) is not the villain anymore and he has now gone straight to being a mascot for a ship. It is slightly more darker then the last ones but not as dark, mind numbing or violent for kids.",Alvin and the Chipmunks - Chipwrecked
16,moviexclusive,"If you've never liked the singing and dancing Chipmunk and Chipette trio, you're certainly not going to after this rehash of a sequel",5,13 December 2011,"You don't change the formula, not when it is one that has worked to amass a cool US$400mil worldwide per picture. So despite boasting a new director in the form of 'Sky High' and 'Shrek Forever After's' Mike Mitchell, this third live-action adaptation of the classic animated TV series is surprisingly alike to the earlier two instalments. That's going to be good news for those who loved both the first 'Alvin and the Chipmunks' as well as the 'Squeakquel'- but for those hoping that this third outing will finally have the charm that eluded the first two, we'd like to warn you to be disappointed.Penned once again by the duo of Johnathan Aibel and Glenn Berger, the 'Chipwrecked' adventure uses yet another paper-thin plot to string together the hi-jinks of the singing and dancing Chipmunk trio as well as their female Chipette equivalents. Here, Alvin's mischief while vacationing on a cruise with their kind beleaguered owner Dave (Jason Lee) leaves the Chipmunks and the Chipettes stranded on a desert island with a volcano that's about to blow its top. Oh and did we mention Alvin's hand-gliding stunt also lands both Dave and their arch-nemesis from before, Ivan (David Cross), overboard and washed up on the same, albeit different corner of the, island?It's no secret how- let alone if- the Chipmunks and Chipettes manage to make it off the island alive, and not even the addition of a new character, Zoe (Jenny Slate), whom Aibel and Berger unabashedly models after Tom Hanks' FedEx employee in Castaway, adds much life to what is really an awfully predictable plot. Admittedly, none of the Chipmunk movies have had much story, and to expect better from 'Chipwrecked' would therefore be a tall order. Like the previous instalments therefore, this one is simply content to coast on the 'aw-shucks' cute charms of the chipmunks. Indeed, each Chipmunk seems to be calculated to appeal to a certain demographic- whether the playful leader Alvin, the responsible brainiac Simon, or the adorably naïve Theodore, as well as the corresponding Chipettes Brittany, Jeanette and Eleanor. Their incessant high-pitched bantering and bickering that unfolds at a lightning pace is still clearly the highlight of the show, not forgetting of course their regular song and dance numbers set to some of the contemporary chart- topping pop tunes like Lady Gaga's 'Bad Romance', Willow Smith's 'Whip My Hair' and Destiny Child's 'Survivor'. Like we said, it's worked before- like a charm, if we may add- with family audiences, so expect more of the same this time round. A midway twist where Simon starts assuming an alter-ego in the form of Frenchman Simone after getting bitten by a poisonous spider tries to inject some novelty into the Chipmunks' routine, but the initial appeal of watching the usually rational Simon turn debonair and somewhat impetuous quickly wears out its welcome. Faring slightly better is the budding attraction between Simon and Jeanette, manufactured nonetheless to elicit maximum geek appeal.Speaking of geek, those who loved 'My Name is Earl' may be dismayed to find that Jason Lee plays again the lead human character in the movie- and while the talented Jason looks like he could easily sleepwalk through the role, he does succeed in drawing out more than a few laughs in between his repartee with David Cross. Mitchell however displays little of the flair he exhibited in the superhero surprise 'Sky High' and his work here is as nondescript as his earlier in 'Shrek Forever After'. Of course, the fault isn't entirely Mitchell's- after all, the template for the 'Alvin and the Chipmunks' live-action films have been pretty much fixed in stone after the resounding success of the first two movies. This three-quel is made only for those who have enjoyed both its predecessors, since ultimately it rehashes the same singing and dancing Chipmunk formula. Nevertheless, it's fast becoming a foolish consistency, and the likely fourth entry better not just be simply another Chip off the old block. www.moviexclusive.com",Alvin and the Chipmunks - Chipwrecked
17,zhyarTheChosen,Stop,2,9 September 2019,Stop making all those sequels you guys even made it worse than ever,Alvin and the Chipmunks - Chipwrecked
18,saadgkhan,its about time to send back the chipmunks back to the jungle,5,12 March 2012,"ALVIN AND THE CHIPMUNKS 3 : CHIPWRECKED – CATCH IT ( B- ) Another chipmunks' movie with lots of singing and dancing. The first chipmunk movie was really good and funny though the 2nd movie was more clichéd and boring at times. The 3rd movie is just like the 2nd one it watchable but not funny. It's just the same characters with some singing and dancing, nothing funny. The new girl's character in the woods was boring and brings nothing to the movie. Overall I think there is nothing much they could do with chipmunk's franchise. It's about time to wrap it up rather keeping making another one without any good humor or story.",Alvin and the Chipmunks - Chipwrecked
19,legobuilderpro,Wierd,4,4 July 2020,I think chipwrecked is the wierdest one 8n the series. But not the best,Alvin and the Chipmunks - Chipwrecked
