,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Hanks is likable and funny,6,12 September 2014,"Rick Gassko (Tom Hanks) is a cool personable school bus driver soon to be married to Debbie Thompson (Tawny Kitaen). His friends Jay O'Neill (Adrian Zmed), mechanic Rudy (Barry Diamond), nerdy Gary (Gary Grossman), and waiter Ryko (Michael Dudikoff) throw him an outrageous bachelor party. Her old boyfriend Cole Whittier (Robert Prescott) aims to break them up. Her parents don't like him either. His brother Stan (William Tepper) is coming along eager to get away from his wife Tina (Wendie Jo Sperber). They invite drugged up Brad Peckerhead Mollen.This is a simple Tom Hanks vehicle. The problem is that he doesn't have good enough partners to play with. Tawny Kitaen is a reasonable hot good girl. There are some fun scenes. Hanks hitting tennis balls over the fence. The male stripper with the fake hot dog is hilarious. The party getting out of control is fun. The Oingo Boingo song is catchy. These are good individual scenes. There needs to be more of them. It should get to the group bachelor party sooner. At least, the group has some limited comedy bromance chemistry. Adrian Zmed is not good enough to be the best friend. Gary Grossman is good as the funny nerd. The rest of them are acceptable as the boorish friends. Robert Prescott is great as the douche ex. As far as 80s raunchy comedies go, this one isn't too bad.",Bachelor Party
1,lee_eisenberg,married to craziness,8,23 November 2006,"""Bachelor Party"" is a big, stupid, pointless excuse for a movie. And it's proud of being such. That's what makes it so great. One of the many examples of Tom Hanks's career before he started acting in serious movies, it portrays him getting a party thrown by his buddies the day before he gets married. His father-in-law-to-be may try to undermine the wedding, but this guy doesn't know what he's up against! So, while the critic-stapo may say that Tom Hanks is now a serious actor, so these sorts of movies are worthless, I categorically beg to differ. It's just a nice, wacky, not-for-children excuse to have a lot of fun. And when I say not for children, I mean that this movie isn't afraid to do anything that it wants! I assert that it's worth seeing. You're sure to like it.",Bachelor Party
2,BA_Harrison,"Parkview Hotel, room 1002.",7,31 August 2019,"Tom Hanks stars as zany motormouth Rick Gassko, who announces to his friends that he is getting married to his girlfriend Debbie (Tawny Kitaen) in a week's time. Determined to give him a night to remember, Rick's pals organise a wild bachelor party, with porn, drugs, hookers, and a donkey! Will Rick remain faithful to Debbie during the crazy evening of debauchery, or will he cave in and sow his wild oats one last time? Debbie and her wedding shower guests dress up as ladies of the night to crash the party and find out, while Rick's love rival Cole (Robert Prescott) does his best to sabotage the impending nuptials.Bachelor Party, directed by Neal Israel (one of the creators of Police Academy), is a wacky slice of low-brow comedy, a film so '80s that it not only co-stars tasty rock-chick Tawny Kitaen, but also features Adrian Zmed of T.J. Hooker fame, and American Ninja Michael Dudikoff. The very silly antics include Cole sending a pair of prostitutes to Debbie's wedding shower, the boys arranging for a well-endowed male stripper to surprise the women, Rick and pals hanging a naked Cole out of a hotel window (after he shoots at them with a crossbow!), a bestiality floor-show going awry when the donkey hoovers up a fatal dose of drugs, and Rick somehow resisting the temptations of a completely naked Monique Gabrielle (man, that guy has impressive self-control).There are quite a few serious laughs to be had with this delightfully deranged comedy, but I would have enjoyed it a bit more if Tom Hanks' character wasn't quite the massive jerk that his father-in-law-to-be says he is. Quite what Debbie sees in him is hard to fathom: he's an obnoxious, immature, and unrefined slob whose only redeeming feature is his fidelity. Still, even with Hanks' unlikeable protagonist, Bachelor Party is still a lot fun.7/10. Funniest and most quotable lines: ""I hope you like potato salad... it's chunky style... my favorite!"" and ""I wish I had someone I could really respect. Hey, look at the cans on that bimbo!"".",Bachelor Party
3,edwagreen,Bachelor Party is An Animal House *1/2,3,21 April 2010,"A very young Tom Hanks stars in this 1984 film with many familiar themes.As a school bus driver getting married to a girl from an uppity family, Hanks' assortment of odd friends plus his married doctor brother plan the usual bachelor party for him.His father-in-law to be dislikes Hanks so that he gets his daughter's former boyfriend on the case to get rid of our lad.The film is typical of what goes on at our wild, swinging bachelor parties. There is plenty of merriment and glee, especially when the girlfriend and her friends crash the party as hookers.While the very end of the film is hilarious when things get out of hand at the posh hotel where the swinging party is being held, the film is so typical and predictable.",Bachelor Party
4,bevo-13678,Fun,10,30 March 2020,I like the bit where they had a wild bachelor party,Bachelor Party
5,preppy-3,Crude but fun,7,7 September 2001,"Likable, stupid, crude and very funny movie about Tom Hanks having a bachelor party before he marries beautiful Tawny Kitaen.  Naturally, things go barreling out of control.  It's incredibly tasteless (although somewhat tame compared to today's movies), silly and full of female (and male!) nudity...but damned if I wasn't laughing!  Most of the humor comes from Tom Hanks who's (I assuming) ad-libbing his lines left and right.  Very 80s in terms of clothes and hair.  Brainless but fun.  A perfect example of an R-rated 1980s sex comedy that would get an NC-17 rating today.  Also interesting to see Hanks pre-stardom.  Turn off your brain and enjoy!",Bachelor Party
6,Boba_Fett1138,Amusing silly '80's comedy.,7,23 November 2008,"This is one of those typical silly early '80's comedies, that features lots of immature teenage type of lame humor and nudity and sex jokes.No, this by no means is a great movie and it also is hardly the best the genre has to offer but it's a movie that simply serves its purpose and brings some good entertainment.The movie features dozens of silly and over-the-top characters, who are the main reason why this movie is such a maintaining and silly entertaining one to watch. It features Tom Hanks in an early comical movie role and it actually is sort of a shame he doesn't do movies like this anymore, since he certainly was very talented at it. Not that I mind the movies that he does now days of course but it at the same time is also a waste of his comical talent.The movie also tries to feature some more serious elements, that concentrated on what it means to be married. Not that this works out horrible for the movie but it of course is also distracting a bit from what the movie is really truly about; simple immature comedy. Further more there is very little story actually and it simply features on the events during and around a bachelor party.The movie is so silly, simplistic and immature that you just can't help being entertained by it all. No matter how bad and cheesy it all gets, you can't help laughing at this movie. Some comical moments are just plain great.A real enjoyable silly '80's comedy, starring a young Tom Hanks.7/10http://bobafett1138.blogspot.com/",Bachelor Party
7,Aaron1375,"Your basic 80's sex comedy, but this one has Tom Hanks.",8,3 March 2010,"Yes, this one stars Tom Hanks, and from looking at the cast not to many other people I have heard of except for Tawnee Kitane. However, I thought this film was a laugh riot and enjoyed every minute of it. The plot is simple enough. An about to be married man is about to embark on the greatest send off party ever the bachelor party. Things are not so cut and dry though as the female comes from a wealthy family and she has an ex boyfriend who is a bit of a prick too that constantly tries to throw a monkey wrench into the works during the course of the movie. The father of the bride to be also tries to stir the pot a bit too. Well the party starts out rather slowly as the dirty movie has been censored and things are looking rather dull until one of Hanks' buddies finally comes through with the hookers and all bets are off. Drugs, nudity, and donkeys are all the rage!!! Yes, this movie is crazy and your basic sex comedy of the 1980's, but it is also one of the better ones of the era. I like it a lot more than Tom Cruise's ""Risky Business"" as that one takes itself to seriously at times while this one stays light and funny all the way through to the climatic battle in the movie theater where a gal gets punched in the face and thinks it is the 3-d.",Bachelor Party
8,mm-39,This story hits all the sterotypes,5,19 July 2002,"Hollywood can get away with certain sterotypes but not others.  This film like Caddy Shack  has the old established people (people off the May Flower) mixing with the ethnics (Irish, Polish Greek etc)  I am from East Kildonian, the ethnic part of the city, and can relate with this film.  Sure some of us can be loud, along with crazy, but not thin skinned and can laugh at our selfs.  Many of the 80's comedies play on these sterotypes.  My friend, and I remember events from the old neighborhood when we watch this film.  IT's fun to watch but no classic, like most of the 80's films it too cheesy. 5/10",Bachelor Party
9,elo-equipamentos,Tom Hanks introducing himself who afterwards becomes a true hitmaker !!!,7,3 May 2021,"Revisiting this early work of the still young Tom Hanks, with a keen eye we can see a promising star which he became later, reading some comments here, I've picked one that portrays the movie well, those rough jokes don't stands of test of times properly, a bit dated, also politically incorrect to nowadays's standards in many scenes, mainly using a harmful donkey at party that ends up dying for drugs overdose, too much roughhouse in exchange of a scratchy humor highly questionable taste, a true off-color that sounds so weird on current years, Tom Hanks pranksters friends is another low point, too much foolish.However the picture has countless remarkable moments, as when Rick Gassko (Hanks) mocking an old nun with lewd talking, also in tennis play when he hits all balls at a neighbor backyard, letting the owner pissing off, another re-letter moment is a supposedly a betrayal sequence when the head of that gorgeous girl became in old nun inquiring Rick's previous vows of chastity and his own fiancée Debbie (Tawny Kitaen), without forget his mate Gary (Gary Grossman) falling in love for drag queen that pee standing up, just unforgettable, further the plot exploits the nudity over the edge, therefore such thing took the movie be labeled as ""R"", today it should be smoothly a kid's movie in face a new wave of teenager comedies as American Pie's franchise.Blatantly Bachelor Party aged, remains his undeniable legacy of Tom Hanks's debut (Splash and the previous ones don't hold water) in this he really takes off to became a smashing hitmaker whatever he did or touched it becomes in gold at box-office.Thanks for reading.Resume:First watch: 1988 / How many: 5 / Source: TV-DVD / Rating: 7.5.",Bachelor Party
10,Smells_Like_Cheese,"So funny, one of my new favorite comedies!",8,16 May 2008,"I have heard of Bachelor Party a couple times, once on VH1's I love the 80's and also in Clerks 2 there was a small reference. The weird thing is, I'm more used to a dramatic Tom Hanks, other than Big and A League of Their Own, I've never seen him in a raw comedy movie, so it was a little weird to think of Tom Hanks as this very funny male lead in a movie. But I decided to go ahead and give the movie a look, I have to tell you, I haven't laughed so hard and so out loud in a movie like this in a long time. Then I check out the rating on IMDb, 5.7?! Are you kidding me?! This movie is just so beyond funny, I know that it is cliché'd eighties, but come on! I just couldn't believe that anyone else would not find this to be a funny film. If you're telling me you did not find Brad to be funny, you have got to get your funny bone checked because Bachelor Party is non stop laughs from beginning to end.Rick is about to get married to beautiful Debbie, his friends who live to party are throwing him the biggest bachelor party they can have. Debbie's rich and snobby family definitely don't want Rick to be apart of their lives, so Debbie's dad will do anything, including her ex-boyfriend, Cole, who wants her back, to split them up. But the bachelor party night has arrived, and things are going more crazy than the boys have expected.Bachelor Party is seriously funny, it's predictable and silly, especially the end, but it's all in good fun. This is perfect 80's humor, it's the humor I miss and I'm sure others do too, because it's raunchy but doesn't over do it and just has fun with the audience. This cast looked like they had an ultimate blast and Tom Hanks was just brilliant, his character could be a jerk, but such a great guy at the same time, so he's real and likable. This is just a funny movie that I would recommend, it's a lot of fun and the rating on IMDb is just too harsh. Come on, let's get this rating up.8/10",Bachelor Party
