,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Not the easiest watch, but hugely rewarding",9,9 June 2017,"Alejandro González Iñárritu to me is an immensely talented director, with not a bad film (from personal opinion) in his filmography. Some films are better than others, 'Babel' to me is his weakest though still very good, but even when Iñárritu is not at his best he is still significantly better than many directors at their best and worst.It is easy to see why '21 Grams' won't appeal to everybody. It is not an easy watch and there are many other films that have better replay value, but it is still a fine film, with so many great things, that both challenges and rewards those who love the film. '21 Grams' has a non-linear structure that can feel fragmented, and there are a couple of parts that are not as clear as it could have been and cause a little confusion. The ending also could have been better rounded off.'21 Grams', as always with Iñárritu is a visual and technical marvel, with photography that's gritty, atmospheric, beautiful and intimate, clever editing and striking scenery. Iñárritu's direction is exemplary, with a breath taking vision, mastery of mood and taking risks and not holding back. The music is not amazing but it fits well.The script in '21 Grams' is tense, poignant and thought-provoking, while most of the story is thematically and dramatically gripping with plenty of intensity and emotional impact as well as a suitably bleak tone. The characters are compellingly real.Have nothing but praise for the acting, which is some of the best acting of that year. Sean Penn is splendid in one of his best performances, while Naomi Watts' performance is very close to a career-best. Best of all is Benico Del Toro who really gets into the complex meat of his character, an intense and moving performance that in no way falls into hamminess. Melissa Leo and Charlotte Gainsburg are fine too if not in the same league as the three leads.Overall, challenging but rewarding. 9/10 Bethany Cox",21 Grams
1,SnoopyStyle,remarkable performances,9,20 August 2016,"This is an interconnected story of tragic figures in a non-linear time line. Cristina Peck (Naomi Watts) is a recovering drug addict, a suburban wife, and mother. Her husband and girls are killed by ex-con Jack Jordan (Benicio Del Toro). The husband's heart is donated to Paul Rivers (Sean Penn). Paul breaks up with his wife Mary (Charlotte Gainsbourg). He tracks down the donor and begins a relationship with Cristina who returns to drugs. Jack turns himself in despite his wife (Melissa Leo)'s objection. Cristina refuses to press charges but then talks Paul into killing him.The acting from the three leads and everyone else is top-rate. Director Alejandro González Iñárritu's use of non-linear story telling can be controversial. For me, it sharpened my attention as I disentangled the narrative. It heightens the intensity. Also this method of story telling had yet to wear out its welcome. It does get overused after this. The acting is simply remarkable.",21 Grams
2,claudio_carvalho,"A Depressing Story, One of the Saddest Movies Ever",10,4 September 2004,"Cristina Peck (Naomi Watts) is a well-married housewife, living with her two lovely daughters and her husband in a comfortable house. Paul Rivers (Sean Penn) is a mathematician, married with Mary Rivers (Charlotte Gainsbourg) and having troubles with his heart, needing an urgent transplantation and waiting for a donator. Jack Jordan (Benicio Del Toro) is a former drug dealer and small time crook, married with Marienne Jordan (Melissa Meo) and having a son and a daughter, who found his salvation in Jesus, becoming a good man and a fanatic religious. A horrible car accident joins the lives of Cristina, Paul and Jack, affecting their families and friends. In order to avoid spoilers, I do not intend to go any further in my summary of the plot.""21 Grams"" is a movie supported by a great screenplay, magnificent direction and wonderful interpretations. The screenplay presents the story in non-chronological fragments, like in ""Pulp Fiction"", disclosing in pieces like a puzzle a depressing story, certainly in one of the saddest movies ever. The direction of Alejandro González Anirritu is impressive. This is the second movie directed by him that I saw (the other one was ""Amores Perros"") and both of them are excellent films. The greatest reference I can mention is the IMDb User Rating: ""Amores Perros"" (top 250: #139, with 8.2) and ""21 Grams"" (top 250: #188, with 8.0). Therefore, many viewers share my opinion in this regard. The performance of the cast is something unique: Naomi Watts proves that she is not only a beautiful face and body on the screen, but also a terrific actress, being nominated by the Academy for the Best Actress Award. Benicio Del Toro, who was found some years ago, has another great performance in an important role, the trigger of the situations exposed in the story. Sean Penn is an outstanding actor, always a synonym of high-quality performance and it is not necessary to say thing else about him. Melissa Meo, Charlotte Gainsbourg and the rest of the cast have inspired acting. My vote is ten. Title (Brazil):'21 Gramas' ('21Grams')",21 Grams
3,classicsoncall,"""Life does not just go on.""",8,14 April 2018,"Even devotees of non-linear story telling movies might have some difficulty with this picture. The very early sequences of the movie tend to leave one confused and disoriented, seeming as if the principal characters have an established relationship to each other. That idea gets quickly negated as the film moves forward, and you're left scratching your head over something you might have just seen that doesn't make sense any more. It goes on like this for a while until the pieces of the puzzle eventually fall into place, by which time you begin to understand that none of the central characters is particularly appealing and the kind of people you want to root for. A good part of that is owed to the exceptional performances of Sean Penn, Naomi Watts and Benicio del Toro, all of whom demonstrate a wide range of thought and emotion demonstrated by their characters. Naomi Watts in particular delivers an outstanding performance in the role of a widow who's lost not only her husband, but two young daughters as well, in an accident that eventually brings all three figures together in an astonishing climax. The '21 Grams' the movie's title refers to dates all the way back to a pseudo-scientific experiment done in 1901 by a physician named Duncan MacDougall, who was convinced the human soul had weight, and that it could be measured at the time of death by taking the before and after weights of people about to die. Though the experiment was highly flawed, the result the experimenter came up with has lived on as an urban legend of sorts. Upon thoughtful consideration, that really has nothing to do with the premise of this story, as it's thrown into the script one time for matters of association but with no bearing on anything that actually happened in it. Before watching the film, '21 grams' sounded like it could have referred to a quantity of drugs involved in some fatal overdose scenario, but instead it might be the amount of brain power required to concentrate on the film until it's baffling conclusion. Anyone else wondering whether Sean Penn's character shot himself accidentally or on purpose?",21 Grams
4,gavin6942,This Film was Inspiring,8,10 March 2006,"This is the way to make movies: a decent plot, a few twists, characters you can identify with, and a director who actually gives a hoot about what he's doing.21 Grams is the story of three people (Benicio Del Toro, Sean Penn, and Naomi Watts) whose lives intertwine when another man dies in a car accident. The connections between them grow and twist like vines, leaving you and your heart trapped in the middle, like a mouse caught in a vice.My biggest fear was Sean Penn's over-acting (see ""Casualties of War""), but it was luckily absent from this film. Naomi Watts was excellent as usual (see ""Mulholland Drive"") and she was filmed in such a way to make her acting stand out better than her beauty, which I think did wonders to the story. Benicio Del Toro? Heck, I have nothing bad to say about him.One thing I really liked was the use of hand-held cameras. Not all movies can pull this off - we, the audience, like a nice polished look. But this worked, adding to the reality of the situation and the grit of the story. I think a clean, touched-up camera would have ruined the masterpiece I saw.Some people compare this movie to ""Pulp Fiction"" and call it a ripoff. Quite frankly, I think they're on crack cocaine. These two films have nothing in common, other than the use of scenes shown out of order. Does that make all films a Pulp Fiction ripoff who use this technique to slowly unravel a tale? There was no other connection -- no mafia, no drug deals, no Royales with Cheese.This film is so recommended you should put it on your Easter want list or maybe your bridal registry.",21 Grams
5,lee_eisenberg,good grief,8,13 May 2006,"First off, I should identify that ""21 Grams"" is not the easiest movie to watch; specifically, it's all about grief. Sean Penn, Naomi Watts and Benicio Del Toro play some people whose lives get intertwined following a car wreck.A previous reviewer said that the movie's non-linear structure makes it somewhat confusing. I guess that it does a little bit, but that misses the overall point of the movie. The movie is showing the gut-wrenching existences that these people live. As it is, Penn's role here pretty much mirrors his role in ""Mystic River"".All in all, it's a well done movie. Alejandro Gonzalez Inarritu gets down and dirty the same way that he did in ""Amores Perros"". I do recommend the movie, but I should warn you: don't expect anything light and fluffy.",21 Grams
6,jboothmillard,21 Grams,7,7 July 2016,"When I first heard the title of this film, I assumed it was something to do with drug dealing or something, in fact the title refers to the amount of body weight supposedly lost at the moment of death, directed by Alejandro G. Iñárritu (Amores Perros, Babel, Birdman, The Revenant). Basically the story is told in a non-linear manner, and focuses on three unassociated and well-meaning but flawed characters who are brought together by a tragic car accident that changes their lives. Paul Rivers (BAFTA nominated Sean Penn) is a critically ill mathematician in a loveless marriage to English emigrant Mary (Nymphomaniac's Charlotte Gainsbourg), he has a fatal heart condition, Mary wants him to donate his sperm so she can have a baby after he dies. Cristina Peck (Oscar and BAFTA nominated Naomi Watts) is an upper-class suburban housewife and happily married homemaker with two young daughters, she is a recovering addict with a secret past of drug abuse and alcoholism. Jack Jordan (Oscar and BAFTA nominated Benicio Del Toro) is an ex-convict who has turned to the Christian faith, and in doing so has found strength to recover from drug and alcohol addiction, and he has raised a family. One evening the three are tied together when Jack kills Cristina's husband and children in a hit-and-run accident, her husband's heart is donated to Paul, who begins his recovery, Cristina is devastated and returns to drugs and alcohol, Jack is stricken with guilt and starts using drugs again, and while incarcerated he unsuccessfully attempts to suicide. In the time that follows, Cristina does not press charges against Jack, leaving prison Jack cannot incorporate himself into normal life, and leaves home to work in manual labour, and Paul finds an opportunity to meet Cristina, she is unaware of the heart donation, they form a close and eventually ignite a relationship. Cristina is furious when she finds out the surgery, and forces him, but eventually reconsiders, needing each other they continue their relationship, but his new heart is rejecting the heart transplant, the outlook looks grim, Cristina starts to dwell on the tragic past, and becomes obsessed with exacting revenge on Jack. Paul is goaded by Cristina to murdering Jack, using the same private detective that found Cristina, Paul finds Jack, but holding him at gunpoint he is unable to kill him, Paul tells him to ""just disappear"", but Jack later returns, still feeling guilty for the heartache he has caused, he wants Paul to kill him, there is a struggle, it ends with Paul collapsing and shooting himself. Jack and Cristina rush Paul to hospital, despite telling he shot Paul, Jack is released by the police, Paul dies, and the conflict between Cristina and Jack stays unresolved, Cristina finds out she is pregnant and prepares for a new baby, and Jack returns to his family. Also starring The Fighter's Melissa Leo as Marianne Jordan, Eddie Marsan as Reverend John, Clea DuVall as Claudia, Danny Huston as Michael, Paul Calderon as Brown and Denis O'Hare as Dr. Rothberg. Penn, Watts and Del Toro are fine acting talents, and each give splendid performances, the story with three lives brought together by an accident is cleverly done, with good themes of faith and redemption, it is unusual to have events before and after the event not playing in chronological order, but it is edited in a way that you can still understand what goes in what order, an interesting drama. It was nominated the BAFTA for Best Original Screenplay and Best Editing. Very good!",21 Grams
7,moonspinner55,"Ironic, brave, intense...",8,10 December 2005,"Snapshots of tragedy: the lives of three people--a wife and mother of two, a dying man in need of a new heart, and an ex-con turned counselor at a religious center--intersect after a tragic car accident. ""21 Grams"", directed by Alejandro González Iñárritu from an original screenplay by Guillermo Arriaga, consists of dramatic episodes involving these characters (both before and after the accident), with scene after scene presented--one may assume--in random order; yet, there's a method to this editing madness, and the film's narrative actually feels much more linear in retrospect. Iñárritu is visually addicted to squalor (he sees the lonely beauty of it) and his film is unrelentingly gritty; this ambiance is matched by the performances of all three principles--Naomi Watts, Sean Penn, and Benicio Del Toro--each of whom perform totally without vanity. It is a remarkable achievement, with a few sequences of textbook dramatics completely recharged by the style, the desperate energy, and Iñárritu's emotional handling. An intense, gripping couple of hours! Two Oscar nominations: for Watts as Best Actress and Del Torro as Best Supporting Actor. ***1/2 from ****",21 Grams
8,Quinoa1984,Absorbing and powerful direction & acting; the story structure was less than great,8,3 January 2004,"Alejandro Gonzalez Inarritu made a well-deserved leap into the renown film-making pool with Amores Perros, and his follow up 21 Grams shows him with plenty of talent to spare. He also gets three (or more, depends on how effective one thinks the supporting performance were) forceful, compelling performances out of Sean Penn, Benicio Del-Torro, and Naomi Watts. They're involved in three interlocking stories- Penn as a mathematician with a rottening health and a near-rottening relationship; Del-Torro's found Jesus Christ after being in and out of jail for part of his life; Watts is a house-wife who may have some deep troubles within her mind. Each of the three leads doesn't go for cheap drama, and each one plunges the depths of their own abilities to find truths that might not be possible with lesser material or a lesser director. I won't say much more about the stories, however I do have something to say about the structure of the film. The script brings some mesmerizing scenes, ones with great tragedy that bring out a viewer's compassion. Never-the-less, there was something about the structure that I didn't think was all that great. In films like Once Upon a Time in America, Reservoir Dogs, and even Memento, the scrambled story structure had a purpose, adding appropriate twists and turns for the audience. 21 Grams (like Amores Perros in a sense) has that non-linear basis to it too, and sometimes it works for the audience to react. But I think there would be a lot more power to how these characters' fates and tragedies unfold if it was told linearly from start to finish. In many moments in the film I found myself knowing a little too much before a particular scene unfolded, or I found myself guessing about something that I didn't need to (one of the points of non-linear storytelling is answers first, questions later). It wasn't an aspect that made the film bad, yet the stock that writer Guillermo Arriaga and director Inarritu put into this structure over interlocking the stories in order, or perhaps telling each story separately, is the film's only drawback.",21 Grams
9,michaelRokeefe,What is life?,8,14 June 2005,"Stark and deeply dark. 21 GRAMS is the telling of three disparate people who become linked as a result of an ill-fated auto accident. Jack Jordan(Benicio Del Toro)is a born-again Christian ex-con, who accidentally kills a family on his way home from work. He turns himself in and finds himself behind bars again guilt-ridden. Cristina Peck(Namoni Watts)is a woman fighting her drug addiction as she is given the news of her husband and two daughters being killed in the car accident. In the midst of her grief, Cristina agrees to donate her husband's heart to a math professor, Paul Rivers(Sean Penn)suffering congenital heart disease.Upon release from the hospital, Paul hires a detective to seek out Cristina. Soon they enter a doom-stricken romance and future that is shared with the self-loathing Jordon. Through the pity and remorse, the self righteous ex-con feels Paul and Cristina should not be together.This is a real passionate movie that suffers the distraction of darting back and forth from past to present to past. 21 GRAMS is very volatile, animalistic and no less riveting. There is so much self-hatred guilt and urgent sexual expression it is hard to find just a glimmer of hope or optimism. Tragedy kills ambition.",21 Grams
