,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,A funny little time capsule.,8,13 August 2010,"I think ""Nine to Five"" probably resonates more with people of my generation and earlier than it would with kids today--though its appeal still is timeless. I watched the film with my teen, and she laughed her head off at the antics of the film so much that now she wants to go see the play.Let me digress a bit and say that the quality of this film says a lot to me personally, as I am NOT a fan of Jane Fonda (you may well guess why) yet I heartily recommend the film. Plus, whatever my feelings about the actress and her politics, she did do a good job in the film.The plot is probably very familiar to most of you, so I won't explore it in any detail. Suffice to say that the boss is an evil sexist pig and three women in his office decide to pay him back for his dastardly ways. Had this just been a film about sexism, it might have come off as preachy. Instead, as it's a rather clever comedy, it seems less preachy and just fun--and still makes its point. My favorite parts are the fantasy sequences (especially the Snow White-inspired one) and I must admit that while it's a wonderful film, it does slow down a lot after Dabney Coleman's character is kidnapped. Still, overall it's a very good film for the whole family that is excellent in every way...and an interesting little time capsule at that.",9 to 5
1,bkoganbing,"""Poured Myself A Cup Of Ambition""",8,3 May 2010,"While watching Nine To Five, I couldn't help but think about the Billy Wilder classic film, The Apartment. Part of the plot of that film was Fred MacMurray, a more polished version of Dabney Coleman from this film who also used his office and position of authority to behave like a real pig. I thought about poor Shirley MacLaine who tried to commit suicide and eventually found love with Jack Lemmon, but both faced an uncertain future albeit with each other.Shirley and the other of MacMurray's victims should have seen this film and taken a lesson from Jane Fonda, Lily Tomlin, and Dolly Parton who start as strangers and end up as allies and who find a way to get even with Dabney Coleman for using and abusing his employees.All three women are different, different in real life and playing different types of characters in the film and at the beginning not really liking each other because they don't know each other. Tomlin is the efficient office manger who makes Coleman look good because he takes credit for her work. Fonda is a new employee who had to go back to work because her husband left her. And the beautiful and curvaceous Parton is Coleman's secretary who Coleman is trying to jump her form and the folks in the office think he already has.But eventually these women make common cause and what they do to Coleman is an inspiration to working women everywhere.As good as these women are the film would go nowhere without Dabney Coleman who makes a specialty of playing men you love to hate whether in comedy or drama. He's as big a sexist pig as MacMurray and a whole lot funnier.The supporting cast has some real interesting roles as well. Elizabeth Wilson plays the office snitch and anyone who has ever worked in an office you can count yourself lucky if there are only one of those in your place of work. And they don't have to necessarily be women. I also liked Marian Mercer as Coleman's completely clueless wife. And movie veteran Sterling Hayden comes on in the end as the chairman of the board of the company who in his own earnest, but clueless way settles all their problems.To Dolly, Jane, and Lily who took action for put upon employees everywhere, we did love you in this film.",9 to 5
2,SnoopyStyle,nice fun likable group,7,23 October 2015,"Judy Bernly (Jane Fonda) is new to the clerical pool. Her husband left her for his secretary. Violet Newstead (Lily Tomlin) is the veteran tired of getting passed over. Doralee Rhodes (Dolly Parton) is the secretary to sexist boss Franklin M. Hart Jr. (Dabney Coleman). She is ostracized for a false rumor of having an affair with the boss. The three women become friends after a constant series of injustices by Franklin. Some misunderstandings lead the girls to believe that Violet accidentally poisoned Franklin. Franklin finds out and tries to blackmail Doralee. That is when Doralee takes him prisoner.This is not as funny as one may expect. At least, there are no big laughs. This has a black comedy edge to it. It is likable enough. The three women have great chemistry. And Dolly Parton has that iconic song. Coleman is a great chauvinist.",9 to 5
3,claudio_carvalho,One of the Best Comedies Ever,8,6 March 2018,"On the first day of the secretary Judy Bernly (Jane Fonda) at the Consolidated Companies, the senior office supervisor Violet Newstead (Lily Tomlin) is in charge to introduce her to the coworkers. Judy was a housewife that has never worked but after her recent divorce, she is forced to find a job. Violet explains that their boss Franklin Hart Jr. (Dabney Coleman) is a sexist, egotistical, lying, hypocritical bigot and his secretary Doralee Rhodes (Dolly Parton) is his mistress. When Violet develops a method to increase the profit of the company, the opportunist Franklin backstabs Violet and presents the wok as if he had made it. Later the chauvinist Franklin does not promote Violet. He also spreads rumors about Doralee and mistreats Judy. When Violet accidentally put rat poison in Franklin´s coffee, he has an accident with his chair, hits his head on the floor, loses consciousness and drops his coffee on the floor. He goes to the hospital and Violet and her friends believe he had died. When Franklin returns to the office, his snitch learns what happened and he blackmails the secretaries that kidnap him. Now Violet administrates the office with Judy and Doralee and they discover that Franklin is stealing Consolidated Companies. How can they prove?""Nine to Five"" is one of the best comedies ever. The timeless story is still very funny thirty-eight years after the release in 1980. Lily Tomlin is one of the best comedians of Hollywood and she shines in this comedy. Jane Fonda is also very funny in the role of an uptight woman recently divorced. The country singer Dolly Parton is the great surprise with a good performance. Dabney Coleman is also great in the role of the chauvinist Franklin Hart Jr. The fantasies of the women of how they would like to kill their boss is one of the greatest moment of this film. The conclusion with Franklin sent of the jungle in Amazon is delightful. My vote is eight.Title (Brazil): ""Como Eliminar Seu Chefe"" (""How to Get Rid of Your Boss"")",9 to 5
4,gavin6942,Pretty Amusing,7,24 April 2015,"Three female employees of a sexist, egotistical, lying, hypocritical bigot (Dabney Coleman) find a way to turn the tables on him.I really knew nothing about this film going into it, and did not necessarily have the highest of hopes. Judging a book by its cover, this could be seen as a ""chick flick"", but it is most certainly not. This is a clever, humorous comedy that really came at the right time.This is an especially good role for Lily Tomlin, who has plenty of good roles in her career. The morgue sequence... wow. That is some dark, morbid humor that was completely unexpected, but also saved the picture for me. Sometimes you just need a little darkness to get the laughs.",9 to 5
5,lee_eisenberg,for anyone who's ever hated their boss,10,9 May 2005,"Ever wanted to take revenge on a really creepy person? Well, Jane Fonda, Lily Tomlin and Dolly Parton do just that in ""Nine to Five"". After their undesirable-in-every-way boss (Dabney Coleman) threatens to have them arrested after a misunderstanding (it's a long story), the three take him hostage and institute progressive policies in the office.Especially a hoot is the mixture of characters: Jane Fonda is the mousy newcomer, Lily Tomlin is the goof-off, and Dolly Parton is the hillbilly. No matter what happens, they always have a solution, even after a bizarre mix-up in a hospital.I recommend this to everyone.",9 to 5
6,jboothmillard,Nine to Five,5,20 March 2012,"The title song I have obviously heard many times on the radio, on television and in films, it is probably the only one know I really know from the famous country and western singer, I was interested to see the film that the song came from, and the acting debut for the singer. Basically at Consolidated Companies, three female office workers, secretary Judy Bernly (Jane Fonda), senior office supervisor Violet Newstead (Lily Tomlin) and fellow secretary Doralee Rhodes (twice Golden Globe nominated Dolly Parton) have had enough with their boss. The company boss Franklin M. Hart Jr. (Dabney Coleman) is a sleazy, selfish, sexist, misogynist pig who takes advantage of all his female employees, and the three colleagues plan to get their revenge on him. There are a couple of instances where they may be contemplating killing him, and there is an accident where they think they do, but they settle instead with simply teaching him a lesson by trapping him in his house, making him see the error of his ways. By the end Hart has very much learnt his lesson to treat women much better, and the end credits say that Judy, Violet and Doralee went on to better careers and stuff. Also starring The Asphalt Jungle's Sterling Hayden as Russell Tinsworthy, Elizabeth Wilson as Roz Keith, Henry Jones as Mr. Hinkle, Lawrence Pressman as Dick Bernly, Marian Mercer as Missy Hart and Renn Woods as Barbara. The three female stars all do their vengeful characters as well as they can, the one that stands out for me is indeed Parton, and Coleman is a good choice to be the bastard mistreating them, I will admit it is not the funniest and most original film, it isn't such a bad comedy though. It was nominated the Oscar for Best Song for Parton's title song (also nominated the Golden Globe). Worth watching!",9 to 5
7,Tweekums,"How to deal with a 'sexist, egotistical, lying, hypocritical bigot' boss in '80s America!",8,24 January 2019,"It is Judy Bernly's first day at work and she is being shown around by Violet Newstead. She introduced to new workmates and boss Franklin Hart, Jr. It soon becomes clear that Hart is a 'sexist, egotistical, lying, hypocritical bigot'... he gives a man a promotion over Violet despite her greater experience and lets the office know he is having an affair with his secretary, Doralee Rhodes despite the fact that she has rebuffed all his advances. It all comes to a head one day and Judy, Violet and Doralee end up talking about how they would like to kill him... then, following an accident, it looks as if one of them has really killed him... their lives are about to get complicated.This office based comedy really stands the test of time; the technology and big hair may have long gone but the basic story still feels fresh and is certainly still funny. That are plenty of laughs throughout the film although most come after the women start talking about killing Hart and then deal with the consequences when they fear one of them has accidentally poisoned him. The fantasy sequences may be a little cheesy, one even feature Disney style cartoon animals, but I found them rather funny. The three female leads; Jane Fonda, Lily Tomlin and Dolly Parton are great as Judy, Violet and Doralee; three distinct characters whose developing friendship feels real. Dabney Coleman is equally great as Hart; he makes the character easy to dislike while still keeping him very funny. The film has a clear message about how women are treated in the workplace; this might not be subtle but it never felt like a lecture. There isn't much to offend in the film; just some comical sex references... I can only imagine the UK '15' certificate is because the three protagonists enjoy a joint together and are shown to have a good time rather than any negative effects. Overall I'd definitely recommend this to anybody wanting a good laugh who enjoys '80s films, especially ones with strong female leads.",9 to 5
8,moonspinner55,Occasionally perceptive office comedy eventually becomes arms-flailing cartoon,6,28 September 2005,"It had to happen: for two-thirds of its length, ""Nine to Five"" is a sharp, satirical, recognizable put-down of work-a-day life ""at the office"", but in its later stages it becomes a silly revenge comedy, and then a message piece. The messagey last act is the real bummer, with three secretaries taking over their work-place and transforming it into a politically correct nightmare. Jane Fonda is Judy, a just-divorced woman new to office work, and her starchy appearance and nervous manner aren't really all that funny (she's immediately cold to secretary Dolly Parton on the basis of office gossip alone); her character's big flub in the copy room is an example of director Colin Higgins' use of silliness--and it's not even to make a point (the Xerox machine goes cartoonishly haywire and Judy just looks like a jinx). Lily Tomlin is much better as Violet, a 12-year team player who keeps getting passed over for promotions--but why she would even want to be promoted into a den of thieves and liars is never really made clear. Dolly Parton is dazed but not frazzled--she's just pleasantly zonked as Doralee, whom everyone thinks is sleeping with the boss (Dabney Coleman--who only shines in the fantasy sequences; his Mr. Hart is a tiresome tyrant who, of course, is not just a show-off and a cheat but an embezzler as well!). Terrible-looking movie with an excruciating background score manages to get laughs with some canny writing (in the first hour or so) and because of Tomlin's dead-on impersonation of a working widow with kids who just wants her dignity. But the plot-twists in the second-half take the picture off-track, leading to a storybook ending that is commercially driven--and not even in keeping with the cynical, satirical tone of the early part of the film. **1/2 from ****",9 to 5
9,edwagreen,9 to 5-Work Was Never This Much Fun ***,8,30 September 2009,"No question that this is a very funny movie thanks to the gifted performances of Jane Fonda, Lily Tomlin, Dabney Coleman and Dolly Parton. Parton's Oscar worthy song 9 to 5 immediately captures a positive mood in this tale of 3 women who gang up on their miserable boss who has subjected them to sexism in every sense of the word.The real surprise in this film is Fonda's performance. She goes from a woman who acts and dresses as if she is a spinster teacher to one who is quite hip.There are some silly moments when the 3 women imagine how they will get rid of boss Dabney Coleman. The mix up at the hospital, though inane, is needed to keep the story going.A wonderful film depicting the changes of roles of women in the workplace, changing conventional ways of doing things in the office, and a marvelous cat and mouse relationship made by the women and Coleman to get the goods on each other",9 to 5
