,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Semper Paratus,10,18 October 2006,"The film The Guardian turned out to be a lifesaver for me in a way. I went to see it yesterday and forgot about the blackout that was crippling Buffalo for five days.I was expecting to see another version of young cocky recruit in the hands of old professional which has been done innumerable times in film. I was pleasantly surprised to see some real character development for those stereotypes.Kevin Costner is the old pro here and he's been doing a job he loves for over 20 years as a rescue swimmer for the United States Coast Guard. But he's slowing up now and won't face the fact he's aging. He also was the only survivor of a rescue mission that in itself went down. He's reassigned temporarily as an instructor to train new rescue swimmers.The top prospect at the school is a cocky kid played by Ashton Kutcher who was a high school swimming champion. The two of them clash, but then bond quite dramatically as Kutcher tells him of some demons haunting him as well. For those of you who think of Ashton Kutcher as the lovable sexy lunkhead Michael Kelso from That Seventies Show you are in for a real shock. He turns in quite a good performance in a role that is miles away from Michael Kelso. Mr. Kutcher has a lot more talent than folks were giving him credit for.The scenes of the various Coast Guard rescues at sea are well done as are those showing the rescue swimmer training. I'd also commend the performance of Brian Geraghty as another young recruit back for his third try at the Rescue Swimmer School.I guess the best praise I could give The Guardian is that the Coast Guard ought to adopt this film for recruiting.",The Guardian
1,SnoopyStyle,strong start,6,20 June 2016,"Ben Randall (Kevin Costner) is a veteran Coast Guard rescue swimmer. His wife Helen (Sela Ward) is leaving him. He loses his friend during a deadly accident in a rescue. After injuries and possible PTSD, he is forced to be an instructor at the Coast Guard ""A"" school. The new recruits include an arrogant champion swimmer Jake Fischer (Ashton Kutcher) who is more interested in the swimming records. He meets Emily Thomas (Melissa Sagemiller) at a wedding. Ben is unconvinced of Jake's commitment and then he uncovers his hidden past.This starts with a couple of thrilling rescues. It puts the movie in a compelling spot. Then it turns into a traditional 'An Officer and A Gentleman'. It's a little too on-the-nose especially with Jake's story. I would have preferred a more interesting Jake performance. It also goes on a little too long. This shouldn't be over two hours long. It needs a bit of tightening including the climax. I may even suggest dropping the love interest but this is still Hollywood. It's a movie that starts strong and stays compelling despite its oddly strict-formulaic story.",The Guardian
2,Prismark10,In deep,5,6 February 2017,"There is nothing too much original about The Guardian. It is a tale of veteran coast guard Ben Randall (Kevin Costner) who after a tragic rescue operation and a troubled marriage is assigned to train new recruits at coast guard training school.He meets cocky Jake Fischer (Ashton Kutcher) a swimming champion who has joined the coast guard training and who starts a casual relationship with another teacher while in training.At first Ben and Jake do not get along but gradually come to respect each other especially as Jake opens up about his past.The film is just too formulaic, you have seen elements of it in films like Top Gun or Backdraft. Director Andrew Davis excels in the coast guard rescue scenes but too much of the film is choppy.",The Guardian
3,kosmasp,Recruiting much,7,22 January 2021,"Anyone who is even a little cynic (although I reckon you could also say ""realist"" in this case), might come to the conclusion this is a public service announcement - a recruiting video of sorts! Well film in this case of course. And you have many arguments on your side that would really point to that and make it a strong case overall.That being said, you can also just sit back, relax and enjoy the excitement of the movie overall. Yes this is filled with cliches, yes this has patriotism and heroism written all over it (with the occasional human flaw of course), but it has Kevin Costner! And if anyone can convey a feeling and screen presence it is him! This is not Waterworld (no matter which cut you prefer or not), this is a solid movie based on a profession that is anything but easy! I know I have as much respect as you can have for any job",The Guardian
4,gavin6942,Not One of Kevin Costner's Better Epics,5,6 August 2007,"Ben Randall (Kevin Costner) is the greatest Coast Guard lifesaver of all time. He holds many records in swimming, life-saving and more. But he also knows how to get too involved with his job and forgets about his wife. After his latest crew dies in a nasty accident, he is reassigned to teach the next batch of recruits -- one of whom (Ashton Kutcher) may well just beat him yet.I like Kevin Costner sometimes (""Waterworld"", ""The Postman"") and he does a fine job here. There are definitely some good moments -- I liked the bar fight scene between the Navy and the Coast Guard. I liked how there was finally a film made about the Coast Guard, which has to be like the only major force never appearing in movies. But some things about this film just got to me.My biggest complaint is the epic nature of this one. Costner is notorious for making epic movies, and I don't generally mind (again, both ""Waterworld"" and ""The Postman"" are worth sitting through multiple times). But here, we have plots that don't really matter and a film that could end two or three times but just keeps going. Epilogue after epilogue is unnecessary. I was getting restless because what could have been a tight picture became a sprawled out mess.I also was uneasy about Ashton Kutcher. Although he did really well in ""Butterfly Effect"", I have a difficult time seeing hi mas a serious actor. And even as a comedian, I find his humor stupid. So his very presence makes me uncomfortable. Now, that's my problem and not his, but it ruined the film for me. And, in all honesty, I just didn't see him as the man for the role. I can't see Kevin Costner having Kutcher as a student.And there were scenes where the camera shots were done in an amateur look, maybe to make it look like a training video or something. I'm not sure what the point was. (This was especially during the swimming class sections.) I didn't find it flowed well, and I would have much rather had a Kenny Loggins montage.On a completely unrelated note: This happens to be one of two recent films with Neal McDonough and Brian Geraghty co-starring. The other is ""I Know Who Killed Me"", which was even worse than this film.So I didn't care for this film. I mean, if they edited it down about a half hour shorter to pick up the pace and remove extraneous scenes, I would not mind at all. That would raise my opinion. But as it sits, I just felt this was too sloppy and not up to Costner's standard of greatness.",The Guardian
5,jboothmillard,The Guardian,5,20 July 2009,"When I first heard about this film from director Andrew Davis (The Fugitive), I automatically thought of the William Friedkin supernatural horror, the title doesn't suggest anything about rescue divers. Basically ageing USCG (United States Coast Guard) rescue swimmer Ben Randall (Kevin Costner) has his whole team die in a failed sea rescue mission, and he is reassigned as a trainer for new recruits. Among the new students is promising, if a little boastful and show-off, Jake Fischer (Ashton Kutcher), who seems to have the ability to do almost anything to impress, with speed and agility. He manages to beat all records originally held by Ben, and eventually he and the many other students graduate as professional rescue swimmers, and of course towards the end of the film they get to prove themselves. Also starring Melissa Sagemiller as Emily Thomas, Bonnie Bramlett as Maggie McGlone, Clancy Brown as Capt. William Hadley, Sela Ward as Helen Randall, Neal McDonough as Jack Skinner, John Heard as Capt. Frank Larson, Brian Geraghty as Billy Hodge and Shelby Fenner as Cate Lindsey. I'm not sure if I fully agree with the critics that Costner is getting better with age, but he certainly gives a good performance, with Ashton an alright support. Certainly the storm rescues are good viewing, but the film could have been cut down quite a bit, and I don't see it as a guilty pleasure, but it's okay. Kevin Costner was number 93 on The 100 Greatest Movie Stars. Worth watching!",The Guardian
6,rmax304823,The perfect stereotype?,5,30 June 2007,"I wish I knew what to make of a movie like this. It seems to be divided into two parts -- action sequences and personal dramas ashore. It follows Ashton Kutsher through survival swimmer school, guided by Master Chief Kevin Costner, then to Alaska where a couple of spectacular rescues take place, the last resulting in death.I must say that the scenes on the beach struck me as so stereotypical in so many ways that they should be barnacle encrusted. A typical bar room fight between Navy guys and Coast Guardsmen (""puddle pirates""). The experienced old timer Costner who is, as an elderly bar tender tells him, ""married to the Coast Guard."" The older chief who ""keeps trying to prove to himself that he's still nineteen."" The neglected ex wife ashore to whom Kostner pays a farewell visit. The seemingly sadistic demands placed on the swimmers by the instructors, all in pursuit of a loftier goal. The gifted young man hobbled by a troubled past.The problem is that we've seen it all before. If it's Kevin Costner here, it's Clint Eastwood or John Wayne or Lou Gosset Jr. or Vigo Mortenson or Robert DeNiro elsewhere. And the climactic scene has elements drawn shamelessly from ""The Perfect Storm"" and ""Dead Calm."" None of it is fresh and none of the old stereotyped characters and situations are handled with any originality.It works best as a kind of documentary of what goes on in the swimmer's school and what could happen afterward and even that's a little weak because we don't get much in the way of instruction. It's mostly personal conflict, romance, and tension about washing out.It's a shame because the U. S. Coast Guard is rather a noble outfit, its official mission being ""the safety of lives and property at sea."" In war time it is transferred to the Navy Department and serves in combat roles. In World War II, the Coast Guard even managed to have a Medal of Honor winner in its ranks.But, again, we don't learn much about that. We don't really learn much about anything. The film devolves into a succession of visual displays and not too much else. A disappointment.",The Guardian
7,blanche-2,The work of the Coast Guard,7,3 April 2013,"We've seen ""The Guardian"" many times before -- the young turk versus the old, dried up vet. But just because we've seen something done before doesn't mean the same story can't make a good movie.From 2006, The Guardian is the story of Chief Petty Officer Ben Randall (Kevin Costner), a rescue swimmer for the Coast Guard who is still working despite the retirement age of 40. After a horrific rescue situation during which his best friend died, Ben's boss finally gives him a choice - he can teach at a Coast Guard school or retire. He decides to teach. There, he meets a hot shot, Jake Fischer, a top swimmer with scholarship offers from everywhere.There are some absolutely terrifying rescue scenes in this - the power of the ocean is awesome against man - and the scenes take place at night. Scary as all get-out. It really gives one an appreciation for the Coast Guard and the work that they do. This aspect alone makes the film worth it.The dialogue is good, too, and Costner brings a gentle quality to his role. And the point made is good and true: the Coast Guard doesn't get the respect the other military branches get, and they should.The title refers to people drowning claiming to feel a presence helping them survive.You won't forget the rescue scenes. Recommended.",The Guardian
8,edwagreen,The Guardian-Highest Rating for this Film of Valor & Courage****,10,3 July 2007,"Outstanding film dealing with rescue swimmers from the U.S. Coast Guard. Few of us realized how valuable these people are. After seeing this film, you shall certainly appreciate them even more.As Ben Randall, Kevin Costner has about the best part he has had in years. He is tremendous as a no-nonsense instructor to the young men applying for such positions. He is an unconventional teacher. He teaches you about hypothermia by placing you in that kind of situation.As a cocky student, Ashton Kutcher gives a solid performance as the know-it-all who has plenty to learn. Naturally, he hides a dark secret that occurred at age 16.The film shows you what the trainees have to go through. It deals with their personal lives as well as Costner's wife leaves him as he is literally married to his job.While the ending will break your heart, this is a fabulous film dealing with people there to save lives. The film is a taut tribute to these people.",The Guardian
9,michaelRokeefe,Cocky student meets the pro.,6,10 March 2007,"Exhilarating and exciting. Familiar TOP GUN formula action drama about a legendary Rescue Swimmer, Ben Randall(Kevin Costner),temporarily teaching an elite training program of Coast Guard Rescue Swimmers. His first class of raw recruits will afford him a cocky former swimming champ, Jake Fisher(Ashtun Kutcher), who intends to break every record set by Randall and then some. The two will knock heads, before Randall instills Jake with the right reasons for laying his life on the line to save lives. The story is compelling and full of heart pounding spectacular rescues in the frigid waters of the Bering Sea. The cast also features: Sela Ward, Clancy Brown, Melissa Sagemiller and Alex Daniels. Kudos to director Andrew Davis. Costner and Kutcher work very well together. Sagemiller deserved more screen time.",The Guardian
10,jotix100,The US Coast Guard,7,18 June 2008,"This unit of the armed forces has not been featured in the movies as much as the other, more glamorous cousins. Never fear, ""The Guardian"", under Andrew Davis' able direction takes care of putting things right. Working on Ron Brikenhoff's screenplay, Mr. Davis set out to give an account of the men in a special unit that are responsible for daring rescues at sea.The action centers around Ben Randall, a man that has seen action close at hand. He has his shares of triumphs and failures. His love for the job creates havoc on his relationship with his artist wife, Helen, who feels the strain from the separation and dangers her man faces. Ben goes to a training center for people within the Coast Guard that will be prepared for those daring rescues Ben seems to excel on.Enter Jake Fischer, a hopeful trainee, who doesn't seem to make a good impression on Randall. Ben sees in Jake himself as a young man. He knows Jake will be an asset to any unit where he serves. Jake, after graduation is sent to Kodiak, Alaska, as part as the rescue team. He has a good opportunity to show Ben Randall how well he was prepared to face a tough job. Ultimately, Randall and Fischer are joined together in one of the toughest assignments both undertook. One wouldn't think a star of Kevin Costner's stature to ever go into the water again after the debacle of ""Waterworld"", but he shows he has no problems of that kind. His Ben Randall is the stuff heroes are made of. Anton Kutcher, who plays Jake makes an excellent contribution to the film. Both stars show an easy chemistry that helps the overall enjoyment of this film. Melissa Sagemiller is seen as Emily Thomas, Jake's girlfriend. Sela Ward has nothing to play with. Andrew Davis delivers an exciting film for all to enjoy.",The Guardian
11,dbborroughs,Too long for a film you can guess the ending of five minutes in,4,28 December 2008,"This is a film about the Coast Guard rescue teams.I saw the film ages ago and never really got into it. I figured I'd try it again at some later point, but something about the film kept nagging at me, namely why would I give up a another two and a half hours of my life to see a story unfold that you can see coming from the first five minutes? If you can't watch this movie and know what every plot point is going to be and know what the end is then you haven't seen many films.Its not bad but one has to wonder why it takes almost two and a half hours to get where its going when its so clear where that is. Now that I've seen it I don't need to see it again, even though I fleetingly will think I should.",The Guardian
