,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Tired prequel,4,19 April 2019,"OUIJA: ORIGIN OF EVIL is a prequel to the first OUIJA, set in the 1960s where a fraudulant medium gets hold of a ouija board that spells demonic possession for her and her family. It's tired, predictable stuff for sure, an insipid picture from Blumhouse Productions that goes through the same old material we've seen countless times. The cast is uninteresting, with former child star Henry Thomas wasted as the investigating priest, and the CGI stretched-mouth scares are laughable.",Ouija - Origin of Evil
1,SnoopyStyle,shockingly pretty good,7,21 November 2017,"It's 1967 Los Angeles. Alice Zander (Elizabeth Reaser) runs a crooked spiritual reading business out of her home. She uses her daughters Lina (Annalise Basso) and younger Doris (Lulu Wilson) in operating her scams. They incorporate an Ouija board into their production. While trying to contact the girls' dead father, Doris seems to make real contact. Father Tom (Henry Thomas) is the headmaster of the girls' school. Mikey (Parker Mack) has a crush on Lina.Surprise! This is actually good. It is well-made. The characters are well-drawn and well-acted. I wouldn't say that this is breaking down any new walls but there is good in doing good work. I do have a couple of small nitpicks. For some reason, Alice and Father Tom go out for what looks like a fancy dinner. It almost looks like a date if it weren't for the characters. Second, I would keep the possibility that Doris is scamming everyone until further into the movie. It would be nice to have Father Tom uncover the whole situation as a reveal. The good are the actors, the mood, the simple premise, and good construction. It's a shocker that this is all pretty good.",Ouija - Origin of Evil
2,Prismark10,Spelling a disaster,6,2 September 2017,"Ouija: Origin of Evil is a prequel set in in 1967 and is filmed very much like a period piece from that era. The film begins with an old Universal pictures logo.Widow Alice Zander (Elizabeth Reaser) stages scam seances with her teenage daughter Paulina (Annalise Basso) from her house. They justify it by helping their clients to move on.When they purchase a Ouija board as a gimmick for the act, the youngest daughter Doris (Lulu Wilson) seems to have become possessed by a mysterious force and behaves like a genuine medium. Doris thinks she can contact her father and starts acting creepily even showing strange abilities such as mind control.Local priest Father Tom (Henry Thomas) investigates Doris's abilities as a medium and thinks there is a link to a sinister Nazi doctor.The film delivers thrills and some scares without going too over the top. The acting is good from the younger cast members. You get the sense of genuine dread but then lapses into silliness and predictability at the end.",Ouija - Origin of Evil
3,nogodnomasters,Hello Friend,7,6 September 2017,"The film takes place in 1967 Los Angeles (IMDB claims 1965) where Alice (Elizabeth Reaser) performs scam seances for money, something she has been doing since her husband Roger died. (Michael Weaver) She allows her two Catholic school daughters to help her. Then enter a Ouija board, possession, Tubular Bells style music, a priest, and a little girl with an odd voice... very formula up until the ending which they just scrambled around until no one was happy with it.In spite of the formula writing, the actors did a good job to raise the level of a less than stellar script, especially young Lulu Wilson who has a flair for horror. She will be in ""Annabella 2."" Guide: No swearing, sex, or nudity.",Ouija - Origin of Evil
4,kosmasp,Welcome to the dark side,8,19 November 2021,"No there are no cookies, though if you really expected them, the joke is on you - big time. Although to be fair the joke is on many people - no pun intended. Evil can present itself in disguise - giving you what you think you want and/or need.Mike Flanagan is at it again and while this does not reach the heights of the two Netflix shows I've seen of his or the Oculus movie (go check that out if you haven't), this also has so many creepy and really scary moments in it - you should be rejoicing if you are a horror fan - or general movie lover.He again seems to have certain people that he likes to work with. But he does mix them up or adds a few here and there. The ET kid (a grown man and then some of course), Henry Thomas playing quite the interesting role here - one that he was able to stretch his acting muscles with.But all the performances are really good - some odd character choices aside (yes we have to have the occasional horror movie cliche thrown in a few times) of course. That being said the special effects and the things that happen outside the field of vision of our main characters (but visible for us as viewers) are as scary as the things that are thrown in your face - again no pun intended.Really well made movie, edited and written with great skill no matter if you like it overall or not.",Ouija - Origin of Evil
5,jboothmillard,Ouija: Origin of Evil,5,6 September 2020,"Ouija was a fairly disappointing scary movie,so I naturally didn't have my hopes high for a follow-up, and this one was a prequel, but it was rated better by critics, so I gave it a chance, directed by Mike Flanagan (Oculus, Hush, Doctor Sleep). Basically, set in Los Angeles in 1967, Alice Zander (Elizabeth Reaser) is a young widower who works from home as a spiritual medium, assisted by her daughters, 15-year-old Paulina ""Lina"" (Annalise Basso) and 9-year-old Doris (Lulu Wilson). While others would see Alice as a fraud and scam artist, she tells her daughters that she is providing a service that makes people feel better. The family are still grieving following the recent death of Roger (Michael Weaver), Alice's husband and the girls' father. After visiting a convenience store, Lina spots a Ouija board, and suggests to her mother using it in her readings. While trying out the board, Alice unknowingly contacts a spirit named Marcus (Doug Jones) that takes possession of Doris. Alice receives a notice that the bank will foreclose their home. Doris communicates with the board, believing she will contact her dead father. The spirit leads her to secret stash of cash in the basement. Following this, the family the Ouija board, believing it is indeed Roger. The board answers a question only Roger would know the answer to, and Alice is thrilled and starts believing she is communicating with her dead husband. Lina is becoming disturbed with the change in Doris, and finds papers she has written in Polish, a language she does not know. She takes these to Father Tom Hogan (E.T. the Extra-Terrestrial's Henry Thomas), her School Principal, to translate. Worried, Father Tom has a Ouija session himself, claiming he wants to contact his dead wife Gloria. The session appears successful, but Father Tom later explains to Alice and Lina that, having read the pages, that they are in fact in contact with a Polish immigrant named Marcus, who was taken captive during World War II by a sadistic doctor who conducted experiments on him and other captives inside the house's basement. These spirits knew answers that only Roger would know because they have been watching the family since they moved in. Meanwhile, Doris kills Lina's new boyfriend Mikey (Parker Mack) when he comes to visit. When they find the body, Father Tom, Alice, and Lina burn the Ouija board in the furnace. Father Tom finds the secret room where the experiments were conducted and is possessed himself. He attacks Alice and Lina but is eventually killed by Doris. Alice is captured, while the unconscious Lina is carried to her bed by the spirit of Roger. Recalling some doll's mouths with their mouths stitched, Lina realises that she must sew Doris's mouth shut to quiet the spirits' voices and end the evil. She fights the evil spirits and manages to sew mouth shut but kills Doris in the process. Doris's ghost wakes up and she is happy to be reunited with Roger. Lina explains to Alice that she had to sew her mouth to stop the voices. The spirits then possess Lina and stab Alice with a knife, but the spirits eventually leave her body. Alice tells Lina that it was not her fault, she is to blame for getting the board. Alice sees the spirits of Roger and Doris happily together and then dies herself, leaving Lina devastated. Lina is later committed to a mental hospital for the suspected murder of her mother and sister. She tells her doctor that she knows she will never be alone again. As Lina is left alone in her room, she tears up the carpet and creates a makeshift Ouija board on the wooden floor with her blood. She summons the spirit of Doris, but unintentionally summons the spirit of Marcus. The now elderly Lina (Lin Shaye) is seen, 47 years later, still institutionalised, and is visited by someone claiming to be her niece, leading to the events of the original film. Also starring Halle Charlton as Ellie, Alexis G. Zall as Betty, Hush's Kate Siegel as Jenny Browning, and Forrest Gump's Sam Anderson as Mr. Browning. Reaser is reasonable as the fraudulent fortune-teller who finds something to fear, the two young actresses playing her daughters do well, and Thomas is memorable as the priest. It isn't the scariest film I've seen, there are only one or two jump scares, but it is eerie and creepy enough, and the story is reasonably interesting, it's certainly better than its predecessor, an alright supernatural horror. Worth watching!",Ouija - Origin of Evil
6,ma-cortes,"For the most part, this was a pretty decent entry with mystery , suspense and creepy events",6,23 August 2021,"Decent supernatural chiller about the mysterious Ouija ,it's called an Ouija Board, and it's been used for thousands for years to communicate with the souls of the after-world. It is set in 1967 Los Angeles, a widowed mummy named Alice Zander (Elizabeth Reaser) works out of her suburban home as a spiritual medium , accompanied by her two daughters (Annalise Basso, Lulu Wilson) but a new stunt to bolster their seance scam business by inviting an evil presence into their home, not realizing how dangerous it is . The family is still reeling over the recent death of Roger, Alice's husband and the childrens' father. They unwittingly summon an evil entity with plans of its own who makes the house part of its sinister game. The daughters plagued by nightmares, and begin confronting their most terrifying fears when they awaken the dark powers of an ancient spirit board . Along the way , School Principal Father Tom (Henry Thomas) attempts to solve the weird events and help them , but then things go wrong . When you talk to the other side, you never know who will be listening. No telling what you'll see. It was never just a game. Some call it a spirit board. It has existed for centuries. It is used to communicate with the other side. House always wins. The game just got bigger.This is a surprisingly competent horror movie, and it is certainly better than most other films of the same genre concerning the diabolic game , the mysterious Ouija . Enjoyable horror movie with thrills , chills and strange events , while the roles scream and panic her way through most of their scenes, . One of the film's strongest points is the fact that there's quite a lot of fun to be had with the supernatural aspects of the storyline. This starts off at the very beginning at a reunion occurs mysterious happenings , as the camera lurks suspensenful behind it's actors and beside them and above them and everywhere else. A straight-up horror movie, with its jump-scares and characters who can't see the obvious dangers that beset them . Although it packs some flaws , it still manages to be fairly entertaining. A fun, nostalgic 2000's Ouija classic , resulting to be a smashing good time. The plot is predictable and there are no big twists from what I have seen. Still the atmosphere is built up slowly and there are not many over the top scenes or special effects to distract from the plot . I am not so satisfied with the ending though. It seems too abrupt and was disappointing a little bit. The motion picture was well directed by Mike Flanagan . Mike frequent uses flashbacks to characters' traumatic events, usually involving the supernaturally-assisted death of at least one parent . Terror expert Flanagan turned to the horror genre for the first time with ""Oculus"", an applauded short film that is just the beginning of an ambitious horror anthology, which eventually became the inspiration for his 2013 feature film of the same name. In 2010, after raising funds on Kickstarter, he wrote and directed the applauded indie horror film ""Absentia,"" which he credits with establishing his career. ""Absentia,"" shot for 70k in Flanagan's apartment, led to ""Oculus"" (2014) and ""Before I Wake"" (2015). Flanagan's critically acclaimed ""Hush"" (2016) was released exclusively on Netflix, which led to the online streaming service producing Flanagan's adaptation of Stephen King's ""Gerald's Game"" (2017). Ouija : Origin of evil rating : 6/10 . Overall just decent supernatural effort.This one belongs to ¨Ouija¨ sub-genre , other films in similar style are the following ones : ¨Ouija House¨ (2018) with Mischa Barton , Tara Reid , Dee Wallace , Chris Mulkey. ¨Ouija 3: The Charlie Charlie Challenge¨ 2016 with Amanda Knapi , Vineyard , Tom Zembrod , Todd Jenkins . ¨Ouija 2014¨ with Olivia Cooke , Ana Coto , Bianca Santos , Douglas Smith , ¨Witchboard¨ 1986 with Todd Allen, Tawny Kitaen , Stephen Nichols , Kathleen Wilhoite.",Ouija - Origin of Evil
7,paul_haakonsen,Someone actually is there...,6,8 November 2016,"Having sat through a heap of somewhat questionable Ouija movies before, it was with some reluctance that I sat down to watch ""Ouija: Origin of Evil"". But hey, it is a horror movie after all, and that alone is actually enough to peak my interest.I will say that ""Ouija: Origin of Evil"" turned out to be much better than I had anticipated or hoped for. And that is thanks to director Mike Flanagan who managed to set up a great atmosphere and skillfully execute turning points and spooks throughout the course of the movie.The storyline was good, albeit somewhat simplistic as horror movies often tend to be. So don't expect that the movie will challenge you intellectually. But don't get me wrong, it is still a very enjoyable movie. And while the movie was not overly predictable, it just really wasn't a front-runner for the horror genre, and it didn't really bring anything new and innovating to the genre.It is the cast and their performance that really also need to be complimented for their work in ""Ouija: Origin of Evil"", especially Elizabeth Reaser whom was so well-cast for her role in this movie, and she really carried the movie quite nicely.There was a good amount of pseudo-creepy moments throughout the movie, but not really any moments where you are spooked out of your seat. And that was a shame, because I was expecting (and thus missing) those moments.It is important for a horror movie to have good and believable special effects, and ""Ouija: Origin of Evil"" has that. I enjoyed the way that we were kept in the dark about the spirits and what they looked like. But when they were revealed I sort of had a mixed feeling. Sure they were nicely made, but they just weren't all that scary to me.""Ouija: Origin of Evil"" is definitely a movie that you should take the time to sit down and watch, especially if you have seen the other ""Ouija"" movies in their many shapes and presentations.This is an entertaining movie in all honesty. Although it lacks some good old fashioned scares, it is still fun to watch and might actually still turn out to be creepy to some viewers.",Ouija - Origin of Evil
8,michaelRokeefe,Scary way to make ends meet!,8,20 May 2017,"A young Los Angeles widow struggles to make ends meet and uses her two daughters in a scam seance business. New customers are attracted when a Ouija board is added to the ""act"". The youngest daughter Doris (Lulu Wilson) is intrigued and drawn to the board believing she is in contact with the spirit of her dead father. A malevolent entity is in deed summoned; all hell can only break loose.Several real good jump scares with building suspense and a simmering sense of doom. Character development is better than a lot of horror flicks and some good acting with Miss Wilson leading the way. Kudos to director Mike Flanagan. Some chilling atmospheric music too.Also in the cast: Elizabeth Reaser, Annalise Basso, Parker Mack, Halle Charlton, Doug Jones and Henry Thomas.",Ouija - Origin of Evil
9,hitchcockthelegend,Wheeeeeja!,6,19 September 2017,"A sequel that's a prequel that's actually better than what preceded it! Ouija: Origin of Evil is an above average chiller that's a fine scary ride for those not expecting boundary pushing.Standard rules apply here, widowed mum and two daughters who dabble in the con of seance profiteering get more than they bargained for when they introduce a Ouija board to proceedings.Director Mike Flanagan knows how to construct a good honest scare piece (see Oculus and Hush), and so it proves here. The atmosphere is constantly set at impending dread, the tension slow built until pic goes into overdrive. Unfortunately so many horror films of the decade are reliant on the demon formula to fill out their respective tales, so much so it has become jaded and utterly unsurprising.This hurts this picture and it runs away with itself, rendering the big final quarter - complete with emotional baggage - as something of a let down; though the final shot has goosebump value for sure. Hadrcore horror buffs will find irritants and emptiness, but for those who dip in and out of the genre should find a quick chill to fill a fright gap. 6/10",Ouija - Origin of Evil
