,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Really enjoyable,8,26 May 2012,"I wasn't expecting to enjoy this movie as much as I did. While the final battle with the creatures is a little more silly than scary and the special ops was a good idea in hindsight but felt tacky, I found Dog Soldiers surprising. It was stylishly filmed, with great location work and very effective make-up. That's not all, the music is stirring, the dialogue is fun, naturally flowing and suspenseful, the characters are likable and well-developed on the whole and the story is thrilling with moments that are genuinely terrifying. The werewolves also make a positive impression, and the acting is never wooden, but naturalistic and engaging. All in all, I really enjoyed Dog Soldiers. 8/10 Bethany Cox",Dog Soldiers
1,Leofwine_draca,Tremendous fun,8,6 July 2016,"The werewolf story seems to have had some kind of cinematic resurgence in recent years - first was the Canadian GINGER SNAPS, then the French BROTHERHOOD OF THE WOLF, and now the British DOG SOLDIERS. They say that bad things come in threes, but the opposite is true here as all three films are above-average genre examples. DOG SOLDIERS is a refreshingly straight-forward cross between an action flick and a splattery horror film with plenty of humour, bloodshed and thrills to appeal to mainstream audiences. As such, its been garnering rave reviews and after visiting the local cinema I can't find much to fault about it. Don't go in looking for plot or complex twists - this is an old-fashioned thriller with a simple premise and lots and lots of action to carry it along.Things begin creepily enough with some taut scenes in the woods which rival THE BLAIR WITCH PROJECT for eerieness. Our unfortunate soldiers find themselves stalked by some prowling creatures (P.O.V. shots show a greyed vision of the action). Tension builds, interspersed with some clever shocks - the falling cow is a real jolter in particular. Then bam! the werewolves are introduced in some extremely bloody antics involving dangling intestines and impalings which prove to be real eyeball-poppers. Refreshingly, this is a crowd-pleasing B-movie which doesn't skimp on the gore effects - in fact director Neil Marshall started out as an SFX technician and his proficiency shows itself with plenty of decapitated heads, splattery blood, and fountains of gore all over the place. However, this is enjoyable rather than disturbing, thanks to the mean streak of extremely black humour which recalls the like of Peter Jackson's BRAINDEAD - there's a particularly sickening bit involving a dog and an intestine which is completely gross but still somehow funny with it.Once the foe has been introduced, our heroes make a truly thrilling run for cover as darkness falls and night closes in - some very taut and exciting moments follow in the ensuing chase. Finally, they find solace in a mysteriously abandoned farmhouse, where character motivations are uncovered as well as a fair amount of shocks, surprises, and plot twists. None of them are particularly surprising and indeed DOG SOLDIERS is a film packed with clichés - there's nothing here that hasn't been done before in the likes of ALIENS, An American Werewolf in London, and the farmhouse siege sequences directly reference the likes of NIGHT OF THE LIVING DEAD and other famous siege movies. Yet Marshall puts his heart on his sleeve and openly acknowledges his influences, with plenty of sly but not in your face movie in-jokes and asides to make things enjoyable. Where the film succeeds is in mixing said clichéd situations into a new, unpredictable mix, thus making it interesting and fresh viewing.Things culminate in a spellbinding conclusion that features some impressive explosive effects, an amazing man vs. werewolf punch-up in a kitchen (hilarious) and some edge-of-your-seat stuff as a cat and mouse game ensues between heroes and villain. The action sequences are excellent and realistic with it, instead of never-ending bullets our heroes find their supplies dwindling and are forced to use their imagination to find other weapons. The characters are well-defined and the cast populated by some fine actors - particularly TRAINSPOTTING's Kevin McKidd, who shines as the underdog-turned-heroic leader. Elsewhere we have Emma Cleasby as a helpful ecologist, Sean Pertwee (EVENT HORIZON) doing his bit extremely well as the hard-headed Sergeant, and Liam Cunningham excellent in an early role. The film offers plenty of distinctly British humour - most of it blackly comic as the characters bemoan their desperate situation - which keeps it snappy and likable. The pacing is also spot on. As for the werewolves themselves, well thank god they're not CGI, but instead animatronics. Obviously low budget and not terribly convincing, Marshall does well to hide them in the shadows and show them only in quick cuts so that they retain their menace throughout. But the werewolves are only part of it - the icing on the cake, so to speak. This exciting B-movie epic would be just as good without them, but with them it becomes something unique and special. A tremendously fun experience.",Dog Soldiers
2,claudio_carvalho,"Action, Horror and Sense of Humor",8,26 January 2007,"In Scotland, a group of six soldiers leaded by the tough Sgt. Harry G. Wells (Sean Pertwee) are left in the forest by helicopter for a routine exercise, with the weapons loaded with blanks. When a dead cow with many bites falls in their camp, they move around the area and find another military camp with only one survivor, Capt. Ryan (Liam Cunningham), who is wounded and scary. They find also a great quantity of live ammunition, when they are suddenly surrounded by huge and fast creatures. While escaping, a private is killed and Sgt. Wells is seriously wounded but saved by Pvt. Cooper (Kevin McKidd). They see a jeep on a narrow road and the driver Megan (Emma Cleasby) rescues them and they go to an empty farmhouse. Megan tells that the creatures are lycanthropes, aka werewolves, and they have to fight along the whole night trying to save their lives, and disclosing hidden dirty secrets.A couple of days ago I saw ""The Descent"" and I were surprised with the excellent direction of Neil Marshall, who wrote and directed a great scary and claustrophobic horror movie. I have just watched ""Dog Soldiers"", also written and directed by Neil Marshall, and this film is a great action horror movie. The story is well developed, with horror, action and even comedy in right doses, and I personally loved when the brave soldier after fighting like a tiger with the werewolf and without any further object for self-defense, wishes that the werewolf have diarrhea, showing a great will power and warrior spirit. The scene in the credits with the result of the soccer game between Germany and England is also witty. My vote is eight.Title (Brazil): ""Dog Soldiers  Cães de Caça"" (""Dog Soldiers  Hunting Dogs"")",Dog Soldiers
3,gavin6942,The Second Best Werewolf Movie Ever Made,7,10 May 2006,"Yes, I say the second best because nothing compares with ""The Beast Must Die!"" and probably never will unless TBMD gets a sweet digital remastering.The story: a group of soldiers are in search of werewolves and they end up setting up camp right in the very home of those werewolves. Hilarity - and lots of it - ensues.My only 2 complaints with this film are the Scottish accents (though you'll adjust) and the feeling that some parts were much longer than needed. One scene around a campfire involved a lengthy story that has no point. Granted, once the action starts it just keeps rolling, but do you want the audience to fall asleep first? I could complain about the special effects. One man's intestines were obviously sausages and the werewolves were not high-grade costumes (they couldn't even open and close their mouths). But you know what? I'd rather have special effects with heart than some high-budget CGI effects that make everything look like a cartoon. Give me a squib of blood over a computer rendering any day.Not sure what else to say... werewolves, lots of guns, Scottish people. Think I covered it. If you like werewolf movies, you have no excuse to skip this one.",Dog Soldiers
4,jboothmillard,Dog Soldiers,7,6 September 2005,"For a British horror from debut director Neil Marshall, who followed with the good The Descent, this is a good horror film with a classic theme recreated. Basically a British Sqaud, led by Sgt. Harry G. Wells (Sean Pertwee, son of Jon Pertwee, aka Worzel Gummidge) are sent on a training in the woods of Scotland against Special Operations, ignoring childish ""campfire"" stories about the area. Soon though they stumble into a savage werewolf attack, and they are now in battle with these terrifying creatures. They seclude themselves in a farmhouse provided by Megan (Emma Cleasby), and the terror continues as these man-sized werewolves try to get in, and tear everyone apart, or turn them into more of them. Also starring Kevin McKidd as Pvt. Cooper, Liam Cunningham as Capt. Ryan, Thomas Lockyer as Cpl. Bruce Campbell, Darren Morfitt as 'Spoon' Witherspoon, Chris Robson as Pvt. Joe Kirkley and Leslie Simpson as Pvt. Terry Milburn. The performances are cool, the effects are very good for a low budget film, and it a very good thrill film combining light humour and great gruesome gore. Very good!",Dog Soldiers
5,ma-cortes,"Thrilling movie full of amazing makeup work , noisy action and kinetic energy",7,28 February 2011,"This exciting movie is packed with noisy action, unbelievable stunts, tension, thrills, chills, and lots of blood and gore, including throating-slit ,beheading, impaling and slashing . A squad of English soldiers (Sean Pertwee , Kevin McKidd , among others) on training in the lonesome Scottish wilderness ,during manoeuvres in the dark , deep forests of Scotland region , find a wounded Special Forces captain (Liam Cunningham )and the carnage remains of his band . As they encounter zoologist named Megan (Emma Cleasby), it results out that werewolves are active in the country. After getting away the find shelter in a country house but the group encounters a pack of carnivorous, crawling creatures are waiting for them . They find themselves caught , hunted, and waiting for the long night to reach its ending . They have to prepare for some action , hope running thin and chances slipping away, as the there will be a full moon tonight with time running out .Some of them undergo a dental and hirsute transformation at the night and going on a murderous rampage every time the moon is full .The motion picture displays action,suspense,terror with claustrophobic touches and is quite entertaining . This is a gripping, exciting , high-octane nightmare of the worse scenario with terrible werewolves stalking a soldiers team . The screenwriter provided a well-knit plot with mystery and horror, giving full rein to Neil Marshall natural talent for the terror and action genre . The theme of people being stranded in a hostile, perilous environment with attackers creatures is justly reminiscent of former films and subsequently to be made another story in similar style titled ¨The descent¨ . Stirring musical score fitting to action by Mark Thomas and appropriate cinematography Sam McCurdy . The motion picture is decently directed by Neil Marshall with splendid visual style but with no originally because he has copied previous films. Neal is expert in making brutally violent horror movies (Doomsday, The descent). Rating: Good, better than average, the film is classified PG-13 for lots of guts, gore and violence. This remarkable action film appeal to terror genre buffs .",Dog Soldiers
6,BA_Harrison,Well ahead of the pack.,9,14 December 2009,"The concept is simple—soldiers vs. werewolves—but thanks to director Neil Marshall's witty script and exuberant direction, superb performances from a likable and very talented cast, and astounding special effects from Bob Keen, Dog Soldiers proves to be not just one of the most enjoyable horrors of the decade, but also one of the best werewolf films ever.Marshall's command of his material is superb, and his achievement is doubly impressive given that this is his debut full-length feature. The cinematography is excellent, with impressive use of camera placement, the lens always on the prowl, whether swooping through the woods to give a wolf's eye view, or weaving between the soldiers as they fight for their lives. The well considered editing, also by Marshall, adds immeasurably to the tension and excitement, with a combination of staccato cuts and longer shots used to add variety and interest to the visuals (if only other modern directors/editors could learn a trick or two from Marshall: films don't always have to resemble music videos).The cast, of whom there is only one genuinely 'recognisable' name (Sean Pertwee, giving the performance of a lifetime), are also absolutely brilliant, giving a sense of realism to their absurd situation that makes the terror even more palpable. Thankfully, the script (which—let's not forget— is ALSO by Marshall!!!) never dumbs down proceedings: the dialogue between characters is often funny, but only because the character's have a great sense of humour, and the manner in which they communicate with each other and react to their plight is always believable.This being a relatively low budget movie, one should not expect mind-blowing transformation effects in the tradition of An American Werewolf in London, nor, thankfully, CGI abominations as in recent blockbusters like Van Helsing. Instead, we get fleeting glimpses of beautifully designed and incredibly imposing wolf-men, courtesy of Bob Keen, whose sheer size is enough to send chills up the spine (well, that and the fact that they can tear their victims apart with ease). The gore is also up to par, with guts being graphically spilt, heads torn off, and blood splashed all over the place.Marshall has since gone on to give fans of fantastic film the wonderful subterranean horror The Descent and the enjoyable, but less immaculate post-apocalyptic Doomsday (a spot of self-indulgence from the director, but forgivable given his track record), and now seems to be concentrating on action films (Centurion, Drive). Let's hope that he returns to fully-fledged horror sometime soon, though: he's so good at it!",Dog Soldiers
7,tavm,Dog Soldiers was an awesome horror-action werewolf flick!,8,31 July 2018,"Continuing my series of reviews of werewolf movies in chronological order, I'm now at 2002 with this British-made film. In this one, a group of soldiers are doing a test mission but it becomes obvious real quick that there's something terrible going on...I'll admit the accents made some of the dialogue confusing (good thing I looked up on Wikipedia to help make clear what was going on in the plot) but other than that, this was quite an awesome horror-action flick with some good humor involved. Nothing more to say except I highly recommend Dog Soldiers.",Dog Soldiers
8,BandSAboutMovies,Wolves vs. SAS,4,23 August 2020,"Neil Marshall has directed several Game of Thrones stories, as well as the remake of Hellboy. This movie is much better than that one by several dog hairs. It's the story of a squad of six British soldiers who are on maneuvers when they meet an enemy even more deadly than they are - a werewolf.Private Lawrence Cooper (Kevin McKidd, Trainspotting) failed his special forces test because he refused to shoot a dog. Now, he's stuck back with his old unit in the Scottish Highlands for wargames against an SAS team. As soon as they get there, they find the remains of those men and realize that maybe they shouldn't be here.Before long, the team's commander Captain Richard Ryan (Liam Cunningham, The Card Player) reveals that they were here to capture a werewolf alive. What follows are twists, turns, double crosses and bloody death. It's a nailbiter and honestly, I don't want to give much away.There was talk of a sequel, Dog Soldiers: Fresh Meat, and a prequel, Dog Soldiers: Legacy, but neither ended up being made.Between references to H.G. Welles, Zulu, The Matrix, Evil Dead, Jurassic Park, The Company of Wolves, The Searchers, Star Trek II: The Wrath of Khan, Jaws, Zabriskie Point, A Bridge Too Far, Apocalypse Now, The Shining, Southern Comfort, An American Werewolf In London, Predator, Love, Honor and Obey, Battle Royale, the TV show Spaced (Simon Pegg was almost in this)and Aliens, this movie is packed with references to other genre favorites. Marshall would later claim, ""I think I got completely carried away.""",Dog Soldiers
9,Coventry,Brave new horror!,6,2 February 2005,"I must admit that I didn't really care for ""Dog Soldiers"" when I first got around watching it back in 2002, right after its release. I thought the concept of a lost patrol fighting a troop of werewolves was overly hectic and the monsters themselves didn't look half as frightening as the elderly ones from ""American Werewolf in London"" or ""The Howling"". Maybe it's because I've seen so many crap horror since then or maybe I just didn't pay enough attention the first time but my second opinion is much more positive. Neil Marshall wrote and directed an enthusiast gore story about a squadron of soldiers on a routine training exercise in the Scottish forests and all of a sudden their lives are in danger because of ravenous werewolves lurking around the area. They also encounter a captain from another platoon (who's acting very mysteriously) and a young environmental researcher who eventually rescues them and shelters the group in a nearby farmhouse. Completely isolated and low on ammunition, the group has to survive the night as the aggressive creatures won't go away as long as the moon is full. The lines and dialogues in ""Dog Soldiers"" are well-written and often blackly humorous, while Marshall allows his cast to overact in several sequences. Tension is successfully reached thanks to the hopeless surrounding of the farmhouse. This film will especially be remembered by horror freaks because of the explicit gore and violent action scenes. I particularly appreciated the fact that many of the special effects were developed in the 'old-fashioned' way, without using dreadful CGI. The werewolves clearly are tall men in suits but I easily prefer them over the artificially constructed things in ""Underworld"" or ""Van Helsing"". I suspect that this film will become an ""underdog"" in the modern horror genre and, in time, it'll develop quite a large fan base (if it hasn't already). Personally, I still like the ""Ginger Snaps"" films better when it comes to post-2000 werewolf-flicks, but this ""Dog Soldiers"" is a worthy second. Recommended!",Dog Soldiers
