,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Didn't care much,4,4 September 2021,"When I heard they'd remade or rebooted the original WRONG TURN (2003) I was surprised given that it's not 20 years old yet, but sure enough this 2021 reboot is now available for viewing on Netflix and I've just...well, endured it. The original long-running film series wasn't particularly great to begin with although one or two of the sequels were quite entertaining, but this moves away from mutant mayhem carnage into something slightly more original. Once again we join a group of friends who unwisely leave the trail to go off hiking in the woods, but the rural dwellers they encounter are very different from the grisly horror tropes of the original.While I do appreciate the differences in approach this time around, the sad truth is that the twists and turns simply don't make this very horrific as a film. What starts out fairly atmospheric with some shockingly gory moments just ends up descending into something approaching tedium, so much so that they resort to shooting fantasy dream scenes to add in more violence. There are some gory moments but a general shying away from exploitation into more thriller territory, but of course it suffers from the usual lack of budget, indifferent performers and cliched writing for the characters and action. In the end, I just didn't care much either way.",Wrong Turn
1,SnoopyStyle,some interesting second half stuff,6,7 April 2021,"Scott Shaw (Matthew Modine) is searching for his missing daughter Jen who was hiking the Appalachian Trail with her friends. The small town locals don't seem to care. Six weeks earlier, Jen and her five young friends suddenly get a flat tire. They arrive at the small town to start their hike and it goes downhill from there.The kids are unprepared and a bit annoying. The rooting interest is a little thin. These characters get less and less appealing. One of them should be over-prepared and the movie can play around with that. They already touch on it with the girl changing the tire. It can add a scene where a character lays out the props with the possibility of them being used later in the movie. The first half is basic horror-in-the-woods movie. The characters are rather iffy. They're dumber than they should be. They are presented as smart young urbanites but a couple of the guys are as dumb as movie frat guys. The second half becomes a cult torture horror movie. It's better when the characters stop being so dumb. It's more interesting with a couple of interesting ideas. It does some really interesting stuff. If only the first half is as good, this would be one to build upon.",Wrong Turn
2,nogodnomasters,A Blessed and Idea America,4,6 March 2021,"Hikers get trapped and captured by an isolated group of Nordic style woodsfolks. Jen (Charlotte Vega) is being sought by her father after being missing for 5 weeks, apparently the parents of the other 4 don't care.This does not appear to be connected to the Wrong Turn series. This clan is in Virginia and the cannibals are in West Virginia.This is not a group of cannibals, just QAnon looking and acting people. Watchable, but not great.Guide: F-word. Sex. Brief male butt nudity.",Wrong Turn
3,Tweekums,Decent enough horror set on a wooded mountain,7,6 September 2021,"As this film opens Scott Shaw heads to a remote town in Virginia to look for his daughter, Jen, who has gone missing while hiking the Appalachian Trail with a group of friends. The action then jumps back six weeks and we see Jen and her friends arriving. They are a diverse group of liberal Northerners who aren't exactly made to feel welcome... they are warned to stick to the trail. They haven't gone far when this advice is ignored and soon they are in real danger. They trigger lethal traps and encounter a group known as The Foundation that has been living an apparently isolated existence since 1859. This group take their privacy seriously and have very strict laws.I must state that I haven't seen any of the previous 'Wrong Turn' films so can't say how this compares... it also meant I went into this with no real expectations about what should happen. It turns out it was a decent enough horror film. There are plenty of reasonably scary moments as well as quite a few unpleasant deaths. The protagonists aren't particularly likeable; they may be diverse and politically liberal but they have their own prejudices. Without going into retails I thought the way friends crossed paths with The Foundation; the various traps were fun and the Foundation appeared scary. On the down side one really does have to suspend ones disbelief; The Foundation might be a danger to hikers but one can't imagine the authorities would be ignorant and tolerant of people disappearing on a particular mountain for a hundred and seventy years! The setting looks great even though it was filmed in Ohio rather than Virginia. Overall I'd say this is worth watching but not a must watch for horror fans; just don't take it too seriously.",Wrong Turn
4,paul_haakonsen,The title actually says it all for this reboot...,3,14 March 2021,"Well, the track record of all the ""Wrong Turn"" movies that has been spewed out since 2003 haven't exactly been top notch entertainment. Sure, most of the movies have been semi-watchable, but they've never ranked more than less than mediocre in my opinion.So it was with a healthy doze of skepticism that I sat down to watch the 2021 reboot of the ""Wrong Turn"" franchise. In fact, the whole reboot of a less than mediocre franchise just seemed so pointless and unnecessary. But hey, perhaps they would manage to get the formula right this time around. Right?Wrong!This 2021 reboot from writer Alan B. McElroy and director Mike P. Nelson was the worst one yet. So what they did here was take a less than mediocre movie franchise, dumbed it down and made it even more laughable.Now, we are used to the six previous movies having inbred cannibals running around in remote areas, preying and terrorizing those that stray into their lands. And guess what, it's gone here in the 2021 movie. Yeah. Instead we are given a group of descendants of pre-American Civil War people that opted to isolate themselves in the mountains, as they foresaw the end of the United Stated with the impending Civil War lurking around the corner. But wait, it gets better. Apparently living secluded in the mountains turns people into what best can be described as caricature versions of Vikings, but wearing animal skulls to cover their faces. Thank you Alan B. McElroy for giving us such glorious material.And these reclusive mountain people, known as The Foundation, apparently are free to venture into the nearby mountain town to sell their trinkets, and people pay them no heed. Yet at the same time, people fear and loathe these people with a vengeance. But letting them roam wherever they like? Yeah, pretty amazing writing right there.Completely gone was the atmosphere and feel of the previous six ""Wrong Turn"" movies, and we are given some cheap imitation instead. An imitation that didn't really have the same punch or impact to it, mind you.Now, it wasn't all bad. Because there were some interesting enough violence scenes in the movie. Such as the rolling wooden log for example, or the fire poker. But there just wasn't enough of these things in the movie to even remotely make up for all the shortcomings that was the 2021 ""Wrong Turn"".And it should be said that the acting in the movie was actually adequate, and was up to par with what you have seen in the previous six movies. Sure, these are not Shakespearian performances by any level, but you know what you get with these types of movies. It was, however, a surprise to see the likes of Bill Sage and Matthew Modine in a movie such as this.The characters in the movie were bland, so very, very bland. There was little backstory for the characters and equally little motivation show as to what drove them to go on. So you have a gallery of one-dimensional characters running around in a cheap imitation of ""Wrong Turn"", yeah, not exactly the recipe for a winner. And I was amazed at how quickly the friends were to shrug off the deaths of each and every of their friends around them.Without spoiling the ending of the movie, then I have to say that I was laughing at the ending to the movie. It was just so far out there and just made no sense no matter how you look at it.I suppose if you are unfamiliar with the previous six ""Wrong Turn"" movies, and happen to get to watch this 2021 abomination as your first introduction to the franchise, then there is something to be enjoyed about the movie. But keep in mind, this movie is not as entertaining as the previous six movies - though they were themselves less than mediocre.My rating of the 2021 reboot ""Wrong Turn"" lands on a mere three out of ten stars. This is definitely the weakest addition to the franchise, and a fully unnecessary reboot. I am very tempted to say that the movie's title here, ""Wrong Turn"", pretty much summarizes what the writer and director did here with the entire franchise.",Wrong Turn
5,Coventry,"Having fun with the Mountaintop Hillbillies, are we?",4,2 November 2021,"Remakes (or re-stylings, or re-imaginings, or whatever they are called nowadays) come faster and sooner. The original ""Wrong Turn"" was only released in 2003, and not even twenty years later the reboot is here already. Usually US-remakes only come this fast when the original is a foreign horror-hit, like from Japan or Scandinavia or something. But then again, society changed a lot since 2003, and a remake actually can be justified.As per 2020, it's not longer acceptable to send a bunch of dumb, heterosexual Caucasian teenagers into the backwoods. It also isn't allowed anymore to depict mountaintop hermits as inbred freaks with bad dental hygiene and fingers missing. And so, now, we are supposed to be believe that interracial gay couples and uptight oncology-students go for primitive hiking vacations in the West-Virginian woods. We are also supposed to believe that a handful of families can live in a secluded community for more than 200 years without their bloodlines getting affected by inbreeding or lack of qualitative living standards. Fine by me, but then at least have the decency to name your film ""Woke Turn"" instead ""Wrong Turn"".In my humble opinion, writer Alan B. McElroy and director Mike Nelson should have given it a different title, and started a whole new franchise. The first half may qualify as a remake, but the second half is another film. When the plot runs out of annoying hipsters to slaughter at the 45 minutes' mark, ""Wrong Turn"" takes a U-turn itself. I won't reveal too much, but Matthew Modine thinks he's Liam Neeson, and his daughter is tougher than a crossbreed between Lara Croft and Natasha Romanoff. The plot is hopelessly implausible and improbable, but luckily there's some good gore to enjoy, and the climax is quite (unintentionally?) funny.",Wrong Turn
6,zardoz-13,A Change in the Villains,8,14 June 2021,"The remake of Constantin Films' hair-raising horror movie ""Wrong Turn"" (2003), starring Eliza Dushku, boasts neither ghastly, bone-crushing carnage nor villainous, Appalachian, hillbilly cannibals. These inbred yokels slaughtered anybody who blundered into their neck of the woods. Not surprisingly, by the time the ""Wrong Turn"" franchise spawned its fifth grisly sequel, the films had sacrificed their spontaneity and spent their sadism. Not only has ""Domestics"" director Mike P. Nelson and original ""Wrong Turn"" writer Alan McElroy reimagined the franchise, but they also have given the villains a makeover. Now, they are no longer ghoulish, redneck, flesh-feasters, but an obscure society known only as ""The Foundation."" Migrating to Appalachia on the eve of the Civil War, they carved out their own utopia on a mountain because America was sinking into anarchy over slavery. Meantime, the new ""Wrong Turn"" imitates the venerable M. Night Shyamalan movie ""The Village"" (2004). The small, 19th century, Amish-like community in ""The Village"" had abandoned society and thrived in seclusion under its own edicts. They created legends about eerie woodland beasts to dissuade their own from forsaking the fold, too. Similarly, the Foundation perpetuates its own xenophobia. Nevertheless, they venture out when necessity prompts them either to stock up on staples or take slaves to replenish their numbers. Moreover, they have sown booby-traps on their outskirts to deter intruders and trap wildlife. Whereas the original ""Wrong Turn"" featured three hideous, brain-damaged hicks, the Foundation bristles with intelligent descendants of Nordic origin who have taken extreme lengths to maintain their existence. Hardcore ""Wrong Turn"" zealots may find this reboot less than savory, but the new ""Wrong Turn"" lacks no shortage of suspense.""Wrong Turn"" opens with Scott Shaw (Mathew Modine of ""Full Metal Jacket"") cruising into a scenic but sleepy Appalachian hamlet. Checking in with the local sheriff, Scott explains he has been searching for his daughter Jen. According to Scott, Jen had kept him abreast of her whereabouts on a weekly basis, but she hasn't contacted him for weeks. Traveling with her African American boyfriend Daruis (newcomer Adain Bradley), Jen (Charlotte Vega of ""American Assassin"") and two other couples-a gay and a straight couple-had planned to hike the Appalachian Trail. The sheriff gives Scott a missing persons form to fill out but assures him Jen is probably sunning herself in the Florida Keys. Scott isn't so sure. At this point, Nelson and writer Alan McElroy roll back the timeline and plunge us into a flashback. Dated 'six weeks earlier,' we find ourselves riding with a bunch of happy-go-lucky millennials. A tire blows out on them, but Jen repairs it while the guys stare at her in awe. She brags that her dad taught her two things. ""How to bait a hook and change a tire."" Later, after they check into a bed & breakfast, the older lady who owns it cautions Jen about hiking thereabouts. ""Keep to the marked trails. The land here can be unforgiving."" Predictably, our hikers ignore her advice. Later, at a honky-tonk bar, a creepy, low-life local, Nate Roades (Tim DeZarn of ""Fight Club""), warns them about hiking, too. ""There is something dangerous up there."" Fifteen minutes later, with all preliminaries dispensed with, our protagonists hit the Appalachian Trail.No sooner have they set off than Darius suggests a side trip to a historic Civil War fort. Jen repeats the B&B lady's warning about sticking to the trail. Reluctantly, Jen gives into Darius. Four hours later, with no sign of the fort, Darius relents, and they head for the hiking trail. Suddenly, a gigantic log plummeting downhill for them like a runaway steamroller sends them scrambling for safety. Nelson does a terrific job of orchestrating the hysteria of the moment as they dodge the log. Alas, one of them doesn't survive. Although we don't see the log pulverize him, the aftermath is an immaculate but gruesome sight. The ill-fated fellow has been crushed to death between an upright tree and the heavy log that pinned him against the tree. Hopelessly lost and distraught, the survivors decide to camp for the evening when it starts to rain. The next morning they discover their cellphones have been stolen. Another guy steps into a trap, and he is dragged several yards by a huge chain before he disappears down a rabbit hole. Later, the rest stumble onto a barn cluttered with unclaimed camping and hiking gear. The next thing they know Foundation sentinels wearing antlered deer skulls and ghillie suits--who have been watching their every move--take them captive! Things take a nasty turn for the survivors when they appear before an aloof Foundation tribunal. Suffice to say, everybody winds up paying the piper a heavy price. For example, they blind one of our heroes and confine him to a cave for an eternity.Far more ambitious than its predecessors, ""Wrong Turn"" may baffle gore hounds yearning for nothing more than a bloody good yarn. This ""Wrong Turn"" remake spews political and social commentary galore beyond anything found in the original. Most people don't ogle these epics to embrace diverse thinking as much as perverse maiming. Make no mistake, ""Wrong Turn"" serves up its share of scary scenes with ghoulish characters. However, it never surpasses the nerve-racking, ritualistic slaughter in writer & director Ari Aster's decadent chiller ""Midsommar"" (2019). The three original ""Wrong Turn"" villains: Saw-Tooth, One-Eye, and Three Finger would wrestle with identity problems in this change of pace reboot. Nelson and McElroy complicate cut and dried characters and cliches. Typically, splatter slasher villains are infidels, while their victims are blameless. Here, the villains emerge with surprising shades of grey. Like 'final girls' in all vintage horror movies, Jen Shaw triumphs over her adversaries despite the wholesale evil she has suffered at their hands. The finale is a white-knuckled, nail-biter! While it mashes up suspense and tension with gory prosthetics, ""Wrong Turn"" qualifies as several slices above the average slasher because it features a feisty heroine.",Wrong Turn
7,grantss,Dull and formulaic,2,4 September 2021,"A group of friends set out to hike the Appalachian Trail. After getting lost they stumble across a sinister man in a strange outfit. This meeting will have a profound impact on their lives and see their lives threatened by a strange cult.The 2003 Wrong Turn was a surprisingly decent horror movie, with a reasonably good plot and good performances. The success of this film caused the producers to create five sequels, all of which were incredibly bad, being made for the money and falling back on the usual horror clichés and formulae.This film is essentially another one of those sequels, relying entirely on the Wrong Turn name without bringing anything original to the table. Quite dull and formulaic with a middle section that doesn't make too much sense.Avoid.",Wrong Turn
8,kannibalcorpsegrinder,Unimpressive and highly flawed reboot,3,27 February 2021,"After his daughters' disappearance, a man sets off in search of her and missing friends and learns they got stranded in the woods where they encounter a society of backwoods hunters living by themselves and must try to get them back any way he can without running into the locals around the area.This was a decent enough if highly flawed effort. The main factor that appeals, which is pretty much the only factor that works well here, is the opening setup that shows something happening in the woods around them. The series of traps and encounters with the group getting picked off by the various items left around bring about some rather enjoyable times here, especially once they realize the woods are crawling with the society members attempting to pick off the group one-by-one. There are some suspenseful encounters within here as the group is unaware of who's out there while also providing this one with tons of aftermath gore that's quite brutal and dark even without the on-screen kill-shot. That's really all that works here. There are some big problems with this one. One of the main issues is the generally overlong and unnecessary running time that doesn't warrant the excessive length. The setup here is the main issue, taking the two-pronged approach with his search for the missing group and then going into their full adventures in the town looking to go hiking before stumbling into the group. To switch back-and-forth between these two stories throughout the rest of the film stretches the film out far too much, especially with overlong courtroom sequences or plot-points that aren't required. So much of this one is unnecessary that it could've lost many of these extra scenes and storylines without affecting it. Moreover, the film really doesn't seem logically plotted about how the society operates and why it's supposed to be a frightening experience. The take-off on a doomsday cult living out in the woods throwing plenty of traps out on the mountain that denotes a secret society living out there which comes off inherently stupid since it takes the fearful ability of the group out of the film just by being innocent hunters unaware of who they really are. The basic groundwork of the society is completely missing as to what they're setting out to accomplish being out in the wilderness being out by themselves, which isn't even anywhere near as bad as the fact that the plot twist at the second half makes it out to be them as sympathetic and unwilling to hunt anyone in the first place. The last negative to deal with here is a series of utterly unbelievable and mind-numbing decision-making that goes into this one. From failing to report anything about the strange behavior of the locals to the inane idea of failing to recognize they've killed someone and should report it to the authorities or not even realizing that they're being hunted in the first place after one of the group is murdered. The whole idea of taking the offer to join their society only to then betray everything, later on, should've been seen coming from a mile away and sets up the utterly moronic finale which sets off a round of stupidity that ends this on a sour note, holding this down overall.Rated R: Graphic Language and Graphic Violence.",Wrong Turn
9,trashgang,not that bad as many do say,7,16 March 2021,"Not connected at all to the Wrong Turn franchise. Why this title I don't know it only make people angry who do love the francise. Nevertheless, skip the title and you are in a rather good flick with some gore attached.The story itself is simple, on a hike, being warned by locals not to leave the trail, they do leave it to come across a community not to be discovered.All well, some statements about the cruel world and then the things really go wrong.I didn't found it all that bad as people do tell. Just relax and enjoy this sometimes brutal flick. The ending i did like.
Gore 2/5
Nudity 0/5
Effects 4/5
Story 2,5/5
Comedy 0/5",Wrong Turn
