,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"Don't tell my daughters, but I did not love this film...",6,3 June 2011,"For some time, my oldest daughter has tried to get me to watch this film. In addition, my younger daughter has repeatedly told me how wonderful this film is. Well, don't tell them, but I was not in love with this film. For a teen film, it's not bad but it just left me a bit flat. Perhaps this might be because I am a guy, as even my wife liked the film. Regardless, while I liked parts of the film, overall it's just not a particularly distinguished film for me.Lindsey Lohan plays a new girl to the local high school. She wants to fit in and somehow gets accepted by a small group of the foulest and most self-absorbed girls the school had to offer. And, at first, Lindsay pretends to be their friends so she can find a way to bring this clique down a peg, but over time she, too, becomes one of them--just another nasty and self-absorbed teen girl. Eventually it all comes to a HUGE blow-up--after which there is a COMPLETELY RIDICULOUS AND UNBELIEVABLE finale. None of the final 15 minutes seemed to make sense or was the least bit believable. But, supposedly the film is supposed to mean something deeper...though I have no idea what this message is.This is a film that has nice parts but the sum of them seems morally ambiguous and confusing. I was surprised that the many ""Saturday Night Live"" cast members in the film were excellent in this movie--and this is a surprise, as too often the SNL cast members did films that, frankly, were not all that good. Sorry, folks--perhaps it's just because I am an old fart of 46 years, but I wasn't incredibly impressed by the film. Try watching ""17 Again""--now that's a good teen film.",Mean Girls
1,TheLittleSongbird,"Smart, dark and fun teen comedy!",8,9 June 2009,"I thought this a really entertaining film. With a spirited cast, a very good script, a good soundtrack and a nice romance what more could you possibly want? Lindsey Lohan is lovely as Cady Heron, better than she was in Confessions of a Teenage Drama Queen. She is given great support from an excellent supporting cast, from the likes of Tina Fey and Rachel McAdams. The script was dark and humorous, my favourite bit was when all the girls start fighting after they discover that they are being badmouthed in a book. And there is always time for a romance that doesn't always interfere with the story. In fact, my only real complaint is that it gets a little sentimental, but apart from that, an enjoyable and engaging film, with a 8/10. Bethany Cox",Mean Girls
2,bkoganbing,Distaff pressures,7,1 February 2014,"Although Mean Girls is billed as a comedy and God knows it has enough funny moments in it, it's really a quite serious film for young girls showing the pressures they have in high school. Don't think the male side doesn't have any, not by a long shot.But we are dealing with the distaff side and whole issues are raised by the presence of Lindsay Lohan fresh from the jungle. Not that Lohan was Sheena Queen Of The Jungle, but her parents are zoologists and she was raised and home schooled in Africa. She's quite the beauty, but not knowing the ropes she offends the leader of the cool kids clique Rachel McAdams.She befriends Lizzy Caplan as the lesbian and the school's gay male Daniel Franzese and they being the most outcast of all get together with Lohan to bring down McAdams and her sycophants. Lohan shows just like Norma Shearer in The Women she's wearing Jungle Red and she knows full well what that means.Tina Fey as a popular teacher and Tim Meadows as the principal have their hands full as the girls break out into anarchistic warfare. In the end Lohan becomes the catalyst for healing as well.A lot of funny stuff gives us enough sugar to make a spoonful of medicine go down easy. Sad to say a lot the message of Mean Girls maybe lost on a lot of peopleGood ensemble performance by the cast. Mean Girls ought to be required viewing at high schools.",Mean Girls
3,SnoopyStyle,"Great Tina Fey writing, and a still fresh faced Lindsay Lohan",8,27 December 2013,"Cady Heron (Lindsay Lohan) is the new girl in school after having spent much of her life in Africa with her zoologist parents. She befriends Janis (Lizzy Caplan) and Damien (Daniel Franzese) who tells her about the various cliques in school. The top clique is the Plastics led by the queen bee Regina George (Rachel McAdams) and her followers Gretchen Wieners (Lacey Chabert) and Karen Smith (Amanda Seyfried).Screenwriter Tina Fey is able to inject a lot of humor in what could have been too serious and formulaic movie. The sharp observations comes from Rosalind Wiseman's book. And the likability comes from a still fresh faced Lindsay Lohan. While Rachel McAdams shows her versatility as the top mean girl, and who knew there was such acting talent in Amanda Seyfried doing the standard dumb blonde. The only sour note for me is this obsession with getting hit by the school bus. It doesn't strike me as funny.",Mean Girls
4,Horst_In_Translation,"Entertaining and relevant, Lohan's brightest hour perhaps",8,29 January 2016,"""Mean Girls"" is an American high school film from over ten years ago and, by some, these 95 minutes are considered a modern classic today. I cannot blame them. I was very much entertained watching this one. There was hardly a minute that did not have some (at least) decent humor to it. The biggest strength of this film is that it never takes itself too seriously. Yes there are dramatic scenes, but they all come with an ounce of humor. The best example is perhaps people being hit by buses, a running gag throughout the entire film. Another example would be Lohan's final speech, during which the headmaster brings the comic relief. This is exactly how comedies should handle the subject of dramatic moments. Tina Fey did an outstanding job with the script here and it's a shame she did not get an Oscar nomination for her adaptation of Rosalind Wiseman's book.Fey also plays one of the major supporting characters herself and with that she also nails the part. But pretty much everybody in this film does. It really has so many memorable characters I must say, down to some that really appear almost never, like the Asian girls or the PE teacher or Amy Poehler's character etc. I could go on for a while. This film is truly a showcase of what many more comedies should look like, but unfortunately don't. It's also nice to see some familiar faces like the janitor from ""Scrubs"". ""Masters of Sex"" fans will also be delighted. It is pretty sad that all these actors and actresses apparently managed much bigger (or at least more prolific) careers than lead actress Lindsay Lohan. I believe she shows her talent in here and it's quite a shame how much south her career has gone since then with Emma Stone basically taking her place. Nonetheless I still have hope for Lindsay. Maybe she can make a tremendous comeback at some point. I believe she has the range for it and can maybe also become an Academy Award nominee like Rachel McAdams this year if she gets the right role.As for ""Mean Girls"", to me the film is still one of the finest comedies of the 21st century and it matches my humour exactly on so many occasions from start to finish. Another strength of the film is also that it depicts nobody as completely good or evil and does a great job on creating shades for everybody. Caplan's character is not a saint for what she does to Regina either for example. Regina and her clique aren't bad guys either. Yes there are some moments to Regina, during which we see her true self as the situation is just too much for her keeping her mask on. I can only repeat myself. Fey did such a great job with the writing of the story, the characters and the comedy here. This makes me truly curious about her other works as a writer, even if I have seen the entirety of ""30 Rock"" already. ""Mean Girls"" is a very delightful watch and, at the same time, a film with morals and a message. Highly recommended.",Mean Girls
5,claudio_carvalho,Silly and Funny Teen Comedy,7,17 April 2005,"The teenager Cady Heron (Lindsay Lohan) has just arrived in United State of America, after being raised in Afrika without going to conventional school. Their parents are zoologists, and her mother has been her tutor and she was educated at home-school, being an excellent student in mathematics. When she arrives in the high-school, she looks for a spot in one of the groups, becoming friend of the rejected Janis Ian (Lizzy Caplan), unfairly called of lesbian by the other girls, and the gay Damian (Daniel Franzese). When The Plastics, the most closed clique in the school leaded by the evil Regina George (Rachel McAdams), invites her to join their selected group, Cady accepts the invitation, trying to reach their dark secrets to disclose to her friends, but later she changes her behavior with her friends. When she has a crush on the former boy-friend of Regina, Aaron Samuels, Regina looks for revenge, plotting an evil plan against Cady. ""Mean Girls"" is a silly and funny teen movie, supported mainly by the gorgeous and charismatic Lindsay Lohan. The story explores the behavior of the teenagers, trying to find their true personality while molding their characters. The cast is very funny, and the story is totally based on the American culture and behavior of the American teenagers. Anyway, it is a good entertainment. My vote is seven.Title (Brazil): ""Meninas Malvadas"" (""Mean Girls"")",Mean Girls
6,kosmasp,It's good to be bad,8,21 July 2009,"There are movies who act as if they're bad and then there is Mean Girls. A movie that proves, you can appeal to a teen audience and still break teen comedy conventions. A movie with a cast, that looks perfect even 5 years later. Lindsay Lohan, Rachel McAdams, Tina Fey, the Girl from the Mamma Mia and Jennifer Body's movie and many more, bring an attitude to the film, that is both fresh, funny and appealing to anyone who just a little cynic in him.While it's obvious that the cast had fun making the movie, it's also fun to watch. Of course it's exaggerated, how the teen girls act in this movie, but that makes up for the comedy part of it. A great cynical look and a fun movie to watch (some compared it to Heathers, which I can't really add anything to, because unfortunately I haven't seen that one)",Mean Girls
7,gavin6942,Brilliant,7,14 January 2015,"Cady Heron (Lindsay Lohan) is a hit with the Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George (Rachel McAdams).On its face, this 2004 comedy was a showcase of up-and-coming young actresses: Lohan, McAdams, Lacey Chabert and Amanda Seyfried. And, to some degree, this is completely true. Besides Lohan (who self-destructed), these are now (2015) some of the biggest stars in Hollywood. Seyfriend is especially big. (Where did you go Chabert?) Heck, this was even a great boost from Tina Fey. But, it is much more than that. With a script from Fey, it is also a biting satire of high school politics, and is much funnier than other films of that genre. This is, in a sense, the better version of ""Heathers"". And this also gives Tim Meadows some of his best lines ever delivered in a film. Whatever happened to him? He is really the heart of this film.",Mean Girls
8,jboothmillard,Mean Girls,5,1 March 2007,"I think the only reason I wanted to see this film was because gay Richard from Big Brother 7 was talking about it all the time in the house, and called many of the girls ""Plastics"" (he was a good housemate). Anyway, basically Cady Heron (Lindsay Lohan) is a new student from Africa, and quite quickly becomes friends with possible-lesbian Janis Ian (Lizzy Caplan) and gay Damian (Daniel Franzese). But soon enough they want her to get to know the crudest, most beautiful and most popular girls in the school, The Plastics, unofficial leader Regina George (Rachel McAdams), follower Gretchen Wieners (Lacey Chabert) and dumb Karen Smith (Amanda Seyfried). As she gets to know them to tell Janis and Damian their dark secrets, she finds out they have a hate book with every person that has done something they hate them for. Also, Cady falls for Regina's ex-boyfriend Aaron Samuels (Jonathan Bennett) along the way. There is a lot of back-stabbing and argumentative moments, and I can see why Richard used Plastics as his descriptions, but this isn't really one of those great teen or chick flick films, but young girls will probably love it. I guess they are called Plastics because they are pretty much like Barbie dolls, beautiful (almost), naive and compete thickos. Worth watching, at least once!",Mean Girls
9,Tweekums,'Heathers' without the murder,8,8 March 2017,"Cady Heron was raised in rural Africa where she was home-schooled by her parents but now they have moved back to the United States sixteen year old Cady is about to go to high school and learn that high school girls can be as vicious as any wild animal. She quickly makes friends with Janis Ian and Damian Leigh, two outsiders, who caution her about the school's various cliques; most notably 'The Plastics'; a trio of girls led by queen bee Regina George. Cady is a little surprised when she is invited to sit with The Plastics at lunch for a week; Janis encourages her to do so, so they can learn their embarrassing secrets. Soon Cady is very much one of the group but she continues to work against them; constantly driving wedges between them. Of course as she works to undermine these titular 'mean girls' she becomes just as mean herself and in the process alienates just about everybody. While all this is going on she is also trying to get the attention of Aaron Samuels a boy in her maths class; going as far as deliberately getting bad grades so she can ask him for help. Of course she must ultimately face the consequences of her actions and try to undo the trouble she has caused.I probably wouldn't have watched this film if it hadn't come as part as a boxed set and when I started watching I didn't expect anything special but much to my surprise I really enjoyed it from start to finish. Lindsay Lohan is a delight as Cady; she does a fine job portraying the character as she goes from naïve new comer to realising that she has become the thing that she hated to paraphrase Nietzsche 'She who fights monsters might take care lest she becomes a monster'. She is ably supported a fine cast; most notably Rachel McAdams who does an impressive job as Regina; a girl who thinks being popular is her right. The drama provides a good number of laughs along the way and while there are inevitably some clichés they are justified by the story. Writer Tina Fey, who also plays Cady's maths teacher, provided some great dialogue that is witty and believable. Overall I'd certainly recommend this to fans of the genre.",Mean Girls
